"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"24"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"33"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"34"	"15"	"15"	"24"	"23"	"136"	"24"	"3"	"1"	"8"	"-234"	"0"	"-234"	"0"
"35"	"16"	"6"	"8"	"101"	"212"	"13"	"5"	"6"	"14"	"-365"	"0"	"-365"	"0"
"36"	"17"	"1"	"3"	"265"	"6"	"34"	"6"	"1"	"2"	"-318"	"0"	"-318"	"0"
"37"	"18"	"9"	"24"	"288"	"53"	"171"	"14"	"6"	"10"	"-575"	"0"	"-575"	"0"
"38"	"19"	"6"	"15"	"369"	"179"	"174"	"18"	"8"	"18"	"-787"	"0"	"-787"	"0"
"39"	"20"	"0"	"26"	"27"	"0"	"252"	"0"	"0"	"0"	"-305"	"0"	"-305"	"0"
"40"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"41"	"22"	"85"	"31"	"34"	"23"	"102"	"3"	"4"	"12"	"-294"	"0"	"-294"	"0"
"42"	"23"	"16"	"7"	"63"	"28"	"88"	"4"	"8"	"21"	"-235"	"0"	"-235"	"0"
"43"	"24"	"1"	"64"	"45"	"8"	"60"	"6"	"2"	"1"	"-187"	"0"	"-187"	"0"
"44"	"25"	"10"	"166"	"161"	"2"	"33"	"1"	"5"	"0"	"-378"	"0"	"-378"	"0"
"45"	"26"	"34"	"13"	"95"	"45"	"108"	"8"	"9"	"10"	"-322"	"0"	"-322"	"0"
"46"	"27"	"13"	"88"	"67"	"7"	"41"	"1"	"3"	"15"	"-235"	"0"	"-235"	"0"
"47"	"28"	"6"	"92"	"207"	"10"	"246"	"2"	"10"	"6"	"-579"	"0"	"-579"	"0"
"48"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"57"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"58"	"29"	"126"	"24"	"212"	"14"	"236"	"5"	"9"	"11"	"-637"	"0"	"-637"	"0"
"59"	"30"	"12"	"95"	"341"	"5"	"6"	"6"	"2"	"6"	"-473"	"0"	"-473"	"0"
"60"	"31"	"3"	"93"	"122"	"3"	"27"	"0"	"2"	"0"	"-250"	"0"	"-250"	"0"
"61"	"32"	"192"	"162"	"68"	"4"	"81"	"3"	"6"	"3"	"-519"	"0"	"-519"	"0"
"62"	"33"	"7"	"12"	"59"	"2"	"131"	"2"	"6"	"3"	"-222"	"0"	"-222"	"0"
"63"	"34"	"2"	"3"	"197"	"8"	"4"	"3"	"1"	"1"	"-219"	"0"	"-219"	"0"
"64"	"35"	"15"	"34"	"33"	"7"	"107"	"4"	"3"	"8"	"-211"	"0"	"-211"	"0"
"65"	"36"	"24"	"10"	"26"	"9"	"245"	"9"	"9"	"18"	"-350"	"0"	"-350"	"0"
"66"	"37"	"14"	"10"	"264"	"16"	"29"	"11"	"8"	"6"	"-358"	"0"	"-358"	"0"
"67"	"38"	"56"	"111"	"42"	"1"	"189"	"8"	"5"	"9"	"-421"	"0"	"-421"	"0"
"68"	"39"	"133"	"59"	"462"	"17"	"72"	"0"	"2"	"3"	"-748"	"0"	"-748"	"0"
"69"	"40"	"48"	"16"	"311"	"6"	"74"	"4"	"9"	"12"	"-480"	"0"	"-480"	"0"
"70"	"41"	"0"	"1"	"365"	"0"	"3"	"1"	"3"	"0"	"-373"	"0"	"-373"	"0"
"71"	"42"	"0"	"1"	"496"	"0"	"8"	"0"	"0"	"0"	"-505"	"0"	"-505"	"0"
"72"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"81"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"82"	"43"	"7"	"4"	"240"	"4"	"18"	"1"	"1"	"1"	"-276"	"0"	"-276"	"0"
"83"	"44"	"7"	"21"	"182"	"3"	"162"	"5"	"15"	"1"	"-396"	"0"	"-396"	"0"
"84"	"45"	"97"	"26"	"135"	"17"	"83"	"6"	"15"	"11"	"-390"	"0"	"-390"	"0"
"85"	"46"	"1"	"84"	"42"	"17"	"568"	"2"	"8"	"3"	"-725"	"0"	"-725"	"0"
"86"	"47"	"10"	"71"	"468"	"6"	"63"	"0"	"1"	"1"	"-620"	"0"	"-620"	"0"
"87"	"48"	"68"	"18"	"32"	"8"	"133"	"0"	"0"	"1"	"-260"	"0"	"-260"	"0"
"88"	"49"	"4"	"10"	"90"	"1"	"97"	"2"	"2"	"1"	"-207"	"0"	"-207"	"0"
"89"	"50"	"5"	"41"	"61"	"16"	"149"	"4"	"2"	"2"	"-280"	"0"	"-280"	"0"
"90"	"51"	"38"	"21"	"161"	"177"	"483"	"14"	"4"	"7"	"-905"	"0"	"-905"	"0"
"91"	"52"	"7"	"8"	"128"	"58"	"145"	"9"	"8"	"8"	"-371"	"0"	"-371"	"0"
"92"	"53"	"0"	"78"	"58"	"191"	"50"	"0"	"0"	"2"	"-379"	"0"	"-379"	"0"
"93"	"54"	"12"	"30"	"64"	"189"	"57"	"6"	"5"	"19"	"-382"	"0"	"-382"	"0"
"94"	"55"	"4"	"122"	"84"	"232"	"21"	"3"	"0"	"2"	"-468"	"0"	"-468"	"0"
"95"	"56"	"11"	"6"	"72"	"31"	"128"	"9"	"10"	"8"	"-275"	"0"	"-275"	"0"
"96"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"105"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"106"	"57"	"14"	"14"	"248"	"181"	"73"	"23"	"7"	"14"	"-574"	"0"	"-574"	"0"
"107"	"58"	"8"	"713"	"105"	"4"	"33"	"3"	"3"	"2"	"-871"	"0"	"-871"	"0"
"108"	"59"	"3"	"38"	"53"	"49"	"305"	"4"	"3"	"2"	"-457"	"0"	"-457"	"0"
"109"	"60"	"20"	"16"	"233"	"94"	"148"	"13"	"7"	"22"	"-553"	"0"	"-553"	"0"
"110"	"61"	"2"	"11"	"358"	"21"	"34"	"2"	"2"	"0"	"-430"	"0"	"-430"	"0"
"111"	"62"	"1"	"79"	"16"	"10"	"498"	"0"	"2"	"0"	"-606"	"0"	"-606"	"0"
"112"	"63"	"5"	"3"	"30"	"21"	"116"	"1"	"3"	"9"	"-188"	"0"	"-188"	"0"
"113"	"64"	"8"	"5"	"8"	"2"	"485"	"1"	"1"	"0"	"-510"	"0"	"-510"	"0"
"114"	"65"	"4"	"15"	"168"	"33"	"178"	"5"	"6"	"4"	"-413"	"0"	"-413"	"0"
"115"	"66"	"11"	"18"	"140"	"68"	"270"	"3"	"4"	"5"	"-519"	"0"	"-519"	"0"
"116"	"67"	"37"	"7"	"91"	"26"	"185"	"6"	"2"	"6"	"-360"	"0"	"-360"	"0"
"117"	"68"	"2"	"7"	"41"	"44"	"320"	"5"	"5"	"6"	"-430"	"0"	"-430"	"0"
"118"	"69"	"11"	"4"	"138"	"105"	"188"	"7"	"7"	"11"	"-471"	"0"	"-471"	"0"
"119"	"70"	"12"	"10"	"54"	"194"	"46"	"6"	"9"	"14"	"-345"	"0"	"-345"	"0"
"120"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"129"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"130"	"71"	"17"	"3"	"285"	"13"	"79"	"2"	"1"	"2"	"-402"	"0"	"-402"	"0"
"131"	"72"	"1"	"0"	"61"	"0"	"542"	"0"	"1"	"0"	"-605"	"0"	"-605"	"0"
"132"	"73"	"4"	"21"	"0"	"1"	"663"	"1"	"0"	"1"	"-691"	"0"	"-691"	"0"
"133"	"74"	"0"	"23"	"2"	"13"	"616"	"1"	"0"	"0"	"-655"	"0"	"-655"	"0"
"134"	"75"	"0"	"1"	"41"	"6"	"302"	"0"	"1"	"0"	"-351"	"0"	"-351"	"0"
"135"	"76"	"3"	"4"	"92"	"36"	"34"	"1"	"3"	"2"	"-175"	"0"	"-175"	"0"
"136"	"77"	"6"	"0"	"335"	"0"	"6"	"0"	"0"	"0"	"-347"	"0"	"-347"	"0"
"137"	"78"	"53"	"31"	"87"	"147"	"352"	"1"	"3"	"2"	"-676"	"0"	"-676"	"0"
"138"	"79"	"4"	"3"	"416"	"12"	"29"	"5"	"4"	"2"	"-475"	"0"	"-475"	"0"
"139"	"80"	"9"	"26"	"206"	"29"	"261"	"6"	"4"	"1"	"-542"	"0"	"-542"	"0"
"140"	"81"	"10"	"24"	"272"	"67"	"86"	"4"	"3"	"0"	"-466"	"0"	"-466"	"0"
"141"	"82"	"0"	"0"	"395"	"2"	"4"	"0"	"0"	"0"	"-401"	"0"	"-401"	"0"
"142"	"83"	"4"	"9"	"387"	"35"	"80"	"8"	"7"	"8"	"-538"	"0"	"-538"	"0"
"143"	"84"	"4"	"1"	"523"	"8"	"17"	"1"	"0"	"0"	"-554"	"0"	"-554"	"0"
"144"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No.of Tender Votes"
"153"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"154"	"85"	"2"	"2"	"84"	"164"	"153"	"1"	"2"	"0"	"-408"	"0"	"-408"	"0"
"155"	"86"	"3"	"2"	"401"	"7"	"2"	"4"	"1"	"8"	"-428"	"0"	"-428"	"0"
"156"	"87"	"10"	"26"	"163"	"39"	"174"	"9"	"20"	"13"	"-454"	"0"	"-454"	"0"
"157"	"88"	"3"	"1"	"451"	"3"	"62"	"5"	"1"	"1"	"-527"	"0"	"-527"	"0"
"158"	"89"	"0"	"0"	"300"	"1"	"2"	"0"	"0"	"0"	"-303"	"0"	"-303"	"0"
"159"	"90"	"117"	"64"	"80"	"53"	"150"	"10"	"14"	"16"	"-504"	"0"	"-504"	"0"
"160"	"91"	"6"	"51"	"102"	"45"	"217"	"4"	"5"	"5"	"-435"	"0"	"-435"	"0"
"161"	"92"	"6"	"49"	"116"	"10"	"163"	"3"	"6"	"1"	"-354"	"0"	"-354"	"0"
"162"	"93"	"5"	"12"	"27"	"163"	"100"	"7"	"7"	"3"	"-324"	"0"	"-324"	"0"
"163"	"94"	"0"	"1"	"559"	"1"	"7"	"1"	"0"	"0"	"-569"	"0"	"-569"	"0"
"164"	"94 K"	"3"	"4"	"559"	"10"	"49"	"2"	"4"	"7"	"-638"	"0"	"-638"	"0"
"165"	"95"	"24"	"30"	"299"	"14"	"336"	"4"	"12"	"5"	"-724"	"0"	"-724"	"0"
"166"	"96"	"2"	"161"	"49"	"17"	"153"	"3"	"8"	"6"	"-399"	"0"	"-399"	"0"
"167"	"97"	"13"	"43"	"171"	"28"	"192"	"12"	"15"	"19"	"-493"	"0"	"-493"	"0"
"168"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No.of Tender Votes"
"177"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"178"	"98"	"13"	"37"	"583"	"3"	"3"	"0"	"0"	"0"	"-639"	"0"	"-639"	"0"
"179"	"99"	"3"	"125"	"102"	"43"	"110"	"3"	"4"	"3"	"-393"	"0"	"-393"	"0"
"180"	"100"	"7"	"213"	"91"	"35"	"95"	"6"	"12"	"19"	"-478"	"0"	"-478"	"0"
"181"	"101"	"3"	"2"	"108"	"11"	"280"	"3"	"1"	"2"	"-410"	"0"	"-410"	"0"
"182"	"102"	"7"	"0"	"90"	"6"	"54"	"0"	"3"	"1"	"-161"	"0"	"-161"	"0"
"183"	"103"	"5"	"8"	"126"	"8"	"79"	"2"	"3"	"3"	"-234"	"0"	"-234"	"0"
"184"	"104"	"3"	"21"	"137"	"34"	"557"	"2"	"3"	"0"	"-757"	"0"	"-757"	"0"
"185"	"105"	"0"	"11"	"15"	"96"	"236"	"0"	"0"	"0"	"-358"	"0"	"-358"	"0"
"186"	"106"	"2"	"120"	"77"	"12"	"105"	"0"	"4"	"3"	"-323"	"0"	"-323"	"0"
"187"	"107"	"2"	"57"	"147"	"10"	"143"	"4"	"4"	"3"	"-370"	"0"	"-370"	"0"
"188"	"108"	"3"	"115"	"53"	"8"	"81"	"1"	"4"	"1"	"-266"	"0"	"-266"	"0"
"189"	"109"	"1"	"175"	"117"	"21"	"95"	"3"	"1"	"6"	"-419"	"0"	"-419"	"0"
"190"	"110"	"111"	"14"	"238"	"14"	"130"	"8"	"12"	"10"	"-537"	"0"	"-537"	"0"
"191"	"111"	"2"	"122"	"77"	"21"	"135"	"2"	"4"	"3"	"-366"	"0"	"-366"	"0"
"192"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"201"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"202"	"112"	"1"	"112"	"111"	"7"	"226"	"4"	"5"	"4"	"-470"	"0"	"-470"	"0"
"203"	"113"	"1"	"133"	"84"	"18"	"142"	"0"	"6"	"6"	"-390"	"0"	"-390"	"0"
"204"	"114"	"4"	"189"	"89"	"12"	"78"	"1"	"1"	"1"	"-375"	"0"	"-375"	"0"
"205"	"115"	"16"	"90"	"156"	"67"	"197"	"13"	"11"	"6"	"-556"	"0"	"-556"	"0"
"206"	"116"	"14"	"133"	"147"	"75"	"112"	"12"	"12"	"16"	"-521"	"0"	"-521"	"0"
"207"	"117"	"1"	"24"	"223"	"12"	"75"	"3"	"5"	"4"	"-347"	"0"	"-347"	"0"
"208"	"118"	"18"	"47"	"180"	"14"	"235"	"3"	"12"	"4"	"-513"	"0"	"-513"	"0"
"209"	"119"	"5"	"97"	"102"	"29"	"273"	"4"	"6"	"5"	"-521"	"0"	"-521"	"0"
"210"	"120"	"2"	"32"	"37"	"15"	"39"	"0"	"1"	"0"	"-126"	"0"	"-126"	"0"
"211"	"121"	"2"	"52"	"34"	"12"	"94"	"2"	"3"	"2"	"-201"	"0"	"-201"	"0"
"212"	"122"	"11"	"11"	"75"	"11"	"157"	"7"	"17"	"9"	"-298"	"0"	"-298"	"0"
"213"	"123"	"1"	"115"	"33"	"2"	"299"	"2"	"3"	"0"	"-455"	"0"	"-455"	"0"
"214"	"124"	"3"	"16"	"139"	"0"	"188"	"3"	"4"	"1"	"-354"	"0"	"-354"	"0"
"215"	"125"	"1"	"53"	"54"	"9"	"188"	"3"	"1"	"1"	"-310"	"0"	"-310"	"0"
"216"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"225"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"226"	"126"	"3"	"108"	"56"	"10"	"125"	"1"	"2"	"0"	"-305"	"0"	"-305"	"0"
"227"	"127"	"2"	"367"	"88"	"23"	"112"	"4"	"2"	"2"	"-600"	"0"	"-600"	"0"
"228"	"128"	"169"	"17"	"88"	"12"	"79"	"16"	"11"	"2"	"-394"	"0"	"-394"	"0"
"229"	"129"	"6"	"231"	"57"	"6"	"43"	"2"	"6"	"10"	"-361"	"0"	"-361"	"0"
"230"	"130"	"8"	"37"	"414"	"7"	"11"	"3"	"4"	"2"	"-486"	"0"	"-486"	"0"
"231"	"131"	"1"	"46"	"72"	"19"	"309"	"5"	"7"	"1"	"-460"	"0"	"-460"	"0"
"232"	"132"	"2"	"38"	"226"	"17"	"206"	"2"	"7"	"3"	"-501"	"0"	"-501"	"0"
"233"	"133"	"1"	"13"	"102"	"12"	"48"	"3"	"0"	"1"	"-180"	"0"	"-180"	"0"
"234"	"134"	"2"	"100"	"11"	"74"	"365"	"3"	"7"	"2"	"-564"	"0"	"-564"	"0"
"235"	"135"	"0"	"65"	"8"	"10"	"247"	"1"	"1"	"0"	"-332"	"0"	"-332"	"0"
"236"	"136"	"2"	"2"	"342"	"2"	"1"	"0"	"1"	"0"	"-350"	"0"	"-350"	"0"
"237"	"137"	"4"	"2"	"443"	"9"	"32"	"0"	"0"	"0"	"-490"	"0"	"-490"	"0"
"238"	"138"	"40"	"7"	"322"	"5"	"152"	"1"	"1"	"2"	"-530"	"0"	"-530"	"0"
"239"	"139"	"9"	"8"	"353"	"30"	"214"	"4"	"17"	"11"	"-646"	"0"	"-646"	"0"
