"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"25"	"14"	"14"	"31"	"209"	"15"	"74"	"4"	"3"	"14"	"5"	"4"	"5"	"9"	"16"	"389"	"0"	"389"	"0"
"26"	"Total Votes Polled"	""	"282"	"1567"	"322"	"2218"	"81"	"41"	"166"	"56"	"61"	"116"	"50"	"158"	"5118"	"0"	"5118"	"0"
"27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"1"	"15"	"9"	"10"	"3"	"159"	"15"	"4"	"25"	"3"	"4"	"21"	"2"	"1"	"256"	"0"	"256"	"0"
"42"	"2"	"16"	"7"	"123"	"7"	"271"	"13"	"4"	"14"	"5"	"9"	"24"	"5"	"11"	"493"	"0"	"493"	"0"
"43"	"3"	"17"	"4"	"34"	"3"	"971"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1015"	"0"	"1015"	"0"
"44"	"4"	"18"	"17"	"69"	"9"	"241"	"12"	"3"	"9"	"0"	"1"	"3"	"1"	"4"	"369"	"0"	"369"	"0"
"45"	"5"	"19"	"51"	"120"	"21"	"164"	"9"	"4"	"14"	"0"	"10"	"237"	"10"	"11"	"651"	"0"	"651"	"0"
"46"	"6"	"20"	"16"	"108"	"11"	"203"	"31"	"0"	"26"	"6"	"8"	"4"	"6"	"13"	"432"	"0"	"432"	"0"
"47"	"7"	"21"	"37"	"355"	"9"	"151"	"14"	"9"	"29"	"7"	"13"	"13"	"6"	"20"	"663"	"0"	"663"	"0"
"48"	"8"	"22"	"10"	"186"	"8"	"66"	"6"	"1"	"3"	"3"	"2"	"2"	"2"	"7"	"296"	"0"	"296"	"0"
"49"	"9"	"23"	"1"	"543"	"0"	"59"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"605"	"0"	"605"	"0"
"50"	"10"	"24"	"3"	"683"	"0"	"9"	"12"	"0"	"3"	"2"	"1"	"4"	"0"	"1"	"718"	"0"	"718"	"0"
"51"	"11"	"25"	"54"	"73"	"4"	"40"	"6"	"4"	"2"	"3"	"1"	"2"	"1"	"3"	"193"	"0"	"193"	"0"
"52"	"12"	"26"	"12"	"96"	"5"	"103"	"8"	"0"	"6"	"4"	"4"	"8"	"5"	"21"	"272"	"0"	"272"	"0"
"53"	"13"	"27"	"14"	"86"	"3"	"72"	"0"	"2"	"8"	"1"	"2"	"2"	"2"	"6"	"198"	"0"	"198"	"0"
"54"	"14"	"28"	"34"	"79"	"7"	"235"	"9"	"1"	"9"	"4"	"8"	"5"	"6"	"14"	"411"	"0"	"411"	"0"
"55"	"Total Votes Polled"	""	"269"	"2565"	"90"	"2744"	"135"	"32"	"150"	"38"	"65"	"326"	"46"	"112"	"6572"	"0"	"6572"	"0"
"56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"1"	"29"	"28"	"135"	"13"	"186"	"17"	"5"	"27"	"5"	"5"	"4"	"3"	"9"	"437"	"0"	"437"	"0"
"71"	"2"	"30"	"36"	"508"	"5"	"247"	"2"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"803"	"0"	"803"	"0"
"72"	"3"	"31"	"7"	"117"	"3"	"205"	"3"	"1"	"11"	"0"	"0"	"1"	"1"	"2"	"351"	"0"	"351"	"0"
"73"	"4"	"32"	"28"	"33"	"11"	"54"	"7"	"5"	"12"	"3"	"3"	"4"	"1"	"0"	"161"	"0"	"161"	"0"
"74"	"5"	"33"	"35"	"56"	"6"	"236"	"7"	"4"	"15"	"2"	"10"	"15"	"6"	"15"	"407"	"0"	"407"	"0"
"75"	"6"	"34"	"20"	"114"	"18"	"116"	"9"	"4"	"13"	"2"	"6"	"3"	"1"	"8"	"314"	"0"	"314"	"0"
"76"	"7"	"35"	"2"	"3"	"1"	"634"	"19"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"661"	"0"	"661"	"0"
"77"	"8"	"36"	"1"	"9"	"0"	"564"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"575"	"0"	"575"	"0"
"78"	"9"	"37"	"2"	"136"	"0"	"317"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"459"	"0"	"459"	"0"
"79"	"10"	"38R"	"16"	"140"	"11"	"115"	"11"	"3"	"7"	"1"	"2"	"2"	"3"	"6"	"317"	"0"	"317"	"0"
"80"	"11"	"39-R"	"28"	"223"	"15"	"120"	"7"	"4"	"7"	"4"	"7"	"4"	"8"	"20"	"447"	"0"	"447"	"0"
"81"	"12"	"40"	"1"	"332"	"1"	"195"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"538"	"0"	"538"	"0"
"82"	"13"	"41"	"1"	"54"	"1"	"295"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"358"	"0"	"358"	"0"
"83"	"14"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"84"	"Total Votes Polled"	""	"205"	"1860"	"85"	"3284"	"88"	"29"	"106"	"18"	"35"	"33"	"24"	"61"	"5828"	"0"	"5828"	"0"
"85"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"97"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	"43"	"17"	"87"	"8"	"80"	"7"	"4"	"38"	"3"	"8"	"8"	"3"	"5"	"268"	"0"	"268"	"0"
"100"	"2"	"44"	"38"	"118"	"8"	"296"	"8"	"2"	"33"	"1"	"6"	"7"	"4"	"6"	"527"	"0"	"527"	"0"
"101"	"3"	"45"	"31"	"91"	"2"	"204"	"3"	"1"	"20"	"0"	"0"	"1"	"0"	"0"	"353"	"0"	"353"	"0"
"102"	"4"	"46"	"4"	"27"	"3"	"160"	"2"	"0"	"15"	"2"	"1"	"0"	"1"	"2"	"217"	"0"	"217"	"0"
"103"	"5"	"47"	"18"	"527"	"10"	"262"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"826"	"0"	"826"	"0"
"104"	"6"	"48"	"11"	"170"	"0"	"159"	"1"	"0"	"25"	"0"	"0"	"0"	"0"	"1"	"367"	"0"	"367"	"0"
"105"	"7"	"49"	"0"	"147"	"2"	"344"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"1"	"504"	"0"	"504"	"0"
"106"	"8"	"50"	"76"	"198"	"4"	"188"	"1"	"1"	"125"	"0"	"1"	"3"	"3"	"1"	"601"	"0"	"601"	"0"
"107"	"9"	"51"	"11"	"177"	"9"	"156"	"6"	"4"	"37"	"3"	"2"	"1"	"4"	"6"	"416"	"0"	"416"	"0"
"108"	"10"	"52"	"23"	"134"	"7"	"173"	"10"	"2"	"19"	"2"	"3"	"0"	"5"	"3"	"381"	"0"	"381"	"0"
"109"	"11"	"53"	"23"	"184"	"10"	"109"	"2"	"1"	"4"	"1"	"1"	"16"	"0"	"0"	"351"	"0"	"351"	"0"
"110"	"12"	"54"	"3"	"162"	"4"	"170"	"12"	"3"	"5"	"2"	"2"	"0"	"1"	"4"	"368"	"0"	"368"	"0"
"111"	"13"	"55"	"25"	"250"	"11"	"163"	"28"	"9"	"9"	"8"	"7"	"2"	"3"	"11"	"526"	"0"	"526"	"0"
"112"	"14"	"56"	"2"	"313"	"3"	"18"	"1"	"0"	"7"	"0"	"1"	"1"	"0"	"5"	"351"	"0"	"351"	"0"
"113"	"Total Votes Polled"	""	"282"	"2585"	"81"	"2482"	"84"	"29"	"351"	"22"	"32"	"39"	"24"	"45"	"6056"	"0"	"6056"	"0"
"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"126"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"127"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"1"	"57"	"15"	"100"	"10"	"205"	"8"	"5"	"44"	"3"	"5"	"4"	"3"	"12"	"414"	"0"	"414"	"0"
"129"	"2"	"58"	"15"	"244"	"6"	"140"	"7"	"6"	"13"	"3"	"2"	"1"	"3"	"5"	"445"	"0"	"445"	"0"
"130"	"3"	"59"	"38"	"141"	"15"	"207"	"16"	"4"	"33"	"3"	"9"	"2"	"11"	"22"	"501"	"0"	"501"	"0"
"131"	"4"	"60"	"22"	"168"	"14"	"158"	"14"	"4"	"49"	"7"	"4"	"9"	"8"	"5"	"462"	"0"	"462"	"0"
"132"	"5"	"61"	"4"	"737"	"3"	"82"	"5"	"3"	"31"	"0"	"2"	"1"	"0"	"3"	"871"	"0"	"871"	"0"
"133"	"6"	"62R"	"16"	"68"	"8"	"192"	"15"	"3"	"13"	"3"	"5"	"1"	"3"	"7"	"334"	"0"	"334"	"0"
"134"	"7"	"63R"	"22"	"103"	"12"	"204"	"8"	"8"	"16"	"8"	"14"	"12"	"6"	"28"	"441"	"0"	"441"	"0"
"135"	"8"	"64R"	"8"	"252"	"11"	"70"	"4"	"4"	"14"	"1"	"0"	"2"	"3"	"9"	"378"	"0"	"378"	"0"
"136"	"9"	"65"	"12"	"131"	"6"	"139"	"5"	"1"	"9"	"1"	"4"	"4"	"5"	"15"	"332"	"0"	"332"	"0"
"137"	"10"	"66"	"11"	"112"	"7"	"140"	"4"	"2"	"6"	"1"	"3"	"23"	"0"	"3"	"312"	"0"	"312"	"0"
"138"	"11"	"67"	"14"	"97"	"10"	"75"	"3"	"3"	"10"	"2"	"8"	"6"	"7"	"10"	"245"	"0"	"245"	"0"
"139"	"12"	"68"	"22"	"146"	"12"	"88"	"8"	"5"	"16"	"5"	"37"	"13"	"15"	"26"	"393"	"0"	"393"	"0"
"140"	"13"	"69"	"57"	"141"	"13"	"228"	"26"	"11"	"47"	"10"	"13"	"8"	"9"	"20"	"583"	"0"	"583"	"0"
"141"	"14"	"70R"	"21"	"221"	"18"	"78"	"64"	"9"	"27"	"13"	"6"	"6"	"13"	"30"	"506"	"0"	"506"	"0"
"142"	"Total Votes Polled"	""	"277"	"2661"	"145"	"2006"	"187"	"68"	"328"	"60"	"112"	"92"	"86"	"195"	"6217"	"0"	"6217"	"0"
"143"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"155"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	"71"	"13"	"184"	"11"	"6"	"4"	"2"	"30"	"4"	"5"	"8"	"6"	"5"	"278"	"0"	"278"	"0"
"158"	"2"	"72"	"23"	"102"	"7"	"12"	"7"	"1"	"4"	"3"	"8"	"22"	"3"	"16"	"208"	"0"	"208"	"0"
"159"	"3"	"73"	"20"	"73"	"11"	"52"	"11"	"8"	"12"	"10"	"13"	"133"	"10"	"18"	"371"	"0"	"371"	"0"
"160"	"4"	"74"	"35"	"271"	"0"	"75"	"1"	"1"	"2"	"0"	"0"	"2"	"1"	"2"	"390"	"0"	"390"	"0"
"161"	"5"	"75"	"60"	"145"	"14"	"49"	"11"	"5"	"34"	"6"	"3"	"58"	"0"	"7"	"392"	"0"	"392"	"0"
"162"	"6"	"76"	"7"	"131"	"8"	"90"	"37"	"11"	"41"	"12"	"9"	"5"	"7"	"21"	"379"	"0"	"379"	"0"
"163"	"7"	"77"	"0"	"594"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	"0"
"164"	"8"	"78"	"4"	"330"	"0"	"24"	"7"	"0"	"53"	"0"	"2"	"2"	"1"	"1"	"424"	"0"	"424"	"0"
"165"	"9"	"79"	"1"	"208"	"3"	"60"	"6"	"3"	"4"	"3"	"2"	"3"	"6"	"6"	"305"	"0"	"305"	"0"
"166"	"10"	"80"	"12"	"157"	"14"	"226"	"35"	"9"	"6"	"1"	"4"	"5"	"4"	"7"	"480"	"0"	"480"	"0"
"167"	"11"	"81"	"3"	"50"	"2"	"101"	"33"	"3"	"39"	"7"	"1"	"4"	"3"	"7"	"253"	"0"	"253"	"0"
"168"	"12"	"82"	"17"	"174"	"15"	"68"	"1"	"4"	"51"	"9"	"5"	"6"	"3"	"9"	"362"	"0"	"362"	"0"
"169"	"13"	"83"	"13"	"280"	"7"	"120"	"8"	"3"	"30"	"1"	"0"	"1"	"2"	"6"	"471"	"0"	"471"	"0"
"170"	"14"	"84"	"39"	"117"	"4"	"277"	"5"	"0"	"14"	"2"	"6"	"1"	"3"	"7"	"475"	"0"	"475"	"0"
"171"	"Total Votes Polled"	""	"247"	"2816"	"96"	"1167"	"166"	"50"	"320"	"58"	"58"	"250"	"49"	"112"	"5389"	"0"	"5389"	"0"
"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"1"	"85"	"41"	"145"	"14"	"260"	"15"	"7"	"14"	"1"	"2"	"1"	"0"	"10"	"510"	"0"	"510"	"0"
"187"	"2"	"86"	"103"	"242"	"20"	"243"	"19"	"4"	"49"	"6"	"6"	"2"	"6"	"21"	"721"	"0"	"721"	"0"
"188"	"3"	"87"	"59"	"99"	"5"	"233"	"20"	"3"	"13"	"4"	"5"	"1"	"1"	"4"	"447"	"0"	"447"	"0"
"189"	"4"	"88"	"4"	"206"	"1"	"122"	"47"	"6"	"12"	"3"	"3"	"1"	"2"	"4"	"411"	"0"	"411"	"0"
"190"	"5"	"89"	"18"	"166"	"10"	"87"	"11"	"4"	"6"	"4"	"7"	"3"	"5"	"15"	"336"	"0"	"336"	"0"
