"Total.number.of.valid.votes"	"KRISHNA.SINGH"	"MD..JAWAID"	"DEOKI.PRASAD.AGRAWAL"	"NAUSHAD.ALAM"	"AAMIR.TAIYAB.AHMAD"	"TARCHAND.DHANUKA"	"CHITRANJAN.SINGH"	"TASIRUDDIN"	"SHYAM.SUNDER.THAKUR"	"SIKANDAR.SINGH"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"121"	96	19	9	14	5	5	233	10	7	7	238	547	0	547	0
"122"	97	22	33	17	4	7	175	5	2	5	240	510	0	510	0
"123"	98	20	26	29	5	5	80	6	7	6	284	468	0	468	0
"124"	NA	2894	5291	2719	22790	953	13592	695	1369	621	5470	56394	0	56394	0
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"127"	NA	2894	5291	2719	22790	953	13592	695	1369	621	5470	56394	0	56394	0
"128"	99	37	45	43	14	13	172	8	13	13	267	625	0	625	0
"129"	100	51	61	22	54	5	142	13	15	19	485	867	0	867	0
"130"	101	37	115	146	131	6	84	5	17	7	287	835	0	835	0
"131"	102	2	6	80	1	1	112	4	1	7	282	496	0	496	0
"132"	103	34	169	55	98	4	130	7	11	15	94	617	0	617	0
"133"	104	20	7	81	9	3	20	2	5	5	210	362	0	362	0
"134"	105	20	85	66	182	2	47	5	6	3	17	433	0	433	0
"135"	106	5	10	10	54	4	135	3	6	7	281	515	0	515	0
"136"	107	25	105	34	69	5	187	4	17	16	501	963	0	963	0
"137"	108	18	25	95	47	9	271	12	11	15	266	769	0	769	0
"138"	109	19	54	20	224	6	55	5	8	6	58	455	0	455	0
"139"	110	46	26	290	9	3	50	3	5	13	157	602	0	602	0
"140"	111	24	31	384	10	3	118	3	7	4	157	741	0	741	0
"141"	112	6	37	108	46	0	59	1	8	0	14	279	0	279	0
"142"	NA	3238	6067	4153	23738	1017	15174	770	1499	751	8546	64953	0	64953	0
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"145"	NA	3238	6067	4153	23738	1017	15174	770	1499	751	8546	64953	0	64953	0
"146"	113	17	73	337	107	10	160	4	6	8	18	740	0	740	0
"147"	114	43	56	354	7	2	117	3	8	6	71	667	0	667	0
"148"	115	10	34	371	16	6	183	5	11	11	124	771	0	771	0
"149"	116	26	36	385	46	5	37	8	19	4	44	610	0	610	0
"150"	117	235	23	275	12	4	166	8	4	11	92	830	0	830	0
"151"	118	82	8	252	6	1	42	4	2	3	89	489	0	489	0
"152"	119	61	400	21	50	13	65	6	54	6	8	684	0	684	0
"153"	120	23	127	14	6	6	16	6	68	3	18	287	0	287	0
"154"	121	27	93	31	5	6	128	4	20	2	159	475	0	475	0
"155"	122	13	71	21	2	0	86	1	18	6	120	338	0	338	0
"156"	123	13	14	71	2	9	133	11	15	11	332	611	0	611	0
"157"	124	33	373	32	39	10	50	10	48	11	72	678	0	678	0
"158"	125	21	28	48	0	4	185	7	9	8	249	559	0	559	0
"159"	126	24	58	34	8	11	330	10	18	10	248	751	0	751	0
"160"	NA	3866	7461	6399	24044	1104	16872	857	1799	851	10190	73443	0	73443	0
"161"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"162"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"163"	NA	3866	7461	6399	24044	1104	16872	857	1799	851	10190	73443	0	73443	0
"164"	127	44	119	78	12	12	288	11	12	11	41	628	0	628	0
"165"	128	13	208	140	19	4	107	6	50	17	104	668	0	668	0
"166"	129	45	162	147	15	7	248	9	21	15	117	786	0	786	0
"167"	130	69	15	132	8	2	99	1	2	2	14	344	0	344	0
"168"	131	13	9	81	6	5	200	4	10	12	252	592	0	592	0
"169"	132	20	143	46	19	9	183	14	16	20	169	639	0	639	0
"170"	133	30	52	35	7	5	287	5	14	11	213	659	0	659	0
"171"	134	29	92	33	16	5	280	6	10	8	146	625	0	625	0
"172"	135	39	215	79	18	7	177	6	17	10	300	868	0	868	0
"173"	136	29	192	41	18	6	267	4	45	7	44	653	0	653	0
"174"	137	12	114	154	6	3	50	3	13	1	42	398	0	398	0
"175"	138	24	180	130	7	7	71	2	38	1	102	562	0	562	0
"176"	139	40	240	34	10	6	208	3	102	10	13	666	0	666	0
"177"	140	35	304	72	31	5	113	9	37	16	69	691	0	691	0
"178"	NA	4308	9506	7601	24236	1187	19450	940	2186	992	11816	82222	0	82222	0
"179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"181"	NA	4308	9506	7601	24236	1187	19450	940	2186	992	11816	82222	0	82222	0
"182"	141	31	304	63	46	11	54	8	93	14	73	697	0	697	0
"183"	142	8	145	43	53	7	77	3	31	5	9	381	0	381	0
"184"	143	21	214	15	7	4	20	6	100	12	71	470	0	470	0
"185"	144	22	30	187	5	1	8	1	16	3	268	541	0	541	0
"186"	145	31	284	35	35	9	50	6	69	3	18	540	0	540	0
"187"	146	16	83	126	30	7	88	4	54	6	114	528	0	528	0
"188"	147	9	210	51	31	7	39	9	61	6	12	435	0	435	0
"189"	148	47	245	50	171	8	262	5	27	6	45	866	0	866	0
"190"	149	9	38	9	17	5	226	6	9	9	81	409	0	409	0
"191"	150	21	233	26	136	6	151	9	17	9	32	640	0	640	0
"192"	151	114	123	35	256	13	114	6	16	4	30	711	0	711	0
"193"	152	40	179	18	13	4	160	4	92	4	17	531	0	531	0
"194"	153	54	222	41	8	16	178	9	72	8	21	629	0	629	0
"195"	154	23	412	63	62	3	55	6	32	5	24	685	0	685	0
"196"	NA	4754	12228	8363	25106	1288	20932	1022	2875	1086	12631	90285	0	90285	0
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"199"	NA	4754	12228	8363	25106	1288	20932	1022	2875	1086	12631	90285	0	90285	0
"200"	155	7	302	56	10	3	27	4	3	5	22	439	0	439	0
"201"	156	37	69	161	28	12	196	10	55	9	56	633	0	633	0
"202"	157	25	166	88	66	12	246	17	58	5	36	719	0	719	0
"203"	158	17	148	34	55	0	58	8	100	6	12	438	0	438	0
"204"	159	24	452	50	46	6	70	4	26	1	5	684	0	684	0
"205"	160	25	370	34	23	11	24	1	66	8	15	577	0	577	0
"206"	161	10	63	36	3	4	167	2	94	4	21	404	0	404	0
"207"	162	21	121	76	6	11	160	1	28	2	14	440	0	440	0
"208"	163	30	182	145	12	16	175	11	71	14	98	754	0	754	0
"209"	164	33	221	14	10	10	62	3	238	8	32	631	0	631	0
"210"	165	34	295	122	15	9	112	8	155	9	27	786	0	786	0
"211"	166	25	111	20	27	10	128	10	169	9	26	535	0	535	0
"212"	167	48	117	37	32	14	56	11	283	18	29	645	0	645	0
"213"	168	37	182	37	8	6	136	7	192	5	66	676	0	676	0
"214"	NA	5127	15027	9273	25447	1412	22549	1119	4413	1189	13090	98646	0	98646	0
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"217"	NA	5127	15027	9273	25447	1412	22549	1119	4413	1189	13090	98646	0	98646	0
"218"	169	23	169	54	11	4	64	6	145	16	58	550	0	550	0
"219"	170	14	111	26	2	9	44	8	273	10	32	529	0	529	0
"220"	171	17	333	24	11	8	60	11	181	8	61	714	0	714	0
"221"	172	16	83	11	10	1	63	8	218	6	26	442	0	442	0
"222"	173	7	156	206	10	7	42	6	57	2	106	599	0	599	0
"223"	174	20	70	88	9	7	46	7	100	8	68	423	0	423	0
"224"	175	11	184	54	5	5	45	5	113	4	36	462	0	462	0
"225"	NA	26	238	17	10	8	18	5	172	11	30	535	0	535	0
"226"	176	10	39	12	4	4	40	10	356	12	30	517	0	517	0
"227"	177	45	46	58	11	5	26	10	449	24	84	758	0	758	0
"228"	178	33	87	59	15	14	140	8	316	11	56	739	0	739	0
"229"	179	17	79	57	4	7	12	2	221	10	29	438	0	438	0
"230"	180	29	284	53	14	7	82	5	19	3	12	508	0	508	0
"231"	181	16	368	34	21	5	62	2	10	3	13	534	0	534	0
"232"	NA	5411	17274	10026	25584	1503	23293	1212	7043	1317	13731	106394	0	106394	0
"233"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"234"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"235"	NA	5411	17274	10026	25584	1503	23293	1212	7043	1317	13731	106394	0	106394	0
"236"	182	16	387	20	28	3	28	0	20	2	1	505	0	505	0
"237"	183	14	289	135	17	5	51	4	10	2	14	541	0	541	0
"238"	184	23	538	107	13	7	77	5	34	7	10	821	0	821	0
"239"	185	20	363	149	7	7	76	5	23	4	11	665	0	665	0
"240"	186	18	346	108	16	16	117	3	17	5	20	666	0	666	0
"241"	187	21	195	130	11	4	52	7	213	7	66	706	0	706	0
"242"	188	44	160	32	5	10	12	4	257	5	31	560	0	560	0
"243"	189	17	94	83	8	5	15	8	100	3	65	398	0	398	0
"244"	190	22	144	61	17	7	7	10	172	6	23	469	0	469	0
"245"	191	10	304	44	11	6	19	5	225	5	16	645	0	645	0
"246"	192	32	284	87	16	10	67	7	23	6	77	609	0	609	0
"247"	193	7	146	5	3	2	42	0	50	5	18	278	0	278	0
"248"	194	9	149	46	6	4	48	8	50	6	114	440	0	440	0
"249"	195	22	352	95	9	9	65	3	4	5	30	594	0	594	0
"250"	NA	5686	21025	11128	25751	1598	23969	1281	8241	1385	14227	114291	0	114291	0
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"253"	NA	5686	21025	11128	25751	1598	23969	1281	8241	1385	14227	114291	0	114291	0
"254"	196	21	184	67	8	7	121	5	52	9	38	512	0	512	0
"255"	197	18	335	21	3	4	33	4	1	3	10	432	0	432	0
"256"	198	50	458	28	18	5	119	2	8	2	14	704	0	704	0
"257"	199	26	286	43	9	6	251	4	13	4	30	672	0	672	0
"258"	200	12	58	48	2	3	81	7	14	7	251	483	0	483	0
"259"	201	32	138	100	6	9	168	6	22	2	244	727	0	727	0
"260"	202	5	39	15	1	1	109	2	1	0	7	180	0	180	0
"261"	203	49	386	19	5	5	89	7	67	4	18	649	0	649	0
"262"	204	16	264	45	12	3	95	5	21	6	45	512	0	512	0
"263"	205	18	32	16	79	9	124	8	113	6	13	418	0	418	0
"264"	206	12	123	13	8	4	9	2	62	4	12	249	0	249	0
"265"	207	18	95	19	32	13	238	13	264	12	44	748	0	748	0
"266"	208	42	79	41	7	10	50	8	245	5	135	622	0	622	0
"267"	209	6	28	35	10	4	248	4	76	3	27	441	0	441	0
"268"	NA	6011	23530	11638	25951	1681	25704	1358	9200	1452	15115	121640	0	121640	0
"269"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"270"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"271"	NA	6011	23530	11638	25951	1681	25704	1358	9200	1452	15115	121640	0	121640	0
"272"	210	20	191	74	18	6	55	4	119	5	23	515	0	515	0
"273"	211	21	246	62	11	9	44	3	229	3	9	637	0	637	0
"274"	212	40	111	36	11	4	42	4	140	9	18	415	0	415	0
"275"	213	16	175	6	9	4	11	5	221	2	11	460	0	460	0
"276"	214	124	208	53	4	5	136	3	55	7	50	645	0	645	0
"277"	215	14	396	29	16	4	22	3	71	17	95	667	0	667	0
"278"	216	13	149	32	10	5	227	2	21	2	57	518	0	518	0
"279"	217	8	106	10	3	7	106	3	200	8	12	463	0	463	0
"280"	218	33	365	18	23	2	61	7	121	7	10	647	0	647	0
"281"	219	34	410	19	9	4	104	12	46	7	13	658	0	658	0
"282"	220	38	370	18	12	5	42	2	91	6	47	631	0	631	0
"283"	221	24	362	35	31	6	82	8	76	7	44	675	0	675	0
"284"	222	20	237	17	4	8	227	10	64	3	38	628	0	628	0
"285"	223	21	187	20	6	4	198	9	74	9	15	543	0	543	0
"286"	NA	6437	27043	12067	26118	1754	27061	1433	10728	1544	15557	129742	0	129742	0
"287"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"289"	NA	6437	27043	12067	26118	1754	27061	1433	10728	1544	15557	129742	0	129742	0
"290"	224	25	234	32	9	9	179	14	215	13	34	764	0	764	0
"291"	225	25	283	35	6	11	141	10	61	6	43	621	0	621	0
"292"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"293"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"294"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"295"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"296"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"297"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"298"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"299"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"300"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"301"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"302"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"303"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"304"	NA	6487	27560	12134	26133	1774	27381	1457	11004	1563	15634	131127	0	131127	0
