"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"41"	"23"	"19"	"23"	"5"	"137"	"8"	"0"	"2"	"0"	"8"	"4"	"2"	"6"	"13"	"3"	"4"	"13"	"112"	"11"	"8"	"8"	"7"	"393"
"42"	"24"	"85"	"103"	"4"	"126"	"19"	"5"	"5"	"6"	"8"	"6"	"7"	"8"	"4"	"7"	"16"	"41"	"15"	"2"	"1"	"30"	"5"	"503"
"43"	"25"	"5"	"39"	"2"	"132"	"7"	"0"	"0"	"3"	"8"	"0"	"4"	"11"	"0"	"1"	"1"	"2"	"3"	"1"	"2"	"19"	"0"	"240"
"44"	"26"	"22"	"46"	"4"	"168"	"12"	"4"	"9"	"9"	"43"	"5"	"72"	"4"	"4"	"15"	"4"	"15"	"0"	"2"	"0"	"18"	"1"	"457"
"45"	"27"	"52"	"53"	"30"	"151"	"9"	"4"	"5"	"2"	"78"	"6"	"12"	"7"	"4"	"5"	"4"	"15"	"7"	"1"	"6"	"6"	"1"	"458"
"46"	"28"	"55"	"38"	"8"	"256"	"24"	"4"	"8"	"7"	"58"	"11"	"7"	"43"	"7"	"16"	"11"	"34"	"21"	"2"	"11"	"38"	"6"	"665"
"47"	";ksx"	"359"	"618"	"89"	"1912"	"166"	"67"	"61"	"276"	"333"	"60"	"672"	"192"	"90"	"75"	"79"	"233"	"551"	"61"	"71"	"400"	"85"	"6450"
"48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"52"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3rd Round"	""	""	""
"59"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"60"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"61"	"29"	"123"	"42"	"11"	"355"	"25"	"8"	"7"	"12"	"33"	"6"	"8"	"41"	"9"	"9"	"16"	"26"	"29"	"6"	"4"	"53"	"2"	"825"
"62"	"30"	"25"	"35"	"3"	"58"	"9"	"0"	"2"	"2"	"4"	"1"	"0"	"8"	"2"	"1"	"1"	"1"	"24"	"1"	"2"	"41"	"0"	"220"
"63"	"31"	"47"	"170"	"4"	"222"	"5"	"2"	"4"	"5"	"86"	"10"	"2"	"120"	"9"	"5"	"12"	"7"	"3"	"2"	"8"	"24"	"3"	"750"
"64"	"32"	"28"	"7"	"6"	"218"	"7"	"1"	"6"	"17"	"18"	"8"	"208"	"1"	"0"	"0"	"1"	"2"	"4"	"3"	"0"	"4"	"2"	"541"
"65"	"33"	"173"	"36"	"3"	"63"	"6"	"2"	"3"	"6"	"21"	"1"	"106"	"3"	"4"	"3"	"5"	"12"	"7"	"3"	"1"	"2"	"2"	"462"
"66"	"34"	"162"	"74"	"0"	"119"	"7"	"5"	"0"	"6"	"12"	"5"	"230"	"3"	"3"	"1"	"4"	"4"	"7"	"0"	"1"	"3"	"0"	"646"
"67"	"35"	"114"	"22"	"17"	"81"	"6"	"1"	"5"	"7"	"60"	"5"	"304"	"5"	"2"	"1"	"3"	"6"	"8"	"0"	"1"	"0"	"2"	"650"
"68"	"36"	"95"	"62"	"1"	"101"	"8"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"2"	"1"	"3"	"7"	"1"	"0"	"1"	"6"	"4"	"298"
"69"	"37"	"78"	"29"	"3"	"73"	"13"	"3"	"6"	"15"	"70"	"5"	"123"	"4"	"3"	"4"	"10"	"7"	"4"	"1"	"2"	"7"	"2"	"462"
"70"	"38"	"189"	"213"	"3"	"130"	"12"	"1"	"3"	"1"	"19"	"0"	"21"	"2"	"0"	"1"	"2"	"6"	"2"	"1"	"0"	"4"	"0"	"610"
"71"	"39"	"43"	"70"	"5"	"137"	"17"	"3"	"1"	"1"	"34"	"5"	"21"	"3"	"8"	"6"	"8"	"9"	"4"	"3"	"6"	"5"	"4"	"393"
"72"	"40"	"94"	"155"	"8"	"91"	"23"	"3"	"3"	"3"	"76"	"5"	"26"	"4"	"6"	"9"	"6"	"20"	"3"	"2"	"5"	"7"	"6"	"555"
"73"	"41"	"106"	"34"	"6"	"82"	"5"	"3"	"2"	"1"	"27"	"3"	"45"	"16"	"4"	"2"	"2"	"6"	"8"	"1"	"0"	"3"	"2"	"358"
"74"	"42"	"46"	"41"	"10"	"110"	"21"	"4"	"3"	"0"	"36"	"5"	"4"	"38"	"21"	"13"	"7"	"33"	"112"	"8"	"3"	"8"	"5"	"528"
"75"	";ksx"	"1323"	"990"	"80"	"1840"	"164"	"37"	"47"	"76"	"497"	"59"	"1100"	"248"	"73"	"56"	"80"	"146"	"216"	"31"	"34"	"167"	"34"	"7298"
"76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4th Round"	""	""	""
"87"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"88"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"89"	"43"	"7"	"17"	"29"	"128"	"6"	"3"	"3"	"6"	"106"	"6"	"12"	"57"	"4"	"4"	"1"	"20"	"104"	"9"	"10"	"3"	"4"	"539"
"90"	"44"	"30"	"26"	"9"	"260"	"13"	"6"	"6"	"11"	"129"	"6"	"32"	"9"	"9"	"7"	"1"	"6"	"26"	"4"	"0"	"9"	"1"	"600"
"91"	"45"	"55"	"9"	"4"	"96"	"2"	"2"	"1"	"0"	"36"	"2"	"0"	"5"	"7"	"1"	"2"	"6"	"322"	"15"	"10"	"6"	"10"	"591"
"92"	"46"	"13"	"52"	"1"	"97"	"28"	"1"	"3"	"3"	"12"	"2"	"12"	"2"	"9"	"9"	"0"	"12"	"267"	"21"	"7"	"19"	"15"	"585"
"93"	"47"	"4"	"7"	"0"	"117"	"5"	"0"	"2"	"2"	"6"	"1"	"7"	"20"	"8"	"4"	"5"	"10"	"512"	"15"	"3"	"12"	"1"	"741"
"94"	"48"	"7"	"7"	"0"	"27"	"0"	"1"	"0"	"2"	"11"	"0"	"5"	"1"	"1"	"1"	"0"	"2"	"203"	"14"	"6"	"27"	"6"	"321"
"95"	"49"	"19"	"198"	"5"	"159"	"52"	"2"	"6"	"5"	"40"	"3"	"13"	"17"	"6"	"13"	"15"	"28"	"26"	"0"	"2"	"0"	"2"	"611"
"96"	"50"	"37"	"114"	"0"	"103"	"16"	"0"	"2"	"0"	"3"	"3"	"13"	"1"	"5"	"1"	"5"	"5"	"12"	"4"	"3"	"3"	"7"	"337"
"97"	"51"	"167"	"30"	"4"	"133"	"24"	"8"	"6"	"2"	"28"	"9"	"15"	"8"	"14"	"6"	"7"	"47"	"19"	"3"	"5"	"2"	"6"	"543"
"98"	"52"	"104"	"98"	"2"	"63"	"5"	"0"	"0"	"0"	"15"	"8"	"4"	"1"	"2"	"0"	"2"	"1"	"27"	"1"	"0"	"0"	"1"	"334"
"99"	"53"	"303"	"52"	"5"	"88"	"16"	"4"	"2"	"2"	"27"	"4"	"1"	"3"	"0"	"1"	"3"	"18"	"8"	"1"	"0"	"0"	"0"	"538"
"100"	"54"	"38"	"52"	"7"	"881"	"13"	"3"	"2"	"1"	"11"	"1"	"12"	"3"	"1"	"0"	"1"	"18"	"1"	"1"	"0"	"0"	"1"	"1047"
"101"	"55"	"24"	"32"	"1"	"947"	"4"	"1"	"1"	"0"	"10"	"3"	"6"	"4"	"2"	"1"	"3"	"5"	"11"	"1"	"0"	"6"	"0"	"1062"
"102"	"56"	"9"	"81"	"6"	"104"	"24"	"2"	"4"	"5"	"89"	"5"	"12"	"9"	"5"	"1"	"4"	"8"	"19"	"3"	"6"	"22"	"6"	"424"
"103"	";ksx"	"817"	"775"	"73"	"3203"	"208"	"33"	"38"	"39"	"523"	"53"	"144"	"140"	"73"	"49"	"49"	"186"	"1557"	"92"	"52"	"109"	"60"	"8273"
"104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"108"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5th Round"	""	""	""
"115"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"117"	"57"	"3"	"29"	"3"	"193"	"23"	"4"	"2"	"6"	"80"	"8"	"16"	"6"	"12"	"3"	"8"	"23"	"1"	"2"	"3"	"46"	"3"	"474"
"118"	"58"	"8"	"19"	"9"	"289"	"22"	"5"	"10"	"3"	"22"	"14"	"21"	"14"	"11"	"7"	"9"	"23"	"6"	"2"	"2"	"8"	"7"	"511"
"119"	"59"	"1"	"3"	"5"	"199"	"1"	"0"	"0"	"0"	"8"	"3"	"83"	"2"	"1"	"1"	"2"	"0"	"3"	"0"	"3"	"423"	"0"	"738"
"120"	"60"	"0"	"1"	"0"	"94"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"307"	"1"	"410"
"121"	"61"	"3"	"84"	"2"	"117"	"21"	"2"	"5"	"8"	"21"	"3"	"26"	"8"	"5"	"13"	"3"	"9"	"24"	"4"	"1"	"24"	"6"	"389"
"122"	"62"	"2"	"113"	"3"	"95"	"6"	"4"	"1"	"5"	"56"	"6"	"14"	"3"	"4"	"2"	"1"	"5"	"1"	"1"	"3"	"10"	"3"	"338"
"123"	"63"	"29"	"353"	"2"	"44"	"7"	"2"	"1"	"2"	"19"	"6"	"32"	"0"	"2"	"0"	"1"	"1"	"3"	"1"	"2"	"40"	"2"	"549"
"124"	"64"	"18"	"235"	"4"	"67"	"22"	"1"	"1"	"3"	"5"	"10"	"7"	"1"	"4"	"2"	"10"	"6"	"3"	"4"	"1"	"6"	"2"	"412"
"125"	"65"	"4"	"45"	"3"	"270"	"26"	"0"	"4"	"5"	"31"	"2"	"14"	"1"	"1"	"2"	"4"	"4"	"2"	"3"	"1"	"6"	"2"	"430"
"126"	"66"	"1"	"1"	"0"	"45"	"1"	"5"	"0"	"0"	"13"	"3"	"854"	"2"	"0"	"0"	"8"	"0"	"8"	"0"	"1"	"0"	"0"	"942"
"127"	"67"	"0"	"0"	"1"	"74"	"3"	"0"	"1"	"1"	"1"	"3"	"624"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"2"	"1"	"2"	"721"
"128"	"68"	"1"	"105"	"3"	"13"	"21"	"2"	"1"	"4"	"111"	"6"	"8"	"4"	"4"	"8"	"3"	"11"	"34"	"3"	"5"	"13"	"2"	"362"
"129"	"69"	"5"	"108"	"0"	"38"	"15"	"4"	"2"	"7"	"32"	"6"	"145"	"7"	"9"	"26"	"12"	"16"	"47"	"5"	"6"	"9"	"4"	"503"
"130"	"70"	"16"	"56"	"5"	"90"	"25"	"2"	"3"	"3"	"13"	"3"	"8"	"3"	"3"	"16"	"4"	"11"	"5"	"3"	"2"	"15"	"5"	"291"
"131"	";ksx"	"91"	"1152"	"40"	"1628"	"193"	"31"	"32"	"47"	"413"	"73"	"1852"	"53"	"56"	"74"	"75"	"109"	"142"	"30"	"32"	"908"	"39"	"7070"
"132"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"6th Round"	""	""	""
