"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"15"	"14"	"15"	"12"	"351"	"9"	"15"	"1"	"9"	"8"	"7"	"312"	"12"	"1"	"3"	"10"	"1"	"13"	"1"	"780"	""	"780"	""
"16"	"Grand Total
(Round 1)"	"104"	"334"	"2358"	"721"	"1215"	"62"	"82"	"53"	"35"	"1610"	"57"	"58"	"47"	"45"	"48"	"133"	"41"	"7003"	"0"	"7003"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"18"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"19"	"15"	"16"	"4"	"174"	"23"	"216"	"10"	"9"	"8"	"3"	"78"	"8"	"8"	"5"	"2"	"4"	"4"	"0"	"572"	""	"572"	""
"20"	"16"	"11"	"4"	"203"	"12"	"21"	"3"	"9"	"6"	"6"	"94"	"1"	"3"	"2"	"3"	"3"	"5"	"6"	"392"	""	"392"	""
"21"	"17"	"7"	"3"	"158"	"95"	"18"	"5"	"6"	"3"	"0"	"63"	"1"	"1"	"3"	"1"	"0"	"1"	"0"	"365"	""	"365"	""
"22"	"18"	"57"	"9"	"216"	"129"	"156"	"20"	"12"	"10"	"3"	"33"	"7"	"13"	"9"	"8"	"9"	"8"	"13"	"712"	""	"712"	""
"23"	"19"	"8"	"15"	"167"	"118"	"92"	"6"	"11"	"2"	"2"	"18"	"9"	"11"	"9"	"5"	"8"	"22"	"1"	"504"	""	"504"	""
"24"	"20"	"129"	"9"	"111"	"69"	"67"	"8"	"7"	"3"	"4"	"70"	"10"	"6"	"11"	"8"	"9"	"21"	"4"	"546"	""	"546"	""
"25"	"21"	"23"	"10"	"103"	"40"	"47"	"4"	"2"	"3"	"0"	"101"	"1"	"1"	"1"	"1"	"2"	"3"	"0"	"342"	""	"342"	""
"26"	"22"	"41"	"11"	"115"	"56"	"186"	"12"	"6"	"3"	"3"	"35"	"2"	"13"	"7"	"10"	"7"	"16"	"4"	"527"	""	"527"	""
"27"	"23"	"4"	"17"	"138"	"104"	"68"	"2"	"1"	"2"	"2"	"23"	"1"	"10"	"4"	"8"	"1"	"8"	"1"	"394"	""	"394"	""
"28"	"24"	"219"	"6"	"83"	"36"	"82"	"7"	"2"	"0"	"1"	"16"	"0"	"2"	"2"	"1"	"0"	"18"	"3"	"478"	""	"478"	""
"29"	"25"	"43"	"7"	"69"	"136"	"76"	"10"	"5"	"4"	"5"	"72"	"7"	"4"	"5"	"4"	"6"	"29"	"3"	"485"	""	"485"	""
"30"	"26"	"3"	"3"	"78"	"268"	"61"	"5"	"2"	"5"	"1"	"54"	"3"	"9"	"10"	"4"	"7"	"4"	"0"	"517"	""	"517"	""
"31"	"27"	"170"	"16"	"88"	"111"	"19"	"10"	"10"	"3"	"1"	"29"	"1"	"6"	"4"	"2"	"1"	"21"	"8"	"500"	""	"500"	""
"32"	"28"	"319"	"7"	"31"	"181"	"89"	"10"	"3"	"6"	"0"	"12"	"3"	"4"	"5"	"3"	"2"	"6"	"4"	"685"	""	"685"	""
"33"	"Grand Total
(Round 2)"	"1050"	"121"	"1734"	"1378"	"1198"	"112"	"85"	"58"	"31"	"698"	"54"	"91"	"77"	"60"	"59"	"166"	"47"	"7019"	"0"	"7019"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"36"	"29"	"5"	"73"	"124"	"126"	"52"	"3"	"7"	"4"	"1"	"47"	"7"	"16"	"7"	"7"	"7"	"25"	"11"	"522"	""	"522"	""
"37"	"30"	"16"	"1"	"12"	"157"	"126"	"15"	"6"	"6"	"1"	"37"	"10"	"8"	"15"	"4"	"8"	"28"	"5"	"455"	""	"455"	""
"38"	"31"	"10"	"14"	"194"	"59"	"84"	"4"	"4"	"1"	"2"	"25"	"3"	"6"	"2"	"2"	"0"	"4"	"5"	"419"	""	"419"	""
"39"	"32"	"40"	"102"	"105"	"76"	"19"	"2"	"2"	"0"	"0"	"2"	"1"	"2"	"9"	"0"	"4"	"2"	"3"	"369"	""	"369"	""
"40"	"33"	"7"	"5"	"398"	"9"	"3"	"2"	"4"	"3"	"1"	"30"	"1"	"4"	"1"	"16"	"2"	"12"	"7"	"505"	""	"505"	""
"41"	"34"	"1"	"0"	"465"	"4"	"2"	"1"	"1"	"34"	"0"	"45"	"0"	"1"	"4"	"0"	"0"	"2"	"0"	"560"	""	"560"	""
"42"	"35"	"1"	"3"	"109"	"6"	"38"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"53"	"3"	"1"	"4"	"0"	"224"	""	"224"	""
"43"	"36"	"3"	"6"	"242"	"12"	"5"	"4"	"8"	"2"	"3"	"136"	"6"	"2"	"2"	"9"	"3"	"5"	"5"	"453"	""	"453"	""
"44"	"37"	"4"	"0"	"165"	"39"	"127"	"3"	"3"	"2"	"0"	"16"	"2"	"0"	"3"	"2"	"0"	"0"	"1"	"367"	""	"367"	""
"45"	"38"	"75"	"140"	"80"	"41"	"5"	"3"	"11"	"2"	"1"	"55"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"419"	""	"419"	""
"46"	"39"	"28"	"139"	"76"	"110"	"40"	"3"	"8"	"3"	"5"	"16"	"2"	"3"	"4"	"2"	"2"	"11"	"0"	"452"	""	"452"	""
"47"	"40"	"1"	"89"	"92"	"9"	"9"	"0"	"1"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"211"	""	"211"	""
"48"	"41"	"39"	"98"	"108"	"117"	"29"	"4"	"3"	"6"	"4"	"47"	"4"	"3"	"5"	"8"	"6"	"12"	"3"	"496"	""	"496"	""
"49"	"42"	"33"	"2"	"97"	"136"	"104"	"13"	"8"	"8"	"7"	"88"	"8"	"5"	"10"	"4"	"2"	"16"	"4"	"545"	""	"545"	""
"50"	"Grand Total
(Round 3)"	"263"	"672"	"2267"	"901"	"643"	"57"	"67"	"72"	"26"	"554"	"48"	"53"	"115"	"57"	"37"	"121"	"44"	"5997"	"0"	"5997"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"53"	"43"	"9"	"27"	"219"	"114"	"52"	"6"	"8"	"7"	"8"	"28"	"7"	"17"	"12"	"16"	"6"	"23"	"7"	"566"	""	"566"	""
"54"	"44"	"1"	"247"	"46"	"70"	"13"	"3"	"0"	"1"	"4"	"119"	"3"	"0"	"0"	"0"	"4"	"4"	"0"	"515"	""	"515"	""
"55"	"45"	"84"	"97"	"177"	"53"	"104"	"5"	"3"	"1"	"1"	"7"	"4"	"3"	"9"	"4"	"6"	"14"	"1"	"573"	""	"573"	""
"56"	"46"	"2"	"7"	"306"	"56"	"64"	"2"	"6"	"0"	"0"	"12"	"2"	"2"	"1"	"0"	"0"	"3"	"0"	"463"	""	"463"	""
"57"	"47"	"27"	"1"	"16"	"196"	"90"	"8"	"4"	"4"	"7"	"12"	"2"	"8"	"16"	"5"	"5"	"11"	"2"	"414"	""	"414"	""
"58"	"48"	"159"	"9"	"14"	"57"	"43"	"5"	"7"	"6"	"3"	"67"	"8"	"4"	"8"	"1"	"1"	"11"	"5"	"408"	""	"408"	""
"59"	"49"	"39"	"5"	"105"	"113"	"65"	"6"	"9"	"7"	"0"	"33"	"9"	"7"	"7"	"3"	"3"	"21"	"5"	"437"	""	"437"	""
"60"	"50"	"4"	"0"	"100"	"86"	"173"	"13"	"3"	"3"	"4"	"5"	"5"	"13"	"11"	"6"	"4"	"23"	"6"	"459"	""	"459"	""
"61"	"51"	"69"	"32"	"32"	"26"	"337"	"10"	"4"	"4"	"3"	"36"	"7"	"8"	"4"	"3"	"4"	"8"	"1"	"588"	""	"588"	""
"62"	"52"	"74"	"6"	"33"	"189"	"53"	"3"	"2"	"2"	"5"	"25"	"55"	"6"	"6"	"4"	"3"	"8"	"6"	"480"	""	"480"	""
"63"	"53"	"41"	"5"	"146"	"57"	"227"	"13"	"10"	"4"	"5"	"46"	"7"	"9"	"3"	"2"	"5"	"8"	"3"	"591"	""	"591"	""
"64"	"54"	"0"	"2"	"360"	"25"	"49"	"1"	"1"	"0"	"0"	"14"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"455"	""	"455"	""
"65"	"55"	"10"	"2"	"46"	"55"	"92"	"6"	"4"	"4"	"4"	"75"	"3"	"10"	"12"	"9"	"7"	"14"	"6"	"359"	""	"359"	""
"66"	"56"	"18"	"5"	"333"	"41"	"52"	"0"	"9"	"2"	"4"	"38"	"2"	"9"	"5"	"2"	"1"	"10"	"2"	"533"	""	"533"	""
"67"	"Grand Total
(Round 4)"	"537"	"445"	"1933"	"1138"	"1414"	"81"	"70"	"45"	"48"	"517"	"114"	"98"	"94"	"55"	"49"	"159"	"44"	"6841"	"0"	"6841"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"70"	"57"	"8"	"5"	"91"	"12"	"43"	"5"	"1"	"2"	"2"	"5"	"1"	"3"	"3"	"0"	"0"	"3"	"3"	"187"	""	"187"	""
"71"	"58"	"5"	"4"	"162"	"42"	"75"	"9"	"5"	"4"	"3"	"117"	"1"	"10"	"7"	"4"	"1"	"9"	"4"	"462"	""	"462"	""
"72"	"59"	"56"	"3"	"94"	"203"	"187"	"15"	"1"	"2"	"2"	"11"	"1"	"8"	"14"	"6"	"1"	"26"	"25"	"655"	""	"655"	""
"73"	"60"	"121"	"8"	"87"	"138"	"131"	"9"	"2"	"0"	"1"	"3"	"0"	"6"	"4"	"6"	"1"	"3"	"17"	"537"	""	"537"	""
"74"	"61"	"24"	"21"	"140"	"287"	"47"	"5"	"7"	"4"	"4"	"20"	"3"	"6"	"9"	"8"	"4"	"9"	"9"	"607"	""	"607"	""
"75"	"62"	"54"	"41"	"121"	"254"	"31"	"3"	"6"	"5"	"0"	"35"	"0"	"6"	"0"	"2"	"0"	"3"	"3"	"564"	""	"564"	""
"76"	"63"	"4"	"9"	"86"	"139"	"38"	"5"	"6"	"7"	"6"	"148"	"10"	"8"	"5"	"7"	"6"	"20"	"4"	"508"	""	"508"	""
"77"	"64"	"20"	"41"	"22"	"357"	"23"	"5"	"5"	"6"	"6"	"9"	"9"	"9"	"13"	"5"	"5"	"17"	"1"	"553"	""	"553"	""
"78"	"65"	"37"	"179"	"327"	"23"	"56"	"9"	"13"	"4"	"1"	"5"	"5"	"5"	"8"	"8"	"7"	"8"	"5"	"700"	""	"700"	""
"79"	"66"	"487"	"17"	"19"	"32"	"81"	"8"	"3"	"1"	"4"	"39"	"4"	"7"	"3"	"6"	"8"	"20"	"13"	"752"	""	"752"	""
"80"	"67"	"38"	"4"	"312"	"41"	"6"	"2"	"15"	"5"	"6"	"133"	"4"	"7"	"5"	"5"	"8"	"15"	"4"	"610"	""	"610"	""
"81"	"68"	"2"	"31"	"226"	"96"	"29"	"5"	"12"	"1"	"1"	"33"	"1"	"6"	"3"	"0"	"0"	"3"	"2"	"451"	""	"451"	""
"82"	"69"	"6"	"7"	"141"	"305"	"105"	"11"	"13"	"6"	"2"	"6"	"4"	"5"	"9"	"10"	"1"	"13"	"0"	"644"	""	"644"	""
"83"	"70"	"37"	"11"	"120"	"77"	"147"	"14"	"7"	"8"	"7"	"32"	"5"	"12"	"6"	"3"	"6"	"16"	"4"	"512"	""	"512"	""
"84"	"Grand Total
(Round 5)"	"899"	"381"	"1948"	"2006"	"999"	"105"	"96"	"55"	"45"	"596"	"48"	"98"	"89"	"70"	"48"	"165"	"94"	"7742"	"0"	"7742"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"87"	"71"	"7"	"14"	"89"	"94"	"98"	"8"	"9"	"5"	"3"	"21"	"4"	"16"	"10"	"5"	"9"	"20"	"0"	"412"	""	"412"	""
"88"	"72"	"17"	"133"	"147"	"52"	"6"	"1"	"3"	"0"	"2"	"20"	"1"	"1"	"3"	"0"	"2"	"6"	"9"	"403"	""	"403"	""
"89"	"73"	"30"	"146"	"113"	"54"	"116"	"8"	"8"	"2"	"1"	"15"	"0"	"6"	"6"	"7"	"4"	"15"	"9"	"540"	""	"540"	""
"90"	"74"	"246"	"9"	"89"	"158"	"150"	"16"	"4"	"3"	"1"	"2"	"1"	"2"	"5"	"0"	"1"	"3"	"6"	"696"	""	"696"	""
"91"	"75"	"45"	"4"	"52"	"530"	"143"	"5"	"2"	"1"	"1"	"10"	"0"	"3"	"3"	"0"	"3"	"8"	"2"	"812"	""	"812"	""
"92"	"76"	"75"	"4"	"108"	"280"	"227"	"13"	"6"	"1"	"4"	"3"	"3"	"11"	"11"	"6"	"9"	"20"	"6"	"787"	""	"787"	""
"93"	"77"	"3"	"17"	"340"	"113"	"55"	"5"	"2"	"2"	"0"	"18"	"1"	"2"	"3"	"2"	"0"	"2"	"1"	"566"	""	"566"	""
"94"	"78"	"4"	"11"	"173"	"106"	"151"	"5"	"2"	"3"	"3"	"0"	"3"	"3"	"6"	"9"	"5"	"11"	"2"	"497"	""	"497"	""
"95"	"79"	"13"	"0"	"14"	"18"	"370"	"19"	"1"	"1"	"4"	"1"	"4"	"4"	"4"	"0"	"1"	"5"	"5"	"464"	""	"464"	""
"96"	"80"	"3"	"4"	"68"	"319"	"200"	"7"	"6"	"4"	"1"	"9"	"3"	"4"	"3"	"2"	"2"	"16"	"5"	"656"	""	"656"	""
"97"	"81"	"6"	"3"	"127"	"24"	"262"	"14"	"3"	"1"	"1"	"14"	"3"	"4"	"10"	"6"	"4"	"13"	"18"	"513"	""	"513"	""
"98"	"82"	"8"	"5"	"138"	"42"	"223"	"12"	"3"	"7"	"4"	"12"	"4"	"14"	"8"	"10"	"5"	"22"	"3"	"520"	""	"520"	""
"99"	"83"	"7"	"18"	"125"	"45"	"209"	"19"	"9"	"4"	"4"	"5"	"8"	"21"	"14"	"10"	"11"	"28"	"4"	"541"	""	"541"	""
"100"	"84"	"5"	"9"	"93"	"97"	"293"	"18"	"12"	"7"	"5"	"12"	"15"	"33"	"24"	"15"	"7"	"22"	"16"	"683"	""	"683"	""
"101"	"Grand Total
(Round 6)"	"469"	"377"	"1676"	"1932"	"2503"	"150"	"70"	"41"	"34"	"142"	"50"	"124"	"110"	"72"	"63"	"191"	"86"	"8090"	"0"	"8090"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"104"	"85"	"12"	"0"	"92"	"102"	"153"	"11"	"3"	"2"	"0"	"1"	"3"	"5"	"2"	"0"	"2"	"2"	"4"	"394"	""	"394"	""
"105"	"86"	"23"	"6"	"120"	"231"	"99"	"8"	"13"	"6"	"2"	"5"	"4"	"9"	"9"	"2"	"9"	"3"	"5"	"554"	""	"554"	""
"106"	"87"	"8"	"168"	"104"	"56"	"38"	"9"	"3"	"5"	"0"	"10"	"1"	"5"	"0"	"2"	"1"	"4"	"2"	"416"	""	"416"	""
"107"	"88"	"42"	"2"	"11"	"32"	"155"	"4"	"0"	"1"	"0"	"15"	"2"	"7"	"4"	"1"	"0"	"2"	"4"	"282"	""	"282"	""
"108"	"89"	"61"	"2"	"65"	"304"	"59"	"4"	"5"	"3"	"3"	"9"	"4"	"11"	"7"	"6"	"10"	"17"	"11"	"581"	""	"581"	""
"109"	"90"	"20"	"10"	"127"	"159"	"171"	"6"	"4"	"6"	"0"	"3"	"0"	"6"	"8"	"0"	"3"	"12"	"3"	"538"	""	"538"	""
"110"	"91"	"176"	"4"	"74"	"157"	"204"	"4"	"3"	"1"	"0"	"5"	"1"	"3"	"4"	"1"	"1"	"16"	"3"	"657"	""	"657"	""
"111"	"92"	"13"	"4"	"153"	"149"	"119"	"15"	"9"	"8"	"1"	"10"	"9"	"15"	"8"	"5"	"6"	"18"	"15"	"557"	""	"557"	""
"112"	"93"	"10"	"11"	"129"	"45"	"295"	"17"	"8"	"4"	"1"	"8"	"4"	"16"	"2"	"6"	"2"	"9"	"4"	"571"	""	"571"	""
"113"	"94"	"2"	"45"	"197"	"30"	"72"	"6"	"8"	"2"	"4"	"25"	"3"	"13"	"9"	"3"	"2"	"16"	"14"	"451"	""	"451"	""
"114"	"95"	"5"	"7"	"137"	"81"	"132"	"5"	"39"	"5"	"1"	"6"	"3"	"4"	"3"	"1"	"1"	"5"	"2"	"437"	""	"437"	""
"115"	"96"	"9"	"18"	"90"	"106"	"67"	"9"	"12"	"6"	"3"	"10"	"5"	"8"	"7"	"3"	"4"	"6"	"1"	"364"	""	"364"	""
"116"	"97"	"38"	"7"	"169"	"140"	"106"	"21"	"16"	"5"	"4"	"10"	"2"	"8"	"3"	"2"	"1"	"5"	"4"	"541"	""	"541"	""
"117"	"98"	"294"	"14"	"92"	"65"	"55"	"7"	"5"	"2"	"0"	"37"	"0"	"1"	"3"	"3"	"3"	"8"	"0"	"589"	""	"589"	""
"118"	"Grand Total
(Round 7)"	"713"	"298"	"1560"	"1657"	"1725"	"126"	"128"	"56"	"19"	"154"	"41"	"111"	"69"	"35"	"45"	"123"	"72"	"6932"	"0"	"6932"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"121"	"99"	"102"	"48"	"81"	"12"	"29"	"4"	"6"	"0"	"3"	"3"	"0"	"4"	"3"	"1"	"3"	"5"	"8"	"312"	""	"312"	""
"122"	"100"	"158"	"8"	"139"	"128"	"10"	"1"	"0"	"1"	"0"	"0"	"2"	"5"	"2"	"3"	"2"	"5"	"1"	"465"	""	"465"	""
"123"	"101"	"15"	"34"	"77"	"100"	"243"	"13"	"10"	"9"	"3"	"4"	"0"	"5"	"4"	"2"	"1"	"6"	"5"	"531"	""	"531"	""
"124"	"102"	"5"	"40"	"62"	"75"	"208"	"11"	"10"	"5"	"7"	"22"	"6"	"21"	"12"	"7"	"6"	"30"	"4"	"531"	""	"531"	""
"125"	"103"	"35"	"51"	"141"	"73"	"102"	"19"	"12"	"4"	"4"	"6"	"3"	"6"	"2"	"4"	"6"	"4"	"4"	"476"	""	"476"	""
"126"	"104"	"11"	"5"	"129"	"140"	"110"	"9"	"11"	"18"	"7"	"90"	"11"	"18"	"14"	"12"	"7"	"18"	"3"	"613"	""	"613"	""
"127"	"105"	"25"	"15"	"49"	"11"	"210"	"17"	"6"	"8"	"6"	"26"	"6"	"11"	"7"	"4"	"5"	"13"	"4"	"423"	""	"423"	""
"128"	"106"	"10"	"90"	"262"	"56"	"65"	"7"	"14"	"7"	"2"	"4"	"6"	"14"	"9"	"14"	"12"	"21"	"4"	"597"	""	"597"	""
"129"	"107"	"23"	"6"	"98"	"228"	"69"	"9"	"11"	"1"	"2"	"5"	"0"	"19"	"4"	"9"	"2"	"6"	"2"	"494"	""	"494"	""
"130"	"108"	"25"	"29"	"205"	"175"	"24"	"6"	"17"	"3"	"4"	"3"	"6"	"5"	"8"	"3"	"3"	"5"	"8"	"529"	""	"529"	""
"131"	"109"	"25"	"11"	"136"	"167"	"61"	"7"	"3"	"5"	"2"	"3"	"0"	"5"	"2"	"1"	"1"	"6"	"8"	"443"	""	"443"	""
"132"	"110"	"74"	"10"	"115"	"197"	"35"	"4"	"6"	"11"	"4"	"20"	"7"	"6"	"15"	"9"	"10"	"22"	"10"	"555"	""	"555"	""
"133"	"111"	"3"	"7"	"118"	"239"	"27"	"8"	"4"	"2"	"0"	"5"	"2"	"3"	"5"	"4"	"1"	"5"	"0"	"433"	""	"433"	""
"134"	"112"	"30"	"9"	"285"	"33"	"70"	"15"	"7"	"5"	"5"	"13"	"3"	"9"	"7"	"5"	"3"	"12"	"4"	"515"	""	"515"	""
"135"	"Grand Total
(Round 8)"	"541"	"363"	"1897"	"1634"	"1263"	"130"	"117"	"79"	"49"	"204"	"52"	"131"	"94"	"78"	"62"	"158"	"65"	"6917"	"0"	"6917"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
