"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"39"	"31"	"44"	"97"	"10"	"119"	"7"	"1"	"4"	"6"	"7"	"6"	"5"	"306"	"0"	"306"	""	""
"40"	"32"	"349"	"15"	"47"	"81"	"1"	"0"	"2"	"2"	"7"	"1"	"13"	"518"	"0"	"518"	""	""
"41"	"33"	"50"	"22"	"8"	"173"	"20"	"2"	"2"	"5"	"127"	"8"	"22"	"439"	"0"	"439"	""	""
"42"	"34"	"38"	"1"	"21"	"48"	"3"	"0"	"1"	"1"	"0"	"1"	"4"	"118"	"0"	"118"	""	""
"43"	"35"	"16"	"1"	"3"	"347"	"16"	"2"	"0"	"1"	"1"	"0"	"2"	"389"	"0"	"389"	""	""
"44"	"36"	"59"	"2"	"10"	"271"	"20"	"0"	"0"	"2"	"2"	"2"	"7"	"375"	"0"	"375"	""	""
"45"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"46"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"47"	"37"	"131"	"20"	"7"	"183"	"3"	"1"	"2"	"3"	"6"	"2"	"10"	"368"	"0"	"368"	""	""
"48"	"38"	"378"	"9"	"7"	"61"	"5"	"0"	"0"	"1"	"4"	"2"	"8"	"475"	"0"	"475"	""	""
"49"	"39"	"108"	"48"	"74"	"116"	"3"	"1"	"4"	"1"	"7"	"4"	"8"	"374"	"0"	"374"	""	""
"50"	"40"	"99"	"11"	"0"	"85"	"2"	"1"	"0"	"1"	"1"	"2"	"4"	"206"	"0"	"206"	""	""
"51"	"41"	"71"	"2"	"0"	"221"	"5"	"0"	"0"	"0"	"2"	"0"	"0"	"301"	"0"	"301"	""	""
"52"	"42"	"336"	"20"	"10"	"57"	"33"	"2"	"4"	"2"	"3"	"1"	"4"	"472"	"0"	"472"	""	""
"53"	"Round-3"	"4250"	"1507"	"624"	"6503"	"482"	"49"	"89"	"117"	"334"	"84"	"264"	"14303"	"0"	"14303"	"0"	""
"54"	"43"	"164"	"13"	"18"	"58"	"76"	"5"	"3"	"6"	"7"	"2"	"10"	"362"	"0"	"362"	""	""
"55"	"44"	"86"	"15"	"6"	"176"	"1"	"0"	"3"	"0"	"5"	"3"	"8"	"303"	"0"	"303"	""	""
"56"	"45"	"46"	"0"	"0"	"5"	"19"	"5"	"98"	"8"	"2"	"5"	"12"	"200"	"0"	"200"	""	""
"57"	"46"	"127"	"26"	"22"	"190"	"7"	"1"	"6"	"1"	"11"	"7"	"9"	"407"	"0"	"407"	""	""
"58"	"47"	"46"	"12"	"2"	"128"	"69"	"4"	"6"	"4"	"6"	"2"	"4"	"283"	"0"	"283"	""	""
"59"	"48"	"105"	"0"	"2"	"45"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"161"	"0"	"161"	""	""
"60"	"49"	"95"	"23"	"33"	"132"	"17"	"3"	"4"	"1"	"4"	"1"	"4"	"317"	"0"	"317"	""	""
"61"	"51"	"107"	"11"	"18"	"237"	"5"	"2"	"1"	"3"	"4"	"2"	"4"	"394"	"0"	"394"	""	""
"62"	"52"	"33"	"48"	"25"	"234"	"9"	"0"	"3"	"1"	"4"	"3"	"2"	"362"	"0"	"362"	""	""
"63"	"53"	"58"	"136"	"29"	"79"	"26"	"3"	"4"	"6"	"14"	"0"	"9"	"364"	"0"	"364"	""	""
"64"	"54"	"219"	"11"	"23"	"78"	"20"	"2"	"7"	"1"	"7"	"1"	"2"	"371"	"0"	"371"	""	""
"65"	"55"	"45"	"2"	"5"	"191"	"0"	"1"	"0"	"0"	"1"	"1"	"5"	"251"	"0"	"251"	""	""
"66"	"56"	"44"	"9"	"1"	"161"	"148"	"3"	"0"	"2"	"2"	"2"	"1"	"373"	"0"	"373"	""	""
"67"	"57"	"62"	"54"	"2"	"312"	"34"	"1"	"1"	"4"	"3"	"0"	"4"	"477"	"0"	"477"	""	""
"68"	"Round-4"	"5487"	"1867"	"810"	"8529"	"920"	"80"	"225"	"154"	"404"	"113"	"339"	"18928"	"0"	"18928"	"0"	""
"69"	"58"	"34"	"8"	"104"	"185"	"7"	"1"	"4"	"5"	"66"	"4"	"7"	"425"	"0"	"425"	""	""
"70"	"59"	"102"	"10"	"8"	"158"	"42"	"6"	"1"	"6"	"30"	"1"	"10"	"374"	"0"	"374"	""	""
"71"	"60"	"61"	"6"	"7"	"132"	"3"	"2"	"2"	"2"	"1"	"0"	"8"	"224"	"0"	"224"	""	""
"72"	"61"	"55"	"26"	"20"	"217"	"16"	"3"	"1"	"3"	"27"	"3"	"1"	"372"	"0"	"372"	""	""
"73"	"62"	"247"	"18"	"39"	"160"	"44"	"3"	"2"	"4"	"19"	"2"	"3"	"541"	"0"	"541"	""	""
"74"	"63"	"158"	"2"	"22"	"241"	"7"	"0"	"4"	"1"	"5"	"1"	"4"	"445"	"0"	"445"	""	""
"75"	"64"	"115"	"109"	"157"	"140"	"2"	"2"	"5"	"0"	"8"	"1"	"8"	"547"	"0"	"547"	""	""
"76"	"65"	"100"	"45"	"23"	"225"	"47"	"4"	"5"	"4"	"15"	"1"	"3"	"472"	"0"	"472"	""	""
"77"	"66"	"28"	"54"	"64"	"167"	"2"	"3"	"0"	"0"	"4"	"2"	"0"	"324"	"0"	"324"	""	""
"78"	"67"	"72"	"9"	"22"	"220"	"23"	"1"	"1"	"4"	"1"	"4"	"2"	"359"	"0"	"359"	""	""
"79"	"68"	"19"	"62"	"29"	"157"	"4"	"0"	"0"	"3"	"4"	"3"	"7"	"288"	"0"	"288"	""	""
"80"	"69"	"42"	"5"	"24"	"129"	"5"	"0"	"0"	"1"	"37"	"0"	"0"	"243"	"0"	"243"	""	""
"81"	"70"	"59"	"35"	"37"	"60"	"1"	"1"	"1"	"0"	"13"	"0"	"3"	"210"	"0"	"210"	""	""
"82"	"71"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"3"	""	""
"83"	"Round-5"	"6580"	"2256"	"1366"	"10721"	"1123"	"106"	"251"	"187"	"634"	"136"	"395"	"23755"	"0"	"23755"	"0"	""
"84"	"72"	"147"	"15"	"76"	"78"	"6"	"2"	"1"	"1"	"53"	"3"	"6"	"388"	""	"388"	""	""
"85"	"73"	"9"	"0"	"3"	"243"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"259"	"0"	"259"	""	""
"86"	"74"	"40"	"7"	"20"	"287"	"11"	"0"	"0"	"1"	"23"	"1"	"2"	"392"	"0"	"392"	""	""
"87"	"75"	"81"	"0"	"4"	"176"	"4"	"0"	"0"	"0"	"2"	"0"	"0"	"267"	"0"	"267"	""	""
"88"	"77"	"39"	"35"	"70"	"215"	"5"	"3"	"0"	"2"	"1"	"1"	"3"	"374"	"0"	"374"	""	""
"89"	"78"	"65"	"15"	"1"	"130"	"9"	"0"	"4"	"2"	"8"	"1"	"2"	"237"	"0"	"237"	""	""
"90"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"91"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"92"	"79"	"56"	"6"	"21"	"184"	"8"	"0"	"0"	"1"	"3"	"0"	"4"	"283"	"0"	"283"	""	""
"93"	"80"	"57"	"2"	"19"	"523"	"70"	"2"	"0"	"1"	"2"	"1"	"0"	"677"	"0"	"677"	""	""
"94"	"81"	"9"	"43"	"27"	"124"	"7"	"1"	"1"	"0"	"8"	"0"	"2"	"222"	"0"	"222"	""	""
"95"	"82"	"43"	"17"	"97"	"106"	"4"	"2"	"3"	"3"	"6"	"1"	"3"	"285"	"0"	"285"	""	""
"96"	"83"	"106"	"2"	"5"	"30"	"2"	"0"	"0"	"8"	"11"	"1"	"5"	"170"	"0"	"170"	""	""
"97"	"84"	"38"	"6"	"19"	"163"	"20"	"1"	"4"	"5"	"58"	"1"	"1"	"316"	"0"	"316"	""	""
"98"	"85"	"7"	"1"	"24"	"36"	"0"	"0"	"0"	"3"	"329"	"5"	"6"	"411"	"0"	"411"	""	""
"99"	"86"	"17"	"3"	"6"	"72"	"70"	"1"	"0"	"0"	"56"	"1"	"2"	"228"	"0"	"228"	""	""
"100"	"Round-6"	"7294"	"2408"	"1758"	"13088"	"1340"	"118"	"264"	"214"	"1197"	"152"	"431"	"28264"	"0"	"28264"	"0"	"0"
"101"	"87"	"128"	"26"	"11"	"61"	"2"	"2"	"0"	"1"	"18"	"5"	"10"	"264"	"0"	"264"	""	""
"102"	"88"	"15"	"17"	"15"	"197"	"1"	"0"	"0"	"2"	"4"	"1"	"0"	"252"	"0"	"252"	""	""
"103"	"89"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0"	"67"	""	""
"104"	"90"	"32"	"13"	"115"	"141"	"4"	"0"	"1"	"1"	"5"	"1"	"3"	"316"	"0"	"316"	""	""
"105"	"91"	"79"	"9"	"23"	"156"	"1"	"1"	"0"	"1"	"49"	"2"	"1"	"322"	"0"	"322"	""	""
"106"	"92"	"181"	"17"	"14"	"48"	"1"	"0"	"3"	"2"	"3"	"0"	"1"	"270"	"0"	"270"	""	""
"107"	"93"	"60"	"88"	"63"	"168"	"10"	"5"	"2"	"4"	"10"	"2"	"6"	"418"	"0"	"418"	""	""
"108"	"94"	"62"	"33"	"14"	"305"	"18"	"1"	"1"	"5"	"5"	"0"	"1"	"445"	"0"	"445"	""	""
"109"	"95"	"137"	"28"	"1"	"47"	"2"	"1"	"3"	"3"	"7"	"0"	"8"	"237"	"0"	"237"	""	""
"110"	"96"	"23"	"35"	"39"	"57"	"123"	"9"	"1"	"4"	"8"	"3"	"4"	"306"	"0"	"306"	""	""
"111"	"97"	"13"	"12"	"2"	"89"	"7"	"2"	"0"	"1"	"27"	"0"	"0"	"153"	"0"	"153"	""	""
"112"	"98"	"51"	"23"	"57"	"215"	"4"	"0"	"3"	"4"	"2"	"0"	"3"	"362"	"0"	"362"	""	""
"113"	"99"	"11"	"8"	"12"	"302"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"337"	"0"	"337"	""	""
"114"	"100"	"14"	"8"	"65"	"207"	"6"	"1"	"3"	"3"	"4"	"3"	"9"	"323"	"0"	"323"	""	""
"115"	"Round-7"	"8167"	"2725"	"2189"	"15081"	"1519"	"141"	"281"	"247"	"1339"	"169"	"478"	"32336"	"0"	"32336"	"0"	"0"
"116"	"101"	"4"	"6"	"9"	"362"	"0"	"2"	"0"	"3"	"14"	"0"	"1"	"401"	"0"	"401"	""	""
"117"	"102"	"56"	"1"	"0"	"12"	"3"	"1"	"0"	"2"	"6"	"1"	"2"	"84"	"0"	"84"	""	""
"118"	"103"	"14"	"67"	"16"	"84"	"14"	"5"	"2"	"2"	"3"	"5"	"45"	"257"	"0"	"257"	""	""
"119"	"104"	"142"	"11"	"1"	"42"	"0"	"0"	"3"	"1"	"7"	"0"	"6"	"213"	"0"	"213"	""	""
"120"	"105"	"13"	"34"	"45"	"42"	"2"	"0"	"2"	"3"	"3"	"1"	"3"	"148"	"0"	"148"	""	""
"121"	"106"	"10"	"78"	"14"	"193"	"1"	"1"	"2"	"4"	"34"	"8"	"16"	"361"	"0"	"361"	""	""
"122"	"107"	"211"	"15"	"18"	"80"	"3"	"1"	"2"	"2"	"5"	"3"	"5"	"345"	"0"	"345"	""	""
"123"	"108"	"3"	"38"	"38"	"229"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"313"	"0"	"313"	""	""
"124"	"110"	"40"	"11"	"2"	"130"	"4"	"1"	"0"	"4"	"5"	"0"	"6"	"203"	"0"	"203"	""	""
"125"	"111"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"126"	"112"	"85"	"8"	"4"	"190"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"298"	"0"	"298"	""	""
"127"	"113"	"65"	"50"	"12"	"146"	"2"	"3"	"0"	"0"	"59"	"2"	"3"	"342"	"0"	"342"	""	""
"128"	"114"	"134"	"9"	"2"	"89"	"1"	"0"	"0"	"0"	"2"	"1"	"3"	"241"	"0"	"241"	""	""
"129"	"115"	"22"	"25"	"22"	"228"	"8"	"6"	"3"	"4"	"56"	"2"	"10"	"386"	"0"	"386"	""	""
"130"	"Round-8"	"8966"	"3078"	"2372"	"16908"	"1560"	"162"	"297"	"276"	"1537"	"193"	"579"	"35928"	"0"	"35928"	"0"	"0"
"131"	"116"	"106"	"42"	"32"	"154"	"3"	"1"	"7"	"1"	"5"	"3"	"7"	"361"	"0"	"361"	""	""
"132"	"117"	"672"	"4"	"3"	"48"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"731"	"0"	"731"	""	""
"133"	"118"	"110"	"57"	"23"	"159"	"7"	"2"	"3"	"8"	"10"	"2"	"12"	"393"	"0"	"393"	""	""
"134"	"119"	"52"	"29"	"28"	"247"	"4"	"2"	"1"	"3"	"7"	"1"	"2"	"376"	"0"	"376"	""	""
"135"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"136"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"137"	"120"	"60"	"34"	"15"	"199"	"3"	"0"	"2"	"0"	"5"	"1"	"2"	"321"	"0"	"321"	""	""
"138"	"121"	"34"	"28"	"21"	"51"	"1"	"2"	"2"	"3"	"2"	"4"	"8"	"156"	"0"	"156"	""	""
"139"	"122"	"197"	"13"	"47"	"270"	"2"	"3"	"0"	"1"	"14"	"2"	"8"	"557"	"0"	"557"	""	""
"140"	"123"	"84"	"5"	"112"	"222"	"4"	"0"	"0"	"2"	"2"	"1"	"2"	"434"	"0"	"434"	""	""
"141"	"124"	"26"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"0"	"37"	""	""
"142"	"125"	"195"	"18"	"122"	"158"	"4"	"2"	"2"	"6"	"12"	"2"	"14"	"535"	"0"	"535"	""	""
"143"	"126"	"99"	"11"	"117"	"229"	"9"	"4"	"6"	"3"	"39"	"3"	"7"	"527"	"0"	"527"	""	""
"144"	"127"	"28"	"24"	"9"	"266"	"1"	"3"	"0"	"2"	"3"	"0"	"2"	"338"	"0"	"338"	""	""
"145"	"128"	"146"	"6"	"69"	"210"	"2"	"0"	"6"	"0"	"2"	"3"	"4"	"448"	"0"	"448"	""	""
"146"	"129"	"187"	"17"	"21"	"412"	"7"	"2"	"1"	"8"	"10"	"1"	"6"	"672"	"0"	"672"	""	""
"147"	"Round-9"	"10962"	"3367"	"2991"	"19543"	"1609"	"184"	"327"	"314"	"1648"	"216"	"653"	"41814"	"0"	"41814"	"0"	"0"
"148"	"130"	"98"	"12"	"10"	"224"	"2"	"0"	"0"	"0"	"2"	"0"	"4"	"352"	"0"	"352"	""	""
"149"	"131"	"111"	"14"	"0"	"216"	"1"	"0"	"0"	"0"	"4"	"0"	"2"	"348"	"0"	"348"	""	""
"150"	"132"	"121"	"21"	"28"	"166"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"340"	"0"	"340"	""	""
"151"	"133"	"174"	"64"	"56"	"375"	"7"	"4"	"2"	"3"	"4"	"3"	"8"	"700"	"0"	"700"	""	""
"152"	"134"	"164"	"7"	"77"	"117"	"3"	"4"	"0"	"4"	"2"	"1"	"4"	"383"	"0"	"383"	""	""
"153"	"135"	"74"	"8"	"6"	"130"	"17"	"4"	"0"	"4"	"6"	"1"	"5"	"255"	"0"	"255"	""	""
"154"	"136"	"23"	"157"	"4"	"153"	"2"	"0"	"0"	"1"	"3"	"2"	"0"	"345"	"0"	"345"	""	""
"155"	"137"	"176"	"14"	"24"	"321"	"11"	"0"	"1"	"3"	"5"	"4"	"10"	"569"	"0"	"569"	""	""
"156"	"138"	"129"	"54"	"1"	"88"	"5"	"0"	"2"	"3"	"4"	"3"	"2"	"291"	"0"	"291"	""	""
"157"	"139"	"39"	"25"	"26"	"220"	"1"	"3"	"0"	"0"	"9"	"1"	"3"	"327"	"0"	"327"	""	""
"158"	"140"	"34"	"40"	"27"	"239"	"5"	"0"	"2"	"7"	"5"	"1"	"3"	"363"	"0"	"363"	""	""
"159"	"141"	"80"	"6"	"12"	"259"	"12"	"0"	"2"	"4"	"6"	"0"	"2"	"383"	"0"	"383"	""	""
"160"	"142"	"132"	"17"	"15"	"282"	"5"	"1"	"2"	"5"	"6"	"4"	"4"	"473"	"0"	"473"	""	""
"161"	"144"	"55"	"23"	"44"	"151"	"58"	"3"	"2"	"3"	"5"	"6"	"7"	"357"	"0"	"357"	""	""
"162"	"Round-10"	"12372"	"3829"	"3321"	"22484"	"1740"	"203"	"340"	"351"	"1709"	"242"	"709"	"47300"	"0"	"47300"	"0"	"0"
"163"	"145"	"44"	"11"	"13"	"382"	"27"	"3"	"3"	"7"	"6"	"0"	"11"	"507"	"0"	"507"	""	""
"164"	"146"	"82"	"26"	"11"	"367"	"16"	"5"	"1"	"1"	"6"	"0"	"1"	"516"	"0"	"516"	""	""
"165"	"147"	"113"	"22"	"26"	"266"	"7"	"2"	"4"	"11"	"8"	"2"	"14"	"475"	"0"	"475"	""	""
"166"	"148"	"57"	"5"	"8"	"260"	"174"	"9"	"4"	"24"	"16"	"5"	"15"	"577"	"0"	"577"	""	""
"167"	"149"	"88"	"3"	"9"	"276"	"11"	"2"	"4"	"11"	"4"	"2"	"9"	"419"	"0"	"419"	""	""
"168"	"150"	"74"	"27"	"1"	"73"	"6"	"1"	"0"	"1"	"3"	"2"	"2"	"190"	"0"	"190"	""	""
"169"	"151"	"13"	"30"	"21"	"176"	"6"	"1"	"1"	"0"	"2"	"1"	"1"	"252"	"0"	"252"	""	""
"170"	"152"	"266"	"2"	"1"	"38"	"0"	"0"	"3"	"0"	"2"	"0"	"3"	"315"	"0"	"315"	""	""
"171"	"153"	"86"	"7"	"7"	"230"	"82"	"7"	"6"	"4"	"3"	"3"	"11"	"446"	"0"	"446"	""	""
"172"	"154"	"147"	"34"	"33"	"104"	"5"	"0"	"0"	"0"	"2"	"0"	"3"	"328"	"0"	"328"	""	""
"173"	"156"	"24"	"91"	"12"	"309"	"2"	"0"	"2"	"2"	"9"	"1"	"3"	"455"	"0"	"455"	""	""
"174"	"157"	"216"	"9"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"0"	"249"	""	""
"175"	"158"	"123"	"41"	"13"	"152"	"4"	"4"	"5"	"2"	"6"	"4"	"5"	"359"	"0"	"359"	""	""
"176"	"159"	"126"	"25"	"6"	"170"	"26"	"4"	"5"	"8"	"7"	"5"	"4"	"386"	"0"	"386"	""	""
"177"	"Round-11"	"13831"	"4162"	"3482"	"25311"	"2106"	"241"	"378"	"422"	"1783"	"267"	"791"	"52774"	"0"	"52774"	"0"	"0"
"178"	"160"	"83"	"110"	"18"	"210"	"5"	"1"	"2"	"1"	"9"	"1"	"1"	"441"	"0"	"441"	""	""
"179"	"162"	"422"	"3"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"443"	"0"	"443"	""	""
"180"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"181"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"182"	"163"	"153"	"4"	"2"	"57"	"3"	"0"	"0"	"1"	"0"	"2"	"3"	"225"	"0"	"225"	""	""
"183"	"164"	"39"	"35"	"62"	"75"	"4"	"2"	"0"	"3"	"5"	"5"	"2"	"232"	"0"	"232"	""	""
"184"	"165"	"86"	"22"	"47"	"171"	"29"	"4"	"1"	"1"	"2"	"1"	"1"	"365"	"0"	"365"	""	""
"185"	"166"	"142"	"28"	"4"	"60"	"2"	"0"	"0"	"0"	"0"	"1"	"4"	"241"	"0"	"241"	""	""
"186"	"167"	"255"	"23"	"5"	"92"	"2"	"0"	"0"	"6"	"2"	"5"	"8"	"398"	"0"	"398"	""	""
"187"	"168"	"99"	"10"	"4"	"93"	"1"	"1"	"0"	"2"	"5"	"2"	"7"	"224"	"0"	"224"	""	""
"188"	"169"	"22"	"43"	"3"	"80"	"1"	"0"	"1"	"0"	"1"	"1"	"4"	"156"	"0"	"156"	""	""
"189"	"170"	"52"	"26"	"41"	"248"	"11"	"3"	"5"	"1"	"15"	"7"	"3"	"412"	"0"	"412"	""	""
"190"	"171"	"77"	"25"	"23"	"373"	"7"	"2"	"1"	"1"	"2"	"1"	"3"	"515"	"0"	"515"	""	""
"191"	"172"	"40"	"42"	"19"	"152"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"256"	"0"	"256"	""	""
"192"	"173"	"173"	"18"	"24"	"232"	"6"	"3"	"0"	"4"	"5"	"4"	"4"	"473"	"0"	"473"	""	""
