"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"149  &  ukFkuxj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"29"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"30"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"32"	"15"	"9"	"101"	"135"	"167"	"5"	"11"	"8"	"123"	"22"	"581"	""	""
"33"	"16"	"13"	"14"	"40"	"108"	"2"	"7"	"7"	"108"	"14"	"313"	""	""
"34"	"17"	"16"	"58"	"86"	"189"	"9"	"71"	"14"	"14"	"20"	"477"	""	""
"35"	"18"	"53"	"21"	"44"	"130"	"2"	"31"	"8"	"16"	"35"	"340"	""	""
"36"	"19"	"13"	"31"	"243"	"360"	"19"	"9"	"3"	"8"	"4"	"690"	""	""
"37"	"20"	"11"	"15"	"14"	"65"	"0"	"6"	"8"	"278"	"17"	"414"	""	""
"38"	"21"	"48"	"40"	"82"	"131"	"3"	"12"	"5"	"62"	"6"	"389"	""	""
"39"	"22"	"2"	"63"	"51"	"220"	"5"	"8"	"6"	"28"	"6"	"389"	""	""
"40"	"23"	"35"	"74"	"146"	"111"	"2"	"10"	"14"	"98"	"11"	"501"	""	""
"41"	"24"	"43"	"145"	"161"	"217"	"15"	"32"	"7"	"28"	"17"	"665"	""	""
"42"	"25"	"10"	"41"	"179"	"207"	"11"	"50"	"11"	"48"	"17"	"574"	""	""
"43"	"26"	"11"	"25"	"292"	"97"	"4"	"69"	"6"	"24"	"8"	"536"	""	""
"44"	"27"	"219"	"26"	"306"	"81"	"7"	"6"	"8"	"4"	"19"	"676"	""	""
"45"	"28"	"9"	"24"	"239"	"114"	"5"	"5"	"16"	"33"	"27"	"472"	""	""
"46"	";ksx  &"	"492"	"678"	"2018"	"2197"	"89"	"327"	"121"	"872"	"223"	"7017"	""	""
"47"	"xr  I`k\"B dk   ;ksx&"	"360"	"1021"	"1416"	"3331"	"121"	"236"	"114"	"283"	"216"	"7098"	""	""
"48"	"dqy  ;ksx  &"	"852"	"1699"	"3434"	"5528"	"210"	"563"	"235"	"1155"	"439"	"14115"	""	""
"49"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"51"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"53"	"29"	"44"	"89"	"401"	"106"	"11"	"6"	"29"	"70"	"40"	"796"	""	""
"54"	"30"	"9"	"8"	"34"	"596"	"6"	"7"	"3"	"23"	"6"	"692"	""	""
"55"	"31"	"54"	"57"	"27"	"383"	"5"	"11"	"13"	"17"	"7"	"574"	""	""
"56"	"32"	"103"	"97"	"26"	"271"	"5"	"5"	"2"	"6"	"6"	"521"	""	""
"57"	"33"	"9"	"38"	"323"	"228"	"16"	"3"	"5"	"10"	"15"	"647"	""	""
"58"	"34"	"88"	"17"	"8"	"50"	"2"	"1"	"1"	"0"	"9"	"176"	""	""
"59"	"35"	"103"	"126"	"47"	"86"	"6"	"9"	"4"	"9"	"7"	"397"	""	""
"60"	"36"	"242"	"24"	"20"	"277"	"3"	"5"	"1"	"10"	"8"	"590"	""	""
"61"	"37"	"6"	"43"	"12"	"268"	"2"	"3"	"0"	"7"	"5"	"346"	""	""
"62"	"38"	"17"	"90"	"40"	"344"	"10"	"3"	"0"	"9"	"2"	"515"	""	""
"63"	"39"	"121"	"150"	"109"	"150"	"5"	"8"	"14"	"13"	"22"	"592"	""	""
"64"	"40"	"0"	"19"	"867"	"9"	"1"	"0"	"1"	"1"	"1"	"899"	""	""
"65"	"41"	"19"	"46"	"362"	"116"	"13"	"1"	"6"	"9"	"14"	"586"	""	""
"66"	"42"	"9"	"35"	"21"	"179"	"3"	"145"	"7"	"13"	"7"	"419"	""	""
"67"	";ksx  &"	"824"	"839"	"2297"	"3063"	"88"	"207"	"86"	"197"	"149"	"7750"	""	""
"68"	"xr  I`k\"B dk   ;ksx&"	"852"	"1699"	"3434"	"5528"	"210"	"563"	"235"	"1155"	"439"	"14115"	""	""
"69"	"dqy  ;ksx  &"	"1676"	"2538"	"5731"	"8591"	"298"	"770"	"321"	"1352"	"588"	"21865"	""	""
"70"	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"72"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"74"	"43"	"0"	"117"	"35"	"55"	"0"	"5"	"1"	"5"	"0"	"218"	""	""
"75"	"44"	"7"	"31"	"106"	"438"	"5"	"18"	"17"	"27"	"11"	"660"	""	""
"76"	"45"	"31"	"12"	"43"	"286"	"1"	"5"	"9"	"9"	"18"	"414"	""	""
"77"	"46"	"11"	"58"	"383"	"29"	"1"	"2"	"6"	"3"	"2"	"495"	""	""
"78"	"47"	"81"	"136"	"145"	"29"	"4"	"11"	"11"	"10"	"21"	"448"	""	""
"79"	"48"	"95"	"69"	"119"	"182"	"6"	"4"	"7"	"6"	"5"	"493"	""	""
"80"	"49"	"30"	"88"	"31"	"412"	"19"	"13"	"7"	"27"	"16"	"643"	""	""
"81"	"50"	"32"	"23"	"382"	"43"	"3"	"2"	"4"	"2"	"3"	"494"	""	""
"82"	"51"	"310"	"75"	"73"	"175"	"7"	"20"	"21"	"25"	"28"	"734"	""	""
"83"	"52"	"57"	"198"	"233"	"155"	"18"	"19"	"20"	"33"	"33"	"766"	""	""
"84"	"53"	"338"	"11"	"7"	"103"	"4"	"1"	"5"	"5"	"5"	"479"	""	""
"85"	"54"	"145"	"149"	"14"	"156"	"4"	"5"	"3"	"4"	"11"	"491"	""	""
"86"	"55"	"240"	"30"	"75"	"230"	"16"	"10"	"14"	"26"	"29"	"670"	""	""
"87"	"56"	"261"	"61"	"32"	"110"	"9"	"4"	"9"	"18"	"16"	"520"	""	""
"88"	";ksx  &"	"1638"	"1058"	"1678"	"2403"	"97"	"119"	"134"	"200"	"198"	"7525"	""	""
"89"	"xr  I`k\"B dk   ;ksx&"	"1676"	"2538"	"5731"	"8591"	"298"	"770"	"321"	"1352"	"588"	"21865"	""	""
"90"	"dqy  ;ksx  &"	"3314"	"3596"	"7409"	"10994"	"395"	"889"	"455"	"1552"	"786"	"29390"	""	""
"91"	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"93"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"95"	"57"	"50"	"36"	"427"	"43"	"3"	"1"	"5"	"4"	"3"	"572"	""	""
"96"	"58"	"234"	"201"	"197"	"83"	"9"	"1"	"4"	"4"	"7"	"740"	""	""
"97"	"59"	"40"	"55"	"152"	"141"	"14"	"14"	"5"	"12"	"13"	"446"	""	""
"98"	"60"	"64"	"62"	"347"	"61"	"4"	"11"	"6"	"14"	"31"	"600"	""	""
"99"	"61"	"48"	"14"	"237"	"89"	"1"	"11"	"19"	"17"	"42"	"478"	""	""
"100"	"62"	"451"	"56"	"69"	"155"	"7"	"4"	"24"	"11"	"21"	"798"	""	""
"101"	"63"	"3"	"42"	"131"	"32"	"3"	"2"	"6"	"4"	"10"	"233"	""	""
"102"	"64"	"13"	"19"	"157"	"153"	"6"	"3"	"5"	"11"	"13"	"380"	""	""
"103"	"65"	"58"	"66"	"162"	"57"	"5"	"5"	"8"	"8"	"6"	"375"	""	""
"104"	"66"	"92"	"34"	"59"	"107"	"7"	"4"	"2"	"13"	"25"	"343"	""	""
"105"	"67"	"15"	"48"	"110"	"255"	"9"	"4"	"19"	"15"	"14"	"489"	""	""
"106"	"68"	"13"	"332"	"132"	"25"	"8"	"5"	"5"	"13"	"11"	"544"	""	""
"107"	"69"	"32"	"143"	"70"	"60"	"6"	"0"	"4"	"9"	"4"	"328"	""	""
"108"	"70"	"21"	"332"	"137"	"9"	"6"	"5"	"6"	"0"	"16"	"532"	""	""
"109"	";ksx  &"	"1134"	"1440"	"2387"	"1270"	"88"	"70"	"118"	"135"	"216"	"6858"	""	""
"110"	"xr  I`k\"B dk   ;ksx&"	"3314"	"3596"	"7409"	"10994"	"395"	"889"	"455"	"1552"	"786"	"29390"	""	""
"111"	"dqy  ;ksx  &"	"4448"	"5036"	"9796"	"12264"	"483"	"959"	"573"	"1687"	"1002"	"36248"	""	""
"112"	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"114"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"116"	"71"	"16"	"209"	"215"	"8"	"2"	"5"	"5"	"1"	"2"	"463"	""	""
"117"	"71 ¼d½"	"4"	"172"	"143"	"1"	"0"	"0"	"0"	"2"	"3"	"325"	""	""
"118"	"72"	"13"	"92"	"122"	"24"	"1"	"3"	"0"	"3"	"6"	"264"	""	""
"119"	"72 ¼d½"	"1"	"56"	"84"	"31"	"0"	"2"	"1"	"6"	"2"	"183"	""	""
"120"	"73"	"16"	"175"	"290"	"15"	"4"	"5"	"8"	"7"	"21"	"541"	""	""
"121"	"73 ¼d½"	"6"	"78"	"78"	"1"	"1"	"3"	"7"	"1"	"6"	"181"	""	""
"122"	"74"	"15"	"276"	"159"	"50"	"3"	"3"	"4"	"2"	"4"	"516"	""	""
"123"	"75"	"10"	"191"	"136"	"6"	"1"	"2"	"2"	"3"	"8"	"359"	""	""
"124"	"76"	"59"	"207"	"24"	"64"	"3"	"1"	"3"	"10"	"5"	"376"	""	""
"125"	"77"	"15"	"371"	"472"	"13"	"1"	"4"	"2"	"4"	"18"	"900"	""	""
"126"	"78"	"16"	"191"	"157"	"2"	"3"	"0"	"1"	"1"	"0"	"371"	""	""
"127"	"79"	"23"	"243"	"178"	"9"	"3"	"4"	"6"	"9"	"9"	"484"	""	""
"128"	"80"	"8"	"142"	"342"	"10"	"2"	"1"	"2"	"0"	"4"	"511"	""	""
"129"	"81"	"7"	"199"	"202"	"4"	"1"	"0"	"2"	"2"	"10"	"427"	""	""
"130"	";ksx  &"	"209"	"2602"	"2602"	"238"	"25"	"33"	"43"	"51"	"98"	"5901"	""	""
"131"	"xr  I`k\"B dk   ;ksx&"	"4448"	"5036"	"9796"	"12264"	"483"	"959"	"573"	"1687"	"1002"	"36248"	""	""
"132"	"dqy  ;ksx  &"	"4657"	"7638"	"12398"	"12502"	"508"	"992"	"616"	"1738"	"1100"	"42149"	""	""
"133"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"135"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"137"	"82"	"6"	"175"	"247"	"17"	"5"	"3"	"3"	"4"	"12"	"472"	""	""
"138"	"83"	"8"	"172"	"338"	"110"	"3"	"3"	"5"	"8"	"5"	"652"	""	""
"139"	"84"	"2"	"218"	"105"	"2"	"1"	"1"	"5"	"2"	"9"	"345"	""	""
"140"	"85"	"3"	"426"	"112"	"2"	"1"	"0"	"1"	"1"	"3"	"549"	""	""
"141"	"86"	"25"	"147"	"24"	"337"	"1"	"10"	"7"	"11"	"7"	"569"	""	""
"142"	"87"	"76"	"183"	"53"	"166"	"2"	"6"	"10"	"16"	"13"	"525"	""	""
"143"	"88"	"30"	"146"	"92"	"293"	"5"	"12"	"7"	"18"	"17"	"620"	""	""
"144"	"89"	"23"	"194"	"82"	"263"	"8"	"10"	"4"	"19"	"8"	"611"	""	""
"145"	"90"	"10"	"147"	"71"	"70"	"10"	"4"	"0"	"2"	"3"	"317"	""	""
"146"	"91"	"53"	"212"	"48"	"56"	"1"	"5"	"3"	"10"	"33"	"421"	""	""
"147"	"92"	"2"	"603"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"617"	""	""
"148"	"93"	"72"	"351"	"119"	"64"	"5"	"9"	"6"	"8"	"12"	"646"	""	""
"149"	"94"	"10"	"54"	"355"	"9"	"1"	"4"	"7"	"3"	"6"	"449"	""	""
"150"	"95"	"24"	"84"	"126"	"174"	"15"	"9"	"12"	"27"	"24"	"495"	""	""
"151"	";ksx  &"	"344"	"3112"	"1783"	"1563"	"58"	"76"	"71"	"129"	"152"	"7288"	""	""
"152"	"xr  I`k\"B dk   ;ksx&"	"4657"	"7638"	"12398"	"12502"	"508"	"992"	"616"	"1738"	"1100"	"42149"	""	""
"153"	"dqy  ;ksx  &"	"5001"	"10750"	"14181"	"14065"	"566"	"1068"	"687"	"1867"	"1252"	"49437"	""	""
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"8"	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"157"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"159"	"96"	"10"	"80"	"37"	"289"	"10"	"10"	"5"	"18"	"7"	"466"	""	""
"160"	"97"	"14"	"157"	"375"	"4"	"1"	"1"	"2"	"1"	"1"	"556"	""	""
"161"	"98"	"2"	"56"	"36"	"381"	"3"	"3"	"1"	"11"	"16"	"509"	""	""
"162"	"99"	"19"	"126"	"183"	"109"	"7"	"5"	"5"	"8"	"7"	"469"	""	""
"163"	"100"	"30"	"218"	"105"	"327"	"7"	"7"	"4"	"10"	"5"	"713"	""	""
"164"	"101"	"79"	"103"	"59"	"280"	"12"	"5"	"9"	"16"	"5"	"568"	""	""
"165"	"102"	"0"	"18"	"17"	"199"	"45"	"5"	"0"	"3"	"0"	"287"	""	""
"166"	"103"	"8"	"70"	"390"	"33"	"16"	"4"	"44"	"5"	"5"	"575"	""	""
"167"	"104"	"14"	"155"	"42"	"215"	"6"	"11"	"11"	"19"	"11"	"484"	""	""
"168"	"105"	"66"	"45"	"87"	"133"	"4"	"1"	"4"	"7"	"8"	"355"	""	""
"169"	"106"	"24"	"22"	"91"	"251"	"2"	"4"	"13"	"14"	"11"	"432"	""	""
"170"	"107"	"8"	"39"	"202"	"4"	"9"	"1"	"13"	"2"	"2"	"280"	""	""
"171"	"108"	"2"	"83"	"202"	"13"	"4"	"3"	"0"	"3"	"8"	"318"	""	""
"172"	"109"	"9"	"16"	"10"	"94"	"81"	"3"	"1"	"2"	"1"	"217"	""	""
"173"	";ksx  &"	"285"	"1188"	"1836"	"2332"	"207"	"63"	"112"	"119"	"87"	"6229"	""	""
"174"	"xr  I`k\"B dk   ;ksx&"	"5001"	"10750"	"14181"	"14065"	"566"	"1068"	"687"	"1867"	"1252"	"49437"	""	""
"175"	"dqy  ;ksx  &"	"5286"	"11938"	"16017"	"16397"	"773"	"1131"	"799"	"1986"	"1339"	"55666"	""	""
"176"	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"178"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"179"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"180"	"110"	"0"	"1"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"30"	""	""
"181"	"111"	"9"	"14"	"19"	"83"	"200"	"13"	"7"	"8"	"17"	"370"	""	""
"182"	"112"	"14"	"15"	"45"	"111"	"167"	"6"	"2"	"8"	"2"	"370"	""	""
"183"	"113"	"0"	"1"	"6"	"8"	"912"	"0"	"0"	"0"	"0"	"927"	""	""
"184"	"114"	"33"	"159"	"69"	"84"	"229"	"23"	"16"	"21"	"31"	"665"	""	""
"185"	"115"	"1"	"20"	"13"	"9"	"350"	"4"	"3"	"2"	"3"	"405"	""	""
"186"	"116"	"3"	"108"	"99"	"33"	"159"	"13"	"6"	"7"	"3"	"431"	""	""
"187"	"117"	"16"	"196"	"107"	"47"	"11"	"6"	"4"	"8"	"18"	"413"	""	""
"188"	"117¼d½"	"12"	"175"	"108"	"8"	"3"	"2"	"5"	"4"	"14"	"331"	""	""
"189"	"118"	"35"	"377"	"115"	"3"	"1"	"2"	"0"	"3"	"6"	"542"	""	""
"190"	"119"	"36"	"226"	"149"	"27"	"12"	"6"	"17"	"11"	"15"	"499"	""	""
"191"	"120"	"10"	"246"	"197"	"52"	"4"	"4"	"2"	"8"	"8"	"531"	""	""
"192"	"121"	"10"	"187"	"361"	"14"	"3"	"1"	"2"	"2"	"5"	"585"	""	""
"193"	"122"	"5"	"71"	"396"	"3"	"1"	"0"	"4"	"0"	"4"	"484"	""	""
"194"	";ksx  &"	"184"	"1796"	"1711"	"484"	"2052"	"80"	"68"	"82"	"126"	"6583"	""	""
"195"	"xr  I`k\"B dk   ;ksx&"	"5286"	"11938"	"16017"	"16397"	"773"	"1131"	"799"	"1986"	"1339"	"55666"	""	""
"196"	"dqy  ;ksx  &"	"5470"	"13734"	"17728"	"16881"	"2825"	"1211"	"867"	"2068"	"1465"	"62249"	""	""
"197"	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"10"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"200"	""	"MkW nhiukjk;.k falg"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"202"	"123"	"11"	"140"	"514"	"13"	"5"	"5"	"10"	"3"	"26"	"727"	""	""
"203"	"124"	"39"	"185"	"115"	"83"	"9"	"10"	"5"	"18"	"10"	"474"	""	""
"204"	"125"	"73"	"46"	"48"	"187"	"40"	"8"	"15"	"31"	"7"	"455"	""	""
"205"	"126"	"57"	"16"	"32"	"244"	"66"	"10"	"17"	"13"	"15"	"470"	""	""
"206"	"127"	"13"	"36"	"21"	"194"	"107"	"15"	"11"	"20"	"31"	"448"	""	""
"207"	"128"	"75"	"56"	"154"	"125"	"5"	"2"	"11"	"6"	"15"	"449"	""	""
"208"	"129"	"7"	"79"	"304"	"5"	"0"	"2"	"0"	"1"	"6"	"404"	""	""
"209"	"130"	"10"	"57"	"7"	"300"	"1"	"5"	"2"	"5"	"2"	"389"	""	""
