"16"	"6"	"189"	"5"	"35"	"11"	"1"	"2"	"5"	"11"	"7"	"358"	"9"	"0"	"8"	"7"	"1"	"12"	"661"	"0"	"661"	"0"
"17"	"7"	"22"	"1"	"28"	"6"	"1"	"2"	"6"	"8"	"8"	"263"	"7"	"6"	"7"	"2"	"4"	"10"	"381"	"0"	"381"	"0"
"18"	"8"	"127"	"1"	"3"	"3"	"7"	"3"	"10"	"19"	"8"	"267"	"9"	"6"	"4"	"3"	"0"	"11"	"481"	"0"	"481"	"0"
"19"	"9"	"210"	"17"	"53"	"13"	"4"	"0"	"4"	"11"	"3"	"253"	"15"	"3"	"5"	"7"	"7"	"27"	"632"	"0"	"632"	"0"
"20"	"10"	"318"	"13"	"54"	"14"	"9"	"4"	"9"	"6"	"3"	"145"	"4"	"2"	"8"	"3"	"5"	"11"	"608"	"0"	"608"	"0"
"21"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"29"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"30"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"32"	"11"	"13"	"0"	"5"	"2"	"2"	"0"	"0"	"2"	"0"	"722"	"3"	"1"	"22"	"1"	"1"	"1"	"775"	"0"	"775"	"0"
"33"	"12"	"130"	"5"	"37"	"5"	"5"	"3"	"4"	"7"	"9"	"669"	"4"	"1"	"3"	"4"	"3"	"13"	"902"	"0"	"902"	"0"
"34"	"13"	"12"	"4"	"4"	"9"	"3"	"2"	"8"	"12"	"11"	"150"	"8"	"2"	"8"	"4"	"3"	"12"	"252"	"0"	"252"	"0"
"35"	"14"	"142"	"2"	"0"	"3"	"0"	"0"	"0"	"4"	"0"	"45"	"2"	"1"	"0"	"0"	"2"	"0"	"201"	"0"	"201"	"0"
"36"	"15"	"27"	"2"	"42"	"10"	"4"	"5"	"15"	"12"	"7"	"546"	"5"	"5"	"13"	"2"	"0"	"16"	"711"	"0"	"711"	"0"
"37"	"16"	"61"	"8"	"7"	"9"	"4"	"3"	"8"	"14"	"2"	"460"	"4"	"1"	"11"	"2"	"1"	"8"	"603"	"0"	"603"	"0"
"38"	"17"	"0"	"0"	"5"	"0"	"3"	"0"	"3"	"6"	"0"	"375"	"2"	"0"	"0"	"0"	"0"	"0"	"394"	"0"	"394"	"0"
"39"	"18"	"478"	"1"	"3"	"4"	"2"	"1"	"4"	"4"	"1"	"48"	"1"	"2"	"8"	"5"	"3"	"16"	"581"	"0"	"581"	"0"
"40"	"19"	"145"	"3"	"13"	"8"	"4"	"1"	"2"	"7"	"9"	"199"	"20"	"0"	"3"	"3"	"7"	"17"	"441"	"0"	"441"	"0"
"41"	"20"	"160"	"7"	"11"	"6"	"1"	"1"	"0"	"3"	"5"	"221"	"3"	"0"	"4"	"0"	"1"	"1"	"424"	"0"	"424"	"0"
"42"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"49"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"50"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"51"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"53"	"21"	"109"	"13"	"71"	"17"	"10"	"8"	"8"	"13"	"16"	"234"	"10"	"1"	"87"	"8"	"8"	"34"	"647"	"0"	"647"	"0"
"54"	"22"	"63"	"9"	"88"	"15"	"6"	"5"	"11"	"26"	"16"	"243"	"11"	"9"	"36"	"7"	"4"	"13"	"562"	"0"	"562"	"0"
"55"	"23"	"112"	"2"	"9"	"13"	"2"	"1"	"8"	"25"	"10"	"142"	"10"	"5"	"9"	"4"	"4"	"7"	"363"	"0"	"363"	"0"
"56"	"24"	"108"	"4"	"111"	"11"	"14"	"9"	"11"	"24"	"11"	"312"	"23"	"10"	"46"	"17"	"19"	"48"	"778"	"0"	"778"	"0"
"57"	"25"	"410"	"11"	"6"	"9"	"10"	"1"	"4"	"11"	"6"	"117"	"7"	"3"	"8"	"0"	"5"	"9"	"617"	"0"	"617"	"0"
"58"	"26"	"367"	"13"	"10"	"8"	"6"	"2"	"5"	"13"	"8"	"92"	"2"	"6"	"14"	"9"	"12"	"63"	"630"	"0"	"630"	"0"
"59"	"27"	"523"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"527"	"0"	"527"	"0"
"60"	"28"	"160"	"5"	"16"	"5"	"3"	"1"	"2"	"0"	"0"	"101"	"2"	"0"	"10"	"1"	"5"	"16"	"327"	"0"	"327"	"0"
"61"	"29"	"581"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"7"	"0"	"0"	"2"	"0"	"2"	"7"	"604"	"0"	"604"	"0"
"62"	"30"	"749"	"2"	"9"	"0"	"0"	"2"	"0"	"0"	"0"	"13"	"1"	"0"	"0"	"1"	"1"	"1"	"779"	"0"	"779"	"0"
"63"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"70"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"71"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"72"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"74"	"31"	"44"	"2"	"38"	"3"	"5"	"3"	"9"	"6"	"9"	"125"	"5"	"0"	"43"	"6"	"4"	"20"	"322"	"0"	"322"	"0"
"75"	"32"	"128"	"4"	"89"	"10"	"1"	"4"	"3"	"12"	"11"	"211"	"4"	"3"	"48"	"7"	"2"	"12"	"549"	"0"	"549"	"0"
"76"	"33"	"146"	"4"	"90"	"21"	"8"	"3"	"12"	"18"	"13"	"159"	"10"	"8"	"45"	"4"	"8"	"17"	"566"	"0"	"566"	"0"
"77"	"34"	"165"	"3"	"108"	"14"	"3"	"2"	"3"	"17"	"8"	"290"	"6"	"1"	"10"	"11"	"7"	"21"	"669"	"0"	"669"	"0"
"78"	"35"	"212"	"5"	"51"	"11"	"8"	"3"	"6"	"18"	"7"	"258"	"6"	"7"	"43"	"4"	"7"	"22"	"668"	"0"	"668"	"0"
"79"	"36"	"56"	"12"	"8"	"10"	"11"	"8"	"9"	"28"	"9"	"224"	"16"	"4"	"28"	"7"	"2"	"3"	"435"	"0"	"435"	"0"
"80"	"37"	"47"	"3"	"27"	"17"	"11"	"5"	"11"	"20"	"16"	"268"	"19"	"6"	"57"	"2"	"2"	"8"	"519"	"0"	"519"	"0"
"81"	"38"	"76"	"9"	"17"	"9"	"9"	"2"	"6"	"9"	"4"	"285"	"8"	"8"	"25"	"4"	"5"	"7"	"483"	"0"	"483"	"0"
"82"	"39"	"66"	"2"	"59"	"3"	"1"	"1"	"8"	"5"	"4"	"173"	"0"	"0"	"18"	"2"	"1"	"8"	"351"	"0"	"351"	"0"
"83"	"40"	"103"	"4"	"121"	"12"	"8"	"5"	"10"	"14"	"14"	"170"	"12"	"2"	"35"	"2"	"0"	"7"	"519"	"0"	"519"	"0"
"84"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"91"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"92"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"93"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"95"	"41"	"105"	"3"	"8"	"9"	"2"	"6"	"14"	"25"	"21"	"289"	"11"	"2"	"11"	"2"	"3"	"5"	"516"	"0"	"516"	"0"
"96"	"42"	"102"	"1"	"0"	"2"	"2"	"4"	"4"	"8"	"4"	"370"	"2"	"0"	"10"	"1"	"1"	"2"	"513"	"0"	"513"	"0"
"97"	"43"	"23"	"2"	"3"	"6"	"6"	"1"	"18"	"17"	"4"	"415"	"4"	"2"	"11"	"4"	"4"	"4"	"524"	"0"	"524"	"0"
"98"	"44"	"44"	"1"	"0"	"4"	"2"	"1"	"6"	"20"	"5"	"310"	"6"	"2"	"2"	"3"	"4"	"12"	"422"	"0"	"422"	"0"
"99"	"45"	"1"	"0"	"0"	"1"	"1"	"1"	"4"	"4"	"5"	"401"	"3"	"0"	"1"	"2"	"2"	"3"	"429"	"0"	"429"	"0"
"100"	"46"	"38"	"2"	"10"	"12"	"4"	"0"	"5"	"12"	"6"	"473"	"4"	"6"	"10"	"1"	"2"	"9"	"594"	"0"	"594"	"0"
"101"	"47"	"273"	"16"	"21"	"13"	"6"	"1"	"5"	"15"	"7"	"130"	"10"	"12"	"8"	"2"	"8"	"15"	"542"	"0"	"542"	"0"
"102"	"48"	"106"	"4"	"11"	"5"	"5"	"2"	"28"	"16"	"12"	"375"	"7"	"9"	"11"	"3"	"4"	"34"	"632"	"0"	"632"	"0"
"103"	"49"	"212"	"10"	"3"	"3"	"1"	"16"	"7"	"6"	"5"	"239"	"2"	"1"	"3"	"1"	"2"	"12"	"523"	"0"	"523"	"0"
"104"	"50"	"21"	"0"	"0"	"4"	"3"	"0"	"0"	"1"	"0"	"470"	"1"	"0"	"1"	"0"	"0"	"0"	"501"	"0"	"501"	"0"
"105"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"112"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"113"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"114"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"116"	"51"	"42"	"3"	"3"	"1"	"2"	"0"	"6"	"6"	"2"	"230"	"5"	"0"	"2"	"1"	"1"	"7"	"311"	"0"	"311"	"0"
"117"	"52"	"284"	"9"	"4"	"6"	"7"	"8"	"5"	"12"	"5"	"39"	"4"	"1"	"11"	"5"	"3"	"13"	"416"	"0"	"416"	"0"
"118"	"53"	"94"	"5"	"0"	"7"	"1"	"3"	"3"	"12"	"10"	"97"	"29"	"1"	"9"	"3"	"2"	"10"	"286"	"0"	"286"	"0"
"119"	"54"	"165"	"2"	"33"	"8"	"2"	"2"	"2"	"4"	"3"	"415"	"10"	"1"	"11"	"4"	"3"	"9"	"674"	"0"	"674"	"0"
"120"	"55"	"194"	"12"	"9"	"7"	"9"	"7"	"11"	"12"	"14"	"206"	"11"	"2"	"0"	"5"	"3"	"6"	"508"	"0"	"508"	"0"
"121"	"56"	"338"	"5"	"17"	"8"	"4"	"6"	"1"	"4"	"3"	"180"	"5"	"1"	"4"	"12"	"0"	"2"	"590"	"0"	"590"	"0"
"122"	"57"	"7"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"2"	"487"	"2"	"0"	"0"	"0"	"0"	"3"	"507"	"0"	"507"	"0"
"123"	"58"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"634"	"0"	"0"	"0"	"1"	"0"	"0"	"641"	"0"	"641"	"0"
"124"	"59"	"82"	"5"	"18"	"5"	"2"	"0"	"3"	"3"	"3"	"360"	"14"	"0"	"2"	"3"	"0"	"6"	"506"	"0"	"506"	"0"
"125"	"60"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"682"	"0"	"0"	"1"	"0"	"0"	"0"	"691"	"0"	"691"	"0"
"126"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"133"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"134"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"135"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"137"	"61"	"112"	"1"	"1"	"6"	"1"	"2"	"7"	"7"	"4"	"313"	"3"	"0"	"2"	"1"	"2"	"1"	"463"	"0"	"463"	"0"
"138"	"62"	"175"	"6"	"39"	"13"	"8"	"7"	"23"	"15"	"11"	"228"	"14"	"0"	"5"	"3"	"5"	"27"	"579"	"0"	"579"	"0"
"139"	"63"	"77"	"2"	"3"	"9"	"2"	"2"	"21"	"12"	"12"	"267"	"12"	"3"	"4"	"1"	"2"	"14"	"443"	"0"	"443"	"0"
"140"	"64"	"138"	"3"	"4"	"4"	"0"	"1"	"14"	"2"	"0"	"160"	"0"	"1"	"5"	"0"	"2"	"10"	"344"	"0"	"344"	"0"
"141"	"65"	"242"	"7"	"1"	"7"	"10"	"2"	"5"	"13"	"2"	"364"	"4"	"0"	"20"	"0"	"0"	"3"	"680"	"0"	"680"	"0"
"142"	"66"	"23"	"1"	"10"	"12"	"9"	"4"	"29"	"26"	"16"	"461"	"13"	"5"	"22"	"3"	"10"	"23"	"667"	"0"	"667"	"0"
"143"	"67"	"75"	"2"	"9"	"8"	"6"	"2"	"12"	"18"	"10"	"437"	"10"	"3"	"8"	"4"	"4"	"12"	"620"	"0"	"620"	"0"
"144"	"68"	"135"	"3"	"44"	"12"	"1"	"4"	"1"	"5"	"0"	"186"	"10"	"1"	"10"	"1"	"5"	"10"	"428"	"0"	"428"	"0"
"145"	"69"	"24"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"1"	"245"	"2"	"0"	"6"	"0"	"0"	"21"	"308"	"0"	"308"	"0"
"146"	"70"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"567"	"0"	"0"	"1"	"0"	"0"	"0"	"569"	"0"	"569"	"0"
"147"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
