"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"16"	"6"	"115"	"286"	"19"	"202"	"4"	"40"	"8"	"5"	"6"	"3"	"2"	"3"	"13"	"706"	"0"	"706"	""
"17"	"7"	"194"	"129"	"66"	"168"	"3"	"5"	"4"	"4"	"4"	"3"	"2"	"4"	"19"	"605"	"0"	"605"	""
"18"	"8"	"66"	"300"	"10"	"12"	"40"	"0"	"0"	"1"	"21"	"0"	"2"	"3"	"4"	"459"	"0"	"459"	""
"19"	"9"	"79"	"9"	"5"	"201"	"3"	"1"	"1"	"1"	"4"	"12"	"1"	"5"	"21"	"343"	"0"	"343"	""
"20"	"10"	"24"	"114"	"9"	"119"	"9"	"8"	"37"	"1"	"9"	"9"	"6"	"16"	"67"	"428"	"0"	"428"	""
"21"	"11"	"33"	"102"	"5"	"134"	"10"	"4"	"2"	"1"	"23"	"3"	"4"	"2"	"17"	"340"	"0"	"340"	""
"22"	"12"	"49"	"166"	"17"	"201"	"12"	"8"	"9"	"2"	"8"	"3"	"2"	"4"	"18"	"499"	"0"	"499"	""
"23"	"13"	"45"	"318"	"2"	"27"	"7"	"4"	"43"	"2"	"9"	"5"	"0"	"3"	"8"	"473"	"0"	"473"	""
"24"	"14"	"1"	"181"	"0"	"81"	"1"	"1"	"3"	"2"	"36"	"1"	"0"	"1"	"3"	"311"	"0"	"311"	""
"25"	"Round Total"	"1265"	"2258"	"169"	"1922"	"178"	"114"	"129"	"36"	"173"	"92"	"46"	"68"	"338"	"6788"	"0"	"6788"	""
"26"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Time:9.15 A.M                                                                                                                                                              Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 31-DARAULI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 31 -Darauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Total No.of Electores in Assembly Constituency :-183249                                                    Round No -2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"34"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"35"	"15"	"38"	"199"	"16"	"338"	"7"	"8"	"21"	"1"	"1"	"5"	"2"	"3"	"21"	"660"	"0"	"660"	"0"
"36"	"16"	"80"	"59"	"16"	"336"	"24"	"4"	"7"	"4"	"21"	"16"	"6"	"5"	"38"	"616"	"0"	"616"	"0"
"37"	"17"	"63"	"124"	"13"	"211"	"34"	"8"	"8"	"10"	"5"	"9"	"6"	"7"	"49"	"547"	"0"	"547"	"0"
"38"	"18"	"26"	"92"	"6"	"219"	"25"	"6"	"4"	"3"	"4"	"5"	"4"	"5"	"26"	"425"	"0"	"425"	"0"
"39"	"19"	"45"	"142"	"17"	"120"	"13"	"4"	"2"	"3"	"10"	"9"	"1"	"7"	"32"	"405"	"0"	"405"	"0"
"40"	"20"	"47"	"112"	"0"	"7"	"2"	"0"	"1"	"1"	"16"	"1"	"0"	"1"	"2"	"190"	"0"	"190"	"0"
"41"	"21"	"157"	"315"	"10"	"166"	"8"	"0"	"5"	"6"	"28"	"17"	"5"	"6"	"26"	"749"	"0"	"749"	"0"
"42"	"22"	"40"	"92"	"8"	"211"	"5"	"4"	"1"	"2"	"7"	"6"	"2"	"3"	"11"	"392"	"0"	"392"	"0"
"43"	"23"	"4"	"477"	"7"	"40"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"3"	"8"	"546"	"0"	"546"	"0"
"44"	"24"	"95"	"61"	"1"	"21"	"3"	"0"	"1"	"0"	"3"	"3"	"1"	"0"	"10"	"199"	"0"	"199"	"0"
"45"	"25"	"203"	"160"	"8"	"83"	"5"	"3"	"2"	"6"	"31"	"7"	"5"	"2"	"27"	"542"	"0"	"542"	"0"
"46"	"26"	"54"	"56"	"4"	"84"	"4"	"0"	"24"	"7"	"18"	"8"	"8"	"11"	"32"	"310"	"0"	"310"	"0"
"47"	"27"	"25"	"395"	"17"	"210"	"13"	"5"	"8"	"1"	"9"	"11"	"6"	"12"	"34"	"746"	"0"	"746"	"0"
"48"	"28"	"42"	"229"	"11"	"216"	"2"	"3"	"23"	"1"	"6"	"12"	"3"	"8"	"43"	"599"	"0"	"599"	"0"
"49"	"Round Total"	"919"	"2513"	"134"	"2262"	"147"	"46"	"109"	"45"	"160"	"110"	"49"	"73"	"359"	"6926"	"0"	"6926"	"0"
"50"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Time:9.40 A.M                                                                                                                                                              Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"54"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"55"	"29"	"46"	"81"	"7"	"220"	"14"	"15"	"137"	"9"	"6"	"18"	"10"	"7"	"50"	"620"	"0"	"620"	"0"
"56"	"30"	"49"	"111"	"14"	"285"	"17"	"7"	"54"	"5"	"8"	"7"	"9"	"6"	"61"	"633"	"0"	"633"	"0"
"57"	"31"	"57"	"531"	"11"	"33"	"1"	"1"	"2"	"0"	"49"	"3"	"5"	"11"	"12"	"716"	"0"	"716"	"0"
"58"	"32"	"45"	"424"	"8"	"23"	"0"	"6"	"1"	"0"	"9"	"1"	"1"	"2"	"1"	"521"	"0"	"521"	"0"
"59"	"33"	"52"	"337"	"77"	"7"	"3"	"6"	"4"	"2"	"37"	"0"	"1"	"6"	"7"	"539"	"0"	"539"	"0"
"60"	"34"	"128"	"455"	"10"	"25"	"2"	"2"	"3"	"1"	"5"	"0"	"1"	"7"	"16"	"655"	"0"	"655"	"0"
"61"	"35"	"141"	"243"	"16"	"165"	"18"	"1"	"1"	"4"	"29"	"9"	"5"	"4"	"22"	"658"	"0"	"658"	"0"
"62"	"36"	"74"	"102"	"1"	"139"	"7"	"10"	"3"	"2"	"3"	"9"	"1"	"5"	"8"	"364"	"0"	"364"	"0"
"63"	"37"	"121"	"159"	"1"	"59"	"0"	"1"	"3"	"0"	"3"	"2"	"0"	"3"	"10"	"362"	"0"	"362"	"0"
"64"	"38"	"104"	"56"	"11"	"161"	"11"	"6"	"5"	"6"	"162"	"18"	"11"	"5"	"35"	"591"	"0"	"591"	"0"
"65"	"39"	"53"	"103"	"9"	"277"	"21"	"6"	"7"	"6"	"89"	"12"	"7"	"7"	"33"	"630"	"0"	"630"	"0"
"66"	"40"	"28"	"63"	"14"	"109"	"7"	"25"	"13"	"6"	"4"	"8"	"7"	"11"	"32"	"327"	"0"	"327"	"0"
"67"	"41"	"102"	"138"	"8"	"167"	"9"	"6"	"15"	"7"	"11"	"18"	"6"	"15"	"48"	"550"	"0"	"550"	"0"
"68"	"42"	"70"	"142"	"4"	"187"	"5"	"22"	"0"	"1"	"1"	"5"	"4"	"1"	"5"	"447"	"0"	"447"	"0"
"69"	"Round Total"	"1070"	"2945"	"191"	"1857"	"115"	"114"	"248"	"49"	"416"	"110"	"68"	"90"	"340"	"7613"	"0"	"7613"	"0"
"70"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Time:10.00 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"74"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"75"	"43"	"91"	"61"	"1"	"35"	"4"	"7"	"28"	"4"	"9"	"2"	"3"	"7"	"19"	"271"	"0"	"271"	"0"
"76"	"44"	"44"	"157"	"8"	"242"	"2"	"2"	"10"	"1"	"4"	"2"	"7"	"2"	"12"	"493"	"0"	"493"	"0"
"77"	"45"	"133"	"84"	"17"	"176"	"4"	"3"	"8"	"1"	"3"	"4"	"1"	"2"	"20"	"456"	"0"	"456"	"0"
"78"	"46"	"48"	"236"	"6"	"47"	"6"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"4"	"356"	"0"	"356"	"0"
"79"	"47"	"97"	"74"	"10"	"151"	"18"	"2"	"4"	"4"	"29"	"16"	"3"	"15"	"38"	"461"	"0"	"461"	"0"
"80"	"48"	"23"	"117"	"10"	"232"	"10"	"18"	"3"	"2"	"2"	"6"	"3"	"10"	"18"	"454"	"0"	"454"	"0"
"81"	"49"	"45"	"108"	"5"	"243"	"20"	"8"	"13"	"5"	"13"	"44"	"14"	"24"	"79"	"621"	"0"	"621"	"0"
"82"	"50"	"105"	"54"	"10"	"380"	"14"	"7"	"16"	"5"	"13"	"17"	"6"	"7"	"45"	"679"	"0"	"679"	"0"
"83"	"51"	"21"	"68"	"21"	"189"	"6"	"2"	"3"	"1"	"7"	"11"	"1"	"5"	"49"	"384"	"0"	"384"	"0"
"84"	"52"	"67"	"104"	"7"	"67"	"4"	"1"	"8"	"7"	"25"	"7"	"4"	"9"	"22"	"332"	"0"	"332"	"0"
"85"	"53"	"190"	"92"	"12"	"182"	"20"	"7"	"3"	"7"	"6"	"33"	"12"	"18"	"81"	"663"	"0"	"663"	"0"
"86"	"54"	"20"	"167"	"9"	"198"	"8"	"3"	"0"	"1"	"5"	"9"	"4"	"10"	"38"	"472"	"0"	"472"	"0"
"87"	"55"	"95"	"143"	"14"	"154"	"3"	"3"	"0"	"2"	"13"	"10"	"7"	"4"	"24"	"472"	"0"	"472"	"0"
"88"	"56"	"82"	"107"	"4"	"251"	"5"	"5"	"8"	"2"	"8"	"0"	"1"	"3"	"4"	"480"	"0"	"480"	"0"
"89"	"Round Total"	"1061"	"1572"	"134"	"2547"	"124"	"71"	"104"	"42"	"137"	"163"	"67"	"119"	"453"	"6594"	"0"	"6594"	"0"
"90"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Time:10.15 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"94"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"95"	"57"	"63"	"156"	"26"	"218"	"13"	"15"	"7"	"4"	"10"	"14"	"6"	"10"	"33"	"575"	"0"	"575"	"0"
"96"	"58"	"135"	"75"	"10"	"275"	"9"	"11"	"34"	"4"	"10"	"18"	"6"	"13"	"60"	"660"	"0"	"660"	"0"
"97"	"59"	"134"	"79"	"7"	"105"	"7"	"13"	"5"	"6"	"9"	"10"	"4"	"23"	"72"	"474"	"0"	"474"	"0"
"98"	"60"	"117"	"125"	"0"	"1"	"70"	"1"	"3"	"1"	"27"	"0"	"2"	"1"	"33"	"381"	"0"	"381"	"0"
"99"	"61"	"95"	"202"	"14"	"122"	"22"	"23"	"7"	"3"	"6"	"7"	"3"	"4"	"32"	"540"	"0"	"540"	"0"
"100"	"62"	"35"	"413"	"7"	"50"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"514"	"0"	"514"	"0"
"101"	"63"	"76"	"118"	"6"	"195"	"5"	"3"	"2"	"2"	"15"	"15"	"6"	"9"	"40"	"492"	"0"	"492"	"0"
"102"	"64"	"48"	"121"	"15"	"132"	"16"	"16"	"7"	"8"	"15"	"5"	"3"	"5"	"8"	"399"	"0"	"399"	"0"
"103"	"65"	"65"	"122"	"9"	"348"	"9"	"4"	"4"	"0"	"7"	"9"	"5"	"2"	"32"	"616"	"0"	"616"	"0"
"104"	"66"	"52"	"173"	"4"	"92"	"7"	"4"	"8"	"1"	"12"	"2"	"0"	"2"	"5"	"362"	"0"	"362"	"0"
"105"	"67"	"31"	"53"	"5"	"70"	"7"	"4"	"81"	"2"	"6"	"3"	"2"	"1"	"6"	"271"	"0"	"271"	"0"
"106"	"68"	"22"	"37"	"2"	"233"	"10"	"10"	"20"	"3"	"16"	"4"	"0"	"2"	"22"	"381"	"0"	"381"	"0"
"107"	"69"	"191"	"30"	"1"	"110"	"10"	"13"	"18"	"2"	"8"	"5"	"6"	"3"	"26"	"423"	"0"	"423"	"0"
"108"	"70"	"39"	"190"	"5"	"174"	"7"	"9"	"26"	"3"	"13"	"11"	"3"	"2"	"28"	"510"	"0"	"510"	"0"
"109"	"Round Total"	"1103"	"1894"	"111"	"2125"	"192"	"130"	"222"	"39"	"155"	"103"	"47"	"77"	"400"	"6598"	"0"	"6598"	"0"
"110"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Time:10.30 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"114"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"115"	"71"	"71"	"78"	"12"	"196"	"24"	"8"	"13"	"6"	"46"	"14"	"3"	"7"	"25"	"503"	"0"	"503"	"0"
"116"	"72"	"145"	"73"	"13"	"212"	"20"	"8"	"13"	"10"	"11"	"14"	"2"	"13"	"41"	"575"	"0"	"575"	"0"
"117"	"73"	"104"	"56"	"1"	"187"	"8"	"3"	"3"	"0"	"0"	"1"	"0"	"4"	"4"	"371"	"0"	"371"	"0"
"118"	"74"	"66"	"52"	"4"	"137"	"8"	"3"	"9"	"4"	"5"	"3"	"2"	"5"	"26"	"324"	"0"	"324"	"0"
"119"	"75"	"39"	"59"	"40"	"133"	"12"	"6"	"14"	"6"	"3"	"9"	"13"	"10"	"47"	"391"	"0"	"391"	"0"
"120"	"76"	"341"	"9"	"0"	"2"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"359"	"0"	"359"	"0"
"121"	"77"	"27"	"136"	"9"	"325"	"8"	"6"	"11"	"4"	"7"	"7"	"1"	"13"	"26"	"580"	"0"	"580"	"0"
"122"	"78"	"133"	"32"	"10"	"276"	"8"	"3"	"6"	"3"	"6"	"9"	"5"	"3"	"17"	"511"	"0"	"511"	"0"
"123"	"79"	"69"	"200"	"8"	"27"	"4"	"11"	"12"	"2"	"8"	"0"	"6"	"10"	"16"	"373"	"0"	"373"	"0"
"124"	"80"	"203"	"27"	"39"	"163"	"4"	"5"	"1"	"3"	"25"	"4"	"4"	"2"	"24"	"504"	"0"	"504"	"0"
"125"	"81"	"8"	"15"	"15"	"143"	"8"	"42"	"3"	"6"	"5"	"8"	"1"	"1"	"18"	"273"	"0"	"273"	"0"
"126"	"82"	"129"	"57"	"15"	"33"	"1"	"7"	"13"	"7"	"7"	"3"	"7"	"6"	"18"	"303"	"0"	"303"	"0"
"127"	"83"	"101"	"23"	"12"	"14"	"2"	"14"	"36"	"4"	"10"	"2"	"4"	"3"	"14"	"239"	"0"	"239"	"0"
"128"	"84"	"94"	"14"	"1"	"19"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"136"	"0"	"136"	"0"
"129"	"Round Total"	"1530"	"831"	"179"	"1867"	"111"	"117"	"139"	"55"	"134"	"75"	"48"	"78"	"278"	"5442"	"0"	"5442"	"0"
"130"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Time:10.45 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"134"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"135"	"85"	"12"	"15"	"6"	"189"	"7"	"3"	"0"	"4"	"12"	"4"	"4"	"2"	"28"	"286"	"0"	"286"	"0"
"136"	"86"	"8"	"78"	"8"	"81"	"8"	"1"	"2"	"5"	"187"	"18"	"4"	"14"	"27"	"441"	"0"	"441"	"0"
"137"	"87"	"11"	"179"	"16"	"279"	"10"	"5"	"5"	"5"	"169"	"8"	"8"	"7"	"32"	"734"	"0"	"734"	"0"
"138"	"88"	"38"	"92"	"6"	"57"	"4"	"7"	"3"	"5"	"176"	"4"	"4"	"6"	"14"	"416"	"0"	"416"	"0"
"139"	"89"	"23"	"144"	"6"	"74"	"8"	"4"	"2"	"5"	"142"	"5"	"2"	"0"	"15"	"430"	"0"	"430"	"0"
"140"	"90"	"64"	"42"	"12"	"318"	"13"	"6"	"2"	"5"	"12"	"12"	"6"	"5"	"36"	"533"	"0"	"533"	"0"
"141"	"91"	"47"	"52"	"3"	"144"	"7"	"3"	"4"	"6"	"3"	"8"	"2"	"12"	"19"	"310"	"0"	"310"	"0"
"142"	"92"	"43"	"95"	"7"	"105"	"11"	"5"	"8"	"5"	"49"	"7"	"4"	"4"	"25"	"368"	"0"	"368"	"0"
"143"	"93"	"45"	"106"	"9"	"128"	"9"	"24"	"7"	"13"	"11"	"8"	"10"	"13"	"65"	"448"	"0"	"448"	"0"
"144"	"94"	"75"	"121"	"8"	"150"	"13"	"7"	"3"	"5"	"34"	"16"	"8"	"9"	"27"	"476"	"0"	"476"	"0"
"145"	"95"	"82"	"64"	"9"	"215"	"12"	"16"	"4"	"1"	"16"	"9"	"4"	"5"	"33"	"470"	"0"	"470"	"0"
"146"	"96"	"50"	"132"	"9"	"180"	"57"	"10"	"3"	"2"	"29"	"12"	"4"	"6"	"44"	"538"	"0"	"538"	"0"
"147"	"97"	"63"	"210"	"12"	"149"	"16"	"6"	"3"	"6"	"10"	"14"	"11"	"7"	"46"	"553"	"0"	"553"	"0"
"148"	"98"	"35"	"25"	"6"	"229"	"8"	"5"	"0"	"3"	"4"	"11"	"3"	"2"	"29"	"360"	"0"	"360"	"0"
"149"	"Round Total"	"596"	"1355"	"117"	"2298"	"183"	"102"	"46"	"70"	"854"	"136"	"74"	"92"	"440"	"6363"	"0"	"6363"	"0"
"150"	"Date :27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Time:11.00 A.M                                                                                                                                                            Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Place:Siwan                                                                                                                                                31-Daraui Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 31-DARAULI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 31 -Darauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Total No.of Electores in Assembly Constituency :-183249                                                    Round No -8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"158"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"159"	"99"	"85"	"97"	"14"	"281"	"9"	"2"	"13"	"1"	"7"	"6"	"3"	"3"	"42"	"563"	"0"	"563"	"0"
"160"	"100"	"73"	"29"	"1"	"147"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"254"	"0"	"254"	"0"
"161"	"101"	"111"	"69"	"9"	"329"	"30"	"4"	"6"	"10"	"90"	"20"	"8"	"5"	"36"	"727"	"0"	"727"	"0"
"162"	"102"	"15"	"130"	"6"	"118"	"9"	"4"	"1"	"0"	"0"	"5"	"2"	"4"	"1"	"295"	"0"	"295"	"0"
"163"	"103"	"242"	"49"	"4"	"61"	"5"	"2"	"4"	"4"	"3"	"4"	"0"	"4"	"15"	"397"	"0"	"397"	"0"
"164"	"104"	"85"	"87"	"7"	"151"	"30"	"8"	"5"	"9"	"10"	"13"	"13"	"21"	"65"	"504"	"0"	"504"	"0"
"165"	"105"	"161"	"105"	"12"	"84"	"10"	"7"	"9"	"5"	"3"	"8"	"6"	"16"	"36"	"462"	"0"	"462"	"0"
"166"	"106"	"211"	"73"	"10"	"192"	"6"	"6"	"10"	"1"	"5"	"4"	"7"	"6"	"33"	"564"	"0"	"564"	"0"
"167"	"107"	"237"	"46"	"9"	"182"	"6"	"7"	"41"	"4"	"5"	"11"	"3"	"6"	"24"	"581"	"0"	"581"	"0"
"168"	"108"	"8"	"8"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"24"	"0"	"24"	"0"
