"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 233-Imamganj(SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	"SUJEET MANJHI"	""	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"10"	""	"204"	""	""	"59"	""	"75"	""	""	"5"	""	""	"3"	""	""	"2"	""	"2"	""	"6"	""	"4"	""	"10"	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""	""	""
"18"	"11"	""	"180"	""	""	"106"	""	"91"	""	""	"74"	""	""	"11"	""	""	"10"	""	"6"	""	"19"	""	"7"	""	"18"	""	"522"	""	""	"0"	""	""	"522"	""	""	""	""	""	""	""	""	""	""
"19"	"12"	""	"122"	""	""	"69"	""	"76"	""	""	"9"	""	""	"7"	""	""	"1"	""	"1"	""	"4"	""	"2"	""	"14"	""	"305"	""	""	"0"	""	""	"305"	""	""	""	""	""	""	""	""	""	""
"20"	"13"	""	"193"	""	""	"48"	""	"183"	""	""	"96"	""	""	"6"	""	""	"11"	""	"4"	""	"7"	""	"7"	""	"5"	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""	""	""	""	""	""
"21"	"14"	""	"204"	""	""	"81"	""	"104"	""	""	"32"	""	""	"3"	""	""	"5"	""	"2"	""	"4"	""	"2"	""	"3"	""	"440"	""	""	"0"	""	""	"440"	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	"1676"	""	""	"757"	""	"1091"	""	""	"361"	""	""	"76"	""	""	"43"	""	"40"	""	"92"	""	"57"	""	"117"	""	"4310"	""	""	"0"	""	""	"4310"	""	""	""	""	""	""	""	""	""	""
"23"	"Place           Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date            27-02-2005                                                                                                                                                                                   Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"26"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"28"	"15"	"381"	""	""	"13"	""	""	"75"	""	""	"29"	""	""	"1"	""	"0"	""	""	"2"	""	"0"	""	"1"	""	"0"	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	""	""	""	""	""	""
"29"	"16"	"274"	""	""	"142"	""	""	"181"	""	""	"29"	""	""	"20"	""	"13"	""	""	"5"	""	"21"	""	"10"	""	"17"	""	""	"712"	""	""	"0"	""	""	"712"	""	""	""	""	""	""	""	""	""
"30"	"17"	"1"	""	""	"173"	""	""	"4"	""	""	"4"	""	""	"17"	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"202"	""	""	"0"	""	""	"202"	""	""	""	""	""	""	""	""	""
"31"	"18"	"35"	""	""	"52"	""	""	"109"	""	""	"17"	""	""	"5"	""	"7"	""	""	"3"	""	"12"	""	"10"	""	"22"	""	""	"272"	""	""	"0"	""	""	"272"	""	""	""	""	""	""	""	""	""
"32"	"19"	"219"	""	""	"221"	""	""	"90"	""	""	"4"	""	""	"6"	""	"3"	""	""	"1"	""	"5"	""	"3"	""	"3"	""	""	"555"	""	""	"0"	""	""	"555"	""	""	""	""	""	""	""	""	""
"33"	"20"	"40"	""	""	"99"	""	""	"274"	""	""	"26"	""	""	"35"	""	"17"	""	""	"17"	""	"14"	""	"33"	""	"0"	""	""	"555"	""	""	"0"	""	""	"555"	""	""	""	""	""	""	""	""	""
"34"	"21"	"244"	""	""	"110"	""	""	"198"	""	""	"16"	""	""	"9"	""	"12"	""	""	"8"	""	"14"	""	"7"	""	"4"	""	""	"622"	""	""	"0"	""	""	"622"	""	""	""	""	""	""	""	""	""
"35"	"22"	"25"	""	""	"455"	""	""	"62"	""	""	"43"	""	""	"2"	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"3"	""	""	"592"	""	""	"0"	""	""	"592"	""	""	""	""	""	""	""	""	""
"36"	"23"	"143"	""	""	"37"	""	""	"64"	""	""	"33"	""	""	"3"	""	"3"	""	""	"4"	""	"2"	""	"6"	""	"14"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	""	""	""	""	""	""
"37"	"24"	"58"	""	""	"117"	""	""	"39"	""	""	"47"	""	""	"5"	""	"6"	""	""	"5"	""	"9"	""	"3"	""	"24"	""	""	"313"	""	""	"0"	""	""	"313"	""	""	""	""	""	""	""	""	""
"38"	"25"	"221"	""	""	"59"	""	""	"155"	""	""	"21"	""	""	"0"	""	"2"	""	""	"4"	""	"6"	""	"4"	""	"6"	""	""	"478"	""	""	"0"	""	""	"478"	""	""	""	""	""	""	""	""	""
"39"	"26"	"50"	""	""	"12"	""	""	"86"	""	""	"13"	""	""	"0"	""	"1"	""	""	"3"	""	"7"	""	"3"	""	"4"	""	""	"179"	""	""	"0"	""	""	"179"	""	""	""	""	""	""	""	""	""
"40"	"27"	"286"	""	""	"40"	""	""	"11"	""	""	"20"	""	""	"2"	""	"0"	""	""	"2"	""	"1"	""	"1"	""	"0"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	""	""	""	""	""	""	""
"41"	"28"	"68"	""	""	"98"	""	""	"114"	""	""	"13"	""	""	"0"	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"2"	""	""	"296"	""	""	"0"	""	""	"296"	""	""	""	""	""	""	""	""	""
"42"	"Total"	"2045"	""	""	"1628"	""	""	"1462"	""	""	"315"	""	""	"105"	""	"66"	""	""	"56"	""	"93"	""	"81"	""	"99"	""	""	"5950"	""	""	"0"	""	""	"5950"	""	""	""	""	""	""	""	""	""
"43"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"44"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"46"	"29"	"0"	""	""	"0"	""	""	"431"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"431"	""	""	"0"	""	""	"431"	""	""	""	""	""	""	""	""	""
"47"	"30"	"68"	""	""	"108"	""	""	"50"	""	"31"	""	""	"1"	""	""	"1"	""	""	"3"	""	"4"	""	"5"	""	"8"	""	""	"279"	""	""	"0"	""	""	"279"	""	""	""	""	""	""	""	""	""
"48"	"31"	"199"	""	""	"134"	""	""	"74"	""	"12"	""	""	"17"	""	""	"10"	""	""	"7"	""	"13"	""	"12"	""	"25"	""	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""	""	""	""	""
"49"	"32"	"45"	""	""	"13"	""	""	"153"	""	"12"	""	""	"3"	""	""	"7"	""	""	"6"	""	"11"	""	"4"	""	"11"	""	""	"265"	""	""	"0"	""	""	"265"	""	""	""	""	""	""	""	""	""
"50"	"33"	"30"	""	""	"63"	""	""	"139"	""	"4"	""	""	"2"	""	""	"2"	""	""	"4"	""	"7"	""	"7"	""	"14"	""	""	"272"	""	""	"0"	""	""	"272"	""	""	""	""	""	""	""	""	""
"51"	"34"	"35"	""	""	"60"	""	""	"188"	""	"27"	""	""	"9"	""	""	"2"	""	""	"3"	""	"2"	""	"1"	""	"3"	""	""	"330"	""	""	"0"	""	""	"330"	""	""	""	""	""	""	""	""	""
"52"	"35"	"107"	""	""	"50"	""	""	"206"	""	"26"	""	""	"3"	""	""	"4"	""	""	"3"	""	"5"	""	"1"	""	"8"	""	""	"413"	""	""	"0"	""	""	"413"	""	""	""	""	""	""	""	""	""
"53"	"36"	"51"	""	""	"84"	""	""	"169"	""	"38"	""	""	"5"	""	""	"9"	""	""	"4"	""	"2"	""	"4"	""	"6"	""	""	"372"	""	""	"0"	""	""	"372"	""	""	""	""	""	""	""	""	""
"54"	"37"	"183"	""	""	"41"	""	""	"146"	""	"45"	""	""	"17"	""	""	"11"	""	""	"10"	""	"13"	""	"10"	""	"40"	""	""	"516"	""	""	"0"	""	""	"516"	""	""	""	""	""	""	""	""	""
"55"	"38"	"68"	""	""	"85"	""	""	"20"	""	"10"	""	""	"2"	""	""	"0"	""	""	"1"	""	"4"	""	"0"	""	"6"	""	""	"196"	""	""	"0"	""	""	"196"	""	""	""	""	""	""	""	""	""
"56"	"39"	"36"	""	""	"61"	""	""	"93"	""	"2"	""	""	"1"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	""	"196"	""	""	"0"	""	""	"196"	""	""	""	""	""	""	""	""	""
"57"	"40"	"61"	""	""	"23"	""	""	"330"	""	"22"	""	""	"111"	""	""	"10"	""	""	"4"	""	"5"	""	"2"	""	"2"	""	""	"570"	""	""	"0"	""	""	"570"	""	""	""	""	""	""	""	""	""
"58"	"41"	"242"	""	""	"72"	""	""	"108"	""	"137"	""	""	"7"	""	""	"8"	""	""	"5"	""	"7"	""	"1"	""	"5"	""	""	"592"	""	""	"0"	""	""	"592"	""	""	""	""	""	""	""	""	""
"59"	"42"	"56"	""	""	"378"	""	""	"47"	""	"26"	""	""	"2"	""	""	"2"	""	""	"1"	""	"3"	""	"4"	""	"5"	""	""	"524"	""	""	"0"	""	""	"524"	""	""	""	""	""	""	""	""	""
"60"	"Total"	"1181"	""	""	"1172"	""	""	"2154"	""	"392"	""	""	"180"	""	""	"67"	""	""	"52"	""	"76"	""	"51"	""	"134"	""	""	"5459"	""	""	"0"	""	""	"5459"	""	""	""	""	""	""	""	""	""
"61"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"62"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"64"	"43"	"155"	""	""	"74"	""	""	"67"	""	"22"	""	""	"5"	""	""	"5"	""	""	"2"	""	"10"	""	"4"	""	"6"	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""	""	""	""	""
"65"	"44"	"129"	""	""	"90"	""	""	"154"	""	"15"	""	""	"9"	""	""	"6"	""	""	"6"	""	"9"	""	"9"	""	"11"	""	""	"438"	""	""	"0"	""	""	"438"	""	""	""	""	""	""	""	""	""
"66"	"45"	"273"	""	""	"77"	""	""	"32"	""	"92"	""	""	"3"	""	""	"2"	""	""	"0"	""	"2"	""	"1"	""	"3"	""	""	"485"	""	""	"0"	""	""	"485"	""	""	""	""	""	""	""	""	""
"67"	"46"	"13"	""	""	"100"	""	""	"95"	""	"32"	""	""	"15"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"255"	""	""	"0"	""	""	"255"	""	""	""	""	""	""	""	""	""
"68"	"47"	"105"	""	""	"70"	""	""	"43"	""	"8"	""	""	"1"	""	""	"2"	""	""	"6"	""	"10"	""	"6"	""	"10"	""	""	"261"	""	""	"0"	""	""	"261"	""	""	""	""	""	""	""	""	""
"69"	"48"	"50"	""	""	"52"	""	""	"42"	""	"16"	""	""	"16"	""	""	"2"	""	""	"0"	""	"1"	""	"1"	""	"2"	""	""	"182"	""	""	"0"	""	""	"182"	""	""	""	""	""	""	""	""	""
"70"	"49"	"133"	""	""	"30"	""	""	"71"	""	"15"	""	""	"8"	""	""	"6"	""	""	"2"	""	"7"	""	"2"	""	"13"	""	""	"287"	""	""	"0"	""	""	"287"	""	""	""	""	""	""	""	""	""
"71"	"50"	"90"	""	""	"126"	""	""	"42"	""	"11"	""	""	"3"	""	""	"3"	""	""	"6"	""	"4"	""	"1"	""	"3"	""	""	"289"	""	""	"0"	""	""	"289"	""	""	""	""	""	""	""	""	""
"72"	"51"	"59"	""	""	"136"	""	""	"30"	""	"3"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"231"	""	""	"0"	""	""	"231"	""	""	""	""	""	""	""	""	""
"73"	"52"	"199"	""	""	"76"	""	""	"58"	""	"14"	""	""	"3"	""	""	"7"	""	""	"8"	""	"10"	""	"6"	""	"21"	""	""	"402"	""	""	"0"	""	""	"402"	""	""	""	""	""	""	""	""	""
"74"	"53"	"352"	""	""	"20"	""	""	"30"	""	"35"	""	""	"0"	""	""	"2"	""	""	"2"	""	"3"	""	"0"	""	"6"	""	""	"450"	""	""	"0"	""	""	"450"	""	""	""	""	""	""	""	""	""
"75"	"54"	"266"	""	""	"75"	""	""	"97"	""	"23"	""	""	"4"	""	""	"8"	""	""	"15"	""	"13"	""	"10"	""	"24"	""	""	"535"	""	""	"0"	""	""	"535"	""	""	""	""	""	""	""	""	""
"76"	"55"	"117"	""	""	"41"	""	""	"53"	""	"28"	""	""	"7"	""	""	"5"	""	""	"7"	""	"7"	""	"7"	""	"8"	""	""	"280"	""	""	"0"	""	""	"280"	""	""	""	""	""	""	""	""	""
"77"	"56"	"274"	""	""	"50"	""	""	"40"	""	"33"	""	""	"4"	""	""	"3"	""	""	"5"	""	"10"	""	"3"	""	"5"	""	""	"427"	""	""	"0"	""	""	"427"	""	""	""	""	""	""	""	""	""
"78"	"Total"	"2215"	""	""	"1017"	""	""	"854"	""	"347"	""	""	"78"	""	""	"51"	""	""	"60"	""	"86"	""	"50"	""	"114"	""	""	"4872"	""	""	"0"	""	""	"4872"	""	""	""	""	""	""	""	""	""
"79"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"80"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"82"	"57"	"365"	""	""	"31"	""	""	"184"	""	"16"	""	""	"9"	""	""	"5"	""	""	"5"	""	"5"	""	"5"	""	"10"	""	""	"635"	""	""	"0"	""	""	"635"	""	""	""	""	""	""	""	""	""
"83"	"58"	"219"	""	""	"40"	""	""	"68"	""	"27"	""	""	"3"	""	""	"4"	""	""	"4"	""	"5"	""	"2"	""	"5"	""	""	"377"	""	""	"0"	""	""	"377"	""	""	""	""	""	""	""	""	""
"84"	"59"	"51"	""	""	"63"	""	""	"162"	""	"21"	""	""	"9"	""	""	"8"	""	""	"7"	""	"6"	""	"5"	""	"8"	""	""	"340"	""	""	"0"	""	""	"340"	""	""	""	""	""	""	""	""	""
"85"	"60"	"15"	""	""	"218"	""	""	"68"	""	"6"	""	""	"2"	""	""	"3"	""	""	"2"	""	"2"	""	"4"	""	"1"	""	""	"321"	""	""	"0"	""	""	"321"	""	""	""	""	""	""	""	""	""
"86"	"61"	"26"	""	""	"429"	""	""	"34"	""	"6"	""	""	"5"	""	""	"2"	""	""	"3"	""	"3"	""	"1"	""	"2"	""	""	"511"	""	""	"0"	""	""	"511"	""	""	""	""	""	""	""	""	""
"87"	"62"	"67"	""	""	"39"	""	""	"80"	""	"20"	""	""	"10"	""	""	"8"	""	""	"3"	""	"4"	""	"7"	""	"5"	""	""	"243"	""	""	"0"	""	""	"243"	""	""	""	""	""	""	""	""	""
"88"	"63"	"221"	""	""	"78"	""	""	"123"	""	"18"	""	""	"11"	""	""	"2"	""	""	"8"	""	"9"	""	"6"	""	"12"	""	""	"488"	""	""	"0"	""	""	"488"	""	""	""	""	""	""	""	""	""
"89"	"64"	"90"	""	""	"93"	""	""	"106"	""	"10"	""	""	"5"	""	""	"2"	""	""	"3"	""	"3"	""	"1"	""	"7"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	""	""	""	""	""	""
"90"	"65"	"269"	""	""	"59"	""	""	"169"	""	"39"	""	""	"13"	""	""	"10"	""	""	"5"	""	"13"	""	"10"	""	"16"	""	""	"603"	""	""	"0"	""	""	"603"	""	""	""	""	""	""	""	""	""
"91"	"66"	"81"	""	""	"36"	""	""	"134"	""	"12"	""	""	"10"	""	""	"3"	""	""	"6"	""	"5"	""	"0"	""	"2"	""	""	"289"	""	""	"0"	""	""	"289"	""	""	""	""	""	""	""	""	""
"92"	"67"	"92"	""	""	"96"	""	""	"168"	""	"18"	""	""	"10"	""	""	"3"	""	""	"3"	""	"2"	""	"2"	""	"8"	""	""	"402"	""	""	"0"	""	""	"402"	""	""	""	""	""	""	""	""	""
"93"	"68"	"107"	""	""	"112"	""	""	"73"	""	"28"	""	""	"9"	""	""	"14"	""	""	"4"	""	"11"	""	"10"	""	"13"	""	""	"381"	""	""	"0"	""	""	"381"	""	""	""	""	""	""	""	""	""
"94"	"69"	"60"	""	""	"88"	""	""	"151"	""	"12"	""	""	"4"	""	""	"5"	""	""	"2"	""	"8"	""	"6"	""	"14"	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""	""	""	""	""
"95"	"70"	"81"	""	""	"16"	""	""	"147"	""	"11"	""	""	"4"	""	""	"10"	""	""	"4"	""	"5"	""	"2"	""	"6"	""	""	"286"	""	""	"0"	""	""	"286"	""	""	""	""	""	""	""	""	""
"96"	"Total"	"1744"	""	""	"1398"	""	""	"1667"	""	"244"	""	""	"104"	""	""	"79"	""	""	"59"	""	"81"	""	"61"	""	"109"	""	""	"5546"	""	""	"0"	""	""	"5546"	""	""	""	""	""	""	""	""	""
"97"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"98"	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	""	"SUJEET MANJHI"	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
