"FORM........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"22"	"20"	"81"	"305"	"4"	"8"	"20"	"2"	"6"	"30"	"4"	"7"	"164"	"11"	"17"	"11"	"10"	"680"	"0"	"0"	"680"	"0"
"23"	"21"	"260"	"72"	"4"	"1"	"15"	"1"	"5"	"2"	"1"	"4"	"2"	"4"	"9"	"6"	"16"	"402"	"0"	"0"	"402"	"0"
"24"	"22"	"200"	"79"	"3"	"7"	"38"	"4"	"4"	"88"	"8"	"17"	"3"	"7"	"30"	"7"	"5"	"500"	"0"	"0"	"500"	"0"
"25"	"23"	"191"	"111"	"4"	"1"	"8"	"3"	"5"	"6"	"5"	"6"	"18"	"6"	"3"	"7"	"11"	"385"	"0"	"0"	"385"	"0"
"26"	"24"	"58"	"218"	"8"	"5"	"51"	"4"	"4"	"6"	"4"	"10"	"30"	"8"	"44"	"18"	"23"	"491"	"0"	"0"	"491"	"0"
"27"	"25"	"191"	"237"	"11"	"21"	"87"	"3"	"5"	"12"	"12"	"26"	"19"	"7"	"23"	"11"	"25"	"690"	"0"	"0"	"690"	"0"
"28"	"26"	"310"	"56"	"3"	"15"	"96"	"4"	"2"	"8"	"16"	"38"	"91"	"8"	"8"	"2"	"17"	"674"	"0"	"0"	"674"	"0"
"29"	"27"	"162"	"126"	"4"	"2"	"69"	"2"	"4"	"5"	"25"	"6"	"7"	"3"	"125"	"7"	"15"	"562"	"0"	"0"	"562"	"0"
"30"	"28"	"85"	"182"	"13"	"8"	"101"	"8"	"5"	"10"	"11"	"32"	"55"	"7"	"201"	"51"	"28"	"797"	"0"	"0"	"797"	"0"
"31"	"ROUND 2"	"1701"	"2007"	"103"	"93"	"655"	"44"	"51"	"184"	"112"	"194"	"467"	"97"	"1634"	"207"	"193"	"7742"	"0"	"0"	"7742"	"0"
"32"	"29"	"308"	"172"	"5"	"6"	"205"	"3"	"2"	"10"	"9"	"49"	"18"	"12"	"34"	"9"	"10"	"852"	"0"	"0"	"852"	"0"
"33"	"30"	"70"	"120"	"7"	"4"	"144"	"10"	"21"	"17"	"13"	"40"	"13"	"41"	"84"	"11"	"9"	"604"	"0"	"0"	"604"	"0"
"34"	"31"	"237"	"223"	"6"	"11"	"57"	"2"	"6"	"46"	"32"	"31"	"7"	"21"	"47"	"17"	"19"	"762"	"0"	"0"	"762"	"0"
"35"	"32"	"123"	"110"	"3"	"7"	"22"	"5"	"4"	"11"	"87"	"11"	"2"	"11"	"190"	"11"	"13"	"610"	"0"	"0"	"610"	"0"
"36"	"33"	"333"	"146"	"9"	"5"	"128"	"6"	"6"	"10"	"28"	"29"	"9"	"3"	"28"	"3"	"16"	"759"	"0"	"0"	"759"	"0"
"37"	"34"	"255"	"289"	"8"	"8"	"28"	"4"	"2"	"3"	"25"	"9"	"34"	"39"	"38"	"22"	"38"	"802"	"0"	"0"	"802"	"0"
"38"	"35"	"268"	"50"	"1"	"2"	"16"	"0"	"1"	"3"	"20"	"12"	"108"	"13"	"17"	"18"	"27"	"556"	"0"	"0"	"556"	"0"
"39"	"36"	"255"	"113"	"6"	"8"	"74"	"4"	"12"	"7"	"6"	"29"	"7"	"52"	"23"	"41"	"11"	"648"	"0"	"0"	"648"	"0"
"40"	"37"	"37"	"70"	"4"	"9"	"124"	"12"	"8"	"22"	"8"	"49"	"15"	"196"	"12"	"23"	"9"	"598"	"0"	"0"	"598"	"0"
"41"	"38"	"178"	"57"	"5"	"7"	"309"	"13"	"9"	"15"	"13"	"63"	"42"	"6"	"4"	"1"	"11"	"733"	"0"	"0"	"733"	"0"
"42"	"39"	"289"	"68"	"5"	"11"	"267"	"2"	"6"	"11"	"16"	"57"	"10"	"5"	"2"	"8"	"12"	"769"	"0"	"0"	"769"	"0"
"43"	"40"	"34"	"19"	"3"	"8"	"16"	"7"	"1"	"8"	"4"	"15"	"178"	"87"	"15"	"5"	"4"	"404"	"0"	"0"	"404"	"0"
"44"	"41"	"206"	"41"	"5"	"11"	"93"	"2"	"2"	"8"	"7"	"29"	"111"	"13"	"68"	"7"	"7"	"610"	"0"	"0"	"610"	"0"
"45"	"42"	"38"	"67"	"4"	"4"	"61"	"4"	"2"	"5"	"21"	"30"	"102"	"20"	"250"	"21"	"21"	"650"	"0"	"0"	"650"	"0"
"46"	"ROUND 3"	"2631"	"1545"	"71"	"101"	"1544"	"74"	"82"	"176"	"289"	"453"	"656"	"519"	"812"	"197"	"207"	"9357"	"0"	"0"	"9357"	"0"
"47"	"43"	"108"	"12"	"4"	"4"	"134"	"2"	"1"	"4"	"9"	"25"	"2"	"10"	"12"	"5"	"8"	"340"	"0"	"0"	"340"	"0"
"48"	"BOOTH    NO"	"AMRESHWAR PD. SINGH"	"NARENDRA NR. YADAV"	"MINA DEVI"	"RENU DEVI"	"AKHILESH SINGH"	"NARAYAN SINGH"	"NIRJALA SINGH"	"MD. ABDUS SATTAR"	"AMARNATH DAS"	"ASGAR ALI"	"CHANDESHWARI SINGH"	"MANJULA DEVI"	"MAMTA SHAHI"	"SUNIL KUMAR MANDAL"	"HIMANSHU MANDAL"	"BOOTH WISE TOTAL"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"49"	"44"	"59"	"64"	"0"	"2"	"26"	"4"	"0"	"4"	"4"	"10"	"47"	"4"	"3"	"5"	"6"	"238"	"0"	"0"	"238"	"0"
"50"	"45"	"39"	"90"	"5"	"27"	"41"	"4"	"5"	"21"	"8"	"30"	"210"	"16"	"28"	"1"	"14"	"539"	"0"	"0"	"539"	"0"
"51"	"46"	"57"	"32"	"3"	"7"	"55"	"8"	"8"	"9"	"12"	"15"	"25"	"24"	"3"	"40"	"5"	"303"	"0"	"0"	"303"	"0"
"52"	"47"	"54"	"81"	"3"	"7"	"38"	"3"	"4"	"3"	"12"	"13"	"12"	"25"	"9"	"104"	"15"	"383"	"0"	"0"	"383"	"0"
"53"	"48"	"25"	"66"	"9"	"9"	"30"	"4"	"3"	"9"	"3"	"24"	"422"	"13"	"54"	"18"	"18"	"707"	"0"	"0"	"707"	"0"
"54"	"49"	"5"	"11"	"3"	"5"	"4"	"4"	"0"	"2"	"0"	"8"	"417"	"3"	"3"	"1"	"2"	"468"	"0"	"0"	"468"	"0"
"55"	"50"	"25"	"63"	"0"	"8"	"11"	"1"	"2"	"5"	"6"	"6"	"314"	"6"	"12"	"2"	"7"	"468"	"0"	"0"	"468"	"0"
"56"	"51"	"94"	"127"	"10"	"2"	"5"	"2"	"3"	"2"	"2"	"5"	"99"	"6"	"23"	"12"	"38"	"430"	"0"	"0"	"430"	"0"
"57"	"52"	"41"	"67"	"0"	"4"	"14"	"1"	"4"	"6"	"6"	"9"	"280"	"3"	"4"	"2"	"1"	"442"	"0"	"0"	"442"	"0"
"58"	"53"	"27"	"106"	"3"	"3"	"56"	"1"	"2"	"3"	"18"	"17"	"35"	"0"	"4"	"22"	"715"	"1012"	"0"	"0"	"1012"	"0"
"59"	"54"	"33"	"63"	"4"	"4"	"46"	"3"	"2"	"74"	"15"	"27"	"109"	"6"	"10"	"63"	"94"	"553"	"0"	"0"	"553"	"0"
"60"	"55"	"10"	"60"	"3"	"15"	"28"	"5"	"5"	"7"	"1"	"19"	"489"	"6"	"4"	"2"	"6"	"660"	"0"	"0"	"660"	"0"
"61"	"56"	"37"	"277"	"2"	"7"	"84"	"1"	"2"	"4"	"5"	"14"	"16"	"6"	"8"	"2"	"57"	"522"	"0"	"0"	"522"	"0"
"62"	"ROUND 4"	"614"	"1119"	"49"	"104"	"572"	"43"	"41"	"153"	"101"	"222"	"2477"	"128"	"177"	"279"	"986"	"7065"	"0"	"0"	"7065"	"0"
"63"	"57"	"147"	"218"	"2"	"4"	"105"	"6"	"2"	"8"	"10"	"49"	"74"	"15"	"9"	"18"	"35"	"702"	"0"	"0"	"702"	"0"
"64"	"58"	"29"	"25"	"5"	"16"	"90"	"8"	"3"	"13"	"20"	"44"	"50"	"24"	"39"	"44"	"68"	"478"	"0"	"0"	"478"	"0"
"65"	"59"	"64"	"16"	"5"	"12"	"106"	"6"	"8"	"20"	"18"	"40"	"22"	"12"	"15"	"49"	"24"	"417"	"0"	"0"	"417"	"0"
"66"	"60"	"14"	"64"	"1"	"3"	"3"	"0"	"2"	"3"	"2"	"1"	"181"	"11"	"4"	"5"	"9"	"303"	"0"	"0"	"303"	"0"
"67"	"61"	"38"	"191"	"8"	"14"	"34"	"6"	"4"	"5"	"6"	"11"	"188"	"16"	"2"	"3"	"8"	"534"	"0"	"0"	"534"	"0"
"68"	"62"	"43"	"118"	"7"	"9"	"35"	"14"	"1"	"18"	"6"	"16"	"8"	"140"	"9"	"14"	"15"	"453"	"0"	"0"	"453"	"0"
"69"	"63"	"46"	"163"	"2"	"0"	"8"	"12"	"3"	"1"	"4"	"6"	"18"	"292"	"9"	"17"	"14"	"595"	"0"	"0"	"595"	"0"
"70"	"64"	"23"	"184"	"7"	"5"	"15"	"9"	"6"	"8"	"0"	"7"	"132"	"288"	"24"	"15"	"11"	"734"	"0"	"0"	"734"	"0"
"71"	"65"	"112"	"78"	"6"	"2"	"40"	"3"	"4"	"5"	"6"	"19"	"192"	"55"	"7"	"14"	"30"	"573"	"0"	"0"	"573"	"0"
"72"	"66"	"27"	"105"	"4"	"5"	"6"	"16"	"4"	"7"	"10"	"12"	"18"	"308"	"18"	"30"	"20"	"590"	"0"	"0"	"590"	"0"
"73"	"67"	"44"	"293"	"7"	"10"	"14"	"6"	"3"	"19"	"3"	"7"	"54"	"105"	"18"	"16"	"40"	"639"	"0"	"0"	"639"	"0"
"74"	"68"	"54"	"152"	"4"	"1"	"7"	"3"	"1"	"24"	"5"	"1"	"28"	"55"	"64"	"10"	"10"	"419"	"0"	"0"	"419"	"0"
"75"	"69"	"44"	"444"	"9"	"3"	"12"	"8"	"7"	"43"	"5"	"6"	"54"	"64"	"10"	"10"	"17"	"736"	"0"	"0"	"736"	"0"
"76"	"70"	"45"	"229"	"5"	"6"	"50"	"8"	"6"	"11"	"9"	"22"	"73"	"33"	"5"	"31"	"101"	"634"	"0"	"0"	"634"	"0"
"77"	"ROUND 5"	"730"	"2280"	"72"	"90"	"525"	"105"	"54"	"185"	"104"	"241"	"1092"	"1418"	"233"	"276"	"402"	"7807"	"0"	"0"	"7807"	"0"
"78"	"71"	"44"	"193"	"5"	"3"	"4"	"4"	"11"	"173"	"11"	"17"	"24"	"51"	"3"	"7"	"6"	"556"	"0"	"0"	"556"	"0"
"79"	"72"	"143"	"180"	"1"	"5"	"33"	"11"	"8"	"132"	"11"	"26"	"52"	"44"	"7"	"3"	"9"	"665"	"0"	"0"	"665"	"0"
"80"	"73"	"73"	"247"	"10"	"7"	"37"	"5"	"7"	"77"	"11"	"23"	"17"	"31"	"24"	"9"	"22"	"600"	"0"	"0"	"600"	"0"
"81"	"74"	"124"	"122"	"3"	"2"	"37"	"3"	"4"	"3"	"16"	"27"	"145"	"60"	"21"	"20"	"24"	"611"	"0"	"0"	"611"	"0"
"82"	"75"	"60"	"181"	"2"	"2"	"78"	"3"	"4"	"30"	"13"	"21"	"0"	"2"	"120"	"2"	"7"	"525"	"0"	"0"	"525"	"0"
"83"	"76"	"26"	"172"	"3"	"4"	"106"	"1"	"0"	"39"	"5"	"11"	"12"	"3"	"23"	"3"	"13"	"421"	"0"	"0"	"421"	"0"
"84"	"77"	"165"	"108"	"8"	"1"	"9"	"2"	"5"	"213"	"19"	"27"	"4"	"3"	"6"	"14"	"9"	"593"	"0"	"0"	"593"	"0"
"85"	"78"	"83"	"104"	"3"	"13"	"7"	"6"	"6"	"191"	"5"	"18"	"4"	"2"	"38"	"6"	"10"	"496"	"0"	"0"	"496"	"0"
"86"	"79"	"30"	"467"	"14"	"4"	"5"	"5"	"6"	"3"	"1"	"3"	"26"	"37"	"16"	"9"	"12"	"638"	"0"	"0"	"638"	"0"
"87"	"80"	"29"	"318"	"4"	"1"	"14"	"2"	"0"	"14"	"2"	"2"	"7"	"11"	"7"	"0"	"9"	"420"	"0"	"0"	"420"	"0"
"88"	"81"	"108"	"428"	"5"	"1"	"7"	"0"	"1"	"5"	"1"	"2"	"1"	"1"	"1"	"1"	"11"	"573"	"0"	"0"	"573"	"0"
"89"	"82"	"76"	"304"	"0"	"0"	"3"	"0"	"0"	"9"	"1"	"1"	"0"	"0"	"4"	"2"	"2"	"402"	"0"	"0"	"402"	"0"
"90"	"83"	"34"	"203"	"4"	"1"	"7"	"5"	"1"	"74"	"1"	"5"	"3"	"1"	"7"	"3"	"14"	"363"	"0"	"0"	"363"	"0"
"91"	"84"	"12"	"231"	"8"	"2"	"39"	"1"	"6"	"110"	"4"	"13"	"5"	"5"	"30"	"5"	"10"	"481"	"0"	"0"	"481"	"0"
"92"	"ROUND 6"	"1007"	"3258"	"70"	"46"	"386"	"48"	"59"	"1073"	"101"	"196"	"300"	"251"	"307"	"84"	"158"	"7344"	"0"	"0"	"7344"	"0"
"93"	"85"	"29"	"315"	"6"	"3"	"7"	"0"	"2"	"27"	"2"	"3"	"15"	"6"	"32"	"2"	"3"	"452"	"0"	"0"	"452"	"0"
"94"	"86"	"39"	"141"	"0"	"0"	"2"	"4"	"1"	"173"	"10"	"21"	"0"	"1"	"4"	"1"	"13"	"410"	"0"	"0"	"410"	"0"
"95"	"87"	"60"	"346"	"14"	"7"	"38"	"1"	"5"	"8"	"5"	"10"	"7"	"2"	"1"	"6"	"20"	"530"	"0"	"0"	"530"	"0"
"96"	"88"	"31"	"283"	"14"	"6"	"11"	"8"	"5"	"74"	"6"	"12"	"30"	"109"	"165"	"11"	"5"	"770"	"0"	"0"	"770"	"0"
"97"	"BOOTH    NO"	"AMRESHWAR PD. SINGH"	"NARENDRA NR. YADAV"	"MINA DEVI"	"RENU DEVI"	"AKHILESH SINGH"	"NARAYAN SINGH"	"NIRJALA SINGH"	"MD. ABDUS SATTAR"	"AMARNATH DAS"	"ASGAR ALI"	"CHANDESHWARI SINGH"	"MANJULA DEVI"	"MAMTA SHAHI"	"SUNIL KUMAR MANDAL"	"HIMANSHU MANDAL"	"BOOTH WISE TOTAL"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"98"	"89"	"104"	"287"	"6"	"4"	"6"	"3"	"1"	"3"	"1"	"3"	"68"	"3"	"46"	"9"	"18"	"562"	"0"	"0"	"562"	"0"
"99"	"90"	"60"	"250"	"1"	"1"	"53"	"1"	"8"	"87"	"6"	"18"	"0"	"5"	"8"	"3"	"6"	"507"	"0"	"0"	"507"	"0"
"100"	"91"	"33"	"91"	"3"	"2"	"33"	"7"	"7"	"177"	"11"	"38"	"37"	"23"	"25"	"16"	"32"	"535"	"0"	"0"	"535"	"0"
"101"	"92"	"17"	"119"	"6"	"15"	"15"	"2"	"3"	"12"	"2"	"8"	"2"	"100"	"26"	"22"	"14"	"363"	"0"	"0"	"363"	"0"
"102"	"93"	"17"	"2"	"0"	"1"	"2"	"0"	"2"	"253"	"13"	"11"	"2"	"0"	"2"	"0"	"0"	"305"	"0"	"0"	"305"	"0"
"103"	"94"	"25"	"88"	"0"	"1"	"7"	"1"	"0"	"70"	"0"	"4"	"3"	"1"	"2"	"0"	"0"	"202"	"0"	"0"	"202"	"0"
"104"	"95"	"10"	"10"	"0"	"0"	"3"	"2"	"0"	"155"	"8"	"20"	"172"	"1"	"32"	"1"	"7"	"421"	"0"	"0"	"421"	"0"
"105"	"96"	"96"	"323"	"8"	"13"	"31"	"7"	"10"	"113"	"5"	"22"	"43"	"8"	"16"	"7"	"12"	"714"	"0"	"0"	"714"	"0"
"106"	"97"	"52"	"220"	"7"	"4"	"74"	"2"	"12"	"70"	"5"	"31"	"112"	"23"	"33"	"10"	"10"	"665"	"0"	"0"	"665"	"0"
"107"	"98"	"19"	"193"	"7"	"84"	"26"	"6"	"3"	"4"	"4"	"22"	"163"	"76"	"132"	"20"	"23"	"782"	"0"	"0"	"782"	"0"
"108"	"ROUND 7"	"592"	"2668"	"72"	"141"	"308"	"44"	"59"	"1226"	"78"	"223"	"654"	"358"	"524"	"108"	"163"	"7218"	"0"	"0"	"7218"	"0"
"109"	"99"	"61"	"171"	"10"	"7"	"26"	"4"	"5"	"31"	"5"	"12"	"76"	"36"	"29"	"12"	"16"	"501"	"0"	"0"	"501"	"0"
"110"	"100"	"37"	"341"	"1"	"9"	"130"	"0"	"3"	"7"	"6"	"23"	"12"	"4"	"6"	"5"	"14"	"598"	"0"	"0"	"598"	"0"
"111"	"101"	"6"	"232"	"6"	"2"	"102"	"2"	"5"	"3"	"7"	"33"	"137"	"3"	"17"	"3"	"12"	"570"	"0"	"0"	"570"	"0"
"112"	"102"	"8"	"18"	"0"	"2"	"15"	"3"	"11"	"499"	"10"	"20"	"9"	"1"	"0"	"0"	"1"	"597"	"0"	"0"	"597"	"0"
"113"	"103"	"22"	"168"	"4"	"6"	"13"	"3"	"0"	"7"	"5"	"13"	"250"	"1"	"41"	"2"	"9"	"544"	"0"	"0"	"544"	"0"
"114"	"104"	"66"	"189"	"4"	"5"	"6"	"3"	"6"	"50"	"14"	"19"	"129"	"10"	"9"	"22"	"18"	"550"	"0"	"0"	"550"	"0"
"115"	"105"	"51"	"163"	"4"	"4"	"31"	"4"	"4"	"129"	"10"	"33"	"7"	"8"	"16"	"5"	"18"	"487"	"0"	"0"	"487"	"0"
"116"	"106"	"27"	"362"	"7"	"9"	"7"	"7"	"10"	"70"	"3"	"5"	"182"	"17"	"18"	"7"	"12"	"743"	"0"	"0"	"743"	"0"
"117"	"107"	"6"	"268"	"1"	"7"	"9"	"3"	"3"	"7"	"6"	"18"	"386"	"8"	"13"	"7"	"10"	"752"	"0"	"0"	"752"	"0"
"118"	"108"	"56"	"264"	"3"	"14"	"4"	"3"	"1"	"1"	"3"	"9"	"360"	"27"	"10"	"6"	"10"	"771"	"0"	"0"	"771"	"0"
"119"	"109"	"24"	"229"	"6"	"30"	"13"	"7"	"3"	"31"	"0"	"5"	"239"	"1"	"5"	"7"	"3"	"603"	"0"	"0"	"603"	"0"
"120"	"110"	"50"	"183"	"2"	"7"	"70"	"4"	"3"	"19"	"8"	"32"	"77"	"20"	"36"	"12"	"33"	"556"	"0"	"0"	"556"	"0"
"121"	"111"	"33"	"249"	"2"	"5"	"95"	"2"	"4"	"16"	"14"	"45"	"22"	"5"	"114"	"17"	"123"	"746"	"0"	"0"	"746"	"0"
"122"	"112"	"39"	"110"	"3"	"1"	"5"	"9"	"7"	"168"	"13"	"28"	"253"	"6"	"10"	"11"	"22"	"685"	"0"	"0"	"685"	"0"
"123"	"ROUND 8"	"486"	"2947"	"53"	"108"	"526"	"54"	"65"	"1038"	"104"	"295"	"2139"	"147"	"324"	"116"	"301"	"8703"	"0"	"0"	"8703"	"0"
"124"	"113"	"46"	"53"	"0"	"4"	"24"	"4"	"8"	"235"	"15"	"19"	"32"	"9"	"5"	"0"	"13"	"467"	"0"	"0"	"467"	"0"
"125"	"114"	"69"	"52"	"5"	"14"	"13"	"4"	"3"	"11"	"6"	"16"	"326"	"23"	"18"	"7"	"20"	"587"	"0"	"0"	"587"	"0"
"126"	"115"	"20"	"244"	"13"	"4"	"29"	"3"	"3"	"27"	"11"	"19"	"14"	"53"	"24"	"8"	"19"	"491"	"0"	"0"	"491"	"0"
"127"	"116"	"159"	"169"	"9"	"8"	"18"	"6"	"8"	"4"	"1"	"9"	"115"	"1"	"10"	"5"	"26"	"548"	"0"	"0"	"548"	"0"
"128"	"117"	"15"	"136"	"3"	"1"	"25"	"4"	"5"	"4"	"3"	"8"	"38"	"161"	"13"	"10"	"9"	"435"	"0"	"0"	"435"	"0"
"129"	"118"	"55"	"138"	"10"	"3"	"3"	"9"	"0"	"6"	"2"	"5"	"8"	"163"	"20"	"42"	"5"	"469"	"0"	"0"	"469"	"0"
"130"	"119"	"26"	"15"	"5"	"4"	"5"	"7"	"6"	"59"	"1"	"8"	"8"	"261"	"8"	"9"	"7"	"429"	"0"	"0"	"429"	"0"
"131"	"120"	"100"	"129"	"3"	"3"	"7"	"6"	"5"	"44"	"12"	"19"	"15"	"18"	"14"	"5"	"17"	"397"	"0"	"0"	"397"	"0"
"132"	"121"	"22"	"203"	"4"	"50"	"9"	"4"	"3"	"12"	"8"	"7"	"19"	"58"	"21"	"26"	"19"	"465"	"0"	"0"	"465"	"0"
"133"	"122"	"9"	"162"	"4"	"5"	"46"	"2"	"7"	"55"	"5"	"9"	"26"	"23"	"10"	"3"	"11"	"377"	"0"	"0"	"377"	"0"
"134"	"123"	"40"	"151"	"2"	"3"	"19"	"2"	"63"	"94"	"1"	"20"	"84"	"31"	"10"	"9"	"12"	"541"	"0"	"0"	"541"	"0"
"135"	"124"	"180"	"229"	"7"	"20"	"9"	"6"	"10"	"6"	"9"	"11"	"149"	"1"	"9"	"5"	"8"	"659"	"0"	"0"	"659"	"0"
"136"	"125"	"101"	"65"	"9"	"30"	"12"	"9"	"8"	"47"	"13"	"15"	"117"	"38"	"12"	"80"	"40"	"596"	"0"	"0"	"596"	"0"
"137"	"126"	"73"	"154"	"3"	"7"	"9"	"10"	"12"	"67"	"10"	"26"	"221"	"12"	"13"	"24"	"21"	"662"	"0"	"0"	"662"	"0"
"138"	"ROUND 9"	"915"	"1900"	"77"	"156"	"228"	"76"	"141"	"671"	"97"	"191"	"1172"	"852"	"187"	"233"	"227"	"7123"	"0"	"0"	"7123"	"0"
"139"	"127"	"17"	"58"	"6"	"6"	"35"	"10"	"4"	"42"	"5"	"16"	"9"	"149"	"18"	"28"	"29"	"432"	"0"	"0"	"432"	"0"
"140"	"128"	"97"	"142"	"6"	"2"	"108"	"4"	"3"	"21"	"5"	"35"	"125"	"11"	"21"	"3"	"39"	"622"	"0"	"0"	"622"	"0"
"141"	"129"	"143"	"168"	"6"	"25"	"94"	"3"	"4"	"47"	"6"	"27"	"8"	"4"	"9"	"6"	"88"	"638"	"0"	"0"	"638"	"0"
"142"	"130"	"204"	"221"	"9"	"3"	"28"	"3"	"3"	"109"	"2"	"19"	"9"	"2"	"54"	"4"	"5"	"675"	"0"	"0"	"675"	"0"
"143"	"131"	"12"	"19"	"2"	"2"	"94"	"7"	"16"	"342"	"23"	"40"	"119"	"23"	"2"	"4"	"15"	"720"	"0"	"0"	"720"	"0"
"144"	"132"	"7"	"11"	"1"	"4"	"17"	"4"	"9"	"286"	"15"	"43"	"192"	"15"	"7"	"6"	"29"	"646"	"0"	"0"	"646"	"0"
"145"	"133"	"31"	"19"	"0"	"7"	"22"	"3"	"3"	"78"	"2"	"21"	"140"	"17"	"5"	"3"	"2"	"353"	"0"	"0"	"353"	"0"
