"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..Tender.Votes"
"97"	"73"	8	11	536	17	64	1	2	3	0	10	3	3	7	4	17	"686"	"0"	"686"	"0"
"98"	"74"	13	3	10	4	434	1	3	4	3	9	6	3	6	1	7	"507"	"0"	"507"	"0"
"99"	"75"	28	8	117	5	237	6	3	9	3	21	9	9	3	3	9	"470"	"0"	"470"	"0"
"100"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"101"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"102"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"103"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"104"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"105"	"76"	38	3	88	10	283	7	3	4	0	12	4	2	3	2	3	"462"	"0"	"462"	"0"
"106"	"77"	23	6	112	8	306	4	1	2	1	18	7	12	6	6	5	"517"	"0"	"517"	"0"
"107"	"78"	29	6	160	9	165	5	1	8	4	21	7	16	8	7	9	"455"	"0"	"455"	"0"
"108"	"79"	16	2	100	3	191	7	4	3	5	15	3	7	10	0	7	"373"	"0"	"373"	"0"
"109"	"80"	26	7	119	2	305	4	0	3	5	19	4	5	4	3	4	"510"	"0"	"510"	"0"
"110"	"81"	23	9	71	12	255	8	5	6	8	28	9	7	10	2	27	"480"	"0"	"480"	"0"
"111"	"82"	65	5	229	17	258	12	3	15	4	41	15	20	3	7	18	"712"	"0"	"712"	"0"
"112"	"83"	82	8	190	6	259	3	10	15	6	25	4	7	8	9	16	"648"	"0"	"648"	"0"
"113"	"84"	68	18	243	13	167	8	13	16	11	24	11	7	11	7	24	"641"	"0"	"641"	"0"
"114"	"85"	56	8	129	7	123	0	4	4	4	14	5	6	9	2	23	"394"	"0"	"394"	"0"
"115"	"86"	46	15	236	17	109	7	3	12	5	12	6	5	8	4	20	"505"	"0"	"505"	"0"
"116"	"87"	30	7	103	6	306	9	1	5	3	15	2	3	4	5	5	"504"	"0"	"504"	"0"
"117"	"88"	18	18	165	13	151	5	2	7	1	17	17	12	7	10	29	"472"	"0"	"472"	"0"
"118"	"89"	30	2	79	3	250	3	3	6	5	26	6	8	5	7	27	"460"	"0"	"460"	"0"
"119"	"90"	47	18	198	7	205	3	6	2	1	22	3	6	5	7	9	"539"	"0"	"539"	"0"
"120"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"121"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"122"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"123"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"124"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"125"	"91"	28	7	297	7	130	3	0	13	0	12	2	6	4	4	2	"515"	"0"	"515"	"0"
"126"	"92"	32	11	93	12	267	11	13	12	10	56	23	10	7	6	25	"588"	"0"	"588"	"0"
"127"	"93"	29	15	122	4	255	10	3	8	4	29	12	14	15	5	17	"542"	"0"	"542"	"0"
"128"	"94"	31	9	146	5	243	6	2	8	3	22	10	11	8	3	32	"539"	"0"	"539"	"0"
"129"	"95"	14	10	69	3	80	2	3	9	3	18	3	2	0	3	4	"223"	"0"	"223"	"0"
"130"	"96"	35	24	152	13	219	10	8	19	4	37	3	10	5	3	7	"549"	"0"	"549"	"0"
"131"	"97"	18	10	226	16	341	14	2	0	3	29	6	9	4	4	4	"686"	"0"	"686"	"0"
"132"	"98"	17	3	310	8	223	2	9	6	4	22	14	16	16	8	17	"675"	"0"	"675"	"0"
"133"	"99"	9	1	426	2	15	1	0	0	1	0	0	0	0	0	0	"455"	"0"	"455"	"0"
"134"	"100"	2	4	439	4	59	0	0	1	0	2	2	1	0	0	2	"516"	"0"	"516"	"0"
"135"	"101"	7	1	273	5	21	2	0	1	0	4	2	0	13	0	3	"332"	"0"	"332"	"0"
"136"	"102"	9	4	218	11	125	7	1	7	7	35	26	18	11	5	23	"507"	"0"	"507"	"0"
"137"	"103"	23	7	195	18	244	16	2	14	6	44	25	14	17	6	16	"647"	"0"	"647"	"0"
"138"	"104"	24	7	338	18	189	7	7	10	5	28	14	13	14	12	33	"719"	"0"	"719"	"0"
"139"	"105"	6	18	157	15	147	7	1	8	2	12	6	8	6	2	18	"413"	"0"	"413"	"0"
"140"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"141"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"142"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"143"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"144"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"145"	"106"	36	4	86	20	216	3	2	7	4	27	6	6	4	6	19	"446"	"0"	"446"	"0"
"146"	"107"	15	10	147	13	257	8	6	6	2	10	6	1	1	1	3	"486"	"0"	"486"	"0"
"147"	"108"	14	3	31	7	443	17	5	9	1	20	14	7	3	3	22	"599"	"0"	"599"	"0"
"148"	"109"	28	6	169	9	263	10	5	14	4	20	4	2	0	1	15	"550"	"0"	"550"	"0"
"149"	"110"	18	5	49	6	454	17	3	7	4	12	11	4	3	2	3	"598"	"0"	"598"	"0"
"150"	"111"	4	4	94	1	223	4	1	4	2	12	0	4	3	0	7	"363"	"0"	"363"	"0"
"151"	"112"	28	10	254	7	252	6	10	2	5	40	7	6	5	2	6	"640"	"0"	"640"	"0"
"152"	"113"	47	11	134	11	255	7	4	3	4	30	5	4	5	1	8	"529"	"0"	"529"	"0"
"153"	"114"	7	9	607	11	44	2	1	2	0	1	0	4	6	5	16	"715"	"0"	"715"	"0"
"154"	"115"	91	0	632	4	6	0	1	2	0	0	0	0	3	0	2	"741"	"0"	"741"	"0"
"155"	"116"	17	2	386	1	4	0	0	1	0	0	0	0	0	0	0	"411"	"0"	"411"	"0"
"156"	"117"	12	3	35	2	280	6	1	3	3	15	12	9	1	2	9	"393"	"0"	"393"	"0"
"157"	"118"	8	1	54	9	310	36	4	5	6	14	14	8	4	1	12	"486"	"0"	"486"	"0"
"158"	"119"	12	6	68	10	337	5	2	4	0	14	5	4	5	2	17	"491"	"0"	"491"	"0"
"159"	"120"	14	1	86	6	270	11	1	8	2	15	2	1	1	2	4	"424"	"0"	"424"	"0"
"160"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"162"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"163"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"164"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"165"	"121"	15	24	301	14	215	8	0	7	3	17	6	5	5	4	20	"644"	"0"	"644"	"0"
"166"	"122"	4	2	37	0	554	3	2	0	2	4	0	0	0	0	0	"608"	"0"	"608"	"0"
"167"	"123"	19	10	163	7	185	2	1	9	0	10	1	1	0	0	3	"411"	"0"	"411"	"0"
"168"	"124"	40	5	162	22	273	19	13	8	12	27	18	15	15	15	59	"703"	"0"	"703"	"0"
"169"	"125"	15	7	184	7	188	1	5	6	6	29	7	2	4	1	10	"472"	"0"	"472"	"0"
"170"	"126"	45	21	142	10	355	15	11	15	5	52	23	18	5	7	13	"737"	"0"	"737"	"0"
"171"	"127"	31	10	181	22	225	6	6	12	7	26	14	13	14	8	41	"616"	"0"	"616"	"0"
"172"	"128"	28	0	17	2	533	4	1	5	1	13	9	2	0	0	3	"618"	"0"	"618"	"0"
"173"	"129"	38	10	10	4	420	15	9	13	7	59	17	10	2	7	28	"649"	"0"	"649"	"0"
"174"	"130"	35	3	52	3	255	4	2	9	6	22	2	2	0	2	5	"402"	"0"	"402"	"0"
"175"	"131"	20	10	235	15	412	11	4	14	6	35	9	8	10	5	18	"812"	"0"	"812"	"0"
"176"	"132"	12	3	142	9	406	11	4	6	4	22	9	6	4	5	16	"659"	"0"	"659"	"0"
"177"	"133"	15	4	146	9	142	6	4	12	2	21	9	6	6	6	18	"406"	"0"	"406"	"0"
"178"	"134"	16	4	193	7	150	2	6	5	4	35	2	7	5	0	10	"446"	"0"	"446"	"0"
"179"	"135"	20	8	225	15	222	10	8	12	8	11	7	6	2	1	7	"562"	"0"	"562"	"0"
"180"	"136"	13	8	232	12	316	7	11	20	10	35	21	20	9	14	36	"764"	"0"	"764"	"0"
"181"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"182"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"183"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"184"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"185"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"186"	"137"	40	11	232	15	288	4	3	10	2	19	3	5	2	2	4	"640"	"0"	"640"	"0"
"187"	"138"	45	7	124	11	218	5	2	15	2	14	5	3	2	0	2	"455"	"0"	"455"	"0"
"188"	"139"	27	11	169	17	224	10	8	12	7	31	16	8	14	4	12	"570"	"0"	"570"	"0"
"189"	"140"	28	2	52	4	397	9	1	10	1	20	12	5	0	6	15	"562"	"0"	"562"	"0"
"190"	"141"	19	3	81	2	334	2	2	9	3	18	3	9	1	3	12	"501"	"0"	"501"	"0"
"191"	"142"	35	6	159	6	111	3	4	5	1	9	5	1	2	1	7	"355"	"0"	"355"	"0"
"192"	"143"	42	5	60	10	338	4	4	8	1	24	3	5	5	2	10	"521"	"0"	"521"	"0"
"193"	"144"	2	4	107	4	138	2	1	3	2	7	6	4	2	0	2	"284"	"0"	"284"	"0"
"194"	"145"	5	3	477	3	74	1	1	0	3	5	2	2	1	1	1	"579"	"0"	"579"	"0"
"195"	"146"	0	1	378	1	19	1	0	0	0	0	0	0	0	0	1	"401"	"0"	"401"	"0"
"196"	"147"	33	11	163	7	190	8	3	6	0	18	11	5	3	1	5	"464"	"0"	"464"	"0"
"197"	"148"	16	8	265	7	13	1	2	2	0	5	1	1	4	3	7	"335"	"0"	"335"	"0"
"198"	"149"	18	2	86	5	140	2	5	10	1	20	9	7	6	4	13	"328"	"0"	"328"	"0"
"199"	"150"	12	6	202	13	207	6	4	7	5	21	10	14	10	2	23	"542"	"0"	"542"	"0"
"200"	"151"	64	12	415	19	164	5	14	7	5	13	7	1	7	3	8	"744"	"0"	"744"	"0"
"201"	"152"	20	1	184	7	150	4	6	5	5	21	0	8	4	5	6	"426"	"0"	"426"	"0"
"202"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"203"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"204"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"205"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"206"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"207"	"153"	35	2	194	6	134	6	7	1	6	18	10	10	3	1	11	"444"	"0"	"444"	"0"
"208"	"154"	21	2	118	5	499	17	5	7	6	29	10	8	5	6	12	"750"	"0"	"750"	"0"
"209"	"155"	23	13	77	3	265	13	6	8	8	24	14	12	3	5	10	"484"	"0"	"484"	"0"
"210"	"156"	20	8	155	11	265	9	5	8	4	24	5	12	9	9	13	"557"	"0"	"557"	"0"
"211"	"157"	12	12	102	8	218	3	2	4	0	31	10	17	6	8	5	"438"	"0"	"438"	"0"
"212"	"158"	29	8	264	8	146	5	3	7	3	20	3	4	4	2	4	"510"	"0"	"510"	"0"
"213"	"159"	7	0	62	5	524	7	3	7	3	21	4	3	0	1	9	"656"	"0"	"656"	"0"
"214"	"160"	14	5	201	12	122	1	0	2	2	5	0	1	3	3	2	"373"	"0"	"373"	"0"
"215"	"161"	17	9	144	8	526	5	5	12	3	35	9	11	7	5	20	"816"	"0"	"816"	"0"
"216"	"162"	19	7	27	7	303	16	3	6	3	25	5	15	2	3	11	"452"	"0"	"452"	"0"
"217"	"163"	12	2	0	0	308	8	2	2	0	14	5	2	3	3	14	"375"	"0"	"375"	"0"
"218"	"164"	24	52	124	6	450	6	9	19	8	28	4	4	4	1	13	"752"	"0"	"752"	"0"
"219"	"165"	16	6	62	4	374	6	2	3	0	23	9	4	3	3	5	"520"	"0"	"520"	"0"
"220"	"166"	9	5	111	1	139	3	3	7	2	12	1	2	2	3	3	"303"	"0"	"303"	"0"
"221"	"167"	22	7	107	10	318	8	5	16	2	39	8	7	3	6	25	"583"	"0"	"583"	"0"
"222"	"168"	35	11	219	17	259	14	4	11	11	26	8	8	10	5	11	"649"	"0"	"649"	"0"
"223"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"224"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"225"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"226"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"227"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"228"	"169"	5	6	187	6	52	2	2	0	1	5	0	0	3	1	3	"273"	"0"	"273"	"0"
"229"	"170"	20	7	138	4	194	4	3	13	1	15	4	4	2	3	12	"424"	"0"	"424"	"20"
"230"	"171"	34	13	212	12	271	5	9	8	3	31	5	11	4	5	12	"635"	"0"	"635"	"0"
"231"	"172"	15	0	0	3	408	10	1	2	0	5	2	3	0	0	0	"449"	"0"	"449"	"0"
"232"	"173"	9	2	77	4	156	1	3	5	2	13	3	2	1	3	4	"285"	"0"	"285"	"0"
"233"	"174"	19	56	183	12	277	20	4	11	4	35	10	10	9	12	25	"687"	"0"	"687"	"0"
"234"	"175"	31	4	106	4	267	4	0	8	6	25	8	9	1	4	4	"481"	"0"	"481"	"0"
"235"	"176"	30	27	28	2	287	5	4	6	0	15	5	6	2	3	13	"433"	"0"	"433"	"0"
"236"	"177"	2	2	512	9	91	3	0	4	1	4	2	2	2	3	6	"643"	"0"	"643"	"0"
"237"	"178"	25	6	141	9	309	11	5	13	6	36	19	11	8	8	23	"630"	"0"	"630"	"0"
"238"	"179"	11	6	18	6	693	2	1	0	0	2	1	0	1	0	1	"742"	"0"	"742"	"0"
"239"	"180"	24	3	29	4	305	10	3	9	2	24	6	5	2	1	13	"440"	"0"	"440"	"0"
"240"	"181"	18	4	40	5	399	8	3	4	2	18	13	6	2	1	10	"533"	"0"	"533"	"0"
"241"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"242"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
