"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"37"	"26"	"26"	"30"	"135"	"200"	"9"	"19"	"15"	"5"	"5"	"3"	"421"	"-"	"421"	""
"38"	"27"	"27"	"13"	"57"	"618"	"7"	"7"	"102"	"16"	"9"	"7"	"836"	"-"	"836"	""
"39"	"28"	"28"	"12"	"125"	"194"	"11"	"89"	"88"	"14"	"15"	"14"	"562"	"-"	"562"	""
"40"	"29"	"29"	"23"	"32"	"272"	"10"	"12"	"7"	"3"	"4"	"9"	"372"	"-"	"372"	""
"41"	"30"	"30"	"7"	"8"	"138"	"7"	"4"	"23"	"6"	"3"	"1"	"197"	"-"	"197"	""
"42"	"31"	"31"	"32"	"147"	"92"	"11"	"171"	"42"	"12"	"35"	"22"	"564"	"-"	"564"	""
"43"	"32"	"32"	"10"	"26"	"208"	"6"	"11"	"121"	"12"	"6"	"9"	"409"	"-"	"409"	""
"44"	"33"	"33"	"4"	"25"	"88"	"4"	"3"	"112"	"5"	"1"	"2"	"244"	"-"	"244"	""
"45"	"34"	"34"	"20"	"98"	"100"	"10"	"15"	"102"	"13"	"14"	"8"	"380"	"-"	"380"	""
"46"	"35"	"35"	"15"	"8"	"350"	"10"	"2"	"36"	"9"	"5"	"6"	"441"	"-"	"441"	""
"47"	"36"	"36"	"5"	"7"	"323"	"4"	"2"	"171"	"19"	"3"	"4"	"538"	"-"	"538"	""
"48"	"37"	"37"	"5"	"5"	"482"	"5"	"4"	"115"	"9"	"3"	"6"	"634"	"-"	"634"	""
"49"	"38"	"38"	"16"	"7"	"407"	"11"	"3"	"80"	"2"	"2"	"7"	"535"	"-"	"535"	""
"50"	"39"	"39"	"31"	"8"	"547"	"20"	"12"	"151"	"22"	"4"	"7"	"802"	"-"	"802"	""
"51"	"40"	"40"	"17"	"2"	"104"	"14"	"9"	"263"	"21"	"5"	"15"	"450"	"-"	"450"	""
"52"	"41"	"41"	"11"	"2"	"385"	"8"	"4"	"83"	"5"	"1"	"5"	"504"	"-"	"504"	""
"53"	"42"	"42"	"14"	"1"	"15"	"9"	"10"	"337"	"30"	"8"	"13"	"437"	"-"	"437"	""
"54"	"43"	"43"	"15"	"5"	"237"	"9"	"8"	"139"	"10"	"6"	"6"	"435"	"-"	"435"	""
"55"	"44"	"44"	"28"	"73"	"184"	"17"	"10"	"150"	"44"	"14"	"32"	"552"	"-"	"552"	""
"56"	"45"	"45"	"8"	"138"	"113"	"2"	"3"	"266"	"12"	"8"	"3"	"553"	"-"	"553"	""
"57"	"46"	"46"	"2"	"9"	"558"	"3"	"2"	"84"	"13"	"6"	"6"	"683"	"-"	"683"	""
"58"	"47"	"47"	"16"	"73"	"153"	"7"	"12"	"89"	"18"	"8"	"11"	"387"	"-"	"387"	""
"59"	"48"	"48"	"25"	"10"	"247"	"11"	"16"	"168"	"18"	"5"	"4"	"504"	"-"	"504"	""
"60"	"49"	"49"	"14"	"31"	"198"	"12"	"4"	"129"	"15"	"11"	"19"	"433"	"-"	"433"	""
"61"	"50"	"50"	"4"	"1"	"402"	"3"	"2"	"85"	"2"	"0"	"2"	"501"	"-"	"501"	""
"62"	"51"	"51"	"2"	"11"	"437"	"4"	"1"	"58"	"3"	"1"	"1"	"518"	"-"	"518"	""
"63"	"52"	"52"	"9"	"7"	"76"	"11"	"21"	"386"	"16"	"6"	"12"	"544"	"-"	"544"	""
"64"	"53"	"53"	"7"	"8"	"21"	"4"	"3"	"518"	"3"	"0"	"1"	"565"	"-"	"565"	""
"65"	"54"	"54"	"6"	"14"	"274"	"12"	"10"	"172"	"13"	"1"	"18"	"520"	"-"	"520"	""
"66"	"55"	"55"	"23"	"8"	"9"	"6"	"17"	"325"	"36"	"4"	"20"	"448"	"-"	"448"	""
"67"	"56"	"56"	"18"	"65"	"22"	"13"	"16"	"110"	"27"	"24"	"7"	"302"	"-"	"302"	""
"68"	"57"	"57"	"8"	"223"	"10"	"1"	"2"	"2     32"	"7"	"17"	"3"	"303"	"-"	"303"	""
"69"	"58"	"58"	"7"	"4"	"74"	"2"	"4"	"133"	"7"	"2"	"0"	"233"	"-"	"233"	""
"70"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"71"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"73"	"59"	"59"	"9"	"0"	"5"	"9"	"16"	"415"	"8"	"5"	"3"	"470"	"-"	"470"	""
"74"	"60"	"60"	"10"	"61"	"95"	"11"	"3"	"345"	"18"	"7"	"2"	"552"	"-"	"552"	""
"75"	"61"	"61"	"3"	"11"	"936"	"5"	"0"	"17"	"1"	"0"	"2"	"975"	"-"	"975"	""
"76"	"62"	"62"	"10"	"21"	"183"	"5"	"8"	"75"	"19"	"11"	"13"	"345"	"-"	"345"	""
"77"	"63"	"63"	"31"	"65"	"218"	"12"	"10"	"20"	"4"	"9"	"8"	"377"	"-"	"377"	""
"78"	"64"	"64"	"22"	"114"	"230"	"11"	"9"	"15"	"8"	"13"	"12"	"434"	"-"	"434"	""
"79"	"65"	"65"	"14"	"152"	"83"	"8"	"8"	"113"	"15"	"29"	"20"	"442"	"-"	"442"	""
"80"	"66"	"66"	"13"	"221"	"49"	"5"	"43"	"10"	"5"	"9"	"8"	"363"	"-"	"363"	""
"81"	"67"	"67"	"0"	"272"	"45"	"1"	"0"	"50"	"2"	"3"	"1"	"374"	"-"	"374"	""
"82"	"68"	"68"	"14"	"237"	"155"	"7"	"7"	"75"	"10"	"16"	"11"	"532"	"-"	"532"	""
"83"	"69"	"69"	"0"	"6"	"538"	"4"	"1"	"54"	"4"	"2"	"3"	"612"	"-"	"612"	""
"84"	"70"	"70"	"23"	"55"	"433"	"23"	"6"	"14"	"7"	"9"	"13"	"583"	"-"	"583"	""
"85"	"71"	"71"	"13"	"6"	"593"	"15"	"4"	"54"	"23"	"10"	"4"	"722"	"-"	"722"	""
"86"	"72"	"72"	"17"	"47"	"129"	"12"	"8"	"136"	"14"	"10"	"7"	"380"	"-"	"380"	""
"87"	"73"	"73"	"52"	"11"	"86"	"13"	"10"	"206"	"24"	"13"	"19"	"434"	"-"	"434"	""
"88"	"74"	"74"	"11"	"1"	"58"	"5"	"3"	"107"	"7"	"2"	"6"	"200"	"-"	"200"	""
"89"	"75"	"75"	"18"	"17"	"207"	"29"	"7"	"201"	"31"	"9"	"18"	"537"	"-"	"537"	""
"90"	"76"	"76"	"127"	"14"	"81"	"16"	"17"	"345"	"35"	"4"	"16"	"655"	"-"	"655"	""
"91"	"77"	"77"	"17"	"2"	"21"	"8"	"5"	"278"	"19"	"3"	"9"	"362"	"-"	"362"	""
"92"	"78"	"78"	"42"	"10"	"126"	"13"	"11"	"223"	"34"	"15"	"44"	"518"	"-"	"518"	""
"93"	"79"	"79"	"14"	"9"	"29"	"10"	"112"	"226"	"36"	"9"	"13"	"458"	"-"	"458"	""
"94"	"80"	"80"	"27"	"11"	"377"	"11"	"8"	"114"	"16"	"4"	"12"	"580"	"-"	"580"	""
"95"	"81"	"81"	"32"	"7"	"49"	"18"	"26"	"165"	"42"	"10"	"47"	"396"	"-"	"396"	""
"96"	"82"	"82"	"46"	"16"	"382"	"20"	"17"	"67"	"16"	"8"	"20"	"592"	"-"	"592"	""
"97"	"83"	"83"	"8"	"4"	"22"	"11"	"4"	"190"	"10"	"4"	"6"	"259"	"-"	"259"	""
"98"	"84"	"84"	"15"	"17"	"232"	"11"	"5"	"67"	"15"	"5"	"10"	"377"	"-"	"377"	""
"99"	"85"	"85"	"5"	"9"	"434"	"2"	"3"	"124"	"11"	"2"	"2"	"592"	"-"	"592"	""
"100"	"86"	"86"	"64"	"34"	"118"	"4"	"3"	"48"	"4"	"1"	"2"	"278"	"-"	"278"	""
"101"	"87"	"87"	"22"	"27"	"230"	"22"	"9"	"46"	"13"	"6"	"12"	"387"	"-"	"387"	""
"102"	"88"	"88"	"4"	"118"	"74"	"8"	"4"	"18"	"0"	"10"	"4"	"240"	"-"	"240"	""
"103"	"89"	"89"	"3"	"5"	"406"	"2"	"2"	"10"	"6"	"0"	"1"	"435"	"-"	"435"	""
"104"	"90"	"90"	"14"	"9"	"503"	"2"	"6"	"3     17"	"2"	"1"	"1"	"555"	"-"	"555"	""
"105"	"91"	"91"	"19"	"13"	"120"	"21"	"34"	"284"	"46"	"13"	"22"	"572"	"-"	"572"	""
"106"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"107"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"109"	"92"	"92"	"171"	"18"	"70"	"11"	"17"	"116"	"19"	"21"	"23"	"466"	"-"	"466"	""
"110"	"93"	"93"	"124"	"34"	"192"	"8"	"6"	"100"	"13"	"1"	"7"	"485"	"-"	"485"	""
"111"	"94"	"94"	"38"	"20"	"56"	"16"	"155"	"155"	"38"	"10"	"17"	"505"	"-"	"505"	""
"112"	"95"	"95"	"10"	"4"	"80"	"10"	"60"	"148"	"31"	"16"	"24"	"383"	"-"	"383"	""
"113"	"96"	"96"	"78"	"23"	"359"	"15"	"4"	"70"	"24"	"6"	"11"	"590"	"-"	"590"	""
"114"	"97"	"97"	"155"	"9"	"79"	"11"	"4"	"76"	"14"	"7"	"20"	"375"	"-"	"375"	""
"115"	"98"	"98"	"20"	"6"	"118"	"20"	"15"	"258"	"27"	"18"	"29"	"511"	"-"	"511"	""
"116"	"99"	"99"	"61"	"20"	"113"	"9"	"2"	"72"	"9"	"3"	"9"	"298"	"-"	"298"	""
"117"	"100"	"100"	"157"	"13"	"122"	"6"	"4"	"72"	"8"	"6"	"16"	"404"	"-"	"404"	""
"118"	"101"	"101"	"50"	"7"	"355"	"14"	"2"	"58"	"7"	"3"	"6"	"502"	"-"	"502"	""
"119"	"102"	"102"	"10"	"16"	"170"	"6"	"5"	"29"	"4"	"2"	"6"	"248"	"-"	"248"	""
"120"	"103"	"103"	"12"	"19"	"79"	"10"	"7"	"118"	"14"	"6"	"13"	"278"	"-"	"278"	""
"121"	"104"	"104"	"1"	"4"	"415"	"3"	"0"	"47"	"2"	"2"	"2"	"476"	"-"	"476"	""
"122"	"105"	"105"	"13"	"9"	"249"	"9"	"30"	"231"	"29"	"6"	"25"	"601"	"-"	"601"	""
"123"	"106"	"106"	"18"	"35"	"129"	"6"	"25"	"90"	"6"	"4"	"6"	"319"	"-"	"319"	""
"124"	"107"	"107"	"5"	"6"	"125"	"12"	"19"	"89"	"6"	"3"	"7"	"272"	"-"	"272"	""
"125"	"108"	"108"	"26"	"16"	"22"	"12"	"24"	"224"	"10"	"3"	"10"	"347"	"-"	"347"	""
"126"	"109"	"109"	"22"	"7"	"407"	"17"	"46"	"160"	"17"	"6"	"19"	"701"	"-"	"701"	""
"127"	"110"	"110"	"24"	"8"	"186"	"9"	"106"	"58"	"25"	"10"	"48"	"474"	"-"	"474"	""
"128"	"111"	"111"	"40"	"98"	"206"	"20"	"22"	"189"	"23"	"16"	"34"	"648"	"-"	"648"	""
"129"	"112"	"112"	"4"	"135"	"135"	"3"	"2"	"65"	"5"	"3"	"1"	"353"	"-"	"353"	""
"130"	"113"	"113"	"12"	"254"	"239"	"12"	"9"	"77"	"9"	"8"	"2"	"622"	"-"	"622"	""
"131"	"114"	"114"	"10"	"15"	"299"	"9"	"9"	"254"	"20"	"1"	"14"	"631"	"-"	"631"	""
"132"	"115"	"115"	"13"	"92"	"402"	"18"	"8"	"188"	"16"	"3"	"7"	"747"	"-"	"747"	""
"133"	"116"	"116"	"12"	"113"	"103"	"15"	"14"	"131"	"13"	"10"	"6"	"417"	"-"	"417"	""
"134"	"117"	"117"	"10"	"6"	"267"	"11"	"4"	"56"	"8"	"2"	"4"	"368"	"-"	"368"	""
"135"	"118"	"118"	"11"	"9"	"317"	"5"	"22"	"137"	"13"	"2"	"5"	"521"	"-"	"521"	""
"136"	"119"	"119"	"14"	"68"	"174"	"8"	"5"	"232"	"21"	"9"	"12"	"543"	"-"	"543"	""
"137"	"120"	"120"	"4"	"64"	"182"	"7"	"3"	"28"	"3"	"4"	"6"	"301"	"-"	"301"	""
"138"	"121"	"121"	"0"	"36"	"69"	"0"	"1"	"223"	"0"	"2"	"0"	"331"	"-"	"331"	""
"139"	"122"	"122"	"24"	"8"	"264"	"19"	"11"	"259"	"16"	"3"	"6"	"610"	"-"	"610"	""
"140"	"123"	"123"	"19"	"21"	"302"	"10"	"11"	"4   184"	"10"	"4"	"20"	"581"	"-"	"581"	""
"141"	"124"	"124"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"-"	"1"	""
"142"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"143"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"144"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"145"	"125"	"125"	"15"	"152"	"221"	"12"	"14"	"99"	"13"	"6"	"7"	"539"	"-"	"539"	""
"146"	"126"	"126"	"7"	"455"	"75"	"7"	"13"	"137"	"4"	"15"	"8"	"721"	"-"	"721"	""
"147"	"127"	"127"	"26"	"89"	"132"	"12"	"59"	"213"	"31"	"8"	"9"	"579"	"-"	"579"	""
"148"	"128"	"128"	"13"	"54"	"155"	"18"	"8"	"404"	"36"	"17"	"14"	"719"	"-"	"719"	""
"149"	"129"	"129"	"28"	"50"	"146"	"14"	"11"	"280"	"14"	"10"	"4"	"557"	"-"	"557"	""
"150"	"130"	"130"	"21"	"10"	"352"	"8"	"4"	"192"	"12"	"4"	"7"	"610"	"-"	"610"	""
"151"	"131"	"131"	"8"	"51"	"93"	"6"	"82"	"38"	"8"	"6"	"0"	"292"	"-"	"292"	""
"152"	"132"	"132"	"7"	"90"	"31"	"12"	"19"	"182"	"16"	"6"	"13"	"376"	"-"	"376"	""
"153"	"133"	"133"	"16"	"56"	"151"	"18"	"57"	"224"	"41"	"7"	"11"	"581"	"-"	"581"	""
"154"	"134"	"134"	"11"	"7"	"252"	"10"	"7"	"207"	"15"	"10"	"9"	"528"	"-"	"528"	""
"155"	"135"	"135"	"8"	"4"	"135"	"8"	"1"	"140"	"6"	"1"	"7"	"310"	"-"	"310"	""
"156"	"136"	"136"	"25"	"13"	"293"	"17"	"15"	"240"	"24"	"7"	"14"	"648"	"-"	"648"	""
"157"	"137"	"137"	"2"	"68"	"67"	"16"	"18"	"315"	"28"	"15"	"23"	"552"	"-"	"552"	""
"158"	"138"	"138"	"14"	"115"	"130"	"20"	"24"	"179"	"35"	"14"	"9"	"540"	"-"	"540"	""
"159"	"139"	"139"	"11"	"9"	"172"	"11"	"18"	"147"	"14"	"7"	"14"	"403"	"-"	"403"	""
"160"	"140"	"140"	"12"	"137"	"66"	"8"	"94"	"134"	"18"	"12"	"10"	"491"	"-"	"491"	""
"161"	"141"	"141"	"7"	"90"	"58"	"12"	"85"	"231"	"12"	"9"	"10"	"514"	"-"	"514"	""
"162"	"142"	"142"	"28"	"26"	"135"	"15"	"79"	"248"	"25"	"18"	"30"	"604"	"-"	"604"	""
"163"	"143"	"143"	"28"	"17"	"103"	"12"	"163"	"145"	"24"	"5"	"32"	"529"	"-"	"529"	""
"164"	"144"	"144"	"1"	"142"	"65"	"1"	"36"	"108"	"9"	"4"	"9"	"375"	"-"	"375"	""
"165"	"145"	"145"	"34"	"34"	"125"	"14"	"104"	"178"	"20"	"12"	"22"	"543"	"-"	"543"	""
"166"	"146"	"146"	"5"	"4"	"132"	"10"	"0"	"207"	"12"	"11"	"5"	"386"	"-"	"386"	""
"167"	"147"	"147"	"4"	"3"	"59"	"4"	"6"	"173"	"13"	"7"	"4"	"273"	"-"	"273"	""
"168"	"148"	"148"	"2"	"3"	"87"	"6"	"1"	"25"	"8"	"4"	"4"	"140"	"-"	"140"	""
"169"	"149"	"149"	"13"	"5"	"154"	"16"	"9"	"253"	"13"	"1"	"5"	"469"	"-"	"469"	""
"170"	"150"	"150"	"3"	"1"	"245"	"4"	"5"	"77"	"15"	"3"	"14"	"367"	"-"	"367"	""
"171"	"151"	"151"	"15"	"11"	"131"	"11"	"11"	"248"	"48"	"15"	"24"	"514"	"-"	"514"	""
"172"	"152"	"152"	"13"	"80"	"51"	"6"	"12"	"246"	"77"	"4"	"6"	"495"	"-"	"495"	""
"173"	"153"	"153"	"14"	"121"	"118"	"3"	"6"	"40"	"3"	"4"	"3"	"312"	"-"	"312"	""
"174"	"154"	"154"	"3"	"128"	"103"	"2"	"6"	"58"	"17"	"7"	"8"	"332"	"-"	"332"	""
"175"	"155"	"155"	"5"	"86"	"69"	"2"	"6"	"45"	"3"	"4"	"3"	"223"	"-"	"223"	""
"176"	"156"	"156"	"4"	"188"	"64"	"3"	"0"	"5     37"	"3"	"3"	"3"	"305"	"-"	"305"	""
"177"	"157"	"157"	"14"	"18"	"171"	"15"	"34"	"131"	"8"	"2"	"5"	"398"	"-"	"398"	""
"178"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"179"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"181"	"158"	"158"	"4"	"39"	"49"	"6"	"8"	"145"	"8"	"6"	"3"	"268"	"-"	"268"	""
"182"	"159"	"159"	"11"	"63"	"126"	"2"	"9"	"62"	"14"	"2"	"7"	"296"	"-"	"296"	""
"183"	"160"	"160"	"19"	"4"	"39"	"7"	"71"	"155"	"25"	"6"	"12"	"338"	"-"	"338"	""
"184"	"161"	"161"	"5"	"131"	"53"	"5"	"27"	"73"	"7"	"7"	"4"	"312"	"-"	"312"	""
"185"	"162"	"162"	"13"	"114"	"47"	"4"	"41"	"81"	"15"	"10"	"13"	"338"	"-"	"338"	""
"186"	"163"	"163"	"3"	"2"	"242"	"3"	"2"	"77"	"6"	"0"	"1"	"336"	"-"	"336"	""
"187"	"164"	"164"	"14"	"3"	"94"	"8"	"5"	"197"	"14"	"2"	"4"	"341"	"-"	"341"	""
"188"	"165"	"165"	"22"	"5"	"113"	"6"	"10"	"212"	"15"	"5"	"15"	"403"	"-"	"403"	""
"189"	"166"	"166"	"46"	"5"	"177"	"13"	"7"	"144"	"21"	"4"	"10"	"427"	"-"	"427"	""
"190"	"167"	"167"	"11"	"9"	"89"	"10"	"8"	"169"	"12"	"7"	"16"	"331"	"-"	"331"	""
"191"	"168"	"168"	"3"	"32"	"82"	"3"	"4"	"147"	"6"	"3"	"8"	"288"	"-"	"288"	""
"192"	"169"	"169"	"16"	"48"	"186"	"10"	"9"	"148"	"16"	"9"	"4"	"446"	"-"	"446"	""
"193"	"170"	"170"	"22"	"27"	"131"	"16"	"83"	"190"	"35"	"12"	"48"	"564"	"-"	"564"	""
"194"	"171"	"171"	"6"	"23"	"69"	"12"	"20"	"193"	"16"	"5"	"9"	"353"	"-"	"353"	""
"195"	"172"	"172"	"10"	"6"	"252"	"15"	"119"	"209"	"20"	"5"	"22"	"658"	"-"	"658"	""
"196"	"173"	"173"	"29"	"2"	"187"	"24"	"81"	"187"	"16"	"8"	"5"	"539"	"-"	"539"	""
"197"	"Total No. of votes recording at polling Stations"	""	"3321"	"8534"	"34392"	"1666"	"3281"	"23900"	"2630"	"1266"	"1824"	"80814"	"0"	"80814"	""
"198"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"199"	"Total Votes polled"	""	"3321"	"8534"	"34392"	"1666"	"3281"	"23900"	"2630"	"1266"	"1824"	"80814"	"-"	"80814"	""
"200"	"Place :   DARBHANGA                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Date :    27.02.2005                                                                                                                                                                 88 - Darbhanga Rural (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
