"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"26"	"24"	308	8	11	8	155	7	0	0	3	2	2	1	0	0	19	-524	0
"27"	"25"	86	4	192	132	41	3	4	4	8	10	6	12	2	1	3	-508	0
"28"	"26"	80	8	12	108	49	2	1	1	5	2	3	10	4	5	6	-296	0
"29"	"27"	105	4	60	52	60	4	0	0	4	7	4	9	5	2	16	-332	0
"30"	"28"	37	7	150	245	32	4	1	4	4	4	1	12	9	0	1	-511	0
"31"	"29"	283	7	152	147	35	3	1	5	2	0	1	11	1	2	2	-652	0
"32"	"30"	81	5	67	52	374	4	1	3	1	0	1	5	0	0	1	-595	0
"33"	"31"	254	8	8	26	154	5	1	5	2	2	2	4	0	2	22	-495	0
"34"	"32"	475	2	41	8	250	3	2	1	1	1	6	8	0	5	6	-809	0
"35"	"33"	56	5	28	50	192	8	2	2	2	5	5	11	5	5	24	-400	0
"36"	"34"	118	3	81	3	228	3	2	2	2	4	7	5	0	1	14	-473	0
"37"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"39"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"35"	1	0	338	24	9	0	0	0	0	2	0	0	0	4	0	-378	NA
"41"	"36"	0	1	321	36	54	0	0	0	1	2	0	1	0	6	0	-422	NA
"42"	"37"	28	3	171	109	134	13	3	4	4	4	3	4	9	3	15	-507	NA
"43"	"38"	33	2	25	21	400	6	0	2	3	4	0	2	0	0	3	-501	NA
"44"	"39"	10	1	182	364	122	3	1	0	4	1	0	5	3	1	7	-704	NA
"45"	"40"	12	0	31	334	95	3	0	0	2	3	0	4	1	1	5	-491	NA
"46"	"41"	48	2	37	145	293	6	0	0	0	1	1	2	4	2	1	-542	NA
"47"	"42"	6	1	479	20	31	1	0	1	1	0	0	2	1	0	2	-545	NA
"48"	"43"	54	6	154	11	203	2	1	3	4	5	1	7	4	0	10	-465	NA
"49"	"44"	2	0	33	50	262	0	0	2	1	0	0	0	0	1	2	-353	NA
"50"	"45"	7	0	41	7	502	6	0	0	2	2	0	0	0	0	2	-569	NA
"51"	"46"	9	0	11	5	533	4	2	1	0	2	3	2	0	2	2	-576	NA
"52"	"47"	2	0	33	169	48	3	1	1	2	5	1	2	2	0	1	-270	NA
"53"	"48"	4	1	40	132	69	2	0	0	3	4	0	6	5	0	7	-273	NA
"54"	"49"	21	2	129	38	122	3	1	1	0	1	0	2	0	0	2	-322	NA
"55"	"50"	2	0	203	48	24	5	0	0	1	0	1	6	2	1	6	-299	NA
"56"	"51"	18	4	129	170	43	8	0	1	10	2	0	5	1	1	5	-397	NA
"57"	"52"	13	3	213	210	83	14	0	4	5	3	0	2	1	2	1	-554	NA
"58"	"53"	59	2	145	120	139	0	0	2	4	1	0	9	2	0	2	-485	NA
"59"	"54"	7	1	354	104	67	2	0	1	0	6	1	2	2	1	3	-551	NA
"60"	"55"	0	2	385	124	32	3	1	0	4	4	0	8	1	3	1	-568	NA
"61"	"56"	171	5	8	40	217	8	0	1	0	3	0	2	0	0	7	-462	NA
"62"	"57"	177	6	9	35	226	4	0	4	2	0	0	3	2	0	3	-471	NA
"63"	"58"	31	4	61	335	119	10	0	3	3	3	4	12	3	0	12	-600	NA
"64"	"59"	69	1	53	348	22	3	0	0	3	3	1	9	2	1	5	-520	NA
"65"	"60"	315	7	95	97	80	7	5	6	4	4	2	8	2	2	7	-641	NA
"66"	"61"	25	4	74	161	20	4	2	3	9	5	8	21	10	2	5	-353	NA
"67"	"62"	323	10	57	99	146	8	3	5	5	4	2	9	4	2	10	-687	NA
"68"	"63"	275	12	101	26	72	5	1	3	4	6	3	4	4	5	20	-541	NA
"69"	"64"	119	2	38	15	342	5	2	0	1	2	1	1	0	2	2	-532	NA
"70"	"65"	30	1	36	336	3	4	3	2	2	1	0	11	2	2	5	-438	NA
"71"	"66"	96	4	74	70	17	3	0	3	2	21	4	0	5	0	2	-301	NA
"72"	"67"	202	9	132	59	136	9	5	1	5	4	3	8	4	1	6	-584	NA
"73"	"68"	22	0	37	265	88	3	2	2	5	2	0	6	4	1	1	-438	NA
"74"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"76"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"69"	87	2	11	25	256	6	2	4	3	3	8	6	3	5	20	-441	NA
"78"	"70"	182	3	37	22	186	8	2	2	3	2	3	3	2	2	9	-466	NA
"79"	"71"	88	3	8	59	324	10	5	4	10	5	6	8	9	6	20	-565	NA
"80"	"72"	237	6	34	117	54	2	0	2	3	6	2	8	9	1	26	-507	NA
"81"	"73"	326	7	11	209	64	9	3	4	3	10	9	30	12	4	17	-718	NA
"82"	"74"	99	2	20	166	5	6	2	1	4	3	3	10	13	2	15	-351	NA
"83"	"75"	28	2	20	265	24	6	2	2	4	2	3	14	11	0	10	-393	NA
"84"	"76"	86	4	41	150	63	2	0	0	4	2	1	2	2	157	5	-519	NA
"85"	"77"	578	3	9	172	41	1	0	0	1	2	1	10	5	1	11	-835	NA
"86"	"78"	11	0	13	553	10	7	0	1	3	3	0	11	3	0	2	-617	NA
"87"	"79"	15	2	76	353	4	6	0	1	3	2	0	27	6	1	4	-500	NA
"88"	"80"	224	4	39	37	36	2	1	3	3	0	2	6	5	1	5	-368	NA
"89"	"81"	111	3	59	268	10	6	0	3	5	2	1	11	5	2	8	-494	NA
"90"	"82"	296	10	29	222	43	5	2	2	16	3	4	16	5	2	18	-673	NA
"91"	"83"	61	3	118	405	42	10	1	5	5	4	3	25	5	1	15	-703	NA
"92"	"84"	296	5	142	243	47	6	1	0	3	3	2	9	11	2	15	-785	NA
"93"	"85"	30	3	104	429	12	1	0	2	4	8	0	16	10	2	6	-627	NA
"94"	"86"	32	3	78	284	17	1	1	1	3	2	2	2	3	3	3	-435	NA
"95"	"87"	74	1	47	404	18	1	0	1	0	0	0	1	1	1	1	-550	NA
"96"	"88"	405	26	55	9	16	3	6	2	3	2	2	5	4	6	22	-566	NA
"97"	"89"	190	7	10	45	93	5	3	2	3	6	8	8	5	5	10	-400	NA
"98"	"90"	241	6	9	10	141	6	2	3	2	4	3	0	4	3	19	-453	NA
"99"	"91"	22	0	23	306	17	0	0	0	0	3	0	0	1	0	0	-372	NA
"100"	"92"	390	3	8	14	73	1	2	2	2	3	1	0	3	5	7	-514	NA
"101"	"93"	315	12	77	60	55	4	2	6	4	7	3	3	7	4	29	-588	NA
"102"	"94"	131	4	130	120	28	6	1	0	5	4	1	5	5	2	4	-446	NA
"103"	"95"	117	2	44	124	18	4	0	0	4	4	1	8	11	1	11	-349	NA
"104"	"96"	75	0	167	88	57	3	0	0	0	1	2	1	2	0	2	-398	NA
"105"	"97"	15	0	23	437	16	0	0	0	2	2	0	3	3	0	0	-501	NA
"106"	"98"	219	7	245	71	40	2	1	2	0	2	3	2	5	4	11	-614	NA
"107"	"99"	43	1	363	17	24	0	0	0	0	1	0	0	2	0	0	-451	NA
"108"	"100"	157	1	126	63	33	0	0	4	2	1	1	2	2	1	6	-399	NA
"109"	"101"	322	6	32	15	187	3	2	3	4	11	6	4	1	4	15	-615	NA
"110"	"102"	292	7	19	155	111	8	1	5	3	3	7	13	5	3	13	-645	NA
"111"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"113"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"114"	"103"	244	3	31	95	21	6	1	4	4	2	2	0	1	3	7	-424	NA
"115"	"104"	18	0	11	381	87	1	0	0	1	1	1	2	0	0	2	-505	NA
"116"	"105"	196	11	10	15	228	10	4	6	4	10	11	7	6	8	10	-536	NA
"117"	"106"	159	5	16	53	208	7	1	3	8	5	5	8	6	3	7	-494	NA
"118"	"107"	148	20	2	7	202	5	2	1	5	3	7	4	3	4	20	-433	NA
"119"	"108"	158	26	5	17	106	1	0	0	2	0	1	2	0	0	0	-318	NA
"120"	"109"	281	9	8	9	80	4	3	2	5	24	4	2	2	4	6	-443	NA
"121"	"110"	25	1	25	32	37	1	1	1	2	325	1	1	3	2	1	-458	NA
"122"	"111"	306	7	10	20	32	1	0	0	1	18	1	1	3	0	1	-401	NA
"123"	"112"	67	1	27	376	51	13	0	2	0	2	1	5	2	0	5	-552	NA
"124"	"113"	677	2	7	33	45	0	0	1	1	0	1	2	2	1	1	-773	NA
"125"	"114"	733	1	3	13	3	0	0	0	0	0	0	0	0	0	2	-755	NA
"126"	"115"	21	3	190	206	19	2	3	3	3	2	1	7	5	1	4	-470	NA
"127"	"116"	69	4	26	680	20	4	0	2	2	5	1	6	5	1	1	-826	NA
"128"	"117"	15	3	284	176	79	16	0	2	1	19	9	6	2	0	8	-620	NA
"129"	"118"	13	8	217	172	6	4	0	0	2	1	2	5	0	5	6	-441	NA
"130"	"119"	48	5	293	210	7	5	0	1	12	18	1	13	7	0	5	-625	NA
"131"	"120"	1	1	885	0	0	0	0	1	0	0	0	2	1	0	0	-891	NA
"132"	"121"	3	0	801	6	0	0	0	0	0	2	0	0	1	0	0	-813	NA
"133"	"122"	406	2	17	44	35	6	0	1	5	2	0	3	1	0	4	-526	NA
"134"	"123"	424	1	46	45	2	1	0	0	0	0	2	3	0	1	3	-528	NA
"135"	"124"	98	3	21	151	18	5	1	3	6	4	5	22	12	6	16	-371	NA
"136"	"125"	118	3	59	184	27	6	0	2	3	4	5	23	6	0	10	-450	NA
"137"	"126"	317	8	15	66	101	5	1	2	3	0	1	2	1	1	7	-530	NA
"138"	"127"	309	10	111	28	27	3	1	5	2	4	2	4	1	3	11	-521	NA
"139"	"128"	41	0	498	36	12	3	1	0	3	1	0	2	2	1	5	-605	NA
"140"	"129"	5	1	488	4	0	0	1	0	0	1	0	1	0	0	0	-501	NA
"141"	"130"	3	0	454	0	0	0	0	0	0	0	0	0	0	0	0	-457	NA
"142"	"131"	47	7	193	144	78	3	1	5	8	4	2	6	2	1	11	-512	NA
"143"	"132"	83	4	117	51	85	6	4	3	4	5	3	7	3	1	5	-381	NA
"144"	"133"	44	2	356	27	4	0	0	0	1	0	1	1	6	0	1	-443	NA
"145"	"134"	268	29	161	66	142	15	8	8	13	8	5	3	10	12	34	-782	NA
"146"	"135"	167	8	72	157	72	16	7	3	12	10	12	30	12	15	61	-654	NA
"147"	"136"	245	9	12	42	9	1	2	4	3	5	2	17	6	6	31	-394	NA
"148"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"150"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"137"	180	8	23	263	17	6	0	5	4	3	1	18	9	3	20	-560	NA
"152"	"138"	157	9	92	85	26	3	1	4	3	4	2	13	7	2	14	-422	NA
"153"	"139"	77	9	101	63	17	12	6	4	3	1	3	9	4	1	4	-314	NA
"154"	"140"	144	14	178	119	91	12	3	5	8	13	10	21	18	5	20	-661	NA
"155"	"141"	150	4	56	102	7	0	0	0	2	0	2	10	7	2	8	-350	NA
"156"	"142"	135	5	56	56	109	7	0	3	1	3	2	7	1	1	10	-396	NA
"157"	"143"	313	10	8	91	68	8	0	2	1	5	5	5	3	2	15	-536	NA
"158"	"144"	47	3	370	10	252	5	3	0	0	2	3	1	0	3	7	-706	NA
"159"	"145"	151	16	127	14	242	11	4	5	3	3	2	2	1	0	10	-591	NA
"160"	"146"	193	10	43	29	225	8	3	3	4	10	1	3	2	4	22	-560	NA
"161"	"147"	175	7	96	43	70	5	0	2	0	2	1	2	4	0	9	-416	NA
"162"	"148"	195	12	92	51	53	3	1	2	3	3	1	2	3	0	3	-424	NA
"163"	"149"	206	6	72	114	155	13	1	9	0	7	4	2	4	1	4	-598	NA
"164"	"150"	62	8	116	296	57	9	3	3	9	4	2	12	6	1	8	-596	NA
"165"	"151"	216	1	13	137	115	5	0	3	2	3	2	2	0	0	2	-501	NA
"166"	"152"	205	0	6	181	51	3	0	0	2	0	0	1	0	1	4	-454	NA
"167"	"153"	183	2	116	9	8	1	1	1	0	7	1	2	4	4	17	-356	NA
"168"	"154"	35	1	312	25	33	0	1	0	4	0	0	2	1	0	4	-418	NA
"169"	"155"	281	4	78	7	24	0	0	0	0	6	1	1	2	0	6	-410	NA
"170"	"156"	335	7	67	8	22	0	1	1	2	5	1	2	6	8	23	-488	NA
"171"	"157"	266	6	141	36	125	6	1	3	2	5	1	2	1	0	11	-606	NA
"172"	"158"	260	4	33	40	15	3	0	0	3	3	1	6	2	1	11	-382	NA
"173"	"159"	175	5	67	9	52	5	0	1	4	1	1	2	1	6	21	-350	NA
"174"	"160"	209	24	83	6	47	2	2	0	0	2	1	0	1	0	4	-381	NA
"175"	"161"	128	0	150	14	1	1	0	0	0	0	0	0	1	1	2	-298	NA
"176"	"162"	638	5	0	0	0	0	0	0	0	1	0	0	0	1	3	-648	NA
"177"	"163"	92	3	140	237	7	1	0	0	3	3	3	2	2	0	2	-495	NA
"178"	"164"	36	2	160	247	21	8	1	2	1	2	2	19	5	1	7	-514	NA
"179"	"165"	54	4	314	82	7	3	2	3	4	1	8	6	4	1	8	-501	NA
"180"	"166"	252	3	30	4	118	3	6	1	1	0	1	4	0	1	16	-440	NA
"181"	"167"	435	6	10	2	6	0	0	0	0	0	0	0	1	0	6	-466	NA
"182"	"168"	738	7	2	1	0	1	0	0	0	5	1	0	3	0	14	-772	NA
"183"	"169"	705	6	1	1	2	0	0	0	0	2	0	0	1	2	18	-738	NA
"184"	"170"	626	4	5	1	1	0	0	1	0	0	0	1	1	0	11	-651	NA
"185"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"187"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	"171"	567	2	0	0	0	0	0	0	0	1	1	1	0	0	10	-582	0
"189"	"172"	592	0	0	0	0	0	0	0	0	0	0	0	0	0	3	-595	0
"190"	"173"	248	5	53	38	69	1	1	2	2	0	1	3	1	1	5	-430	0
"191"	"174"	189	7	8	7	95	4	3	2	2	6	2	7	2	3	16	-353	0
"192"	"175"	181	7	111	37	16	3	0	2	2	5	1	4	1	1	7	-378	0
"193"	"176"	36	7	46	12	343	13	8	5	7	2	8	2	4	3	8	-504	0
"194"	"177"	33	8	188	35	254	9	0	3	5	4	5	7	7	9	10	-577	0
"195"	"178"	324	23	40	72	116	5	3	5	5	3	2	2	1	2	11	-614	0
"196"	"179"	309	11	100	49	202	13	4	2	9	11	8	7	4	9	38	-776	0
"197"	"180"	326	4	56	57	58	0	0	1	2	2	2	0	3	0	3	-514	0
"198"	"181"	44	1	294	92	163	3	0	0	2	3	1	2	2	1	4	-612	0
"199"	"182"	168	10	43	72	37	7	3	1	3	10	6	8	11	6	38	-423	0
"200"	"183"	151	3	96	111	132	3	1	0	1	0	0	1	0	1	0	-500	0
"201"	"184"	331	11	105	47	55	2	1	0	1	3	0	3	2	1	8	-570	0
"202"	"185"	152	11	109	161	88	10	2	8	7	2	8	16	10	3	16	-603	0
"203"	"186"	203	9	73	159	7	11	3	2	3	3	4	11	6	4	14	-512	0
"204"	"187"	107	11	193	46	176	6	1	4	2	8	4	18	5	3	14	-598	0
"205"	"188"	100	13	85	124	36	15	1	8	1	3	1	13	5	4	17	-426	0
"206"	"189"	136	3	79	59	65	4	1	3	4	10	3	3	6	4	12	-392	0
"207"	"190"	171	5	60	275	157	6	4	5	10	0	1	8	5	0	7	-714	0
"208"	"191"	157	5	81	36	73	1	1	7	1	3	7	11	8	7	12	-410	0
"209"	"192"	223	5	77	50	186	5	0	7	2	4	5	4	3	4	10	-585	0
"210"	"193"	169	5	50	85	160	3	2	3	2	2	1	4	1	0	4	-491	0
"211"	"194"	301	2	126	7	21	0	0	1	0	1	0	0	2	0	2	-463	0
"212"	"195"	365	6	15	2	1	0	0	1	1	3	1	2	0	1	7	-405	0
"213"	"196"	117	3	118	10	28	0	1	1	0	2	2	6	6	1	15	-310	0
"214"	"197"	186	6	113	5	10	0	0	1	2	0	2	2	11	4	27	-369	0
"215"	"198"	175	6	6	34	172	6	0	3	3	4	1	2	1	0	5	-418	0
"216"	"199"	125	0	64	81	67	3	0	0	1	0	2	1	1	0	2	-347	0
"217"	"200"	65	1	35	324	1	2	0	1	3	0	0	1	0	1	2	-436	0
"218"	"POSTAL VOTE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"219"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"221"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	"TOTAL OF CANDIDATE"	-32738	-1010	-19939	-21455	-18732	-908	-270	-414	-609	-1030	-463	-1185	-678	-540	-1776	-101747	0
"223"	"ROUND NO.1"	1519	44	358	907	1267	52	22	25	38	33	33	106	39	15	93	4938	NA
"224"	"ROUND NO.2"	1190	54	1189	1415	1617	57	25	28	49	41	27	42	25	16	71	5459	NA
"225"	"ROUND NO.3"	1078	48	725	986	1431	54	19	22	37	32	25	70	25	15	69	4636	NA
"226"	"ROUND NO.4"	987	25	1226	975	1638	44	11	16	21	28	23	44	18	28	96	5180	NA
"227"	"ROUND NO.5"	155	12	1160	625	2087	32	5	9	14	20	7	29	18	6	35	4214	NA
"228"	"ROUND NO.6"	860	35	1452	1583	1028	59	6	22	35	29	8	60	16	10	46	5249	NA
"229"	"ROUND NO.7"	1361	47	597	1078	1266	55	22	25	39	50	32	69	38	22	80	4781	NA
"230"	"ROUND NO.8"	1692	33	271	2081	625	51	13	18	38	35	27	126	75	173	115	5373	NA
"231"	"ROUND NO.9"	1736	67	651	2319	439	44	16	21	44	34	25	93	53	27	117	5686	NA
"232"	"ROUND NO.10"	1484	30	1206	1300	361	20	6	14	19	28	12	24	41	17	70	4632	NA
"233"	"ROUND NO.11"	1843	88	159	779	1267	46	15	25	38	384	45	43	27	31	81	4871	NA
"234"	"ROUND NO.12"	1950	35	1942	1886	262	45	3	12	22	65	17	47	27	8	33	6354	NA
"235"	"ROUND NO.13"	1724	28	2510	564	222	29	5	13	22	18	15	60	24	12	56	5302	NA
"236"	"ROUND NO.14"	1412	99	1305	1017	541	74	32	41	59	53	41	125	77	46	201	5123	NA
"237"	"ROUND NO.15"	1627	81	1036	806	1238	69	15	29	23	39	23	46	31	14	96	5173	NA
"238"	"ROUND NO.16"	2165	54	916	458	492	25	6	9	19	32	9	20	18	20	103	4346	NA
"239"	"ROUND NO.17"	3704	40	812	589	163	17	9	7	9	14	15	32	18	7	87	5523	NA
"240"	"ROUND NO.18"	2805	74	602	307	1153	48	19	22	34	34	30	33	23	28	111	5323	NA
"241"	"ROUND NO.19"	1563	77	1137	1146	916	67	17	31	34	42	28	83	52	27	130	5350	NA
"242"	"ROUND NO.20"	1883	39	685	634	719	20	4	25	15	19	21	33	33	18	86	4234	NA
