"Election.to.the..Bihar.Legislative..Assembly..From.94.WARISHNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"25"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"26"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"27"	"B.F."	"473"	"3204"	"165"	"142"	"2824"	"123"	"255"	"117"	"148"	"7451"	"0"	"7451"	"0"
"28"	"15"	"28"	"107"	"14"	"9"	"223"	"24"	"36"	"24"	"48"	"513"	""	"513"	""
"29"	"16"	"22"	"295"	"47"	"3"	"119"	"9"	"15"	"4"	"10"	"524"	""	"524"	""
"30"	"17"	"40"	"67"	"13"	"18"	"504"	"24"	"29"	"9"	"11"	"715"	""	"715"	""
"31"	"18"	"42"	"53"	"6"	"13"	"369"	"16"	"32"	"7"	"0"	"538"	""	"538"	""
"32"	"19"	"28"	"131"	"26"	"22"	"231"	"15"	"36"	"28"	"0"	"517"	""	"517"	""
"33"	"20"	"40"	"191"	"18"	"113"	"80"	"20"	"20"	"10"	"25"	"517"	""	"517"	""
"34"	"21"	"61"	"109"	"13"	"83"	"119"	"15"	"15"	"17"	"33"	"465"	""	"465"	""
"35"	"22"	"34"	"30"	"10"	"32"	"147"	"19"	"22"	"15"	"32"	"341"	""	"341"	""
"36"	"23"	"40"	"164"	"19"	"17"	"179"	"15"	"12"	"16"	"25"	"487"	""	"487"	""
"37"	"24"	"7"	"165"	"3"	"1"	"118"	"4"	"6"	"1"	"3"	"308"	""	"308"	""
"38"	"25"	"15"	"357"	"8"	"0"	"59"	"3"	"5"	"1"	"5"	"453"	""	"453"	""
"39"	"26"	"12"	"71"	"9"	"7"	"182"	"6"	"15"	"10"	"8"	"320"	""	"320"	""
"40"	"27"	"29"	"153"	"12"	"7"	"98"	"7"	"8"	"3"	"5"	"322"	""	"322"	""
"41"	"28"	"11"	"50"	"15"	"9"	"115"	"7"	"10"	"3"	"8"	"228"	""	"228"	""
"42"	"Page Total"	"882"	"5147"	"378"	"476"	"5367"	"307"	"516"	"265"	"361"	"13699"	"0"	"13699"	"0"
"43"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"48"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"49"	"B.F."	"882"	"5147"	"378"	"476"	"5367"	"307"	"516"	"265"	"361"	"13699"	"0"	"13699"	"0"
"50"	"29"	"57"	"58"	"16"	"9"	"178"	"12"	"16"	"7"	"19"	"372"	""	"372"	""
"51"	"30"	"75"	"44"	"2"	"4"	"74"	"4"	"9"	"0"	"3"	"215"	""	"215"	""
"52"	"31"	"19"	"115"	"12"	"3"	"136"	"13"	"22"	"10"	"17"	"347"	""	"347"	""
"53"	"32"	"10"	"35"	"3"	"17"	"226"	"7"	"5"	"2"	"6"	"311"	""	"311"	""
"54"	"33"	"12"	"364"	"7"	"3"	"22"	"3"	"4"	"4"	"6"	"425"	""	"425"	""
"55"	"34"	"10"	"71"	"8"	"6"	"202"	"18"	"25"	"12"	"31"	"383"	""	"383"	""
"56"	"35"	"9"	"25"	"4"	"0"	"244"	"4"	"8"	"0"	"0"	"294"	""	"294"	""
"57"	"36"	"21"	"20"	"0"	"0"	"214"	"4"	"16"	"3"	"2"	"280"	""	"280"	""
"58"	"37"	"26"	"136"	"9"	"5"	"205"	"4"	"7"	"1"	"1"	"394"	""	"394"	""
"59"	"38"	"19"	"135"	"4"	"2"	"104"	"2"	"5"	"6"	"12"	"289"	""	"289"	""
"60"	"39"	"23"	"228"	"14"	"9"	"123"	"11"	"7"	"3"	"10"	"428"	""	"428"	""
"61"	"40"	"6"	"82"	"5"	"1"	"529"	"8"	"11"	"3"	"2"	"647"	""	"647"	""
"62"	"41"	"24"	"214"	"10"	"6"	"143"	"8"	"7"	"3"	"8"	"423"	""	"423"	""
"63"	"42"	"12"	"278"	"7"	"6"	"119"	"3"	"15"	"6"	"2"	"448"	""	"448"	""
"64"	"Page Total"	"1205"	"6952"	"479"	"547"	"7886"	"408"	"673"	"325"	"480"	"18955"	"0"	"18955"	"0"
"65"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"70"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"71"	"B.F."	"1205"	"6952"	"479"	"547"	"7886"	"408"	"673"	"325"	"480"	"18955"	"0"	"18955"	"0"
"72"	"43"	"18"	"14"	"5"	"10"	"322"	"9"	"18"	"1"	"4"	"401"	""	"401"	""
"73"	"44"	"39"	"77"	"7"	"31"	"358"	"9"	"36"	"7"	"23"	"587"	""	"587"	""
"74"	"45"	"14"	"224"	"8"	"5"	"189"	"13"	"18"	"4"	"14"	"489"	""	"489"	""
"75"	"46"	"52"	"213"	"19"	"26"	"185"	"14"	"25"	"7"	"17"	"558"	""	"558"	""
"76"	"47"	"32"	"608"	"18"	"3"	"83"	"5"	"8"	"8"	"20"	"785"	""	"785"	""
"77"	"48"	"58"	"216"	"13"	"22"	"337"	"23"	"37"	"22"	"27"	"755"	""	"755"	""
"78"	"49"	"24"	"300"	"7"	"4"	"54"	"3"	"4"	"2"	"2"	"400"	""	"400"	""
"79"	"50"	"27"	"244"	"8"	"2"	"142"	"4"	"14"	"12"	"25"	"478"	""	"478"	""
"80"	"51"	"28"	"384"	"22"	"8"	"75"	"3"	"7"	"1"	"4"	"532"	""	"532"	""
"81"	"52"	"34"	"279"	"13"	"3"	"199"	"7"	"21"	"7"	"16"	"579"	""	"579"	""
"82"	"53"	"21"	"142"	"5"	"5"	"231"	"12"	"9"	"6"	"13"	"444"	""	"444"	""
"83"	"54"	"24"	"348"	"10"	"3"	"90"	"3"	"3"	"8"	"17"	"506"	""	"506"	""
"84"	"55"	"24"	"145"	"5"	"4"	"99"	"13"	"14"	"7"	"10"	"321"	""	"321"	""
"85"	"56"	"68"	"277"	"14"	"7"	"239"	"11"	"26"	"12"	"24"	"678"	""	"678"	""
"86"	"Page Total"	"1668"	"10423"	"633"	"680"	"10489"	"537"	"913"	"429"	"696"	"26468"	"0"	"26468"	"0"
"87"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"92"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"93"	"B.F."	"1668"	"10423"	"633"	"680"	"10489"	"537"	"913"	"429"	"696"	"26468"	"0"	"26468"	"0"
"94"	"57"	"29"	"238"	"9"	"4"	"39"	"2"	"7"	"38"	"4"	"370"	""	"370"	""
"95"	"58"	"75"	"270"	"16"	"7"	"66"	"14"	"11"	"8"	"8"	"475"	""	"475"	""
"96"	"59"	"26"	"108"	"11"	"5"	"308"	"11"	"47"	"7"	"5"	"528"	""	"528"	""
"97"	"60"	"30"	"306"	"22"	"11"	"195"	"13"	"29"	"15"	"14"	"635"	""	"635"	""
"98"	"61"	"20"	"335"	"6"	"3"	"17"	"3"	"2"	"3"	"0"	"389"	""	"389"	""
"99"	"62"	"46"	"90"	"5"	"14"	"87"	"1"	"5"	"1"	"3"	"252"	""	"252"	""
"100"	"63"	"16"	"68"	"9"	"37"	"176"	"21"	"15"	"9"	"15"	"366"	""	"366"	""
"101"	"64"	"15"	"77"	"2"	"13"	"242"	"10"	"17"	"4"	"5"	"385"	""	"385"	""
"102"	"65"	"22"	"148"	"12"	"14"	"367"	"16"	"26"	"7"	"10"	"622"	""	"622"	""
"103"	"66"	"16"	"113"	"11"	"8"	"310"	"17"	"31"	"8"	"9"	"523"	""	"523"	""
"104"	"67"	"26"	"138"	"9"	"8"	"132"	"1"	"9"	"2"	"8"	"333"	""	"333"	""
"105"	"68"	"54"	"100"	"8"	"4"	"264"	"19"	"31"	"26"	"34"	"540"	""	"540"	""
"106"	"69"	"59"	"197"	"10"	"6"	"187"	"14"	"23"	"11"	"19"	"526"	""	"526"	""
"107"	"70"	"52"	"186"	"14"	"6"	"348"	"16"	"30"	"13"	"17"	"682"	""	"682"	""
"108"	"Page Total"	"2154"	"12797"	"777"	"820"	"13227"	"695"	"1196"	"581"	"847"	"33094"	"0"	"33094"	"0"
"109"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"114"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"115"	"B.F."	"2154"	"12797"	"777"	"820"	"13227"	"695"	"1196"	"581"	"847"	"33094"	"0"	"33094"	"0"
"116"	"71"	"32"	"212"	"11"	"29"	"282"	"12"	"24"	"13"	"24"	"639"	""	"639"	""
"117"	"72"	"38"	"222"	"33"	"42"	"109"	"12"	"22"	"8"	"7"	"493"	""	"493"	""
"118"	"73"	"75"	"156"	"10"	"20"	"72"	"3"	"1"	"5"	"9"	"351"	""	"351"	""
"119"	"74"	"60"	"75"	"4"	"59"	"224"	"13"	"14"	"41"	"10"	"500"	""	"500"	""
"120"	"75"	"28"	"275"	"8"	"48"	"42"	"3"	"5"	"4"	"6"	"419"	""	"419"	""
"121"	"76"	"13"	"358"	"15"	"31"	"100"	"3"	"10"	"8"	"4"	"542"	""	"542"	""
"122"	"77"	"130"	"129"	"7"	"5"	"23"	"0"	"3"	"0"	"4"	"301"	""	"301"	""
"123"	"78"	"108"	"93"	"1"	"9"	"43"	"5"	"6"	"1"	"0"	"266"	""	"266"	""
"124"	"79"	"242"	"206"	"12"	"36"	"62"	"12"	"6"	"8"	"7"	"591"	""	"591"	""
"125"	"80"	"77"	"78"	"9"	"31"	"135"	"9"	"9"	"6"	"14"	"368"	""	"368"	""
"126"	"81"	"39"	"184"	"8"	"80"	"101"	"5"	"7"	"5"	"17"	"446"	""	"446"	""
"127"	"82"	"12"	"85"	"5"	"218"	"74"	"6"	"4"	"4"	"3"	"411"	""	"411"	""
"128"	"83"	"16"	"147"	"4"	"79"	"116"	"6"	"4"	"2"	"4"	"378"	""	"378"	""
"129"	"84"	"45"	"203"	"8"	"43"	"76"	"7"	"13"	"15"	"55"	"465"	""	"465"	""
"130"	"Page Total"	"3069"	"15220"	"912"	"1550"	"14686"	"791"	"1324"	"701"	"1011"	"39264"	"0"	"39264"	"0"
"131"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"136"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"137"	"B.F."	"3069"	"15220"	"912"	"1550"	"14686"	"791"	"1324"	"701"	"1011"	"39264"	"0"	"39264"	"0"
"138"	"85"	"64"	"156"	"10"	"21"	"191"	"8"	"25"	"9"	"7"	"491"	""	"491"	""
"139"	"86"	"37"	"167"	"7"	"20"	"113"	"9"	"14"	"1"	"11"	"379"	""	"379"	""
"140"	"87"	"129"	"70"	"13"	"176"	"182"	"14"	"18"	"11"	"14"	"627"	""	"627"	""
"141"	"88"	"48"	"158"	"2"	"6"	"97"	"2"	"1"	"0"	"2"	"316"	""	"316"	""
"142"	"89"	"99"	"116"	"8"	"16"	"153"	"5"	"8"	"2"	"15"	"422"	""	"422"	""
"143"	"90"	"63"	"276"	"17"	"72"	"117"	"14"	"14"	"6"	"10"	"589"	""	"589"	""
"144"	"91"	"26"	"137"	"2"	"37"	"101"	"1"	"7"	"3"	"5"	"319"	""	"319"	""
"145"	"92"	"7"	"65"	"4"	"24"	"37"	"5"	"3"	"4"	"3"	"152"	""	"152"	""
"146"	"93"	"47"	"124"	"8"	"27"	"261"	"20"	"20"	"7"	"18"	"532"	""	"532"	""
"147"	"94"	"53"	"159"	"7"	"21"	"260"	"20"	"21"	"11"	"28"	"580"	""	"580"	""
"148"	"95"	"12"	"243"	"7"	"8"	"244"	"15"	"14"	"3"	"6"	"552"	""	"552"	""
"149"	"96"	"14"	"96"	"11"	"26"	"163"	"11"	"4"	"2"	"7"	"334"	""	"334"	""
"150"	"97"	"23"	"133"	"5"	"9"	"232"	"17"	"19"	"10"	"16"	"464"	""	"464"	""
"151"	"98"	"22"	"235"	"13"	"5"	"192"	"12"	"11"	"5"	"17"	"512"	""	"512"	""
"152"	"Page Total"	"3713"	"17355"	"1026"	"2018"	"17029"	"944"	"1503"	"775"	"1170"	"45533"	"0"	"45533"	"0"
"153"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"158"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"159"	"B.F."	"3713"	"17355"	"1026"	"2018"	"17029"	"944"	"1503"	"775"	"1170"	"45533"	"0"	"45533"	"0"
"160"	"99"	"9"	"158"	"6"	"0"	"227"	"1"	"16"	"3"	"7"	"427"	""	"427"	""
"161"	"100"	"24"	"197"	"13"	"3"	"386"	"14"	"4"	"3"	"13"	"657"	""	"657"	""
"162"	"101"	"32"	"281"	"17"	"3"	"328"	"13"	"15"	"6"	"9"	"704"	""	"704"	""
"163"	"102"	"24"	"261"	"15"	"4"	"130"	"6"	"13"	"3"	"9"	"465"	""	"465"	""
"164"	"103"	"32"	"358"	"15"	"2"	"174"	"4"	"9"	"13"	"10"	"617"	""	"617"	""
"165"	"104"	"20"	"97"	"6"	"4"	"232"	"2"	"15"	"8"	"15"	"399"	""	"399"	""
"166"	"105"	"32"	"127"	"10"	"7"	"120"	"2"	"11"	"6"	"11"	"326"	""	"326"	""
"167"	"106"	"22"	"104"	"6"	"5"	"167"	"6"	"17"	"11"	"23"	"361"	""	"361"	""
"168"	"107"	"29"	"165"	"5"	"2"	"124"	"10"	"14"	"11"	"13"	"373"	""	"373"	""
"169"	"108"	"5"	"279"	"6"	"2"	"141"	"4"	"5"	"0"	"0"	"442"	""	"442"	""
"170"	"109"	"40"	"198"	"9"	"16"	"261"	"11"	"11"	"9"	"27"	"582"	""	"582"	""
"171"	"110"	"18"	"152"	"13"	"10"	"242"	"15"	"13"	"15"	"23"	"501"	""	"501"	""
"172"	"111"	"51"	"353"	"19"	"8"	"135"	"11"	"19"	"4"	"9"	"609"	""	"609"	""
"173"	"112"	"40"	"103"	"10"	"11"	"288"	"10"	"24"	"7"	"22"	"515"	""	"515"	""
"174"	"Page Total"	"4091"	"20188"	"1176"	"2095"	"19984"	"1053"	"1689"	"874"	"1361"	"52511"	"0"	"52511"	"0"
"175"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"181"	"B.F."	"4091"	"20188"	"1176"	"2095"	"19984"	"1053"	"1689"	"874"	"1361"	"52511"	"0"	"52511"	"0"
"182"	"113"	"8"	"112"	"7"	"9"	"340"	"17"	"17"	"5"	"15"	"530"	""	"530"	""
"183"	"114"	"16"	"90"	"7"	"4"	"321"	"9"	"6"	"5"	"5"	"463"	""	"463"	""
"184"	"115"	"15"	"64"	"6"	"3"	"210"	"8"	"5"	"6"	"11"	"328"	""	"328"	""
"185"	"116"	"12"	"46"	"1"	"3"	"191"	"7"	"7"	"2"	"6"	"275"	""	"275"	""
"186"	"117"	"49"	"323"	"20"	"5"	"43"	"5"	"10"	"12"	"16"	"483"	""	"483"	""
"187"	"118"	"39"	"248"	"19"	"9"	"228"	"16"	"21"	"1"	"12"	"593"	""	"593"	""
"188"	"119"	"17"	"229"	"14"	"16"	"134"	"18"	"9"	"18"	"12"	"467"	""	"467"	""
"189"	"120"	"15"	"46"	"7"	"8"	"319"	"13"	"20"	"1"	"11"	"440"	""	"440"	""
"190"	"121"	"22"	"119"	"19"	"4"	"76"	"7"	"2"	"1"	"6"	"256"	""	"256"	""
"191"	"122"	"20"	"32"	"1"	"3"	"167"	"7"	"14"	"2"	"4"	"250"	""	"250"	""
"192"	"123"	"22"	"59"	"6"	"6"	"259"	"17"	"10"	"3"	"11"	"393"	""	"393"	""
"193"	"124"	"0"	"8"	"0"	"1"	"412"	"2"	"1"	"0"	"0"	"424"	""	"424"	""
"194"	"125"	"23"	"73"	"4"	"3"	"256"	"7"	"15"	"11"	"18"	"410"	""	"410"	""
"195"	"126"	"11"	"182"	"9"	"8"	"151"	"12"	"11"	"11"	"10"	"405"	""	"405"	""
"196"	"Page Total"	"4360"	"21819"	"1296"	"2177"	"23091"	"1198"	"1837"	"952"	"1498"	"58228"	"0"	"58228"	"0"
"197"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"203"	"B.F."	"4360"	"21819"	"1296"	"2177"	"23091"	"1198"	"1837"	"952"	"1498"	"58228"	"0"	"58228"	"0"
"204"	"127"	"97"	"65"	"5"	"4"	"228"	"19"	"10"	"8"	"8"	"444"	""	"444"	""
"205"	"128"	"33"	"145"	"11"	"8"	"254"	"9"	"26"	"7"	"13"	"506"	""	"506"	""
"206"	"129"	"45"	"103"	"10"	"14"	"470"	"22"	"21"	"8"	"7"	"700"	""	"700"	""
"207"	"130"	"68"	"103"	"11"	"6"	"196"	"14"	"19"	"7"	"11"	"435"	""	"435"	""
"208"	"131"	"63"	"21"	"1"	"2"	"97"	"7"	"8"	"6"	"4"	"209"	""	"209"	""
"209"	"132"	"22"	"95"	"7"	"1"	"200"	"6"	"8"	"3"	"4"	"346"	""	"346"	""
"210"	"133"	"36"	"343"	"26"	"8"	"136"	"8"	"16"	"13"	"12"	"598"	""	"598"	""
"211"	"134"	"23"	"300"	"14"	"6"	"55"	"7"	"8"	"14"	"14"	"441"	""	"441"	""
"212"	"135"	"20"	"87"	"2"	"3"	"221"	"5"	"10"	"6"	"20"	"374"	""	"374"	""
"213"	"136"	"11"	"403"	"10"	"5"	"77"	"5"	"9"	"3"	"6"	"529"	""	"529"	""
"214"	"137"	"25"	"123"	"10"	"11"	"230"	"16"	"29"	"14"	"22"	"480"	""	"480"	""
"215"	"138"	"12"	"98"	"9"	"2"	"293"	"6"	"19"	"5"	"10"	"454"	""	"454"	""
"216"	"139"	"15"	"88"	"6"	"7"	"314"	"12"	"22"	"6"	"17"	"487"	""	"487"	""
"217"	"140"	"56"	"164"	"8"	"117"	"245"	"13"	"17"	"6"	"20"	"646"	""	"646"	""
"218"	"Page Total"	"4886"	"23957"	"1426"	"2371"	"26107"	"1347"	"2059"	"1058"	"1666"	"64877"	"0"	"64877"	"0"
"219"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"224"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"225"	"B.F."	"4886"	"23957"	"1426"	"2371"	"26107"	"1347"	"2059"	"1058"	"1666"	"64877"	"0"	"64877"	"0"
"226"	"141"	"31"	"219"	"17"	"7"	"389"	"11"	"23"	"8"	"16"	"721"	""	"721"	""
