"Sl.No.of.Polling"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.vots"	"No.of.Rejected.vots"	"Total"	"No.of"
"72"	"57"	"7"	"9"	"257"	"82"	"42"	"3"	"0"	"2"	"1"	"3"	"20"	"426"	"0"	"426"	"0"
"73"	"58"	"10"	"10"	"196"	"109"	"43"	"7"	"5"	"6"	"2"	"6"	"46"	"440"	"0"	"440"	"0"
"74"	"59"	"13"	"14"	"147"	"251"	"36"	"9"	"18"	"11"	"8"	"19"	"8"	"534"	"0"	"534"	"0"
"75"	"60"	"17"	"76"	"221"	"261"	"26"	"7"	"10"	"10"	"6"	"35"	"21"	"690"	"0"	"690"	"0"
"76"	"61"	"6"	"68"	"303"	"191"	"23"	"8"	"10"	"9"	"19"	"23"	"23"	"683"	"0"	"683"	"0"
"77"	"62"	"17"	"25"	"255"	"106"	"29"	"4"	"21"	"9"	"16"	"17"	"39"	"538"	"0"	"538"	"0"
"78"	"63"	"4"	"20"	"326"	"161"	"35"	"3"	"8"	"4"	"4"	"12"	"20"	"597"	"0"	"597"	"0"
"79"	"64"	"24"	"181"	"270"	"91"	"26"	"6"	"24"	"8"	"8"	"22"	"14"	"674"	"0"	"674"	"0"
"80"	"65"	"4"	"11"	"139"	"173"	"19"	"4"	"27"	"10"	"1"	"10"	"2"	"400"	"0"	"400"	"0"
"81"	"66"	"7"	"38"	"70"	"243"	"18"	"4"	"4"	"3"	"2"	"30"	"10"	"429"	"0"	"429"	"0"
"82"	"67"	"17"	"180"	"46"	"112"	"4"	"4"	"18"	"5"	"13"	"20"	"27"	"446"	"0"	"446"	"0"
"83"	"68"	"10"	"160"	"113"	"260"	"19"	"5"	"29"	"3"	"3"	"15"	"31"	"648"	"0"	"648"	"0"
"84"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"85"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"87"	"69"	"16"	"104"	"210"	"258"	"19"	"7"	"32"	"11"	"12"	"31"	"29"	"729"	"0"	"729"	"0"
"88"	"70"	"18"	"59"	"225"	"167"	"12"	"6"	"14"	"9"	"20"	"32"	"23"	"585"	"0"	"585"	"0"
"89"	"Total"	"170"	"955"	"2778"	"2465"	"351"	"77"	"220"	"100"	"115"	"275"	"313"	"7819"	"0"	"7819"	"0"
"90"	"71"	"14"	"21"	"177"	"204"	"12"	"6"	"8"	"8"	"3"	"18"	"4"	"475"	"0"	"475"	"0"
"91"	"72"	"11"	"117"	"137"	"23"	"7"	"2"	"5"	"3"	"3"	"11"	"16"	"335"	"0"	"335"	"0"
"92"	"73"	"6"	"15"	"487"	"219"	"30"	"4"	"10"	"6"	"6"	"19"	"12"	"814"	"0"	"814"	"0"
"93"	"74"	"9"	"5"	"317"	"66"	"5"	"1"	"7"	"6"	"11"	"21"	"10"	"458"	"0"	"458"	"0"
"94"	"75"	"15"	"17"	"383"	"143"	"10"	"7"	"29"	"9"	"8"	"23"	"15"	"659"	"0"	"659"	"0"
"95"	"76"	"3"	"94"	"283"	"12"	"7"	"7"	"0"	"3"	"15"	"3"	"#REF!"	"442"	"0"	"442"	"0"
"96"	"77"	"6"	"4"	"95"	"116"	"6"	"2"	"7"	"12"	"2"	"14"	"11"	"275"	"0"	"275"	"0"
"97"	"78"	"8"	"10"	"87"	"122"	"5"	"3"	"2"	"5"	"9"	"250"	"15"	"516"	"0"	"516"	"0"
"98"	"79"	"12"	"28"	"151"	"60"	"7"	"4"	"12"	"8"	"15"	"326"	"16"	"639"	"0"	"639"	"0"
"99"	"80"	"11"	"19"	"178"	"173"	"12"	"14"	"24"	"7"	"1"	"32"	"12"	"483"	"0"	"483"	"0"
"100"	"81"	"18"	"61"	"223"	"244"	"17"	"6"	"12"	"8"	"12"	"21"	"20"	"642"	"0"	"642"	"0"
"101"	"82"	"19"	"159"	"77"	"211"	"13"	"8"	"25"	"5"	"13"	"28"	"15"	"573"	"0"	"573"	"0"
"102"	"83"	"7"	"71"	"121"	"297"	"9"	"14"	"23"	"9"	"13"	"54"	"19"	"637"	"0"	"637"	"0"
"103"	"84"	"5"	"4"	"260"	"256"	"18"	"5"	"8"	"13"	"6"	"29"	"10"	"614"	"0"	"614"	"0"
"104"	"Total"	"156"	"534"	"2787"	"2417"	"163"	"83"	"179"	"99"	"105"	"861"	"178"	"7562"	"0"	"7562"	"0"
"105"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"106"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"108"	"85"	"5"	"55"	"258"	"349"	"11"	"4"	"7"	"14"	"9"	"24"	"21"	"757"	"0"	"757"	"0"
"109"	"86"	"6"	"135"	"323"	"127"	"32"	"5"	"12"	"13"	"10"	"28"	"34"	"725"	"0"	"725"	"0"
"110"	"87"	"4"	"13"	"159"	"136"	"21"	"4"	"2"	"3"	"6"	"25"	"4"	"377"	"0"	"377"	"0"
"111"	"88"	"16"	"14"	"140"	"365"	"30"	"9"	"9"	"40"	"13"	"37"	"35"	"708"	"0"	"708"	"0"
"112"	"89"	"11"	"4"	"247"	"239"	"12"	"10"	"5"	"37"	"17"	"24"	"10"	"616"	"0"	"616"	"0"
"113"	"90"	"24"	"79"	"50"	"362"	"10"	"3"	"20"	"16"	"18"	"32"	"27"	"641"	"0"	"641"	"0"
"114"	"91"	"141"	"78"	"234"	"76"	"5"	"6"	"39"	"10"	"5"	"7"	"15"	"616"	"0"	"616"	"0"
"115"	"92"	"104"	"122"	"239"	"109"	"18"	"7"	"20"	"9"	"11"	"12"	"28"	"679"	"0"	"679"	"0"
"116"	"93"	"28"	"47"	"331"	"158"	"31"	"9"	"60"	"33"	"19"	"34"	"39"	"789"	"0"	"789"	"0"
"117"	"94"	"25"	"28"	"128"	"242"	"21"	"5"	"4"	"13"	"5"	"23"	"20"	"514"	"0"	"514"	"0"
"118"	"95"	"13"	"50"	"270"	"259"	"13"	"6"	"9"	"14"	"15"	"24"	"20"	"693"	"0"	"693"	"0"
"119"	"96"	"14"	"24"	"193"	"290"	"5"	"3"	"6"	"12"	"9"	"25"	"12"	"593"	"0"	"593"	"0"
"120"	"97"	"14"	"53"	"246"	"175"	"39"	"5"	"0"	"7"	"13"	"25"	"7"	"584"	"0"	"584"	"0"
"121"	"98"	"12"	"55"	"445"	"119"	"32"	"4"	"12"	"10"	"43"	"14"	"20"	"766"	"0"	"766"	"0"
"122"	"Total"	"417"	"757"	"3263"	"3006"	"280"	"80"	"205"	"231"	"193"	"334"	"292"	"9058"	"0"	"9058"	"0"
"123"	"99"	"5"	"52"	"304"	"210"	"8"	"1"	"28"	"8"	"7"	"12"	"15"	"650"	"0"	"650"	"0"
"124"	"100"	"9"	"57"	"144"	"244"	"23"	"7"	"21"	"15"	"14"	"31"	"25"	"590"	"0"	"590"	"0"
"125"	"101"	"19"	"11"	"415"	"70"	"9"	"7"	"6"	"3"	"13"	"44"	"7"	"604"	"0"	"604"	"0"
"126"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"127"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"129"	"102"	"10"	"276"	"24"	"91"	"8"	"6"	"14"	"3"	"7"	"28"	"28"	"495"	"0"	"495"	"0"
"130"	"103"	"18"	"241"	"13"	"112"	"4"	"5"	"11"	"6"	"3"	"14"	"14"	"441"	"0"	"441"	"0"
"131"	"104"	"23"	"167"	"279"	"185"	"9"	"8"	"16"	"6"	"7"	"20"	"37"	"757"	"0"	"757"	"0"
"132"	"105"	"12"	"286"	"83"	"102"	"4"	"5"	"9"	"3"	"5"	"20"	"13"	"542"	"0"	"542"	"0"
"133"	"106"	"9"	"21"	"69"	"484"	"12"	"4"	"13"	"9"	"6"	"28"	"4"	"659"	"0"	"659"	"0"
"134"	"107"	"5"	"32"	"102"	"197"	"1"	"2"	"7"	"7"	"7"	"9"	"6"	"375"	"0"	"375"	"0"
"135"	"108"	"16"	"200"	"126"	"92"	"5"	"7"	"13"	"5"	"10"	"16"	"43"	"533"	"0"	"533"	"0"
"136"	"109"	"14"	"20"	"285"	"145"	"15"	"1"	"1"	"6"	"5"	"11"	"11"	"514"	"0"	"514"	"0"
"137"	"110"	"21"	"23"	"345"	"225"	"11"	"4"	"16"	"24"	"24"	"29"	"21"	"743"	"0"	"743"	"0"
"138"	"111"	"11"	"16"	"406"	"205"	"12"	"5"	"9"	"9"	"11"	"6"	"16"	"706"	"0"	"706"	"0"
"139"	"112"	"26"	"33"	"384"	"163"	"10"	"7"	"6"	"16"	"14"	"14"	"28"	"701"	"0"	"701"	"0"
"140"	"Total"	"198"	"1435"	"2979"	"2525"	"131"	"69"	"170"	"120"	"133"	"282"	"268"	"8310"	"0"	"8310"	"0"
"141"	"113"	"22"	"34"	"313"	"154"	"9"	"11"	"9"	"13"	"16"	"35"	"12"	"628"	"0"	"628"	"0"
"142"	"114"	"15"	"44"	"245"	"178"	"11"	"22"	"10"	"8"	"5"	"22"	"15"	"575"	"0"	"575"	"0"
"143"	"115"	"6"	"75"	"175"	"106"	"8"	"8"	"8"	"7"	"8"	"18"	"28"	"447"	"0"	"447"	"0"
"144"	"116"	"12"	"22"	"285"	"236"	"8"	"7"	"3"	"4"	"17"	"26"	"20"	"640"	"0"	"640"	"0"
"145"	"117"	"12"	"43"	"389"	"87"	"29"	"9"	"14"	"15"	"14"	"15"	"30"	"657"	"0"	"657"	"0"
"146"	"118"	"11"	"31"	"343"	"69"	"13"	"9"	"8"	"6"	"11"	"14"	"27"	"542"	"0"	"542"	"0"
"147"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"148"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"150"	"119"	"6"	"22"	"34"	"299"	"3"	"2"	"8"	"9"	"14"	"24"	"14"	"435"	"0"	"435"	"0"
"151"	"120"	"2"	"50"	"74"	"320"	"13"	"5"	"8"	"10"	"5"	"20"	"16"	"523"	"0"	"523"	"0"
"152"	"121"	"1"	"34"	"129"	"227"	"14"	"3"	"8"	"9"	"11"	"34"	"12"	"482"	"0"	"482"	"0"
"153"	"122"	"7"	"18"	"52"	"194"	"8"	"3"	"1"	"7"	"4"	"21"	"6"	"321"	"0"	"321"	"0"
"154"	"123"	"8"	"102"	"73"	"200"	"11"	"7"	"15"	"6"	"85"	"37"	"36"	"580"	"0"	"580"	"0"
"155"	"124"	"3"	"98"	"123"	"254"	"16"	"3"	"7"	"15"	"102"	"27"	"18"	"666"	"0"	"666"	"0"
"156"	"125"	"8"	"104"	"169"	"152"	"7"	"0"	"16"	"14"	"9"	"40"	"16"	"535"	"0"	"535"	"0"
"157"	"126"	"11"	"110"	"229"	"169"	"9"	"9"	"12"	"15"	"17"	"22"	"24"	"627"	"0"	"627"	"0"
"158"	"Total"	"124"	"787"	"2633"	"2645"	"159"	"98"	"127"	"138"	"318"	"355"	"274"	"7658"	"0"	"7658"	"0"
"159"	"127"	"15"	"105"	"61"	"295"	"24"	"5"	"12"	"5"	"15"	"27"	"17"	"581"	"0"	"581"	"0"
"160"	"128"	"0"	"31"	"47"	"189"	"8"	"3"	"0"	"5"	"0"	"12"	"5"	"300"	"0"	"300"	"0"
"161"	"129"	"10"	"41"	"8"	"179"	"8"	"4"	"2"	"11"	"5"	"13"	"1"	"282"	"0"	"282"	"0"
"162"	"130"	"17"	"10"	"64"	"447"	"16"	"12"	"6"	"30"	"14"	"42"	"22"	"680"	"0"	"680"	"0"
"163"	"131"	"9"	"7"	"53"	"516"	"19"	"9"	"4"	"26"	"7"	"29"	"28"	"707"	"0"	"707"	"0"
"164"	"132"	"8"	"19"	"89"	"514"	"1"	"10"	"4"	"28"	"25"	"35"	"23"	"756"	"0"	"756"	"0"
"165"	"133"	"12"	"14"	"191"	"34"	"2"	"2"	"1"	"7"	"13"	"5"	"8"	"289"	"0"	"289"	"0"
"166"	"134"	"11"	"232"	"63"	"237"	"4"	"5"	"5"	"7"	"36"	"26"	"31"	"657"	"0"	"657"	"0"
"167"	"135"	"13"	"10"	"205"	"302"	"16"	"14"	"9"	"16"	"24"	"46"	"51"	"706"	"0"	"706"	"0"
"168"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"169"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"171"	"136"	"4"	"164"	"42"	"213"	"4"	"2"	"4"	"8"	"9"	"20"	"7"	"477"	"0"	"477"	"0"
"172"	"137"	"27"	"149"	"84"	"300"	"6"	"8"	"16"	"9"	"14"	"30"	"17"	"660"	"0"	"660"	"0"
"173"	"138"	"5"	"119"	"142"	"205"	"16"	"9"	"16"	"12"	"13"	"25"	"17"	"579"	"0"	"579"	"0"
"174"	"139"	"7"	"252"	"104"	"178"	"8"	"3"	"19"	"16"	"26"	"24"	"29"	"666"	"0"	"666"	"0"
"175"	"140"	"21"	"266"	"157"	"125"	"5"	"4"	"25"	"6"	"19"	"19"	"31"	"678"	"0"	"678"	"0"
"176"	"Total"	"159"	"1419"	"1310"	"3734"	"137"	"90"	"123"	"186"	"220"	"353"	"287"	"8018"	"0"	"8018"	"0"
"177"	"141"	"38"	"161"	"304"	"114"	"13"	"10"	"23"	"11"	"16"	"19"	"18"	"727"	"0"	"727"	"0"
"178"	"142"	"9"	"165"	"92"	"247"	"5"	"3"	"7"	"9"	"51"	"15"	"13"	"616"	"0"	"616"	"0"
"179"	"143"	"6"	"65"	"207"	"109"	"5"	"3"	"15"	"8"	"14"	"18"	"15"	"465"	"0"	"465"	"0"
"180"	"144"	"10"	"251"	"124"	"75"	"2"	"3"	"21"	"6"	"18"	"9"	"20"	"539"	"0"	"539"	"0"
"181"	"145"	"41"	"24"	"294"	"91"	"16"	"11"	"13"	"20"	"9"	"48"	"46"	"613"	"0"	"613"	"0"
"182"	"146"	"29"	"94"	"246"	"257"	"18"	"10"	"7"	"13"	"8"	"25"	"15"	"722"	"0"	"722"	"0"
"183"	"147"	"5"	"60"	"109"	"230"	"11"	"2"	"3"	"15"	"23"	"14"	"19"	"491"	"0"	"491"	"0"
"184"	"148"	"5"	"48"	"103"	"308"	"4"	"3"	"5"	"14"	"37"	"16"	"22"	"565"	"0"	"565"	"0"
"185"	"149"	"6"	"35"	"353"	"196"	"9"	"4"	"4"	"10"	"6"	"10"	"15"	"648"	"0"	"648"	"0"
"186"	"150"	"21"	"43"	"352"	"151"	"7"	"10"	"27"	"14"	"15"	"30"	"22"	"692"	"0"	"692"	"0"
"187"	"151"	"8"	"69"	"91"	"253"	"5"	"4"	"2"	"5"	"1"	"17"	"5"	"460"	"0"	"460"	"0"
