"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"26"	"223"	"10"	"303"	"33"	"5"	"56"	"6"	"5"	"5"	"7"	"11"	"664"	""	"664"	""
"36"	"27"	"178"	"6"	"189"	"11"	"5"	"147"	"9"	"13"	"14"	"7"	"7"	"586"	""	"586"	""
"37"	"28"	"402"	"3"	"133"	"12"	"4"	"121"	"8"	"4"	"7"	"4"	"7"	"705"	""	"705"	""
"38"	"Page Total"	"3817"	"237"	"4428"	"306"	"104"	"3715"	"291"	"179"	"343"	"375"	"350"	"14145"	"0"	"14145"	"0"
"39"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"42"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"43"	"B.F."	"3817"	"237"	"4428"	"306"	"104"	"3715"	"291"	"179"	"343"	"375"	"350"	"14145"	"0"	"14145"	"0"
"44"	"29"	"151"	"4"	"110"	"5"	"4"	"55"	"7"	"8"	"17"	"6"	"5"	"372"	""	"372"	""
"45"	"30"	"42"	"3"	"109"	"7"	"10"	"125"	"10"	"0"	"55"	"4"	"2"	"367"	""	"367"	""
"46"	"31"	"257"	"7"	"60"	"8"	"1"	"30"	"4"	"5"	"4"	"6"	"5"	"387"	""	"387"	""
"47"	"32"	"72"	"7"	"288"	"15"	"5"	"101"	"17"	"12"	"18"	"15"	"31"	"581"	""	"581"	""
"48"	"33"	"6"	"5"	"325"	"4"	"1"	"46"	"5"	"0"	"6"	"4"	"1"	"403"	""	"403"	""
"49"	"34"	"131"	"10"	"123"	"24"	"10"	"168"	"18"	"7"	"14"	"4"	"5"	"514"	""	"514"	""
"50"	"35"	"146"	"30"	"216"	"44"	"8"	"116"	"6"	"8"	"44"	"10"	"17"	"645"	""	"645"	""
"51"	"36"	"167"	"23"	"197"	"24"	"4"	"237"	"18"	"5"	"10"	"12"	"10"	"707"	""	"707"	""
"52"	"37"	"56"	"4"	"17"	"10"	"2"	"306"	"35"	"14"	"39"	"11"	"35"	"529"	""	"529"	""
"53"	"38"	"14"	"3"	"225"	"4"	"4"	"86"	"11"	"5"	"8"	"10"	"12"	"382"	""	"382"	""
"54"	"39"	"30"	"6"	"268"	"13"	"6"	"117"	"8"	"3"	"13"	"4"	"7"	"475"	""	"475"	""
"55"	"40"	"57"	"10"	"131"	"18"	"4"	"145"	"14"	"2"	"2"	"6"	"7"	"396"	""	"396"	""
"56"	"41"	"85"	"7"	"160"	"5"	"3"	"237"	"17"	"4"	"13"	"9"	"5"	"545"	""	"545"	""
"57"	"42"	"72"	"7"	"290"	"13"	"9"	"202"	"22"	"7"	"25"	"23"	"23"	"693"	""	"693"	""
"58"	"Page Total"	"5103"	"363"	"6947"	"500"	"175"	"5686"	"483"	"259"	"611"	"499"	"515"	"21141"	"0"	"21141"	"0"
"59"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"62"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"63"	"B.F."	"5103"	"363"	"6947"	"500"	"175"	"5686"	"483"	"259"	"611"	"499"	"515"	"21141"	"0"	"21141"	"0"
"64"	"43"	"73"	"8"	"265"	"14"	"6"	"167"	"8"	"1"	"3"	"1"	"15"	"561"	""	"561"	""
"65"	"44"	"97"	"12"	"262"	"7"	"6"	"211"	"31"	"7"	"13"	"15"	"10"	"671"	""	"671"	""
"66"	"45"	"21"	"10"	"185"	"7"	"6"	"143"	"8"	"8"	"17"	"10"	"28"	"443"	""	"443"	""
"67"	"46"	"39"	"7"	"153"	"7"	"13"	"122"	"24"	"6"	"24"	"25"	"20"	"440"	""	"440"	""
"68"	"47"	"57"	"10"	"236"	"16"	"5"	"93"	"8"	"7"	"3"	"6"	"11"	"452"	""	"452"	""
"69"	"48"	"19"	"8"	"279"	"7"	"8"	"146"	"25"	"7"	"16"	"9"	"6"	"530"	""	"530"	""
"70"	"49"	"5"	"6"	"898"	"3"	"0"	"8"	"0"	"1"	"0"	"0"	"1"	"922"	""	"922"	""
"71"	"50"	"0"	"0"	"660"	"13"	"0"	"17"	"1"	"0"	"1"	"0"	"0"	"692"	""	"692"	""
"72"	"51"	"1"	"2"	"569"	"27"	"1"	"4"	"1"	"0"	"0"	"3"	"1"	"609"	""	"609"	""
"73"	"52"	"10"	"1"	"673"	"3"	"2"	"9"	"1"	"0"	"1"	"1"	"0"	"701"	""	"701"	""
"74"	"53"	"58"	"13"	"511"	"22"	"4"	"51"	"3"	"4"	"4"	"7"	"4"	"681"	""	"681"	""
"75"	"54"	"149"	"10"	"239"	"16"	"4"	"107"	"11"	"14"	"21"	"16"	"19"	"606"	""	"606"	""
"76"	"55"	"127"	"9"	"215"	"18"	"7"	"114"	"11"	"8"	"18"	"7"	"3"	"537"	""	"537"	""
"77"	"56"	"149"	"23"	"150"	"15"	"5"	"107"	"15"	"2"	"11"	"5"	"13"	"495"	""	"495"	""
"78"	"Page Total"	"5908"	"482"	"12242"	"675"	"242"	"6985"	"630"	"324"	"743"	"604"	"646"	"29481"	"0"	"29481"	"0"
"79"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"82"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"83"	"B.F."	"5908"	"482"	"12242"	"675"	"242"	"6985"	"630"	"324"	"743"	"604"	"646"	"29481"	"0"	"29481"	"0"
"84"	"57"	"240"	"29"	"187"	"58"	"4"	"67"	"9"	"11"	"16"	"12"	"13"	"646"	""	"646"	""
"85"	"58"	"418"	"9"	"122"	"3"	"4"	"27"	"4"	"10"	"4"	"3"	"8"	"612"	""	"612"	""
"86"	"59"	"30"	"15"	"253"	"11"	"9"	"245"	"33"	"7"	"25"	"6"	"29"	"663"	""	"663"	""
"87"	"60"	"28"	"3"	"71"	"3"	"15"	"284"	"19"	"4"	"10"	"4"	"9"	"450"	""	"450"	""
"88"	"61"	"23"	"0"	"217"	"6"	"8"	"247"	"8"	"6"	"24"	"10"	"14"	"563"	""	"563"	""
"89"	"62"	"69"	"3"	"244"	"5"	"7"	"97"	"17"	"7"	"10"	"9"	"15"	"483"	""	"483"	""
"90"	"63"	"16"	"3"	"246"	"20"	"3"	"81"	"5"	"2"	"6"	"1"	"5"	"388"	""	"388"	""
"91"	"64"	"35"	"7"	"65"	"35"	"1"	"181"	"9"	"7"	"9"	"7"	"19"	"375"	""	"375"	""
"92"	"65"	"30"	"9"	"180"	"63"	"4"	"144"	"12"	"7"	"7"	"6"	"4"	"466"	""	"466"	""
"93"	"66"	"89"	"8"	"185"	"19"	"2"	"80"	"8"	"7"	"9"	"11"	"3"	"421"	""	"421"	""
"94"	"67"	"9"	"1"	"66"	"36"	"2"	"51"	"6"	"12"	"15"	"6"	"11"	"215"	""	"215"	""
"95"	"68"	"42"	"7"	"118"	"11"	"9"	"140"	"19"	"6"	"8"	"15"	"10"	"385"	""	"385"	""
"96"	"69"	"64"	"1"	"214"	"2"	"1"	"17"	"2"	"1"	"3"	"1"	"0"	"306"	""	"306"	""
"97"	"70"	"183"	"0"	"79"	"5"	"1"	"47"	"12"	"1"	"8"	"1"	"8"	"345"	""	"345"	""
"98"	"Page Total"	"7184"	"577"	"14489"	"952"	"312"	"8693"	"793"	"412"	"897"	"696"	"794"	"35799"	"0"	"35799"	"0"
"99"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"102"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"103"	"B.F."	"7184"	"577"	"14489"	"952"	"312"	"8693"	"793"	"412"	"897"	"696"	"794"	"35799"	"0"	"35799"	"0"
"104"	"71"	"93"	"10"	"120"	"29"	"7"	"189"	"10"	"5"	"17"	"12"	"19"	"511"	""	"511"	""
"105"	"72"	"59"	"5"	"113"	"11"	"4"	"151"	"10"	"3"	"28"	"8"	"17"	"409"	""	"409"	""
"106"	"73"	"6"	"10"	"219"	"8"	"5"	"73"	"8"	"7"	"5"	"7"	"14"	"362"	""	"362"	""
"107"	"74"	"17"	"9"	"376"	"8"	"1"	"103"	"14"	"16"	"9"	"14"	"5"	"572"	""	"572"	""
"108"	"75"	"51"	"6"	"293"	"10"	"1"	"40"	"9"	"4"	"12"	"6"	"13"	"445"	""	"445"	""
"109"	"76"	"58"	"5"	"222"	"10"	"4"	"12"	"4"	"9"	"5"	"6"	"6"	"341"	""	"341"	""
"110"	"77"	"10"	"6"	"221"	"8"	"5"	"93"	"13"	"83"	"10"	"9"	"42"	"500"	""	"500"	""
"111"	"78"	"47"	"12"	"146"	"7"	"5"	"160"	"22"	"15"	"23"	"18"	"14"	"469"	""	"469"	""
"112"	"79"	"27"	"12"	"144"	"11"	"1"	"77"	"16"	"99"	"20"	"14"	"23"	"444"	""	"444"	""
"113"	"80"	"12"	"4"	"162"	"2"	"2"	"50"	"21"	"304"	"11"	"12"	"14"	"594"	""	"594"	""
"114"	"81"	"1"	"1"	"253"	"2"	"3"	"77"	"3"	"14"	"3"	"3"	"2"	"362"	""	"362"	""
"115"	"82"	"50"	"22"	"187"	"8"	"5"	"142"	"17"	"17"	"21"	"8"	"10"	"487"	""	"487"	""
"116"	"83"	"4"	"0"	"354"	"1"	"1"	"11"	"2"	"6"	"1"	"0"	"0"	"380"	""	"380"	""
"117"	"84"	"85"	"9"	"71"	"18"	"6"	"106"	"19"	"12"	"17"	"11"	"26"	"380"	""	"380"	""
"118"	"Page Total"	"7704"	"688"	"17370"	"1085"	"362"	"9977"	"961"	"1006"	"1079"	"824"	"999"	"42055"	"0"	"42055"	"0"
"119"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"122"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"123"	"B.F."	"7704"	"688"	"17370"	"1085"	"362"	"9977"	"961"	"1006"	"1079"	"824"	"999"	"42055"	"0"	"42055"	"0"
"124"	"85"	"64"	"8"	"111"	"10"	"3"	"123"	"16"	"2"	"12"	"5"	"9"	"363"	""	"363"	""
"125"	"86"	"40"	"6"	"109"	"12"	"3"	"120"	"6"	"12"	"11"	"34"	"16"	"369"	""	"369"	""
"126"	"87"	"12"	"23"	"232"	"10"	"7"	"184"	"34"	"11"	"23"	"17"	"28"	"581"	""	"581"	""
"127"	"88"	"37"	"7"	"136"	"7"	"7"	"123"	"23"	"4"	"12"	"10"	"11"	"377"	""	"377"	""
"128"	"89"	"23"	"3"	"206"	"7"	"2"	"103"	"12"	"2"	"10"	"15"	"7"	"390"	""	"390"	""
"129"	"90"	"31"	"1"	"15"	"1"	"5"	"482"	"4"	"2"	"1"	"0"	"0"	"542"	""	"542"	""
"130"	"91"	"72"	"1"	"33"	"4"	"3"	"309"	"10"	"3"	"10"	"3"	"2"	"450"	""	"450"	""
"131"	"92"	"107"	"24"	"16"	"1"	"1"	"228"	"6"	"5"	"10"	"1"	"3"	"402"	""	"402"	""
"132"	"93"	"52"	"12"	"153"	"9"	"12"	"193"	"15"	"10"	"21"	"12"	"11"	"500"	""	"500"	""
"133"	"94"	"128"	"2"	"76"	"6"	"1"	"306"	"6"	"8"	"12"	"4"	"11"	"560"	""	"560"	""
"134"	"95"	"19"	"4"	"126"	"9"	"8"	"276"	"21"	"5"	"10"	"1"	"6"	"485"	""	"485"	""
"135"	"96"	"63"	"4"	"26"	"3"	"1"	"127"	"6"	"7"	"16"	"13"	"16"	"282"	""	"282"	""
"136"	"97"	"169"	"3"	"75"	"10"	"2"	"135"	"7"	"1"	"4"	"3"	"6"	"415"	""	"415"	""
"137"	"98"	"72"	"6"	"131"	"9"	"7"	"152"	"18"	"5"	"24"	"21"	"41"	"486"	""	"486"	""
"138"	"Page Total"	"8593"	"792"	"18815"	"1183"	"424"	"12838"	"1145"	"1083"	"1255"	"963"	"1166"	"48257"	"0"	"48257"	"0"
"139"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"142"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"143"	"B.F."	"8593"	"792"	"18815"	"1183"	"424"	"12838"	"1145"	"1083"	"1255"	"963"	"1166"	"48257"	"0"	"48257"	"0"
"144"	"99"	"69"	"2"	"72"	"5"	"3"	"203"	"12"	"2"	"12"	"6"	"8"	"394"	""	"394"	""
"145"	"100"	"69"	"1"	"240"	"7"	"0"	"74"	"8"	"6"	"5"	"2"	"9"	"421"	""	"421"	""
"146"	"101"	"18"	"6"	"167"	"17"	"5"	"169"	"23"	"9"	"40"	"21"	"43"	"518"	""	"518"	""
"147"	"102"	"330"	"2"	"12"	"0"	"0"	"57"	"4"	"0"	"2"	"0"	"0"	"407"	""	"407"	""
"148"	"103"	"226"	"2"	"46"	"19"	"3"	"62"	"4"	"1"	"4"	"4"	"11"	"382"	""	"382"	""
"149"	"104"	"106"	"10"	"213"	"26"	"9"	"102"	"17"	"11"	"11"	"15"	"27"	"547"	""	"547"	""
"150"	"105"	"206"	"16"	"151"	"40"	"3"	"145"	"18"	"8"	"23"	"5"	"15"	"630"	""	"630"	""
"151"	"106"	"221"	"9"	"47"	"12"	"2"	"31"	"4"	"4"	"6"	"0"	"4"	"340"	""	"340"	""
"152"	"107"	"244"	"9"	"149"	"21"	"2"	"28"	"6"	"7"	"7"	"4"	"22"	"499"	""	"499"	""
"153"	"108"	"91"	"5"	"89"	"41"	"4"	"52"	"5"	"2"	"6"	"3"	"5"	"303"	""	"303"	""
"154"	"109"	"26"	"10"	"417"	"12"	"2"	"25"	"7"	"4"	"5"	"1"	"7"	"516"	""	"516"	""
"155"	"110"	"144"	"25"	"295"	"22"	"17"	"99"	"14"	"16"	"17"	"15"	"10"	"674"	""	"674"	""
"156"	"111"	"105"	"32"	"239"	"15"	"5"	"139"	"22"	"13"	"24"	"18"	"42"	"654"	""	"654"	""
"157"	"112"	"116"	"3"	"24"	"2"	"6"	"225"	"9"	"6"	"28"	"10"	"18"	"447"	""	"447"	""
"158"	"Page Total"	"10564"	"924"	"20976"	"1422"	"485"	"14249"	"1298"	"1172"	"1445"	"1067"	"1387"	"54989"	"0"	"54989"	"0"
"159"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"163"	"B.F."	"10564"	"924"	"20976"	"1422"	"485"	"14249"	"1298"	"1172"	"1445"	"1067"	"1387"	"54989"	"0"	"54989"	"0"
"164"	"113"	"35"	"6"	"142"	"3"	"3"	"81"	"6"	"5"	"8"	"6"	"9"	"304"	""	"304"	""
"165"	"114"	"51"	"8"	"192"	"16"	"1"	"107"	"7"	"8"	"16"	"5"	"6"	"417"	""	"417"	""
"166"	"115"	"26"	"21"	"150"	"5"	"4"	"183"	"6"	"4"	"19"	"12"	"3"	"433"	""	"433"	""
"167"	"116"	"29"	"11"	"311"	"16"	"4"	"61"	"3"	"2"	"19"	"2"	"4"	"462"	""	"462"	""
"168"	"117"	"25"	"6"	"103"	"7"	"2"	"202"	"7"	"2"	"4"	"0"	"2"	"360"	""	"360"	""
"169"	"118"	"25"	"7"	"357"	"8"	"5"	"147"	"16"	"6"	"18"	"8"	"14"	"611"	""	"611"	""
"170"	"119"	"55"	"7"	"252"	"5"	"8"	"156"	"9"	"7"	"11"	"6"	"11"	"527"	""	"527"	""
"171"	"120"	"48"	"4"	"102"	"5"	"4"	"240"	"20"	"3"	"16"	"7"	"8"	"457"	""	"457"	""
"172"	"121"	"7"	"3"	"353"	"6"	"1"	"35"	"1"	"2"	"4"	"1"	"7"	"420"	""	"420"	""
"173"	"122"	"38"	"11"	"299"	"8"	"6"	"67"	"6"	"8"	"12"	"12"	"27"	"494"	""	"494"	""
"174"	"123"	"21"	"3"	"180"	"12"	"9"	"59"	"7"	"5"	"8"	"2"	"26"	"332"	""	"332"	""
"175"	"124"	"250"	"8"	"53"	"7"	"4"	"156"	"13"	"9"	"26"	"13"	"13"	"552"	""	"552"	""
"176"	"125"	"43"	"4"	"187"	"6"	"3"	"32"	"3"	"3"	"17"	"4"	"5"	"307"	""	"307"	""
"177"	"126"	"14"	"4"	"317"	"6"	"3"	"52"	"5"	"2"	"8"	"7"	"12"	"430"	""	"430"	""
"178"	"Page Total"	"11231"	"1027"	"23974"	"1532"	"542"	"15827"	"1407"	"1238"	"1631"	"1152"	"1534"	"61095"	"0"	"61095"	"0"
"179"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"182"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"183"	"B.F."	"11231"	"1027"	"23974"	"1532"	"542"	"15827"	"1407"	"1238"	"1631"	"1152"	"1534"	"61095"	"0"	"61095"	"0"
"184"	"127"	"35"	"13"	"180"	"10"	"9"	"69"	"15"	"10"	"84"	"4"	"40"	"469"	""	"469"	""
"185"	"128"	"27"	"11"	"263"	"5"	"2"	"22"	"5"	"4"	"34"	"11"	"19"	"403"	""	"403"	""
"186"	"129"	"73"	"1"	"31"	"2"	"7"	"82"	"7"	"3"	"9"	"4"	"1"	"220"	""	"220"	""
"187"	"130"	"53"	"5"	"56"	"3"	"39"	"80"	"7"	"0"	"5"	"3"	"4"	"255"	""	"255"	""
"188"	"131"	"137"	"47"	"187"	"18"	"7"	"64"	"11"	"3"	"10"	"14"	"132"	"630"	""	"630"	""
"189"	"132"	"369"	"1"	"36"	"2"	"0"	"24"	"6"	"1"	"3"	"1"	"2"	"445"	""	"445"	""
"190"	"133"	"198"	"11"	"116"	"6"	"2"	"21"	"1"	"2"	"2"	"5"	"7"	"371"	""	"371"	""
"191"	"134"	"78"	"20"	"95"	"4"	"3"	"117"	"8"	"8"	"9"	"7"	"14"	"363"	""	"363"	""
"192"	"135"	"70"	"10"	"154"	"11"	"1"	"80"	"3"	"2"	"6"	"1"	"3"	"341"	""	"341"	""
"193"	"136"	"48"	"104"	"133"	"12"	"9"	"88"	"19"	"6"	"7"	"9"	"3"	"438"	""	"438"	""
"194"	"137"	"385"	"3"	"24"	"2"	"6"	"101"	"11"	"5"	"4"	"3"	"9"	"553"	""	"553"	""
