"TOTAL.NO.OF.ELECTORS.IN.59.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X292547"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"11"	"9"	"85"	"7"	"92"	"2"	"1"	"3"	"8"	"62"	"6"	"2"	"4"	"1"	"2"	"3"	"4"	"39"	"4"	"4"	"2"	"1"	"2"	"6"	"389"	"5"	"9"	"743"	""	""
"12"	"10"	"110"	"2"	"67"	"2"	"15"	"0"	"0"	"15"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"4"	"7"	"0"	"1"	"3"	"1"	"7"	"348"	"6"	"15"	"609"	""	""
"13"	"11"	"204"	"2"	"64"	"3"	"1"	"3"	"1"	"26"	"5"	"0"	"1"	"0"	"4"	"1"	"1"	"16"	"5"	"1"	"2"	"1"	"1"	"4"	"263"	"4"	"4"	"617"	""	""
"14"	"12"	"110"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"55"	"1"	"2"	"175"	""	""
"15"	"13"	"260"	"2"	"99"	"1"	"3"	"0"	"2"	"8"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"9"	"6"	"0"	"2"	"0"	"0"	"2"	"268"	"7"	"6"	"684"	""	""
"16"	"14"	"187"	"2"	"77"	"1"	"2"	"1"	"2"	"6"	"4"	"1"	"3"	"3"	"3"	"3"	"4"	"16"	"4"	"0"	"0"	"1"	"2"	"3"	"255"	"4"	"7"	"591"	""	""
"17"	"15"	"213"	"7"	"16"	"3"	"0"	"3"	"5"	"33"	"2"	"1"	"2"	"2"	"3"	"6"	"5"	"34"	"10"	"2"	"1"	"2"	"1"	"3"	"280"	"7"	"12"	"653"	""	""
"18"	"16"	"79"	"0"	"273"	"1"	"3"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"106"	"1"	"0"	"476"	""	""
"19"	"17"	"142"	"2"	"41"	"0"	"1"	"2"	"2"	"32"	"3"	"1"	"2"	"1"	"2"	"0"	"5"	"25"	"7"	"0"	"1"	"2"	"0"	"6"	"188"	"9"	"6"	"480"	""	""
"20"	"18"	"281"	"1"	"166"	"2"	"0"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"2"	"2"	"2"	"1"	"0"	"1"	"165"	"2"	"1"	"642"	""	""
"21"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"22"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"23"	"19"	"141"	"2"	"4"	"0"	"1"	"0"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"18"	"5"	"0"	"2"	"1"	"6"	"250"	"3"	"6"	"454"	""	""
"24"	"20"	"18"	"0"	"97"	"1"	"0"	"1"	"0"	"9"	"1"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"80"	"0"	"1"	"222"	""	""
"25"	"21"	"153"	"7"	"188"	"2"	"1"	"0"	"0"	"12"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"7"	"1"	"0"	"1"	"0"	"0"	"3"	"136"	"3"	"2"	"519"	""	""
"26"	"22"	"134"	"5"	"217"	"1"	"2"	"1"	"4"	"6"	"4"	"1"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"3"	"0"	"0"	"0"	"1"	"67"	"4"	"0"	"458"	""	""
"27"	"23"	"56"	"1"	"241"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"42"	"0"	"1"	"352"	""	""
"28"	"24"	"97"	"1"	"233"	"0"	"1"	"1"	"6"	"44"	"3"	"1"	"0"	"1"	"1"	"2"	"4"	"16"	"0"	"0"	"4"	"0"	"1"	"3"	"181"	"1"	"3"	"604"	""	""
"29"	"25"	"129"	"7"	"212"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"5"	"1"	"1"	"0"	"0"	"0"	"1"	"105"	"0"	"1"	"470"	""	""
"30"	"25A"	"121"	"1"	"223"	"0"	"0"	"2"	"0"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"98"	"0"	"0"	"460"	""	""
"31"	"26"	"106"	"7"	"89"	"1"	"1"	"2"	"0"	"37"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"18"	"1"	"0"	"1"	"0"	"0"	"0"	"88"	"1"	"2"	"360"	""	""
"32"	"27"	"72"	"0"	"206"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"13"	"0"	"1"	"300"	""	""
"33"	"28"	"208"	"8"	"152"	"0"	"0"	"0"	"0"	"16"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"4"	"3"	"1"	"1"	"0"	"1"	"2"	"148"	"2"	"5"	"558"	""	""
"34"	"29"	"77"	"1"	"186"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"33"	"0"	"0"	"309"	""	""
"35"	"30"	"18"	"4"	"217"	"4"	"0"	"0"	"1"	"39"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"4"	"0"	"6"	"1"	"1"	"2"	"69"	"1"	"2"	"376"	""	""
"36"	"31"	"83"	"3"	"90"	"0"	"1"	"1"	"2"	"11"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"2"	"55"	"1"	"2"	"263"	""	""
"37"	"31A"	"95"	"6"	"50"	"3"	"1"	"0"	"1"	"8"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"2"	"2"	"0"	"0"	"95"	"0"	"2"	"274"	""	""
"38"	"32"	"81"	"4"	"294"	"2"	"1"	"0"	"4"	"19"	"4"	"0"	"0"	"1"	"5"	"2"	"2"	"21"	"2"	"0"	"0"	"1"	"1"	"4"	"247"	"2"	"1"	"698"	""	""
"39"	"33"	"260"	"2"	"125"	"4"	"1"	"0"	"1"	"48"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"81"	"0"	"5"	"551"	""	""
"40"	"34"	"195"	"10"	"136"	"5"	"1"	"2"	"3"	"14"	"0"	"1"	"1"	"1"	"0"	"2"	"6"	"20"	"7"	"1"	"2"	"2"	"2"	"3"	"110"	"5"	"11"	"540"	""	""
"41"	"35"	"262"	"1"	"121"	"0"	"1"	"0"	"1"	"76"	"2"	"1"	"0"	"2"	"1"	"2"	"2"	"5"	"4"	"0"	"3"	"1"	"0"	"0"	"109"	"0"	"4"	"598"	""	""
"42"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"43"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"44"	"36"	"61"	"5"	"183"	"0"	"0"	"2"	"1"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"4"	"154"	"0"	"3"	"432"	""	""
"45"	"37"	"104"	"1"	"205"	"3"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"8"	"7"	"4"	"3"	"1"	"1"	"5"	"165"	"2"	"5"	"528"	""	""
"46"	"38"	"205"	"4"	"51"	"1"	"0"	"1"	"3"	"9"	"4"	"0"	"4"	"2"	"2"	"0"	"3"	"17"	"4"	"1"	"0"	"0"	"1"	"1"	"149"	"0"	"0"	"462"	""	""
"47"	"38A"	"77"	"0"	"80"	"1"	"0"	"0"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"9"	"3"	"0"	"0"	"4"	"1"	"2"	"204"	"3"	"3"	"405"	""	""
"48"	"39"	"108"	"0"	"40"	"1"	"0"	"1"	"1"	"11"	"0"	"1"	"0"	"0"	"3"	"6"	"6"	"19"	"6"	"1"	"1"	"0"	"1"	"6"	"332"	"3"	"7"	"554"	""	""
"49"	"39A"	"52"	"4"	"56"	"0"	"1"	"0"	"3"	"10"	"3"	"0"	"1"	"2"	"2"	"1"	"2"	"15"	"2"	"1"	"0"	"0"	"1"	"2"	"168"	"1"	"3"	"330"	""	""
"50"	"40"	"63"	"5"	"66"	"4"	"3"	"2"	"4"	"80"	"10"	"5"	"3"	"4"	"9"	"7"	"13"	"59"	"4"	"0"	"1"	"1"	"2"	"8"	"481"	"15"	"16"	"865"	""	""
"51"	"41"	"21"	"2"	"60"	"0"	"0"	"0"	"2"	"29"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"11"	"4"	"0"	"0"	"0"	"1"	"3"	"330"	"7"	"7"	"482"	""	""
"52"	"42"	"15"	"2"	"102"	"0"	"0"	"1"	"1"	"17"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"7"	"5"	"2"	"2"	"1"	"0"	"2"	"357"	"4"	"7"	"528"	""	""
"53"	"43"	"138"	"2"	"30"	"1"	"0"	"0"	"34"	"24"	"5"	"3"	"1"	"1"	"3"	"2"	"7"	"28"	"17"	"3"	"6"	"3"	"2"	"1"	"26"	"14"	"22"	"373"	""	""
"54"	"44"	"77"	"3"	"61"	"2"	"1"	"4"	"110"	"24"	"2"	"3"	"0"	"1"	"0"	"1"	"4"	"9"	"3"	"1"	"3"	"0"	"1"	"1"	"90"	"4"	"6"	"411"	""	""
"55"	"45"	"48"	"1"	"71"	"1"	"0"	"0"	"5"	"22"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"13"	"5"	"2"	"2"	"0"	"0"	"0"	"230"	"3"	"2"	"411"	""	""
"56"	"46"	"36"	"1"	"148"	"2"	"2"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"113"	"0"	"0"	"318"	""	""
"57"	"47"	"35"	"0"	"103"	"0"	"0"	"1"	"2"	"4"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"2"	"191"	"8"	"9"	"374"	""	""
"58"	"48"	"32"	"2"	"234"	"1"	"2"	"0"	"0"	"5"	"1"	"1"	"2"	"0"	"1"	"0"	"4"	"9"	"1"	"1"	"0"	"0"	"2"	"2"	"181"	"2"	"1"	"484"	""	""
"59"	"49"	"66"	"2"	"187"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"7"	"2"	"0"	"0"	"1"	"0"	"1"	"206"	"2"	"2"	"483"	""	""
"60"	"50"	"100"	"3"	"131"	"1"	"1"	"2"	"1"	"37"	"3"	"1"	"1"	"0"	"1"	"1"	"2"	"14"	"17"	"6"	"2"	"2"	"3"	"6"	"311"	"7"	"11"	"664"	""	""
"61"	"51"	"56"	"6"	"85"	"6"	"1"	"2"	"10"	"33"	"3"	"1"	"1"	"1"	"5"	"5"	"5"	"35"	"3"	"1"	"3"	"3"	"0"	"5"	"372"	"5"	"8"	"655"	""	""
"62"	"52"	"23"	"0"	"154"	"0"	"10"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"3"	"1"	"2"	"1"	"4"	"4"	"335"	"5"	"6"	"563"	""	""
"63"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"64"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"65"	"53"	"63"	"3"	"62"	"1"	"89"	"2"	"1"	"3"	"2"	"1"	"0"	"3"	"0"	"3"	"1"	"12"	"3"	"0"	"2"	"0"	"6"	"4"	"147"	"3"	"4"	"415"	""	""
"66"	"53A"	"34"	"1"	"27"	"1"	"84"	"0"	"0"	"17"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"42"	"0"	"2"	"215"	""	""
"67"	"54"	"51"	"0"	"36"	"1"	"64"	"1"	"1"	"18"	"0"	"1"	"2"	"0"	"1"	"2"	"1"	"24"	"5"	"1"	"1"	"0"	"1"	"2"	"273"	"4"	"4"	"494"	""	""
"68"	"55"	"63"	"6"	"63"	"1"	"2"	"3"	"2"	"34"	"5"	"1"	"2"	"1"	"1"	"1"	"7"	"21"	"4"	"1"	"0"	"0"	"0"	"7"	"224"	"4"	"1"	"454"	""	""
"69"	"56"	"66"	"0"	"151"	"3"	"11"	"1"	"1"	"16"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"3"	"0"	"1"	"0"	"0"	"0"	"180"	"2"	"1"	"444"	""	""
"70"	"57"	"35"	"0"	"40"	"0"	"0"	"1"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"271"	"3"	"6"	"389"	""	""
"71"	"57A"	"26"	"2"	"23"	"0"	"2"	"2"	"1"	"48"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"0"	"2"	"0"	"2"	"0"	"138"	"6"	"4"	"264"	""	""
"72"	"58"	"60"	"6"	"86"	"0"	"0"	"0"	"0"	"21"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"1"	"0"	"1"	"1"	"174"	"1"	"3"	"361"	""	""
"73"	"58A"	"36"	"1"	"95"	"1"	"0"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"3"	"0"	"1"	"0"	"0"	"1"	"133"	"1"	"1"	"286"	""	""
"74"	"59"	"54"	"0"	"39"	"1"	"1"	"1"	"1"	"32"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"2"	"2"	"2"	"0"	"0"	"5"	"298"	"3"	"3"	"454"	""	""
"75"	"60"	"111"	"4"	"8"	"0"	"1"	"0"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"209"	"2"	"0"	"355"	""	""
"76"	"61"	"126"	"4"	"152"	"1"	"4"	"0"	"4"	"51"	"1"	"2"	"0"	"1"	"4"	"1"	"3"	"9"	"5"	"1"	"0"	"1"	"1"	"4"	"236"	"6"	"10"	"627"	""	""
"77"	"62"	"211"	"2"	"90"	"1"	"7"	"1"	"0"	"7"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"7"	"223"	"3"	"0"	"563"	""	""
"78"	"63"	"98"	"3"	"137"	"3"	"1"	"1"	"1"	"12"	"1"	"4"	"0"	"0"	"3"	"2"	"5"	"13"	"7"	"1"	"0"	"1"	"0"	"6"	"296"	"1"	"1"	"597"	""	""
"79"	"64"	"66"	"2"	"66"	"0"	"3"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"9"	"5"	"0"	"0"	"0"	"2"	"1"	"255"	"2"	"5"	"424"	""	""
"80"	"65"	"187"	"1"	"9"	"0"	"2"	"0"	"1"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"147"	"0"	"1"	"360"	""	""
"81"	"66"	"116"	"0"	"67"	"1"	"1"	"0"	"2"	"14"	"1"	"6"	"0"	"0"	"0"	"2"	"1"	"12"	"11"	"1"	"2"	"1"	"1"	"5"	"235"	"2"	"3"	"484"	""	""
"82"	"67"	"62"	"1"	"116"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"5"	"4"	"0"	"3"	"0"	"0"	"3"	"199"	"3"	"4"	"411"	""	""
"83"	"68"	"59"	"3"	"141"	"2"	"0"	"1"	"6"	"12"	"2"	"7"	"0"	"0"	"0"	"1"	"4"	"16"	"1"	"2"	"2"	"0"	"0"	"1"	"170"	"3"	"0"	"433"	""	""
"84"	"TOTAL NO OF ELECTORS IN 59-MUZAFFARPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"292547"	""	""	""	""	""	""
"85"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"86"	"69"	"43"	"0"	"167"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"9"	"3"	"3"	"0"	"2"	"9"	"285"	"5"	"6"	"545"	""	""
"87"	"70"	"84"	"1"	"122"	"2"	"4"	"0"	"4"	"10"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"5"	"2"	"1"	"0"	"0"	"0"	"4"	"262"	"2"	"3"	"511"	""	""
"88"	"71"	"63"	"0"	"100"	"1"	"2"	"0"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"4"	"254"	"3"	"5"	"453"	""	""
"89"	"71A"	"125"	"1"	"34"	"0"	"2"	"0"	"0"	"12"	"2"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"122"	"1"	"1"	"312"	""	""
"90"	"72"	"135"	"0"	"45"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"7"	"1"	"0"	"0"	"1"	"0"	"164"	"2"	"5"	"371"	""	""
"91"	"73"	"130"	"1"	"80"	"1"	"4"	"3"	"2"	"7"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"1"	"1"	"3"	"164"	"3"	"3"	"414"	""	""
"92"	"74"	"149"	"3"	"55"	"0"	"4"	"0"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"6"	"11"	"1"	"4"	"3"	"0"	"6"	"135"	"3"	"5"	"392"	""	""
"93"	"75"	"184"	"1"	"86"	"2"	"8"	"0"	"2"	"40"	"2"	"2"	"0"	"0"	"1"	"1"	"1"	"12"	"5"	"0"	"2"	"0"	"1"	"4"	"248"	"2"	"3"	"607"	""	""
"94"	"76"	"156"	"0"	"27"	"1"	"43"	"0"	"3"	"9"	"2"	"1"	"1"	"3"	"0"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"195"	"1"	"2"	"451"	""	""
"95"	"77"	"247"	"1"	"98"	"0"	"24"	"0"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"7"	"4"	"1"	"0"	"0"	"1"	"1"	"203"	"1"	"4"	"606"	""	""
"96"	"78"	"49"	"1"	"72"	"0"	"20"	"0"	"1"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"12"	"1"	"0"	"0"	"1"	"1"	"5"	"272"	"3"	"3"	"450"	""	""
"97"	"79"	"152"	"1"	"138"	"1"	"22"	"0"	"1"	"11"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"4"	"192"	"3"	"3"	"537"	""	""
"98"	"80"	"21"	"1"	"152"	"1"	"0"	"0"	"1"	"61"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"15"	"1"	"3"	"1"	"0"	"0"	"0"	"209"	"4"	"0"	"473"	""	""
"99"	"80A"	"32"	"0"	"156"	"3"	"0"	"0"	"7"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"3"	"2"	"0"	"0"	"0"	"1"	"217"	"2"	"2"	"466"	""	""
"100"	"81"	"17"	"2"	"171"	"1"	"0"	"0"	"1"	"26"	"1"	"1"	"1"	"0"	"1"	"1"	"6"	"14"	"7"	"2"	"0"	"0"	"1"	"5"	"307"	"3"	"3"	"571"	""	""
"101"	"82"	"11"	"3"	"163"	"2"	"1"	"1"	"1"	"49"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"8"	"3"	"1"	"1"	"0"	"0"	"4"	"325"	"2"	"0"	"581"	""	""
"102"	"83"	"145"	"4"	"156"	"4"	"11"	"3"	"0"	"41"	"2"	"0"	"2"	"1"	"5"	"1"	"3"	"23"	"5"	"3"	"1"	"2"	"2"	"4"	"254"	"7"	"4"	"683"	""	""
"103"	"84"	"6"	"1"	"176"	"2"	"0"	"0"	"0"	"31"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"2"	"250"	"3"	"1"	"483"	""	""
