"ROUND...I...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"	"X..135"	"X..136"
"14"	"5"	"SHAMIM AKHTAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Lok Jan Shakti Party"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1135"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"6"	"ISRAIL AZAD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2685"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2685"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"7"	"MD. KALIMUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"120"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"8"	"DUKHAN ROY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"9"	"NAGESHWAR BISHWAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"116"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"116"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"10"	"MD. RIYAZUDDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"71"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"11"	"SYED RUKNUDIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Independent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Place -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Date  -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"137 - Baisi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Legislative assembly from the 141-BARARI constituency.                                      Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	""	"RAJESHWAR CHOUDHARY"	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"15"	""	"9"	""	""	"23"	""	""	"7"	""	""	""	""	"192"	""	""	"9"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"4"	""	""	"6"	""	""	""	"8"	""	""	""	"130"	""	""	"6"	""	""	""	""	"4"	""	""	"19"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"1"	""	"2"	""	""	""	""	"21"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"7"	""	""	""	"508"	""	""	""	""	"0"	""	""	"508"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"16"	""	"12"	""	""	"7"	""	""	"3"	""	""	""	""	"58"	""	""	"5"	""	""	""	""	"17"	""	""	""	""	"12"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"5"	""	""	"10"	""	""	""	"13"	""	""	""	"236"	""	""	"9"	""	""	""	""	"6"	""	""	"22"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"6"	""	""	""	"3"	""	""	""	"15"	""	""	""	"7"	""	""	""	""	"6"	""	"3"	""	""	""	""	"120"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	"16"	""	""	""	"634"	""	""	""	""	"0"	""	""	"634"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"17"	""	"20"	""	""	"29"	""	""	"19"	""	""	""	""	"36"	""	""	"3"	""	""	""	""	"13"	""	""	""	""	"30"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"6"	""	""	"8"	""	""	""	"17"	""	""	""	"287"	""	""	"10"	""	""	""	""	"6"	""	""	"21"	""	""	""	""	"11"	""	""	""	"6"	""	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"2"	""	"4"	""	""	""	""	"71"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"21"	""	""	""	"657"	""	""	""	""	"0"	""	""	"657"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"18"	""	"12"	""	""	"56"	""	""	"3"	""	""	""	""	"108"	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"42"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"7"	""	""	"7"	""	""	""	"17"	""	""	""	"325"	""	""	"19"	""	""	""	""	"8"	""	""	"33"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"3"	""	"3"	""	""	""	""	"52"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"11"	""	""	""	"760"	""	""	""	""	"0"	""	""	"760"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"19"	""	"24"	""	""	"86"	""	""	"4"	""	""	""	""	"48"	""	""	"11"	""	""	""	""	"108"	""	""	""	""	"37"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"9"	""	""	"10"	""	""	""	"16"	""	""	""	"233"	""	""	"12"	""	""	""	""	"9"	""	""	"14"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	"7"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	"1"	""	"2"	""	""	""	""	"36"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"706"	""	""	""	""	"0"	""	""	"706"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"20"	""	"12"	""	""	"29"	""	""	"1"	""	""	""	""	"80"	""	""	"4"	""	""	""	""	"30"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"9"	""	""	""	"5"	""	""	""	"189"	""	""	"78"	""	""	""	""	"31"	""	""	"5"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	"3"	""	""	""	"3"	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"5"	""	"4"	""	""	""	""	"35"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"560"	""	""	""	""	"0"	""	""	"560"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
