"FORM...........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"24"	"22"	"9"	"19"	"181"	"3"	"17"	"14"	"8"	"135"	"5"	"14"	"405"	"0"	"0"	"405"	"0"
"25"	"23"	"9"	"191"	"59"	"1"	"7"	"15"	"2"	"51"	"4"	"9"	"348"	"0"	"0"	"348"	"0"
"26"	"24"	"20"	"11"	"174"	"6"	"11"	"13"	"8"	"169"	"18"	"18"	"448"	"0"	"0"	"448"	"0"
"27"	"25"	"6"	"24"	"29"	"3"	"2"	"15"	"7"	"240"	"6"	"8"	"340"	"0"	"0"	"340"	"0"
"28"	"26"	"29"	"126"	"250"	"11"	"29"	"17"	"21"	"125"	"16"	"28"	"652"	"0"	"0"	"652"	"0"
"29"	"27"	"12"	"50"	"278"	"9"	"24"	"18"	"11"	"141"	"15"	"16"	"574"	"0"	"0"	"574"	"0"
"30"	"28"	"30"	"136"	"378"	"8"	"28"	"21"	"14"	"155"	"19"	"20"	"809"	"0"	"0"	"809"	"0"
"31"	"ROUND 2"	"226"	"1276"	"2502"	"68"	"178"	"202"	"157"	"2727"	"134"	"204"	"7674"	"0"	"0"	"7674"	"0"
"32"	"29"	"12"	"12"	"215"	"6"	"13"	"25"	"13"	"153"	"4"	"6"	"459"	"0"	"0"	"459"	"0"
"33"	"30"	"22"	"197"	"85"	"9"	"9"	"15"	"13"	"167"	"5"	"21"	"543"	"0"	"0"	"543"	"0"
"34"	"31"	"9"	"87"	"23"	"6"	"1"	"14"	"5"	"152"	"16"	"14"	"327"	"0"	"0"	"327"	"0"
"35"	"32"	"20"	"49"	"87"	"4"	"3"	"12"	"7"	"248"	"7"	"15"	"452"	"0"	"0"	"452"	"0"
"36"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"37"	"33"	"13"	"26"	"228"	"10"	"13"	"8"	"8"	"69"	"4"	"21"	"400"	"0"	"0"	"400"	"0"
"38"	"34"	"31"	"71"	"25"	"2"	"6"	"7"	"9"	"253"	"3"	"11"	"418"	"0"	"0"	"418"	"0"
"39"	"35"	"10"	"118"	"54"	"5"	"2"	"6"	"10"	"149"	"9"	"7"	"370"	"0"	"0"	"370"	"0"
"40"	"36"	"6"	"136"	"54"	"9"	"5"	"4"	"11"	"326"	"11"	"9"	"571"	"0"	"0"	"571"	"0"
"41"	"37"	"4"	"14"	"270"	"15"	"5"	"20"	"6"	"102"	"3"	"7"	"446"	"0"	"0"	"446"	"0"
"42"	"38"	"20"	"122"	"93"	"18"	"15"	"44"	"27"	"232"	"15"	"11"	"597"	"0"	"0"	"597"	"0"
"43"	"39"	"10"	"54"	"230"	"10"	"6"	"9"	"6"	"132"	"5"	"10"	"472"	"0"	"0"	"472"	"0"
"44"	"40"	"10"	"74"	"589"	"11"	"31"	"26"	"5"	"12"	"3"	"14"	"775"	"0"	"0"	"775"	"0"
"45"	"41"	"14"	"215"	"320"	"32"	"16"	"8"	"3"	"31"	"7"	"32"	"678"	"0"	"0"	"678"	"0"
"46"	"42"	"17"	"265"	"163"	"8"	"15"	"6"	"8"	"33"	"3"	"14"	"532"	"0"	"0"	"532"	"0"
"47"	"ROUND 3"	"198"	"1440"	"2436"	"145"	"140"	"204"	"131"	"2059"	"95"	"192"	"7040"	"0"	"0"	"7040"	"0"
"48"	"43"	"14"	"100"	"87"	"5"	"2"	"3"	"4"	"3"	"0"	"7"	"225"	"0"	"0"	"225"	"0"
"49"	"44"	"14"	"316"	"206"	"7"	"10"	"18"	"7"	"29"	"18"	"106"	"731"	"0"	"0"	"731"	"0"
"50"	"45"	"7"	"45"	"363"	"7"	"16"	"71"	"7"	"20"	"12"	"19"	"567"	"0"	"0"	"567"	"0"
"51"	"46"	"23"	"25"	"530"	"7"	"24"	"9"	"7"	"26"	"5"	"9"	"665"	"0"	"0"	"665"	"0"
"52"	"47"	"6"	"116"	"82"	"4"	"5"	"18"	"1"	"7"	"2"	"1"	"242"	"0"	"0"	"242"	"0"
"53"	"48"	"6"	"114"	"60"	"3"	"2"	"23"	"8"	"8"	"10"	"13"	"247"	"0"	"0"	"247"	"0"
"54"	"49"	"16"	"377"	"273"	"5"	"10"	"18"	"6"	"22"	"6"	"30"	"763"	"0"	"0"	"763"	"0"
"55"	"50"	"23"	"257"	"365"	"5"	"12"	"13"	"3"	"8"	"4"	"9"	"699"	"0"	"0"	"699"	"0"
"56"	"51"	"28"	"63"	"567"	"8"	"12"	"24"	"8"	"13"	"3"	"11"	"737"	"0"	"0"	"737"	"0"
"57"	"52"	"15"	"53"	"637"	"3"	"15"	"25"	"8"	"19"	"7"	"21"	"803"	"0"	"0"	"803"	"0"
"58"	"53"	"7"	"52"	"548"	"3"	"9"	"17"	"2"	"22"	"1"	"6"	"667"	"0"	"0"	"667"	"0"
"59"	"54"	"9"	"76"	"815"	"9"	"14"	"13"	"1"	"15"	"1"	"14"	"967"	"0"	"0"	"967"	"0"
"60"	"55"	"4"	"59"	"280"	"1"	"17"	"8"	"1"	"21"	"6"	"7"	"404"	"0"	"0"	"404"	"0"
"61"	"56"	"5"	"117"	"95"	"1"	"6"	"89"	"5"	"5"	"7"	"7"	"337"	"0"	"0"	"337"	"0"
"62"	"ROUND 4"	"177"	"1770"	"4908"	"68"	"154"	"349"	"68"	"218"	"82"	"260"	"8054"	"0"	"0"	"8054"	"0"
"63"	"57"	"19"	"115"	"439"	"9"	"32"	"15"	"10"	"37"	"5"	"25"	"706"	"0"	"0"	"706"	"0"
"64"	"58"	"9"	"72"	"146"	"5"	"7"	"57"	"5"	"24"	"5"	"24"	"354"	"0"	"0"	"354"	"0"
"65"	"59"	"8"	"109"	"449"	"10"	"39"	"66"	"11"	"50"	"19"	"36"	"797"	"0"	"0"	"797"	"0"
"66"	"60"	"13"	"108"	"179"	"4"	"39"	"9"	"2"	"11"	"3"	"45"	"413"	"0"	"0"	"413"	"0"
"67"	"61"	"11"	"45"	"196"	"7"	"7"	"16"	"14"	"145"	"11"	"11"	"463"	"0"	"0"	"463"	"0"
"68"	"62"	"9"	"68"	"280"	"8"	"15"	"6"	"6"	"35"	"4"	"30"	"461"	"0"	"0"	"461"	"0"
"69"	"63"	"17"	"170"	"175"	"5"	"5"	"4"	"4"	"11"	"3"	"59"	"453"	"0"	"0"	"453"	"0"
"70"	"64"	"22"	"121"	"382"	"10"	"14"	"2"	"7"	"7"	"6"	"10"	"581"	"0"	"0"	"581"	"0"
"71"	"65"	"35"	"538"	"152"	"6"	"11"	"35"	"37"	"9"	"10"	"23"	"856"	"0"	"0"	"856"	"0"
"72"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"73"	"66"	"16"	"103"	"395"	"3"	"11"	"11"	"7"	"23"	"9"	"10"	"588"	"0"	"0"	"588"	"0"
"74"	"67"	"5"	"59"	"403"	"1"	"15"	"7"	"4"	"12"	"4"	"13"	"523"	"0"	"0"	"523"	"0"
"75"	"68"	"16"	"144"	"349"	"7"	"20"	"39"	"8"	"8"	"7"	"75"	"673"	"0"	"0"	"673"	"0"
"76"	"69"	"18"	"480"	"150"	"5"	"8"	"5"	"3"	"12"	"4"	"34"	"719"	"0"	"0"	"719"	"0"
"77"	"70"	"21"	"221"	"162"	"10"	"14"	"71"	"16"	"9"	"26"	"87"	"637"	"0"	"0"	"637"	"0"
"78"	"ROUND 5"	"219"	"2353"	"3857"	"90"	"237"	"343"	"134"	"393"	"116"	"482"	"8224"	"0"	"0"	"8224"	"0"
"79"	"71"	"16"	"227"	"98"	"6"	"15"	"31"	"6"	"18"	"7"	"56"	"480"	"0"	"0"	"480"	"0"
"80"	"72"	"37"	"120"	"198"	"6"	"10"	"20"	"7"	"12"	"19"	"339"	"768"	"0"	"0"	"768"	"0"
"81"	"73"	"23"	"117"	"408"	"3"	"13"	"7"	"6"	"9"	"20"	"7"	"613"	"0"	"0"	"613"	"0"
"82"	"74"	"19"	"194"	"198"	"15"	"7"	"7"	"2"	"13"	"6"	"56"	"517"	"0"	"0"	"517"	"0"
"83"	"75"	"20"	"135"	"188"	"11"	"9"	"37"	"19"	"40"	"20"	"35"	"514"	"0"	"0"	"514"	"0"
"84"	"76"	"17"	"218"	"91"	"1"	"3"	"4"	"7"	"14"	"5"	"46"	"406"	"0"	"0"	"406"	"0"
"85"	"77"	"16"	"124"	"172"	"6"	"7"	"8"	"25"	"13"	"9"	"35"	"415"	"0"	"0"	"415"	"0"
"86"	"78"	"33"	"326"	"86"	"4"	"16"	"34"	"9"	"55"	"9"	"37"	"609"	"0"	"0"	"609"	"0"
"87"	"79"	"8"	"55"	"299"	"5"	"23"	"4"	"3"	"18"	"10"	"12"	"437"	"0"	"0"	"437"	"0"
"88"	"80"	"6"	"47"	"262"	"13"	"11"	"4"	"3"	"10"	"3"	"6"	"365"	"0"	"0"	"365"	"0"
"89"	"81"	"22"	"152"	"223"	"5"	"10"	"3"	"8"	"21"	"35"	"15"	"494"	"0"	"0"	"494"	"0"
"90"	"82"	"20"	"115"	"118"	"0"	"9"	"12"	"8"	"12"	"63"	"7"	"364"	"0"	"0"	"364"	"0"
"91"	"83"	"22"	"143"	"125"	"11"	"13"	"40"	"197"	"23"	"27"	"32"	"633"	"0"	"0"	"633"	"0"
"92"	"84"	"14"	"108"	"200"	"5"	"12"	"49"	"114"	"21"	"16"	"76"	"615"	"0"	"0"	"615"	"0"
"93"	"ROUND 6"	"273"	"2081"	"2666"	"91"	"158"	"260"	"414"	"279"	"249"	"759"	"7230"	"0"	"0"	"7230"	"0"
"94"	"85"	"22"	"202"	"235"	"10"	"6"	"11"	"7"	"13"	"10"	"25"	"541"	"0"	"0"	"541"	"0"
"95"	"86"	"26"	"208"	"242"	"9"	"22"	"13"	"6"	"15"	"7"	"15"	"563"	"0"	"0"	"563"	"0"
"96"	"87"	"26"	"319"	"189"	"6"	"10"	"5"	"30"	"9"	"11"	"17"	"622"	"0"	"0"	"622"	"0"
"97"	"88"	"14"	"126"	"184"	"6"	"10"	"47"	"14"	"8"	"17"	"81"	"507"	"0"	"0"	"507"	"0"
"98"	"89"	"38"	"265"	"153"	"33"	"18"	"67"	"14"	"9"	"20"	"160"	"777"	"0"	"0"	"777"	"0"
"99"	"90"	"30"	"194"	"137"	"4"	"10"	"8"	"10"	"16"	"12"	"140"	"561"	"0"	"0"	"561"	"0"
"100"	"91"	"86"	"225"	"85"	"8"	"8"	"23"	"4"	"25"	"9"	"178"	"651"	"0"	"0"	"651"	"0"
"101"	"92"	"5"	"162"	"149"	"3"	"2"	"10"	"15"	"8"	"6"	"40"	"400"	"0"	"0"	"400"	"0"
"102"	"93"	"7"	"22"	"420"	"2"	"18"	"8"	"3"	"14"	"6"	"29"	"529"	"0"	"0"	"529"	"0"
"103"	"94"	"4"	"22"	"294"	"4"	"11"	"4"	"0"	"6"	"1"	"20"	"366"	"0"	"0"	"366"	"0"
"104"	"95"	"3"	"44"	"248"	"4"	"4"	"2"	"0"	"4"	"1"	"21"	"331"	"0"	"0"	"331"	"0"
"105"	"96"	"12"	"28"	"483"	"4"	"14"	"13"	"5"	"13"	"0"	"34"	"606"	"0"	"0"	"606"	"0"
"106"	"97"	"5"	"50"	"278"	"1"	"8"	"7"	"3"	"6"	"6"	"66"	"430"	"0"	"0"	"430"	"0"
"107"	"98"	"16"	"120"	"339"	"10"	"23"	"10"	"6"	"27"	"8"	"56"	"615"	"0"	"0"	"615"	"0"
"108"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"109"	"ROUND 7"	"294"	"1987"	"3436"	"104"	"164"	"228"	"117"	"173"	"114"	"882"	"7499"	"0"	"0"	"7499"	"0"
"110"	"99"	"25"	"139"	"155"	"4"	"10"	"11"	"3"	"16"	"5"	"142"	"510"	"0"	"0"	"510"	"0"
"111"	"100"	"11"	"264"	"78"	"7"	"5"	"4"	"1"	"14"	"6"	"43"	"433"	"0"	"0"	"433"	"0"
"112"	"101"	"26"	"144"	"221"	"2"	"3"	"12"	"0"	"3"	"3"	"13"	"427"	"0"	"0"	"427"	"0"
"113"	"102"	"11"	"94"	"193"	"7"	"9"	"10"	"5"	"14"	"10"	"28"	"381"	"0"	"0"	"381"	"0"
"114"	"103"	"15"	"188"	"188"	"5"	"17"	"1"	"1"	"7"	"6"	"143"	"571"	"0"	"0"	"571"	"0"
"115"	"104"	"17"	"42"	"76"	"1"	"2"	"6"	"2"	"16"	"7"	"273"	"442"	"0"	"0"	"442"	"0"
"116"	"105"	"8"	"74"	"307"	"6"	"19"	"16"	"9"	"22"	"20"	"98"	"579"	"0"	"0"	"579"	"0"
"117"	"106"	"20"	"175"	"275"	"7"	"18"	"14"	"5"	"11"	"4"	"5"	"534"	"0"	"0"	"534"	"0"
"118"	"107"	"18"	"245"	"318"	"4"	"7"	"10"	"4"	"14"	"3"	"14"	"637"	"0"	"0"	"637"	"0"
"119"	"108"	"7"	"106"	"222"	"5"	"19"	"10"	"7"	"17"	"10"	"35"	"438"	"0"	"0"	"438"	"0"
"120"	"109"	"9"	"116"	"156"	"12"	"15"	"3"	"3"	"25"	"10"	"126"	"475"	"0"	"0"	"475"	"0"
"121"	"110"	"6"	"232"	"120"	"3"	"6"	"7"	"2"	"21"	"6"	"16"	"419"	"0"	"0"	"419"	"0"
"122"	"111"	"5"	"80"	"62"	"5"	"4"	"6"	"2"	"140"	"1"	"47"	"352"	"0"	"0"	"352"	"0"
"123"	"112"	"6"	"80"	"92"	"4"	"8"	"12"	"7"	"30"	"5"	"59"	"303"	"0"	"0"	"303"	"0"
"124"	"ROUND 8"	"184"	"1979"	"2463"	"72"	"142"	"122"	"51"	"350"	"96"	"1042"	"6501"	"0"	"0"	"6501"	"0"
"125"	"113"	"5"	"171"	"38"	"1"	"3"	"9"	"4"	"12"	"4"	"103"	"350"	"0"	"0"	"350"	"0"
"126"	"114"	"27"	"196"	"32"	"9"	"1"	"12"	"6"	"15"	"11"	"110"	"419"	"0"	"0"	"419"	"0"
"127"	"115"	"19"	"113"	"53"	"4"	"4"	"7"	"3"	"7"	"6"	"176"	"392"	"0"	"0"	"392"	"0"
"128"	"116"	"28"	"31"	"284"	"15"	"21"	"22"	"8"	"11"	"5"	"61"	"486"	"0"	"0"	"486"	"0"
"129"	"117"	"1"	"52"	"26"	"1"	"0"	"0"	"0"	"2"	"2"	"485"	"569"	"0"	"0"	"569"	"0"
"130"	"118"	"25"	"67"	"166"	"4"	"9"	"14"	"5"	"16"	"22"	"287"	"615"	"0"	"0"	"615"	"0"
"131"	"119"	"13"	"160"	"12"	"2"	"0"	"7"	"0"	"14"	"1"	"20"	"229"	"0"	"0"	"229"	"0"
"132"	"120"	"1"	"70"	"38"	"0"	"0"	"4"	"1"	"16"	"3"	"20"	"153"	"0"	"0"	"153"	"0"
"133"	"121"	"6"	"49"	"404"	"2"	"6"	"6"	"1"	"21"	"2"	"45"	"542"	"0"	"0"	"542"	"0"
"134"	"122"	"33"	"76"	"149"	"8"	"10"	"40"	"14"	"26"	"12"	"155"	"523"	"0"	"0"	"523"	"0"
"135"	"123"	"19"	"100"	"202"	"4"	"16"	"13"	"5"	"13"	"7"	"32"	"411"	"0"	"0"	"411"	"0"
"136"	"124"	"2"	"128"	"80"	"2"	"5"	"3"	"6"	"7"	"7"	"64"	"304"	"0"	"0"	"304"	"0"
"137"	"125"	"13"	"45"	"215"	"5"	"16"	"20"	"7"	"27"	"11"	"125"	"484"	"0"	"0"	"484"	"0"
"138"	"126"	"44"	"149"	"57"	"9"	"2"	"4"	"3"	"7"	"6"	"123"	"404"	"0"	"0"	"404"	"0"
"139"	"ROUND 9"	"236"	"1407"	"1756"	"66"	"93"	"161"	"63"	"194"	"99"	"1806"	"5881"	"0"	"0"	"5881"	"0"
"140"	"127"	"28"	"15"	"114"	"3"	"9"	"8"	"1"	"17"	"5"	"294"	"494"	"0"	"0"	"494"	"0"
"141"	"128"	"27"	"36"	"11"	"2"	"3"	"7"	"3"	"2"	"4"	"316"	"411"	"0"	"0"	"411"	"0"
"142"	"129"	"31"	"74"	"66"	"0"	"1"	"9"	"3"	"8"	"4"	"248"	"444"	"0"	"0"	"444"	"0"
"143"	"130"	"15"	"3"	"18"	"4"	"0"	"4"	"1"	"3"	"6"	"169"	"223"	"0"	"0"	"223"	"0"
"144"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"145"	"131"	"63"	"46"	"143"	"15"	"19"	"19"	"14"	"24"	"25"	"187"	"555"	"0"	"0"	"555"	"0"
"146"	"132"	"21"	"15"	"81"	"3"	"1"	"3"	"6"	"6"	"12"	"331"	"479"	"0"	"0"	"479"	"0"
"147"	"133"	"14"	"36"	"238"	"10"	"6"	"28"	"6"	"16"	"11"	"241"	"606"	"0"	"0"	"606"	"0"
"148"	"134"	"23"	"35"	"165"	"13"	"6"	"15"	"7"	"26"	"9"	"141"	"440"	"0"	"0"	"440"	"0"
"149"	"135"	"27"	"46"	"228"	"8"	"14"	"11"	"3"	"10"	"4"	"134"	"485"	"0"	"0"	"485"	"0"
"150"	"136"	"44"	"38"	"120"	"10"	"11"	"30"	"5"	"12"	"10"	"203"	"483"	"0"	"0"	"483"	"0"
"151"	"137"	"39"	"20"	"73"	"5"	"9"	"18"	"7"	"9"	"20"	"115"	"315"	"0"	"0"	"315"	"0"
"152"	"138"	"32"	"71"	"53"	"3"	"5"	"19"	"7"	"10"	"31"	"209"	"440"	"0"	"0"	"440"	"0"
"153"	"139"	"50"	"6"	"27"	"1"	"3"	"10"	"7"	"0"	"9"	"338"	"451"	"0"	"0"	"451"	"0"
"154"	"140"	"123"	"62"	"48"	"10"	"7"	"11"	"15"	"8"	"18"	"408"	"710"	"0"	"0"	"710"	"0"
"155"	"ROUND 10"	"537"	"503"	"1385"	"87"	"94"	"192"	"85"	"151"	"168"	"3334"	"6536"	"0"	"0"	"6536"	"0"
"156"	"141"	"8"	"143"	"124"	"4"	"4"	"3"	"2"	"11"	"1"	"57"	"357"	"0"	"0"	"357"	"0"
"157"	"142"	"7"	"178"	"117"	"6"	"3"	"6"	"3"	"5"	"7"	"75"	"407"	"0"	"0"	"407"	"0"
"158"	"143"	"27"	"38"	"24"	"6"	"4"	"11"	"3"	"8"	"13"	"436"	"570"	"0"	"0"	"570"	"0"
"159"	"144"	"1"	"2"	"7"	"0"	"0"	"3"	"2"	"1"	"0"	"585"	"601"	"0"	"0"	"601"	"0"
"160"	"145"	"5"	"9"	"6"	"0"	"0"	"1"	"1"	"1"	"1"	"637"	"661"	"0"	"0"	"661"	"0"
"161"	"146"	"22"	"29"	"129"	"5"	"9"	"16"	"13"	"10"	"19"	"150"	"402"	"0"	"0"	"402"	"0"
"162"	"147"	"6"	"78"	"179"	"1"	"1"	"5"	"2"	"8"	"3"	"18"	"301"	"0"	"0"	"301"	"0"
"163"	"148"	"15"	"105"	"110"	"7"	"11"	"5"	"7"	"18"	"9"	"60"	"347"	"0"	"0"	"347"	"0"
"164"	"149"	"8"	"56"	"217"	"2"	"10"	"4"	"2"	"9"	"6"	"43"	"357"	"0"	"0"	"357"	"0"
"165"	"150"	"12"	"50"	"292"	"6"	"6"	"3"	"0"	"7"	"4"	"17"	"397"	"0"	"0"	"397"	"0"
"166"	"151"	"3"	"8"	"10"	"0"	"3"	"0"	"0"	"4"	"0"	"323"	"351"	"0"	"0"	"351"	"0"
"167"	"152"	"11"	"4"	"82"	"2"	"4"	"7"	"3"	"3"	"4"	"382"	"502"	"0"	"0"	"502"	"0"
"168"	"153"	"13"	"94"	"290"	"6"	"14"	"4"	"4"	"24"	"5"	"42"	"496"	"0"	"0"	"496"	"0"
"169"	"154"	"12"	"100"	"130"	"8"	"7"	"11"	"4"	"12"	"14"	"99"	"397"	"0"	"0"	"397"	"0"
"170"	"ROUND 11"	"150"	"894"	"1717"	"53"	"76"	"79"	"46"	"121"	"86"	"2924"	"6146"	"0"	"0"	"6146"	"0"
"171"	"155"	"9"	"187"	"179"	"4"	"1"	"2"	"1"	"7"	"1"	"12"	"403"	"0"	"0"	"403"	"0"
"172"	"156"	"13"	"80"	"153"	"5"	"16"	"9"	"0"	"10"	"8"	"36"	"330"	"0"	"0"	"330"	"0"
"173"	"157"	"15"	"144"	"170"	"4"	"3"	"7"	"6"	"8"	"6"	"37"	"400"	"0"	"0"	"400"	"0"
"174"	"158"	"8"	"181"	"66"	"1"	"2"	"3"	"1"	"5"	"0"	"21"	"288"	"0"	"0"	"288"	"0"
"175"	"159"	"9"	"62"	"220"	"7"	"12"	"10"	"5"	"42"	"7"	"32"	"406"	"0"	"0"	"406"	"0"
"176"	"160"	"25"	"171"	"91"	"9"	"8"	"8"	"7"	"209"	"18"	"64"	"610"	"0"	"0"	"610"	"0"
"177"	"161"	"21"	"125"	"183"	"14"	"24"	"8"	"13"	"32"	"20"	"110"	"550"	"0"	"0"	"550"	"0"
"178"	"162"	"17"	"23"	"322"	"11"	"7"	"0"	"3"	"5"	"2"	"93"	"483"	"0"	"0"	"483"	"0"
"179"	"163"	"8"	"40"	"358"	"2"	"6"	"1"	"3"	"4"	"3"	"32"	"457"	"0"	"0"	"457"	"0"
"180"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"181"	"164"	"18"	"125"	"163"	"7"	"13"	"4"	"3"	"8"	"3"	"25"	"369"	"0"	"0"	"369"	"0"
"182"	"165"	"10"	"58"	"121"	"10"	"6"	"63"	"2"	"23"	"15"	"11"	"319"	"0"	"0"	"319"	"0"
"183"	"166"	"10"	"151"	"287"	"8"	"6"	"20"	"5"	"11"	"6"	"26"	"530"	"0"	"0"	"530"	"0"
"184"	"167"	"24"	"264"	"155"	"8"	"8"	"23"	"4"	"21"	"11"	"21"	"539"	"0"	"0"	"539"	"0"
