"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"22"	"16"	"7"	"497"	"93"	"26"	"1"	"4"	"34"	"0"	"1"	"663"	"0"	"663"	"0"
"23"	"17"	"14"	"427"	"8"	"3"	"1"	"3"	"49"	"8"	"8"	"521"	"0"	"521"	"0"
"24"	"18"	"8"	"71"	"280"	"93"	"2"	"30"	"91"	"0"	"4"	"579"	"0"	"579"	"0"
"25"	"19"	"19"	"96"	"166"	"209"	"10"	"26"	"161"	"6"	"17"	"710"	"0"	"710"	"0"
"26"	"20"	"9"	"11"	"84"	"13"	"16"	"16"	"64"	"4"	"9"	"226"	"0"	"226"	"0"
"27"	"21"	"13"	"163"	"75"	"50"	"3"	"19"	"141"	"9"	"43"	"516"	"0"	"516"	"0"
"28"	"22"	"13"	"192"	"30"	"66"	"7"	"24"	"168"	"11"	"33"	"544"	"0"	"544"	"0"
"29"	"23"	"12"	"53"	"192"	"7"	"6"	"24"	"121"	"6"	"1"	"422"	"0"	"422"	"0"
"30"	"24"	"16"	"91"	"60"	"16"	"5"	"6"	"83"	"10"	"18"	"305"	"0"	"305"	"0"
"31"	"25"	"12"	"26"	"339"	"58"	"10"	"19"	"144"	"7"	"27"	"642"	"0"	"642"	"0"
"32"	"26"	"11"	"111"	"140"	"71"	"5"	"28"	"57"	"13"	"9"	"445"	"0"	"445"	"0"
"33"	"27"	"28"	"84"	"171"	"42"	"7"	"3"	"41"	"8"	"12"	"396"	"0"	"396"	"0"
"34"	"28"	"9"	"10"	"267"	"11"	"4"	"11"	"140"	"4"	"7"	"463"	"0"	"463"	"0"
"35"	"Total Round 2"	"179"	"1861"	"2131"	"748"	"80"	"222"	"1311"	"94"	"203"	"6829"	"0"	"6829"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"39"	"29"	"4"	"139"	"0"	"124"	"2"	"1"	"24"	"37"	"1"	"332"	"0"	"332"	"0"
"40"	"30"	"15"	"299"	"102"	"21"	"8"	"8"	"115"	"14"	"5"	"587"	"0"	"587"	"0"
"41"	"31"	"7"	"305"	"102"	"44"	"10"	"3"	"23"	"8"	"12"	"514"	"0"	"514"	"0"
"42"	"32"	"6"	"304"	"212"	"4"	"2"	"9"	"167"	"3"	"4"	"711"	"0"	"711"	"0"
"43"	"33"	"17"	"14"	"333"	"40"	"8"	"6"	"70"	"17"	"17"	"522"	"0"	"522"	"0"
"44"	"34"	"2"	"30"	"96"	"11"	"2"	"5"	"70"	"63"	"10"	"289"	"0"	"289"	"0"
"45"	"35"	"4"	"13"	"31"	"1"	"0"	"5"	"54"	"322"	"16"	"446"	"0"	"446"	"0"
"46"	"36"	"13"	"60"	"183"	"57"	"9"	"18"	"146"	"36"	"37"	"559"	"0"	"559"	"0"
"47"	"37"	"8"	"146"	"159"	"73"	"7"	"24"	"135"	"12"	"18"	"582"	"0"	"582"	"0"
"48"	"38"	"8"	"10"	"272"	"8"	"13"	"18"	"216"	"4"	"13"	"562"	"0"	"562"	"0"
"49"	"39"	"8"	"55"	"202"	"6"	"3"	"8"	"53"	"2"	"4"	"341"	"0"	"341"	"0"
"50"	"40"	"1"	"42"	"156"	"34"	"3"	"3"	"62"	"2"	"3"	"306"	"0"	"306"	"0"
"51"	"41"	"5"	"34"	"254"	"18"	"5"	"7"	"157"	"9"	"16"	"505"	"0"	"505"	"0"
"52"	"42"	"13"	"306"	"104"	"10"	"4"	"18"	"80"	"10"	"15"	"560"	"0"	"560"	"0"
"53"	"Total Round 3"	"111"	"1757"	"2206"	"451"	"76"	"133"	"1372"	"539"	"171"	"6816"	"0"	"6816"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"57"	"43"	"3"	"249"	"3"	"5"	"2"	"7"	"261"	"42"	"1"	"573"	"0"	"573"	"0"
"58"	"44"	"7"	"195"	"130"	"16"	"29"	"33"	"134"	"10"	"3"	"557"	"0"	"557"	"0"
"59"	"45"	"8"	"288"	"15"	"15"	"21"	"7"	"94"	"18"	"4"	"470"	"0"	"470"	"0"
"60"	"46"	"7"	"83"	"168"	"14"	"6"	"13"	"343"	"3"	"5"	"642"	"0"	"642"	"0"
"61"	"47"	"12"	"111"	"72"	"20"	"7"	"5"	"320"	"8"	"8"	"563"	"0"	"563"	"0"
"62"	"48"	"2"	"58"	"170"	"9"	"3"	"7"	"100"	"5"	"11"	"365"	"0"	"365"	"0"
"63"	"49"	"11"	"150"	"44"	"5"	"2"	"6"	"40"	"4"	"9"	"271"	"0"	"271"	"0"
"64"	"50"	"34"	"175"	"215"	"50"	"3"	"9"	"32"	"2"	"8"	"528"	"0"	"528"	"0"
"65"	"51"	"3"	"18"	"253"	"9"	"2"	"5"	"14"	"1"	"4"	"309"	"0"	"309"	"0"
"66"	"52"	"20"	"238"	"76"	"8"	"7"	"10"	"52"	"5"	"4"	"420"	"0"	"420"	"0"
"67"	"53"	"13"	"45"	"388"	"75"	"8"	"17"	"111"	"6"	"19"	"682"	"0"	"682"	"0"
"68"	"54"	"14"	"32"	"193"	"112"	"15"	"18"	"160"	"6"	"25"	"575"	"0"	"575"	"0"
"69"	"55"	"10"	"16"	"143"	"19"	"1"	"14"	"191"	"4"	"32"	"430"	"0"	"430"	"0"
"70"	"56"	"20"	"233"	"59"	"7"	"3"	"15"	"58"	"3"	"2"	"400"	"0"	"400"	"0"
"71"	"Total Round 4"	"164"	"1891"	"1929"	"364"	"109"	"166"	"1910"	"117"	"135"	"6785"	"0"	"6785"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"75"	"57"	"2"	"511"	"3"	"15"	"0"	"6"	"11"	"0"	"0"	"548"	"0"	"548"	"0"
"76"	"58"	"1"	"549"	"6"	"2"	"0"	"1"	"11"	"0"	"2"	"572"	"0"	"572"	"0"
"77"	"59"	"7"	"182"	"45"	"22"	"10"	"12"	"139"	"4"	"11"	"432"	"0"	"432"	"0"
"78"	"60"	"15"	"133"	"176"	"75"	"9"	"26"	"195"	"8"	"17"	"654"	"0"	"654"	"0"
"79"	"61"	"9"	"79"	"150"	"73"	"18"	"13"	"137"	"7"	"17"	"503"	"0"	"503"	"0"
"80"	"62"	"13"	"322"	"46"	"29"	"2"	"12"	"100"	"4"	"10"	"538"	"0"	"538"	"0"
"81"	"63"	"12"	"24"	"178"	"194"	"8"	"10"	"142"	"5"	"14"	"587"	"0"	"587"	"0"
"82"	"64"	"5"	"36"	"40"	"54"	"2"	"15"	"311"	"4"	"6"	"473"	"0"	"473"	"0"
"83"	"65"	"8"	"58"	"220"	"73"	"4"	"14"	"103"	"5"	"17"	"502"	"0"	"502"	"0"
"84"	"66"	"49"	"49"	"218"	"64"	"8"	"11"	"138"	"2"	"6"	"545"	"0"	"545"	"0"
"85"	"67"	"4"	"19"	"124"	"164"	"3"	"12"	"73"	"6"	"20"	"425"	"0"	"425"	"0"
"86"	"68"	"6"	"37"	"66"	"42"	"10"	"28"	"158"	"8"	"11"	"366"	"0"	"366"	"0"
"87"	"69"	"19"	"62"	"146"	"80"	"7"	"21"	"148"	"15"	"35"	"533"	"0"	"533"	"0"
"88"	"70"	"23"	"283"	"77"	"69"	"7"	"4"	"25"	"5"	"8"	"501"	"0"	"501"	"0"
"89"	"Total Round 5"	"173"	"2344"	"1495"	"956"	"88"	"185"	"1691"	"73"	"174"	"7179"	"0"	"7179"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"93"	"71"	"9"	"102"	"280"	"83"	"3"	"11"	"103"	"9"	"22"	"622"	"0"	"622"	"0"
"94"	"72"	"12"	"81"	"45"	"13"	"3"	"9"	"141"	"3"	"10"	"317"	"0"	"317"	"0"
"95"	"73"	"12"	"143"	"87"	"11"	"3"	"17"	"242"	"8"	"7"	"530"	"0"	"530"	"0"
"96"	"74"	"1"	"24"	"75"	"12"	"6"	"11"	"233"	"1"	"7"	"370"	"0"	"370"	"0"
"97"	"75"	"16"	"45"	"276"	"65"	"13"	"14"	"266"	"5"	"25"	"725"	"0"	"725"	"0"
"98"	"76"	"5"	"180"	"188"	"52"	"10"	"11"	"104"	"3"	"10"	"563"	"0"	"563"	"0"
"99"	"77"	"2"	"2"	"165"	"92"	"6"	"0"	"20"	"4"	"5"	"296"	"0"	"296"	"0"
"100"	"78"	"8"	"71"	"253"	"33"	"10"	"12"	"198"	"9"	"21"	"615"	"0"	"615"	"0"
"101"	"79"	"4"	"194"	"180"	"17"	"4"	"6"	"206"	"6"	"17"	"634"	"0"	"634"	"0"
"102"	"80"	"5"	"24"	"184"	"16"	"11"	"6"	"282"	"5"	"8"	"541"	"0"	"541"	"0"
"103"	"81"	"5"	"74"	"186"	"21"	"11"	"4"	"170"	"2"	"8"	"481"	"0"	"481"	"0"
"104"	"82"	"9"	"12"	"316"	"61"	"9"	"11"	"254"	"8"	"16"	"696"	"0"	"696"	"0"
"105"	"83"	"6"	"6"	"251"	"105"	"2"	"2"	"83"	"2"	"2"	"459"	"0"	"459"	"0"
"106"	"84"	"8"	"253"	"68"	"25"	"2"	"3"	"65"	"0"	"6"	"430"	"0"	"430"	"0"
"107"	"Total Round 6"	"102"	"1211"	"2554"	"606"	"93"	"117"	"2367"	"65"	"164"	"7279"	"0"	"7279"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"111"	"85"	"8"	"290"	"107"	"17"	"3"	"3"	"86"	"5"	"9"	"528"	"0"	"528"	"0"
"112"	"86"	"7"	"75"	"187"	"8"	"25"	"5"	"217"	"5"	"4"	"533"	"0"	"533"	"0"
"113"	"87"	"1"	"21"	"176"	"11"	"12"	"11"	"459"	"10"	"55"	"756"	"0"	"756"	"0"
"114"	"88"	"3"	"49"	"172"	"53"	"10"	"18"	"379"	"5"	"8"	"697"	"0"	"697"	"0"
"115"	"89"	"2"	"163"	"87"	"8"	"6"	"4"	"499"	"3"	"25"	"797"	"0"	"797"	"0"
"116"	"90"	"11"	"47"	"239"	"22"	"11"	"17"	"506"	"15"	"39"	"907"	"0"	"907"	"0"
"117"	"91"	"10"	"14"	"229"	"8"	"5"	"10"	"501"	"11"	"63"	"851"	"0"	"851"	"0"
"118"	"92"	"14"	"23"	"189"	"19"	"2"	"15"	"341"	"3"	"11"	"617"	"0"	"617"	"0"
"119"	"93"	"7"	"57"	"242"	"49"	"4"	"9"	"141"	"2"	"15"	"526"	"0"	"526"	"0"
"120"	"94"	"4"	"23"	"92"	"14"	"2"	"4"	"123"	"7"	"16"	"285"	"0"	"285"	"0"
"121"	"95"	"15"	"63"	"230"	"30"	"7"	"20"	"361"	"8"	"23"	"757"	"0"	"757"	"0"
"122"	"96"	"1"	"23"	"157"	"17"	"4"	"17"	"58"	"0"	"2"	"279"	"0"	"279"	"0"
"123"	"97"	"0"	"18"	"215"	"29"	"2"	"17"	"82"	"0"	"1"	"364"	"0"	"364"	"0"
"124"	"98"	"4"	"71"	"200"	"20"	"7"	"7"	"155"	"3"	"7"	"474"	"0"	"474"	"0"
"125"	"Total Round 7"	"87"	"937"	"2522"	"305"	"100"	"157"	"3908"	"77"	"278"	"8371"	"0"	"8371"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"129"	"99"	"0"	"16"	"236"	"125"	"1"	"1"	"42"	"2"	"3"	"426"	"0"	"426"	"0"
"130"	"100"	"2"	"86"	"239"	"70"	"1"	"4"	"29"	"0"	"2"	"433"	"0"	"433"	"0"
"131"	"101"	"1"	"28"	"200"	"20"	"0"	"0"	"41"	"0"	"1"	"291"	"0"	"291"	"0"
"132"	"102"	"11"	"265"	"209"	"35"	"5"	"5"	"40"	"5"	"12"	"587"	"0"	"587"	"0"
"133"	"103"	"5"	"244"	"197"	"37"	"7"	"17"	"27"	"3"	"7"	"544"	"0"	"544"	"0"
"134"	"104"	"12"	"224"	"250"	"19"	"11"	"4"	"50"	"0"	"3"	"573"	"0"	"573"	"0"
"135"	"105"	"3"	"391"	"10"	"15"	"2"	"1"	"18"	"3"	"2"	"445"	"0"	"445"	"0"
"136"	"106"	"21"	"557"	"13"	"7"	"3"	"3"	"9"	"2"	"5"	"620"	"0"	"620"	"0"
"137"	"107"	"4"	"385"	"3"	"5"	"0"	"2"	"4"	"0"	"0"	"403"	"0"	"403"	"0"
"138"	"108"	"13"	"553"	"36"	"49"	"4"	"0"	"32"	"5"	"6"	"698"	"0"	"698"	"0"
"139"	"109"	"3"	"118"	"397"	"38"	"11"	"9"	"28"	"3"	"9"	"616"	"0"	"616"	"0"
"140"	"110"	"3"	"11"	"265"	"8"	"1"	"13"	"36"	"4"	"0"	"341"	"0"	"341"	"0"
"141"	"111"	"15"	"160"	"417"	"40"	"1"	"15"	"124"	"2"	"12"	"786"	"0"	"786"	"0"
"142"	"112"	"10"	"414"	"150"	"26"	"6"	"2"	"19"	"10"	"24"	"661"	"0"	"661"	"0"
"143"	"Total Round 8"	"103"	"3452"	"2622"	"494"	"53"	"76"	"499"	"39"	"86"	"7424"	"0"	"7424"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"147"	"113"	"14"	"286"	"143"	"11"	"2"	"7"	"46"	"2"	"4"	"515"	"0"	"515"	"0"
"148"	"114"	"12"	"449"	"103"	"8"	"3"	"4"	"36"	"1"	"2"	"618"	"0"	"618"	"0"
"149"	"115"	"27"	"509"	"211"	"11"	"7"	"11"	"48"	"2"	"8"	"834"	"0"	"834"	"0"
"150"	"116"	"12"	"106"	"359"	"18"	"4"	"3"	"60"	"1"	"5"	"568"	"0"	"568"	"0"
"151"	"117"	"13"	"149"	"358"	"38"	"4"	"5"	"21"	"4"	"7"	"599"	"0"	"599"	"0"
"152"	"118"	"13"	"178"	"91"	"11"	"3"	"7"	"159"	"8"	"10"	"480"	"0"	"480"	"0"
"153"	"119"	"16"	"16"	"171"	"153"	"15"	"11"	"104"	"4"	"8"	"498"	"0"	"498"	"0"
"154"	"120"	"6"	"132"	"193"	"38"	"7"	"13"	"88"	"4"	"16"	"497"	"0"	"497"	"0"
"155"	"121"	"5"	"50"	"166"	"47"	"4"	"12"	"102"	"7"	"23"	"416"	"0"	"416"	"0"
"156"	"122"	"9"	"42"	"127"	"49"	"10"	"17"	"129"	"8"	"13"	"404"	"0"	"404"	"0"
"157"	"123"	"14"	"45"	"92"	"74"	"6"	"9"	"205"	"4"	"19"	"468"	"0"	"468"	"0"
"158"	"124"	"3"	"1"	"112"	"76"	"5"	"11"	"64"	"1"	"2"	"275"	"0"	"275"	"0"
"159"	"125"	"13"	"97"	"159"	"13"	"6"	"13"	"115"	"12"	"17"	"445"	"0"	"445"	"0"
"160"	"126"	"3"	"298"	"23"	"10"	"2"	"3"	"60"	"3"	"4"	"406"	"0"	"406"	"0"
"161"	"Total Round 9"	"160"	"2358"	"2308"	"557"	"78"	"126"	"1237"	"61"	"138"	"7023"	"0"	"7023"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"165"	"127"	"32"	"111"	"149"	"30"	"6"	"15"	"114"	"6"	"9"	"472"	"0"	"472"	"0"
"166"	"128"	"9"	"178"	"49"	"62"	"4"	"7"	"25"	"6"	"11"	"351"	"0"	"351"	"0"
"167"	"129"	"2"	"22"	"434"	"34"	"3"	"3"	"14"	"1"	"2"	"515"	"0"	"515"	"0"
"168"	"130"	"7"	"525"	"14"	"51"	"7"	"5"	"76"	"9"	"4"	"698"	"0"	"698"	"0"
"169"	"131"	"0"	"3"	"13"	"0"	"0"	"0"	"4"	"0"	"0"	"20"	"0"	"20"	"0"
"170"	"132"	"23"	"40"	"178"	"14"	"4"	"14"	"88"	"11"	"16"	"388"	"0"	"388"	"0"
"171"	"133"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"172"	"134"	"2"	"4"	"53"	"33"	"0"	"2"	"91"	"1"	"2"	"188"	"0"	"188"	"0"
"173"	"135"	"20"	"88"	"123"	"173"	"9"	"9"	"56"	"4"	"14"	"496"	"0"	"496"	"0"
"174"	"136"	"21"	"38"	"123"	"21"	"11"	"15"	"104"	"8"	"25"	"366"	"0"	"366"	"0"
"175"	"137"	"12"	"61"	"101"	"48"	"7"	"24"	"144"	"5"	"17"	"419"	"0"	"419"	"0"
"176"	"138"	"13"	"14"	"29"	"98"	"13"	"8"	"262"	"3"	"12"	"452"	"0"	"452"	"0"
"177"	"139"	"39"	"153"	"20"	"36"	"9"	"33"	"217"	"10"	"17"	"534"	"0"	"534"	"0"
"178"	"140"	"4"	"120"	"6"	"11"	"3"	"4"	"87"	"2"	"10"	"247"	"0"	"247"	"0"
"179"	"Total Round 10"	"184"	"1357"	"1293"	"611"	"76"	"139"	"1282"	"66"	"139"	"5147"	"0"	"5147"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"183"	"141"	"10"	"22"	"138"	"43"	"5"	"10"	"211"	"7"	"10"	"456"	"0"	"456"	"0"
"184"	"142"	"6"	"14"	"120"	"53"	"3"	"15"	"46"	"0"	"17"	"274"	"0"	"274"	"0"
"185"	"143"	"20"	"26"	"202"	"152"	"9"	"14"	"102"	"8"	"13"	"546"	"0"	"546"	"0"
"186"	"144"	"15"	"335"	"39"	"14"	"6"	"7"	"43"	"8"	"4"	"471"	"0"	"471"	"0"
"187"	"145"	"4"	"4"	"117"	"12"	"3"	"13"	"130"	"6"	"24"	"313"	"0"	"313"	"0"
"188"	"146"	"13"	"54"	"182"	"60"	"7"	"26"	"139"	"7"	"16"	"504"	"0"	"504"	"0"
"189"	"147"	"11"	"71"	"157"	"46"	"11"	"18"	"80"	"15"	"35"	"444"	"0"	"444"	"0"
"190"	"148"	"10"	"32"	"155"	"42"	"3"	"5"	"119"	"3"	"8"	"377"	"0"	"377"	"0"
"191"	"149"	"3"	"15"	"227"	"50"	"4"	"6"	"102"	"5"	"5"	"417"	"0"	"417"	"0"
"192"	"150"	"0"	"3"	"154"	"23"	"0"	"2"	"46"	"1"	"4"	"233"	"0"	"233"	"0"
"193"	"151"	"5"	"502"	"8"	"76"	"1"	"5"	"34"	"4"	"5"	"640"	"0"	"640"	"0"
"194"	"152"	"5"	"196"	"2"	"13"	"2"	"2"	"250"	"8"	"2"	"480"	"0"	"480"	"0"
"195"	"153"	"16"	"135"	"17"	"143"	"9"	"8"	"50"	"6"	"28"	"412"	"0"	"412"	"0"
"196"	"154"	"11"	"20"	"111"	"9"	"5"	"16"	"156"	"18"	"39"	"385"	"0"	"385"	"0"
"197"	"Total Round 11"	"129"	"1429"	"1629"	"736"	"68"	"147"	"1508"	"96"	"210"	"5952"	"0"	"5952"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"201"	"155"	"7"	"539"	"12"	"14"	"1"	"6"	"170"	"6"	"6"	"761"	"0"	"761"	"0"
"202"	"156"	"19"	"112"	"79"	"61"	"12"	"8"	"137"	"5"	"4"	"437"	"0"	"437"	"0"
"203"	"157"	"7"	"6"	"278"	"46"	"2"	"10"	"136"	"10"	"16"	"511"	"0"	"511"	"0"
"204"	"158"	"3"	"9"	"121"	"303"	"7"	"4"	"145"	"3"	"6"	"601"	"0"	"601"	"0"
"205"	"159"	"9"	"70"	"116"	"120"	"7"	"19"	"230"	"9"	"12"	"592"	"0"	"592"	"0"
"206"	"160"	"12"	"89"	"113"	"53"	"8"	"19"	"178"	"3"	"4"	"479"	"0"	"479"	"0"
