"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendere.d.votes"
"39"	"32"	"1"	"2"	"516"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"521"	"0"	"521"	"0"
"40"	"33"	"110"	"19"	"171"	"8"	"5"	"7"	"3"	"2"	"5"	"7"	"4"	"9"	"20"	"18"	"49"	"437"	"0"	"437"	"0"
"41"	"34"	"195"	"12"	"205"	"6"	"0"	"2"	"1"	"4"	"0"	"0"	"3"	"0"	"2"	"1"	"6"	"437"	"0"	"437"	"0"
"42"	"35"	"25"	"5"	"336"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"377"	"0"	"377"	"0"
"43"	"36"	"289"	"31"	"113"	"5"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"9"	"457"	"0"	"457"	"0"
"44"	"37"	"49"	"6"	"292"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"351"	"0"	"351"	"0"
"45"	"38"	"253"	"59"	"107"	"13"	"8"	"66"	"8"	"64"	"20"	"7"	"7"	"10"	"3"	"4"	"6"	"635"	"0"	"635"	"0"
"46"	"39"	"86"	"8"	"224"	"10"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"12"	"4"	"6"	"357"	"0"	"357"	"0"
"47"	"40"	"253"	"14"	"69"	"5"	"1"	"5"	"5"	"1"	"5"	"0"	"2"	"1"	"7"	"5"	"22"	"395"	"0"	"395"	"0"
"48"	"41"	"40"	"5"	"398"	"11"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"7"	"11"	"3"	"480"	"0"	"480"	"0"
"49"	"42"	"171"	"10"	"204"	"5"	"1"	"2"	"1"	"1"	"4"	"2"	"3"	"3"	"30"	"7"	"21"	"465"	"0"	"465"	"0"
"50"	"Round Total"	"2312"	"209"	"3116"	"87"	"39"	"134"	"22"	"79"	"55"	"24"	"35"	"41"	"106"	"86"	"176"	"6521"	"0"	"6521"	"0"
"51"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"52"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"53"	"43"	"13"	"1"	"192"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"217"	"0"	"217"	"0"
"54"	"44"	"162"	"10"	"131"	"8"	"3"	"6"	"9"	"3"	"1"	"0"	"2"	"5"	"14"	"8"	"15"	"377"	"0"	"377"	"0"
"55"	"45"	"408"	"15"	"169"	"12"	"3"	"14"	"4"	"2"	"3"	"3"	"6"	"9"	"24"	"27"	"37"	"736"	"0"	"736"	"0"
"56"	"46"	"199"	"22"	"178"	"4"	"6"	"3"	"20"	"3"	"2"	"4"	"3"	"3"	"24"	"109"	"23"	"603"	"0"	"603"	"0"
"57"	"47"	"117"	"12"	"123"	"16"	"2"	"3"	"1"	"2"	"1"	"2"	"8"	"9"	"16"	"13"	"24"	"349"	"0"	"349"	"0"
"58"	"48"	"51"	"20"	"23"	"4"	"3"	"50"	"6"	"14"	"116"	"5"	"7"	"9"	"5"	"34"	"15"	"362"	"0"	"362"	"0"
"59"	"49"	"360"	"6"	"10"	"3"	"1"	"42"	"1"	"5"	"9"	"6"	"5"	"8"	"6"	"4"	"25"	"491"	"0"	"491"	"0"
"60"	"50"	"15"	"4"	"43"	"1"	"0"	"0"	"2"	"1"	"1"	"5"	"0"	"2"	"8"	"229"	"35"	"346"	"0"	"346"	"0"
"61"	"51"	"42"	"62"	"64"	"5"	"3"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"6"	"272"	"27"	"486"	"0"	"486"	"0"
"62"	"52"	"143"	"16"	"269"	"3"	"5"	"69"	"1"	"3"	"6"	"4"	"9"	"8"	"2"	"82"	"4"	"624"	"0"	"624"	"0"
"63"	"53"	"193"	"7"	"287"	"13"	"4"	"11"	"9"	"6"	"27"	"3"	"3"	"10"	"33"	"31"	"39"	"676"	"0"	"676"	"0"
"64"	"54"	"407"	"2"	"16"	"1"	"0"	"5"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"4"	"441"	"0"	"441"	"0"
"65"	"55"	"453"	"9"	"21"	"9"	"5"	"37"	"2"	"4"	"4"	"0"	"3"	"7"	"3"	"6"	"5"	"568"	"0"	"568"	"0"
"66"	"56"	"249"	"8"	"71"	"10"	"7"	"170"	"14"	"2"	"3"	"11"	"4"	"4"	"2"	"5"	"17"	"577"	"0"	"577"	"0"
"67"	"Round Total"	"2812"	"194"	"1597"	"93"	"43"	"410"	"69"	"47"	"176"	"43"	"52"	"77"	"146"	"823"	"271"	"6853"	"0"	"6853"	"0"
"68"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"69"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"70"	"57"	"179"	"11"	"46"	"2"	"2"	"43"	"1"	"1"	"2"	"6"	"6"	"6"	"6"	"2"	"13"	"326"	"0"	"326"	"0"
"71"	"58"	"230"	"23"	"51"	"2"	"0"	"12"	"3"	"3"	"38"	"2"	"3"	"7"	"1"	"1"	"15"	"391"	"0"	"391"	"0"
"72"	"59"	"90"	"6"	"363"	"22"	"2"	"13"	"3"	"5"	"6"	"1"	"6"	"6"	"8"	"22"	"3"	"556"	"0"	"556"	"0"
"73"	"60"	"179"	"18"	"105"	"115"	"2"	"32"	"2"	"5"	"10"	"1"	"15"	"11"	"13"	"12"	"36"	"556"	"0"	"556"	"0"
"74"	"61"	"339"	"16"	"372"	"19"	"3"	"14"	"2"	"2"	"2"	"2"	"4"	"7"	"8"	"2"	"4"	"796"	"0"	"796"	"0"
"75"	"62"	"223"	"12"	"66"	"40"	"4"	"32"	"8"	"5"	"2"	"2"	"5"	"19"	"9"	"6"	"36"	"469"	"0"	"469"	"0"
"76"	"63"	"161"	"7"	"255"	"6"	"2"	"11"	"2"	"0"	"5"	"2"	"2"	"4"	"7"	"8"	"19"	"491"	"0"	"491"	"0"
"77"	"64"	"74"	"0"	"178"	"5"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"2"	"5"	"6"	"3"	"280"	"0"	"280"	"0"
"78"	"65"	"72"	"13"	"267"	"11"	"3"	"36"	"2"	"1"	"2"	"4"	"9"	"18"	"21"	"46"	"6"	"511"	"0"	"511"	"0"
"79"	"66"	"248"	"12"	"78"	"5"	"2"	"30"	"2"	"2"	"12"	"4"	"5"	"2"	"2"	"4"	"15"	"423"	"0"	"423"	"0"
"80"	"67"	"273"	"13"	"227"	"12"	"3"	"27"	"1"	"7"	"9"	"4"	"3"	"15"	"14"	"21"	"27"	"656"	"0"	"656"	"0"
"81"	"68"	"131"	"8"	"179"	"41"	"8"	"63"	"2"	"3"	"12"	"5"	"2"	"4"	"16"	"1"	"11"	"486"	"0"	"486"	"0"
"82"	"69"	"209"	"4"	"43"	"5"	"1"	"10"	"0"	"0"	"1"	"0"	"4"	"0"	"2"	"1"	"15"	"295"	"0"	"295"	"0"
"83"	"70"	"150"	"9"	"60"	"19"	"1"	"42"	"0"	"3"	"19"	"6"	"9"	"10"	"8"	"7"	"15"	"358"	"0"	"358"	"0"
"84"	"Round Total"	"2558"	"152"	"2290"	"304"	"33"	"369"	"28"	"37"	"120"	"40"	"75"	"111"	"120"	"139"	"218"	"6594"	"0"	"6594"	"0"
"85"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"86"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"87"	"71"	"272"	"15"	"68"	"6"	"1"	"28"	"4"	"3"	"3"	"9"	"2"	"8"	"7"	"4"	"8"	"438"	"0"	"438"	"0"
"88"	"72"	"95"	"7"	"400"	"13"	"1"	"5"	"1"	"2"	"1"	"1"	"0"	"3"	"2"	"26"	"3"	"560"	"0"	"560"	"0"
"89"	"73"	"96"	"2"	"22"	"1"	"0"	"45"	"0"	"1"	"0"	"2"	"1"	"4"	"0"	"1"	"2"	"177"	"0"	"177"	"0"
"90"	"74"	"67"	"2"	"416"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"4"	"511"	"0"	"511"	"0"
"91"	"75"	"151"	"10"	"158"	"3"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"2"	"3"	"20"	"15"	"368"	"0"	"368"	"0"
"92"	"76"	"384"	"17"	"207"	"11"	"1"	"15"	"4"	"5"	"6"	"0"	"2"	"2"	"6"	"11"	"26"	"697"	"0"	"697"	"0"
"93"	"77"	"246"	"18"	"152"	"2"	"3"	"25"	"3"	"5"	"4"	"2"	"5"	"3"	"7"	"12"	"15"	"502"	"0"	"502"	"0"
"94"	"78"	"169"	"16"	"241"	"16"	"4"	"25"	"1"	"1"	"3"	"1"	"3"	"3"	"3"	"17"	"10"	"513"	"0"	"513"	"0"
"95"	"79"	"224"	"13"	"104"	"3"	"1"	"31"	"2"	"2"	"6"	"7"	"11"	"7"	"12"	"9"	"23"	"455"	"0"	"455"	"0"
"96"	"80"	"151"	"9"	"224"	"27"	"2"	"4"	"5"	"1"	"7"	"4"	"2"	"4"	"8"	"0"	"3"	"451"	"0"	"451"	"0"
"97"	"81"	"117"	"12"	"132"	"6"	"1"	"1"	"1"	"2"	"5"	"0"	"2"	"6"	"11"	"17"	"9"	"322"	"0"	"322"	"0"
"98"	"82"	"3"	"1"	"367"	"2"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"382"	"0"	"382"	"0"
"99"	"83"	"1"	"0"	"679"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"680"	"0"	"680"	"0"
"100"	"84"	"108"	"1"	"201"	"9"	"2"	"111"	"3"	"1"	"8"	"1"	"3"	"1"	"5"	"0"	"4"	"458"	"0"	"458"	"0"
"101"	"Round Total"	"2084"	"123"	"3371"	"101"	"18"	"304"	"24"	"24"	"47"	"28"	"32"	"44"	"67"	"125"	"122"	"6514"	"0"	"6514"	"0"
"102"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"103"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"104"	"85"	"143"	"14"	"189"	"10"	"2"	"6"	"1"	"1"	"2"	"2"	"4"	"4"	"16"	"15"	"14"	"423"	"0"	"423"	"0"
"105"	"86"	"41"	"14"	"252"	"7"	"1"	"3"	"3"	"0"	"2"	"1"	"2"	"1"	"9"	"27"	"2"	"365"	"0"	"365"	"0"
"106"	"87"	"38"	"8"	"316"	"8"	"1"	"3"	"2"	"6"	"1"	"3"	"5"	"4"	"19"	"11"	"10"	"435"	"0"	"435"	"0"
"107"	"88"	"36"	"10"	"462"	"6"	"3"	"1"	"2"	"3"	"4"	"2"	"0"	"4"	"11"	"4"	"3"	"551"	"0"	"551"	"0"
"108"	"89"	"7"	"0"	"602"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"619"	"0"	"619"	"0"
"109"	"90"	"5"	"2"	"343"	"3"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"2"	"2"	"365"	"0"	"365"	"0"
"110"	"91"	"1"	"2"	"657"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"665"	"0"	"665"	"0"
"111"	"92"	"70"	"2"	"189"	"6"	"1"	"4"	"0"	"6"	"34"	"0"	"6"	"6"	"12"	"2"	"14"	"352"	"0"	"352"	"0"
"112"	"93"	"217"	"22"	"111"	"7"	"4"	"9"	"4"	"3"	"27"	"0"	"5"	"8"	"11"	"9"	"24"	"461"	"0"	"461"	"0"
"113"	"94"	"161"	"22"	"77"	"7"	"0"	"4"	"3"	"2"	"0"	"1"	"3"	"1"	"3"	"2"	"5"	"291"	"0"	"291"	"0"
"114"	"95"	"427"	"9"	"88"	"0"	"0"	"5"	"5"	"0"	"1"	"1"	"4"	"3"	"6"	"12"	"23"	"584"	"0"	"584"	"0"
"115"	"96"	"322"	"11"	"15"	"1"	"1"	"1"	"4"	"1"	"2"	"0"	"2"	"2"	"0"	"3"	"20"	"385"	"0"	"385"	"0"
"116"	"97"	"413"	"10"	"38"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"3"	"0"	"5"	"3"	"26"	"508"	"0"	"508"	"0"
"117"	"98"	"160"	"10"	"314"	"14"	"1"	"10"	"12"	"2"	"3"	"2"	"1"	"4"	"9"	"9"	"10"	"561"	"0"	"561"	"0"
"118"	"Round Total"	"2041"	"136"	"3653"	"74"	"17"	"49"	"40"	"28"	"77"	"15"	"36"	"38"	"102"	"105"	"154"	"6565"	"0"	"6565"	"0"
"119"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"120"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"121"	"99"	"151"	"14"	"529"	"14"	"5"	"12"	"4"	"5"	"3"	"0"	"2"	"3"	"7"	"2"	"2"	"753"	"0"	"753"	"0"
"122"	"100"	"15"	"3"	"459"	"6"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"0"	"7"	"3"	"1"	"501"	"0"	"501"	"0"
"123"	"101"	"254"	"20"	"196"	"14"	"1"	"14"	"2"	"2"	"7"	"5"	"10"	"10"	"9"	"13"	"23"	"580"	"0"	"580"	"0"
"124"	"102"	"212"	"11"	"77"	"5"	"1"	"21"	"0"	"4"	"2"	"6"	"10"	"8"	"11"	"6"	"22"	"396"	"0"	"396"	"0"
"125"	"103"	"325"	"13"	"99"	"8"	"4"	"33"	"4"	"5"	"7"	"9"	"10"	"13"	"12"	"7"	"35"	"584"	"0"	"584"	"0"
"126"	"104"	"227"	"13"	"105"	"16"	"0"	"3"	"1"	"1"	"6"	"1"	"3"	"6"	"18"	"14"	"33"	"447"	"0"	"447"	"0"
"127"	"105"	"229"	"12"	"191"	"12"	"1"	"18"	"1"	"3"	"4"	"4"	"2"	"2"	"12"	"9"	"16"	"516"	"0"	"516"	"0"
"128"	"106"	"146"	"11"	"87"	"49"	"4"	"54"	"10"	"6"	"3"	"7"	"8"	"5"	"7"	"6"	"18"	"421"	"0"	"421"	"0"
"129"	"107"	"376"	"8"	"87"	"6"	"1"	"9"	"0"	"7"	"4"	"2"	"7"	"5"	"13"	"13"	"41"	"579"	"0"	"579"	"0"
"130"	"108"	"43"	"20"	"154"	"3"	"3"	"156"	"6"	"12"	"81"	"5"	"10"	"16"	"8"	"3"	"4"	"524"	"0"	"524"	"0"
"131"	"109"	"62"	"20"	"227"	"20"	"5"	"75"	"4"	"15"	"10"	"11"	"11"	"12"	"29"	"6"	"14"	"521"	"0"	"521"	"0"
"132"	"110"	"95"	"23"	"89"	"1"	"2"	"112"	"6"	"2"	"1"	"7"	"4"	"7"	"5"	"2"	"2"	"358"	"0"	"358"	"0"
"133"	"111"	"50"	"97"	"188"	"2"	"1"	"140"	"2"	"1"	"0"	"5"	"7"	"8"	"0"	"6"	"8"	"515"	"0"	"515"	"0"
"134"	"112"	"106"	"28"	"7"	"1"	"5"	"218"	"2"	"13"	"11"	"8"	"5"	"4"	"1"	"10"	"8"	"427"	"0"	"427"	"0"
"135"	"Round Total"	"2291"	"293"	"2495"	"157"	"33"	"866"	"43"	"77"	"142"	"71"	"89"	"99"	"139"	"100"	"227"	"7122"	"0"	"7122"	"0"
"136"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"137"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"138"	"113"	"65"	"22"	"186"	"6"	"1"	"6"	"0"	"1"	"24"	"1"	"2"	"5"	"2"	"10"	"1"	"332"	"0"	"332"	"0"
"139"	"114"	"68"	"42"	"322"	"15"	"1"	"16"	"2"	"2"	"28"	"2"	"6"	"6"	"18"	"6"	"3"	"537"	"0"	"537"	"0"
"140"	"115"	"54"	"151"	"235"	"2"	"6"	"70"	"1"	"5"	"21"	"1"	"6"	"5"	"2"	"9"	"0"	"568"	"0"	"568"	"0"
"141"	"116"	"62"	"95"	"45"	"7"	"6"	"68"	"8"	"7"	"17"	"5"	"8"	"5"	"5"	"6"	"4"	"348"	"0"	"348"	"0"
"142"	"117"	"136"	"25"	"5"	"0"	"0"	"29"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"12"	"0"	"212"	"0"	"212"	"0"
"143"	"118"	"64"	"28"	"34"	"40"	"3"	"12"	"1"	"4"	"102"	"4"	"6"	"3"	"0"	"15"	"6"	"322"	"0"	"322"	"0"
