"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"55"	"47"	"0"	"12"	"8"	"1"	"0"	""	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"27"	""	"&"	"27"	"&"
"56"	"48"	"0"	"41"	"15"	"0"	"0"	""	"397"	"1"	"0"	"6"	"1"	"1"	"0"	"2"	"464"	""	"&"	"464"	"&"
"57"	"49"	"1"	"40"	"14"	"1"	"1"	""	"632"	"2"	"2"	"6"	"0"	"0"	"0"	"3"	"702"	""	"&"	"702"	"&"
"58"	"50"	"9"	"32"	"5"	"3"	"5"	""	"172"	"135"	"3"	"17"	"14"	"12"	"9"	"18"	"434"	""	"&"	"434"	"&"
"59"	"51"	"21"	"84"	"30"	"6"	"6"	""	"129"	"77"	"8"	"15"	"0"	"2"	"4"	"9"	"391"	""	"&"	"391"	"&"
"60"	"52"	"13"	"331"	"128"	"9"	"6"	""	"51"	"97"	"3"	"3"	"2"	"0"	"1"	"6"	"650"	""	"&"	"650"	"&"
"61"	"53"	"4"	"24"	"4"	"2"	"2"	""	"433"	"8"	"2"	"3"	"1"	"0"	"0"	"2"	"485"	""	"&"	"485"	"&"
"62"	"54"	"2"	"61"	"10"	"3"	"3"	""	"125"	"7"	"2"	"6"	"2"	"3"	"0"	"3"	"227"	""	"&"	"227"	"&"
"63"	"55"	"8"	"91"	"7"	"4"	"4"	""	"161"	"3"	"7"	"0"	"3"	"0"	"0"	"8"	"296"	""	"&"	"296"	"&"
"64"	"56"	"4"	"62"	"6"	"2"	"2"	""	"154"	"0"	"1"	"6"	"11"	"4"	"0"	"1"	"253"	""	"&"	"253"	"&"
"65"	"57"	"21"	"170"	"6"	"2"	"7"	""	"95"	"3"	"2"	"7"	"0"	"1"	"2"	"3"	"319"	""	"&"	"319"	"&"
"66"	"58"	"18"	"59"	"16"	"12"	"7"	""	"124"	"8"	"5"	"13"	"1"	"1"	"1"	"6"	"271"	""	"&"	"271"	"&"
"67"	"59"	"17"	"13"	"15"	"1"	"8"	""	"304"	"12"	"7"	"10"	"1"	"1"	"1"	"11"	"401"	""	"&"	"401"	"&"
"68"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"69"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"70"	"60"	"5"	"68"	"19"	"1"	"7"	""	"182"	"9"	"5"	"10"	"0"	"1"	"2"	"9"	"318"	""	"&"	"318"	"&"
"71"	"61"	"0"	"2"	"2"	"0"	"0"	""	"489"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"501"	""	"&"	"501"	"&"
"72"	"62"	"23"	"91"	"33"	"9"	"9"	""	"428"	"19"	"20"	"27"	"18"	"9"	"2"	"22"	"710"	""	"&"	"710"	"&"
"73"	"63"	"30"	"280"	"21"	"3"	"3"	""	"166"	"0"	"4"	"12"	"4"	"2"	"5"	"17"	"547"	""	"&"	"547"	"&"
"74"	"64"	"9"	"95"	"0"	"1"	"3"	""	"105"	"2"	"5"	"3"	"15"	"3"	"5"	"8"	"254"	""	"&"	"254"	"&"
"75"	"65"	"0"	"0"	"6"	"0"	"1"	""	"311"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	""	"&"	"321"	"&"
"76"	"66"	"13"	"144"	"1"	"0"	"2"	""	"205"	"0"	"2"	"9"	"0"	"0"	"0"	"1"	"377"	""	"&"	"377"	"&"
"77"	"67"	"1"	"445"	"10"	"2"	"2"	""	"141"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"601"	""	"&"	"601"	"&"
"78"	"68"	"21"	"284"	"26"	"4"	"4"	""	"103"	"5"	"4"	"0"	"2"	"0"	"3"	"5"	"461"	""	"&"	"461"	"&"
"79"	"69"	"3"	"70"	"8"	"0"	"4"	""	"166"	"5"	"4"	"6"	"96"	"16"	"2"	"2"	"382"	""	"&"	"382"	"&"
"80"	"70"	"1"	"648"	"135"	"1"	"2"	""	"52"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"840"	""	"&"	"840"	"&"
"81"	"71"	"11"	"244"	"10"	"5"	"2"	""	"79"	"1"	"1"	"6"	"0"	"0"	"1"	"7"	"367"	""	"&"	"367"	"&"
"82"	"72"	"9"	"133"	"8"	"3"	"2"	""	"167"	"16"	"6"	"18"	"5"	"4"	"4"	"10"	"385"	""	"&"	"385"	"&"
"83"	"73"	"10"	"114"	"19"	"3"	"5"	""	"233"	"7"	"4"	"22"	"4"	"4"	"12"	"15"	"452"	""	"&"	"452"	"&"
"84"	"74"	"18"	"135"	"53"	"6"	"5"	""	"157"	"7"	"2"	"13"	"3"	"6"	"5"	"19"	"429"	""	"&"	"429"	"&"
"85"	"75"	"1"	"6"	"61"	"4"	"10"	""	"508"	"18"	"9"	"13"	"2"	"6"	"2"	"8"	"648"	""	"&"	"648"	"&"
"86"	"76"	"0"	"31"	"7"	"5"	"3"	""	"336"	"5"	"1"	"8"	"2"	"0"	"2"	"2"	"402"	""	"&"	"402"	"&"
"87"	"77"	"26"	"197"	"9"	"3"	"9"	""	"69"	"7"	"6"	"1"	"2"	"2"	"1"	"0"	"332"	""	"&"	"332"	"&"
"88"	"78"	"32"	"68"	"2"	"3"	"14"	""	"358"	"15"	"15"	"20"	"5"	"3"	"3"	"8"	"546"	""	"&"	"546"	"&"
"89"	"79"	"26"	"171"	"16"	"3"	"5"	""	"126"	"5"	"10"	"18"	"15"	"7"	"9"	"25"	"436"	""	"&"	"436"	"&"
"90"	"80"	"13"	"47"	"7"	"2"	"10"	""	"261"	"20"	"11"	"39"	"5"	"2"	"11"	"15"	"443"	""	"&"	"443"	"&"
"91"	"81"	"11"	"36"	"0"	"0"	"2"	""	"210"	"6"	"5"	"20"	"4"	"3"	"0"	"11"	"308"	""	"&"	"308"	"&"
"92"	"82"	"0"	"22"	"8"	"0"	"0"	""	"785"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"820"	""	"&"	"820"	"&"
"93"	"83"	"25"	"356"	"29"	"8"	"3"	""	"208"	"7"	"10"	"15"	"1"	"3"	"5"	"9"	"679"	""	"&"	"679"	"&"
"94"	"84"	"7"	"33"	"12"	"3"	"5"	""	"763"	"8"	"4"	"8"	"0"	"0"	"0"	"2"	"845"	""	"&"	"845"	"&"
"95"	"85"	"0"	"5"	"0"	"0"	"0"	""	"295"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"301"	""	"&"	"301"	"&"
"96"	"86"	"4"	"165"	"8"	"1"	"2"	""	"266"	"7"	"5"	"11"	"1"	"2"	"2"	"7"	"481"	""	"&"	"481"	"&"
"97"	"87"	"15"	"69"	"8"	"4"	"7"	""	"169"	"4"	"6"	"35"	"2"	"3"	"1"	"17"	"340"	""	"&"	"340"	"&"
"98"	"88"	"0"	"11"	"4"	"1"	"0"	""	"508"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"525"	""	"&"	"525"	"&"
"99"	"89"	"17"	"59"	"12"	"3"	"4"	""	"171"	"6"	"7"	"23"	"5"	"5"	"5"	"13"	"330"	""	"&"	"330"	"&"
"100"	"90"	"6"	"119"	"9"	"3"	"2"	""	"184"	"3"	"3"	"5"	"0"	"0"	"0"	"10"	"344"	""	"&"	"344"	"&"
"101"	"91"	"2"	"71"	"10"	"2"	"1"	""	"251"	"0"	"2"	"6"	"1"	"1"	"0"	"1"	"348"	""	"&"	"348"	"&"
"102"	"92"	"0"	"20"	"3"	"0"	"1"	""	"242"	"1"	"0"	"5"	"0"	"0"	"1"	"0"	"273"	""	"&"	"273"	"&"
"103"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"104"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"105"	"93"	"26"	"57"	"13"	"2"	"6"	""	"187"	"10"	"3"	"24"	"6"	"7"	"3"	"5"	"349"	""	"&"	"349"	"&"
"106"	"94"	"28"	"186"	"8"	"9"	"6"	""	"246"	"11"	"5"	"15"	"5"	"0"	"3"	"12"	"534"	""	"&"	"534"	"&"
"107"	"95"	"0"	"3"	"21"	"0"	"1"	""	"689"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"715"	""	"&"	"715"	"&"
"108"	"96"	"15"	"64"	"7"	"5"	"2"	""	"159"	"4"	"0"	"9"	"2"	"0"	"0"	"5"	"272"	""	"&"	"272"	"&"
"109"	"97"	"16"	"97"	"9"	"2"	"5"	""	"223"	"6"	"4"	"18"	"2"	"6"	"4"	"19"	"411"	""	"&"	"411"	"&"
"110"	"98"	"24"	"100"	"3"	"2"	"1"	""	"102"	"4"	"1"	"11"	"2"	"2"	"4"	"17"	"273"	""	"&"	"273"	"&"
"111"	"99"	"51"	"203"	"16"	"6"	"3"	""	"174"	"13"	"9"	"29"	"8"	"9"	"11"	"31"	"563"	""	"&"	"563"	"&"
"112"	"100"	"81"	"267"	"14"	"6"	"5"	""	"98"	"15"	"9"	"25"	"7"	"3"	"1"	"22"	"553"	""	"&"	"553"	"&"
"113"	"101"	"4"	"116"	"13"	"1"	"3"	""	"132"	"7"	"5"	"9"	"3"	"2"	"3"	"11"	"309"	""	"&"	"309"	"&"
"114"	"102"	"20"	"8"	"11"	"2"	"7"	""	"201"	"6"	"6"	"23"	"4"	"3"	"4"	"7"	"302"	""	"&"	"302"	"&"
"115"	"103"	"16"	"106"	"13"	"5"	"2"	""	"108"	"6"	"9"	"10"	"2"	"2"	"0"	"7"	"286"	""	"&"	"286"	"&"
"116"	"104"	"6"	"203"	"11"	"4"	"2"	""	"142"	"6"	"4"	"9"	"2"	"6"	"8"	"11"	"414"	""	"&"	"414"	"&"
"117"	"105"	"9"	"63"	"66"	"26"	"8"	""	"363"	"10"	"36"	"31"	"11"	"17"	"25"	"39"	"704"	""	"&"	"704"	"&"
"118"	"106"	"34"	"149"	"13"	"1"	"7"	""	"151"	"6"	"5"	"29"	"3"	"1"	"8"	"16"	"423"	""	"&"	"423"	"&"
"119"	"107"	"36"	"97"	"56"	"9"	"9"	""	"275"	"6"	"6"	"35"	"10"	"10"	"8"	"18"	"575"	""	"&"	"575"	"&"
"120"	"108"	"4"	"96"	"9"	"1"	"4"	""	"560"	"6"	"0"	"8"	"1"	"0"	"2"	"2"	"693"	""	"&"	"693"	"&"
"121"	"109"	"2"	"44"	"40"	"2"	"3"	""	"394"	"5"	"0"	"6"	"1"	"0"	"0"	"4"	"501"	""	"&"	"501"	"&"
"122"	"110"	"7"	"53"	"20"	"3"	"4"	""	"328"	"3"	"3"	"15"	"11"	"1"	"0"	"5"	"453"	""	"&"	"453"	"&"
"123"	"111"	"16"	"110"	"17"	"3"	"8"	""	"467"	"13"	"8"	"9"	"3"	"1"	"2"	"12"	"669"	""	"&"	"669"	"&"
"124"	"112"	"4"	"114"	"6"	"5"	"3"	""	"435"	"5"	"3"	"11"	"1"	"0"	"0"	"17"	"604"	""	"&"	"604"	"&"
"125"	"113"	"7"	"134"	"22"	"1"	"2"	""	"259"	"4"	"2"	"9"	"1"	"1"	"0"	"11"	"453"	""	"&"	"453"	"&"
"126"	"114"	"12"	"84"	"11"	"3"	"6"	""	"546"	"10"	"2"	"14"	"0"	"1"	"1"	"11"	"701"	""	"&"	"701"	"&"
"127"	"115"	"11"	"175"	"65"	"5"	"4"	""	"154"	"7"	"7"	"11"	"2"	"1"	"7"	"10"	"459"	""	"&"	"459"	"&"
"128"	"116"	"0"	"5"	"4"	"1"	"5"	""	"691"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"715"	""	"&"	"715"	"&"
"129"	"117"	"12"	"32"	"8"	"1"	"3"	""	"743"	"1"	"4"	"4"	"1"	"0"	"0"	"1"	"810"	""	"&"	"810"	"&"
"130"	"118"	"0"	"27"	"4"	"1"	"0"	""	"991"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"1031"	""	"&"	"1031"	"&"
"131"	"119"	"0"	"13"	"15"	"0"	"4"	""	"910"	"6"	"0"	"1"	"1"	"0"	"1"	"0"	"951"	""	"&"	"951"	"&"
"132"	"120"	"0"	"76"	"36"	"1"	"0"	""	"354"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"475"	""	"&"	"475"	"&"
"133"	"121"	"1"	"534"	"1"	"1"	"0"	""	"81"	"1"	"0"	"6"	"1"	"1"	"0"	"2"	"629"	""	"&"	"629"	"&"
"134"	"122"	"14"	"28"	"12"	"9"	"3"	""	"379"	"10"	"3"	"14"	"4"	"3"	"5"	"13"	"497"	""	"&"	"497"	"&"
"135"	"123"	"3"	"76"	"26"	"1"	"3"	""	"339"	"5"	"3"	"1"	"0"	"0"	"0"	"1"	"458"	""	"&"	"458"	"&"
"136"	"124"	"31"	"140"	"10"	"5"	"10"	""	"142"	"9"	"8"	"20"	"7"	"7"	"2"	"13"	"404"	""	"&"	"404"	"&"
"137"	"125"	"3"	"108"	"4"	"0"	"2"	""	"674"	"2"	"1"	"1"	"11"	"5"	"0"	"0"	"811"	""	"&"	"811"	"&"
"138"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"139"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"140"	"126"	"30"	"150"	"10"	"4"	"5"	""	"97"	"11"	"9"	"20"	"31"	"13"	"3"	"14"	"397"	""	"&"	"397"	"&"
"141"	"127"	"3"	"56"	"10"	"0"	"5"	""	"521"	"2"	"5"	"5"	"0"	"0"	"1"	"2"	"610"	""	"&"	"610"	"&"
"142"	"128"	"1"	"715"	"5"	"0"	"2"	""	"187"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"910"	""	"&"	"910"	"&"
"143"	"129"	"5"	"47"	"6"	"0"	"2"	""	"195"	"8"	"1"	"11"	"3"	"4"	"0"	"4"	"286"	""	"&"	"286"	"&"
"144"	"130"	"4"	"56"	"11"	"3"	"3"	""	"383"	"7"	"5"	"9"	"8"	"6"	"1"	"4"	"500"	""	"&"	"500"	"&"
"145"	"131"	"20"	"138"	"43"	"2"	"3"	""	"24"	"2"	"2"	"1"	"7"	"1"	"0"	"2"	"245"	""	"&"	"245"	"&"
"146"	"132"	"22"	"185"	"48"	"9"	"6"	""	"26"	"4"	"2"	"4"	"3"	"6"	"8"	"9"	"332"	""	"&"	"332"	"&"
"147"	"133"	"0"	"27"	"239"	"6"	"2"	""	"12"	"2"	"0"	"2"	"11"	"3"	"2"	"4"	"310"	""	"&"	"310"	"&"
"148"	"134"	"4"	"194"	"5"	"2"	"1"	""	"20"	"1"	"0"	"2"	"0"	"0"	"178"	"1"	"408"	""	"&"	"408"	"&"
"149"	"135"	"1"	"38"	"45"	"1"	"0"	""	"463"	"0"	"0"	"8"	"2"	"0"	"132"	"3"	"693"	""	"&"	"693"	"&"
"150"	"136"	"1"	"24"	"76"	"4"	"6"	""	"261"	"1"	"0"	"2"	"0"	"1"	"0"	"2"	"378"	""	"&"	"378"	"&"
"151"	"137"	"29"	"125"	"26"	"4"	"6"	""	"290"	"6"	"8"	"16"	"6"	"3"	"8"	"17"	"544"	""	"&"	"544"	"&"
"152"	"138"	"3"	"171"	"17"	"8"	"2"	""	"84"	"3"	"5"	"2"	"2"	"3"	"2"	"13"	"315"	""	"&"	"315"	"&"
"153"	"139"	"11"	"79"	"2"	"1"	"6"	""	"376"	"3"	"2"	"4"	"3"	"5"	"4"	"9"	"505"	""	"&"	"505"	"&"
"154"	"140"	"7"	"122"	"7"	"1"	"2"	""	"289"	"2"	"6"	"5"	"7"	"5"	"2"	"3"	"458"	""	"&"	"458"	"&"
"155"	"141"	"23"	"140"	"30"	"3"	"9"	""	"307"	"7"	"4"	"14"	"42"	"23"	"4"	"8"	"614"	""	"&"	"614"	"&"
"156"	"142"	"12"	"187"	"54"	"11"	"10"	""	"99"	"10"	"2"	"12"	"4"	"9"	"10"	"19"	"439"	""	"&"	"439"	"&"
"157"	"143"	"2"	"191"	"5"	"1"	"1"	""	"107"	"2"	"0"	"6"	"0"	"1"	"1"	"2"	"319"	""	"&"	"319"	"&"
"158"	"144"	"0"	"50"	"35"	"0"	"2"	""	"522"	"2"	"2"	"3"	"5"	"3"	"1"	"0"	"625"	""	"&"	"625"	"&"
"159"	"145"	"10"	"116"	"21"	"5"	"2"	""	"225"	"9"	"5"	"8"	"3"	"6"	"3"	"15"	"428"	""	"&"	"428"	"&"
"160"	"146"	"43"	"175"	"19"	"6"	"15"	""	"229"	"6"	"4"	"19"	"19"	"3"	"3"	"16"	"557"	""	"&"	"557"	"&"
