"PS.NO"	"ASHOK.KUMAR.SINGH"	"MAHESHWAR.PRASAD.YADAV"	"RAM.BABU.SINGH"	"AJAY.SINGH"	"CHANDAN.KUMAR.SINGH"	"JITENDRA.YADAV"	"BAKHTIYAR.AHMAD"	"MEERA.DEVI"	"SATYANARAYAN.MANDAL"	"RAMBHA.SINHA"	"VAKIL.SAHANI"	"VIJYA.SINGH"	"MD..SOHAIL"	"SANJEEV.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"61"	60	398	0	0	0	0	0	0	0	0	0	5	2	0	0	-405	""	""
"62"	61	159	230	8	3	1	2	2	2	4	5	4	4	12	12	-448	""	""
"63"	62	368	16	1	0	0	0	0	0	7	2	13	11	2	1	-421	""	""
"64"	63	2	512	0	0	0	4	6	0	0	0	0	1	0	0	-525	""	""
"65"	64	102	162	10	9	7	12	82	16	15	4	70	17	9	6	-521	""	""
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"67"	65	19	116	7	2	1	2	32	1	2	3	14	12	10	5	-226	""	""
"68"	66	130	59	8	4	1	4	17	8	29	9	124	74	6	5	-478	""	""
"69"	67	38	72	2	6	0	0	15	3	31	5	4	87	14	5	-282	""	""
"70"	68	69	0	0	0	0	0	29	0	3	3	25	125	0	1	-255	""	""
"71"	69	104	95	11	7	1	4	38	1	2	7	5	45	7	6	-333	""	""
"72"	70	104	103	6	7	2	6	29	5	6	3	38	7	8	3	-327	""	""
"73"	71	169	102	17	4	6	1	58	5	7	8	4	57	10	8	-456	""	""
"74"	72	220	102	3	2	2	3	70	2	7	2	30	30	13	8	-494	""	""
"75"	73	64	229	5	3	2	1	216	3	7	3	24	4	16	4	-581	""	""
"76"	74	81	90	3	8	3	4	94	6	16	12	38	136	58	9	-558	""	""
"77"	75	28	88	4	7	1	3	62	1	2	0	14	16	9	2	-237	""	""
"78"	76	147	264	6	0	1	0	121	2	6	2	18	7	7	5	-586	""	""
"79"	77	31	55	7	6	1	1	99	3	5	3	53	3	3	3	-273	""	""
"80"	78	4	463	1	0	0	8	2	0	1	0	0	0	0	0	-479	""	""
"81"	79	121	91	17	13	3	7	5	5	9	3	14	61	41	10	-400	""	""
"82"	80	127	348	15	3	1	3	15	4	3	1	33	13	3	1	-570	""	""
"83"	81	286	116	3	5	1	0	54	2	1	2	0	7	3	1	-481	""	""
"84"	82	360	205	28	8	4	2	13	5	3	3	3	3	29	7	-673	""	""
"85"	83	113	308	24	13	4	7	38	9	9	10	78	7	17	5	-642	""	""
"86"	84	85	91	5	0	2	9	101	3	4	3	89	5	11	4	-412	""	""
"87"	85	30	212	19	11	3	1	34	3	5	3	121	7	7	8	-464	""	""
"88"	86	181	84	11	4	5	3	72	0	5	5	38	174	12	7	-601	""	""
"89"	87	32	67	15	2	2	2	0	0	0	3	7	291	7	2	-430	""	""
"90"	88	54	191	10	6	2	15	4	4	6	8	63	59	7	3	-432	""	""
"91"	89	173	41	8	1	0	1	1	29	4	1	0	12	10	2	-283	""	""
"92"	90	221	10	0	0	0	0	0	8	0	0	5	36	3	1	-284	""	""
"93"	91	654	11	1	3	0	0	0	13	1	0	0	37	1	1	-722	""	""
"94"	92	63	52	7	2	1	4	11	1	8	7	99	48	7	3	-313	""	""
"95"	93	126	144	9	6	3	7	7	2	8	8	90	28	32	12	-482	""	""
"96"	94	103	53	7	2	1	0	31	3	5	1	64	20	7	0	-297	""	""
"97"	95	272	167	9	5	0	2	4	0	2	1	16	14	36	8	-536	""	""
"98"	96	324	121	5	2	1	1	2	0	3	3	19	3	34	4	-522	""	""
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"100"	97	17	244	0	0	0	3	0	0	0	1	0	0	0	0	-265	""	""
"101"	98	121	202	5	4	1	0	23	1	3	3	2	5	13	2	-385	""	""
"102"	99	164	58	6	0	0	2	1	4	2	6	29	6	11	2	-291	""	""
"103"	100	29	360	10	6	4	5	8	2	4	5	86	33	5	7	-564	""	""
"104"	101	223	19	4	2	1	4	2	8	13	5	47	67	32	10	-437	""	""
"105"	102	2	456	1	1	0	0	0	0	0	1	11	2	2	1	-477	""	""
"106"	103	55	208	3	3	0	1	2	2	2	5	27	44	6	3	-361	""	""
"107"	104	110	108	33	4	5	3	4	3	2	2	24	9	7	1	-315	""	""
"108"	105	304	24	6	3	1	0	8	1	1	0	5	116	6	0	-475	""	""
"109"	106	229	24	0	0	0	6	0	1	3	1	4	76	13	6	-363	""	""
"110"	107	2	5	0	0	1	1	0	0	1	4	378	1	1	2	-396	""	""
"111"	108	83	351	27	10	3	3	13	4	5	2	34	11	11	8	-565	""	""
"112"	109	61	440	34	10	6	2	9	6	7	3	11	6	16	7	-618	""	""
"113"	110	118	104	8	32	0	3	3	6	6	2	68	6	19	9	-384	""	""
"114"	111	197	233	7	16	2	9	28	7	8	3	10	3	34	8	-565	""	""
"115"	112	143	65	15	6	2	0	47	8	4	3	25	4	4	2	-328	""	""
"116"	113	115	64	5	8	2	1	2	4	0	4	45	80	11	9	-350	""	""
"117"	114	89	259	7	5	5	7	3	2	2	0	5	6	6	1	-397	""	""
"118"	115	114	246	12	7	3	5	4	3	7	8	33	15	20	5	-482	""	""
"119"	116	40	77	2	45	2	6	8	5	1	4	278	1	9	1	-479	""	""
"120"	117	70	254	6	3	0	5	5	3	3	3	368	11	2	8	-741	""	""
"121"	118	29	75	5	9	1	5	4	5	8	3	83	5	12	4	-248	""	""
"122"	119	6	301	9	11	0	5	1	2	1	0	9	0	1	0	-346	""	""
"123"	120	27	209	3	1	0	5	0	3	1	0	113	10	3	3	-378	""	""
"124"	121	23	339	27	6	2	22	8	4	2	2	0	2	8	5	-450	""	""
"125"	122	6	104	10	7	4	5	11	3	2	3	7	1	3	2	-168	""	""
"126"	123	423	13	1	2	12	0	4	0	14	0	22	24	5	1	-521	""	""
"127"	124	266	155	18	7	9	4	11	4	27	9	90	18	26	5	-649	""	""
"128"	125	150	126	13	7	5	4	25	2	8	8	143	82	23	10	-606	""	""
"129"	126	4	41	0	1	1	0	0	0	0	0	385	1	0	0	-433	""	""
"130"	127	403	128	5	9	3	2	2	3	3	2	30	43	9	4	-646	""	""
"131"	128	15	677	4	7	0	18	3	3	0	5	33	3	1	4	-773	""	""
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"133"	129	105	224	11	1	0	0	5	1	0	0	23	5	4	3	-382	""	""
"134"	130	49	101	4	6	3	4	121	8	6	3	31	11	15	2	-364	""	""
"135"	131	40	94	3	3	2	5	5	3	11	3	99	3	9	4	-284	""	""
"136"	132	45	172	15	22	10	16	16	15	9	8	302	7	16	10	-663	""	""
"137"	133	66	280	8	7	0	4	0	7	21	5	92	9	13	3	-515	""	""
"138"	134	35	186	17	8	6	7	6	11	3	6	91	6	0	0	-382	""	""
"139"	135	101	302	13	15	2	11	4	1	5	4	49	3	18	5	-533	""	""
"140"	136	45	370	24	7	6	33	5	5	6	3	28	11	22	11	-576	""	""
"141"	137	113	333	29	9	8	10	7	7	6	4	17	3	19	6	-571	""	""
"142"	138	59	142	6	8	2	21	1	6	6	4	66	6	31	2	-360	""	""
"143"	139	183	146	9	4	3	8	2	2	6	4	35	12	15	1	-430	""	""
"144"	140	11	106	4	1	3	18	83	4	2	0	39	12	2	3	-288	""	""
"145"	141	69	67	9	2	3	3	3	3	3	6	47	106	13	9	-343	""	""
"146"	142	219	56	6	2	1	1	1	0	3	2	75	2	5	4	-377	""	""
"147"	143	289	93	24	8	4	2	2	5	5	2	96	2	12	3	-547	""	""
"148"	144	65	203	6	8	5	9	12	8	16	6	200	7	7	3	-555	""	""
"149"	145	17	191	11	13	4	7	8	4	3	8	212	4	8	7	-497	""	""
"150"	146	73	335	18	3	7	1	4	1	5	2	8	2	12	2	-473	""	""
"151"	147	73	193	13	7	6	11	127	9	2	1	22	5	2	2	-473	""	""
"152"	148	7	97	0	1	0	1	130	2	12	1	1	1	9	1	-263	""	""
"153"	149	52	207	8	5	4	49	3	3	2	5	7	3	10	5	-363	""	""
"154"	150	56	251	17	8	1	44	7	3	0	1	1	2	2	2	-395	""	""
"155"	151	102	535	11	15	4	26	3	3	5	1	25	6	4	2	-742	""	""
"156"	152	162	69	6	7	1	9	33	6	3	10	206	19	7	8	-546	""	""
"157"	153	48	103	10	14	8	10	15	5	23	7	223	13	7	6	-492	""	""
"158"	154	166	142	12	6	10	44	5	5	7	2	58	19	13	3	-492	""	""
"159"	155	70	304	23	9	2	92	5	2	6	5	4	2	8	2	-534	""	""
"160"	156	19	109	9	5	4	60	41	4	5	4	105	6	14	11	-396	""	""
"161"	157	95	166	7	12	4	84	12	3	18	6	60	21	33	8	-529	""	""
"162"	158	111	31	7	4	4	92	5	3	14	5	114	24	12	2	-428	""	""
"163"	159	14	374	5	2	6	36	7	4	3	2	2	4	10	5	-474	""	""
"164"	160	7	545	3	0	0	26	8	0	0	0	14	1	1	0	-605	""	""
"165"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"166"	161	6	47	1	1	1	6	179	12	3	1	2	0	1	2	-262	""	""
"167"	162	6	80	4	7	2	110	88	4	7	3	60	5	10	2	-388	""	""
"168"	163	39	326	20	16	4	3	31	5	31	6	20	94	17	12	-624	""	""
"169"	164	14	148	11	4	2	7	64	2	6	4	65	93	23	15	-458	""	""
"170"	165	86	96	8	13	3	4	3	7	6	6	33	65	27	13	-370	""	""
"171"	166	85	273	24	19	3	0	20	3	6	6	2	10	13	8	-472	""	""
"172"	167	220	82	4	4	0	21	1	3	4	3	18	42	36	6	-444	""	""
"173"	168	57	157	13	4	0	7	1	0	3	2	16	8	28	12	-308	""	""
"174"	169	122	144	14	8	13	71	8	4	7	3	8	15	7	12	-436	""	""
"175"	170	136	34	12	11	4	23	5	4	4	0	3	94	3	4	-337	""	""
"176"	171	160	149	17	6	2	6	3	3	8	8	11	27	19	11	-430	""	""
"177"	172	196	70	0	4	3	40	7	3	5	6	9	57	15	6	-421	""	""
"178"	173	160	3	1	1	1	2	1	0	2	0	8	51	1	2	-233	""	""
"179"	174	203	14	3	1	2	16	8	3	4	3	12	4	5	2	-280	""	""
"180"	175	48	69	2	7	2	182	4	4	10	4	5	6	23	4	-370	""	""
"181"	176	211	42	3	2	2	9	7	4	3	4	36	1	16	8	-348	""	""
"182"	177	469	102	8	1	0	3	2	3	5	0	6	3	10	3	-615	""	""
"183"	178	315	74	6	2	1	3	2	0	10	0	0	2	42	2	-459	""	""
"184"	179	87	112	24	2	3	61	4	3	1	2	24	15	12	2	-352	""	""
"185"	180	86	41	10	8	4	36	6	8	23	4	85	35	12	7	-365	""	""
"186"	181	257	8	0	0	0	2	72	0	2	0	1	0	9	0	-351	""	""
"187"	182	11	105	2	4	2	17	1	2	1	2	45	3	2	0	-197	""	""
"188"	183	50	94	8	5	4	113	87	6	8	0	54	6	12	6	-453	""	""
"189"	184	38	134	7	5	3	1	55	3	7	5	43	3	10	4	-318	""	""
"190"	185	100	158	10	9	3	44	62	10	50	12	49	5	14	3	-529	""	""
"191"	186	46	142	12	10	2	7	23	5	49	6	8	3	9	0	-322	""	""
"192"	187	322	112	5	2	3	10	2	6	5	0	2	7	28	6	-510	""	""
"193"	188	27	227	3	5	2	24	1	1	5	3	88	3	6	7	-402	""	""
"194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"195"	189	21	85	1	3	2	6	5	2	4	5	258	13	8	4	-417	""	""
"196"	190	12	385	2	0	0	4	0	0	1	0	3	0	0	0	-407	""	""
"197"	191	34	425	5	1	0	1	1	1	1	2	17	7	3	0	-498	""	""
"198"	192	44	463	29	10	7	4	4	5	4	2	72	8	31	7	-690	""	""
"199"	193	10	304	9	1	1	34	3	0	9	0	0	3	2	0	-376	""	""
"200"	194	13	202	2	1	1	34	0	1	0	0	0	0	2	0	-256	""	""
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	89288	NA	NA	NA	NA	NA	NA	""	""
"202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	""	""
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	89288	NA	NA	NA	NA	NA	NA	""	""
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
