"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"Total.of.valid.Votes"	"No..of.rejected.votes"	"X..21"	"TOTAL"	"X..22"	"No..of.tendered.Votes"	"X..23"	"X..24"
"31"	"28"	"64"	"173"	"14"	"7"	"64"	"6"	"1"	"4"	"2"	"8"	"5"	"10"	"7"	"237"	"10"	"26"	"6"	"2"	"1"	"1"	"1"	"5"	"654"	"0"	""	"654"	""	"0"	""	""
"32"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"33"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"34"	"29"	"25"	"263"	"9"	"8"	"185"	"6"	"8"	"3"	"5"	"4"	"6"	"5"	"7"	"130"	"17"	"16"	"10"	"4"	"2"	"2"	"10"	"5"	"730"	"0"	""	"730"	""	"0"	""	""
"35"	"30"	"11"	"22"	"2"	"6"	"80"	"1"	"3"	"0"	"1"	"2"	"2"	"6"	"4"	"204"	"4"	"12"	"18"	"7"	"18"	"2"	"6"	"4"	"415"	"0"	""	"415"	""	"0"	""	""
"36"	"31"	"20"	"87"	"4"	"14"	"265"	"8"	"4"	"9"	"6"	"1"	"5"	"6"	"7"	"386"	"8"	"7"	"19"	"7"	"6"	"4"	"19"	"15"	"907"	"0"	""	"907"	""	"0"	""	""
"37"	"32"	"25"	"137"	"31"	"10"	"198"	"7"	"2"	"4"	"7"	"7"	"5"	"5"	"5"	"39"	"5"	"19"	"0"	"4"	"35"	"48"	"5"	"2"	"600"	"0"	""	"600"	""	"0"	""	""
"38"	"33"	"9"	"34"	"5"	"16"	"171"	"4"	"1"	"1"	"4"	"5"	"4"	"6"	"5"	"108"	"9"	"19"	"2"	"3"	"6"	"25"	"2"	"6"	"445"	"0"	""	"445"	""	"0"	""	""
"39"	"34"	"14"	"237"	"22"	"14"	"102"	"6"	"4"	"3"	"4"	"9"	"13"	"21"	"12"	"45"	"16"	"50"	"9"	"35"	"131"	"38"	"6"	"10"	"801"	"0"	""	"801"	""	"0"	""	""
"40"	"35"	"14"	"223"	"15"	"19"	"62"	"1"	"1"	"4"	"9"	"1"	"3"	"0"	"4"	"37"	"3"	"8"	"13"	"9"	"26"	"2"	"1"	"6"	"461"	"0"	""	"461"	""	"0"	""	""
"41"	"36"	"19"	"180"	"23"	"30"	"154"	"9"	"2"	"2"	"12"	"10"	"16"	"9"	"38"	"33"	"8"	"9"	"2"	"2"	"22"	"2"	"5"	"3"	"590"	"0"	""	"590"	""	"0"	""	""
"42"	"37"	"10"	"113"	"16"	"7"	"113"	"1"	"5"	"3"	"7"	"9"	"17"	"6"	"36"	"22"	"9"	"12"	"19"	"12"	"23"	"238"	"16"	"14"	"708"	"0"	""	"708"	""	"0"	""	""
"43"	"38"	"10"	"132"	"28"	"38"	"71"	"4"	"0"	"3"	"6"	"6"	"5"	"8"	"19"	"13"	"9"	"17"	"5"	"4"	"297"	"9"	"4"	"9"	"697"	"0"	""	"697"	""	"0"	""	""
"44"	"39"	"10"	"103"	"3"	"12"	"33"	"2"	"0"	"0"	"4"	"5"	"2"	"6"	"2"	"8"	"1"	"10"	"7"	"6"	"169"	"11"	"1"	"5"	"400"	"0"	""	"400"	""	"0"	""	""
"45"	"40"	"15"	"217"	"30"	"52"	"29"	"2"	"2"	"5"	"4"	"4"	"11"	"4"	"32"	"20"	"4"	"23"	"13"	"17"	"30"	"33"	"6"	"7"	"560"	"0"	""	"560"	""	"0"	""	""
"46"	"41"	"30"	"247"	"50"	"12"	"49"	"0"	"0"	"1"	"11"	"27"	"17"	"25"	"37"	"20"	"14"	"58"	"6"	"12"	"227"	"18"	"3"	"6"	"870"	"0"	""	"870"	""	"0"	""	""
"47"	"42"	"19"	"92"	"102"	"6"	"18"	"3"	"4"	"2"	"10"	"24"	"8"	"27"	"15"	"18"	"14"	"55"	"10"	"10"	"178"	"5"	"6"	"12"	"638"	"0"	""	"638"	""	"0"	""	""
"48"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"49"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"50"	"43"	"17"	"93"	"145"	"79"	"8"	"7"	"3"	"2"	"5"	"17"	"4"	"16"	"29"	"7"	"4"	"26"	"13"	"15"	"271"	"12"	"2"	"9"	"784"	"0"	""	"784"	""	"0"	""	""
"51"	"44"	"23"	"195"	"12"	"20"	"130"	"1"	"4"	"6"	"17"	"13"	"14"	"25"	"18"	"7"	"12"	"52"	"2"	"4"	"130"	"10"	"4"	"5"	"704"	"0"	""	"704"	""	"0"	""	""
"52"	"45"	"7"	"50"	"8"	"8"	"73"	"3"	"4"	"3"	"15"	"13"	"19"	"18"	"41"	"10"	"1"	"17"	"7"	"7"	"134"	"8"	"3"	"2"	"451"	"0"	""	"451"	""	"0"	""	""
"53"	"46"	"12"	"116"	"7"	"8"	"61"	"3"	"1"	"1"	"7"	"6"	"15"	"12"	"42"	"9"	"8"	"40"	"3"	"9"	"235"	"10"	"4"	"11"	"620"	"0"	""	"620"	""	"0"	""	""
"54"	"47"	"12"	"100"	"15"	"35"	"12"	"2"	"1"	"0"	"2"	"9"	"20"	"8"	"86"	"13"	"2"	"14"	"4"	"1"	"117"	"4"	"2"	"2"	"461"	"0"	""	"461"	""	"0"	""	""
"55"	"48"	"64"	"243"	"22"	"7"	"75"	"2"	"3"	"3"	"23"	"7"	"11"	"11"	"63"	"28"	"6"	"22"	"9"	"10"	"188"	"51"	"9"	"11"	"868"	"0"	""	"868"	""	"0"	""	""
"56"	"49"	"21"	"238"	"53"	"16"	"9"	"0"	"5"	"1"	"11"	"14"	"7"	"8"	"16"	"13"	"11"	"13"	"3"	"9"	"244"	"10"	"3"	"2"	"707"	"0"	""	"707"	""	"0"	""	""
"57"	"50"	"94"	"114"	"11"	"7"	"49"	"6"	"0"	"2"	"45"	"12"	"5"	"5"	"13"	"2"	"2"	"17"	"12"	"13"	"333"	"6"	"5"	"4"	"757"	"0"	""	"757"	""	"0"	""	""
"58"	"51"	"16"	"88"	"2"	"4"	"11"	"1"	"0"	"7"	"27"	"3"	"11"	"8"	"76"	"29"	"4"	"18"	"8"	"3"	"163"	"12"	"3"	"1"	"495"	"0"	""	"495"	""	"0"	""	""
"59"	"52"	"9"	"61"	"10"	"5"	"12"	"1"	"1"	"0"	"13"	"9"	"3"	"15"	"12"	"7"	"9"	"16"	"6"	"6"	"268"	"14"	"9"	"13"	"499"	"0"	""	"499"	""	"0"	""	""
"60"	"53"	"29"	"170"	"22"	"5"	"135"	"7"	"4"	"0"	"5"	"5"	"8"	"7"	"20"	"9"	"3"	"11"	"4"	"1"	"120"	"4"	"1"	"20"	"590"	"0"	""	"590"	""	"0"	""	""
"61"	"54"	"26"	"336"	"19"	"5"	"22"	"4"	"1"	"2"	"12"	"16"	"10"	"19"	"31"	"3"	"9"	"20"	"6"	"5"	"138"	"3"	"8"	"17"	"712"	"0"	""	"712"	""	"0"	""	""
"62"	"55"	"11"	"181"	"77"	"8"	"3"	"6"	"2"	"1"	"2"	"1"	"2"	"3"	"16"	"4"	"6"	"7"	"2"	"6"	"11"	"2"	"0"	"2"	"353"	"0"	""	"353"	""	"0"	""	""
"63"	"56"	"8"	"118"	"28"	"1"	"23"	"2"	"0"	"1"	"7"	"1"	"5"	"6"	"126"	"7"	"3"	"14"	"1"	"7"	"62"	"3"	"3"	"11"	"437"	"0"	""	"437"	""	"0"	""	""
"64"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"65"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"66"	"57"	"16"	"307"	"16"	"18"	"55"	"18"	"4"	"7"	"13"	"17"	"35"	"15"	"120"	"21"	"16"	"31"	"5"	"6"	"36"	"23"	"7"	"87"	"873"	"0"	""	"873"	""	"0"	""	""
"67"	"58"	"12"	"108"	"369"	"13"	"35"	"6"	"21"	"2"	"4"	"28"	"5"	"12"	"5"	"15"	"16"	"25"	"1"	"1"	"3"	"2"	"0"	"3"	"686"	"0"	""	"686"	""	"0"	""	""
"68"	"59"	"7"	"68"	"3"	"6"	"94"	"3"	"1"	"1"	"1"	"4"	"2"	"6"	"5"	"16"	"15"	"18"	"26"	"27"	"17"	"12"	"333"	"26"	"691"	"0"	""	"691"	""	"0"	""	""
"69"	"60"	"5"	"99"	"6"	"1"	"24"	"0"	"2"	"0"	"0"	"0"	"8"	"2"	"14"	"7"	"6"	"12"	"7"	"7"	"4"	"4"	"133"	"11"	"352"	"0"	""	"352"	""	"0"	""	""
"70"	"61"	"18"	"199"	"8"	"13"	"287"	"6"	"2"	"3"	"2"	"6"	"5"	"14"	"21"	"7"	"17"	"26"	"1"	"5"	"18"	"1"	"5"	"0"	"664"	"0"	""	"664"	""	"0"	""	""
"71"	"62"	"49"	"202"	"25"	"4"	"104"	"3"	"5"	"2"	"6"	"3"	"5"	"5"	"3"	"5"	"5"	"16"	"3"	"5"	"19"	"1"	"31"	"0"	"501"	"0"	""	"501"	""	"0"	""	""
"72"	"63"	"23"	"198"	"32"	"6"	"35"	"2"	"3"	"2"	"10"	"2"	"7"	"6"	"91"	"4"	"3"	"6"	"7"	"5"	"40"	"3"	"4"	"2"	"491"	"0"	""	"491"	""	"0"	""	""
"73"	"64"	"18"	"321"	"117"	"4"	"4"	"3"	"3"	"4"	"6"	"11"	"13"	"10"	"71"	"12"	"10"	"16"	"4"	"4"	"22"	"0"	"0"	"5"	"658"	"0"	""	"658"	""	"0"	""	""
"74"	"65"	"17"	"334"	"60"	"9"	"28"	"4"	"1"	"5"	"6"	"5"	"6"	"14"	"46"	"37"	"11"	"22"	"1"	"3"	"57"	"5"	"2"	"3"	"676"	"0"	""	"676"	""	"0"	""	""
"75"	"66"	"32"	"192"	"21"	"29"	"64"	"5"	"4"	"1"	"10"	"9"	"8"	"13"	"21"	"31"	"9"	"12"	"7"	"10"	"201"	"73"	"4"	"10"	"766"	"0"	""	"766"	""	"0"	""	""
"76"	"67"	"5"	"92"	"21"	"6"	"63"	"2"	"1"	"1"	"5"	"3"	"2"	"6"	"3"	"5"	"4"	"21"	"2"	"13"	"399"	"8"	"4"	"0"	"666"	"0"	""	"666"	""	"0"	""	""
"77"	"68"	"23"	"54"	"52"	"16"	"40"	"2"	"3"	"1"	"5"	"15"	"8"	"18"	"6"	"70"	"5"	"21"	"6"	"7"	"179"	"6"	"2"	"1"	"540"	"0"	""	"540"	""	"0"	""	""
"78"	"69"	"14"	"55"	"6"	"6"	"3"	"0"	"1"	"1"	"3"	"0"	"1"	"12"	"3"	"2"	"0"	"4"	"5"	"7"	"662"	"9"	"4"	"2"	"800"	"0"	""	"800"	""	"0"	""	""
"79"	"70"	"7"	"97"	"34"	"3"	"16"	"4"	"0"	"0"	"4"	"4"	"4"	"7"	"1"	"11"	"3"	"16"	"2"	"6"	"127"	"4"	"5"	"4"	"359"	"0"	""	"359"	""	"0"	""	""
"80"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"81"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"82"	"71"	"16"	"64"	"13"	"6"	"77"	"0"	"0"	"2"	"6"	"0"	"3"	"6"	"47"	"22"	"7"	"11"	"24"	"6"	"26"	"64"	"184"	"11"	"595"	"0"	""	"595"	""	"0"	""	""
"83"	"72"	"27"	"249"	"10"	"3"	"27"	"1"	"0"	"4"	"14"	"8"	"5"	"4"	"14"	"10"	"11"	"15"	"1"	"10"	"24"	"44"	"3"	"7"	"491"	"0"	""	"491"	""	"0"	""	""
"84"	"73"	"14"	"207"	"20"	"5"	"120"	"7"	"5"	"1"	"22"	"3"	"7"	"3"	"15"	"32"	"10"	"13"	"2"	"4"	"36"	"3"	"2"	"2"	"533"	"0"	""	"533"	""	"0"	""	""
"85"	"74"	"31"	"117"	"10"	"7"	"242"	"5"	"1"	"0"	"62"	"3"	"4"	"2"	"4"	"16"	"2"	"6"	"18"	"10"	"41"	"8"	"16"	"13"	"618"	"0"	""	"618"	""	"0"	""	""
"86"	"75"	"40"	"109"	"130"	"8"	"163"	"8"	"2"	"0"	"13"	"5"	"7"	"7"	"22"	"13"	"2"	"7"	"27"	"15"	"146"	"8"	"36"	"6"	"774"	"0"	""	"774"	""	"0"	""	""
"87"	"76"	"84"	"135"	"47"	"5"	"3"	"1"	"2"	"0"	"4"	"6"	"4"	"8"	"6"	"2"	"4"	"9"	"14"	"12"	"93"	"4"	"6"	"6"	"455"	"0"	""	"455"	""	"0"	""	""
"88"	"77"	"167"	"174"	"37"	"10"	"2"	"6"	"3"	"5"	"4"	"15"	"4"	"9"	"2"	"4"	"7"	"22"	"8"	"39"	"88"	"3"	"7"	"7"	"623"	"0"	""	"623"	""	"0"	""	""
"89"	"78"	"36"	"268"	"71"	"16"	"95"	"5"	"2"	"2"	"11"	"18"	"11"	"9"	"22"	"22"	"3"	"24"	"13"	"6"	"78"	"1"	"8"	"5"	"726"	"0"	""	"726"	""	"0"	""	""
"90"	"79"	"116"	"174"	"137"	"9"	"7"	"2"	"5"	"3"	"2"	"3"	"6"	"9"	"38"	"4"	"7"	"4"	"7"	"13"	"91"	"6"	"6"	"7"	"656"	"0"	""	"656"	""	"0"	""	""
"91"	"80"	"24"	"129"	"97"	"6"	"84"	"7"	"5"	"1"	"5"	"2"	"7"	"4"	"13"	"11"	"6"	"24"	"8"	"6"	"7"	"5"	"122"	"17"	"590"	"0"	""	"590"	""	"0"	""	""
"92"	"81"	"113"	"263"	"80"	"13"	"6"	"4"	"9"	"3"	"5"	"12"	"10"	"12"	"27"	"7"	"22"	"47"	"21"	"21"	"182"	"8"	"8"	"10"	"883"	"0"	""	"883"	""	"0"	""	""
"93"	"82"	"10"	"97"	"18"	"5"	"32"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"8"	"13"	"9"	"13"	"3"	"145"	"7"	"370"	"0"	""	"370"	""	"0"	""	""
"94"	"83"	"15"	"100"	"205"	"19"	"64"	"4"	"5"	"4"	"7"	"8"	"9"	"14"	"44"	"22"	"10"	"19"	"3"	"7"	"134"	"8"	"6"	"3"	"710"	"0"	""	"710"	""	"0"	""	""
"95"	"84"	"37"	"157"	"441"	"14"	"38"	"10"	"12"	"1"	"7"	"17"	"14"	"10"	"52"	"21"	"9"	"33"	"6"	"4"	"71"	"2"	"3"	"4"	"963"	"0"	""	"963"	""	"0"	""	""
"96"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"97"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
