"X.Statutory.Rules.and.Order.........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"70"	"41"	"388"	"45"	"6"	"10"	"12"	"461"	"0"	"461"	"0"
"71"	"42"	"274"	"110"	"8"	"21"	"9"	"422"	"0"	"422"	"0"
"72"	"Current Round Total"	"6209"	"1928"	"151"	"310"	"134"	"8732"	"0"	"8732"	"0"
"73"	"Previous Round Total"	"11732"	"4537"	"712"	"465"	"343"	"17789"	"0"	"17789"	"0"
"74"	"TOTAL"	"17941"	"6465"	"863"	"775"	"477"	"26521"	"0"	"26521"	"0"
"75"	"(Statutory Rules and Order)                                                        ROUND : FOURTH"	""	""	""	""	""	""	""	""	""
"76"	"FORM 20"	""	""	""	""	""	""	""	""	""
"77"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"78"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"79"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"80"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"81"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"83"	"43"	"374"	"134"	"12"	"11"	"7"	"538"	"0"	"538"	"0"
"84"	"44"	"174"	"125"	"8"	"10"	"2"	"319"	"0"	"319"	"0"
"85"	"45"	"269"	"423"	"17"	"24"	"13"	"746"	"0"	"746"	"0"
"86"	"46"	"414"	"132"	"10"	"23"	"5"	"584"	"0"	"584"	"0"
"87"	"47"	"188"	"263"	"11"	"10"	"5"	"477"	"0"	"477"	"0"
"88"	"48"	"222"	"194"	"5"	"9"	"7"	"437"	"0"	"437"	"0"
"89"	"49"	"420"	"266"	"12"	"11"	"9"	"718"	"0"	"718"	"0"
"90"	"50"	"365"	"286"	"12"	"24"	"9"	"696"	"0"	"696"	"0"
"91"	"51"	"283"	"587"	"6"	"10"	"3"	"889"	"0"	"889"	"0"
"92"	"52"	"502"	"309"	"12"	"42"	"14"	"879"	"0"	"879"	"0"
"93"	"53"	"498"	"205"	"10"	"24"	"24"	"761"	"0"	"761"	"0"
"94"	"54"	"361"	"289"	"20"	"16"	"15"	"701"	"0"	"701"	"0"
"95"	"55"	"329"	"235"	"20"	"10"	"4"	"598"	"0"	"598"	"0"
"96"	"56"	"494"	"78"	"38"	"17"	"14"	"641"	"0"	"641"	"0"
"97"	"Current Round Total"	"4893"	"3526"	"193"	"241"	"131"	"8984"	"0"	"8984"	"0"
"98"	"Previous Round Total"	"17941"	"6465"	"863"	"775"	"477"	"26521"	"0"	"26521"	"0"
"99"	"TOTAL"	"22834"	"9991"	"1056"	"1016"	"608"	"35505"	"0"	"35505"	"0"
"100"	"(Statutory Rules and Order)                                                        ROUND : FIFTH"	""	""	""	""	""	""	""	""	""
"101"	"FORM 20"	""	""	""	""	""	""	""	""	""
"102"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"103"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"104"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"105"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"106"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"108"	"57"	"313"	"103"	"20"	"17"	"12"	"465"	"0"	"465"	"0"
"109"	"58"	"399"	"136"	"21"	"20"	"33"	"609"	"0"	"609"	"0"
"110"	"59"	"180"	"262"	"9"	"9"	"14"	"474"	"0"	"474"	"0"
"111"	"60"	"485"	"284"	"21"	"20"	"13"	"823"	"0"	"823"	"0"
"112"	"61"	"597"	"90"	"34"	"12"	"15"	"748"	"0"	"748"	"0"
"113"	"62"	"153"	"487"	"56"	"22"	"23"	"741"	"0"	"741"	"0"
"114"	"63"	"70"	"137"	"181"	"6"	"11"	"405"	"0"	"405"	"0"
"115"	"64"	"273"	"104"	"30"	"14"	"12"	"433"	"0"	"433"	"0"
"116"	"65"	"175"	"176"	"244"	"10"	"20"	"625"	"0"	"625"	"0"
"117"	"66"	"276"	"100"	"44"	"5"	"10"	"435"	"0"	"435"	"0"
"118"	"67"	"244"	"161"	"43"	"23"	"20"	"491"	"0"	"491"	"0"
"119"	"68"	"107"	"207"	"221"	"17"	"30"	"582"	"0"	"582"	"0"
"120"	"69"	"214"	"63"	"184"	"14"	"27"	"502"	"0"	"502"	"0"
"121"	"70"	"221"	"152"	"106"	"16"	"18"	"513"	"0"	"513"	"0"
"122"	"Current Round Total"	"3707"	"2462"	"1214"	"205"	"258"	"7846"	"0"	"7846"	"0"
"123"	"Previous Round Total"	"22834"	"9991"	"1056"	"1016"	"608"	"35505"	"0"	"35505"	"0"
"124"	"TOTAL"	"26541"	"12453"	"2270"	"1221"	"866"	"43351"	"0"	"43351"	"0"
"125"	"(Statutory Rules and Order)                                                        ROUND : SIXTH"	""	""	""	""	""	""	""	""	""
"126"	"FORM 20"	""	""	""	""	""	""	""	""	""
"127"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"128"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"129"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"130"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"131"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"132"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"133"	"71"	"261"	"156"	"89"	"14"	"18"	"538"	""	"538"	""
"134"	"72"	"357"	"196"	"46"	"15"	"9"	"623"	""	"623"	""
"135"	"73"	"408"	"233"	"69"	"11"	"11"	"732"	""	"732"	""
"136"	"74"	"154"	"58"	"219"	"9"	"11"	"451"	""	"451"	""
"137"	"75"	"367"	"99"	"258"	"48"	"56"	"828"	""	"828"	""
"138"	"76"	"232"	"46"	"173"	"5"	"18"	"474"	""	"474"	""
"139"	"77"	"412"	"75"	"125"	"25"	"23"	"660"	""	"660"	""
"140"	"78"	"286"	"50"	"28"	"6"	"2"	"372"	""	"372"	""
"141"	"79"	"196"	"58"	"182"	"13"	"18"	"467"	""	"467"	""
"142"	"80"	"302"	"197"	"56"	"17"	"12"	"584"	""	"584"	""
"143"	"81"	"150"	"240"	"107"	"12"	"15"	"524"	""	"524"	""
"144"	"82"	"130"	"267"	"51"	"20"	"16"	"484"	""	"484"	""
"145"	"83"	"134"	"185"	"19"	"20"	"14"	"372"	""	"372"	""
"146"	"84"	"579"	"94"	"36"	"14"	"2"	"725"	""	"725"	""
"147"	"Current Round Total"	"3968"	"1954"	"1458"	"229"	"225"	"7834"	"0"	"7834"	"0"
"148"	"Previous Round Total"	"26541"	"12453"	"2270"	"1221"	"866"	"43351"	"0"	"43351"	"0"
"149"	"TOTAL"	"30509"	"14407"	"3728"	"1450"	"1091"	"51185"	"0"	"51185"	"0"
"150"	"(Statutory Rules and Order)                                                        ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""
"151"	"FORM 20"	""	""	""	""	""	""	""	""	""
"152"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"153"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"154"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"155"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"156"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"158"	"85"	"350"	"306"	"20"	"31"	"9"	"716"	""	"716"	""
"159"	"86"	"560"	"241"	"18"	"35"	"28"	"882"	""	"882"	""
"160"	"87"	"303"	"43"	"5"	"10"	"7"	"368"	""	"368"	""
"161"	"88"	"267"	"121"	"7"	"3"	"4"	"402"	""	"402"	""
"162"	"89"	"513"	"123"	"78"	"32"	"14"	"760"	""	"760"	""
"163"	"90"	"236"	"89"	"111"	"9"	"23"	"468"	""	"468"	""
"164"	"91"	"149"	"51"	"124"	"35"	"17"	"376"	""	"376"	""
"165"	"92"	"519"	"45"	"26"	"11"	"21"	"622"	""	"622"	""
"166"	"93"	"516"	"138"	"22"	"23"	"13"	"712"	""	"712"	""
"167"	"94"	"400"	"141"	"18"	"21"	"22"	"602"	""	"602"	""
"168"	"95"	"296"	"51"	"19"	"18"	"15"	"399"	""	"399"	""
"169"	"96"	"416"	"81"	"10"	"11"	"17"	"535"	""	"535"	""
"170"	"97"	"326"	"102"	"11"	"13"	"5"	"457"	""	"457"	""
"171"	"98"	"326"	"114"	"17"	"39"	"24"	"520"	""	"520"	""
"172"	"Current Round Total"	"5177"	"1646"	"486"	"291"	"219"	"7819"	"0"	"7819"	"0"
"173"	"Previous Round Total"	"30509"	"14407"	"3728"	"1450"	"1091"	"51185"	"0"	"51185"	"0"
"174"	"TOTAL"	"35686"	"16053"	"4214"	"1741"	"1310"	"59004"	"0"	"59004"	"0"
"175"	"(Statutory Rules and Order)                                                        ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""
"176"	"FORM 20"	""	""	""	""	""	""	""	""	""
"177"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"178"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"179"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"180"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"181"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"183"	"99"	"469"	"135"	"26"	"12"	"9"	"651"	""	"651"	""
"184"	"100"	"250"	"104"	"62"	"22"	"18"	"456"	""	"456"	""
"185"	"101"	"278"	"215"	"83"	"33"	"45"	"654"	""	"654"	""
"186"	"102"	"259"	"220"	"94"	"35"	"56"	"664"	""	"664"	""
"187"	"103"	"282"	"168"	"154"	"29"	"21"	"654"	""	"654"	""
"188"	"104"	"437"	"126"	"34"	"32"	"15"	"644"	""	"644"	""
"189"	"105"	"132"	"231"	"130"	"14"	"23"	"530"	""	"530"	""
"190"	"106"	"21"	"88"	"274"	"13"	"38"	"434"	""	"434"	""
"191"	"107"	"46"	"218"	"258"	"18"	"133"	"673"	""	"673"	""
"192"	"108"	"546"	"74"	"145"	"34"	"40"	"839"	""	"839"	""
"193"	"109"	"113"	"266"	"258"	"19"	"26"	"682"	""	"682"	""
"194"	"110"	"34"	"193"	"213"	"5"	"18"	"463"	""	"463"	""
"195"	"111"	"182"	"96"	"60"	"29"	"78"	"445"	""	"445"	""
"196"	"112"	"114"	"413"	"168"	"20"	"20"	"735"	""	"735"	""
"197"	"Current Round Total"	"3163"	"2547"	"1959"	"315"	"540"	"8524"	"0"	"8524"	"0"
"198"	"Previous Round Total"	"35686"	"16053"	"4214"	"1741"	"1310"	"59004"	"0"	"59004"	"0"
"199"	"TOTAL"	"38849"	"18600"	"6173"	"2056"	"1850"	"67528"	"0"	"67528"	"0"
"200"	"(Statutory Rules and Order)                                                        ROUND : NINETH"	""	""	""	""	""	""	""	""	""
"201"	"FORM 20"	""	""	""	""	""	""	""	""	""
"202"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"203"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"204"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"205"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"206"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"208"	"113"	"333"	"193"	"63"	"29"	"16"	"634"	""	"634"	""
"209"	"114"	"214"	"141"	"221"	"32"	"16"	"624"	""	"624"	""
"210"	"115"	"261"	"163"	"142"	"26"	"5"	"597"	""	"597"	""
"211"	"116"	"217"	"69"	"166"	"30"	"9"	"491"	""	"491"	""
"212"	"117"	"313"	"71"	"99"	"27"	"22"	"532"	""	"532"	""
"213"	"118"	"421"	"136"	"81"	"24"	"15"	"677"	""	"677"	""
"214"	"119"	"331"	"105"	"182"	"19"	"37"	"674"	""	"674"	""
"215"	"120"	"243"	"78"	"36"	"8"	"3"	"368"	""	"368"	""
"216"	"121"	"427"	"52"	"14"	"25"	"22"	"540"	""	"540"	""
"217"	"122"	"398"	"121"	"94"	"30"	"18"	"661"	""	"661"	""
"218"	"123"	"181"	"85"	"21"	"7"	"2"	"296"	""	"296"	""
"219"	"124"	"354"	"111"	"75"	"14"	"5"	"559"	""	"559"	""
"220"	"125"	"95"	"72"	"525"	"24"	"53"	"769"	""	"769"	""
"221"	"126"	"67"	"268"	"312"	"14"	"41"	"702"	""	"702"	""
"222"	"Current Round Total"	"3855"	"1665"	"2031"	"309"	"264"	"8124"	"0"	"8124"	"0"
"223"	"Previous Round Total"	"38849"	"18600"	"6173"	"2056"	"1850"	"67528"	"0"	"67528"	"0"
"224"	"TOTAL"	"42704"	"20265"	"8204"	"2365"	"2114"	"75652"	"0"	"75652"	"0"
"225"	"(Statutory Rules and Order)                                                        ROUND : TENTH"	""	""	""	""	""	""	""	""	""
"226"	"FORM 20"	""	""	""	""	""	""	""	""	""
"227"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"228"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"229"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"230"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"231"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"232"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"233"	"127"	"34"	"95"	"299"	"14"	"20"	"462"	""	"462"	""
"234"	"128"	"26"	"98"	"351"	"19"	"35"	"529"	""	"529"	""
"235"	"129"	"83"	"107"	"439"	"28"	"50"	"707"	""	"707"	""
"236"	"130"	"24"	"25"	"543"	"16"	"37"	"645"	""	"645"	""
"237"	"131"	"17"	"13"	"268"	"8"	"15"	"321"	""	"321"	""
"238"	"132"	"47"	"35"	"395"	"17"	"34"	"528"	""	"528"	""
"239"	"133"	"296"	"79"	"106"	"20"	"30"	"531"	""	"531"	""
"240"	"134"	"246"	"209"	"203"	"18"	"24"	"700"	""	"700"	""
"241"	"135"	"115"	"92"	"136"	"14"	"27"	"384"	""	"384"	""
"242"	"136"	"377"	"107"	"214"	"26"	"25"	"749"	""	"749"	""
"243"	"137"	"388"	"152"	"139"	"60"	"40"	"779"	""	"779"	""
"244"	"138"	"58"	"132"	"113"	"6"	"18"	"327"	""	"327"	""
"245"	"139"	"206"	"121"	"84"	"13"	"4"	"428"	""	"428"	""
"246"	"140"	"176"	"196"	"132"	"21"	"22"	"547"	""	"547"	""
"247"	"Current Round Total"	"2093"	"1461"	"3422"	"280"	"381"	"7637"	"0"	"7637"	"0"
"248"	"Previous Round Total"	"42704"	"20265"	"8204"	"2365"	"2114"	"75652"	"0"	"75652"	"0"
"249"	"TOTAL"	"44797"	"21726"	"11626"	"2645"	"2495"	"83289"	"0"	"83289"	"0"
"250"	"(Statutory Rules and Order)                                                        ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""
"251"	"FORM 20"	""	""	""	""	""	""	""	""	""
"252"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"253"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"254"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"255"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"256"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"257"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"258"	"141"	"75"	"267"	"123"	"18"	"31"	"514"	""	"514"	""
"259"	"142"	"275"	"203"	"75"	"18"	"14"	"585"	""	"585"	""
"260"	"143"	"120"	"133"	"355"	"13"	"29"	"650"	""	"650"	""
"261"	"144"	"100"	"253"	"124"	"21"	"18"	"516"	""	"516"	""
"262"	"145"	"74"	"104"	"288"	"6"	"19"	"491"	""	"491"	""
"263"	"146"	"343"	"103"	"155"	"20"	"14"	"635"	""	"635"	""
"264"	"147"	"191"	"271"	"183"	"20"	"21"	"686"	""	"686"	""
"265"	"148"	"50"	"59"	"439"	"11"	"32"	"591"	""	"591"	""
"266"	"149"	"96"	"202"	"189"	"17"	"47"	"551"	""	"551"	""
"267"	"150"	"254"	"69"	"146"	"16"	"17"	"502"	""	"502"	""
"268"	"151"	"142"	"127"	"262"	"27"	"53"	"611"	""	"611"	""
"269"	"152"	"66"	"96"	"417"	"15"	"29"	"623"	""	"623"	""
"270"	"153"	"27"	"74"	"387"	"11"	"21"	"520"	""	"520"	""
"271"	"154"	"55"	"89"	"161"	"14"	"14"	"333"	""	"333"	""
"272"	"Current Round Total"	"1868"	"2050"	"3304"	"227"	"359"	"7808"	"0"	"7808"	"0"
"273"	"Previous Round Total"	"44797"	"21726"	"11626"	"2645"	"2495"	"83289"	"0"	"83289"	"0"
"274"	"TOTAL"	"46665"	"23776"	"14930"	"2872"	"2854"	"91097"	"0"	"91097"	"0"
"275"	"(Statutory Rules and Order)                                                        ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""
"276"	"FORM 20"	""	""	""	""	""	""	""	""	""
"277"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"278"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"279"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"280"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"281"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"283"	"155"	"135"	"81"	"124"	"8"	"12"	"360"	""	"360"	""
"284"	"156"	"271"	"132"	"127"	"12"	"13"	"555"	""	"555"	""
"285"	"157"	"14"	"73"	"608"	"20"	"33"	"748"	""	"748"	""
"286"	"158"	"16"	"155"	"257"	"11"	"18"	"457"	""	"457"	""
"287"	"159"	"21"	"317"	"98"	"7"	"12"	"455"	""	"455"	""
"288"	"160"	"199"	"73"	"192"	"26"	"23"	"513"	""	"513"	""
"289"	"161"	"89"	"62"	"165"	"10"	"31"	"357"	""	"357"	""
"290"	"162"	"142"	"229"	"104"	"29"	"29"	"533"	""	"533"	""
"291"	"163"	"136"	"127"	"213"	"26"	"45"	"547"	""	"547"	""
"292"	"164"	"85"	"106"	"373"	"23"	"54"	"641"	""	"641"	""
"293"	"165"	"108"	"130"	"243"	"12"	"21"	"514"	""	"514"	""
"294"	"166"	"17"	"99"	"293"	"5"	"33"	"447"	""	"447"	""
