"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"16"	"9"	"1"	"1"	"47"	"11"	"1"	"1"	"0"	"1"	"1"	"0"	"4"	"340"	"3"	"3"	"414"	"0"	"414"	"0"	""
"17"	"10"	"1"	"0"	"113"	"4"	"1"	"1"	"4"	"0"	"1"	"1"	"1"	"174"	"0"	"2"	"303"	"0"	"303"	"0"	""
"18"	"11"	"7"	"3"	"345"	"35"	"2"	"3"	"0"	"0"	"1"	"0"	"3"	"149"	"3"	"3"	"554"	"0"	"554"	"0"	""
"19"	"12"	"2"	"1"	"309"	"16"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"111"	"0"	"1"	"445"	"0"	"445"	"0"	""
"20"	"13"	"10"	"3"	"405"	"70"	"8"	"3"	"1"	"1"	"0"	"3"	"4"	"203"	"0"	"3"	"714"	"0"	"714"	"0"	""
"21"	";ksx"	"57"	"33"	"3794"	"405"	"40"	"66"	"16"	"17"	"14"	"15"	"26"	"2143"	"42"	"37"	"6705"	"0"	"6705"	"0"	""
"22"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"29"	"14"	"3"	"2"	"404"	"14"	"1"	"6"	"2"	"1"	"1"	"1"	"2"	"25"	"1"	"4"	"467"	"0"	"467"	"0"	""
"30"	"15"	"2"	"0"	"572"	"49"	"14"	"7"	"2"	"3"	"2"	"0"	"0"	"25"	"0"	"2"	"678"	"0"	"678"	"0"	""
"31"	"16"	"1"	"3"	"706"	"39"	"0"	"8"	"1"	"1"	"3"	"2"	"2"	"38"	"1"	"7"	"812"	"0"	"812"	"0"	""
"32"	"17"	"15"	"0"	"44"	"6"	"2"	"6"	"7"	"62"	"1"	"1"	"0"	"310"	"5"	"9"	"468"	"0"	"468"	"0"	""
"33"	"18"	"0"	"1"	"254"	"75"	"3"	"0"	"0"	"2"	"6"	"4"	"1"	"27"	"3"	"6"	"382"	"0"	"382"	"0"	""
"34"	"19"	"6"	"5"	"163"	"108"	"3"	"18"	"1"	"0"	"5"	"3"	"1"	"26"	"2"	"2"	"343"	"0"	"343"	"0"	""
"35"	"20"	"0"	"1"	"107"	"23"	"2"	"0"	"3"	"1"	"1"	"1"	"2"	"426"	"1"	"3"	"571"	"0"	"571"	"0"	""
"36"	"21"	"0"	"0"	"51"	"28"	"1"	"0"	"1"	"4"	"2"	"0"	"6"	"521"	"6"	"3"	"623"	"0"	"623"	"0"	""
"37"	"22"	"8"	"4"	"106"	"33"	"2"	"5"	"7"	"0"	"2"	"0"	"6"	"482"	"2"	"4"	"661"	"0"	"661"	"0"	""
"38"	"23"	"1"	"4"	"485"	"20"	"2"	"1"	"0"	"2"	"2"	"1"	"1"	"24"	"3"	"3"	"549"	"0"	"549"	"0"	""
"39"	"24"	"1"	"3"	"217"	"22"	"2"	"1"	"4"	"2"	"2"	"1"	"3"	"194"	"1"	"5"	"458"	"0"	"458"	"0"	""
"40"	"25"	"6"	"5"	"255"	"36"	"5"	"9"	"3"	"3"	"0"	"1"	"2"	"189"	"5"	"6"	"525"	"0"	"525"	"0"	""
"41"	"26"	"9"	"0"	"339"	"154"	"3"	"59"	"4"	"1"	"7"	"2"	"0"	"20"	"1"	"0"	"599"	"0"	"599"	"0"	""
"42"	"27"	"9"	"5"	"552"	"25"	"4"	"1"	"2"	"2"	"7"	"3"	"2"	"44"	"1"	"8"	"665"	"0"	"665"	"0"	""
"43"	";ksx"	"61"	"33"	"4255"	"632"	"44"	"121"	"37"	"84"	"41"	"20"	"28"	"2351"	"32"	"62"	"7801"	"0"	"7801"	"0"	""
"44"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"51"	"28"	"4"	"3"	"416"	"35"	"3"	"3"	"0"	"0"	"0"	"0"	"1"	"110"	"1"	"3"	"579"	"0"	"579"	"0"	""
"52"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"53"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"54"	"31"	"1"	"0"	"283"	"16"	"3"	"7"	"2"	"0"	"0"	"0"	"3"	"240"	"5"	"2"	"562"	"0"	"562"	"0"	""
"55"	"32"	"9"	"2"	"118"	"33"	"1"	"1"	"2"	"6"	"0"	"1"	"2"	"528"	"6"	"6"	"715"	"0"	"715"	"0"	""
"56"	"33"	"4"	"6"	"647"	"50"	"3"	"14"	"0"	"0"	"0"	"3"	"2"	"16"	"1"	"0"	"746"	"0"	"746"	"0"	""
"57"	"34"	"1"	"1"	"321"	"55"	"2"	"3"	"1"	"1"	"2"	"0"	"4"	"310"	"7"	"2"	"710"	"0"	"710"	"0"	""
"58"	"35"	"2"	"2"	"163"	"72"	"3"	"3"	"3"	"2"	"2"	"2"	"3"	"327"	"25"	"8"	"617"	"0"	"617"	"0"	""
"59"	"36"	"2"	"4"	"437"	"42"	"0"	"5"	"2"	"2"	"0"	"1"	"4"	"151"	"2"	"3"	"655"	"0"	"655"	"0"	""
"60"	"37"	"1"	"3"	"320"	"56"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"94"	"1"	"1"	"480"	"0"	"480"	"0"	""
"61"	"38"	"3"	"3"	"471"	"45"	"3"	"0"	"2"	"2"	"3"	"5"	"0"	"59"	"0"	"10"	"606"	"0"	"606"	"0"	""
"62"	"39"	"2"	"1"	"108"	"45"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"200"	"3"	"5"	"370"	"0"	"370"	"0"	""
"63"	"40"	"11"	"5"	"389"	"106"	"1"	"5"	"2"	"0"	"1"	"0"	"0"	"167"	"2"	"1"	"690"	"0"	"690"	"0"	""
"64"	"41"	"0"	"2"	"257"	"28"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"23"	"0"	"0"	"317"	"0"	"317"	"0"	""
"65"	";ksx"	"40"	"32"	"3930"	"583"	"22"	"47"	"17"	"15"	"8"	"14"	"20"	"2225"	"53"	"41"	"7047"	"0"	"7047"	"0"	""
"66"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"73"	"42"	"3"	"0"	"259"	"18"	"1"	"1"	"3"	"0"	"2"	"1"	"1"	"211"	"3"	"1"	"504"	"0"	"504"	"0"	""
"74"	"43"	"1"	"1"	"78"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"455"	"4"	"1"	"552"	"0"	"552"	"0"	""
"75"	"44"	"0"	"1"	"339"	"17"	"1"	"4"	"0"	"1"	"1"	"2"	"1"	"99"	"1"	"2"	"469"	"0"	"469"	"0"	""
"76"	"45"	"1"	"1"	"298"	"12"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"68"	"1"	"1"	"389"	"0"	"389"	"0"	""
"77"	"46"	"7"	"2"	"347"	"39"	"5"	"11"	"1"	"4"	"2"	"2"	"6"	"214"	"0"	"1"	"641"	"0"	"641"	"0"	""
"78"	"47"	"3"	"12"	"384"	"10"	"2"	"5"	"2"	"1"	"1"	"1"	"0"	"83"	"1"	"3"	"508"	"0"	"508"	"0"	""
"79"	"48"	"0"	"2"	"178"	"44"	"0"	"3"	"1"	"0"	"2"	"0"	"0"	"264"	"2"	"1"	"497"	"0"	"497"	"0"	""
"80"	"49"	"4"	"2"	"194"	"10"	"4"	"7"	"1"	"2"	"1"	"1"	"1"	"161"	"0"	"5"	"393"	"0"	"393"	"0"	""
"81"	"50"	"1"	"2"	"248"	"13"	"1"	"5"	"0"	"1"	"0"	"0"	"1"	"45"	"5"	"2"	"324"	"0"	"324"	"0"	""
"82"	"51"	"2"	"2"	"212"	"10"	"0"	"2"	"5"	"1"	"1"	"0"	"1"	"127"	"0"	"4"	"367"	"0"	"367"	"0"	""
"83"	"52"	"3"	"1"	"360"	"15"	"3"	"1"	"1"	"1"	"0"	"1"	"3"	"78"	"0"	"2"	"469"	"0"	"469"	"0"	""
"84"	"53"	"2"	"1"	"347"	"24"	"0"	"10"	"0"	"3"	"3"	"2"	"5"	"59"	"6"	"7"	"469"	"0"	"469"	"0"	""
"85"	"54"	"2"	"2"	"51"	"19"	"1"	"2"	"1"	"1"	"3"	"2"	"2"	"460"	"5"	"3"	"554"	"0"	"554"	"0"	""
"86"	"55"	"1"	"3"	"218"	"37"	"7"	"6"	"5"	"4"	"3"	"1"	"3"	"322"	"3"	"9"	"622"	"0"	"622"	"0"	""
"87"	";ksx"	"30"	"32"	"3513"	"278"	"27"	"60"	"21"	"20"	"19"	"13"	"26"	"2646"	"31"	"42"	"6758"	"0"	"6758"	"0"	""
"88"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"95"	"56"	"2"	"3"	"449"	"92"	"6"	"6"	"2"	"3"	"3"	"5"	"5"	"128"	"3"	"6"	"713"	"0"	"713"	"0"	""
"96"	"57"	"2"	"1"	"480"	"50"	"8"	"5"	"3"	"3"	"4"	"4"	"4"	"96"	"5"	"13"	"678"	"0"	"678"	"0"	""
"97"	"58"	"6"	"5"	"299"	"28"	"2"	"6"	"6"	"2"	"2"	"3"	"1"	"128"	"2"	"1"	"491"	"0"	"491"	"0"	""
"98"	"59"	"7"	"1"	"241"	"49"	"11"	"10"	"7"	"2"	"1"	"0"	"4"	"208"	"1"	"4"	"546"	"0"	"546"	"0"	""
"99"	"60"	"267"	"6"	"128"	"7"	"0"	"17"	"8"	"1"	"0"	"5"	"1"	"116"	"4"	"4"	"564"	"0"	"564"	"0"	""
"100"	"61"	"16"	"2"	"236"	"51"	"2"	"1"	"2"	"3"	"5"	"0"	"1"	"152"	"2"	"5"	"478"	"0"	"478"	"0"	""
"101"	"62"	"64"	"6"	"252"	"20"	"2"	"4"	"3"	"0"	"1"	"2"	"2"	"108"	"3"	"0"	"467"	"0"	"467"	"0"	""
"102"	"63"	"7"	"2"	"313"	"11"	"2"	"56"	"0"	"2"	"0"	"1"	"2"	"40"	"0"	"1"	"437"	"0"	"437"	"0"	""
"103"	"64"	"44"	"5"	"84"	"15"	"5"	"4"	"3"	"0"	"2"	"0"	"5"	"256"	"4"	"4"	"431"	"0"	"431"	"0"	""
"104"	"65"	"107"	"6"	"136"	"17"	"5"	"12"	"5"	"6"	"0"	"2"	"3"	"181"	"2"	"4"	"486"	"0"	"486"	"0"	""
"105"	"66"	"3"	"3"	"291"	"57"	"2"	"3"	"1"	"0"	"4"	"2"	"1"	"141"	"3"	"2"	"513"	"0"	"513"	"0"	""
"106"	"67"	"2"	"1"	"400"	"48"	"7"	"12"	"2"	"3"	"2"	"2"	"0"	"41"	"3"	"4"	"527"	"0"	"527"	"0"	""
"107"	"68"	"16"	"4"	"398"	"53"	"5"	"39"	"0"	"1"	"0"	"1"	"3"	"48"	"1"	"3"	"572"	"0"	"572"	"0"	""
"108"	"69"	"50"	"1"	"268"	"19"	"2"	"12"	"6"	"6"	"4"	"3"	"3"	"245"	"4"	"5"	"628"	"0"	"628"	"0"	""
"109"	";ksx"	"593"	"46"	"3975"	"517"	"59"	"187"	"48"	"32"	"28"	"30"	"35"	"1888"	"37"	"56"	"7531"	"0"	"7531"	"0"	""
"110"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"117"	"70"	"29"	"3"	"346"	"71"	"3"	"5"	"2"	"2"	"0"	"1"	"6"	"61"	"2"	"3"	"534"	"0"	"534"	"0"	""
"118"	"71"	"2"	"3"	"92"	"16"	"1"	"4"	"5"	"2"	"2"	"3"	"7"	"503"	"12"	"20"	"672"	"0"	"672"	"0"	""
"119"	"72"	"1"	"1"	"2"	"12"	"1"	"2"	"5"	"1"	"2"	"3"	"5"	"511"	"6"	"11"	"563"	"0"	"563"	"0"	""
"120"	"73"	"59"	"8"	"282"	"32"	"9"	"34"	"7"	"2"	"8"	"11"	"6"	"89"	"2"	"10"	"559"	"0"	"559"	"0"	""
"121"	"74"	"16"	"1"	"188"	"53"	"6"	"14"	"6"	"3"	"1"	"5"	"0"	"121"	"1"	"2"	"417"	"0"	"417"	"0"	""
"122"	"75"	"3"	"3"	"308"	"20"	"3"	"64"	"0"	"1"	"4"	"1"	"2"	"47"	"0"	"1"	"457"	"0"	"457"	"0"	""
"123"	"76"	"0"	"1"	"345"	"19"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"34"	"2"	"1"	"409"	"0"	"409"	"0"	""
"124"	"77"	"171"	"5"	"47"	"16"	"3"	"76"	"8"	"3"	"3"	"4"	"2"	"278"	"5"	"6"	"627"	"0"	"627"	"0"	""
"125"	"78"	"3"	"0"	"8"	"3"	"5"	"4"	"4"	"3"	"0"	"1"	"4"	"716"	"4"	"10"	"765"	"0"	"765"	"0"	""
"126"	"79"	"10"	"2"	"385"	"23"	"4"	"110"	"2"	"1"	"1"	"6"	"1"	"24"	"1"	"5"	"575"	"0"	"575"	"0"	""
"127"	"80"	"39"	"2"	"249"	"52"	"23"	"60"	"10"	"4"	"2"	"7"	"4"	"154"	"10"	"7"	"623"	"0"	"623"	"0"	""
"128"	"81"	"136"	"5"	"285"	"18"	"10"	"14"	"9"	"7"	"12"	"2"	"1"	"130"	"3"	"16"	"648"	"0"	"648"	"0"	""
"129"	"82"	"20"	"5"	"215"	"38"	"17"	"32"	"1"	"2"	"2"	"6"	"8"	"172"	"8"	"16"	"542"	"0"	"542"	"0"	""
"130"	"83"	"58"	"9"	"386"	"45"	"9"	"64"	"3"	"1"	"7"	"2"	"5"	"103"	"3"	"5"	"700"	"0"	"700"	"0"	""
"131"	";ksx"	"547"	"48"	"3138"	"418"	"95"	"488"	"62"	"33"	"44"	"52"	"51"	"2943"	"59"	"113"	"8091"	"0"	"8091"	"0"	""
"132"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"139"	"84"	"112"	"4"	"238"	"19"	"7"	"62"	"0"	"4"	"8"	"3"	"1"	"69"	"1"	"3"	"531"	"0"	"531"	"0"	""
"140"	"85"	"111"	"11"	"320"	"15"	"7"	"13"	"13"	"3"	"2"	"3"	"3"	"207"	"8"	"10"	"726"	"0"	"726"	"0"	""
"141"	"86"	"3"	"1"	"455"	"16"	"6"	"7"	"7"	"0"	"8"	"3"	"14"	"130"	"2"	"6"	"658"	"0"	"658"	"0"	""
"142"	"87"	"22"	"4"	"282"	"19"	"3"	"31"	"1"	"2"	"2"	"2"	"8"	"83"	"9"	"9"	"477"	"0"	"477"	"0"	""
"143"	"88"	"72"	"3"	"126"	"20"	"7"	"39"	"4"	"3"	"6"	"7"	"41"	"109"	"15"	"24"	"476"	"0"	"476"	"0"	""
"144"	"89"	"34"	"9"	"235"	"82"	"7"	"82"	"6"	"6"	"7"	"8"	"7"	"127"	"3"	"19"	"632"	"0"	"632"	"0"	""
"145"	"90"	"27"	"1"	"18"	"6"	"6"	"7"	"4"	"1"	"0"	"0"	"1"	"152"	"1"	"3"	"227"	"0"	"227"	"0"	""
"146"	"91"	"111"	"3"	"205"	"11"	"0"	"63"	"2"	"0"	"0"	"0"	"1"	"16"	"1"	"3"	"416"	"0"	"416"	"0"	""
"147"	"92"	"75"	"6"	"249"	"17"	"14"	"7"	"5"	"3"	"3"	"4"	"1"	"268"	"3"	"10"	"665"	"0"	"665"	"0"	""
"148"	"93"	"18"	"1"	"82"	"6"	"2"	"219"	"2"	"1"	"0"	"0"	"4"	"17"	"1"	"1"	"354"	"0"	"354"	"0"	""
