"Serial.No.of.Polling.Station"	"No..of.Valid.Votes.cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.votes"	"No..of.rejected.votes"	"Total"	"No.of.total.voter"	"X..16"
"35"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"36"	"33"	"1"	"6"	"0"	"4"	"283"	"7"	"2"	"1"	"0"	"0"	"1"	"33"	"0"	"0"	"1"	"2"	"0"	"341"	"0"	"341"	""	""
"37"	"34"	"3"	"106"	"0"	"2"	"9"	"0"	"22"	"1"	"1"	"2"	"3"	"1"	"0"	"1"	"8"	"6"	"0"	"165"	"0"	"165"	""	""
"38"	"35"	"14"	"164"	"1"	"4"	"72"	"2"	"5"	"2"	"3"	"1"	"0"	"6"	"2"	"0"	"5"	"7"	"0"	"288"	"0"	"288"	""	""
"39"	"37"	"13"	"41"	"6"	"2"	"42"	"7"	"100"	"6"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"4"	"1"	"226"	"0"	"226"	""	""
"40"	"38"	"23"	"289"	"1"	"2"	"4"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"328"	"0"	"328"	""	""
"41"	"39"	"55"	"238"	"11"	"4"	"77"	"2"	"59"	"3"	"0"	"3"	"3"	"4"	"3"	"6"	"6"	"14"	"3"	"491"	"0"	"491"	""	""
"42"	"40"	"204"	"63"	"36"	"1"	"18"	"2"	"182"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"3"	"8"	"0"	"527"	"0"	"527"	""	""
"43"	"42"	"240"	"131"	"8"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"9"	"3"	"416"	"0"	"416"	""	""
"44"	"Round- 3"	"-3176"	"-3541"	"-277"	"-123"	"-1976"	"-90"	"-1246"	"-95"	"-41"	"-55"	"-50"	"-155"	"-52"	"-75"	"-147"	"-281"	"-89"	"-11469"	"0"	"-11469"	""	""
"45"	"43"	"60"	"142"	"4"	"2"	"52"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"269"	"0"	"269"	""	""
"46"	"44"	"73"	"21"	"5"	"3"	"41"	"0"	"13"	"2"	"2"	"1"	"1"	"0"	"3"	"0"	"3"	"5"	"3"	"176"	"0"	"176"	""	""
"47"	"45"	"26"	"98"	"1"	"12"	"5"	"4"	"84"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"5"	"6"	"250"	"0"	"250"	""	""
"48"	"46"	"182"	"59"	"4"	"3"	"12"	"1"	"15"	"1"	"3"	"0"	"2"	"1"	"2"	"1"	"3"	"15"	"1"	"305"	"0"	"305"	""	""
"49"	"47"	"15"	"74"	"3"	"9"	"58"	"2"	"16"	"5"	"1"	"1"	"4"	"6"	"3"	"1"	"7"	"3"	"1"	"209"	"0"	"209"	""	""
"50"	"48"	"195"	"122"	"14"	"2"	"41"	"5"	"105"	"6"	"1"	"5"	"0"	"4"	"3"	"2"	"7"	"15"	"3"	"530"	"0"	"530"	""	""
"51"	"49"	"31"	"194"	"4"	"1"	"41"	"2"	"12"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"291"	"0"	"291"	""	""
"52"	"50"	"9"	"54"	"5"	"2"	"113"	"7"	"104"	"11"	"4"	"5"	"8"	"6"	"1"	"1"	"4"	"10"	"2"	"346"	"0"	"346"	""	""
"53"	"51"	"28"	"130"	"9"	"2"	"10"	"2"	"85"	"6"	"2"	"5"	"3"	"2"	"2"	"0"	"3"	"14"	"4"	"307"	"0"	"307"	""	""
"54"	"52"	"3"	"113"	"12"	"1"	"2"	"0"	"50"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"186"	"0"	"186"	""	""
"55"	"53"	"1"	"160"	"22"	"57"	"67"	"0"	"42"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"353"	"0"	"353"	""	""
"56"	"54"	"12"	"96"	"2"	"4"	"12"	"2"	"146"	"3"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"288"	"0"	"288"	""	""
"57"	"55"	"15"	"119"	"3"	"1"	"10"	"3"	"221"	"3"	"2"	"2"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"383"	"0"	"383"	""	""
"58"	"56"	"105"	"140"	"1"	"2"	"133"	"2"	"13"	"4"	"0"	"1"	"3"	"5"	"0"	"2"	"8"	"11"	"3"	"433"	"0"	"433"	""	""
"59"	"Round- 4"	"-3931"	"-5063"	"-366"	"-224"	"-2573"	"-120"	"-2153"	"-142"	"-59"	"-77"	"-72"	"-186"	"-69"	"-86"	"-194"	"-361"	"-119"	"-15795"	"0"	"-15795"	""	""
"60"	"57"	"216"	"112"	"1"	"0"	"5"	"2"	"5"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"1"	"350"	"0"	"350"	""	""
"61"	"58"	"184"	"32"	"0"	"4"	"8"	"1"	"36"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"279"	"0"	"279"	""	""
"62"	"59"	"101"	"3"	"2"	"15"	"7"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"134"	"0"	"134"	""	""
"63"	"61"	"437"	"11"	"1"	"10"	"9"	"0"	"27"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"503"	"0"	"503"	""	""
"64"	"62"	"149"	"9"	"0"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"0"	"180"	""	""
"65"	"63"	"33"	"98"	"6"	"5"	"15"	"5"	"170"	"7"	"5"	"4"	"0"	"0"	"5"	"2"	"3"	"7"	"1"	"366"	"0"	"366"	""	""
"66"	"64"	"64"	"269"	"7"	"10"	"94"	"7"	"59"	"4"	"3"	"8"	"6"	"6"	"3"	"10"	"13"	"9"	"4"	"576"	"0"	"576"	""	""
"67"	"65"	"4"	"181"	"4"	"10"	"23"	"4"	"69"	"8"	"0"	"13"	"8"	"8"	"4"	"3"	"16"	"17"	"7"	"379"	"0"	"379"	""	""
"68"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"69"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"70"	"66"	"43"	"165"	"6"	"3"	"19"	"4"	"113"	"5"	"3"	"7"	"3"	"5"	"2"	"2"	"0"	"6"	"2"	"388"	"0"	"388"	""	""
"71"	"67"	"28"	"316"	"30"	"5"	"94"	"7"	"21"	"6"	"7"	"1"	"7"	"12"	"7"	"7"	"29"	"18"	"1"	"596"	"0"	"596"	""	""
"72"	"68"	"1"	"249"	"2"	"0"	"180"	"1"	"0"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"2"	"2"	"0"	"447"	"0"	"447"	""	""
"73"	"69"	"181"	"126"	"21"	"6"	"24"	"38"	"56"	"5"	"3"	"4"	"0"	"2"	"3"	"1"	"4"	"5"	"4"	"483"	"0"	"483"	""	""
"74"	"70"	"111"	"134"	"132"	"1"	"38"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"426"	"0"	"426"	""	""
"75"	"Round- 5"	"-5483"	"-6768"	"-578"	"-306"	"-3098"	"-191"	"-2711"	"-188"	"-85"	"-117"	"-98"	"-226"	"-95"	"-112"	"-265"	"-433"	"-148"	"-20902"	"0"	"-20902"	""	""
"76"	"71"	"17"	"93"	"25"	"4"	"15"	"2"	"70"	"7"	"2"	"4"	"1"	"2"	"1"	"0"	"5"	"7"	"5"	"260"	"0"	"260"	""	""
"77"	"73"	"32"	"253"	"6"	"10"	"32"	"3"	"1"	"2"	"1"	"5"	"3"	"3"	"3"	"12"	"15"	"14"	"2"	"397"	"0"	"397"	""	""
"78"	"74"	"53"	"145"	"13"	"5"	"41"	"4"	"7"	"3"	"3"	"3"	"6"	"6"	"7"	"4"	"17"	"23"	"2"	"342"	"0"	"342"	""	""
"79"	"75"	"128"	"201"	"4"	"5"	"46"	"3"	"1"	"3"	"0"	"1"	"3"	"3"	"1"	"0"	"4"	"3"	"1"	"407"	"0"	"407"	""	""
"80"	"76"	"50"	"146"	"4"	"3"	"52"	"5"	"21"	"6"	"2"	"2"	"2"	"7"	"1"	"3"	"4"	"5"	"5"	"318"	"0"	"318"	""	""
"81"	"77"	"482"	"136"	"18"	"2"	"18"	"3"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"3"	"673"	"0"	"673"	""	""
"82"	"78"	"474"	"10"	"8"	"6"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"504"	"0"	"504"	""	""
"83"	"79"	"71"	"69"	"0"	"3"	"39"	"2"	"15"	"3"	"3"	"2"	"3"	"2"	"1"	"4"	"5"	"9"	"6"	"237"	"0"	"237"	""	""
"84"	"80"	"186"	"143"	"45"	"2"	"8"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"401"	"0"	"401"	""	""
"85"	"81"	"254"	"72"	"8"	"2"	"34"	"1"	"1"	"4"	"4"	"1"	"0"	"5"	"1"	"2"	"0"	"1"	"0"	"390"	"0"	"390"	""	""
"86"	"82"	"121"	"137"	"55"	"5"	"27"	"1"	"3"	"1"	"29"	"1"	"0"	"4"	"1"	"0"	"3"	"5"	"3"	"396"	"0"	"396"	""	""
"87"	"84"	"10"	"478"	"0"	"0"	"70"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"561"	"0"	"561"	""	""
"88"	"Round- 6"	"-7361"	"-8651"	"-764"	"-353"	"-3480"	"-215"	"-2834"	"-218"	"-145"	"-138"	"-116"	"-259"	"-112"	"-138"	"-320"	"-506"	"-178"	"-25788"	"0"	"-25788"	""	""
"89"	"85"	"109"	"100"	"25"	"7"	"54"	"6"	"12"	"5"	"2"	"1"	"4"	"4"	"7"	"2"	"4"	"7"	"2"	"351"	"0"	"351"	""	""
"90"	"86"	"101"	"234"	"3"	"2"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"5"	"8"	"2"	"367"	"0"	"367"	""	""
"91"	"87"	"207"	"69"	"6"	"1"	"71"	"0"	"5"	"1"	"1"	"1"	"1"	"3"	"2"	"1"	"1"	"4"	"1"	"375"	"0"	"375"	""	""
"92"	"88"	"206"	"108"	"3"	"2"	"119"	"2"	"4"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"1"	"1"	"0"	"453"	"0"	"453"	""	""
"93"	"89"	"34"	"336"	"108"	"6"	"177"	"3"	"4"	"1"	"5"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"678"	"0"	"678"	""	""
"94"	"90"	"14"	"225"	"34"	"4"	"30"	"0"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"332"	"0"	"332"	""	""
"95"	"91"	"8"	"130"	"3"	"0"	"145"	"3"	"6"	"3"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"308"	"0"	"308"	""	""
"96"	"92"	"18"	"218"	"2"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"1"	"266"	"0"	"266"	""	""
"97"	"93"	"91"	"257"	"6"	"6"	"68"	"3"	"18"	"2"	"2"	"1"	"0"	"7"	"1"	"4"	"3"	"18"	"12"	"499"	"0"	"499"	""	""
"98"	"94"	"140"	"366"	"9"	"1"	"7"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"3"	"2"	"536"	"0"	"536"	""	""
"99"	"95"	"305"	"73"	"0"	"4"	"112"	"2"	"0"	"5"	"1"	"2"	"0"	"3"	"0"	"0"	"3"	"1"	"1"	"512"	"0"	"512"	""	""
"100"	"96"	"34"	"51"	"8"	"3"	"459"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"560"	"0"	"560"	""	""
"101"	"97"	"258"	"93"	"5"	"4"	"7"	"1"	"25"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"3"	"1"	"405"	"0"	"405"	""	""
"102"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"103"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"104"	"98"	"56"	"192"	"9"	"5"	"21"	"2"	"1"	"2"	"0"	"0"	"2"	"2"	"1"	"3"	"5"	"3"	"0"	"304"	"0"	"304"	""	""
"105"	"Round- 7"	"-8942"	"-11103"	"-985"	"-401"	"-4767"	"-239"	"-2936"	"-240"	"-160"	"-148"	"-128"	"-283"	"-125"	"-158"	"-357"	"-561"	"-201"	"-31734"	"0"	"-31734"	""	""
"106"	"99"	"25"	"171"	"96"	"7"	"38"	"0"	"2"	"4"	"2"	"0"	"2"	"0"	"0"	"4"	"6"	"2"	"0"	"359"	"0"	"359"	""	""
"107"	"101"	"79"	"257"	"13"	"4"	"54"	"0"	"40"	"7"	"17"	"2"	"6"	"4"	"2"	"4"	"9"	"11"	"3"	"512"	"0"	"512"	""	""
"108"	"102"	"69"	"137"	"0"	"0"	"121"	"3"	"16"	"1"	"1"	"0"	"6"	"2"	"1"	"0"	"2"	"5"	"1"	"365"	"0"	"365"	""	""
"109"	"103"	"327"	"118"	"5"	"1"	"39"	"4"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"4"	"3"	"7"	"517"	"0"	"517"	""	""
"110"	"104"	"342"	"37"	"0"	"2"	"38"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"430"	"0"	"430"	""	""
"111"	"105"	"651"	"38"	"3"	"2"	"52"	"2"	"1"	"4"	"2"	"1"	"1"	"2"	"3"	"0"	"2"	"17"	"5"	"786"	"0"	"786"	""	""
"112"	"106"	"20"	"380"	"4"	"9"	"87"	"3"	"3"	"3"	"3"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"0"	"518"	"0"	"518"	""	""
"113"	"107"	"12"	"186"	"5"	"1"	"19"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"229"	"0"	"229"	""	""
"114"	"108"	"11"	"227"	"15"	"10"	"123"	"2"	"0"	"7"	"2"	"0"	"2"	"12"	"4"	"1"	"12"	"15"	"5"	"448"	"0"	"448"	""	""
"115"	"109"	"22"	"180"	"0"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"211"	"0"	"211"	""	""
"116"	"111"	"8"	"301"	"1"	"3"	"16"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"337"	"0"	"337"	""	""
"117"	"112"	"15"	"372"	"1"	"4"	"46"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"444"	"0"	"444"	""	""
"118"	"Round- 8"	"-10523"	"-13507"	"-1128"	"-446"	"-5404"	"-256"	"-3004"	"-276"	"-189"	"-153"	"-146"	"-304"	"-138"	"-175"	"-394"	"-620"	"-227"	"-36890"	"0"	"-36890"	""	""
"119"	"113"	"85"	"299"	"4"	"7"	"74"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"1"	"485"	"0"	"485"	""	""
"120"	"114"	"107"	"40"	"2"	"7"	"64"	"1"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"5"	"15"	"252"	"0"	"252"	""	""
"121"	"115"	"40"	"304"	"62"	"15"	"63"	"1"	"12"	"2"	"3"	"2"	"2"	"6"	"2"	"2"	"11"	"10"	"3"	"540"	"0"	"540"	""	""
"122"	"117"	"27"	"309"	"4"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"367"	"0"	"367"	""	""
"123"	"118"	"34"	"363"	"5"	"9"	"29"	"1"	"10"	"1"	"1"	"0"	"2"	"4"	"1"	"2"	"6"	"6"	"1"	"475"	"0"	"475"	""	""
"124"	"119"	"25"	"259"	"11"	"12"	"20"	"1"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"2"	"3"	"4"	"4"	"350"	"0"	"350"	""	""
"125"	"120"	"22"	"293"	"28"	"3"	"12"	"2"	"10"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"3"	"6"	"0"	"386"	"0"	"386"	""	""
"126"	"121"	"29"	"383"	"11"	"3"	"109"	"5"	"0"	"1"	"1"	"1"	"2"	"3"	"1"	"0"	"0"	"2"	"1"	"552"	"0"	"552"	""	""
"127"	"122"	"55"	"328"	"0"	"5"	"70"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"467"	"0"	"467"	""	""
"128"	"124"	"197"	"395"	"6"	"8"	"92"	"5"	"7"	"6"	"1"	"3"	"4"	"4"	"1"	"4"	"6"	"8"	"1"	"748"	"0"	"748"	""	""
"129"	"125"	"71"	"263"	"34"	"0"	"37"	"4"	"114"	"3"	"2"	"1"	"1"	"0"	"2"	"1"	"5"	"10"	"2"	"550"	"0"	"550"	""	""
"130"	"126"	"268"	"76"	"10"	"8"	"33"	"6"	"5"	"2"	"0"	"1"	"3"	"1"	"3"	"1"	"8"	"17"	"12"	"454"	"0"	"454"	""	""
"131"	"Round- 9"	"-11483"	"-16819"	"-1305"	"-524"	"-6028"	"-285"	"-3171"	"-297"	"-201"	"-162"	"-166"	"-328"	"-149"	"-189"	"-443"	"-696"	"-270"	"-42516"	"0"	"-42516"	""	""
"132"	"127"	"25"	"233"	"26"	"5"	"64"	"3"	"1"	"2"	"1"	"1"	"2"	"3"	"11"	"4"	"13"	"6"	"1"	"401"	"0"	"401"	""	""
"133"	"128"	"20"	"412"	"5"	"10"	"117"	"4"	"6"	"2"	"1"	"3"	"4"	"6"	"3"	"6"	"19"	"9"	"1"	"628"	"0"	"628"	""	""
"134"	"129"	"7"	"10"	"1"	"0"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"41"	"0"	"41"	""	""
"135"	"130"	"46"	"78"	"69"	"7"	"55"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"2"	"3"	"7"	"1"	"276"	"0"	"276"	""	""
"136"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
