"Polling.Station.No."	"Ashok.Prasad.Verma"	"Aswamedh.Devi"	"Chandrabali.Thakur"	"Lalan.Kumar"	"Nilam.Sinha"	"Baiju.Sah"	"Vinay.Ranjan"	"Sunil.Kumar.Suman"	"Rambali.Singh"	"Shivchand.Ram"	"Sita.Sinha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"37"	"B.F."	"4968"	"3076"	"2679"	"227"	"125"	"302"	"138"	"178"	"257"	"178"	"363"	"12491"	"0"	"12491"	"0"
"38"	"29"	"235"	"48"	"35"	"7"	"7"	"30"	"2"	"4"	"2"	"4"	"10"	"384"	""	"384"	""
"39"	"30"	"28"	"40"	"83"	"7"	"16"	"299"	"21"	"8"	"6"	"9"	"37"	"554"	""	"554"	""
"40"	"31"	"139"	"156"	"6"	"5"	"2"	"8"	"3"	"1"	"2"	"3"	"9"	"334"	""	"334"	""
"41"	"32"	"49"	"210"	"120"	"5"	"0"	"10"	"0"	"4"	"2"	"3"	"11"	"414"	""	"414"	""
"42"	"33"	"248"	"192"	"44"	"11"	"15"	"45"	"10"	"12"	"25"	"15"	"33"	"650"	""	"650"	""
"43"	"34"	"76"	"415"	"14"	"1"	"6"	"51"	"1"	"6"	"8"	"4"	"11"	"593"	""	"593"	""
"44"	"35"	"133"	"163"	"39"	"4"	"14"	"194"	"11"	"2"	"25"	"6"	"27"	"618"	""	"618"	""
"45"	"36"	"208"	"98"	"220"	"12"	"12"	"8"	"6"	"10"	"8"	"7"	"19"	"608"	""	"608"	""
"46"	"37"	"166"	"146"	"80"	"1"	"4"	"0"	"1"	"4"	"5"	"4"	"6"	"417"	""	"417"	""
"47"	"38"	"136"	"149"	"120"	"6"	"4"	"15"	"5"	"5"	"9"	"8"	"22"	"479"	""	"479"	""
"48"	"39"	"97"	"280"	"69"	"5"	"17"	"19"	"3"	"9"	"12"	"15"	"22"	"548"	""	"548"	""
"49"	"40"	"209"	"169"	"41"	"5"	"5"	"19"	"6"	"3"	"12"	"6"	"14"	"489"	""	"489"	""
"50"	"41"	"216"	"274"	"32"	"4"	"5"	"24"	"3"	"9"	"9"	"11"	"15"	"602"	""	"602"	""
"51"	"42"	"122"	"153"	"70"	"7"	"16"	"81"	"7"	"8"	"7"	"6"	"34"	"511"	""	"511"	""
"52"	"Page Total"	"7030"	"5569"	"3652"	"307"	"248"	"1105"	"217"	"263"	"389"	"279"	"633"	"19692"	"0"	"19692"	"0"
"53"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"54"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"55"	"B.F."	"7030"	"5569"	"3652"	"307"	"248"	"1105"	"217"	"263"	"389"	"279"	"633"	"19692"	"0"	"19692"	"0"
"56"	"43"	"174"	"191"	"13"	"2"	"4"	"4"	"2"	"4"	"3"	"7"	"8"	"412"	""	"412"	""
"57"	"44"	"149"	"281"	"90"	"13"	"11"	"55"	"10"	"5"	"6"	"17"	"8"	"645"	""	"645"	""
"58"	"45"	"211"	"220"	"42"	"3"	"1"	"1"	"3"	"10"	"9"	"9"	"23"	"532"	""	"532"	""
"59"	"46"	"314"	"157"	"191"	"4"	"2"	"14"	"6"	"1"	"9"	"5"	"9"	"712"	""	"712"	""
"60"	"47"	"167"	"115"	"141"	"7"	"9"	"12"	"12"	"3"	"7"	"5"	"18"	"496"	""	"496"	""
"61"	"48"	"420"	"46"	"64"	"2"	"3"	"0"	"1"	"1"	"4"	"2"	"8"	"551"	""	"551"	""
"62"	"49"	"89"	"516"	"7"	"0"	"3"	"0"	"2"	"1"	"7"	"5"	"2"	"632"	""	"632"	""
"63"	"50"	"230"	"295"	"12"	"2"	"7"	"1"	"1"	"5"	"11"	"2"	"7"	"573"	""	"573"	""
"64"	"51"	"208"	"359"	"35"	"8"	"12"	"3"	"3"	"9"	"11"	"6"	"4"	"658"	""	"658"	""
"65"	"52"	"133"	"223"	"43"	"5"	"4"	"1"	"3"	"40"	"9"	"17"	"10"	"488"	""	"488"	""
"66"	"53"	"119"	"30"	"29"	"3"	"6"	"135"	"7"	"3"	"9"	"8"	"13"	"362"	""	"362"	""
"67"	"54"	"220"	"304"	"13"	"5"	"10"	"5"	"6"	"9"	"50"	"11"	"24"	"657"	""	"657"	""
"68"	"55"	"260"	"274"	"35"	"10"	"7"	"25"	"9"	"6"	"17"	"10"	"16"	"669"	""	"669"	""
"69"	"56"	"292"	"260"	"27"	"8"	"6"	"27"	"6"	"18"	"36"	"1"	"14"	"695"	""	"695"	""
"70"	"Page Total"	"10016"	"8840"	"4394"	"379"	"333"	"1388"	"288"	"378"	"577"	"384"	"797"	"27774"	"0"	"27774"	"0"
"71"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"72"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"73"	"B.F."	"10016"	"8840"	"4394"	"379"	"333"	"1388"	"288"	"378"	"577"	"384"	"797"	"27774"	"0"	"27774"	"0"
"74"	"57"	"178"	"336"	"35"	"8"	"15"	"2"	"31"	"13"	"66"	"18"	"22"	"724"	""	"724"	""
"75"	"58"	"110"	"90"	"17"	"3"	"3"	"4"	"7"	"9"	"3"	"4"	"8"	"258"	""	"258"	""
"76"	"59"	"218"	"182"	"58"	"18"	"2"	"2"	"4"	"3"	"7"	"5"	"12"	"511"	""	"511"	""
"77"	"60"	"233"	"229"	"105"	"4"	"3"	"3"	"2"	"10"	"9"	"11"	"15"	"624"	""	"624"	""
"78"	"61"	"282"	"209"	"68"	"10"	"8"	"0"	"2"	"17"	"6"	"7"	"12"	"621"	""	"621"	""
"79"	"62"	"221"	"107"	"115"	"5"	"3"	"3"	"3"	"5"	"4"	"2"	"27"	"495"	""	"495"	""
"80"	"63"	"43"	"114"	"55"	"1"	"3"	"1"	"9"	"3"	"8"	"6"	"13"	"256"	""	"256"	""
"81"	"64"	"407"	"99"	"70"	"4"	"8"	"1"	"7"	"12"	"6"	"9"	"19"	"642"	""	"642"	""
"82"	"65"	"132"	"174"	"176"	"9"	"9"	"5"	"7"	"6"	"13"	"8"	"21"	"560"	""	"560"	""
"83"	"66"	"213"	"148"	"107"	"4"	"3"	"1"	"2"	"6"	"5"	"2"	"5"	"496"	""	"496"	""
"84"	"67"	"183"	"188"	"63"	"8"	"3"	"1"	"2"	"12"	"8"	"15"	"13"	"496"	""	"496"	""
"85"	"68"	"26"	"367"	"194"	"1"	"4"	"7"	"4"	"12"	"28"	"6"	"12"	"661"	""	"661"	""
"86"	"69"	"150"	"144"	"22"	"6"	"0"	"3"	"6"	"11"	"14"	"9"	"18"	"383"	""	"383"	""
"87"	"70"	"153"	"229"	"113"	"3"	"6"	"2"	"6"	"7"	"4"	"6"	"11"	"540"	""	"540"	""
"88"	"Page Total"	"12565"	"11456"	"5592"	"463"	"403"	"1423"	"380"	"504"	"758"	"492"	"1005"	"35041"	"0"	"35041"	"0"
"89"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"90"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"91"	"B.F."	"12565"	"11456"	"5592"	"463"	"403"	"1423"	"380"	"504"	"758"	"492"	"1005"	"35041"	"0"	"35041"	"0"
"92"	"71"	"140"	"179"	"13"	"6"	"5"	"2"	"10"	"1"	"1"	"4"	"4"	"365"	""	"365"	""
"93"	"72"	"261"	"53"	"86"	"1"	"7"	"2"	"3"	"4"	"6"	"7"	"15"	"445"	""	"445"	""
"94"	"73"	"322"	"195"	"52"	"5"	"7"	"1"	"6"	"2"	"5"	"8"	"14"	"617"	""	"617"	""
"95"	"74"	"156"	"372"	"79"	"6"	"7"	"2"	"3"	"4"	"5"	"5"	"7"	"646"	""	"646"	""
"96"	"75"	"186"	"269"	"30"	"7"	"3"	"7"	"3"	"3"	"6"	"5"	"9"	"528"	""	"528"	""
"97"	"76"	"346"	"113"	"81"	"9"	"5"	"37"	"1"	"5"	"6"	"8"	"24"	"635"	""	"635"	""
"98"	"77"	"97"	"121"	"35"	"3"	"3"	"1"	"4"	"1"	"6"	"7"	"10"	"288"	""	"288"	""
"99"	"78"	"454"	"14"	"75"	"6"	"9"	"10"	"2"	"1"	"0"	"4"	"16"	"591"	""	"591"	""
"100"	"79"	"495"	"4"	"26"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"528"	""	"528"	""
"101"	"80"	"266"	"8"	"9"	"0"	"2"	"9"	"1"	"0"	"0"	"1"	"1"	"297"	""	"297"	""
"102"	"81"	"209"	"111"	"45"	"9"	"0"	"4"	"7"	"9"	"11"	"18"	"38"	"461"	""	"461"	""
"103"	"82"	"332"	"202"	"9"	"3"	"4"	"2"	"0"	"2"	"4"	"5"	"2"	"565"	""	"565"	""
"104"	"83"	"126"	"167"	"58"	"2"	"2"	"2"	"1"	"1"	"3"	"2"	"7"	"371"	""	"371"	""
"105"	"84"	"289"	"34"	"62"	"7"	"6"	"1"	"1"	"3"	"14"	"6"	"33"	"456"	""	"456"	""
"106"	"Page Total"	"16244"	"13298"	"6252"	"528"	"463"	"1504"	"423"	"540"	"825"	"572"	"1185"	"41834"	"0"	"41834"	"0"
"107"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"108"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"109"	"B.F."	"16244"	"13298"	"6252"	"528"	"463"	"1504"	"423"	"540"	"825"	"572"	"1185"	"41834"	"0"	"41834"	"0"
"110"	"85"	"127"	"223"	"8"	"2"	"1"	"3"	"3"	"40"	"3"	"6"	"8"	"424"	""	"424"	""
"111"	"86"	"127"	"101"	"30"	"8"	"3"	"4"	"3"	"35"	"6"	"3"	"6"	"326"	""	"326"	""
"112"	"87"	"59"	"176"	"18"	"4"	"8"	"1"	"0"	"8"	"4"	"1"	"4"	"283"	""	"283"	""
"113"	"88"	"149"	"126"	"20"	"6"	"7"	"1"	"0"	"26"	"12"	"2"	"6"	"355"	""	"355"	""
"114"	"89"	"107"	"126"	"14"	"29"	"18"	"17"	"3"	"5"	"9"	"12"	"18"	"358"	""	"358"	""
"115"	"90"	"102"	"104"	"11"	"4"	"3"	"6"	"3"	"4"	"6"	"5"	"6"	"254"	""	"254"	""
"116"	"91"	"261"	"100"	"12"	"2"	"2"	"1"	"1"	"5"	"7"	"9"	"14"	"414"	""	"414"	""
"117"	"92"	"102"	"172"	"5"	"0"	"1"	"0"	"0"	"2"	"4"	"1"	"5"	"292"	""	"292"	""
"118"	"93"	"252"	"188"	"44"	"1"	"7"	"2"	"3"	"2"	"5"	"4"	"10"	"518"	""	"518"	""
"119"	"94"	"272"	"51"	"13"	"3"	"1"	"0"	"4"	"1"	"5"	"7"	"10"	"367"	""	"367"	""
"120"	"95"	"345"	"4"	"6"	"0"	"4"	"0"	"1"	"1"	"4"	"1"	"9"	"375"	""	"375"	""
"121"	"96"	"344"	"89"	"12"	"1"	"0"	"2"	"1"	"3"	"2"	"4"	"7"	"465"	""	"465"	""
"122"	"97"	"61"	"284"	"8"	"4"	"2"	"2"	"1"	"1"	"4"	"0"	"5"	"372"	""	"372"	""
"123"	"98"	"393"	"178"	"10"	"2"	"3"	"1"	"2"	"7"	"9"	"10"	"15"	"630"	""	"630"	""
"124"	"Page Total"	"18945"	"15220"	"6463"	"594"	"523"	"1544"	"448"	"680"	"905"	"637"	"1308"	"47267"	"0"	"47267"	"0"
"125"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"126"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"127"	"B.F."	"18945"	"15220"	"6463"	"594"	"523"	"1544"	"448"	"680"	"905"	"637"	"1308"	"47267"	"0"	"47267"	"0"
"128"	"99"	"48"	"517"	"45"	"4"	"8"	"4"	"2"	"52"	"5"	"4"	"9"	"698"	""	"698"	""
"129"	"100"	"225"	"223"	"28"	"7"	"6"	"10"	"4"	"10"	"11"	"8"	"19"	"551"	""	"551"	""
"130"	"101"	"132"	"331"	"69"	"4"	"4"	"3"	"3"	"8"	"10"	"9"	"17"	"590"	""	"590"	""
"131"	"102"	"126"	"123"	"45"	"5"	"0"	"5"	"2"	"3"	"9"	"18"	"35"	"371"	""	"371"	""
"132"	"103"	"112"	"236"	"74"	"9"	"1"	"6"	"14"	"13"	"14"	"23"	"29"	"531"	""	"531"	""
"133"	"104"	"113"	"139"	"78"	"0"	"2"	"2"	"3"	"15"	"6"	"2"	"7"	"367"	""	"367"	""
"134"	"105"	"69"	"176"	"149"	"1"	"2"	"1"	"1"	"6"	"10"	"5"	"5"	"425"	""	"425"	""
"135"	"106"	"134"	"238"	"42"	"5"	"1"	"3"	"7"	"22"	"10"	"13"	"29"	"504"	""	"504"	""
"136"	"107"	"423"	"205"	"43"	"4"	"5"	"3"	"4"	"10"	"10"	"10"	"22"	"739"	""	"739"	""
"137"	"108"	"182"	"204"	"138"	"10"	"3"	"25"	"0"	"0"	"4"	"6"	"11"	"583"	""	"583"	""
"138"	"109"	"23"	"175"	"20"	"3"	"3"	"2"	"5"	"16"	"5"	"8"	"2"	"262"	""	"262"	""
"139"	"110"	"294"	"64"	"13"	"6"	"5"	"1"	"1"	"3"	"17"	"4"	"18"	"426"	""	"426"	""
"140"	"111"	"150"	"215"	"26"	"7"	"3"	"2"	"2"	"9"	"47"	"5"	"15"	"481"	""	"481"	""
"141"	"112"	"269"	"257"	"44"	"5"	"4"	"1"	"5"	"3"	"59"	"2"	"12"	"661"	""	"661"	""
"142"	"Page Total"	"21245"	"18323"	"7277"	"664"	"570"	"1612"	"501"	"850"	"1122"	"754"	"1538"	"54456"	"0"	"54456"	"0"
"143"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"144"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"145"	"B.F."	"21245"	"18323"	"7277"	"664"	"570"	"1612"	"501"	"850"	"1122"	"754"	"1538"	"54456"	"0"	"54456"	"0"
"146"	"113"	"79"	"450"	"38"	"6"	"6"	"10"	"14"	"2"	"10"	"6"	"10"	"631"	""	"631"	""
"147"	"114"	"178"	"97"	"34"	"2"	"3"	"9"	"2"	"3"	"5"	"4"	"13"	"350"	""	"350"	""
"148"	"115"	"151"	"379"	"68"	"7"	"5"	"4"	"6"	"10"	"35"	"21"	"34"	"720"	""	"720"	""
"149"	"116"	"198"	"312"	"24"	"5"	"10"	"0"	"11"	"16"	"33"	"6"	"8"	"623"	""	"623"	""
"150"	"117"	"70"	"131"	"320"	"6"	"3"	"1"	"7"	"0"	"1"	"4"	"8"	"551"	""	"551"	""
"151"	"118"	"303"	"98"	"182"	"4"	"1"	"5"	"61"	"6"	"8"	"4"	"10"	"682"	""	"682"	""
"152"	"119"	"71"	"249"	"25"	"4"	"6"	"0"	"2"	"3"	"9"	"7"	"11"	"387"	""	"387"	""
"153"	"120"	"17"	"87"	"322"	"2"	"0"	"0"	"2"	"2"	"3"	"0"	"2"	"437"	""	"437"	""
"154"	"121"	"134"	"85"	"133"	"9"	"6"	"2"	"4"	"38"	"4"	"4"	"17"	"436"	""	"436"	""
"155"	"122"	"203"	"254"	"8"	"3"	"4"	"23"	"1"	"2"	"7"	"3"	"11"	"519"	""	"519"	""
"156"	"123"	"213"	"153"	"15"	"2"	"2"	"2"	"0"	"5"	"5"	"4"	"17"	"418"	""	"418"	""
"157"	"124"	"494"	"41"	"17"	"2"	"0"	"7"	"2"	"1"	"7"	"3"	"8"	"582"	""	"582"	""
"158"	"125"	"269"	"41"	"25"	"3"	"3"	"1"	"7"	"4"	"51"	"8"	"35"	"447"	""	"447"	""
"159"	"126"	"7"	"263"	"37"	"7"	"3"	"1"	"4"	"30"	"23"	"2"	"5"	"382"	""	"382"	""
"160"	"Page Total"	"23632"	"20963"	"8525"	"726"	"622"	"1677"	"624"	"972"	"1323"	"830"	"1727"	"61621"	"0"	"61621"	"0"
"161"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"163"	"B.F."	"23632"	"20963"	"8525"	"726"	"622"	"1677"	"624"	"972"	"1323"	"830"	"1727"	"61621"	"0"	"61621"	"0"
"164"	"127"	"131"	"156"	"25"	"7"	"8"	"27"	"72"	"5"	"14"	"7"	"17"	"469"	""	"469"	""
"165"	"128"	"197"	"247"	"51"	"38"	"9"	"29"	"18"	"8"	"52"	"23"	"33"	"705"	""	"705"	""
"166"	"129"	"268"	"166"	"15"	"6"	"4"	"6"	"16"	"15"	"76"	"7"	"18"	"597"	""	"597"	""
"167"	"130"	"139"	"225"	"82"	"15"	"12"	"9"	"35"	"20"	"65"	"13"	"17"	"632"	""	"632"	""
"168"	"131"	"327"	"286"	"16"	"15"	"7"	"2"	"5"	"12"	"118"	"6"	"32"	"826"	""	"826"	""
"169"	"132"	"271"	"308"	"50"	"4"	"3"	"1"	"1"	"6"	"77"	"6"	"32"	"759"	""	"759"	""
"170"	"133"	"143"	"24"	"22"	"21"	"3"	"8"	"0"	"12"	"104"	"13"	"30"	"380"	""	"380"	""
"171"	"134"	"274"	"117"	"64"	"10"	"4"	"3"	"3"	"9"	"164"	"7"	"26"	"681"	""	"681"	""
"172"	"135"	"196"	"95"	"62"	"6"	"5"	"4"	"1"	"0"	"58"	"7"	"2"	"436"	""	"436"	""
"173"	"136"	"199"	"66"	"31"	"1"	"0"	"0"	"2"	"5"	"108"	"3"	"7"	"422"	""	"422"	""
"174"	"137"	"226"	"131"	"71"	"6"	"2"	"2"	"2"	"6"	"27"	"1"	"7"	"481"	""	"481"	""
"175"	"138"	"229"	"111"	"62"	"6"	"7"	"13"	"4"	"9"	"50"	"6"	"26"	"523"	""	"523"	""
"176"	"139"	"96"	"167"	"162"	"5"	"4"	"1"	"4"	"3"	"18"	"2"	"5"	"467"	""	"467"	""
"177"	"140"	"240"	"88"	"56"	"17"	"4"	"2"	"4"	"15"	"162"	"11"	"32"	"631"	""	"631"	""
"178"	"Page Total"	"26568"	"23150"	"9294"	"883"	"694"	"1784"	"791"	"1097"	"2416"	"942"	"2011"	"69630"	"0"	"69630"	"0"
"179"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"180"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"181"	"B.F."	"26568"	"23150"	"9294"	"883"	"694"	"1784"	"791"	"1097"	"2416"	"942"	"2011"	"69630"	"0"	"69630"	"0"
"182"	"141"	"176"	"26"	"13"	"0"	"3"	"3"	"6"	"11"	"320"	"6"	"18"	"582"	""	"582"	""
"183"	"142"	"201"	"74"	"35"	"9"	"0"	"5"	"0"	"12"	"59"	"8"	"16"	"419"	""	"419"	""
"184"	"143"	"326"	"180"	"26"	"1"	"9"	"3"	"1"	"5"	"33"	"5"	"3"	"592"	""	"592"	""
"185"	"144"	"136"	"215"	"30"	"14"	"11"	"10"	"11"	"15"	"88"	"13"	"9"	"552"	""	"552"	""
"186"	"145"	"194"	"40"	"19"	"4"	"4"	"2"	"1"	"10"	"185"	"6"	"11"	"476"	""	"476"	""
"187"	"146"	"117"	"26"	"62"	"3"	"2"	"0"	"2"	"12"	"275"	"6"	"10"	"515"	""	"515"	""
"188"	"147"	"57"	"75"	"114"	"2"	"1"	"0"	"0"	"2"	"92"	"3"	"1"	"347"	""	"347"	""
