"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"18"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"19"	"15"	"14"	"186"	"46"	"4"	"2"	"211"	"3"	"7"	"15"	"8"	"5"	"11"	"512"	""	"512"	""
"20"	"16"	"18"	"272"	"14"	"16"	"6"	"54"	"5"	"4"	"11"	"5"	"4"	"16"	"425"	""	"425"	""
"21"	"17"	"15"	"56"	"155"	"6"	"5"	"234"	"8"	"14"	"10"	"8"	"10"	"12"	"533"	""	"533"	""
"22"	"18"	"10"	"333"	"5"	"1"	"1"	"39"	"0"	"3"	"4"	"1"	"1"	"4"	"402"	""	"402"	""
"23"	"19"	"90"	"42"	"34"	"8"	"7"	"332"	"14"	"14"	"18"	"6"	"5"	"27"	"597"	""	"597"	""
"24"	"20"	"10"	"41"	"11"	"1"	"2"	"41"	"6"	"3"	"11"	"3"	"5"	"6"	"140"	""	"140"	""
"25"	"21"	"12"	"19"	"37"	"0"	"8"	"203"	"11"	"10"	"12"	"2"	"7"	"8"	"329"	""	"329"	""
"26"	"22"	"37"	"40"	"32"	"0"	"2"	"211"	"2"	"3"	"7"	"0"	"1"	"0"	"335"	""	"335"	""
"27"	"23"	"86"	"130"	"24"	"2"	"3"	"189"	"5"	"7"	"9"	"2"	"8"	"17"	"482"	""	"482"	""
"28"	"24"	"18"	"173"	"26"	"5"	"7"	"110"	"12"	"18"	"19"	"16"	"12"	"30"	"446"	""	"446"	""
"29"	"25"	"7"	"53"	"15"	"36"	"1"	"123"	"6"	"7"	"4"	"3"	"35"	"10"	"300"	""	"300"	""
"30"	"26"	"4"	"35"	"207"	"1"	"2"	"55"	"3"	"1"	"12"	"0"	"2"	"4"	"326"	""	"326"	""
"31"	"27"	"33"	"323"	"66"	"14"	"3"	"45"	"2"	"3"	"10"	"1"	"4"	"21"	"525"	""	"525"	""
"32"	"28"	"45"	"62"	"253"	"8"	"7"	"91"	"10"	"22"	"33"	"24"	"19"	"39"	"613"	""	"613"	""
"33"	"Grand
Total"	"399"	"1765"	"925"	"102"	"56"	"1938"	"87"	"116"	"175"	"79"	"118"	"205"	"5965"	"0"	"5965"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"36"	"29"	"47"	"64"	"149"	"6"	"9"	"129"	"15"	"24"	"51"	"12"	"28"	"49"	"583"	""	"583"	""
"37"	"30"	"16"	"191"	"37"	"14"	"1"	"30"	"4"	"7"	"11"	"11"	"14"	"9"	"345"	""	"345"	""
"38"	"31"	"19"	"302"	"58"	"1"	"2"	"13"	"0"	"4"	"1"	"3"	"4"	"9"	"416"	""	"416"	""
"39"	"32"	"80"	"32"	"218"	"10"	"8"	"28"	"8"	"6"	"11"	"21"	"25"	"54"	"501"	""	"501"	""
"40"	"33"	"45"	"68"	"90"	"9"	"5"	"224"	"17"	"20"	"21"	"7"	"14"	"26"	"546"	""	"546"	""
"41"	"34"	"39"	"83"	"110"	"11"	"6"	"110"	"8"	"13"	"31"	"4"	"8"	"35"	"458"	""	"458"	""
"42"	"35"	"96"	"47"	"23"	"7"	"10"	"149"	"5"	"9"	"41"	"3"	"4"	"25"	"419"	""	"419"	""
"43"	"36"	"23"	"91"	"71"	"6"	"5"	"171"	"6"	"17"	"21"	"10"	"15"	"36"	"472"	""	"472"	""
"44"	"37"	"24"	"69"	"114"	"6"	"3"	"218"	"8"	"3"	"15"	"7"	"2"	"9"	"478"	""	"478"	""
"45"	"38"	"26"	"44"	"97"	"5"	"1"	"201"	"10"	"16"	"33"	"8"	"16"	"44"	"501"	""	"501"	""
"46"	"39"	"5"	"28"	"109"	"4"	"4"	"204"	"6"	"9"	"8"	"4"	"3"	"12"	"396"	""	"396"	""
"47"	"40"	"34"	"153"	"23"	"7"	"5"	"180"	"12"	"19"	"23"	"8"	"7"	"36"	"507"	""	"507"	""
"48"	"41"	"92"	"151"	"54"	"11"	"3"	"188"	"7"	"8"	"29"	"4"	"9"	"14"	"570"	""	"570"	""
"49"	"42"	"26"	"64"	"125"	"5"	"3"	"264"	"5"	"6"	"26"	"5"	"1"	"11"	"541"	""	"541"	""
"50"	"Grand
Total"	"572"	"1387"	"1278"	"102"	"65"	"2109"	"111"	"161"	"322"	"107"	"150"	"369"	"6733"	"0"	"6733"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"53"	"43"	"13"	"34"	"9"	"1"	"2"	"351"	"4"	"2"	"11"	"0"	"0"	"3"	"430"	""	"430"	""
"54"	"44"	"11"	"48"	"103"	"11"	"8"	"355"	"15"	"25"	"18"	"14"	"7"	"20"	"635"	""	"635"	""
"55"	"45"	"40"	"260"	"95"	"5"	"0"	"108"	"10"	"7"	"7"	"2"	"2"	"16"	"552"	""	"552"	""
"56"	"46"	"13"	"106"	"71"	"0"	"3"	"209"	"4"	"3"	"11"	"0"	"2"	"8"	"430"	""	"430"	""
"57"	"47"	"14"	"13"	"316"	"4"	"5"	"175"	"3"	"9"	"13"	"8"	"5"	"12"	"577"	""	"577"	""
"58"	"48"	"12"	"19"	"228"	"7"	"9"	"169"	"4"	"9"	"8"	"4"	"3"	"7"	"479"	""	"479"	""
"59"	"49"	"20"	"26"	"352"	"13"	"5"	"243"	"7"	"16"	"21"	"6"	"2"	"5"	"716"	""	"716"	""
"60"	"50"	"14"	"18"	"224"	"10"	"7"	"216"	"10"	"5"	"26"	"10"	"4"	"12"	"556"	""	"556"	""
"61"	"51"	"11"	"53"	"149"	"12"	"3"	"129"	"5"	"6"	"12"	"9"	"5"	"25"	"419"	""	"419"	""
"62"	"52"	"11"	"92"	"163"	"15"	"5"	"81"	"9"	"12"	"33"	"11"	"8"	"38"	"478"	""	"478"	""
"63"	"53"	"16"	"127"	"110"	"1"	"2"	"205"	"0"	"2"	"2"	"1"	"0"	"1"	"467"	""	"467"	""
"64"	"54"	"64"	"62"	"131"	"11"	"14"	"225"	"11"	"31"	"24"	"3"	"7"	"21"	"604"	""	"604"	""
"65"	"55"	"17"	"25"	"17"	"1"	"1"	"326"	"0"	"3"	"4"	"1"	"0"	"3"	"398"	""	"398"	""
"66"	"56"	"28"	"57"	"38"	"1"	"0"	"343"	"1"	"3"	"4"	"3"	"0"	"7"	"485"	""	"485"	""
"67"	"Grand
Total"	"284"	"940"	"2006"	"92"	"64"	"3135"	"83"	"133"	"194"	"72"	"45"	"178"	"7226"	"0"	"7226"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"70"	"57"	"17"	"111"	"16"	"2"	"7"	"316"	"7"	"11"	"12"	"2"	"1"	"18"	"520"	""	"520"	""
"71"	"58"	"41"	"159"	"54"	"11"	"11"	"215"	"7"	"6"	"19"	"3"	"12"	"25"	"563"	""	"563"	""
"72"	"59"	"64"	"10"	"7"	"2"	"2"	"253"	"10"	"14"	"14"	"4"	"4"	"11"	"395"	""	"395"	""
"73"	"60"	"31"	"12"	"19"	"4"	"10"	"192"	"7"	"8"	"25"	"5"	"4"	"31"	"348"	""	"348"	""
"74"	"61"	"30"	"234"	"30"	"6"	"5"	"216"	"11"	"17"	"15"	"2"	"12"	"26"	"604"	""	"604"	""
"75"	"62"	"38"	"156"	"28"	"2"	"1"	"141"	"8"	"19"	"15"	"6"	"6"	"16"	"436"	""	"436"	""
"76"	"63"	"63"	"450"	"27"	"5"	"3"	"41"	"3"	"4"	"6"	"6"	"4"	"18"	"630"	""	"630"	""
"77"	"64"	"31"	"168"	"44"	"8"	"8"	"253"	"9"	"15"	"55"	"13"	"8"	"27"	"639"	""	"639"	""
"78"	"65"	"7"	"17"	"2"	"22"	"4"	"158"	"7"	"8"	"10"	"3"	"3"	"13"	"254"	""	"254"	""
"79"	"66"	"14"	"15"	"7"	"1"	"3"	"309"	"3"	"2"	"5"	"1"	"2"	"5"	"367"	""	"367"	""
"80"	"67"	"4"	"32"	"1"	"0"	"1"	"37"	"1"	"1"	"3"	"1"	"2"	"3"	"86"	""	"86"	""
"81"	"68"	"125"	"98"	"30"	"1"	"0"	"300"	"4"	"6"	"7"	"0"	"7"	"11"	"589"	""	"589"	""
"82"	"69"	"23"	"56"	"34"	"5"	"6"	"94"	"13"	"5"	"17"	"6"	"6"	"22"	"287"	""	"287"	""
"83"	"70"	"15"	"67"	"58"	"3"	"1"	"25"	"2"	"2"	"1"	"0"	"3"	"4"	"181"	""	"181"	""
"84"	"Grand
Total"	"503"	"1585"	"357"	"72"	"62"	"2550"	"92"	"118"	"204"	"52"	"74"	"230"	"5899"	"0"	"5899"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"87"	"71"	"24"	"114"	"11"	"1"	"3"	"239"	"1"	"2"	"9"	"1"	"1"	"4"	"410"	""	"410"	""
"88"	"72"	"46"	"127"	"132"	"10"	"7"	"233"	"4"	"18"	"32"	"5"	"8"	"14"	"636"	""	"636"	""
"89"	"73"	"14"	"108"	"37"	"0"	"5"	"103"	"3"	"4"	"8"	"4"	"2"	"12"	"300"	""	"300"	""
"90"	"74"	"26"	"160"	"73"	"2"	"4"	"172"	"8"	"7"	"19"	"5"	"9"	"20"	"505"	""	"505"	""
"91"	"75"	"8"	"45"	"16"	"4"	"1"	"74"	"2"	"2"	"8"	"2"	"0"	"20"	"182"	""	"182"	""
"92"	"76"	"14"	"74"	"43"	"9"	"4"	"59"	"4"	"7"	"11"	"3"	"2"	"9"	"239"	""	"239"	""
"93"	"77"	"59"	"196"	"143"	"7"	"3"	"96"	"2"	"8"	"21"	"4"	"3"	"13"	"555"	""	"555"	""
"94"	"78"	"18"	"5"	"24"	"7"	"11"	"135"	"11"	"9"	"165"	"9"	"12"	"19"	"425"	""	"425"	""
"95"	"79"	"22"	"28"	"22"	"18"	"11"	"183"	"8"	"12"	"242"	"13"	"3"	"12"	"574"	""	"574"	""
"96"	"80"	"5"	"12"	"110"	"5"	"4"	"197"	"1"	"4"	"37"	"2"	"1"	"3"	"381"	""	"381"	""
"97"	"81"	"14"	"20"	"92"	"7"	"6"	"52"	"6"	"8"	"26"	"4"	"6"	"27"	"268"	""	"268"	""
"98"	"82"	"40"	"146"	"14"	"5"	"4"	"283"	"10"	"15"	"27"	"11"	"9"	"19"	"583"	""	"583"	""
"99"	"83"	"36"	"74"	"12"	"3"	"3"	"218"	"6"	"9"	"53"	"5"	"4"	"22"	"445"	""	"445"	""
"100"	"84"	"34"	"136"	"37"	"16"	"5"	"113"	"6"	"20"	"24"	"11"	"8"	"36"	"446"	""	"446"	""
"101"	"Grand
Total"	"360"	"1245"	"766"	"94"	"71"	"2157"	"72"	"125"	"682"	"79"	"68"	"230"	"5949"	"0"	"5949"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"104"	"85"	"6"	"48"	"99"	"4"	"3"	"64"	"1"	"3"	"7"	"0"	"2"	"3"	"240"	""	"240"	""
"105"	"86"	"50"	"122"	"130"	"2"	"4"	"141"	"4"	"7"	"39"	"2"	"3"	"10"	"514"	""	"514"	""
"106"	"87"	"9"	"48"	"27"	"2"	"1"	"319"	"3"	"5"	"75"	"3"	"3"	"6"	"501"	""	"501"	""
"107"	"88"	"11"	"22"	"56"	"3"	"2"	"368"	"1"	"1"	"5"	"2"	"1"	"2"	"474"	""	"474"	""
"108"	"89"	"93"	"46"	"187"	"9"	"16"	"179"	"21"	"24"	"23"	"8"	"12"	"16"	"634"	""	"634"	""
"109"	"90"	"50"	"69"	"113"	"5"	"5"	"133"	"10"	"16"	"22"	"21"	"15"	"38"	"497"	""	"497"	""
"110"	"91"	"75"	"28"	"18"	"4"	"4"	"131"	"7"	"8"	"17"	"2"	"12"	"16"	"322"	""	"322"	""
"111"	"92"	"69"	"102"	"104"	"13"	"13"	"242"	"11"	"24"	"16"	"8"	"10"	"41"	"653"	""	"653"	""
"112"	"93"	"170"	"26"	"3"	"1"	"5"	"103"	"7"	"6"	"12"	"1"	"1"	"16"	"351"	""	"351"	""
"113"	"94"	"80"	"159"	"69"	"12"	"7"	"209"	"14"	"14"	"18"	"10"	"11"	"27"	"630"	""	"630"	""
"114"	"95"	"95"	"77"	"69"	"0"	"6"	"201"	"2"	"8"	"8"	"2"	"12"	"12"	"492"	""	"492"	""
"115"	"96"	"50"	"130"	"242"	"9"	"7"	"99"	"13"	"17"	"30"	"6"	"5"	"25"	"633"	""	"633"	""
"116"	"97"	"17"	"68"	"177"	"2"	"0"	"30"	"0"	"5"	"4"	"4"	"2"	"4"	"313"	""	"313"	""
"117"	"98"	"20"	"85"	"37"	"4"	"3"	"58"	"6"	"6"	"21"	"4"	"7"	"15"	"266"	""	"266"	""
"118"	"Grand
Total"	"795"	"1030"	"1331"	"70"	"76"	"2277"	"100"	"144"	"297"	"73"	"96"	"231"	"6520"	"0"	"6520"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"121"	"99"	"30"	"58"	"138"	"7"	"5"	"119"	"6"	"10"	"17"	"9"	"6"	"16"	"421"	""	"421"	""
"122"	"100"	"94"	"66"	"73"	"5"	"10"	"46"	"5"	"8"	"3"	"3"	"7"	"11"	"331"	""	"331"	""
"123"	"101"	"16"	"53"	"121"	"7"	"6"	"72"	"7"	"12"	"10"	"6"	"0"	"7"	"317"	""	"317"	""
"124"	"102"	"22"	"122"	"75"	"2"	"2"	"43"	"1"	"6"	"13"	"8"	"9"	"18"	"321"	""	"321"	""
"125"	"103"	"188"	"46"	"61"	"4"	"11"	"91"	"9"	"6"	"12"	"4"	"17"	"8"	"457"	""	"457"	""
"126"	"104"	"172"	"38"	"17"	"2"	"4"	"77"	"3"	"14"	"10"	"7"	"13"	"14"	"371"	""	"371"	""
"127"	"105"	"49"	"48"	"60"	"3"	"5"	"257"	"10"	"14"	"19"	"7"	"18"	"25"	"515"	""	"515"	""
"128"	"106"	"362"	"71"	"14"	"5"	"1"	"25"	"4"	"4"	"4"	"6"	"19"	"8"	"523"	""	"523"	""
"129"	"107"	"616"	"35"	"2"	"1"	"1"	"21"	"3"	"1"	"0"	"1"	"5"	"5"	"691"	""	"691"	""
"130"	"108"	"121"	"42"	"48"	"2"	"3"	"183"	"7"	"10"	"7"	"3"	"11"	"10"	"447"	""	"447"	""
"131"	"109"	"76"	"135"	"91"	"4"	"5"	"46"	"11"	"5"	"9"	"6"	"10"	"12"	"410"	""	"410"	""
"132"	"110"	"103"	"107"	"94"	"2"	"9"	"71"	"12"	"14"	"18"	"11"	"21"	"25"	"487"	""	"487"	""
"133"	"111"	"137"	"149"	"28"	"4"	"1"	"56"	"9"	"10"	"13"	"9"	"21"	"25"	"462"	""	"462"	""
"134"	"112"	"342"	"69"	"25"	"2"	"7"	"51"	"3"	"9"	"7"	"7"	"15"	"26"	"563"	""	"563"	""
"135"	"Grand
Total"	"2328"	"1039"	"847"	"50"	"70"	"1158"	"90"	"123"	"142"	"87"	"172"	"210"	"6316"	"0"	"6316"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"137"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"138"	"113"	"24"	"56"	"50"	"2"	"5"	"147"	"5"	"13"	"15"	"6"	"2"	"14"	"339"	""	"339"	""
"139"	"114"	"10"	"16"	"24"	"1"	"3"	"528"	"3"	"2"	"7"	"1"	"2"	"4"	"601"	""	"601"	""
"140"	"115"	"169"	"46"	"33"	"3"	"4"	"219"	"5"	"9"	"18"	"5"	"6"	"19"	"536"	""	"536"	""
"141"	"116"	"35"	"173"	"57"	"1"	"3"	"314"	"0"	"4"	"1"	"1"	"1"	"1"	"591"	""	"591"	""
"142"	"117"	"29"	"60"	"84"	"7"	"5"	"127"	"9"	"21"	"14"	"7"	"13"	"35"	"411"	""	"411"	""
"143"	"118"	"238"	"29"	"18"	"4"	"4"	"213"	"6"	"8"	"25"	"10"	"12"	"32"	"599"	""	"599"	""
"144"	"119"	"33"	"389"	"14"	"35"	"1"	"114"	"1"	"1"	"1"	"0"	"0"	"4"	"593"	""	"593"	""
"145"	"120"	"56"	"199"	"23"	"6"	"5"	"301"	"6"	"14"	"24"	"6"	"13"	"25"	"678"	""	"678"	""
"146"	"121"	"52"	"95"	"3"	"3"	"5"	"302"	"7"	"2"	"9"	"3"	"2"	"14"	"497"	""	"497"	""
"147"	"122"	"65"	"181"	"35"	"2"	"3"	"37"	"2"	"2"	"6"	"5"	"10"	"8"	"356"	""	"356"	""
"148"	"123"	"96"	"104"	"46"	"11"	"8"	"142"	"11"	"24"	"64"	"7"	"21"	"29"	"563"	""	"563"	""
"149"	"124"	"118"	"107"	"23"	"4"	"6"	"124"	"13"	"10"	"30"	"12"	"25"	"34"	"506"	""	"506"	""
"150"	"125"	"103"	"64"	"20"	"2"	"2"	"15"	"3"	"4"	"9"	"1"	"6"	"6"	"235"	""	"235"	""
"151"	"126"	"108"	"200"	"206"	"24"	"7"	"50"	"5"	"6"	"19"	"11"	"11"	"16"	"663"	""	"663"	""
"152"	"Grand
Total"	"1136"	"1719"	"636"	"105"	"61"	"2633"	"76"	"120"	"242"	"75"	"124"	"241"	"7168"	"0"	"7168"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"155"	"127"	"43"	"54"	"21"	"1"	"1"	"86"	"2"	"2"	"9"	"0"	"3"	"10"	"232"	""	"232"	""
"156"	"128"	"51"	"186"	"87"	"5"	"5"	"48"	"2"	"9"	"13"	"2"	"9"	"19"	"436"	""	"436"	""
"157"	"129"	"31"	"286"	"36"	"4"	"2"	"81"	"2"	"7"	"23"	"10"	"8"	"7"	"497"	""	"497"	""
"158"	"130"	"81"	"46"	"46"	"0"	"0"	"239"	"3"	"5"	"13"	"1"	"3"	"7"	"444"	""	"444"	""
"159"	"131"	"45"	"71"	"2"	"1"	"1"	"125"	"4"	"3"	"4"	"2"	"3"	"4"	"265"	""	"265"	""
"160"	"132"	"7"	"73"	"29"	"1"	"2"	"375"	"8"	"3"	"6"	"4"	"7"	"7"	"522"	""	"522"	""
"161"	"133"	"26"	"224"	"15"	"2"	"2"	"86"	"1"	"5"	"7"	"2"	"0"	"7"	"377"	""	"377"	""
"162"	"134"	"62"	"137"	"64"	"4"	"3"	"46"	"3"	"1"	"3"	"1"	"3"	"5"	"332"	""	"332"	""
"163"	"135"	"117"	"105"	"25"	"9"	"2"	"68"	"7"	"2"	"13"	"4"	"5"	"9"	"366"	""	"366"	""
"164"	"136"	"3"	"32"	"87"	"0"	"0"	"158"	"4"	"6"	"8"	"3"	"1"	"3"	"305"	""	"305"	""
"165"	"137"	"15"	"46"	"80"	"3"	"2"	"173"	"3"	"15"	"7"	"5"	"3"	"6"	"358"	""	"358"	""
"166"	"138"	"79"	"129"	"143"	"9"	"4"	"152"	"13"	"10"	"10"	"3"	"3"	"12"	"567"	""	"567"	""
"167"	"139"	"26"	"91"	"114"	"4"	"2"	"228"	"6"	"9"	"20"	"8"	"3"	"10"	"521"	""	"521"	""
"168"	"140"	"40"	"153"	"137"	"2"	"7"	"118"	"5"	"12"	"19"	"5"	"9"	"15"	"522"	""	"522"	""
"169"	"Grand
Total"	"626"	"1633"	"886"	"45"	"33"	"1983"	"63"	"89"	"155"	"50"	"60"	"121"	"5744"	"0"	"5744"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"172"	"141"	"1"	"580"	"3"	"1"	"0"	"10"	"1"	"0"	"0"	"1"	"1"	"3"	"601"	""	"601"	""
"173"	"142"	"22"	"165"	"121"	"4"	"4"	"238"	"2"	"9"	"11"	"2"	"0"	"18"	"596"	""	"596"	""
"174"	"143"	"62"	"516"	"35"	"9"	"4"	"43"	"2"	"2"	"9"	"4"	"9"	"13"	"708"	""	"708"	""
"175"	"144"	"10"	"495"	"29"	"5"	"1"	"53"	"2"	"0"	"3"	"1"	"1"	"1"	"601"	""	"601"	""
"176"	"145"	"35"	"175"	"14"	"11"	"3"	"76"	"3"	"3"	"10"	"5"	"2"	"7"	"344"	""	"344"	""
"177"	"146"	"22"	"169"	"32"	"177"	"9"	"17"	"2"	"14"	"4"	"4"	"3"	"4"	"457"	""	"457"	""
