"ernku.dsUnz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"11"	"ea.My"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"vfouk'k ;kno   eukst dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"'kekZ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"j.kohj ;kno    v'kksd dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"[ksrku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"misUnz iz0 pkS0   dqUnu dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"jko"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"?ku';ke eaMy  izeksn ikloku     fcUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	";kno"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Hkjr nkl       eukst flag      y{eh nsoh     erks dk ;ksx"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	""	"1"	""	""	"2"	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"
"22"	"1"	""	"8"	""	"538"	""	"1"	""	""	"12"	""	""	"3"	""	""	"0"	""	""	"3"	""	"1"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"1"	""	"570"
"23"	"2"	""	"14"	""	"84"	""	"14"	""	""	"246"	""	""	"16"	""	""	"2"	""	""	"2"	""	"2"	""	""	"3"	""	"8"	""	""	"4"	""	""	"9"	""	""	"12"	""	""	"9"	""	""	"15"	""	""	"24"	""	"464"
"24"	"3"	""	"26"	""	"155"	""	"11"	""	""	"113"	""	""	"36"	""	""	"4"	""	""	"13"	""	"1"	""	""	"45"	""	"9"	""	""	"3"	""	""	"0"	""	""	"9"	""	""	"2"	""	""	"3"	""	""	"25"	""	"455"
"25"	"4"	""	"18"	""	"102"	""	"39"	""	""	"140"	""	""	"11"	""	""	"1"	""	""	"2"	""	"1"	""	""	"0"	""	"2"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"6"	""	""	"7"	""	"335"
"26"	"5"	""	"8"	""	"183"	""	"112"	""	""	"62"	""	""	"3"	""	""	"3"	""	""	"10"	""	"2"	""	""	"0"	""	"2"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"9"	""	""	"5"	""	""	"1"	""	"405"
"27"	"6"	""	"6"	""	"27"	""	"28"	""	""	"64"	""	""	"8"	""	""	"2"	""	""	"1"	""	"1"	""	""	"1"	""	"2"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"9"	""	"158"
"28"	"7"	""	"14"	""	"627"	""	"119"	""	""	"28"	""	""	"2"	""	""	"0"	""	""	"0"	""	"1"	""	""	"1"	""	"1"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"18"	""	""	"0"	""	""	"5"	""	"821"
"29"	"8"	""	"8"	""	"216"	""	"91"	""	""	"23"	""	""	"2"	""	""	"4"	""	""	"1"	""	"0"	""	""	"0"	""	"0"	""	""	"2"	""	""	"0"	""	""	"4"	""	""	"2"	""	""	"4"	""	""	"6"	""	"363"
"30"	"9"	""	"12"	""	"166"	""	"133"	""	""	"54"	""	""	"7"	""	""	"2"	""	""	"2"	""	"0"	""	""	"4"	""	"2"	""	""	"0"	""	""	"2"	""	""	"6"	""	""	"13"	""	""	"11"	""	""	"17"	""	"431"
"31"	"10"	""	"11"	""	"166"	""	"207"	""	""	"28"	""	""	"2"	""	""	"1"	""	""	"1"	""	"1"	""	""	"3"	""	"7"	""	""	"2"	""	""	"4"	""	""	"4"	""	""	"25"	""	""	"15"	""	""	"10"	""	"487"
"32"	"11"	""	"16"	""	"151"	""	"260"	""	""	"8"	""	""	"4"	""	""	"1"	""	""	"0"	""	"2"	""	""	"5"	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"3"	""	""	"2"	""	"458"
"33"	"12"	""	"31"	""	"36"	""	"76"	""	""	"255"	""	""	"19"	""	""	"5"	""	""	"10"	""	"6"	""	""	"3"	""	"3"	""	""	"4"	""	""	"3"	""	""	"20"	""	""	"5"	""	""	"6"	""	""	"13"	""	"495"
"34"	"13"	""	"173"	""	"84"	""	"25"	""	""	"112"	""	""	"6"	""	""	"7"	""	""	"6"	""	"4"	""	""	"22"	""	"3"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"0"	""	""	"8"	""	""	"18"	""	"477"
"35"	"14"	""	"16"	""	"146"	""	"13"	""	""	"87"	""	""	"7"	""	""	"1"	""	""	"4"	""	"1"	""	""	"2"	""	"0"	""	""	"9"	""	""	"1"	""	""	"3"	""	""	"0"	""	""	"6"	""	""	"4"	""	"300"
"36"	";ksx"	""	"361"	""	"2681"	""	"1129"	""	""	"1232"	""	""	"126"	""	""	"33"	""	""	"55"	""	"23"	""	""	"89"	""	"39"	""	""	"36"	""	""	"24"	""	""	"70"	""	""	"91"	""	""	"88"	""	""	"142"	""	"6219"
"37"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"fnukad &                                                              lax.kd dk gLrk{kj                                                                                      lgk;d fuokZph inkf/kdkjh dk gLrk{kj                           fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"156 ckadk fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"ernku dsUnz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"v'kksd dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"flag"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"tkosn bdcky"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"valkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"jktsUnz ;kno     jkeukjk;.k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"ea.My"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"vfouk'k ;kno   eukst dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"'kekZ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"j.kohj ;kno    v'kksd dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"[ksrku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"misUnz iz0 pkS0   dqUnu dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"jko"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"?ku';ke eaMy  izeksn ikloku     fcUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	";kno"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Hkjr nkl       eukst flag      y{eh nsoh     erks dk ;ksx"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	""	"1"	""	""	"2"	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"
"58"	"15"	""	"23"	""	"110"	""	""	"30"	""	"172"	""	""	"8"	""	""	"4"	""	""	"10"	""	"4"	""	""	"24"	""	"3"	""	""	"3"	""	""	"10"	""	""	"43"	""	""	"5"	""	""	"14"	""	""	"20"	""	"483"
"59"	"16"	""	"20"	""	"81"	""	""	"67"	""	"319"	""	""	"36"	""	""	"3"	""	""	"5"	""	"5"	""	""	"15"	""	"7"	""	""	"18"	""	""	"5"	""	""	"10"	""	""	"1"	""	""	"7"	""	""	"21"	""	"620"
"60"	"17"	""	"37"	""	"50"	""	""	"21"	""	"161"	""	""	"21"	""	""	"5"	""	""	"20"	""	"0"	""	""	"51"	""	"4"	""	""	"10"	""	""	"4"	""	""	"31"	""	""	"7"	""	""	"28"	""	""	"20"	""	"470"
"61"	"18"	""	"9"	""	"420"	""	""	"21"	""	"25"	""	""	"2"	""	""	"2"	""	""	"0"	""	"0"	""	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"2"	""	"485"
"62"	"19"	""	"29"	""	"51"	""	""	"67"	""	"125"	""	""	"24"	""	""	"2"	""	""	"5"	""	"0"	""	""	"3"	""	"2"	""	""	"1"	""	""	"5"	""	""	"26"	""	""	"3"	""	""	"0"	""	""	"2"	""	"345"
"63"	"20"	""	"0"	""	"670"	""	""	"8"	""	"1"	""	""	"0"	""	""	"0"	""	""	"4"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	"686"
"64"	"21"	""	"13"	""	"243"	""	""	"100"	""	"2"	""	""	"4"	""	""	"1"	""	""	"3"	""	"1"	""	""	"10"	""	"0"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	"5"	""	"392"
"65"	"22"	""	"31"	""	"184"	""	""	"115"	""	"109"	""	""	"13"	""	""	"5"	""	""	"4"	""	"5"	""	""	"2"	""	"2"	""	""	"1"	""	""	"2"	""	""	"13"	""	""	"3"	""	""	"7"	""	""	"15"	""	"511"
"66"	"23"	""	"34"	""	"259"	""	""	"41"	""	"11"	""	""	"1"	""	""	"1"	""	""	"1"	""	"0"	""	""	"7"	""	"0"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"22"	""	""	"14"	""	"395"
"67"	"24"	""	"32"	""	"57"	""	""	"20"	""	"174"	""	""	"17"	""	""	"5"	""	""	"4"	""	"1"	""	""	"3"	""	"6"	""	""	"3"	""	""	"4"	""	""	"10"	""	""	"5"	""	""	"7"	""	""	"165"	""	"513"
"68"	"25"	""	"10"	""	"30"	""	""	"79"	""	"296"	""	""	"11"	""	""	"8"	""	""	"8"	""	"4"	""	""	"57"	""	"13"	""	""	"5"	""	""	"8"	""	""	"26"	""	""	"5"	""	""	"9"	""	""	"35"	""	"604"
"69"	"26"	""	"26"	""	"54"	""	""	"66"	""	"87"	""	""	"6"	""	""	"6"	""	""	"6"	""	"4"	""	""	"19"	""	"3"	""	""	"9"	""	""	"4"	""	""	"13"	""	""	"14"	""	""	"11"	""	""	"49"	""	"377"
"70"	"27"	""	"24"	""	"231"	""	""	"136"	""	"56"	""	""	"48"	""	""	"8"	""	""	"14"	""	"8"	""	""	"6"	""	"6"	""	""	"13"	""	""	"3"	""	""	"24"	""	""	"6"	""	""	"11"	""	""	"17"	""	"611"
"71"	"28"	""	"43"	""	"105"	""	""	"154"	""	"91"	""	""	"10"	""	""	"8"	""	""	"12"	""	"4"	""	""	"51"	""	"0"	""	""	"4"	""	""	"2"	""	""	"12"	""	""	"7"	""	""	"10"	""	""	"87"	""	"600"
"72"	";ksx"	""	"331"	""	"2545"	""	""	"925"	""	"1629"	""	""	"201"	""	""	"58"	""	""	"96"	""	"36"	""	""	"249"	""	"46"	""	""	"71"	""	""	"48"	""	""	"211"	""	""	"58"	""	""	"134"	""	""	"454"	""	"7092"
"73"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"fnukad &                                                              lax.kd dk gLrk{kj                                                                                      lgk;d fuokZph inkf/kdkjh dk gLrk{kj                           fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"156 ckadk fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"ernku dsUnz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"v'kksd dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"flag"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"tkosn bdcky"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"valkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"jktsUnz ;kno     jkeukjk;.k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"ea.My"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"vfouk'k ;kno   eukst dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"'kekZ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"j.kohj ;kno    v'kksd dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"[ksrku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"misUnz iz0 pkS0   dqUnu dqekj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"jko"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"?ku';ke eaMy  izeksn ikloku     fcUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	";kno"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Hkjr nkl       eukst flag      y{eh nsoh     erks dk ;ksx"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	""	"1"	""	""	"2"	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"
"94"	"29"	""	"20"	""	"252"	""	""	"16"	""	"136"	""	""	"65"	""	""	"3"	""	""	"3"	""	"4"	""	""	"13"	""	"6"	""	""	"6"	""	""	"3"	""	""	"9"	""	""	"1"	""	""	"5"	""	""	"6"	""	"548"
"95"	"30"	""	"8"	""	"75"	""	""	"177"	""	"89"	""	""	"30"	""	""	"1"	""	""	"6"	""	"2"	""	""	"3"	""	"11"	""	""	"4"	""	""	"2"	""	""	"7"	""	""	"10"	""	""	"3"	""	""	"10"	""	"438"
"96"	"31"	""	"43"	""	"475"	""	""	"23"	""	"31"	""	""	"5"	""	""	"1"	""	""	"1"	""	"2"	""	""	"9"	""	"1"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"17"	""	""	"9"	""	"622"
"97"	"32"	""	"12"	""	"50"	""	""	"54"	""	"86"	""	""	"9"	""	""	"3"	""	""	"0"	""	"1"	""	""	"223"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"15"	""	""	"0"	""	"458"
"98"	"33"	""	"25"	""	"188"	""	""	"48"	""	"14"	""	""	"9"	""	""	"0"	""	""	"1"	""	"1"	""	""	"12"	""	"0"	""	""	"1"	""	""	"5"	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"22"	""	"335"
"99"	"34"	""	"4"	""	"132"	""	""	"11"	""	"369"	""	""	"10"	""	""	"0"	""	""	"1"	""	"2"	""	""	"9"	""	"0"	""	""	"0"	""	""	"0"	""	""	"8"	""	""	"0"	""	""	"1"	""	""	"2"	""	"549"
"100"	"35"	""	"12"	""	"63"	""	""	"10"	""	"397"	""	""	"18"	""	""	"1"	""	""	"5"	""	"0"	""	""	"18"	""	"1"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"1"	""	"533"
"101"	"36"	""	"13"	""	"99"	""	""	"29"	""	"264"	""	""	"3"	""	""	"0"	""	""	"1"	""	"1"	""	""	"2"	""	"1"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"6"	""	"428"
"102"	"37"	""	"9"	""	"85"	""	""	"29"	""	"158"	""	""	"11"	""	""	"1"	""	""	"1"	""	"0"	""	""	"14"	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"4"	""	"317"
"103"	"38"	""	"23"	""	"183"	""	""	"16"	""	"112"	""	""	"9"	""	""	"3"	""	""	"2"	""	"0"	""	""	"6"	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"4"	""	"361"
"104"	"39"	""	"14"	""	"122"	""	""	"95"	""	"171"	""	""	"18"	""	""	"2"	""	""	"18"	""	"0"	""	""	"10"	""	"18"	""	""	"5"	""	""	"1"	""	""	"6"	""	""	"6"	""	""	"4"	""	""	"6"	""	"496"
"105"	"40"	""	"5"	""	"64"	""	""	"145"	""	"103"	""	""	"43"	""	""	"3"	""	""	"3"	""	"1"	""	""	"5"	""	"1"	""	""	"0"	""	""	"3"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	"10"	""	"392"
"106"	"41"	""	"9"	""	"22"	""	""	"22"	""	"350"	""	""	"5"	""	""	"8"	""	""	"1"	""	"1"	""	""	"29"	""	"2"	""	""	"0"	""	""	"1"	""	""	"7"	""	""	"1"	""	""	"4"	""	""	"9"	""	"471"
"107"	"42"	""	"6"	""	"65"	""	""	"26"	""	"238"	""	""	"11"	""	""	"4"	""	""	"24"	""	"0"	""	""	"4"	""	"0"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"3"	""	""	"6"	""	"395"
"108"	";ksx"	""	"203"	""	"1875"	""	""	"701"	""	"2518"	""	""	"246"	""	""	"30"	""	""	"67"	""	"15"	""	""	"357"	""	"43"	""	""	"20"	""	""	"21"	""	""	"57"	""	""	"32"	""	""	"63"	""	""	"95"	""	"6343"
"109"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"fnukad &                                                              lax.kd dk gLrk{kj                                                                                      lgk;d fuokZph inkf/kdkjh dk gLrk{kj                           fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"156 ckadk fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
