"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"88"	"79"	"0"	"17"	"5"	"0"	"0"	"0"	"0"	"4"	"549"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"579"	"0"	"579"	"0"
"89"	"80"	"8"	"15"	"19"	"1"	"0"	"0"	"0"	"2"	"364"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"413"	"0"	"413"	"0"
"90"	"81"	"11"	"11"	"75"	"0"	"5"	"1"	"1"	"12"	"213"	"3"	"1"	"2"	"1"	"2"	"2"	"3"	"343"	"0"	"343"	"0"
"91"	"82"	"0"	"31"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"50"	"0"	"50"	"0"
"92"	"83"	"6"	"24"	"51"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"10"	"1"	"98"	"0"	"98"	"0"
"93"	"84"	"7"	"80"	"37"	"3"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"5"	"9"	"4"	"156"	"0"	"156"	"0"
"94"	"85"	"10"	"84"	"58"	"0"	"5"	"1"	"2"	"0"	"11"	"2"	"2"	"0"	"1"	"2"	"9"	"2"	"189"	"0"	"189"	"0"
"95"	"86"	"38"	"65"	"249"	"4"	"8"	"1"	"2"	"2"	"5"	"2"	"1"	"3"	"1"	"1"	"0"	"3"	"385"	"0"	"385"	"0"
"96"	"87"	"18"	"32"	"112"	"1"	"3"	"1"	"2"	"0"	"133"	"2"	"0"	"1"	"0"	"0"	"4"	"0"	"309"	"0"	"309"	"0"
"97"	"88"	"28"	"105"	"111"	"3"	"10"	"1"	"5"	"4"	"19"	"0"	"0"	"0"	"1"	"1"	"6"	"6"	"300"	"0"	"300"	"0"
"98"	"89"	"4"	"127"	"195"	"5"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"340"	"0"	"340"	"0"
"99"	"Booth No"	"ASHWINI KUMAR SHARMA"	"FULENA SINGH"	"VIJAYA KUMAR SINHA"	"MAHESH PRASAD SINGH"	"RAMANUJ PRASAD SINGH"	"SADANAND YADAV"	"AMARENDR A KUMAR"	"NAVIN KUMAR SINGH"	"PINKI DEVI"	"MANOJ KUMAR"	"MUNNI DEVI"	"RAMESH SINGH"	"RAMANAND AN MAHTO"	"VINAY SINGH"	"VIPIN SINGH"	"VIRENDRA SINGH"	"TOTAL VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"101"	"89A"	"1"	"9"	"33"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"49"	"0"	"49"	"0"
"102"	"90"	"9"	"42"	"195"	"2"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"10"	"10"	"10"	"6"	"296"	"0"	"296"	"0"
"103"	"91"	"5"	"139"	"40"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"4"	"1"	"195"	"0"	"195"	"0"
"104"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"105"	"93"	"6"	"1"	"70"	"1"	"0"	"0"	"1"	"4"	"92"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"179"	"0"	"179"	"0"
"106"	"94"	"66"	"102"	"370"	"6"	"5"	"1"	"0"	"1"	"4"	"2"	"1"	"2"	"2"	"10"	"7"	"8"	"587"	"0"	"587"	"0"
"107"	"95"	"51"	"171"	"218"	"3"	"9"	"5"	"1"	"0"	"5"	"0"	"3"	"0"	"0"	"0"	"3"	"7"	"476"	"0"	"476"	"0"
"108"	"96"	"24"	"32"	"449"	"8"	"11"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"10"	"0"	"538"	"0"	"538"	"0"
"109"	"97"	"13"	"128"	"100"	"4"	"4"	"0"	"2"	"1"	"3"	"1"	"0"	"3"	"2"	"8"	"15"	"23"	"307"	"0"	"307"	"0"
"110"	"98"	"23"	"264"	"306"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"601"	"0"	"601"	"0"
"111"	"99"	"23"	"167"	"136"	"5"	"3"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"4"	"6"	"9"	"7"	"365"	"0"	"365"	"0"
"112"	"100"	"17"	"214"	"383"	"1"	"5"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"628"	"0"	"628"	"0"
"113"	"101"	"35"	"160"	"147"	"1"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"3"	"2"	"2"	"356"	"0"	"356"	"0"
"114"	"102"	"29"	"141"	"291"	"3"	"5"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"3"	"2"	"3"	"485"	"0"	"485"	"0"
"115"	"103"	"27"	"109"	"178"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"0"	"321"	"0"
"116"	"104"	"58"	"109"	"273"	"3"	"5"	"1"	"0"	"1"	"28"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"481"	"0"	"481"	"0"
"117"	"105"	"83"	"15"	"20"	"0"	"1"	"0"	"1"	"0"	"8"	"0"	"0"	"2"	"1"	"1"	"3"	"6"	"141"	"0"	"141"	"0"
"118"	"106"	"74"	"169"	"171"	"2"	"5"	"1"	"4"	"1"	"1"	"5"	"5"	"5"	"9"	"11"	"27"	"20"	"510"	"0"	"510"	"0"
"119"	"107"	"111"	"167"	"124"	"6"	"5"	"1"	"5"	"5"	"6"	"2"	"0"	"2"	"6"	"4"	"6"	"14"	"464"	"0"	"464"	"0"
"120"	"108"	"65"	"61"	"256"	"4"	"2"	"1"	"1"	"2"	"3"	"1"	"1"	"0"	"4"	"5"	"4"	"8"	"418"	"0"	"418"	"0"
"121"	"109"	"52"	"309"	"43"	"0"	"0"	"0"	"2"	"3"	"1"	"4"	"2"	"2"	"0"	"0"	"11"	"8"	"437"	"0"	"437"	"0"
"122"	"110"	"18"	"138"	"267"	"3"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"2"	"0"	"1"	"2"	"5"	"443"	"0"	"443"	"0"
"123"	"111"	"15"	"56"	"284"	"2"	"1"	"0"	"0"	"0"	"10"	"0"	"0"	"1"	"0"	"0"	"5"	"8"	"382"	"0"	"382"	"0"
"124"	"112"	"210"	"108"	"103"	"4"	"3"	"1"	"1"	"3"	"3"	"3"	"4"	"7"	"3"	"7"	"5"	"25"	"490"	"0"	"490"	"0"
"125"	"113"	"238"	"115"	"124"	"4"	"9"	"2"	"4"	"2"	"1"	"3"	"5"	"0"	"4"	"1"	"5"	"6"	"523"	"0"	"523"	"0"
"126"	"114"	"60"	"34"	"292"	"8"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"3"	"8"	"7"	"418"	"0"	"418"	"0"
"127"	"115"	"139"	"45"	"328"	"9"	"6"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"536"	"0"	"536"	"0"
"128"	"116"	"82"	"159"	"148"	"13"	"4"	"2"	"2"	"2"	"15"	"1"	"3"	"3"	"2"	"2"	"6"	"8"	"452"	"0"	"452"	"0"
"129"	"116A"	"52"	"110"	"130"	"9"	"1"	"1"	"0"	"0"	"10"	"0"	"0"	"2"	"2"	"5"	"8"	"1"	"331"	"0"	"331"	"0"
"130"	"117"	"64"	"20"	"267"	"0"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"6"	"5"	"376"	"0"	"376"	"0"
"131"	"118"	"43"	"78"	"102"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"2"	"234"	"0"	"234"	"0"
"132"	"119"	"60"	"125"	"152"	"8"	"7"	"2"	"3"	"2"	"1"	"0"	"0"	"1"	"6"	"7"	"6"	"10"	"390"	"0"	"390"	"0"
"133"	"Booth No"	"ASHWINI KUMAR SHARMA"	"FULENA SINGH"	"VIJAYA KUMAR SINHA"	"MAHESH PRASAD SINGH"	"RAMANUJ PRASAD SINGH"	"SADANAND YADAV"	"AMARENDR A KUMAR"	"NAVIN KUMAR SINGH"	"PINKI DEVI"	"MANOJ KUMAR"	"MUNNI DEVI"	"RAMESH SINGH"	"RAMANAND AN MAHTO"	"VINAY SINGH"	"VIPIN SINGH"	"VIRENDRA SINGH"	"TOTAL VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"135"	"120"	"49"	"60"	"311"	"1"	"6"	"0"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"1"	"15"	"2"	"452"	"0"	"452"	"0"
"136"	"121"	"261"	"35"	"114"	"0"	"6"	"4"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"3"	"21"	"4"	"456"	"0"	"456"	"0"
"137"	"122"	"144"	"11"	"106"	"0"	"4"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"2"	"4"	"3"	"280"	"0"	"280"	"0"
"138"	"123"	"191"	"30"	"147"	"1"	"3"	"0"	"0"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"3"	"3"	"388"	"0"	"388"	"0"
"139"	"124"	"220"	"46"	"160"	"5"	"5"	"1"	"3"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"15"	"8"	"471"	"0"	"471"	"0"
"140"	"125"	"204"	"53"	"133"	"2"	"6"	"2"	"4"	"2"	"8"	"1"	"3"	"2"	"2"	"5"	"14"	"18"	"459"	"0"	"459"	"0"
"141"	"126"	"72"	"39"	"45"	"1"	"2"	"1"	"0"	"3"	"7"	"0"	"1"	"1"	"0"	"7"	"5"	"5"	"189"	"0"	"189"	"0"
"142"	"127"	"175"	"54"	"9"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"5"	"9"	"264"	"0"	"264"	"0"
"143"	"128"	"130"	"61"	"139"	"1"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"2"	"5"	"6"	"11"	"6"	"368"	"0"	"368"	"0"
"144"	"129"	"138"	"41"	"239"	"4"	"5"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"4"	"14"	"12"	"7"	"471"	"0"	"471"	"0"
"145"	"130"	"265"	"17"	"132"	"5"	"1"	"0"	"4"	"1"	"0"	"2"	"2"	"1"	"6"	"4"	"23"	"15"	"478"	"0"	"478"	"0"
