"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"18"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"19"	"15"	"382"	"25"	"64"	"8"	"19"	"6"	"6"	"7"	"9"	"12"	"15"	"553"	""	"553"	""
"20"	"16"	"58"	"9"	"160"	"5"	"3"	"6"	"3"	"9"	"5"	"7"	"10"	"275"	""	"275"	""
"21"	"17"	"89"	"23"	"367"	"6"	"19"	"17"	"17"	"121"	"12"	"21"	"12"	"704"	""	"704"	""
"22"	"18"	"219"	"22"	"371"	"3"	"10"	"17"	"19"	"10"	"7"	"9"	"25"	"712"	""	"712"	""
"23"	"19"	"115"	"9"	"64"	"5"	"24"	"4"	"16"	"4"	"8"	"5"	"8"	"262"	""	"262"	""
"24"	"20"	"12"	"1"	"143"	"2"	"17"	"2"	"1"	"0"	"0"	"0"	"2"	"180"	""	"180"	""
"25"	"21"	"218"	"10"	"253"	"7"	"12"	"7"	"11"	"62"	"19"	"10"	"20"	"629"	""	"629"	""
"26"	"22"	"149"	"9"	"306"	"10"	"102"	"15"	"19"	"15"	"18"	"12"	"16"	"671"	""	"671"	""
"27"	"23"	"95"	"13"	"259"	"9"	"20"	"17"	"21"	"11"	"1"	"8"	"9"	"463"	""	"463"	""
"28"	"24"	"60"	"9"	"429"	"4"	"3"	"15"	"14"	"11"	"7"	"9"	"11"	"572"	""	"572"	""
"29"	"25"	"58"	"13"	"415"	"12"	"15"	"12"	"12"	"7"	"6"	"6"	"4"	"560"	""	"560"	""
"30"	"26"	"138"	"30"	"290"	"11"	"27"	"13"	"21"	"17"	"8"	"10"	"7"	"572"	""	"572"	""
"31"	"27"	"104"	"102"	"285"	"10"	"26"	"29"	"22"	"19"	"22"	"32"	"80"	"731"	""	"731"	""
"32"	"28"	"138"	"20"	"362"	"10"	"39"	"10"	"23"	"7"	"13"	"12"	"3"	"637"	""	"637"	""
"33"	"TOTAL-II"	"1835"	"295"	"3768"	"102"	"336"	"170"	"205"	"300"	"135"	"153"	"222"	"7521"	""	"7521"	""
"34"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"36"	"29"	"111"	"33"	"268"	"8"	"10"	"21"	"30"	"69"	"9"	"16"	"21"	"596"	""	"596"	""
"37"	"30"	"22"	"26"	"307"	"2"	"17"	"18"	"15"	"14"	"4"	"7"	"12"	"444"	""	"444"	""
"38"	"31"	"198"	"18"	"88"	"6"	"18"	"6"	"5"	"3"	"2"	"3"	"4"	"351"	""	"351"	""
"39"	"32"	"27"	"7"	"349"	"9"	"6"	"8"	"13"	"5"	"4"	"8"	"6"	"442"	""	"442"	""
"40"	"33"	"67"	"27"	"245"	"9"	"14"	"11"	"18"	"9"	"31"	"7"	"14"	"452"	""	"452"	""
"41"	"34"	"164"	"10"	"172"	"6"	"20"	"11"	"16"	"10"	"9"	"3"	"6"	"427"	""	"427"	""
"42"	"35"	"165"	"9"	"161"	"4"	"16"	"7"	"3"	"0"	"3"	"2"	"0"	"370"	""	"370"	""
"43"	"36"	"180"	"8"	"180"	"5"	"20"	"10"	"4"	"4"	"0"	"3"	"8"	"422"	""	"422"	""
"44"	"37"	"351"	"27"	"23"	"10"	"28"	"2"	"6"	"0"	"0"	"3"	"1"	"451"	""	"451"	""
"45"	"38"	"302"	"33"	"176"	"8"	"15"	"13"	"6"	"14"	"4"	"8"	"3"	"582"	""	"582"	""
"46"	"39"	"249"	"13"	"158"	"11"	"27"	"11"	"16"	"9"	"6"	"7"	"19"	"526"	""	"526"	""
"47"	"40"	"251"	"19"	"39"	"6"	"96"	"7"	"9"	"9"	"2"	"3"	"9"	"450"	""	"450"	""
"48"	"41"	"271"	"7"	"17"	"9"	"31"	"2"	"11"	"1"	"1"	"4"	"21"	"375"	""	"375"	""
"49"	"42"	"345"	"67"	"19"	"5"	"35"	"7"	"10"	"1"	"5"	"5"	"3"	"502"	""	"502"	""
"50"	"Total(I-III)"	"2703"	"304"	"2202"	"98"	"353"	"134"	"162"	"148"	"80"	"79"	"127"	"6390"	""	"6390"	""
"51"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"53"	"43"	"146"	"6"	"118"	"5"	"0"	"3"	"2"	"3"	"4"	"1"	"9"	"297"	""	"297"	""
"54"	"44"	"36"	"5"	"211"	"3"	"16"	"12"	"11"	"2"	"2"	"7"	"37"	"342"	""	"342"	""
"55"	"45"	"282"	"17"	"322"	"10"	"12"	"16"	"11"	"7"	"7"	"6"	"14"	"704"	""	"704"	""
"56"	"46"	"373"	"30"	"239"	"12"	"23"	"12"	"14"	"9"	"6"	"3"	"5"	"726"	""	"726"	""
"57"	"47"	"144"	"10"	"168"	"13"	"6"	"5"	"11"	"6"	"11"	"4"	"7"	"385"	""	"385"	""
"58"	"48"	"28"	"4"	"190"	"8"	"7"	"8"	"10"	"2"	"4"	"6"	"4"	"271"	""	"271"	""
"59"	"49"	"163"	"10"	"209"	"6"	"11"	"15"	"11"	"27"	"9"	"11"	"10"	"482"	""	"482"	""
"60"	"50"	"206"	"19"	"134"	"9"	"14"	"15"	"10"	"94"	"23"	"17"	"29"	"570"	""	"570"	""
"61"	"51"	"148"	"19"	"190"	"9"	"57"	"16"	"20"	"8"	"4"	"6"	"11"	"488"	""	"488"	""
"62"	"52"	"334"	"41"	"86"	"6"	"5"	"3"	"2"	"2"	"5"	"5"	"13"	"502"	""	"502"	""
"63"	"53"	"275"	"12"	"13"	"3"	"5"	"0"	"3"	"2"	"1"	"3"	"7"	"324"	""	"324"	""
"64"	"54"	"196"	"6"	"383"	"5"	"3"	"5"	"5"	"10"	"3"	"6"	"3"	"625"	""	"625"	""
"65"	"55"	"45"	"6"	"326"	"4"	"15"	"20"	"22"	"12"	"5"	"11"	"14"	"480"	""	"480"	""
"66"	"56"	"88"	"32"	"197"	"9"	"21"	"18"	"18"	"14"	"10"	"9"	"35"	"451"	""	"451"	""
"67"	"TOTAL-IV"	"2464"	"217"	"2786"	"102"	"195"	"148"	"150"	"198"	"94"	"95"	"198"	"6647"	""	"6647"	""
"68"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"70"	"57"	"104"	"13"	"278"	"3"	"13"	"10"	"14"	"11"	"7"	"6"	"16"	"475"	""	"475"	""
"71"	"58"	"177"	"17"	"363"	"9"	"15"	"30"	"25"	"23"	"13"	"14"	"17"	"703"	""	"703"	""
"72"	"59"	"468"	"39"	"38"	"2"	"5"	"1"	"2"	"1"	"0"	"1"	"5"	"562"	""	"562"	""
"73"	"60"	"539"	"20"	"52"	"2"	"14"	"9"	"6"	"2"	"1"	"0"	"5"	"650"	""	"650"	""
"74"	"61"	"57"	"8"	"436"	"7"	"6"	"17"	"12"	"3"	"2"	"5"	"8"	"561"	""	"561"	""
"75"	"62"	"191"	"26"	"193"	"6"	"24"	"13"	"23"	"14"	"12"	"15"	"22"	"539"	""	"539"	""
"76"	"63"	"75"	"3"	"462"	"3"	"4"	"3"	"7"	"2"	"3"	"1"	"0"	"563"	""	"563"	""
"77"	"64"	"79"	"8"	"410"	"3"	"20"	"26"	"40"	"16"	"11"	"13"	"11"	"637"	""	"637"	""
"78"	"65"	"387"	"5"	"29"	"2"	"8"	"2"	"2"	"0"	"1"	"1"	"3"	"440"	""	"440"	""
"79"	"66"	"124"	"16"	"223"	"15"	"6"	"10"	"11"	"104"	"15"	"11"	"14"	"549"	""	"549"	""
"80"	"67"	"152"	"3"	"72"	"4"	"68"	"7"	"20"	"3"	"2"	"2"	"12"	"345"	""	"345"	""
"81"	"68"	"312"	"19"	"103"	"2"	"6"	"3"	"3"	"3"	"4"	"4"	"9"	"468"	""	"468"	""
"82"	"69"	"126"	"15"	"154"	"10"	"11"	"24"	"14"	"15"	"15"	"8"	"13"	"405"	""	"405"	""
"83"	"70"	"210"	"12"	"326"	"3"	"44"	"13"	"5"	"18"	"3"	"2"	"5"	"641"	""	"641"	""
"84"	"TOTAL-V"	"3001"	"204"	"3139"	"71"	"244"	"168"	"184"	"215"	"89"	"83"	"140"	"7538"	""	"7538"	""
"85"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"87"	"71"	"170"	"9"	"188"	"10"	"8"	"7"	"7"	"12"	"4"	"8"	"11"	"434"	""	"434"	""
"88"	"72"	"233"	"8"	"18"	"1"	"3"	"0"	"4"	"0"	"0"	"1"	"1"	"269"	""	"269"	""
"89"	"73"	"192"	"4"	"29"	"4"	"9"	"3"	"5"	"27"	"2"	"4"	"6"	"285"	""	"285"	""
"90"	"74"	"352"	"18"	"121"	"9"	"9"	"7"	"4"	"6"	"8"	"7"	"15"	"556"	""	"556"	""
"91"	"75"	"232"	"77"	"146"	"4"	"14"	"6"	"9"	"12"	"6"	"9"	"18"	"533"	""	"533"	""
"92"	"76"	"243"	"22"	"94"	"5"	"11"	"6"	"9"	"8"	"0"	"6"	"4"	"408"	""	"408"	""
"93"	"77"	"104"	"7"	"350"	"6"	"10"	"22"	"10"	"56"	"10"	"14"	"9"	"598"	""	"598"	""
"94"	"78"	"236"	"11"	"152"	"4"	"4"	"5"	"4"	"2"	"6"	"2"	"3"	"429"	""	"429"	""
"95"	"79"	"192"	"9"	"169"	"4"	"12"	"3"	"4"	"2"	"1"	"1"	"4"	"401"	""	"401"	""
"96"	"80"	"72"	"13"	"330"	"7"	"7"	"8"	"4"	"2"	"1"	"3"	"1"	"448"	""	"448"	""
"97"	"81"	"133"	"6"	"365"	"6"	"19"	"14"	"12"	"9"	"3"	"4"	"9"	"580"	""	"580"	""
"98"	"82"	"31"	"28"	"406"	"6"	"9"	"11"	"17"	"15"	"6"	"8"	"13"	"550"	""	"550"	""
"99"	"83"	"262"	"25"	"162"	"6"	"46"	"6"	"17"	"8"	"1"	"7"	"9"	"549"	""	"549"	""
"100"	"84"	"351"	"13"	"160"	"5"	"9"	"7"	"8"	"9"	"3"	"4"	"15"	"584"	""	"584"	""
"101"	"TOTAL-VI"	"2803"	"250"	"2690"	"77"	"170"	"105"	"114"	"168"	"51"	"78"	"118"	"6624"	""	"6624"	""
"102"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"104"	"85"	"249"	"18"	"53"	"6"	"9"	"3"	"6"	"2"	"5"	"4"	"18"	"373"	""	"373"	""
"105"	"86"	"123"	"7"	"129"	"8"	"13"	"10"	"15"	"101"	"11"	"23"	"44"	"484"	""	"484"	""
"106"	"87"	"125"	"18"	"164"	"10"	"10"	"6"	"9"	"35"	"4"	"6"	"7"	"394"	""	"394"	""
"107"	"88"	"146"	"13"	"174"	"4"	"1"	"7"	"10"	"5"	"13"	"0"	"1"	"374"	""	"374"	""
"108"	"89"	"170"	"8"	"146"	"7"	"9"	"5"	"6"	"14"	"50"	"8"	"15"	"438"	""	"438"	""
"109"	"90"	"325"	"13"	"39"	"4"	"10"	"2"	"1"	"1"	"1"	"0"	"4"	"400"	""	"400"	""
"110"	"91"	"70"	"4"	"43"	"3"	"6"	"7"	"2"	"74"	"7"	"8"	"6"	"230"	""	"230"	""
"111"	"92"	"43"	"2"	"171"	"11"	"20"	"0"	"6"	"2"	"0"	"3"	"4"	"262"	""	"262"	""
"112"	"93"	"169"	"32"	"308"	"9"	"26"	"16"	"17"	"10"	"6"	"8"	"5"	"606"	""	"606"	""
"113"	"94"	"104"	"9"	"343"	"5"	"18"	"9"	"16"	"79"	"30"	"25"	"4"	"642"	""	"642"	""
"114"	"95"	"771"	"2"	"53"	"2"	"7"	"3"	"3"	"2"	"2"	"3"	"1"	"849"	""	"849"	""
"115"	"96"	"96"	"23"	"341"	"14"	"21"	"19"	"21"	"63"	"7"	"18"	"7"	"630"	""	"630"	""
"116"	"97"	"281"	"15"	"151"	"45"	"10"	"18"	"18"	"18"	"10"	"10"	"25"	"601"	""	"601"	""
"117"	"98"	"93"	"7"	"44"	"3"	"0"	"4"	"4"	"32"	"34"	"9"	"13"	"243"	""	"243"	""
"118"	"TOTAL-VII"	"2765"	"171"	"2159"	"131"	"160"	"109"	"134"	"438"	"180"	"125"	"154"	"6526"	""	"6526"	""
"119"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
