"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"37"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"39"	"29"	"380"	"22"	"10"	"2"	"7"	"2"	"9"	"432"	""	"432"	""
"40"	"30"	"122"	"102"	"6"	"113"	"5"	"4"	"2"	"354"	""	"354"	""
"41"	"31"	"96"	"279"	"13"	"40"	"20"	"9"	"14"	"471"	""	"471"	""
"42"	"32"	"263"	"84"	"8"	"9"	"10"	"9"	"9"	"392"	""	"392"	""
"43"	"33"	"346"	"37"	"7"	"3"	"1"	"2"	"9"	"405"	""	"405"	""
"44"	"34"	"324"	"257"	"21"	"43"	"18"	"12"	"14"	"689"	""	"689"	""
"45"	"35"	"58"	"100"	"8"	"51"	"17"	"8"	"15"	"257"	""	"257"	""
"46"	"36"	"47"	"490"	"12"	"17"	"5"	"5"	"2"	"578"	""	"578"	""
"47"	"37"	"118"	"295"	"3"	"31"	"8"	"4"	"5"	"464"	""	"464"	""
"48"	"38"	"175"	"283"	"11"	"53"	"11"	"9"	"13"	"555"	""	"555"	""
"49"	"39"	"108"	"291"	"9"	"18"	"30"	"16"	"30"	"502"	""	"502"	""
"50"	"40"	"144"	"97"	"11"	"119"	"13"	"7"	"10"	"401"	""	"401"	""
"51"	"41"	"421"	"163"	"10"	"15"	"12"	"4"	"14"	"639"	""	"639"	""
"52"	"42"	"115"	"401"	"6"	"41"	"6"	"9"	"9"	"587"	""	"587"	""
"53"	"Total Round 3"	"2717"	"2901"	"135"	"555"	"163"	"100"	"155"	"6726"	"0"	"6726"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"57"	"43"	"198"	"66"	"11"	"80"	"6"	"4"	"10"	"375"	""	"375"	""
"58"	"44"	"278"	"305"	"9"	"107"	"16"	"16"	"27"	"758"	""	"758"	""
"59"	"45"	"346"	"79"	"13"	"67"	"6"	"13"	"34"	"558"	""	"558"	""
"60"	"46"	"181"	"68"	"11"	"35"	"2"	"17"	"78"	"392"	""	"392"	""
"61"	"47"	"204"	"9"	"42"	"126"	"8"	"6"	"14"	"409"	""	"409"	""
"62"	"48"	"495"	"60"	"25"	"136"	"14"	"14"	"18"	"762"	""	"762"	""
"63"	"49"	"235"	"66"	"10"	"104"	"15"	"10"	"30"	"470"	""	"470"	""
"64"	"50"	"176"	"69"	"12"	"225"	"23"	"23"	"33"	"561"	""	"561"	""
"65"	"51"	"65"	"374"	"5"	"58"	"5"	"6"	"6"	"519"	""	"519"	""
"66"	"52"	"233"	"331"	"12"	"33"	"24"	"12"	"26"	"671"	""	"671"	""
"67"	"53"	"122"	"374"	"5"	"68"	"19"	"10"	"12"	"610"	""	"610"	""
"68"	"54"	"218"	"220"	"10"	"30"	"12"	"4"	"7"	"501"	""	"501"	""
"69"	"55"	"228"	"161"	"15"	"73"	"18"	"8"	"9"	"512"	""	"512"	""
"70"	"56"	"184"	"167"	"13"	"27"	"25"	"17"	"19"	"452"	""	"452"	""
"71"	"Total Round 4"	"3163"	"2349"	"193"	"1169"	"193"	"160"	"323"	"7550"	"0"	"7550"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"75"	"57"	"266"	"223"	"11"	"12"	"6"	"10"	"34"	"562"	""	"562"	""
"76"	"58"	"533"	"10"	"1"	"3"	"2"	"0"	"2"	"551"	""	"551"	""
"77"	"59"	"317"	"230"	"12"	"21"	"11"	"5"	"15"	"611"	""	"611"	""
"78"	"60"	"567"	"57"	"6"	"18"	"6"	"2"	"3"	"659"	""	"659"	""
"79"	"61"	"260"	"81"	"3"	"11"	"5"	"4"	"9"	"373"	""	"373"	""
"80"	"62"	"294"	"220"	"3"	"11"	"15"	"8"	"14"	"565"	""	"565"	""
"81"	"63"	"187"	"362"	"7"	"19"	"15"	"6"	"9"	"605"	""	"605"	""
"82"	"64"	"489"	"11"	"0"	"1"	"0"	"0"	"0"	"501"	""	"501"	""
"83"	"65"	"379"	"96"	"5"	"19"	"5"	"2"	"9"	"515"	""	"515"	""
"84"	"66"	"380"	"57"	"2"	"4"	"5"	"6"	"4"	"458"	""	"458"	""
"85"	"67"	"304"	"202"	"7"	"16"	"22"	"8"	"13"	"572"	""	"572"	""
"86"	"68"	"452"	"171"	"8"	"6"	"9"	"9"	"10"	"665"	""	"665"	""
"87"	"69"	"525"	"72"	"7"	"12"	"9"	"5"	"8"	"638"	""	"638"	""
"88"	"70"	"301"	"95"	"1"	"0"	"3"	"5"	"2"	"407"	""	"407"	""
"89"	"Total Round 5"	"5254"	"1887"	"73"	"153"	"113"	"70"	"132"	"7682"	"0"	"7682"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"93"	"71"	"136"	"218"	"6"	"109"	"7"	"7"	"13"	"496"	""	"496"	""
"94"	"72"	"43"	"360"	"3"	"8"	"3"	"4"	"3"	"424"	""	"424"	""
"95"	"73"	"295"	"84"	"1"	"4"	"5"	"3"	"9"	"401"	""	"401"	""
"96"	"74"	"255"	"335"	"7"	"31"	"26"	"12"	"9"	"675"	""	"675"	""
"97"	"75"	"192"	"149"	"6"	"9"	"10"	"9"	"13"	"388"	""	"388"	""
"98"	"76"	"138"	"239"	"5"	"9"	"7"	"4"	"4"	"406"	""	"406"	""
"99"	"77"	"339"	"140"	"11"	"58"	"5"	"10"	"32"	"595"	""	"595"	""
"100"	"78"	"139"	"234"	"17"	"128"	"13"	"15"	"6"	"552"	""	"552"	""
"101"	"79"	"310"	"240"	"10"	"33"	"13"	"17"	"15"	"638"	""	"638"	""
"102"	"80"	"219"	"130"	"16"	"88"	"27"	"22"	"22"	"524"	""	"524"	""
"103"	"81"	"220"	"315"	"15"	"37"	"22"	"7"	"6"	"622"	""	"622"	""
"104"	"82"	"189"	"53"	"16"	"309"	"7"	"11"	"25"	"610"	""	"610"	""
"105"	"83"	"171"	"53"	"13"	"61"	"8"	"7"	"14"	"327"	""	"327"	""
"106"	"84"	"75"	"41"	"234"	"117"	"8"	"16"	"14"	"505"	""	"505"	""
"107"	"Total Round 6"	"2721"	"2591"	"360"	"1001"	"161"	"144"	"185"	"7163"	"0"	"7163"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"111"	"85"	"171"	"13"	"122"	"92"	"9"	"6"	"7"	"420"	""	"420"	""
"112"	"86"	"112"	"6"	"267"	"17"	"0"	"3"	"3"	"408"	""	"408"	""
"113"	"87"	"215"	"116"	"22"	"153"	"8"	"12"	"10"	"536"	""	"536"	""
"114"	"88"	"252"	"224"	"15"	"14"	"17"	"6"	"23"	"551"	""	"551"	""
"115"	"89"	"245"	"90"	"18"	"86"	"10"	"15"	"14"	"478"	""	"478"	""
"116"	"90"	"178"	"217"	"19"	"72"	"16"	"12"	"14"	"528"	""	"528"	""
"117"	"91"	"371"	"23"	"8"	"33"	"1"	"1"	"3"	"440"	""	"440"	""
"118"	"92"	"78"	"162"	"3"	"10"	"9"	"4"	"2"	"268"	""	"268"	""
"119"	"93"	"36"	"11"	"6"	"385"	"4"	"7"	"3"	"452"	""	"452"	""
"120"	"94"	"277"	"217"	"21"	"79"	"17"	"23"	"42"	"676"	""	"676"	""
"121"	"95"	"249"	"104"	"19"	"149"	"13"	"28"	"22"	"584"	""	"584"	""
"122"	"96"	"324"	"33"	"4"	"32"	"3"	"2"	"16"	"414"	""	"414"	""
"123"	"97"	"98"	"257"	"14"	"30"	"22"	"7"	"7"	"435"	""	"435"	""
"124"	"98"	"320"	"24"	"4"	"14"	"6"	"4"	"7"	"379"	""	"379"	""
"125"	"Total Round 7"	"2926"	"1497"	"542"	"1166"	"135"	"130"	"173"	"6569"	"0"	"6569"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"129"	"99"	"271"	"77"	"17"	"134"	"16"	"19"	"40"	"574"	""	"574"	""
"130"	"100"	"77"	"202"	"5"	"54"	"10"	"4"	"4"	"356"	""	"356"	""
"131"	"101"	"161"	"134"	"9"	"104"	"15"	"7"	"19"	"449"	""	"449"	""
"132"	"102"	"534"	"30"	"1"	"7"	"3"	"1"	"4"	"580"	""	"580"	""
"133"	"103"	"307"	"112"	"16"	"115"	"14"	"16"	"13"	"593"	""	"593"	""
"134"	"104"	"125"	"245"	"9"	"21"	"19"	"11"	"8"	"438"	""	"438"	""
"135"	"105"	"141"	"20"	"5"	"30"	"7"	"4"	"9"	"216"	""	"216"	""
"136"	"106"	"12"	"547"	"2"	"12"	"2"	"4"	"1"	"580"	""	"580"	""
"137"	"107"	"68"	"53"	"22"	"185"	"6"	"11"	"15"	"360"	""	"360"	""
"138"	"108"	"159"	"105"	"10"	"19"	"14"	"11"	"25"	"343"	""	"343"	""
"139"	"109"	"12"	"605"	"2"	"12"	"0"	"3"	"1"	"635"	""	"635"	""
"140"	"110"	"275"	"71"	"23"	"188"	"21"	"16"	"28"	"622"	""	"622"	""
"141"	"111"	"323"	"49"	"9"	"199"	"14"	"16"	"21"	"631"	""	"631"	""
"142"	"112"	"368"	"146"	"10"	"61"	"12"	"14"	"20"	"631"	""	"631"	""
"143"	"Total Round 8"	"2833"	"2396"	"140"	"1141"	"153"	"137"	"208"	"7008"	"0"	"7008"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"147"	"113"	"137"	"419"	"35"	"64"	"12"	"4"	"15"	"686"	""	"686"	""
"148"	"114"	"181"	"247"	"7"	"89"	"10"	"15"	"31"	"580"	""	"580"	""
"149"	"115"	"133"	"150"	"7"	"72"	"7"	"6"	"9"	"384"	""	"384"	""
"150"	"116"	"208"	"423"	"18"	"73"	"16"	"15"	"16"	"769"	""	"769"	""
"151"	"117"	"237"	"285"	"45"	"134"	"23"	"16"	"17"	"757"	""	"757"	""
"152"	"118"	"233"	"61"	"14"	"152"	"9"	"11"	"27"	"507"	""	"507"	""
"153"	"119"	"225"	"120"	"12"	"110"	"9"	"8"	"14"	"498"	""	"498"	""
"154"	"120"	"107"	"144"	"22"	"50"	"23"	"19"	"42"	"407"	""	"407"	""
"155"	"121"	"64"	"200"	"13"	"86"	"15"	"14"	"6"	"398"	""	"398"	""
"156"	"122"	"133"	"248"	"5"	"76"	"34"	"6"	"9"	"511"	""	"511"	""
"157"	"123"	"241"	"171"	"19"	"146"	"23"	"17"	"21"	"638"	""	"638"	""
"158"	"124"	"171"	"166"	"5"	"5"	"7"	"6"	"11"	"371"	""	"371"	""
"159"	"125"	"821"	"3"	"3"	"5"	"2"	"1"	"3"	"838"	""	"838"	""
"160"	"126"	"531"	"19"	"3"	"30"	"0"	"1"	"1"	"585"	""	"585"	""
"161"	"Total Round 9"	"3422"	"2656"	"208"	"1092"	"190"	"139"	"222"	"7929"	"0"	"7929"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"165"	"127"	"26"	"215"	"4"	"9"	"9"	"5"	"4"	"272"	""	"272"	""
"166"	"128"	"446"	"35"	"9"	"41"	"7"	"3"	"19"	"560"	""	"560"	""
"167"	"129"	"121"	"295"	"10"	"33"	"14"	"3"	"7"	"483"	""	"483"	""
"168"	"130"	"318"	"23"	"4"	"7"	"8"	"8"	"20"	"388"	""	"388"	""
"169"	"131"	"63"	"77"	"4"	"64"	"11"	"5"	"6"	"230"	""	"230"	""
"170"	"132"	"124"	"78"	"2"	"6"	"6"	"1"	"7"	"224"	""	"224"	""
"171"	"133"	"80"	"27"	"0"	"1"	"0"	"3"	"4"	"115"	""	"115"	""
"172"	"134"	"225"	"87"	"10"	"8"	"4"	"5"	"7"	"346"	""	"346"	""
"173"	"135"	"27"	"101"	"5"	"51"	"7"	"1"	"4"	"196"	""	"196"	""
"174"	"136"	"144"	"221"	"6"	"20"	"16"	"12"	"14"	"433"	""	"433"	""
"175"	"137"	"267"	"322"	"16"	"25"	"26"	"9"	"15"	"680"	""	"680"	""
"176"	"138"	"288"	"188"	"6"	"13"	"7"	"6"	"17"	"525"	""	"525"	""
"177"	"139"	"201"	"115"	"9"	"3"	"5"	"1"	"2"	"336"	""	"336"	""
"178"	"140"	"159"	"260"	"8"	"40"	"7"	"6"	"3"	"483"	""	"483"	""
"179"	"Total Round 10"	"2489"	"2044"	"93"	"321"	"127"	"68"	"129"	"5271"	"0"	"5271"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"183"	"141"	"300"	"102"	"8"	"39"	"10"	"6"	"9"	"474"	""	"474"	""
"184"	"142"	"312"	"69"	"7"	"25"	"1"	"7"	"9"	"430"	""	"430"	""
"185"	"143"	"234"	"21"	"13"	"77"	"6"	"7"	"24"	"382"	""	"382"	""
"186"	"144"	"331"	"97"	"10"	"36"	"11"	"7"	"8"	"500"	""	"500"	""
"187"	"145"	"260"	"108"	"5"	"23"	"11"	"9"	"11"	"427"	""	"427"	""
"188"	"146"	"67"	"115"	"4"	"203"	"20"	"10"	"20"	"439"	""	"439"	""
"189"	"147"	"278"	"114"	"6"	"73"	"83"	"23"	"30"	"607"	""	"607"	""
"190"	"148"	"523"	"65"	"4"	"21"	"4"	"3"	"1"	"621"	""	"621"	""
"191"	"149"	"102"	"109"	"5"	"15"	"4"	"5"	"4"	"244"	""	"244"	""
"192"	"150"	"50"	"398"	"3"	"4"	"1"	"1"	"3"	"460"	""	"460"	""
"193"	"151"	"180"	"274"	"8"	"42"	"8"	"14"	"16"	"542"	""	"542"	""
"194"	"152"	"118"	"204"	"3"	"13"	"8"	"12"	"21"	"379"	""	"379"	""
"195"	"153"	"145"	"238"	"6"	"14"	"13"	"3"	"3"	"422"	""	"422"	""
"196"	"154"	"326"	"116"	"5"	"14"	"5"	"2"	"2"	"470"	""	"470"	""
"197"	"Total Round 11"	"3226"	"2030"	"87"	"599"	"185"	"109"	"161"	"6397"	"0"	"6397"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"201"	"155"	"244"	"29"	"1"	"21"	"2"	"1"	"3"	"301"	""	"301"	""
"202"	"156"	"158"	"120"	"20"	"79"	"17"	"17"	"28"	"439"	""	"439"	""
"203"	"157"	"226"	"177"	"2"	"136"	"9"	"5"	"10"	"565"	""	"565"	""
"204"	"158"	"117"	"290"	"13"	"90"	"39"	"27"	"42"	"618"	""	"618"	""
"205"	"159"	"378"	"34"	"1"	"21"	"0"	"1"	"1"	"436"	""	"436"	""
"206"	"160"	"59"	"192"	"0"	"14"	"4"	"2"	"3"	"274"	""	"274"	""
"207"	"161"	"168"	"105"	"7"	"67"	"8"	"10"	"22"	"387"	""	"387"	""
"208"	"162"	"307"	"56"	"8"	"37"	"1"	"12"	"10"	"431"	""	"431"	""
"209"	"163"	"455"	"0"	"0"	"0"	"1"	"1"	"2"	"459"	""	"459"	""
"210"	"164"	"262"	"50"	"6"	"34"	"5"	"12"	"10"	"379"	""	"379"	""
"211"	"165"	"151"	"77"	"12"	"29"	"9"	"5"	"14"	"297"	""	"297"	""
"212"	"166"	"216"	"70"	"6"	"21"	"6"	"2"	"5"	"326"	""	"326"	""
"213"	"167"	"176"	"191"	"4"	"38"	"5"	"2"	"11"	"427"	""	"427"	""
"214"	"168"	"91"	"166"	"7"	"47"	"16"	"3"	"6"	"336"	""	"336"	""
"215"	"Total Round 12"	"3008"	"1557"	"87"	"634"	"122"	"100"	"167"	"5675"	"0"	"5675"	"0"
"216"	"Total No. of Electors in Assembly Constituency :- 189132"	""	""	""	""	""	""	""	""	""	""	""
"217"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 77  BABUBARHI"	""	""	""	""	""	""	""	""	""	""	""
"218"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""
"219"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"220"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""
"221"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""
"222"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"223"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"224"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"225"	"169"	"63"	"135"	"4"	"13"	"6"	"1"	"2"	"224"	""	"224"	""
"226"	"170"	"232"	"202"	"14"	"61"	"14"	"6"	"16"	"545"	""	"545"	""
"227"	"171"	"223"	"114"	"14"	"84"	"13"	"11"	"37"	"496"	""	"496"	""
"228"	"172"	"325"	"101"	"5"	"15"	"8"	"5"	"22"	"481"	""	"481"	""
"229"	"173"	"121"	"107"	"8"	"2"	"5"	"4"	"10"	"257"	""	"257"	""
"230"	"174"	"98"	"274"	"4"	"7"	"17"	"4"	"6"	"410"	""	"410"	""
"231"	"175"	"187"	"171"	"4"	"43"	"10"	"7"	"33"	"455"	""	"455"	""
"232"	"176"	"116"	"53"	"9"	"41"	"7"	"8"	"10"	"244"	""	"244"	""
"233"	"177"	"269"	"158"	"8"	"16"	"12"	"12"	"15"	"490"	""	"490"	""
"234"	"178"	"135"	"104"	"5"	"32"	"17"	"12"	"11"	"316"	""	"316"	""
"235"	"179"	"49"	"119"	"2"	"4"	"4"	"1"	"1"	"180"	""	"180"	""
"236"	"180"	"162"	"110"	"18"	"43"	"10"	"10"	"19"	"372"	""	"372"	""
"237"	"Total Round 13"	"1980"	"1648"	"95"	"361"	"123"	"81"	"182"	"4470"	"0"	"4470"	"0"
"238"	"Total No. of votes recorded at Polling stations"	"38568"	"31674"	"2259"	"8889"	"2017"	"1488"	"2467"	"87362"	"0"	"87362"	"0"
"239"	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"240"	"TOTAL VOTES
POLLED"	"38568"	"31674"	"2259"	"8889"	"2017"	"1488"	"2467"	"87362"	"0"	"87362"	"0"
