"Booths"	"X."	"Candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"37"	"32"	"P.S. LACHHUMANWA (W.PART)"	0	0	0	1	1	1	""	0	0	9	""	0	1	0	0	625	0	0	-638	0
"38"	"33"	"P.S. GANGA PUR"	335	13	4	3	9	6	""	0	4	9	""	2	68	2	9	211	14	6	-695	0
"39"	"34"	"P.S. JAGDHAR"	35	7	36	3	16	0	""	0	2	99	""	4	3	3	8	330	18	2	-566	0
"40"	"35"	"M.S. PALANWA"	80	10	17	4	137	12	""	4	4	42	""	6	9	4	2	135	64	0	-530	0
"41"	"36"	"M.S. BHARWALIA"	3	1	2	0	4	1	""	0	1	617	""	0	3	0	0	16	2	1	-651	0
"42"	"37"	"P.S. SIDHPUR"	88	23	36	8	157	6	""	5	3	107	""	4	7	1	2	127	19	2	-595	0
"43"	"38"	"P.S. BAHUARWA"	155	28	17	10	174	4	""	2	5	20	""	10	33	2	7	144	30	12	-653	0
"44"	"39"	"P.S. BHARATMAHI"	50	35	12	6	17	4	""	1	8	283	""	9	26	4	14	372	5	13	-859	0
"45"	"40"	"P.S. EKDERWA"	275	10	34	5	63	14	""	3	5	242	""	3	13	2	0	33	10	0	-712	0
"46"	"41"	"M.S. HARAIYA (N.PART)"	192	3	87	1	113	10	""	4	1	66	""	1	14	0	3	88	4	4	-591	0
"47"	"42"	"M.S. HARAIYA (S.PART)"	180	10	113	15	151	9	""	3	5	47	""	10	2	4	4	125	9	16	-703	0
"48"	"43"	"P.S. HAJMA TOLA"	247	8	81	5	2	8	""	4	1	63	""	2	66	0	7	5	7	1	-507	0
"49"	"44"	"M.S. PANTOKA"	82	2	9	6	47	5	""	3	2	73	""	6	26	6	9	324	60	16	-676	0
"50"	"45"	"M.S. JOKIYARI (S.PART)"	78	88	50	20	55	5	""	1	1	63	""	1	23	1	3	259	0	4	-652	0
"51"	"46"	"M.S. JOKIYARI (N.PART)"	92	36	60	8	108	3	""	3	2	155	""	4	5	2	0	63	18	10	-569	0
"52"	"47"	"P.S. JATIYAHI"	442	0	5	0	3	0	""	0	0	1	""	0	1	0	0	11	1	0	-464	0
"53"	"48"	"P.S. KHIRLICHIYA"	10	2	613	4	20	0	""	0	0	0	""	0	0	0	0	4	0	0	-653	0
"54"	"49"	"P.S. CHIKNI"	148	24	7	6	117	6	""	4	2	49	""	5	12	2	3	284	140	4	-813	0
"55"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"57"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"50"	"P.S. SIHORWA"	181	6	10	3	7	4	""	2	2	2	""	1	106	2	10	39	4	0	-379	0
"59"	"51"	"P.S. KAURIHAR"	135	7	89	3	79	5	""	3	1	146	""	5	6	0	9	320	21	17	-846	0
"60"	"52"	"PANCHAYAT BHAWAN LAXMIPUR
(E.PART)"	135	18	127	4	258	10	""	1	1	65	""	4	5	2	6	118	6	7	-767	0
"61"	"53"	"PANCHAYAT BHAWAN LAXMIPUR
(W.PART)"	176	10	95	9	171	17	""	2	4	72	""	19	14	3	2	177	8	12	-791	0
"62"	"54"	"P.S. DHANGARHWA"	148	4	12	1	110	8	""	1	1	17	""	2	7	1	2	131	6	10	-461	0
"63"	"55"	"P.S. SENWARIA"	261	13	3	1	8	3	""	1	0	16	""	3	3	0	0	71	0	0	-383	0
"64"	"56"	"PANCHAYAT BHAWAN KANANA"	149	9	422	3	4	1	""	0	0	8	""	0	0	0	0	5	0	0	-601	0
"65"	"57"	"P.S. KANANA DUMARIYA"	2	3	724	2	1	0	""	0	0	0	""	0	1	0	0	21	1	0	-755	0
"66"	"58"	"M.S. GONAHA (E.PART)"	81	10	9	1	3	1	""	0	4	328	""	1	3	3	1	38	1	1	-485	0
"67"	"59"	"M.S. GONAHA (W.PART)"	133	64	26	1	32	10	""	1	0	49	""	1	2	0	1	42	2	2	-366	0
"68"	"60"	"P.S. CHAINPUR"	287	16	106	13	61	7	""	2	2	48	""	6	4	2	12	112	42	14	-734	0
"69"	"61"	"M.S. GAMHARIYA"	511	32	19	54	19	6	""	1	2	54	""	0	12	0	2	65	3	7	-787	0
"70"	"62"	"P.S. HARDIYA NAYA TOLA
(E.PART)"	11	2	123	4	334	10	""	4	0	0	""	2	2	2	0	13	1	0	-508	0
"71"	"63"	"P.S. HARDIYA NAYA TOLA
(W.PART)"	50	1	156	11	327	12	""	8	0	79	""	8	3	1	3	21	0	9	-689	0
"72"	"64"	"P.S. HARDIYA"	174	11	119	14	212	11	""	1	3	32	""	11	10	4	9	207	13	7	-838	0
"73"	"65"	"P.S. RATANPUR"	159	16	25	6	79	8	""	3	4	67	""	5	7	7	4	314	25	5	-734	0
"74"	"66"	"P.S. AHIRWA TOLA"	56	1	27	4	61	1	""	2	3	47	""	2	1	1	4	116	0	1	-327	0
"75"	"67"	"P.S. SAHDEWA"	126	3	7	5	128	14	""	5	2	57	""	7	138	6	18	108	15	14	-653	0
"76"	"68"	"M.S. MAHDEWA"	159	29	125	22	133	26	""	8	2	53	""	5	30	0	2	117	3	2	-716	0
"77"	"69"	"P.S. NONEYA DIH"	64	11	77	8	66	6	""	0	4	106	""	1	4	1	1	137	2	1	-489	0
"78"	"70"	"P.S. KHEKHARIA"	212	1	7	4	26	5	""	1	0	44	""	1	0	0	0	43	11	4	-359	0
"79"	"71"	"P.S. SRIRAMPUR"	1	1	0	0	4	0	""	0	0	774	""	1	0	0	0	20	0	0	-801	0
"80"	"72"	"M.S. TUMARIA TOLA (E.PART)"	317	9	25	4	127	6	""	0	5	90	""	9	2	2	0	115	15	4	-730	0
"81"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"82"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"83"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"84"	"73"	"M.S. TUMARIA TOLA (W.PART)"	229	9	11	3	192	7	""	2	2	111	""	5	14	1	4	75	4	11	-680	0
"85"	"74"	"SALE TAX OFFICE TUMARIA TOLA"	318	39	12	2	203	5	""	0	6	100	""	5	3	3	4	70	4	9	-783	0
"86"	"75"	"P.S. PAREUWA HINDI"	120	10	96	4	233	10	""	1	5	85	""	7	3	0	5	318	7	10	-914	0
"87"	"76"	"URDU MADARSA BARA PAREUWA
(S.PART)"	166	7	37	2	115	2	""	1	0	55	""	3	9	2	6	120	2	5	-532	0
"88"	"77"	"URDU MADARSA BARA PAREUWA
(N.PART)"	67	5	96	3	193	8	""	1	2	60	""	6	4	2	1	99	2	9	-558	0
"89"	"78"	"BYAPAR MANDAL RAXAUL"	129	7	2	0	52	0	""	1	3	170	""	1	1	0	0	61	6	6	-439	0
"90"	"79"	"M.S. RAILWAY RAXAUL"	63	3	9	0	27	3	""	2	7	435	""	2	4	2	0	115	9	9	-690	0
"91"	"80"	"BHARTIYA DUTAWAS RAXAUL"	52	9	24	6	187	4	""	3	1	33	""	4	8	2	5	216	2	4	-560	0
"92"	"81"	"CHHOTA PHOOL M.S.
SUNDARPUR"	39	5	3	6	235	8	""	3	3	4	""	5	0	6	1	10	1	1	-330	0
"93"	"82"	"M.S. RAXAUL"	160	7	37	0	236	5	""	3	4	65	""	1	0	0	0	32	0	1	-551	0
"94"	"83"	"RAJ. GANDHI P.S. RAXAUL"	352	10	2	1	125	9	""	2	4	163	""	1	2	1	1	83	14	3	-773	0
"95"	"84"	"KASTURBA GIRLS H.S. RAXAUL"	372	5	4	0	139	2	""	0	2	78	""	1	0	1	2	67	28	4	-705	0
"96"	"85"	"ARYA GIRLS M.S. RAXAUL
(E.PART)"	342	20	22	1	113	2	""	0	2	55	""	1	6	1	3	67	0	6	-641	0
"97"	"86"	"ARYA GIRLS M.S. RAXAUL
(W.PART)"	389	3	6	1	54	6	""	0	3	127	""	1	3	1	5	63	4	5	-671	0
"98"	"87"	"P.S. ISLAMPUR RAXAUL"	23	3	56	7	352	8	""	0	1	16	""	2	0	0	2	79	1	3	-553	0
"99"	"88"	"HAJARIMAL  H.S. RAXAUL
(E.PART)"	386	9	13	3	44	12	""	5	1	32	""	2	2	2	4	133	6	11	-665	0
"100"	"89"	"HAJARIMAL H.S. RAXAUL
(W.PART)"	496	10	11	4	56	10	""	0	2	43	""	2	3	0	2	113	1	0	-753	0
"101"	"90"	"HAJARIMAL H.S. RAXAUL
(N.PART)"	511	9	6	2	103	8	""	1	1	89	""	3	3	3	1	60	3	4	-807	0
"102"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"104"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"105"	"91"	"P.H.E.D. OFFICE RAXAUL (E.PART)"	201	5	6	8	85	7	""	5	2	199	""	5	4	5	1	126	6	4	-669	0
"106"	"92"	"P.H.E.D. OFFICE RAXAUL
(W.PART)"	112	1	14	4	41	4	""	2	4	368	""	8	4	0	5	113	6	11	-697	0
"107"	"93"	"M.S. JAITAPUR (E.PART)"	159	36	6	0	32	13	""	9	0	5	""	6	27	11	5	62	9	15	-395	0
"108"	"94"	"M.S. JAITAPUR (W.PART)"	272	29	3	6	21	16	""	46	4	18	""	0	25	2	5	25	1	7	-480	0
"109"	"95"	"P.S. SISWANIYA"	6	146	59	14	346	5	""	1	2	1	""	1	4	4	2	69	0	8	-668	0
"110"	"96"	"P.S. BINWA TOLA"	20	149	38	5	92	10	""	25	5	42	""	1	93	3	17	40	7	3	-550	0
"111"	"97"	"P.S. SUKHI SEMRA"	33	98	4	1	49	3	""	1	0	0	""	2	37	0	4	247	13	3	-495	0
"112"	"98"	"P.S. HINDI PAKHNAHIYA (E.PART)"	109	19	3	9	25	3	""	4	2	177	""	6	89	2	8	213	6	14	-689	0
"113"	"99"	"P.S. HINDI PAKHNAHIYA (W.PART)"	38	41	22	8	215	5	""	1	2	8	""	6	26	3	5	133	4	3	-520	0
"114"	"100"	"P.S. KOHBARWA"	74	44	6	5	68	6	""	3	0	37	""	3	87	2	0	177	3	2	-517	0
"115"	"101"	"P.S. MURHWA"	86	85	62	59	188	9	""	6	6	5	""	4	18	3	5	176	4	5	-721	0
"116"	"102"	"P.S. KHORHWA"	16	92	75	4	26	2	""	3	1	26	""	1	8	10	14	191	29	7	-505	0
"117"	"103"	"P.S. FULWARIYA"	187	13	115	8	152	16	""	2	3	2	""	3	63	2	3	27	2	8	-606	0
"118"	"104"	"M.S. ADHKAPARIA"	20	33	79	23	377	4	""	3	5	12	""	9	6	6	6	74	3	5	-665	0
"119"	"105"	"H.S. ADHKAPARIA"	10	38	183	58	316	3	""	3	1	2	""	3	4	5	1	44	2	10	-683	0
"120"	"106"	"URDU P.S. GIRLS ADHKAPARIA"	22	121	21	18	82	3	""	7	5	4	""	7	1	8	19	160	11	37	-526	0
"121"	"107"	"M.S. DUBAULIYA"	49	230	18	38	33	6	""	0	6	93	""	2	44	2	7	117	5	3	-653	0
"122"	"108"	"P.S. SIHORWA"	140	96	104	12	27	3	""	20	3	71	""	8	5	4	3	235	7	8	-746	0
"123"	"109"	"P.S. CHIUTAHA"	9	508	2	1	2	0	""	2	0	88	""	0	0	0	0	6	0	0	-618	0
"124"	"110"	"P.S. LACHHUMANWA"	14	651	6	3	3	0	""	35	0	2	""	0	3	0	1	61	0	1	-780	0
"125"	"111"	"M.S. AHIRAULIYA"	1	604	2	0	1	0	""	0	0	0	""	0	0	0	0	6	1	0	-615	0
"126"	"112"	"M.S. SINGASANI (E.PART)"	224	67	8	13	13	0	""	0	1	3	""	0	5	1	1	78	3	10	-427	0
"127"	"113"	"M.S. SINGASANI (W.PART)"	354	104	16	37	49	9	""	3	2	3	""	9	21	1	3	31	5	1	-648	0
"128"	"114"	"P.S. TRIWENI"	4	167	8	6	78	5	""	1	2	25	""	3	27	3	6	88	1	5	-429	0
"129"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"130"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"131"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"115"	"PANCHAYAT BHAWAN (E.PART)
BHERHIHARI"	22	61	12	8	117	5	""	4	2	6	""	5	24	7	3	132	5	11	-424	0
"133"	"116"	"PANCHAYAT BHAWAN
BHERHIHARI (W.PART)"	52	132	16	7	88	3	""	0	5	2	""	3	8	4	7	161	4	11	-503	0
"134"	"117"	"M.S. SAKRAR"	174	183	35	2	101	9	""	9	0	11	""	2	13	2	2	31	1	2	-577	0
"135"	"118"	"P.S. URDU HASANPUR"	101	164	32	6	215	3	""	1	2	3	""	2	51	4	2	34	2	8	-630	0
"136"	"119"	"P.S. BAHUARI"	168	72	7	4	424	5	""	10	3	6	""	6	8	3	0	27	3	10	-756	0
"137"	"120"	"P.S. BANDHU BARWA"	0	948	2	0	0	2	""	0	1	0	""	0	0	2	0	0	0	0	-955	0
"138"	"121"	"P.S. UCHCHI DIH"	520	1	0	0	11	0	""	0	0	12	""	1	1	0	0	234	0	2	-782	0
"139"	"122"	"P.S. KHARKATWA"	258	47	10	1	8	6	""	2	1	41	""	2	3	1	4	178	2	6	-570	0
"140"	"123"	"M.S. DHANAHAR DIHULI"	649	254	10	2	1	1	""	0	0	4	""	0	0	0	0	3	10	1	-935	0
"141"	"124"	"P.S. GURHANWA"	323	47	6	21	32	23	""	0	8	143	""	4	95	4	5	37	7	13	-768	0
"142"	"125"	"P.S. AMODEI HINDI"	98	12	233	11	185	10	""	7	2	8	""	14	4	2	1	82	12	5	-686	0
"143"	"126"	"P.S. AMODEI URDU (E.PART)"	61	5	276	13	100	6	""	2	0	1	""	1	7	3	5	47	6	6	-539	0
"144"	"127"	"P.S. AMODEI URDU (W.PART)"	22	26	294	11	311	9	""	5	4	36	""	4	5	2	2	18	5	2	-756	0
"145"	"128"	"P.S. NARIRGIR"	52	10	148	4	204	9	""	1	1	2	""	3	6	12	10	198	3	17	-680	0
"146"	"129"	"P.S. BELAHIYA"	13	9	264	18	90	2	""	0	0	2	""	2	0	1	0	3	0	2	-406	0
"147"	"130"	"P.S. TILKAHANI"	191	13	14	3	93	117	""	8	3	2	""	2	3	1	0	4	0	2	-456	0
"148"	"131"	"M.S. RAGHUNATHPUR"	868	4	3	0	6	54	""	0	0	4	""	2	3	0	0	2	2	3	-951	0
"149"	"132"	"SHIV SHANKAR SINGH H.S.
RAGHUNATHPUR"	493	1	57	1	51	16	""	1	1	5	""	0	6	0	3	71	4	4	-714	0
"150"	"133"	"URDU P.S. CHARHWA"	16	2	263	2	159	0	""	2	0	0	""	1	0	0	2	0	0	0	-447	0
"151"	"134"	"M.S. CHAMPAPUR (N.PART)"	284	8	40	2	206	5	""	0	1	60	""	9	22	0	0	23	1	4	-665	0
"152"	"135"	"M.S. CHAMPAPUR (S.PART)"	138	6	17	53	30	11	""	5	5	159	""	6	56	6	8	156	6	5	-667	0
"153"	"136"	"SAMUDAIK BHAWAN
CHAMPAPUR"	234	13	18	10	88	4	""	3	4	106	""	3	8	1	5	120	2	10	-629	0
"154"	"137"	"P.S. BALUA CHAMPAPUR"	48	86	39	4	36	3	""	2	4	113	""	1	3	3	5	87	0	5	-439	0
"155"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"157"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	"138"	"P.S. MUSHAHARI CHAMPAPUR"	140	45	14	8	25	20	""	3	3	10	""	5	5	0	0	222	7	7	-514	0
"159"	"139"	"P.S. MANANA"	113	9	129	68	125	14	""	1	1	19	""	7	19	1	0	21	0	3	-530	0
"160"	"140"	"P.S. PANTOKA"	243	100	34	6	197	7	""	5	4	2	""	4	4	3	3	28	2	2	-644	0
"161"	"141"	"P.S. MANGALPUR"	791	11	0	1	2	1	""	0	0	1	""	0	0	0	1	11	2	0	-821	0
"162"	"142"	"M.S. UCHCHI BHATIYA"	590	4	2	0	4	0	""	1	0	2	""	0	0	0	0	20	0	0	-623	0
"163"	"143"	"P.S. KHUGUNI"	182	156	18	7	16	10	""	3	1	11	""	3	14	3	6	48	1	9	-488	0
"164"	"144"	"P.S. YOGWALIYA"	27	37	127	30	37	2	""	1	1	7	""	0	4	1	0	134	1	3	-412	0
"165"	"145"	"PANCHAYAT BHAWAN BAIRIYA"	602	2	2	1	0	3	""	0	1	1	""	1	1	0	3	81	0	3	-701	0
"166"	"146"	"P.S. ARYA NAGAR"	0	0	0	0	0	0	""	0	0	0	""	0	0	0	0	0	0	0	0	0
"167"	"147"	"P.S. DUMRI"	78	112	104	4	52	3	""	3	3	7	""	10	7	11	6	142	7	16	-565	0
"168"	"148"	"M.S. PRASAUNA MADAN"	327	256	6	9	23	5	""	0	0	8	""	2	0	2	2	24	16	0	-680	0
"169"	"149"	"M.S. SATPIPRA"	124	125	18	2	21	9	""	1	4	83	""	8	28	5	10	99	26	17	-580	0
"170"	"150"	"P.S. MISHRAULIYA"	11	87	9	5	3	6	""	1	0	6	""	1	126	2	19	136	9	7	-428	0
"171"	"151"	"M.S. INARWA"	84	37	96	17	195	2	""	1	0	19	""	1	2	0	0	129	22	0	-605	0
"172"	"152"	"M.S. RAMGARHWA (W.PART)"	132	259	9	5	124	4	""	1	1	2	""	1	3	2	2	140	4	3	-692	0
"173"	"153"	"M.S. RAMGARHWA (E.PART)"	189	169	10	5	248	15	""	2	0	12	""	2	3	5	4	36	3	8	-711	0
"174"	"154"	"BOARD SANSKRIT SCH.
RAMGARHWA (N.PART)"	169	161	10	3	128	1	""	1	0	57	""	1	4	1	1	49	1	1	-588	0
"175"	"155"	"BOARD SANSKRIT
SCH.RAMGARHWA (S.PART)"	204	125	4	9	80	3	""	2	2	10	""	6	43	1	3	90	4	6	-592	0
"176"	"156"	"H.S. RAMGARHWA"	264	103	8	3	28	10	""	0	1	3	""	2	18	3	3	61	4	12	-523	0
"177"	"157"	"M.S. MURLA (N.PART)"	198	21	23	7	86	11	""	1	3	99	""	4	13	2	2	237	20	3	-730	0
"178"	"158"	"M.S. MURLA (S.PART)"	125	13	61	18	85	14	""	2	9	22	""	7	38	3	7	343	5	8	-760	0
"179"	"159"	"URDU P.S. BHERHIHARWA"	12	1	68	30	443	1	""	2	1	0	""	3	0	0	0	60	0	39	-660	0
"180"	"160"	"BASIK SCH. SISWANIYA"	94	64	2	6	57	6	""	51	5	80	""	5	23	4	10	180	16	22	-625	0
"181"	"161"	"P.S. SISWANIYA POKHRA
DHANGAR TOLI"	25	214	13	2	63	1	""	3	1	35	""	8	51	6	9	117	12	6	-566	0
"182"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	"Booth No"	"Booth Name"	1	2	3	4	5	NA	"6"	7	8	NA	"9"	10	11	12	13	14	15	16	17	18
"184"	""	""	NA	NA	NA	NA	NA	NA	"JAI PRAKASH PACHAURI"	NA	NA	NA	"SURESH PRASAD"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	"162"	"P.S. BELA HINDI (S.PART)"	66	20	56	430	15	NA	"7"	0	0	NA	"2"	0	2	0	2	31	0	1	-632	NA
"186"	"163"	"P.S. BELA HINDI (N.PART)"	27	6	220	293	85	NA	"1"	1	1	NA	"1"	1	4	0	1	20	4	2	-667	NA
"187"	"164"	"ISLAMIYA MADARSA BELASPUR"	0	1	27	29	584	NA	"2"	0	0	NA	"0"	0	1	0	0	7	0	0	-651	NA
"188"	"165"	"P.S. PACHBHIRHIYA"	50	6	27	14	26	NA	"16"	46	4	NA	"30"	3	6	5	8	259	19	15	-534	NA
"189"	"166"	"P.S. BHAISARHA"	1	4	0	1	0	NA	"0"	0	0	NA	"0"	0	0	0	1	364	1	0	-372	NA
"190"	"POSTAL VOTE"	""	0	0	0	0	0	NA	"0"	0	0	NA	"0"	0	0	0	0	0	0	0	0	0
"191"	"TOTAL OF CANDIDATE"	""	-23640	-9616	-8466	-1976	-16487	NA	"-1098"	-761	-465	NA	"-9075"	-572	-3921	-380	-674	-20814	-2342	-1000	-101287	0
"192"	"ROUND NO.1"	""	420	384	189	55	817	78	""	54	38	591	""	63	1669	40	127	1148	1044	102	6819	NA
"193"	"ROUND NO.2"	""	833	804	473	39	1000	29	""	213	139	74	""	48	158	43	46	925	73	72	4969	NA
"194"	"ROUND NO.3"	""	338	52	88	19	934	8	""	10	4	143	""	3	11	5	10	3774	162	25	5586	NA
"195"	"ROUND NO.4"	""	1023	127	158	40	582	48	""	15	32	1429	""	38	163	18	42	2437	162	36	6350	NA
"196"	"ROUND NO.5"	""	1652	179	1035	68	623	50	""	24	16	519	""	30	255	17	39	1202	243	55	6007	NA
"197"	"ROUND NO.6"	""	1507	154	1613	38	727	62	""	11	13	749	""	41	45	11	33	1035	87	63	6189	NA
"198"	"ROUND NO.7"	""	1522	107	685	132	1385	99	""	33	20	539	""	42	207	22	43	1141	73	50	6100	NA
"199"	"ROUND NO.8"	""	1462	99	312	24	1333	45	""	11	31	1913	""	43	48	14	25	1209	51	67	6687	NA
"200"	"ROUND NO.9"	""	3070	81	160	25	1457	70	""	14	23	672	""	19	19	15	21	707	58	38	6449	NA
"201"	"ROUND NO.10"	""	1024	568	161	60	974	72	""	97	21	855	""	38	396	32	52	1205	55	70	5680	NA
"202"	"ROUND NO.11"	""	553	1867	665	224	1206	46	""	81	30	305	""	37	152	40	59	1091	63	84	6503	NA
"203"	"ROUND NO.12"	""	1100	2502	138	83	1086	41	""	28	18	59	""	30	157	27	24	588	25	58	5964	NA
