"31"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"33"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"34"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"35"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"37"	"16"	"224"	"108"	"0"	"1"	"2"	"0"	"1"	"108"	"1"	"3"	"3"	"3"	"1"	"2"	"4"	"7"	"19"	"3"	"1"	"2"	"493"	"0"	"493"	"0"
"38"	"17"	"168"	"134"	"1"	"0"	"1"	"2"	"1"	"82"	"1"	"1"	"3"	"0"	"4"	"1"	"3"	"1"	"6"	"2"	"1"	"0"	"412"	"0"	"412"	"0"
"39"	"18"	"328"	"63"	"8"	"1"	"4"	"0"	"3"	"100"	"1"	"0"	"1"	"3"	"7"	"2"	"5"	"6"	"2"	"0"	"2"	"0"	"536"	"0"	"536"	"0"
"40"	"19"	"274"	"99"	"0"	"0"	"0"	"0"	"0"	"81"	"1"	"3"	"2"	"1"	"1"	"0"	"2"	"2"	"8"	"2"	"1"	"1"	"478"	"0"	"478"	"0"
"41"	"20"	"349"	"124"	"3"	"2"	"0"	"1"	"2"	"81"	"4"	"2"	"4"	"1"	"1"	"1"	"4"	"5"	"31"	"0"	"0"	"1"	"616"	"0"	"616"	"0"
"42"	"21"	"173"	"147"	"6"	"1"	"12"	"0"	"1"	"118"	"1"	"4"	"32"	"3"	"4"	"1"	"4"	"3"	"5"	"3"	"2"	"4"	"524"	"0"	"524"	"0"
"43"	"22"	"234"	"55"	"4"	"2"	"2"	"0"	"1"	"130"	"0"	"1"	"54"	"3"	"2"	"3"	"5"	"5"	"3"	"2"	"0"	"1"	"507"	"0"	"507"	"0"
"44"	"23"	"199"	"42"	"2"	"0"	"0"	"1"	"1"	"115"	"1"	"0"	"15"	"0"	"5"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"387"	"0"	"387"	"0"
"45"	"24"	"197"	"63"	"0"	"1"	"1"	"0"	"0"	"36"	"0"	"1"	"8"	"0"	"1"	"4"	"1"	"3"	"7"	"1"	"0"	"0"	"324"	"0"	"324"	"0"
"46"	"25"	"184"	"79"	"4"	"2"	"0"	"1"	"0"	"85"	"1"	"38"	"7"	"1"	"4"	"1"	"5"	"4"	"13"	"1"	"5"	"10"	"445"	"0"	"445"	"0"
"47"	"26"	"363"	"103"	"3"	"0"	"0"	"1"	"5"	"66"	"3"	"5"	"3"	"2"	"4"	"2"	"8"	"11"	"3"	"0"	"1"	"2"	"585"	"0"	"585"	"0"
"48"	"27"	"564"	"41"	"2"	"2"	"0"	"1"	"3"	"59"	"0"	"10"	"4"	"0"	"1"	"1"	"4"	"6"	"6"	"2"	"1"	"1"	"708"	"0"	"708"	"0"
"49"	"28"	"523"	"111"	"1"	"2"	"1"	"0"	"0"	"78"	"0"	"0"	"4"	"0"	"2"	"0"	"2"	"1"	"5"	"0"	"0"	"0"	"730"	"0"	"730"	"0"
"50"	"29"	"495"	"38"	"1"	"0"	"0"	"0"	"2"	"35"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"581"	"0"	"581"	"0"
"51"	"30"	"117"	"214"	"15"	"2"	"1"	"1"	"3"	"150"	"4"	"1"	"9"	"1"	"10"	"2"	"8"	"5"	"1"	"0"	"3"	"0"	"547"	"0"	"547"	"0"
"52"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"59"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"60"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"61"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"63"	"31"	"179"	"216"	"3"	"6"	"1"	"1"	"1"	"109"	"2"	"0"	"6"	"1"	"6"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"538"	"0"	"538"	"0"
"64"	"32"	"263"	"43"	"1"	"1"	"0"	"0"	"0"	"115"	"0"	"2"	"1"	"2"	"3"	"0"	"2"	"1"	"2"	"0"	"2"	"3"	"441"	"0"	"441"	"0"
"65"	"33"	"219"	"34"	"4"	"0"	"1"	"0"	"0"	"144"	"1"	"0"	"7"	"1"	"3"	"0"	"4"	"5"	"7"	"1"	"2"	"0"	"433"	"0"	"433"	"0"
"66"	"34"	"252"	"27"	"2"	"0"	"0"	"0"	"1"	"117"	"0"	"2"	"7"	"1"	"4"	"1"	"3"	"4"	"3"	"0"	"0"	"0"	"424"	"0"	"424"	"0"
"67"	"35"	"356"	"50"	"1"	"1"	"1"	"2"	"1"	"121"	"3"	"0"	"4"	"0"	"5"	"1"	"3"	"4"	"4"	"0"	"0"	"0"	"557"	"0"	"557"	"0"
"68"	"36"	"246"	"20"	"3"	"4"	"8"	"0"	"4"	"182"	"3"	"6"	"7"	"0"	"2"	"1"	"1"	"9"	"5"	"1"	"1"	"2"	"505"	"0"	"505"	"0"
"69"	"37"	"223"	"35"	"7"	"0"	"2"	"1"	"6"	"211"	"2"	"1"	"6"	"3"	"6"	"0"	"7"	"2"	"3"	"1"	"1"	"1"	"518"	"0"	"518"	"0"
"70"	"38"	"293"	"28"	"13"	"2"	"3"	"3"	"3"	"163"	"4"	"1"	"9"	"1"	"7"	"1"	"6"	"15"	"4"	"1"	"1"	"2"	"560"	"0"	"560"	"0"
"71"	"39"	"303"	"74"	"2"	"4"	"8"	"1"	"3"	"103"	"1"	"4"	"11"	"4"	"4"	"3"	"9"	"10"	"5"	"1"	"2"	"4"	"556"	"0"	"556"	"0"
"72"	"40"	"336"	"106"	"5"	"1"	"1"	"0"	"1"	"98"	"1"	"1"	"11"	"0"	"6"	"1"	"5"	"17"	"3"	"1"	"1"	"0"	"595"	"0"	"595"	"0"
"73"	"41"	"305"	"63"	"3"	"1"	"36"	"4"	"6"	"60"	"3"	"4"	"12"	"5"	"5"	"8"	"4"	"13"	"4"	"1"	"0"	"0"	"537"	"0"	"537"	"0"
"74"	"42"	"345"	"185"	"23"	"1"	"2"	"1"	"4"	"81"	"2"	"1"	"10"	"1"	"9"	"1"	"7"	"13"	"10"	"1"	"3"	"0"	"700"	"0"	"700"	"0"
"75"	"43"	"282"	"126"	"4"	"3"	"1"	"1"	"3"	"101"	"0"	"0"	"7"	"2"	"9"	"4"	"10"	"18"	"13"	"3"	"8"	"4"	"599"	"0"	"599"	"0"
"76"	"44"	"430"	"89"	"9"	"3"	"0"	"1"	"3"	"107"	"3"	"0"	"3"	"1"	"5"	"0"	"2"	"2"	"3"	"1"	"1"	"0"	"663"	"0"	"663"	"0"
"77"	"45"	"321"	"22"	"3"	"2"	"5"	"4"	"4"	"73"	"18"	"4"	"11"	"6"	"5"	"4"	"5"	"9"	"6"	"2"	"5"	"7"	"516"	"0"	"516"	"0"
"78"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"86"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"87"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"89"	"46"	"266"	"56"	"5"	"1"	"2"	"0"	"4"	"203"	"29"	"5"	"8"	"2"	"8"	"1"	"3"	"2"	"3"	"1"	"2"	"1"	"602"	"0"	"602"	"0"
"90"	"47"	"303"	"49"	"12"	"1"	"2"	"3"	"5"	"209"	"8"	"2"	"5"	"5"	"8"	"2"	"5"	"6"	"13"	"1"	"1"	"1"	"641"	"0"	"641"	"0"
"91"	"48"	"300"	"34"	"2"	"1"	"0"	"2"	"1"	"104"	"2"	"2"	"6"	"1"	"5"	"1"	"2"	"1"	"2"	"1"	"2"	"0"	"469"	"0"	"469"	"0"
"92"	"48 (K)"	"117"	"8"	"6"	"1"	"1"	"5"	"6"	"263"	"11"	"1"	"6"	"4"	"16"	"4"	"5"	"12"	"7"	"3"	"5"	"8"	"489"	"0"	"489"	"0"
"93"	"49"	"176"	"18"	"5"	"1"	"0"	"0"	"2"	"186"	"9"	"2"	"2"	"1"	"9"	"4"	"4"	"19"	"15"	"3"	"5"	"6"	"467"	"0"	"467"	"0"
"94"	"50"	"276"	"22"	"2"	"1"	"0"	"1"	"3"	"64"	"3"	"2"	"8"	"2"	"2"	"0"	"6"	"1"	"19"	"1"	"1"	"1"	"415"	"0"	"415"	"0"
"95"	"50(K)"	"253"	"16"	"3"	"0"	"1"	"0"	"0"	"30"	"0"	"0"	"7"	"1"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"318"	"0"	"318"	"0"
"96"	"51"	"232"	"111"	"32"	"0"	"1"	"1"	"6"	"131"	"3"	"3"	"34"	"1"	"7"	"4"	"10"	"17"	"2"	"2"	"2"	"3"	"602"	"0"	"602"	"0"
"97"	"52"	"628"	"79"	"3"	"5"	"0"	"0"	"2"	"69"	"3"	"5"	"13"	"0"	"0"	"2"	"8"	"20"	"13"	"2"	"2"	"5"	"859"	"0"	"859"	"0"
"98"	"53"	"561"	"18"	"13"	"0"	"1"	"0"	"1"	"64"	"2"	"1"	"10"	"1"	"6"	"2"	"3"	"1"	"9"	"1"	"1"	"4"	"699"	"0"	"699"	"0"
"99"	"54"	"243"	"22"	"1"	"3"	"3"	"1"	"6"	"285"	"10"	"11"	"12"	"0"	"10"	"4"	"10"	"28"	"5"	"2"	"2"	"4"	"662"	"0"	"662"	"0"
"100"	"55"	"226"	"258"	"13"	"3"	"2"	"0"	"2"	"73"	"3"	"2"	"15"	"1"	"9"	"7"	"7"	"23"	"1"	"2"	"0"	"4"	"651"	"0"	"651"	"0"
"101"	"56"	"181"	"106"	"2"	"3"	"3"	"2"	"9"	"155"	"10"	"4"	"8"	"0"	"2"	"2"	"6"	"6"	"0"	"0"	"1"	"2"	"502"	"0"	"502"	"0"
"102"	"57"	"239"	"52"	"4"	"0"	"1"	"2"	"52"	"108"	"5"	"2"	"8"	"0"	"4"	"2"	"0"	"9"	"10"	"0"	"0"	"0"	"498"	"0"	"498"	"0"
"103"	"58"	"636"	"22"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"671"	"0"	"671"	"0"
"104"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"111"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"112"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"113"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"115"	"59"	"320"	"68"	"4"	"2"	"1"	"1"	"2"	"23"	"2"	"0"	"5"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"433"	"0"	"433"	"0"
"116"	"60"	"396"	"294"	"6"	"1"	"3"	"2"	"4"	"50"	"2"	"0"	"4"	"0"	"0"	"3"	"12"	"11"	"9"	"5"	"4"	"3"	"809"	"0"	"809"	"0"
"117"	"61"	"261"	"141"	"13"	"2"	"1"	"1"	"40"	"146"	"1"	"2"	"7"	"2"	"2"	"2"	"4"	"11"	"2"	"2"	"0"	"0"	"640"	"0"	"640"	"0"
"118"	"62"	"259"	"70"	"5"	"0"	"0"	"0"	"4"	"87"	"4"	"2"	"4"	"0"	"2"	"0"	"2"	"6"	"4"	"0"	"2"	"0"	"451"	"0"	"451"	"0"
"119"	"63"	"268"	"120"	"1"	"0"	"1"	"2"	"0"	"233"	"11"	"0"	"5"	"4"	"8"	"4"	"12"	"7"	"11"	"9"	"6"	"7"	"709"	"0"	"709"	"0"
"120"	"64"	"222"	"20"	"1"	"1"	"1"	"0"	"0"	"162"	"5"	"2"	"13"	"0"	"2"	"1"	"4"	"1"	"7"	"2"	"6"	"5"	"455"	"0"	"455"	"0"
"121"	"65"	"214"	"6"	"0"	"0"	"0"	"0"	"1"	"41"	"1"	"0"	"4"	"1"	"2"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"275"	"0"	"275"	"0"
"122"	"66"	"354"	"121"	"2"	"2"	"0"	"0"	"4"	"114"	"2"	"4"	"20"	"1"	"11"	"1"	"13"	"26"	"11"	"7"	"2"	"3"	"698"	"0"	"698"	"0"
"123"	"67"	"253"	"31"	"3"	"3"	"1"	"3"	"6"	"157"	"13"	"6"	"19"	"5"	"9"	"4"	"9"	"24"	"9"	"2"	"1"	"2"	"560"	"0"	"560"	"0"
"124"	"68"	"53"	"209"	"14"	"0"	"1"	"1"	"2"	"150"	"4"	"3"	"6"	"0"	"3"	"2"	"4"	"3"	"23"	"13"	"16"	"24"	"531"	"0"	"531"	"0"
"125"	"69"	"18"	"50"	"5"	"2"	"0"	"3"	"2"	"151"	"5"	"2"	"4"	"1"	"17"	"2"	"8"	"7"	"3"	"2"	"7"	"3"	"292"	"0"	"292"	"0"
"126"	"70"	"308"	"33"	"4"	"3"	"2"	"2"	"13"	"57"	"2"	"1"	"8"	"1"	"6"	"0"	"1"	"11"	"6"	"2"	"0"	"1"	"461"	"0"	"461"	"0"
"127"	"71"	"43"	"62"	"14"	"7"	"1"	"3"	"5"	"97"	"4"	"0"	"11"	"1"	"6"	"0"	"2"	"2"	"4"	"1"	"1"	"3"	"267"	"0"	"267"	"0"
"128"	"72"	"325"	"81"	"8"	"3"	"3"	"2"	"0"	"192"	"3"	"0"	"5"	"1"	"2"	"0"	"5"	"4"	"5"	"3"	"3"	"3"	"648"	"0"	"648"	"0"
