"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-1,92,069"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"16"	"9"	"48"	"18"	"328"	"23"	"92"	""	"7"	"23"	"11"	"3"	"5"	"2"	"3"	"7"	"12"	"582"	"&"	"582"	"&"	""
"17"	"10"	"391"	"53"	"9"	"8"	"92"	""	"21"	"43"	"20"	"4"	"7"	"3"	"6"	"3"	"13"	"673"	"&"	"673"	"&"	""
"18"	"11"	"42"	"12"	"167"	"19"	"185"	""	"8"	"15"	"12"	"4"	"12"	"2"	"6"	"4"	"19"	"507"	"&"	"507"	"&"	""
"19"	"12"	"30"	"7"	"51"	"34"	"84"	""	"3"	"3"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"220"	"&"	"220"	"&"	""
"20"	"13"	"14"	"0"	"73"	"3"	"386"	""	"2"	"12"	"1"	"0"	"1"	"12"	"2"	"0"	"1"	"507"	"&"	"507"	"&"	""
"21"	"14"	"25"	"2"	"118"	"14"	"260"	""	"9"	"69"	"49"	"9"	"4"	"3"	"9"	"6"	"9"	"586"	"&"	"586"	"&"	""
"22"	"15"	"27"	"6"	"57"	"9"	"118"	""	"4"	"81"	"23"	"2"	"0"	"0"	"2"	"3"	"4"	"336"	"&"	"336"	"&"	""
"23"	"16"	"377"	"4"	"109"	"0"	"2"	""	"17"	"84"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"597"	"&"	"597"	"&"	""
"24"	"17"	"77"	"3"	"204"	"0"	"6"	""	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"2"	"2"	"300"	"&"	"300"	"&"	""
"25"	"18"	"167"	"17"	"63"	"5"	"53"	""	"8"	"48"	"30"	"1"	"9"	"3"	"18"	"7"	"30"	"459"	"&"	"459"	"&"	""
"26"	"19"	"25"	"1"	"191"	"11"	"75"	""	"21"	"93"	"20"	"1"	"1"	"3"	"2"	"1"	"5"	"450"	"&"	"450"	"&"	""
"27"	"20"	"241"	"25"	"34"	"7"	"131"	""	"15"	"91"	"29"	"7"	"13"	"15"	"15"	"7"	"25"	"655"	"&"	"655"	"&"	""
"28"	"21"	"37"	"11"	"151"	"53"	"44"	""	"50"	"57"	"26"	"1"	"8"	"5"	"3"	"3"	"16"	"465"	"&"	"465"	"&"	""
"29"	"22"	"35"	"1"	"31"	"5"	"114"	""	"4"	"62"	"11"	"4"	"5"	"5"	"12"	"5"	"11"	"305"	"&"	"305"	"&"	""
"30"	"23"	"30"	"4"	"140"	"12"	"54"	""	"3"	"46"	"6"	"3"	"1"	"5"	"5"	"1"	"12"	"322"	"&"	"322"	"&"	""
"31"	"24"	"162"	"21"	"300"	"20"	"12"	""	"11"	"69"	"24"	"1"	"8"	"4"	"13"	"5"	"12"	"662"	"&"	"662"	"&"	""
"32"	"25"	"603"	"7"	"90"	"6"	"82"	""	"3"	"20"	"1"	"1"	"4"	"1"	"0"	"1"	"2"	"821"	"&"	"821"	"&"	""
"33"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"35"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"36"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"37"	"26"	"86"	"8"	"73"	"6"	"30"	""	"10"	"112"	"21"	"5"	"8"	"3"	"7"	"1"	"6"	"376"	"&"	"376"	"&"	""
"38"	"27"	"196"	"24"	"75"	"4"	"21"	""	"95"	"70"	"20"	"10"	"11"	"5"	"6"	"3"	"33"	"573"	"&"	"573"	"&"	""
"39"	"28"	"142"	"25"	"51"	"16"	"81"	""	"62"	"23"	"10"	"4"	"13"	"4"	"8"	"4"	"11"	"454"	"&"	"454"	"&"	""
"40"	"29"	"151"	"16"	"53"	"7"	"337"	""	"44"	"24"	"7"	"1"	"6"	"5"	"4"	"2"	"7"	"664"	"&"	"664"	"&"	""
"41"	"30"	"25"	"5"	"552"	"3"	"25"	""	"59"	"101"	"18"	"3"	"1"	"1"	"6"	"0"	"2"	"801"	"&"	"801"	"&"	""
"42"	"31"	"238"	"2"	"13"	"0"	"11"	""	"22"	"14"	"6"	"1"	"1"	"1"	"0"	"0"	"1"	"310"	"&"	"310"	"&"	""
"43"	"32"	"45"	"7"	"36"	"5"	"95"	""	"12"	"129"	"18"	"7"	"1"	"3"	"1"	"0"	"4"	"363"	"&"	"363"	"&"	""
"44"	"33"	"1011"	"3"	"12"	"0"	"7"	""	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1036"	"&"	"1036"	"&"	""
"45"	"34"	"24"	"2"	"36"	"1"	"2"	""	"82"	"35"	"5"	"1"	"3"	"2"	"3"	"3"	"2"	"201"	"&"	"201"	"&"	""
"46"	"35"	"278"	"20"	"135"	"22"	"128"	""	"67"	"29"	"13"	"8"	"8"	"6"	"4"	"5"	"13"	"736"	"&"	"736"	"&"	""
"47"	"36"	"46"	"6"	"56"	"11"	"150"	""	"4"	"11"	"1"	"3"	"4"	"2"	"3"	"2"	"4"	"303"	"&"	"303"	"&"	""
"48"	"37"	"239"	"14"	"11"	"0"	"3"	""	"46"	"14"	"5"	"0"	"1"	"0"	"0"	"3"	"6"	"342"	"&"	"342"	"&"	""
"49"	"38"	"137"	"19"	"13"	"4"	"49"	""	"35"	"41"	"15"	"3"	"2"	"2"	"3"	"1"	"5"	"329"	"&"	"329"	"&"	""
"50"	"39"	"123"	"16"	"106"	"9"	"59"	""	"125"	"37"	"13"	"2"	"9"	"3"	"4"	"5"	"22"	"533"	"&"	"533"	"&"	""
"51"	"40"	"40"	"5"	"59"	"9"	"172"	""	"25"	"10"	"6"	"1"	"5"	"0"	"2"	"2"	"3"	"339"	"&"	"339"	"&"	""
"52"	"41"	"37"	"3"	"523"	"3"	"73"	""	"3"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"650"	"&"	"650"	"&"	""
"53"	"42"	"100"	"5"	"44"	"9"	"127"	""	"5"	"10"	"2"	"2"	"10"	"14"	"11"	"4"	"27"	"370"	"&"	"370"	"&"	""
"54"	"43"	"95"	"4"	"36"	"8"	"46"	""	"13"	"7"	"5"	"6"	"4"	"55"	"6"	"3"	"10"	"298"	"&"	"298"	"&"	""
"55"	"44"	"81"	"12"	"73"	"9"	"110"	""	"7"	"23"	"14"	"10"	"4"	"29"	"3"	"3"	"8"	"386"	"&"	"386"	"&"	""
"56"	"45"	"8"	"6"	"28"	"8"	"49"	""	"1"	"5"	"4"	"1"	"1"	"6"	"3"	"1"	"13"	"134"	"&"	"134"	"&"	""
"57"	"46"	"70"	"19"	"69"	"13"	"49"	""	"47"	"9"	"5"	"2"	"5"	"4"	"7"	"6"	"9"	"314"	"&"	"314"	"&"	""
"58"	"47"	"378"	"32"	"17"	"6"	"129"	""	"15"	"24"	"12"	"4"	"9"	"6"	"14"	"5"	"19"	"670"	"&"	"670"	"&"	""
"59"	"48"	"232"	"3"	"70"	"1"	"0"	""	"5"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"&"	"325"	"&"	""
"60"	"49"	"74"	"8"	"36"	"8"	"165"	""	"10"	"12"	"2"	"0"	"8"	"40"	"1"	"1"	"8"	"373"	"&"	"373"	"&"	""
"61"	"50"	"221"	"15"	"15"	"7"	"77"	""	"10"	"11"	"1"	"1"	"2"	"39"	"1"	"1"	"6"	"407"	"&"	"407"	"&"	""
"62"	"51"	"323"	"13"	"12"	"4"	"89"	""	"7"	"7"	"6"	"4"	"6"	"52"	"2"	"8"	"17"	"550"	"&"	"550"	"&"	""
"63"	"52"	"241"	"19"	"34"	"5"	"144"	""	"16"	"19"	"4"	"8"	"9"	"16"	"5"	"1"	"15"	"536"	"&"	"536"	"&"	""
"64"	"53"	"19"	"2"	"22"	"3"	"214"	""	"5"	"31"	"5"	"1"	"0"	"3"	"0"	"1"	"1"	"307"	"&"	"307"	"&"	""
"65"	"54"	"226"	"12"	"73"	"5"	"3"	""	"10"	"45"	"14"	"1"	"5"	"2"	"2"	"0"	"4"	"402"	"&"	"402"	"&"	""
"66"	"55"	"606"	"4"	"14"	"1"	"6"	""	"4"	"1"	"1"	"0"	"3"	"3"	"1"	"1"	"1"	"646"	"&"	"646"	"&"	""
"67"	"56"	"523"	"1"	"1"	"0"	"1"	""	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"532"	"&"	"532"	"&"	""
"68"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"70"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"71"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"72"	"57"	"385"	"8"	"14"	"2"	"4"	""	"29"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"451"	"&"	"451"	"&"	""
"73"	"58"	"475"	"2"	"5"	"0"	"6"	""	"19"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"4"	"515"	"&"	"515"	"&"	""
"74"	"59"	"363"	"23"	"35"	"6"	"66"	""	"58"	"14"	"8"	"6"	"8"	"9"	"8"	"6"	"58"	"668"	"&"	"668"	"&"	""
"75"	"60"	"152"	"13"	"98"	"17"	"95"	""	"17"	"13"	"3"	"6"	"12"	"8"	"5"	"2"	"19"	"460"	"&"	"460"	"&"	""
"76"	"61"	"71"	"0"	"9"	"3"	"479"	""	"15"	"1"	"1"	"0"	"5"	"9"	"1"	"1"	"0"	"595"	"&"	"595"	"&"	""
"77"	"62"	"281"	"13"	"80"	"4"	"65"	""	"9"	"11"	"2"	"1"	"1"	"0"	"2"	"0"	"8"	"477"	"&"	"477"	"&"	""
"78"	"63"	"99"	"5"	"29"	"16"	"285"	""	"12"	"16"	"6"	"3"	"6"	"9"	"2"	"2"	"3"	"493"	"&"	"493"	"&"	""
"79"	"64"	"587"	"0"	"2"	"0"	"2"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"592"	"&"	"592"	"&"	""
"80"	"65"	"222"	"19"	"11"	"2"	"3"	""	"11"	"28"	"18"	"0"	"6"	"0"	"5"	"3"	"20"	"348"	"&"	"348"	"&"	""
"81"	"66"	"265"	"17"	"29"	"5"	"148"	""	"18"	"44"	"9"	"5"	"9"	"4"	"13"	"9"	"48"	"623"	"&"	"623"	"&"	""
"82"	"67"	"40"	"9"	"130"	"9"	"142"	""	"6"	"40"	"12"	"9"	"15"	"23"	"8"	"4"	"12"	"459"	"&"	"459"	"&"	""
"83"	"68"	"74"	"7"	"28"	"4"	"66"	""	"4"	"18"	"14"	"2"	"5"	"66"	"8"	"12"	"29"	"337"	"&"	"337"	"&"	""
"84"	"69"	"181"	"9"	"13"	"1"	"22"	""	"53"	"40"	"10"	"1"	"7"	"1"	"1"	"0"	"1"	"340"	"&"	"340"	"&"	""
"85"	"70"	"160"	"14"	"75"	"7"	"40"	""	"16"	"66"	"31"	"9"	"3"	"6"	"5"	"5"	"8"	"445"	"&"	"445"	"&"	""
"86"	"71"	"169"	"14"	"131"	"10"	"26"	""	"48"	"10"	"5"	"0"	"2"	"2"	"5"	"1"	"6"	"429"	"&"	"429"	"&"	""
"87"	"72"	"139"	"22"	"104"	"5"	"42"	""	"15"	"45"	"15"	"4"	"2"	"41"	"5"	"7"	"25"	"471"	"&"	"471"	"&"	""
"88"	"73"	"124"	"8"	"69"	"5"	"76"	""	"10"	"68"	"18"	"8"	"4"	"39"	"10"	"3"	"13"	"455"	"&"	"455"	"&"	""
"89"	"74"	"179"	"10"	"41"	"1"	"5"	""	"5"	"15"	"4"	"2"	"1"	"6"	"1"	"3"	"7"	"280"	"&"	"280"	"&"	""
"90"	"75"	"145"	"31"	"48"	"15"	"157"	""	"15"	"47"	"19"	"13"	"16"	"32"	"18"	"8"	"35"	"599"	"&"	"599"	"&"	""
"91"	"76"	"90"	"8"	"28"	"5"	"110"	""	"7"	"54"	"15"	"5"	"10"	"33"	"8"	"3"	"15"	"391"	"&"	"391"	"&"	""
"92"	"77"	"312"	"14"	"68"	"1"	"86"	""	"21"	"25"	"8"	"3"	"4"	"4"	"2"	"2"	"1"	"551"	"&"	"551"	"&"	""
"93"	"78"	"202"	"27"	"112"	"12"	"62"	""	"23"	"32"	"10"	"2"	"2"	"7"	"5"	"9"	"12"	"517"	"&"	"517"	"&"	""
"94"	"79"	"169"	"14"	"44"	"4"	"62"	""	"14"	"56"	"25"	"3"	"2"	"0"	"2"	"2"	"3"	"400"	"&"	"400"	"&"	""
"95"	"80"	"76"	"11"	"121"	"24"	"120"	""	"19"	"162"	"46"	"15"	"10"	"79"	"10"	"10"	"22"	"725"	"&"	"725"	"&"	""
"96"	"81"	"28"	"8"	"31"	"5"	"123"	""	"7"	"127"	"38"	"9"	"17"	"79"	"17"	"8"	"38"	"535"	"&"	"535"	"&"	""
"97"	"82"	"62"	"15"	"117"	"26"	"148"	""	"8"	"127"	"40"	"12"	"12"	"91"	"17"	"10"	"29"	"714"	"&"	"714"	"&"	""
"98"	"83"	"167"	"10"	"33"	"4"	"43"	""	"10"	"33"	"12"	"4"	"6"	"16"	"2"	"1"	"13"	"354"	"&"	"354"	"&"	""
"99"	"84"	"35"	"11"	"23"	"5"	"163"	""	"4"	"23"	"4"	"5"	"2"	"19"	"3"	"1"	"0"	"298"	"&"	"298"	"&"	""
"100"	"85"	"280"	"19"	"54"	"9"	"104"	""	"9"	"90"	"22"	"2"	"5"	"6"	"11"	"6"	"26"	"643"	"&"	"643"	"&"	""
"101"	"86"	"289"	"24"	"87"	"9"	"20"	""	"4"	"55"	"11"	"4"	"6"	"31"	"10"	"6"	"20"	"576"	"&"	"576"	"&"	""
"102"	"87"	"43"	"7"	"111"	"10"	"36"	""	"3"	"64"	"12"	"3"	"7"	"47"	"11"	"10"	"27"	"391"	"&"	"391"	"&"	""
"103"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"105"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"107"	"88"	"130"	"15"	"136"	"6"	"55"	""	"11"	"116"	"20"	"2"	"3"	"26"	"6"	"2"	"4"	"532"	"&"	"532"	"&"	""
"108"	"89"	"45"	"7"	"110"	"18"	"72"	""	"8"	"105"	"36"	"11"	"4"	"62"	"10"	"2"	"19"	"509"	"&"	"509"	"&"	""
"109"	"90"	"279"	"22"	"38"	"2"	"19"	""	"2"	"10"	"2"	"0"	"1"	"52"	"0"	"2"	"4"	"433"	"&"	"433"	"&"	""
"110"	"91"	"188"	"19"	"136"	"2"	"21"	""	"4"	"56"	"5"	"1"	"4"	"8"	"1"	"1"	"7"	"453"	"&"	"453"	"&"	""
"111"	"92"	"256"	"33"	"80"	"7"	"54"	""	"2"	"50"	"17"	"5"	"4"	"22"	"4"	"2"	"12"	"548"	"&"	"548"	"&"	""
"112"	"93"	"117"	"10"	"210"	"17"	"126"	""	"5"	"121"	"36"	"4"	"6"	"22"	"6"	"4"	"9"	"693"	"&"	"693"	"&"	""
"113"	"94"	"79"	"8"	"26"	"2"	"55"	""	"0"	"69"	"26"	"1"	"1"	"1"	"3"	"1"	"2"	"274"	"&"	"274"	"&"	""
"114"	"95"	"105"	"14"	"189"	"11"	"81"	""	"4"	"74"	"10"	"8"	"3"	"46"	"10"	"6"	"24"	"585"	"&"	"585"	"&"	""
"115"	"96"	"20"	"6"	"80"	"12"	"133"	""	"9"	"32"	"13"	"1"	"6"	"83"	"5"	"4"	"13"	"417"	"&"	"417"	"&"	""
"116"	"97"	"112"	"33"	"45"	"13"	"20"	""	"5"	"102"	"26"	"7"	"12"	"8"	"8"	"8"	"11"	"410"	"&"	"410"	"&"	""
"117"	"98"	"166"	"23"	"144"	"20"	"49"	""	"9"	"137"	"46"	"13"	"12"	"13"	"14"	"17"	"38"	"701"	"&"	"701"	"&"	""
"118"	"99"	"136"	"12"	"145"	"29"	"72"	""	"5"	"100"	"51"	"5"	"17"	"33"	"12"	"10"	"24"	"651"	"&"	"651"	"&"	""
"119"	"100"	"4"	"4"	"27"	"9"	"358"	""	"9"	"59"	"21"	"8"	"3"	"9"	"5"	"1"	"5"	"522"	"&"	"522"	"&"	""
"120"	"101"	"101"	"6"	"14"	"1"	"3"	""	"1"	"520"	"16"	"2"	"2"	"2"	"1"	"0"	"0"	"669"	"&"	"669"	"&"	""
"121"	"102"	"87"	"12"	"12"	"0"	"9"	""	"1"	"571"	"21"	"2"	"0"	"1"	"1"	"0"	"1"	"718"	"&"	"718"	"&"	""
"122"	"103"	"279"	"39"	"139"	"7"	"162"	""	"8"	"18"	"2"	"1"	"7"	"3"	"6"	"3"	"11"	"685"	"&"	"685"	"&"	""
"123"	"104"	"177"	"34"	"89"	"8"	"314"	""	"5"	"16"	"4"	"2"	"6"	"8"	"4"	"2"	"9"	"678"	"&"	"678"	"&"	""
"124"	"105"	"195"	"20"	"96"	"3"	"13"	""	"0"	"29"	"14"	"4"	"6"	"2"	"1"	"2"	"8"	"393"	"&"	"393"	"&"	""
"125"	"106"	"355"	"48"	"172"	"3"	"8"	""	"7"	"20"	"9"	"2"	"1"	"2"	"0"	"2"	"9"	"638"	"&"	"638"	"&"	""
"126"	"107"	"202"	"32"	"281"	"4"	"74"	""	"1"	"1"	"3"	"2"	"4"	"1"	"1"	"1"	"2"	"609"	"&"	"609"	"&"	""
"127"	"108"	"121"	"25"	"303"	"2"	"37"	""	"2"	"3"	"1"	"1"	"1"	"4"	"2"	"0"	"3"	"505"	"&"	"505"	"&"	""
"128"	"109"	"161"	"28"	"108"	"10"	"28"	""	"1"	"54"	"14"	"2"	"3"	"1"	"1"	"4"	"4"	"419"	"&"	"419"	"&"	""
"129"	"110"	"166"	"23"	"206"	"9"	"48"	""	"5"	"54"	"23"	"1"	"6"	"4"	"1"	"1"	"5"	"552"	"&"	"552"	"&"	""
"130"	"111"	"210"	"33"	"84"	"6"	"39"	""	"2"	"18"	"3"	"5"	"5"	"2"	"0"	"0"	"12"	"419"	"&"	"419"	"&"	""
"131"	"112"	"69"	"14"	"137"	"1"	"274"	""	"6"	"19"	"2"	"1"	"5"	"1"	"0"	"3"	"1"	"533"	"&"	"533"	"&"	""
"132"	"113"	"241"	"44"	"104"	"0"	"38"	""	"0"	"18"	"8"	"0"	"1"	"3"	"2"	"1"	"1"	"461"	"&"	"461"	"&"	""
"133"	"114"	"163"	"26"	"91"	"3"	"85"	""	"1"	"5"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"379"	"&"	"379"	"&"	""
"134"	"115"	"161"	"16"	"236"	"7"	"42"	""	"2"	"41"	"7"	"0"	"1"	"11"	"1"	"1"	"2"	"528"	"&"	"528"	"&"	""
"135"	"116"	"94"	"17"	"170"	"4"	"30"	""	"0"	"12"	"7"	"0"	"0"	"16"	"0"	"0"	"3"	"353"	"&"	"353"	"&"	""
"136"	"117"	"82"	"11"	"40"	"3"	"357"	""	"5"	"73"	"15"	"0"	"3"	"2"	"2"	"5"	"8"	"606"	"&"	"606"	"&"	""
"137"	"118"	"64"	"9"	"39"	"2"	"161"	""	"2"	"25"	"1"	"1"	"1"	"9"	"2"	"1"	"1"	"318"	"&"	"318"	"&"	""
"138"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"140"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"141"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"142"	"119"	"267"	"14"	"40"	"3"	"79"	""	"2"	"8"	"1"	"5"	"6"	"10"	"1"	"3"	"21"	"460"	"&"	"460"	"&"	""
"143"	"120"	"93"	"11"	"29"	"5"	"266"	""	"6"	"8"	"4"	"4"	"8"	"58"	"4"	"1"	"4"	"501"	"&"	"501"	"&"	""
"144"	"121"	"100"	"13"	"133"	"13"	"125"	""	"3"	"16"	"8"	"4"	"7"	"241"	"10"	"11"	"35"	"719"	"&"	"719"	"&"	""
"145"	"122"	"268"	"21"	"59"	"28"	"182"	""	"11"	"20"	"13"	"5"	"18"	"98"	"9"	"4"	"25"	"761"	"&"	"761"	"&"	""
"146"	"123"	"49"	"3"	"6"	"3"	"233"	""	"3"	"14"	"3"	"1"	"10"	"26"	"1"	"2"	"4"	"358"	"&"	"358"	"&"	""
"147"	"124"	"248"	"21"	"86"	"8"	"37"	""	"2"	"17"	"4"	"3"	"10"	"97"	"5"	"5"	"23"	"566"	"&"	"566"	"&"	""
"148"	"125"	"123"	"16"	"98"	"18"	"83"	""	"9"	"41"	"17"	"3"	"2"	"83"	"13"	"5"	"16"	"527"	"&"	"527"	"&"	""
"149"	"126"	"59"	"2"	"1"	"4"	"707"	""	"2"	"42"	"13"	"3"	"1"	"1"	"3"	"0"	"2"	"840"	"&"	"840"	"&"	""
"150"	"127"	"89"	"8"	"44"	"7"	"127"	""	"6"	"31"	"11"	"2"	"4"	"59"	"6"	"4"	"11"	"409"	"&"	"409"	"&"	""
