"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly :- 90 - KEOTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"37"	"27"	"27"	"268"	"59"	"6"	"3"	"4"	"31"	"4"	"3"	"8"	"12"	"398"	"-"	"398"	""
"38"	"28"	"28"	"275"	"33"	"7"	"7"	"4"	"78"	"8"	"4"	"6"	"11"	"433"	"-"	"433"	""
"39"	"29"	"29"	"175"	"314"	"11"	"0"	"4"	"47"	"2"	"4"	"1"	"18"	"576"	"-"	"576"	""
"40"	"30"	"30"	"390"	"101"	"8"	"2"	"4"	"26"	"7"	"10"	"15"	"52"	"615"	"-"	"615"	""
"41"	"31"	"31"	"235"	"246"	"4"	"2"	"3"	"30"	"2"	"9"	"3"	"7"	"541"	"-"	"541"	""
"42"	"32"	"32"	"190"	"60"	"2"	"2"	"2"	"11"	"3"	"2"	"2"	"6"	"280"	"-"	"280"	""
"43"	"33"	"33"	"175"	"35"	"9"	"5"	"9"	"34"	"4"	"6"	"5"	"23"	"305"	"-"	"305"	""
"44"	"34"	"34"	"137"	"25"	"2"	"2"	"1"	"53"	"3"	"3"	"11"	"8"	"245"	"-"	"245"	""
"45"	"35"	"35"	"20"	"66"	"3"	"1"	"7"	"54"	"1"	"4"	"7"	"149"	"312"	"-"	"312"	""
"46"	"36"	"36"	"71"	"146"	"8"	"6"	"0"	"15"	"3"	"11"	"18"	"119"	"397"	"-"	"397"	""
"47"	"37"	"37"	"14"	"35"	"2"	"2"	"0"	"4"	"2"	"7"	"7"	"211"	"284"	"-"	"284"	""
"48"	"38"	"38"	"43"	"13"	"3"	"8"	"2"	"67"	"5"	"11"	"9"	"45"	"206"	"-"	"206"	""
"49"	"39"	"39"	"125"	"290"	"24"	"10"	"2"	"70"	"5"	"9"	"15"	"28"	"578"	"-"	"578"	""
"50"	"40"	"40"	"224"	"125"	"8"	"9"	"5"	"45"	"6"	"10"	"14"	"22"	"468"	"-"	"468"	""
"51"	"41"	"41"	"268"	"85"	"12"	"19"	"7"	"73"	"3"	"8"	"6"	"16"	"497"	"-"	"497"	""
"52"	"42"	"42"	"38"	"166"	"7"	"1"	"3"	"7"	"2"	"5"	"2"	"46"	"277"	"-"	"277"	""
"53"	"43"	"43"	"152"	"165"	"10"	"7"	"3"	"12"	"5"	"3"	"6"	"38"	"401"	"-"	"401"	""
"54"	"44"	"44"	"125"	"234"	"15"	"5"	"6"	"39"	"8"	"6"	"5"	"15"	"458"	"-"	"458"	""
"55"	"45"	"45"	"145"	"138"	"5"	"7"	"4"	"55"	"3"	"1"	"5"	"17"	"380"	"-"	"380"	""
"56"	"46"	"46"	"30"	"141"	"2"	"6"	"4"	"109"	"4"	"7"	"2"	"27"	"332"	"-"	"332"	""
"57"	"47"	"47"	"59"	"76"	"22"	"50"	"6"	"79"	"8"	"19"	"7"	"21"	"347"	"-"	"347"	""
"58"	"48"	"48"	"38"	"185"	"7"	"5"	"6"	"79"	"5"	"18"	"17"	"37"	"397"	"-"	"397"	""
"59"	"49"	"49"	"22"	"612"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	"640"	"-"	"640"	""
"60"	"50"	"50"	"250"	"106"	"5"	"6"	"7"	"77"	"8"	"9"	"14"	"23"	"505"	"-"	"505"	""
"61"	"51"	"51"	"286"	"95"	"9"	"4"	"6"	"39"	"4"	"7"	"4"	"11"	"465"	"-"	"465"	""
"62"	"52"	"52"	"81"	"178"	"28"	"6"	"7"	"82"	"13"	"4"	"10"	"26"	"435"	"-"	"435"	""
"63"	"53"	"53"	"43"	"130"	"17"	"4"	"9"	"152"	"10"	"10"	"11"	"14"	"400"	"-"	"400"	""
"64"	"54"	"54"	"267"	"41"	"3"	"25"	"7"	"195"	"13"	"8"	"8"	"23"	"590"	"-"	"590"	""
"65"	"55"	"55"	"287"	"67"	"8"	"21"	"5"	"119"	"9"	"8"	"16"	"18"	"558"	"-"	"558"	""
"66"	"56"	"56"	"183"	"265"	"14"	"6"	"6"	"26"	"14"	"4"	"3"	"10"	"531"	"-"	"531"	""
"67"	"57"	"57"	"17"	"238"	"3"	"2"	"1"	"23"	"7"	"3"	"1"	"10"	"305"	"-"	"305"	""
"68"	"58"	"58"	"16"	"319"	"2"	"2"	"2"	"19"	"25"	"1"	"0"	"34"	"420"	"-"	"420"	""
"69"	"59"	"59"	"332"	"52"	"12"	"3"	"4"	"89"	"4"	"7"	"6"	"12"	"521"	"-"	"521"	""
"70"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"71"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"73"	"60"	"60"	"77"	"257"	"6"	"2"	"3"	"20"	"5"	"2"	"4"	"15"	"391"	"-"	"391"	""
"74"	"61"	"61"	"259"	"163"	"7"	"3"	"3"	"4"	"5"	"5"	"3"	"14"	"466"	"-"	"466"	""
"75"	"62"	"62"	"200"	"51"	"9"	"3"	"2"	"17"	"2"	"8"	"3"	"10"	"305"	"-"	"305"	""
"76"	"63"	"63"	"209"	"35"	"5"	"3"	"4"	"39"	"1"	"6"	"5"	"14"	"321"	"-"	"321"	""
"77"	"64"	"64"	"133"	"153"	"13"	"13"	"17"	"103"	"11"	"12"	"3"	"12"	"470"	"-"	"470"	""
"78"	"65"	"65"	"261"	"87"	"10"	"3"	"3"	"48"	"7"	"14"	"16"	"29"	"478"	"-"	"478"	""
"79"	"66"	"66"	"228"	"48"	"7"	"1"	"3"	"60"	"14"	"10"	"7"	"16"	"394"	"-"	"394"	""
"80"	"67"	"67"	"296"	"66"	"8"	"0"	"0"	"8"	"3"	"3"	"2"	"7"	"393"	"-"	"393"	""
"81"	"68"	"68"	"293"	"118"	"5"	"6"	"1"	"8"	"3"	"1"	"2"	"7"	"444"	"-"	"444"	""
"82"	"69"	"69"	"237"	"121"	"13"	"4"	"0"	"21"	"8"	"1"	"7"	"14"	"426"	"-"	"426"	""
"83"	"70"	"70"	"141"	"152"	"5"	"5"	"3"	"17"	"7"	"2"	"1"	"10"	"343"	"-"	"343"	""
"84"	"71"	"71"	"177"	"107"	"5"	"2"	"1"	"43"	"6"	"15"	"9"	"16"	"381"	"-"	"381"	""
"85"	"72"	"72"	"220"	"133"	"10"	"8"	"6"	"37"	"7"	"8"	"9"	"21"	"459"	"-"	"459"	""
"86"	"73"	"73"	"192"	"75"	"4"	"3"	"4"	"65"	"3"	"2"	"2"	"15"	"365"	"-"	"365"	""
"87"	"74"	"74"	"3"	"644"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"653"	"-"	"653"	""
"88"	"75"	"75"	"597"	"17"	"4"	"0"	"1"	"23"	"5"	"0"	"0"	"6"	"653"	"-"	"653"	""
"89"	"76"	"76"	"289"	"35"	"5"	"2"	"0"	"13"	"2"	"0"	"2"	"7"	"355"	"-"	"355"	""
"90"	"77"	"77"	"261"	"102"	"8"	"6"	"3"	"19"	"3"	"7"	"4"	"11"	"424"	"-"	"424"	""
"91"	"78"	"78"	"206"	"171"	"7"	"6"	"1"	"27"	"2"	"7"	"4"	"3"	"434"	"-"	"434"	""
"92"	"79"	"79"	"269"	"212"	"19"	"39"	"6"	"53"	"3"	"12"	"13"	"24"	"650"	"-"	"650"	""
"93"	"80"	"80"	"298"	"103"	"6"	"9"	"2"	"32"	"43"	"2"	"4"	"7"	"506"	"-"	"506"	""
"94"	"81"	"81"	"176"	"100"	"7"	"8"	"5"	"107"	"5"	"10"	"8"	"15"	"441"	"-"	"441"	""
"95"	"82"	"82"	"29"	"146"	"5"	"2"	"2"	"79"	"5"	"4"	"5"	"5"	"282"	"-"	"282"	""
"96"	"83"	"83"	"41"	"211"	"13"	"0"	"3"	"81"	"10"	"11"	"11"	"27"	"408"	"-"	"408"	""
"97"	"84"	"84"	"99"	"7"	"4"	"6"	"8"	"81"	"5"	"3"	"7"	"17"	"237"	"-"	"237"	""
"98"	"85"	"85"	"217"	"36"	"3"	"40"	"6"	"12"	"5"	"2"	"7"	"10"	"338"	"-"	"338"	""
"99"	"86"	"86"	"128"	"189"	"12"	"5"	"6"	"40"	"6"	"4"	"12"	"5"	"407"	"-"	"407"	""
"100"	"87"	"87"	"588"	"34"	"1"	"3"	"1"	"35"	"1"	"3"	"2"	"9"	"677"	"-"	"677"	""
"101"	"88"	"88"	"555"	"27"	"0"	"1"	"1"	"50"	"1"	"2"	"0"	"4"	"641"	"-"	"641"	""
"102"	"89"	"89"	"281"	"141"	"15"	"10"	"5"	"39"	"6"	"9"	"2"	"11"	"519"	"-"	"519"	""
"103"	"90"	"90"	"397"	"66"	"51"	"4"	"3"	"49"	"5"	"8"	"9"	"24"	"616"	"-"	"616"	""
"104"	"91"	"91"	"301"	"196"	"18"	"24"	"8"	"40"	"25"	"11"	"11"	"43"	"677"	"-"	"677"	""
"105"	"92"	"92"	"139"	"181"	"13"	"5"	"1"	"39"	"7"	"9"	"10"	"14"	"418"	"-"	"418"	""
"106"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"107"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"109"	"93"	"93"	"364"	"128"	"12"	"4"	"10"	"40"	"14"	"10"	"8"	"19"	"609"	"-"	"609"	""
"110"	"94"	"94"	"416"	"195"	"12"	"24"	"5"	"52"	"7"	"20"	"13"	"36"	"780"	"-"	"780"	""
"111"	"95"	"95"	"382"	"192"	"11"	"5"	"3"	"53"	"5"	"7"	"6"	"18"	"682"	"-"	"682"	""
"112"	"96"	"96"	"167"	"264"	"20"	"11"	"9"	"98"	"9"	"12"	"5"	"16"	"611"	"-"	"611"	""
"113"	"97"	"97"	"355"	"73"	"5"	"1"	"0"	"18"	"1"	"3"	"3"	"16"	"475"	"-"	"475"	""
"114"	"98"	"98"	"376"	"13"	"0"	"1"	"2"	"30"	"5"	"4"	"5"	"11"	"447"	"-"	"447"	""
"115"	"99"	"99"	"518"	"39"	"1"	"15"	"3"	"22"	"2"	"0"	"1"	"8"	"609"	"-"	"609"	""
"116"	"100"	"100"	"161"	"301"	"12"	"31"	"2"	"61"	"4"	"5"	"5"	"26"	"608"	"-"	"608"	""
"117"	"101"	"101"	"87"	"235"	"22"	"12"	"12"	"156"	"15"	"15"	"26"	"42"	"622"	"-"	"622"	""
"118"	"102"	"102"	"97"	"171"	"12"	"3"	"9"	"136"	"10"	"7"	"12"	"24"	"481"	"-"	"481"	""
"119"	"103"	"103"	"207"	"45"	"3"	"1"	"1"	"47"	"3"	"1"	"6"	"3"	"317"	"-"	"317"	""
"120"	"104"	"104"	"209"	"245"	"3"	"11"	"4"	"4"	"1"	"2"	"3"	"7"	"489"	"-"	"489"	""
"121"	"105"	"105"	"209"	"248"	"4"	"1"	"1"	"1"	"5"	"3"	"0"	"1"	"473"	"-"	"473"	""
"122"	"106"	"106"	"352"	"80"	"5"	"4"	"3"	"19"	"7"	"1"	"3"	"7"	"481"	"-"	"481"	""
"123"	"107"	"107"	"396"	"173"	"13"	"12"	"2"	"25"	"4"	"3"	"5"	"6"	"639"	"-"	"639"	""
"124"	"108"	"108"	"36"	"181"	"2"	"2"	"4"	"89"	"5"	"7"	"8"	"9"	"343"	"-"	"343"	""
"125"	"109"	"109"	"154"	"287"	"17"	"4"	"1"	"37"	"5"	"12"	"10"	"23"	"550"	"-"	"550"	""
"126"	"110"	"110"	"54"	"268"	"15"	"4"	"6"	"44"	"3"	"3"	"8"	"13"	"418"	"-"	"418"	""
"127"	"111"	"111"	"308"	"167"	"2"	"0"	"0"	"13"	"8"	"2"	"6"	"5"	"511"	"-"	"511"	""
"128"	"112"	"112"	"145"	"178"	"7"	"4"	"2"	"2"	"2"	"13"	"1"	"2"	"356"	"-"	"356"	""
"129"	"113"	"113"	"335"	"180"	"11"	"6"	"6"	"68"	"11"	"5"	"8"	"36"	"666"	"-"	"666"	""
"130"	"114"	"114"	"207"	"355"	"19"	"4"	"11"	"25"	"7"	"4"	"5"	"13"	"650"	"-"	"650"	""
"131"	"115"	"115"	"159"	"336"	"19"	"4"	"8"	"69"	"35"	"9"	"7"	"14"	"660"	"-"	"660"	""
"132"	"116"	"116"	"194"	"112"	"7"	"49"	"12"	"156"	"15"	"12"	"15"	"29"	"601"	"-"	"601"	""
"133"	"117"	"117"	"225"	"216"	"14"	"16"	"6"	"32"	"21"	"4"	"2"	"4"	"540"	"-"	"540"	""
"134"	"118"	"118"	"348"	"318"	"1"	"29"	"0"	"15"	"5"	"0"	"1"	"6"	"723"	"-"	"723"	""
"135"	"119"	"119"	"129"	"345"	"7"	"61"	"6"	"18"	"5"	"6"	"4"	"6"	"587"	"-"	"587"	""
"136"	"120"	"120"	"82"	"236"	"19"	"11"	"5"	"34"	"6"	"11"	"13"	"43"	"460"	"-"	"460"	""
"137"	"121"	"121"	"211"	"110"	"6"	"3"	"1"	"5"	"5"	"4"	"5"	"8"	"358"	"-"	"358"	""
"138"	"122"	"122"	"18"	"314"	"8"	"8"	"7"	"81"	"8"	"4"	"12"	"16"	"476"	"-"	"476"	""
"139"	"123"	"123"	"161"	"328"	"2"	"11"	"3"	"40"	"2"	"6"	"6"	"18"	"577"	"-"	"577"	""
"140"	"124"	"124"	"47"	"765"	"11"	"14"	"1"	"13"	"1"	"0"	"6"	"5"	"863"	"-"	"863"	""
"141"	"125"	"125"	"438"	"104"	"3"	"15"	"3"	"42"	"3"	"2"	"3"	"8"	"621"	"-"	"621"	""
"142"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"143"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"144"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"145"	"126"	"126"	"349"	"193"	"8"	"10"	"1"	"20"	"2"	"5"	"7"	"15"	"610"	"-"	"610"	""
"146"	"127"	"127"	"61"	"34"	"5"	"11"	"4"	"217"	"10"	"9"	"12"	"19"	"382"	"-"	"382"	""
"147"	"128"	"128"	"61"	"284"	"10"	"5"	"5"	"205"	"10"	"2"	"6"	"14"	"602"	"-"	"602"	""
"148"	"129"	"129"	"258"	"286"	"1"	"1"	"1"	"48"	"7"	"3"	"3"	"1"	"609"	"-"	"609"	""
"149"	"130"	"130"	"230"	"223"	"11"	"1"	"3"	"77"	"4"	"5"	"2"	"21"	"577"	"-"	"577"	""
"150"	"131"	"131"	"39"	"161"	"7"	"1"	"2"	"34"	"2"	"3"	"3"	"9"	"261"	"-"	"261"	""
"151"	"132"	"132"	"63"	"225"	"4"	"1"	"2"	"34"	"2"	"4"	"7"	"21"	"363"	"-"	"363"	""
"152"	"133"	"133"	"14"	"227"	"6"	"1"	"1"	"22"	"0"	"1"	"3"	"4"	"279"	"-"	"279"	""
"153"	"134"	"134"	"38"	"352"	"12"	"1"	"1"	"28"	"1"	"2"	"2"	"3"	"440"	"-"	"440"	""
"154"	"135"	"135"	"15"	"364"	"8"	"0"	"0"	"49"	"0"	"2"	"0"	"4"	"442"	"-"	"442"	""
"155"	"136"	"136"	"43"	"119"	"1"	"0"	"4"	"531"	"0"	"4"	"1"	"6"	"709"	"-"	"709"	""
"156"	"137"	"137"	"287"	"72"	"8"	"5"	"2"	"54"	"5"	"5"	"7"	"6"	"451"	"-"	"451"	""
"157"	"138"	"138"	"132"	"225"	"19"	"5"	"13"	"132"	"7"	"8"	"15"	"9"	"565"	"-"	"565"	""
"158"	"139"	"139"	"140"	"31"	"7"	"12"	"12"	"92"	"9"	"12"	"9"	"15"	"339"	"-"	"339"	""
"159"	"140"	"140"	"396"	"59"	"1"	"9"	"4"	"31"	"1"	"2"	"2"	"5"	"510"	"-"	"510"	""
"160"	"141"	"141"	"398"	"24"	"0"	"2"	"0"	"17"	"0"	"0"	"0"	"0"	"441"	"-"	"441"	""
"161"	"142"	"142"	"121"	"167"	"17"	"3"	"0"	"22"	"3"	"1"	"3"	"3"	"340"	"-"	"340"	""
"162"	"143"	"143"	"289"	"104"	"5"	"7"	"9"	"5"	"3"	"5"	"4"	"9"	"440"	"-"	"440"	""
"163"	"144"	"144"	"458"	"93"	"17"	"6"	"6"	"84"	"14"	"10"	"10"	"12"	"710"	"-"	"710"	""
"164"	"145"	"145"	"510"	"132"	"2"	"1"	"1"	"5"	"1"	"3"	"3"	"9"	"667"	"-"	"667"	""
"165"	"146"	"146"	"240"	"273"	"7"	"0"	"4"	"45"	"0"	"10"	"3"	"3"	"585"	"-"	"585"	""
"166"	"147"	"147"	"18"	"461"	"2"	"2"	"0"	"102"	"3"	"1"	"3"	"3"	"595"	"-"	"595"	""
"167"	"148"	"148"	"12"	"456"	"5"	"19"	"4"	"7"	"0"	"12"	"0"	"1"	"516"	"-"	"516"	""
"168"	"149"	"149"	"116"	"263"	"6"	"5"	"15"	"101"	"3"	"3"	"7"	"6"	"525"	"-"	"525"	""
"169"	"150"	"150"	"226"	"143"	"14"	"3"	"5"	"33"	"9"	"6"	"4"	"8"	"451"	"-"	"451"	""
"170"	"151"	"151"	"312"	"149"	"6"	"8"	"21"	"27"	"7"	"5"	"7"	"17"	"559"	"-"	"559"	""
"171"	"152"	"152"	"431"	"161"	"18"	"3"	"3"	"19"	"1"	"5"	"2"	"3"	"646"	"-"	"646"	""
"172"	"153"	"153"	"116"	"114"	"2"	"6"	"8"	"244"	"6"	"28"	"12"	"12"	"548"	"-"	"548"	""
"173"	"154"	"154"	"18"	"242"	"6"	"4"	"7"	"198"	"5"	"12"	"4"	"9"	"505"	"-"	"505"	""
"174"	"155"	"155"	"74"	"153"	"3"	"5"	"10"	"257"	"12"	"17"	"13"	"29"	"573"	"-"	"573"	""
"175"	"156"	"156"	"114"	"156"	"14"	"7"	"9"	"133"	"10"	"13"	"17"	"35"	"508"	"-"	"508"	""
"176"	"157"	"157"	"181"	"318"	"6"	"4"	"4"	"94"	"5"	"15"	"13"	"19"	"659"	"-"	"659"	""
"177"	"158"	"158"	"40"	"415"	"10"	"2"	"2"	"45"	"5"	"62"	"3"	"5"	"589"	"-"	"589"	""
"178"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"179"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"181"	"159"	"159"	"235"	"201"	"14"	"6"	"12"	"80"	"7"	"12"	"11"	"19"	"597"	"-"	"597"	""
"182"	"160"	"160"	"136"	"71"	"4"	"1"	"13"	"226"	"4"	"10"	"9"	"19"	"493"	"-"	"493"	""
"183"	"161"	"161"	"121"	"127"	"11"	"4"	"12"	"205"	"10"	"7"	"9"	"24"	"530"	"-"	"530"	""
"184"	"162"	"162"	"174"	"84"	"8"	"3"	"8"	"236"	"9"	"11"	"11"	"40"	"584"	"-"	"584"	""
"185"	"163"	"163"	"152"	"231"	"6"	"2"	"8"	"150"	"8"	"7"	"12"	"11"	"587"	"-"	"587"	""
"186"	"164"	"164"	"97"	"99"	"7"	"3"	"8"	"318"	"9"	"4"	"10"	"14"	"569"	"-"	"569"	""
"187"	"165"	"165"	"247"	"99"	"9"	"43"	"22"	"369"	"8"	"16"	"12"	"20"	"845"	"-"	"845"	""
"188"	"166"	"166"	"154"	"173"	"14"	"3"	"5"	"143"	"4"	"12"	"9"	"21"	"538"	"-"	"538"	""
"189"	"167"	"167"	"93"	"169"	"8"	"9"	"7"	"212"	"16"	"8"	"9"	"23"	"554"	"-"	"554"	""
"190"	"168"	"168"	"173"	"165"	"10"	"1"	"4"	"87"	"4"	"6"	"5"	"5"	"460"	"-"	"460"	""
"191"	"169"	"169"	"132"	"204"	"11"	"4"	"5"	"114"	"9"	"8"	"9"	"19"	"515"	"-"	"515"	""
"192"	"170"	"170"	"9"	"449"	"3"	"1"	"28"	"69"	"3"	"2"	"3"	"2"	"569"	"-"	"569"	""
"193"	"171"	"171"	"30"	"67"	"6"	"3"	"303"	"112"	"8"	"5"	"8"	"17"	"559"	"-"	"559"	""
