"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"47"	";ksx"	"2386"	"362"	"3754"	"207"	"310"	"66"	"277"	"64"	"167"	"103"	"147"	"7843"	""
"48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"52"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"59"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"60"	"29"	"141"	"28"	"427"	"8"	"21"	"2"	"4"	"0"	"13"	"4"	"3"	"651"	""
"61"	"30"	"128"	"40"	"216"	"30"	"18"	"5"	"26"	"7"	"26"	"13"	"34"	"543"	""
"62"	"31"	"176"	"22"	"189"	"4"	"7"	"7"	"8"	"6"	"25"	"11"	"18"	"473"	""
"63"	"32"	"73"	"12"	"194"	"6"	"97"	"7"	"2"	"8"	"12"	"9"	"10"	"430"	""
"64"	"33"	"54"	"23"	"42"	"8"	"51"	"4"	"12"	"28"	"10"	"209"	"42"	"483"	""
"65"	"34"	"20"	"4"	"358"	"4"	"2"	"2"	"4"	"0"	"2"	"4"	"1"	"401"	""
"66"	"35"	"208"	"28"	"343"	"13"	"80"	"8"	"9"	"9"	"27"	"11"	"25"	"761"	""
"67"	"36"	"114"	"11"	"78"	"2"	"3"	"0"	"0"	"2"	"7"	"5"	"20"	"242"	""
"68"	"37"	"92"	"13"	"406"	"14"	"5"	"11"	"9"	"16"	"25"	"5"	"7"	"603"	""
"69"	"38"	"82"	"19"	"165"	"13"	"27"	"6"	"3"	"24"	"3"	"44"	"3"	"389"	""
"70"	"39"	"94"	"11"	"133"	"14"	"61"	"10"	"12"	"16"	"17"	"14"	"13"	"395"	""
"71"	"40"	"91"	"42"	"223"	"23"	"53"	"3"	"11"	"22"	"11"	"59"	"13"	"551"	""
"72"	"41"	"144"	"44"	"281"	"5"	"77"	"4"	"7"	"17"	"16"	"20"	"11"	"626"	""
"73"	"42"	"185"	"32"	"445"	"10"	"45"	"11"	"7"	"14"	"26"	"7"	"26"	"808"	""
"74"	";ksx"	"1602"	"329"	"3500"	"154"	"547"	"80"	"114"	"169"	"220"	"415"	"226"	"7356"	""
"75"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"79"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"86"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"87"	"43"	"86"	"16"	"124"	"9"	"20"	"1"	"10"	"0"	"11"	"3"	"11"	"291"	""
"88"	"44"	"125"	"17"	"98"	"12"	"7"	"2"	"2"	"2"	"13"	"21"	"13"	"312"	""
"89"	"45"	"215"	"22"	"269"	"8"	"41"	"6"	"6"	"1"	"11"	"9"	"16"	"604"	""
"90"	"46"	"135"	"22"	"295"	"8"	"9"	"5"	"3"	"5"	"25"	"12"	"39"	"558"	""
"91"	"47"	"98"	"12"	"188"	"6"	"41"	"5"	"7"	"11"	"20"	"11"	"13"	"412"	""
"92"	"48"	"170"	"7"	"29"	"3"	"31"	"6"	"2"	"3"	"4"	"3"	"12"	"270"	""
"93"	"49"	"244"	"40"	"252"	"72"	"24"	"14"	"5"	"8"	"19"	"7"	"8"	"693"	""
"94"	"50"	"309"	"27"	"175"	"9"	"16"	"4"	"4"	"3"	"8"	"4"	"24"	"583"	""
"95"	"51"	"113"	"4"	"3"	"168"	"12"	"3"	"3"	"4"	"6"	"11"	"4"	"331"	""
"96"	"52"	"133"	"14"	"64"	"2"	"1"	"5"	"7"	"1"	"3"	"1"	"2"	"233"	""
"97"	"53"	"572"	"17"	"28"	"7"	"38"	"0"	"1"	"10"	"6"	"20"	"3"	"702"	""
"98"	"54"	"190"	"32"	"180"	"3"	"13"	"5"	"5"	"5"	"16"	"19"	"7"	"475"	""
"99"	"55"	"194"	"13"	"144"	"3"	"12"	"1"	"3"	"0"	"2"	"3"	"0"	"375"	""
"100"	"56"	"207"	"37"	"456"	"15"	"8"	"7"	"1"	"3"	"17"	"3"	"4"	"755"	""
"101"	";ksx"	"2791"	"280"	"2305"	"325"	"273"	"64"	"59"	"56"	"161"	"124"	"156"	"6594"	""
"102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"106"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"107"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"113"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"114"	"57"	"281"	"27"	"142"	"3"	"9"	"1"	"0"	"1"	"3"	"1"	"0"	"468"	""
"115"	"58"	"99"	"20"	"106"	"2"	"22"	"3"	"0"	"2"	"10"	"2"	"5"	"271"	""
"116"	"59"	"229"	"12"	"213"	"4"	"50"	"5"	"5"	"5"	"7"	"6"	"14"	"550"	""
"117"	"60"	"480"	"26"	"160"	"1"	"6"	"6"	"3"	"5"	"27"	"8"	"24"	"746"	""
"118"	"61"	"108"	"51"	"349"	"9"	"7"	"5"	"5"	"4"	"11"	"4"	"5"	"558"	""
"119"	"62"	"108"	"20"	"178"	"2"	"6"	"1"	"1"	"1"	"8"	"1"	"2"	"328"	""
"120"	"63"	"299"	"28"	"247"	"28"	"54"	"7"	"16"	"12"	"33"	"15"	"25"	"764"	""
"121"	"64"	"102"	"62"	"253"	"8"	"37"	"5"	"12"	"14"	"32"	"142"	"28"	"695"	""
"122"	"65"	"36"	"32"	"148"	"1"	"6"	"3"	"2"	"7"	"6"	"66"	"9"	"316"	""
"123"	"66"	"32"	"12"	"53"	"5"	"14"	"3"	"2"	"5"	"12"	"258"	"27"	"423"	""
"124"	"67"	"158"	"59"	"315"	"4"	"54"	"2"	"3"	"5"	"14"	"40"	"4"	"658"	""
"125"	"68"	"242"	"11"	"89"	"15"	"15"	"2"	"11"	"7"	"6"	"24"	"5"	"427"	""
"126"	"69"	"18"	"22"	"253"	"1"	"107"	"3"	"4"	"4"	"7"	"1"	"3"	"423"	""
"127"	"70"	"223"	"61"	"235"	"8"	"17"	"4"	"5"	"5"	"17"	"20"	"16"	"611"	""
"128"	";ksx"	"2415"	"443"	"2741"	"91"	"404"	"50"	"69"	"77"	"193"	"588"	"167"	"7238"	""
"129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"133"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"134"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"140"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"141"	"71"	"207"	"33"	"290"	"9"	"14"	"5"	"7"	"4"	"10"	"6"	"7"	"592"	""
"142"	"72"	"214"	"62"	"241"	"8"	"72"	"6"	"10"	"23"	"18"	"10"	"27"	"691"	""
"143"	"73"	"236"	"29"	"281"	"7"	"5"	"6"	"2"	"6"	"9"	"6"	"9"	"596"	""
"144"	"74"	"70"	"20"	"176"	"9"	"46"	"5"	"11"	"3"	"3"	"3"	"10"	"356"	""
"145"	"75"	"80"	"16"	"374"	"6"	"53"	"2"	"4"	"3"	"3"	"3"	"2"	"546"	""
"146"	"76"	"9"	"24"	"386"	"10"	"3"	"7"	"3"	"4"	"19"	"9"	"17"	"491"	""
"147"	"77"	"192"	"47"	"139"	"9"	"38"	"6"	"7"	"17"	"18"	"10"	"32"	"515"	""
"148"	"78"	"168"	"50"	"313"	"41"	"130"	"12"	"7"	"26"	"20"	"18"	"35"	"820"	""
"149"	"79"	"67"	"13"	"178"	"5"	"28"	"1"	"4"	"2"	"3"	"5"	"1"	"307"	""
"150"	"80"	"60"	"33"	"481"	"14"	"4"	"5"	"10"	"2"	"67"	"5"	"12"	"693"	""
"151"	"81"	"422"	"31"	"171"	"9"	"18"	"1"	"7"	"4"	"15"	"26"	"12"	"716"	""
"152"	"82"	"347"	"27"	"333"	"5"	"36"	"6"	"6"	"9"	"28"	"5"	"18"	"820"	""
"153"	"83"	"352"	"24"	"445"	"8"	"12"	"6"	"3"	"3"	"12"	"11"	"8"	"884"	""
"154"	"84"	"263"	"26"	"534"	"12"	"4"	"6"	"13"	"4"	"15"	"4"	"14"	"895"	""
"155"	";ksx"	"2687"	"435"	"4342"	"152"	"463"	"74"	"94"	"110"	"240"	"121"	"204"	"8922"	""
"156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"160"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"161"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"167"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"168"	"85"	"131"	"19"	"307"	"5"	"28"	"0"	"6"	"1"	"4"	"2"	"0"	"503"	""
"169"	"86"	"119"	"12"	"655"	"3"	"2"	"0"	"7"	"2"	"4"	"1"	"2"	"807"	""
"170"	"87"	"228"	"38"	"315"	"11"	"5"	"1"	"15"	"4"	"14"	"2"	"12"	"645"	""
"171"	"88"	"77"	"11"	"231"	"4"	"22"	"1"	"5"	"0"	"1"	"0"	"1"	"353"	""
"172"	"89"	"271"	"6"	"138"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"3"	"422"	""
"173"	"90"	"78"	"22"	"354"	"8"	"5"	"0"	"6"	"3"	"8"	"7"	"6"	"497"	""
"174"	"91"	"124"	"14"	"249"	"6"	"9"	"4"	"2"	"6"	"3"	"2"	"5"	"424"	""
"175"	"92"	"172"	"18"	"216"	"13"	"55"	"5"	"9"	"12"	"23"	"9"	"27"	"559"	""
"176"	"93"	"312"	"51"	"198"	"5"	"16"	"7"	"7"	"11"	"11"	"6"	"9"	"633"	""
"177"	"94"	"191"	"25"	"265"	"7"	"10"	"7"	"8"	"8"	"12"	"5"	"9"	"547"	""
"178"	"95"	"307"	"12"	"82"	"1"	"2"	"1"	"6"	"0"	"8"	"3"	"4"	"426"	""
"179"	"96"	"84"	"20"	"185"	"5"	"83"	"1"	"1"	"6"	"6"	"3"	"4"	"398"	""
"180"	"97"	"190"	"14"	"161"	"5"	"43"	"4"	"3"	"4"	"6"	"1"	"8"	"439"	""
"181"	"98"	"246"	"14"	"56"	"0"	"8"	"1"	"3"	"1"	"5"	"3"	"11"	"348"	""
"182"	";ksx"	"2530"	"276"	"3412"	"73"	"288"	"32"	"78"	"58"	"108"	"45"	"101"	"7001"	""
"183"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"187"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"194"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"195"	"99"	"224"	"17"	"174"	"10"	"6"	"7"	"12"	"7"	"12"	"37"	"15"	"521"	""
"196"	"100"	"68"	"42"	"502"	"14"	"11"	"2"	"3"	"2"	"5"	"9"	"4"	"662"	""
"197"	"101"	"266"	"23"	"324"	"6"	"6"	"3"	"2"	"1"	"7"	"10"	"14"	"662"	""
"198"	"102"	"234"	"35"	"295"	"9"	"7"	"6"	"6"	"5"	"10"	"11"	"11"	"629"	""
"199"	"103"	"102"	"9"	"166"	"4"	"0"	"2"	"1"	"5"	"4"	"2"	"2"	"297"	""
"200"	"104"	"288"	"15"	"345"	"5"	"3"	"4"	"2"	"3"	"14"	"5"	"11"	"695"	""
"201"	"105"	"129"	"26"	"295"	"4"	"15"	"1"	"7"	"10"	"29"	"10"	"34"	"560"	""
"202"	"106"	"256"	"23"	"183"	"5"	"18"	"7"	"2"	"9"	"9"	"9"	"19"	"540"	""
"203"	"107"	"370"	"11"	"62"	"10"	"30"	"5"	"3"	"8"	"13"	"11"	"23"	"546"	""
"204"	"108"	"318"	"13"	"198"	"9"	"48"	"5"	"7"	"11"	"27"	"17"	"28"	"681"	""
"205"	"109"	"230"	"27"	"112"	"6"	"45"	"1"	"7"	"4"	"7"	"134"	"10"	"583"	""
"206"	"110"	"166"	"18"	"413"	"8"	"3"	"3"	"4"	"6"	"4"	"1"	"3"	"629"	""
"207"	"111"	"93"	"29"	"283"	"11"	"12"	"1"	"5"	"6"	"17"	"10"	"18"	"485"	""
"208"	"112"	"83"	"34"	"215"	"6"	"12"	"0"	"8"	"6"	"19"	"78"	"31"	"492"	""
"209"	";ksx"	"2827"	"322"	"3567"	"107"	"216"	"47"	"69"	"83"	"177"	"344"	"223"	"7982"	""
"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"214"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"223"	"113"	"46"	"20"	"141"	"1"	"14"	"4"	"6"	"7"	"11"	"131"	"26"	"407"	""
