"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Rejecte.d.Votes"	"Total"	"No..Tender.Votes"
"54"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"55"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"56"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"57"	"43"	4	29	401	51	117	4	1	9	4	7	0	7	"634"	"0"	"634"	"0"
"58"	"44"	4	9	411	4	43	1	0	0	0	1	1	1	"475"	"0"	"475"	"0"
"59"	"45"	18	156	235	79	17	3	7	11	14	14	17	24	"595"	"0"	"595"	"0"
"60"	"46"	23	211	39	206	14	5	10	38	20	10	15	38	"629"	"0"	"629"	"0"
"61"	"47"	11	11	74	258	18	2	7	3	9	4	4	14	"415"	"0"	"415"	"0"
"62"	"48"	11	57	40	55	30	2	3	2	3	0	2	13	"218"	"0"	"218"	"0"
"63"	"49"	34	48	346	65	156	9	7	27	5	6	1	12	"716"	"0"	"716"	"0"
"64"	"50"	16	125	99	250	11	4	8	11	22	13	7	51	"617"	"0"	"617"	"0"
"65"	"51"	7	128	87	171	34	3	5	48	7	9	5	20	"524"	"0"	"524"	"0"
"66"	"52"	8	74	24	190	36	2	5	3	10	3	2	17	"374"	"0"	"374"	"0"
"67"	"53"	4	37	189	59	154	3	0	5	5	1	0	4	"461"	"0"	"461"	"0"
"68"	"54"	7	84	103	57	36	2	4	3	17	15	6	16	"350"	"0"	"350"	"0"
"69"	"55"	1	27	159	35	152	2	1	0	3	1	0	14	"395"	"0"	"395"	"0"
"70"	"56"	11	103	212	122	231	5	8	35	5	7	10	9	"758"	"0"	"758"	"0"
"71"	"57"	1	14	374	96	9	0	1	0	3	4	3	2	"507"	"0"	"507"	"0"
"72"	"58"	44	22	154	129	4	2	3	10	0	1	1	8	"378"	"0"	"378"	"0"
"73"	"59"	6	58	66	125	12	1	9	5	12	3	3	22	"322"	"0"	"322"	"0"
"74"	"60"	4	13	12	417	5	1	5	13	9	4	2	25	"510"	"0"	"510"	"0"
"75"	"61"	9	57	74	446	12	3	6	4	4	5	1	23	"644"	"0"	"644"	"0"
"76"	"62"	27	128	96	227	6	1	6	3	2	0	1	9	"506"	"0"	"506"	"0"
"77"	"63"	7	72	175	100	8	13	NA	NA	8	1	1	6	"397"	"0"	"397"	"0"
"78"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"79"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"80"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"81"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"82"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"83"	"64"	15	112	19	206	2	3	5	9	14	5	6	26	"422"	"0"	"422"	"0"
"84"	"65"	17	143	203	164	15	7	14	26	25	15	13	51	"693"	"0"	"693"	"0"
"85"	"66"	20	134	21	239	9	3	15	8	25	15	4	26	"519"	"0"	"519"	"0"
"86"	"67"	20	81	165	256	54	7	13	9	18	9	12	17	"661"	"0"	"661"	"0"
"87"	"68"	6	125	46	213	9	6	7	3	17	8	3	22	"465"	"0"	"465"	"0"
"88"	"69"	15	120	147	270	11	10	8	8	15	10	4	17	"635"	"0"	"635"	"0"
"89"	"70"	10	39	304	117	15	14	7	18	14	29	16	40	"623"	"0"	"623"	"0"
"90"	"71"	11	170	140	160	11	2	4	3	6	3	1	10	"521"	"0"	"521"	"0"
"91"	"72"	16	216	40	177	7	2	5	7	13	7	4	46	"540"	"0"	"540"	"0"
"92"	"73"	18	78	118	106	17	7	7	9	12	11	5	31	"419"	"0"	"419"	"0"
"93"	"74"	7	64	243	47	19	3	3	9	6	7	2	14	"424"	"0"	"424"	"0"
"94"	"75"	3	4	651	22	1	1	2	0	0	0	0	0	"684"	"0"	"684"	"0"
"95"	"76"	18	91	22	263	12	2	11	12	14	7	8	80	"540"	"0"	"540"	"0"
"96"	"77"	12	162	20	163	3	4	1	3	15	7	8	14	"412"	"0"	"412"	"0"
"97"	"78"	7	58	59	240	1	1	2	21	6	1	5	9	"410"	"0"	"410"	"0"
"98"	"79"	0	9	1	662	1	0	1	2	0	0	0	0	"676"	"0"	"676"	"0"
"99"	"80"	0	3	2	395	1	0	0	1	1	1	0	1	"405"	"0"	"405"	"0"
"100"	"81"	3	73	19	142	5	1	2	7	4	2	0	15	"273"	"0"	"273"	"0"
"101"	"82"	9	209	22	135	5	6	2	4	13	5	12	40	"462"	"0"	"462"	"0"
"102"	"83"	9	4	422	38	14	1	0	2	3	1	1	8	"503"	"0"	"503"	"0"
"103"	"84"	16	104	34	65	8	6	NA	NA	15	7	4	7	"280"	"0"	"280"	"0"
"104"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"105"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"106"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"107"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"108"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"109"	"85"	0	17	12	765	2	1	25	2	0	0	0	1	"825"	"0"	"825"	"0"
"110"	"86"	18	44	267	105	11	1	3	7	16	9	7	22	"510"	"0"	"510"	"0"
"111"	"87"	19	71	179	267	12	7	18	8	7	6	7	19	"620"	"0"	"620"	"0"
"112"	"88"	3	2	351	16	0	0	1	1	1	1	0	1	"377"	"0"	"377"	"0"
"113"	"89"	0	0	334	23	3	0	0	0	0	0	1	0	"361"	"0"	"361"	"0"
"114"	"90"	2	106	88	193	8	2	13	8	51	16	14	20	"521"	"0"	"521"	"0"
"115"	"91"	5	25	105	45	7	2	4	2	5	1	4	24	"229"	"0"	"229"	"0"
"116"	"92"	6	96	102	155	15	4	6	6	29	15	8	39	"481"	"0"	"481"	"0"
"117"	"93"	7	102	74	210	7	4	15	5	17	6	3	31	"481"	"0"	"481"	"0"
"118"	"94"	4	131	195	18	1	1	0	2	2	1	1	5	"361"	"0"	"361"	"0"
"119"	"95"	2	44	557	72	2	1	5	0	3	6	3	10	"705"	"0"	"705"	"0"
"120"	"96"	12	14	20	200	7	3	178	3	4	1	2	15	"459"	"0"	"459"	"0"
"121"	"97"	13	47	25	312	9	4	84	5	17	3	5	19	"543"	"0"	"543"	"0"
"122"	"98"	2	4	361	19	1	0	7	0	2	3	1	23	"423"	"0"	"423"	"0"
"123"	"99"	9	44	12	167	4	1	67	5	11	3	7	44	"374"	"0"	"374"	"0"
"124"	"100"	1	15	31	106	2	3	53	2	8	2	6	15	"244"	"0"	"244"	"0"
"125"	"101"	7	603	35	75	1	0	0	2	6	1	0	1	"731"	"0"	"731"	"0"
"126"	"102"	17	14	117	149	8	4	5	13	11	6	6	24	"374"	"0"	"374"	"0"
"127"	"103"	3	84	227	69	3	0	2	3	5	1	1	6	"404"	"0"	"404"	"0"
"128"	"104"	8	306	13	122	3	5	5	10	7	3	4	10	"496"	"0"	"496"	"0"
"129"	"105"	5	203	29	88	3	3	NA	NA	12	5	4	34	"459"	"0"	"459"	"0"
"130"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"131"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"132"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"133"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"134"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"135"	"106"	3	450	3	15	0	2	4	11	0	0	1	3	"492"	"0"	"492"	"0"
"136"	"107"	12	47	128	147	5	6	2	2	9	3	4	7	"372"	"0"	"372"	"0"
"137"	"108"	0	8	20	414	5	0	1	0	0	0	0	1	"449"	"0"	"449"	"0"
"138"	"109"	7	10	145	317	5	0	1	0	5	3	2	6	"501"	"0"	"501"	"0"
"139"	"110"	0	43	2	340	0	0	3	3	0	0	0	0	"391"	"0"	"391"	"0"
"140"	"111"	1	27	18	825	5	0	14	0	0	0	0	1	"891"	"0"	"891"	"0"
"141"	"112"	7	9	14	323	4	0	7	4	7	2	1	17	"395"	"0"	"395"	"0"
"142"	"113"	5	38	6	265	4	2	7	5	8	1	2	11	"354"	"0"	"354"	"0"
"143"	"114"	12	152	15	255	14	3	2	7	24	6	14	33	"537"	"0"	"537"	"0"
"144"	"115"	12	21	217	152	8	3	6	4	13	4	2	16	"458"	"0"	"458"	"0"
"145"	"116"	28	204	266	83	8	3	7	1	4	1	2	18	"625"	"0"	"625"	"0"
"146"	"117"	16	93	147	86	13	9	8	19	22	9	11	31	"464"	"0"	"464"	"0"
"147"	"118"	6	223	111	93	4	3	3	11	7	1	4	3	"469"	"0"	"469"	"0"
"148"	"119"	0	10	655	19	28	0	0	10	1	2	0	0	"725"	"0"	"725"	"0"
"149"	"120"	24	63	135	159	17	1	5	7	6	1	4	13	"435"	"0"	"435"	"0"
"150"	"121"	8	40	227	78	7	3	4	7	4	0	1	9	"388"	"0"	"388"	"0"
"151"	"122"	8	56	22	151	8	5	10	7	20	6	7	17	"317"	"0"	"317"	"0"
"152"	"123"	2	9	826	88	5	0	2	8	3	2	3	2	"950"	"0"	"950"	"0"
"153"	"124"	17	29	555	58	24	6	6	4	4	9	6	23	"741"	"0"	"741"	"0"
"154"	"125"	11	102	61	186	22	4	4	7	8	2	4	28	"439"	"0"	"439"	"0"
"155"	"126"	1	64	56	217	5	2	NA	NA	10	1	2	11	"385"	"0"	"385"	"0"
"156"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"157"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"158"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"159"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"160"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"161"	"127"	9	127	168	93	11	5	4	15	7	1	7	28	"475"	"0"	"475"	"0"
"162"	"128"	6	27	93	103	37	1	4	12	10	8	6	16	"323"	"0"	"323"	"0"
"163"	"129"	23	139	49	351	14	7	4	5	21	4	6	35	"658"	"0"	"658"	"0"
"164"	"130"	10	195	71	125	21	2	13	10	21	12	9	42	"531"	"0"	"531"	"0"
"165"	"131"	13	155	8	182	13	2	10	8	15	4	10	56	"476"	"0"	"476"	"0"
"166"	"132"	2	15	40	197	10	1	2	0	2	2	1	3	"275"	"0"	"275"	"0"
"167"	"133"	0	20	21	569	2	0	2	0	1	0	0	2	"617"	"0"	"617"	"0"
"168"	"134"	11	171	19	152	27	3	12	9	18	11	8	21	"462"	"0"	"462"	"0"
"169"	"135"	25	102	54	173	14	4	7	5	14	8	4	57	"467"	"0"	"467"	"0"
"170"	"136"	9	43	95	172	13	2	3	0	7	1	2	6	"353"	"0"	"353"	"0"
"171"	"137"	0	35	20	741	3	0	9	0	2	0	0	3	"813"	"0"	"813"	"0"
"172"	"138"	23	227	36	87	9	3	3	2	17	8	16	39	"470"	"0"	"470"	"0"
"173"	"139"	16	162	77	194	12	3	13	6	5	5	3	26	"522"	"0"	"522"	"0"
"174"	"140"	14	171	9	119	2	1	4	4	16	6	8	18	"372"	"0"	"372"	"0"
"175"	"141"	1	374	1	24	1	0	1	2	1	0	1	0	"406"	"0"	"406"	"0"
"176"	"142"	0	4	3	627	0	0	3	0	1	0	0	1	"639"	"0"	"639"	"0"
"177"	"143"	9	130	9	116	3	0	1	5	10	1	5	23	"312"	"0"	"312"	"0"
"178"	"144"	3	443	2	7	0	2	0	1	1	0	0	0	"459"	"0"	"459"	"0"
"179"	"145"	1	19	5	740	5	1	2	0	1	1	1	6	"782"	"0"	"782"	"0"
"180"	"146"	24	71	4	284	10	3	5	2	3	0	2	9	"417"	"0"	"417"	"0"
"181"	"147"	15	75	138	211	8	0	NA	NA	21	9	7	37	"538"	"0"	"538"	"0"
"182"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"183"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"184"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"185"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"186"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"187"	"148"	2	51	193	49	3	0	3	0	1	1	0	0	"303"	"0"	"303"	"0"
"188"	"149"	13	189	231	74	2	4	1	0	2	0	1	6	"523"	"0"	"523"	"0"
"189"	"150"	7	9	210	240	2	4	0	2	7	2	2	18	"503"	"0"	"503"	"0"
"190"	"151"	14	76	156	484	7	3	10	4	4	3	2	8	"771"	"0"	"771"	"0"
"191"	"152"	9	556	11	130	6	2	12	1	7	3	1	13	"751"	"0"	"751"	"0"
"192"	"153"	8	11	7	604	7	2	8	5	22	4	2	21	"701"	"0"	"701"	"0"
"193"	"154"	10	5	22	265	6	2	4	3	9	1	1	8	"336"	"0"	"336"	"0"
"194"	"155"	14	99	273	159	6	1	6	4	10	5	4	10	"591"	"0"	"591"	"0"
"195"	"156"	4	53	13	149	3	2	5	2	9	2	4	33	"279"	"0"	"279"	"0"
"196"	"157"	6	41	84	122	8	1	5	5	8	4	5	12	"301"	"0"	"301"	"0"
"197"	"158"	10	183	35	98	8	4	2	0	5	4	1	7	"357"	"0"	"357"	"0"
"198"	"159"	27	31	188	219	6	3	7	11	17	15	7	40	"571"	"0"	"571"	"0"
"199"	"160"	25	29	14	292	16	5	13	5	31	5	3	45	"483"	"0"	"483"	"0"
"200"	"161"	5	121	4	318	11	3	5	5	17	4	0	24	"517"	"0"	"517"	"0"
"201"	"162"	3	138	128	97	3	1	1	1	8	3	3	5	"391"	"0"	"391"	"0"
"202"	"163"	5	121	138	215	13	3	6	10	11	4	2	30	"558"	"0"	"558"	"0"
"203"	"164"	17	230	202	196	2	2	3	4	12	5	3	13	"689"	"0"	"689"	"0"
"204"	"165"	6	177	138	180	3	3	7	3	7	5	4	10	"543"	"0"	"543"	"0"
"205"	"166"	6	329	58	129	4	3	3	6	16	6	1	11	"572"	"0"	"572"	"0"
"206"	"167"	7	110	53	232	6	7	12	8	35	9	6	21	"506"	"0"	"506"	"0"
"207"	"168"	10	180	27	65	2	1	NA	NA	3	2	1	12	"307"	"0"	"307"	"0"
"208"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"210"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"211"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"212"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"213"	"169"	16	107	250	203	14	4	7	8	17	7	7	42	"682"	"0"	"682"	"0"
"214"	"170"	108	21	402	126	39	3	2	1	5	10	4	21	"742"	"0"	"742"	"0"
"215"	"171"	8	144	44	222	8	1	9	3	13	8	10	15	"485"	"0"	"485"	"0"
"216"	"172"	18	193	198	171	14	8	10	6	8	11	7	23	"667"	"0"	"667"	"0"
"217"	"173"	19	106	118	304	8	4	7	7	11	11	1	43	"639"	"0"	"639"	"0"
"218"	"174"	4	229	7	134	2	1	2	0	2	1	2	8	"392"	"0"	"392"	"0"
"219"	"175"	1	39	25	448	4	0	2	0	3	1	1	1	"525"	"0"	"525"	"0"
"220"	"176"	14	254	66	306	6	4	5	5	12	5	5	20	"702"	"0"	"702"	"0"
"221"	"177"	15	25	191	116	8	2	2	3	5	9	2	12	"390"	"0"	"390"	"0"
"222"	"178"	10	63	34	386	5	4	5	6	15	6	6	70	"610"	"0"	"610"	"0"
"223"	"179"	29	171	81	327	24	8	15	7	12	13	11	60	"758"	"0"	"758"	"0"
"224"	"180"	9	94	180	256	5	5	3	2	9	9	4	26	"602"	"0"	"602"	"0"
"225"	"181"	5	78	54	87	1	0	1	1	0	1	0	1	"229"	"0"	"229"	"0"
"226"	"182"	35	70	173	354	18	5	18	5	21	9	10	45	"763"	"0"	"763"	"0"
"227"	"183"	137	92	136	316	21	6	15	3	26	12	6	43	"813"	"0"	"813"	"0"
"228"	"184"	7	76	46	149	5	2	3	7	15	5	2	18	"335"	"0"	"335"	"0"
"229"	"185"	6	131	6	143	3	0	0	0	2	1	0	1	"293"	"0"	"293"	"0"
"230"	"186"	3	11	24	472	3	1	3	16	0	1	0	1	"535"	"0"	"535"	"0"
"231"	"187"	6	76	73	152	6	1	5	3	5	1	0	7	"335"	"0"	"335"	"0"
"232"	"188"	6	299	101	129	4	1	3	1	21	10	7	19	"601"	"0"	"601"	"0"
"233"	"189"	3	49	35	340	5	1	NA	NA	6	3	2	13	"467"	"0"	"467"	"0"
"234"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"235"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"236"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"237"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"238"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"239"	"190"	5	3	54	206	6	2	7	18	34	16	2	35	"388"	"0"	"388"	"0"
"240"	"191"	32	79	114	222	11	3	12	29	10	5	5	18	"540"	"0"	"540"	"0"
"241"	"192"	10	96	318	158	7	4	5	3	8	10	8	23	"650"	"0"	"650"	"0"
"242"	"193"	8	143	107	213	4	2	9	10	8	5	2	16	"527"	"0"	"527"	"0"
"243"	"194"	3	38	20	716	5	1	2	10	6	1	0	3	"805"	"0"	"805"	"0"
"244"	"195"	13	29	368	71	6	4	0	1	2	7	2	9	"512"	"0"	"512"	"0"
"245"	"196"	6	29	111	247	1	0	3	2	1	1	1	6	"408"	"0"	"408"	"0"
"246"	"197"	13	178	101	176	4	7	7	3	21	5	6	19	"540"	"0"	"540"	"0"
"247"	"198"	0	18	5	687	1	0	2	1	1	1	0	0	"716"	"0"	"716"	"0"
"248"	"199"	29	290	118	262	11	11	11	5	17	8	15	63	"840"	"0"	"840"	"0"
"249"	"200"	15	100	82	371	3	2	7	4	4	2	8	22	"620"	"0"	"620"	"0"
"250"	"201"	13	159	85	181	3	2	5	7	9	4	5	21	"494"	"0"	"494"	"0"
"251"	"202"	5	303	65	277	4	4	7	8	8	10	8	11	"710"	"0"	"710"	"0"
"252"	"203"	6	90	96	53	2	2	1	1	4	6	2	11	"274"	"0"	"274"	"0"
"253"	"204"	10	43	211	31	39	3	6	10	2	10	2	15	"382"	"0"	"382"	"0"
"254"	"205"	10	218	223	197	12	6	7	3	6	4	4	7	"697"	"0"	"697"	"0"
"255"	"206"	4	367	43	199	6	4	1	3	15	6	11	19	"678"	"0"	"678"	"0"
"256"	"207"	14	371	64	99	5	7	4	8	21	8	10	19	"630"	"0"	"630"	"0"
"257"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"258"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"259"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"260"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"261"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"262"	"Total No. of Votes recorded of polling
stations"	2390	22509	24644	39993	3000	634	1526	1191	1927	1003	831	3831	"103479"	"0"	"103479"	"0"
"263"	"No. of Votes Recorded on Postal Ballot Papers"	0	0	0	0	0	0	0	0	0	0	0	0	"0"	"0"	"0"	""
"264"	"Total Votes Polled"	2390	22509	24644	39993	3000	634	1526	1191	1927	1003	831	3831	"103479"	"0"	"103479"	"0"
"265"	"Place :- Hajipur"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"266"	"Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"267"	"48- Jandaha Assembly"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"268"	"Date :- 27-02-2005                                                                                                                                                                                                                                                                              Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
