"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"48"	"29"	"110"	"10"	"258"	"10"	"9"	"11"	"6"	"8"	"422"	"0"	"422"	"0"
"49"	"30"	"122"	"20"	"269"	"11"	"15"	"15"	"6"	"14"	"472"	"0"	"472"	"0"
"50"	"31"	"122"	"16"	"250"	"3"	"8"	"29"	"2"	"7"	"437"	"0"	"437"	"0"
"51"	"32"	"198"	"10"	"258"	"7"	"21"	"17"	"5"	"12"	"528"	"0"	"528"	"0"
"52"	"33"	"79"	"8"	"169"	"8"	"4"	"9"	"7"	"5"	"289"	"0"	"289"	"0"
"53"	"34"	"153"	"4"	"226"	"2"	"16"	"1"	"1"	"2"	"405"	"0"	"405"	"0"
"54"	"35"	"217"	"26"	"184"	"10"	"32"	"9"	"2"	"10"	"490"	"0"	"490"	"0"
"55"	"36"	"185"	"20"	"136"	"2"	"27"	"8"	"3"	"5"	"386"	"0"	"386"	"0"
"56"	"37"	"216"	"23"	"128"	"10"	"51"	"16"	"7"	"25"	"476"	"0"	"476"	"0"
"57"	"38"	"228"	"8"	"42"	"5"	"67"	"4"	"1"	"12"	"367"	"0"	"367"	"0"
"58"	"39"	"121"	"24"	"371"	"8"	"15"	"22"	"3"	"8"	"572"	"0"	"572"	"0"
"59"	"40"	"21"	"2"	"408"	"5"	"4"	"6"	"1"	"2"	"449"	"0"	"449"	"0"
"60"	"41"	"396"	"5"	"90"	"2"	"4"	"4"	"2"	"6"	"509"	"0"	"509"	"0"
"61"	"42"	"59"	"7"	"134"	"9"	"17"	"6"	"7"	"19"	"258"	"0"	"258"	"0"
"62"	"Round
Total"	"2227"	"183"	"2923"	"92"	"290"	"157"	"53"	"135"	"6060"	"0"	"6060"	"0"
"63"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.4"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"68"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"69"	"43"	"107"	"8"	"276"	"14"	"25"	"7"	"4"	"5"	"446"	"0"	"446"	"0"
"70"	"44"	"116"	"15"	"249"	"11"	"11"	"7"	"7"	"12"	"428"	"0"	"428"	"0"
"71"	"45"	"55"	"5"	"355"	"7"	"1"	"6"	"5"	"5"	"439"	"0"	"439"	"0"
"72"	"46"	"83"	"12"	"223"	"5"	"4"	"7"	"3"	"9"	"346"	"0"	"346"	"0"
"73"	"47"	"77"	"6"	"286"	"6"	"5"	"15"	"1"	"25"	"421"	"0"	"421"	"0"
"74"	"48"	"176"	"8"	"71"	"12"	"39"	"11"	"13"	"23"	"353"	"0"	"353"	"0"
"75"	"49"	"141"	"9"	"223"	"5"	"27"	"3"	"3"	"8"	"419"	"0"	"419"	"0"
"76"	"50"	"203"	"8"	"86"	"4"	"31"	"14"	"8"	"15"	"369"	"0"	"369"	"0"
"77"	"51"	"104"	"9"	"262"	"7"	"19"	"12"	"7"	"10"	"430"	"0"	"430"	"0"
"78"	"52"	"65"	"12"	"233"	"9"	"23"	"13"	"7"	"8"	"370"	"0"	"370"	"0"
"79"	"53"	"141"	"12"	"230"	"19"	"11"	"20"	"8"	"20"	"461"	"0"	"461"	"0"
"80"	"54"	"180"	"15"	"195"	"13"	"14"	"20"	"6"	"16"	"459"	"0"	"459"	"0"
"81"	"55"	"279"	"76"	"133"	"8"	"23"	"6"	"4"	"16"	"545"	"0"	"545"	"0"
"82"	"56"	"202"	"9"	"196"	"8"	"35"	"9"	"6"	"15"	"480"	"0"	"480"	"0"
"83"	"Round
Total"	"1929"	"204"	"3018"	"128"	"268"	"150"	"82"	"187"	"5966"	"0"	"5966"	"0"
"84"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-5"	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"89"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"90"	"57"	"197"	"55"	"269"	"11"	"17"	"19"	"4"	"30"	"602"	"0"	"602"	"0"
"91"	"58"	"82"	"8"	"411"	"12"	"37"	"28"	"5"	"13"	"596"	"0"	"596"	"0"
"92"	"59"	"43"	"2"	"571"	"10"	"10"	"5"	"2"	"9"	"652"	"0"	"652"	"0"
"93"	"60"	"200"	"4"	"391"	"9"	"13"	"31"	"15"	"27"	"690"	"0"	"690"	"0"
"94"	"61"	"102"	"16"	"374"	"14"	"4"	"19"	"2"	"5"	"536"	"0"	"536"	"0"
"95"	"62"	"247"	"5"	"111"	"2"	"6"	"4"	"0"	"3"	"378"	"0"	"378"	"0"
"96"	"63"	"151"	"21"	"329"	"6"	"7"	"18"	"7"	"16"	"555"	"0"	"555"	"0"
"97"	"64"	"203"	"14"	"255"	"7"	"7"	"3"	"4"	"15"	"508"	"0"	"508"	"0"
"98"	"65"	"165"	"10"	"203"	"13"	"9"	"6"	"5"	"7"	"418"	"0"	"418"	"0"
"99"	"66"	"68"	"7"	"289"	"15"	"4"	"12"	"3"	"2"	"400"	"0"	"400"	"0"
"100"	"67"	"88"	"8"	"382"	"15"	"16"	"12"	"1"	"4"	"526"	"0"	"526"	"0"
"101"	"68"	"97"	"5"	"282"	"10"	"10"	"4"	"4"	"6"	"418"	"0"	"418"	"0"
"102"	"69"	"131"	"20"	"197"	"7"	"29"	"8"	"5"	"21"	"418"	"0"	"418"	"0"
"103"	"70"	"89"	"8"	"198"	"10"	"22"	"13"	"4"	"22"	"366"	"0"	"366"	"0"
"104"	"Round
Total"	"1863"	"183"	"4262"	"141"	"191"	"182"	"61"	"180"	"7063"	"0"	"7063"	"0"
"105"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-6"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"110"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"111"	"71"	"172"	"14"	"373"	"15"	"29"	"19"	"9"	"24"	"655"	"0"	"655"	"0"
"112"	"72"	"103"	"10"	"236"	"4"	"9"	"15"	"12"	"16"	"405"	"0"	"405"	"0"
"113"	"73"	"125"	"21"	"282"	"13"	"12"	"34"	"14"	"42"	"543"	"0"	"543"	"0"
"114"	"74"	"86"	"3"	"387"	"3"	"22"	"2"	"2"	"5"	"510"	"0"	"510"	"0"
"115"	"75"	"861"	"2"	"1"	"0"	"5"	"1"	"0"	"0"	"870"	"0"	"870"	"0"
"116"	"76"	"486"	"31"	"33"	"3"	"7"	"1"	"1"	"5"	"567"	"0"	"567"	"0"
"117"	"77"	"135"	"8"	"188"	"8"	"2"	"5"	"1"	"3"	"350"	"0"	"350"	"0"
"118"	"78"	"200"	"36"	"170"	"18"	"55"	"22"	"14"	"24"	"539"	"0"	"539"	"0"
"119"	"79"	"120"	"11"	"491"	"12"	"5"	"22"	"9"	"20"	"690"	"0"	"690"	"0"
"120"	"80"	"241"	"10"	"173"	"11"	"5"	"6"	"2"	"9"	"457"	"0"	"457"	"0"
"121"	"81"	"54"	"13"	"363"	"12"	"49"	"8"	"0"	"9"	"508"	"0"	"508"	"0"
"122"	"82"	"86"	"11"	"217"	"7"	"6"	"15"	"6"	"15"	"363"	"0"	"363"	"0"
"123"	"83"	"126"	"24"	"268"	"15"	"19"	"6"	"3"	"11"	"472"	"0"	"472"	"0"
"124"	"84"	"392"	"17"	"188"	"11"	"18"	"6"	"2"	"6"	"640"	"0"	"640"	"0"
"125"	"Round
Total"	"3187"	"211"	"3370"	"132"	"243"	"162"	"75"	"189"	"7569"	"0"	"7569"	"0"
"126"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-7"	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"131"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"132"	"85"	"98"	"12"	"365"	"15"	"20"	"25"	"12"	"26"	"573"	"0"	"573"	"0"
"133"	"86"	"195"	"19"	"312"	"10"	"9"	"9"	"2"	"10"	"566"	"0"	"566"	"0"
"134"	"87"	"150"	"7"	"168"	"11"	"27"	"16"	"3"	"30"	"412"	"0"	"412"	"0"
"135"	"88"	"177"	"20"	"347"	"12"	"0"	"17"	"2"	"8"	"583"	"0"	"583"	"0"
"136"	"89"	"306"	"10"	"80"	"3"	"6"	"7"	"2"	"4"	"418"	"0"	"418"	"0"
"137"	"90"	"714"	"1"	"3"	"2"	"8"	"1"	"1"	"1"	"731"	"0"	"731"	"0"
"138"	"91"	"167"	"10"	"58"	"58"	"52"	"16"	"7"	"19"	"387"	"0"	"387"	"0"
"139"	"92"	"103"	"10"	"166"	"4"	"25"	"9"	"7"	"8"	"332"	"0"	"332"	"0"
"140"	"93"	"136"	"18"	"184"	"6"	"10"	"6"	"12"	"13"	"385"	"0"	"385"	"0"
"141"	"94"	"256"	"15"	"267"	"11"	"25"	"13"	"5"	"13"	"605"	"0"	"605"	"0"
"142"	"95"	"69"	"8"	"63"	"1"	"1"	"1"	"0"	"5"	"148"	"0"	"148"	"0"
"143"	"96"	"97"	"5"	"83"	"5"	"9"	"5"	"1"	"2"	"207"	"0"	"207"	"0"
"144"	"97"	"230"	"18"	"305"	"12"	"7"	"13"	"6"	"4"	"595"	"0"	"595"	"0"
"145"	"98"	"255"	"11"	"173"	"4"	"17"	"7"	"2"	"3"	"472"	"0"	"472"	"0"
"146"	"Round
Total"	"2953"	"164"	"2574"	"154"	"216"	"145"	"62"	"146"	"6414"	"0"	"6414"	"0"
"147"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-8"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"152"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"153"	"99"	"37"	"2"	"117"	"5"	"2"	"2"	"2"	"2"	"169"	"0"	"169"	"0"
"154"	"100"	"78"	"19"	"242"	"17"	"62"	"25"	"15"	"17"	"475"	"0"	"475"	"0"
"155"	"101"	"139"	"21"	"212"	"21"	"51"	"14"	"9"	"14"	"481"	"0"	"481"	"0"
"156"	"102"	"92"	"19"	"202"	"10"	"21"	"36"	"19"	"33"	"432"	"0"	"432"	"0"
"157"	"103"	"83"	"22"	"437"	"16"	"31"	"25"	"13"	"9"	"636"	"0"	"636"	"0"
"158"	"104"	"112"	"14"	"83"	"4"	"8"	"8"	"5"	"4"	"238"	"0"	"238"	"0"
"159"	"105"	"354"	"13"	"36"	"1"	"36"	"3"	"2"	"5"	"450"	"0"	"450"	"0"
"160"	"106"	"92"	"9"	"178"	"13"	"120"	"9"	"2"	"21"	"444"	"0"	"444"	"0"
"161"	"107"	"306"	"17"	"166"	"8"	"44"	"11"	"4"	"14"	"570"	"0"	"570"	"0"
"162"	"108"	"96"	"4"	"91"	"15"	"319"	"15"	"11"	"31"	"582"	"0"	"582"	"0"
"163"	"109"	"237"	"10"	"209"	"16"	"17"	"12"	"3"	"12"	"516"	"0"	"516"	"0"
"164"	"110"	"103"	"13"	"256"	"14"	"42"	"21"	"10"	"15"	"474"	"0"	"474"	"0"
"165"	"111"	"203"	"24"	"129"	"5"	"14"	"8"	"9"	"4"	"396"	"0"	"396"	"0"
"166"	"112"	"197"	"23"	"107"	"10"	"24"	"13"	"20"	"57"	"451"	"0"	"451"	"0"
"167"	"Round
Total"	"2129"	"210"	"2465"	"155"	"791"	"202"	"124"	"238"	"6314"	"0"	"6314"	"0"
"168"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-9"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"173"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"174"	"113"	"282"	"21"	"105"	"5"	"21"	"6"	"7"	"4"	"451"	"0"	"451"	"0"
"175"	"114"	"226"	"3"	"18"	"1"	"15"	"1"	"3"	"3"	"270"	"0"	"270"	"0"
"176"	"115"	"397"	"19"	"19"	"2"	"14"	"3"	"2"	"17"	"473"	"0"	"473"	"0"
"177"	"116"	"269"	"22"	"99"	"9"	"10"	"13"	"7"	"8"	"437"	"0"	"437"	"0"
"178"	"117"	"367"	"23"	"15"	"2"	"9"	"2"	"6"	"5"	"429"	"0"	"429"	"0"
"179"	"118"	"354"	"2"	"23"	"2"	"21"	"1"	"1"	"3"	"407"	"0"	"407"	"0"
"180"	"119"	"412"	"15"	"50"	"5"	"80"	"2"	"1"	"10"	"575"	"0"	"575"	"0"
"181"	"120"	"117"	"9"	"66"	"8"	"18"	"23"	"16"	"24"	"281"	"0"	"281"	"0"
"182"	"121"	"118"	"5"	"45"	"1"	"22"	"3"	"2"	"11"	"207"	"0"	"207"	"0"
"183"	"122"	"143"	"8"	"12"	"1"	"54"	"3"	"5"	"10"	"236"	"0"	"236"	"0"
"184"	"123"	"234"	"27"	"85"	"8"	"17"	"11"	"0"	"8"	"390"	"0"	"390"	"0"
"185"	"124"	"264"	"6"	"54"	"4"	"15"	"14"	"3"	"8"	"368"	"0"	"368"	"0"
"186"	"125"	"347"	"10"	"58"	"7"	"72"	"17"	"8"	"21"	"540"	"0"	"540"	"0"
"187"	"126"	"180"	"13"	"141"	"11"	"14"	"11"	"11"	"11"	"392"	"0"	"392"	"0"
"188"	"Round
Total"	"3710"	"183"	"790"	"66"	"382"	"110"	"72"	"143"	"5456"	"0"	"5456"	"0"
"189"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-10"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"194"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"195"	"127"	"168"	"6"	"16"	"2"	"11"	"4"	"2"	"5"	"214"	"0"	"214"	"0"
"196"	"128"	"349"	"24"	"171"	"9"	"28"	"10"	"8"	"23"	"622"	"0"	"622"	"0"
"197"	"129"	"391"	"6"	"2"	"5"	"117"	"4"	"2"	"9"	"536"	"0"	"536"	"0"
"198"	"130"	"254"	"5"	"17"	"6"	"129"	"3"	"2"	"10"	"426"	"0"	"426"	"0"
"199"	"131"	"193"	"37"	"99"	"10"	"45"	"10"	"7"	"18"	"419"	"0"	"419"	"0"
"200"	"132"	"246"	"27"	"88"	"11"	"23"	"14"	"11"	"60"	"480"	"0"	"480"	"0"
"201"	"133"	"216"	"42"	"170"	"17"	"23"	"28"	"29"	"69"	"594"	"0"	"594"	"0"
"202"	"134"	"135"	"28"	"116"	"27"	"7"	"12"	"7"	"28"	"360"	"0"	"360"	"0"
"203"	"135"	"228"	"40"	"156"	"14"	"28"	"16"	"11"	"32"	"525"	"0"	"525"	"0"
"204"	"136"	"316"	"41"	"81"	"10"	"12"	"5"	"8"	"13"	"486"	"0"	"486"	"0"
"205"	"137"	"432"	"8"	"48"	"1"	"2"	"2"	"3"	"4"	"500"	"0"	"500"	"0"
"206"	"138"	"399"	"20"	"59"	"2"	"15"	"3"	"4"	"9"	"511"	"0"	"511"	"0"
"207"	"139"	"442"	"18"	"30"	"6"	"20"	"2"	"1"	"20"	"539"	"0"	"539"	"0"
"208"	"140"	"126"	"12"	"49"	"1"	"1"	"4"	"4"	"4"	"201"	"0"	"201"	"0"
"209"	"Round
Total"	"3895"	"314"	"1102"	"121"	"461"	"117"	"99"	"304"	"6413"	"0"	"6413"	"0"
