"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"34"	"20"	"64"	"12"	"38"	"331"	"68"	"5"	"8"	"14"	"31"	"4"	"17"	"32"	"4"	"0"	"3"	"631"	"0"	"631"	"0"	""
"35"	"21"	"343"	"38"	"9"	"201"	"54"	"6"	"10"	"4"	"7"	"6"	"28"	"19"	"4"	"5"	"9"	"743"	"0"	"743"	"0"	""
"36"	"22"	"155"	"3"	"6"	"147"	"3"	"0"	"0"	"4"	"2"	"3"	"7"	"15"	"5"	"1"	"8"	"359"	"0"	"359"	"0"	""
"37"	"23"	"164"	"140"	"16"	"55"	"4"	"6"	"3"	"4"	"2"	"1"	"4"	"6"	"1"	"5"	"16"	"427"	"0"	"427"	"0"	""
"38"	"24"	"142"	"20"	"28"	"96"	"4"	"4"	"111"	"13"	"4"	"5"	"21"	"13"	"5"	"4"	"7"	"477"	"0"	"477"	"0"	""
"39"	"25"	"26"	"2"	"28"	"266"	"54"	"3"	"1"	"4"	"3"	"3"	"29"	"17"	"5"	"4"	"5"	"450"	"0"	"450"	"0"	""
"40"	"26"	"29"	"41"	"175"	"161"	"4"	"1"	"10"	"5"	"4"	"11"	"170"	"16"	"3"	"1"	"7"	"638"	"0"	"638"	"0"	""
"41"	"27"	"309"	"10"	"23"	"185"	"15"	"3"	"1"	"4"	"2"	"0"	"5"	"10"	"5"	"4"	"17"	"593"	"0"	"593"	"0"	""
"42"	"28"	"52"	"7"	"37"	"200"	"5"	"7"	"1"	"10"	"33"	"12"	"239"	"9"	"6"	"1"	"7"	"626"	"0"	"626"	"0"	""
"43"	";ksx"	"1935"	"471"	"411"	"2632"	"235"	"66"	"158"	"103"	"223"	"78"	"715"	"232"	"69"	"42"	"123"	"7493"	"0"	"7493"	"0"	""
"44"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"51"	"29"	"17"	"89"	"76"	"161"	"3"	"3"	"6"	"5"	"34"	"6"	"42"	"7"	"3"	"3"	"10"	"465"	"0"	"465"	"0"	""
"52"	"30"	"24"	"6"	"70"	"285"	"62"	"4"	"3"	"6"	"62"	"4"	"19"	"8"	"13"	"2"	"3"	"571"	"0"	"571"	"0"	""
"53"	"31"	"43"	"5"	"66"	"110"	"155"	"6"	"1"	"4"	"27"	"7"	"73"	"3"	"11"	"3"	"4"	"518"	"0"	"518"	"0"	""
"54"	"32"	"85"	"15"	"134"	"308"	"9"	"2"	"3"	"7"	"5"	"4"	"73"	"15"	"3"	"3"	"9"	"675"	"0"	"675"	"0"	""
"55"	"33"	"70"	"6"	"44"	"219"	"12"	"5"	"2"	"13"	"19"	"0"	"17"	"11"	"1"	"2"	"14"	"435"	"0"	"435"	"0"	""
"56"	"34"	"25"	"7"	"26"	"236"	"8"	"4"	"2"	"8"	"6"	"1"	"4"	"7"	"3"	"1"	"5"	"343"	"0"	"343"	"0"	""
"57"	"35"	"12"	"13"	"21"	"253"	"3"	"1"	"3"	"2"	"12"	"1"	"3"	"7"	"0"	"0"	"0"	"331"	"0"	"331"	"0"	""
"58"	"36"	"79"	"7"	"69"	"210"	"10"	"2"	"2"	"11"	"71"	"4"	"35"	"15"	"2"	"2"	"5"	"524"	"0"	"524"	"0"	""
"59"	"37"	"89"	"74"	"23"	"269"	"19"	"7"	"2"	"17"	"20"	"2"	"99"	"19"	"3"	"2"	"3"	"648"	"0"	"648"	"0"	""
"60"	"38"	"23"	"4"	"81"	"51"	"5"	"3"	"2"	"6"	"2"	"7"	"270"	"9"	"1"	"1"	"6"	"471"	"0"	"471"	"0"	""
"61"	"39"	"15"	"1"	"3"	"178"	"2"	"91"	"6"	"3"	"14"	"2"	"72"	"14"	"2"	"3"	"5"	"411"	"0"	"411"	"0"	""
"62"	"40"	"61"	"13"	"5"	"127"	"0"	"3"	"6"	"6"	"76"	"4"	"63"	"20"	"5"	"4"	"8"	"401"	"0"	"401"	"0"	""
"63"	"41"	"108"	"41"	"30"	"55"	"7"	"8"	"5"	"4"	"151"	"9"	"78"	"6"	"24"	"4"	"8"	"538"	"0"	"538"	"0"	""
"64"	"42"	"17"	"21"	"13"	"73"	"7"	"8"	"18"	"28"	"277"	"16"	"39"	"15"	"22"	"9"	"18"	"581"	"0"	"581"	"0"	""
"65"	";ksx"	"668"	"302"	"661"	"2535"	"302"	"147"	"61"	"120"	"776"	"67"	"887"	"156"	"93"	"39"	"98"	"6912"	"0"	"6912"	"0"	""
"66"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"73"	"43"	"108"	"78"	"6"	"158"	"3"	"1"	"1"	"1"	"57"	"0"	"5"	"0"	"1"	"0"	"2"	"421"	"0"	"421"	"0"	""
"74"	"44"	"170"	"5"	"19"	"376"	"50"	"8"	"1"	"4"	"98"	"1"	"3"	"8"	"5"	"0"	"2"	"750"	"0"	"750"	"0"	""
"75"	"45"	"27"	"12"	"20"	"23"	"2"	"10"	"3"	"3"	"134"	"6"	"216"	"11"	"4"	"4"	"7"	"482"	"0"	"482"	"0"	""
"76"	"46"	"36"	"15"	"8"	"307"	"4"	"1"	"3"	"8"	"292"	"0"	"30"	"10"	"4"	"1"	"3"	"722"	"0"	"722"	"0"	""
"77"	"47"	"27"	"133"	"11"	"173"	"0"	"0"	"0"	"0"	"24"	"1"	"10"	"5"	"2"	"0"	"1"	"387"	"0"	"387"	"0"	""
"78"	"48"	"82"	"264"	"12"	"80"	"5"	"4"	"3"	"4"	"39"	"5"	"10"	"10"	"4"	"5"	"18"	"545"	"0"	"545"	"0"	""
"79"	"49"	"127"	"218"	"61"	"348"	"8"	"3"	"1"	"9"	"6"	"5"	"47"	"15"	"1"	"0"	"2"	"851"	"0"	"851"	"0"	""
"80"	"50"	"30"	"50"	"31"	"217"	"13"	"6"	"3"	"6"	"115"	"10"	"140"	"23"	"21"	"5"	"9"	"679"	"0"	"679"	"0"	""
"81"	"51"	"116"	"25"	"73"	"108"	"11"	"6"	"5"	"15"	"204"	"4"	"40"	"5"	"8"	"3"	"9"	"632"	"0"	"632"	"0"	""
"82"	"52"	"363"	"15"	"19"	"44"	"2"	"4"	"2"	"10"	"71"	"5"	"55"	"11"	"9"	"6"	"13"	"629"	"0"	"629"	"0"	""
"83"	"53"	"73"	"67"	"17"	"114"	"2"	"3"	"1"	"10"	"3"	"2"	"28"	"14"	"1"	"1"	"7"	"343"	"0"	"343"	"0"	""
"84"	"54"	"233"	"105"	"24"	"54"	"1"	"1"	"0"	"3"	"2"	"2"	"1"	"2"	"1"	"1"	"9"	"439"	"0"	"439"	"0"	""
"85"	"55"	"33"	"21"	"15"	"554"	"1"	"2"	"1"	"3"	"5"	"0"	"10"	"12"	"2"	"3"	"2"	"664"	"0"	"664"	"0"	""
"86"	"56"	"70"	"107"	"76"	"231"	"3"	"2"	"6"	"8"	"19"	"12"	"63"	"11"	"4"	"5"	"9"	"626"	"0"	"626"	"0"	""
"87"	";ksx"	"1495"	"1115"	"392"	"2787"	"105"	"51"	"30"	"84"	"1069"	"53"	"658"	"137"	"67"	"34"	"93"	"8170"	"0"	"8170"	"0"	""
"88"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"95"	"57"	"186"	"77"	"28"	"214"	"4"	"6"	"5"	"7"	"6"	"6"	"9"	"21"	"9"	"2"	"17"	"597"	"0"	"597"	"0"	""
"96"	"58"	"56"	"153"	"19"	"112"	"1"	"1"	"5"	"3"	"7"	"2"	"5"	"7"	"0"	"0"	"1"	"372"	"0"	"372"	"0"	""
"97"	"59"	"144"	"190"	"12"	"32"	"2"	"4"	"2"	"1"	"11"	"3"	"33"	"0"	"0"	"1"	"9"	"444"	"0"	"444"	"0"	""
"98"	"60"	"207"	"94"	"19"	"111"	"6"	"16"	"8"	"6"	"12"	"2"	"112"	"11"	"3"	"3"	"11"	"621"	"0"	"621"	"0"	""
"99"	"61"	"75"	"25"	"25"	"167"	"0"	"1"	"1"	"10"	"56"	"1"	"109"	"2"	"6"	"0"	"7"	"485"	"0"	"485"	"0"	""
"100"	"62"	"39"	"60"	"18"	"235"	"4"	"4"	"1"	"0"	"17"	"5"	"71"	"19"	"4"	"1"	"7"	"485"	"0"	"485"	"0"	""
"101"	"63"	"36"	"32"	"9"	"298"	"6"	"0"	"3"	"4"	"5"	"0"	"19"	"23"	"1"	"1"	"7"	"444"	"0"	"444"	"0"	""
"102"	"64"	"110"	"17"	"22"	"202"	"7"	"9"	"8"	"17"	"114"	"3"	"39"	"16"	"4"	"4"	"17"	"589"	"0"	"589"	"0"	""
"103"	"65"	"168"	"24"	"10"	"212"	"2"	"4"	"5"	"8"	"41"	"3"	"12"	"9"	"4"	"1"	"4"	"507"	"0"	"507"	"0"	""
"104"	"66"	"152"	"8"	"7"	"142"	"4"	"5"	"9"	"12"	"12"	"8"	"35"	"18"	"7"	"2"	"13"	"434"	"0"	"434"	"0"	""
"105"	"67"	"93"	"4"	"9"	"138"	"2"	"2"	"1"	"4"	"17"	"4"	"128"	"7"	"5"	"0"	"5"	"419"	"0"	"419"	"0"	""
"106"	"68"	"190"	"25"	"5"	"223"	"3"	"2"	"0"	"6"	"7"	"5"	"11"	"13"	"2"	"2"	"11"	"505"	"0"	"505"	"0"	""
"107"	"69"	"51"	"7"	"3"	"15"	"1"	"5"	"4"	"4"	"2"	"1"	"3"	"4"	"3"	"1"	"1"	"105"	"0"	"105"	"0"	""
"108"	"70"	"35"	"5"	"3"	"15"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"3"	"3"	"2"	"5"	"77"	"0"	"77"	"0"	""
"109"	";ksx"	"1542"	"721"	"189"	"2116"	"42"	"61"	"53"	"82"	"307"	"44"	"588"	"153"	"51"	"20"	"115"	"6084"	"0"	"6084"	"0"	""
"110"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"117"	"71"	"229"	"29"	"11"	"73"	"7"	"6"	"3"	"2"	"5"	"1"	"2"	"4"	"2"	"4"	"5"	"383"	"0"	"383"	"0"	""
"118"	"72"	"212"	"22"	"5"	"10"	"3"	"18"	"1"	"3"	"0"	"3"	"2"	"2"	"2"	"3"	"16"	"302"	"0"	"302"	"0"	""
"119"	"73"	"189"	"17"	"13"	"19"	"6"	"10"	"7"	"15"	"5"	"0"	"2"	"4"	"3"	"4"	"14"	"308"	"0"	"308"	"0"	""
"120"	"74"	"433"	"30"	"14"	"19"	"6"	"9"	"4"	"4"	"1"	"2"	"1"	"1"	"1"	"0"	"3"	"528"	"0"	"528"	"0"	""
"121"	"75"	"269"	"19"	"14"	"5"	"8"	"6"	"1"	"5"	"3"	"2"	"1"	"0"	"8"	"2"	"10"	"353"	"0"	"353"	"0"	""
"122"	"76"	"98"	"3"	"14"	"8"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"133"	"0"	"133"	"0"	""
"123"	"77"	"67"	"3"	"7"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"2"	"85"	"0"	"85"	"0"	""
"124"	"78"	"250"	"41"	"23"	"105"	"7"	"6"	"0"	"8"	"53"	"5"	"4"	"8"	"6"	"3"	"22"	"541"	"0"	"541"	"0"	""
"125"	"79"	"261"	"45"	"70"	"70"	"2"	"10"	"3"	"2"	"3"	"6"	"59"	"5"	"5"	"1"	"13"	"555"	"0"	"555"	"0"	""
"126"	"80"	"175"	"13"	"71"	"90"	"1"	"2"	"2"	"11"	"19"	"3"	"20"	"6"	"0"	"3"	"5"	"421"	"0"	"421"	"0"	""
"127"	"81"	"119"	"4"	"14"	"73"	"2"	"4"	"2"	"5"	"36"	"1"	"1"	"6"	"2"	"0"	"2"	"271"	"0"	"271"	"0"	""
"128"	"82"	"101"	"44"	"102"	"166"	"2"	"5"	"4"	"12"	"96"	"5"	"40"	"15"	"3"	"5"	"2"	"602"	"0"	"602"	"0"	""
"129"	"83"	"162"	"26"	"71"	"18"	"6"	"10"	"2"	"1"	"22"	"3"	"23"	"2"	"4"	"1"	"6"	"357"	"0"	"357"	"0"	""
"130"	"84"	"100"	"29"	"76"	"31"	"1"	"3"	"2"	"2"	"48"	"2"	"6"	"15"	"7"	"9"	"15"	"346"	"0"	"346"	"0"	""
"131"	";ksx"	"2665"	"325"	"505"	"688"	"52"	"90"	"32"	"72"	"293"	"33"	"162"	"70"	"46"	"35"	"117"	"5185"	"0"	"5185"	"0"	""
"132"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"138"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"139"	"85"	"167"	"18"	"143"	"40"	"5"	"8"	"3"	"11"	"74"	"7"	"10"	"4"	"4"	"4"	"6"	"504"	"0"	"504"	"0"	""
"140"	"86"	"245"	"32"	"64"	"47"	"8"	"3"	"6"	"3"	"50"	"2"	"15"	"2"	"5"	"1"	"2"	"485"	"0"	"485"	"0"	""
"141"	"87"	"119"	"4"	"3"	"33"	"1"	"0"	"0"	"1"	"15"	"0"	"3"	"0"	"0"	"0"	"1"	"180"	"0"	"180"	"0"	""
"142"	"88"	"306"	"19"	"84"	"23"	"1"	"5"	"2"	"2"	"10"	"2"	"5"	"4"	"2"	"5"	"9"	"479"	"0"	"479"	"0"	""
