"Election.to.the.Bihar.Legislative.Assembly.from.the.234.Gurua..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"17"	"12"	""	"33"	""	""	"0"	""	""	"823"	""	""	"0"	""	""	"1"	""	""	"1"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"862"	""	"0"	""	""	"862"	""	""	""	""	""	""	""	""
"18"	"13"	""	"4"	""	""	"2"	""	""	"686"	""	""	"1"	""	""	"7"	""	""	"0"	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"706"	""	"0"	""	""	"706"	""	""	""	""	""	""	""	""
"19"	"14"	""	"16"	""	""	"21"	""	""	"507"	""	""	"10"	""	""	"122"	""	""	"3"	""	"5"	""	"5"	""	"4"	""	"6"	""	"16"	""	"715"	""	"0"	""	""	"715"	""	""	""	""	""	""	""	""
"20"	"Total"	""	"912"	""	""	"439"	""	""	"4490"	""	""	"70"	""	""	"1690"	""	""	"54"	""	"125"	""	"29"	""	"49"	""	"25"	""	"119"	""	"8002"	""	"0"	""	""	"8002"	""	""	""	""	""	""	""	""
"21"	"Place           Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Date            27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"25"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"27"	"15"	"192"	""	""	"1"	""	""	"203"	""	""	"2"	""	""	""	"19"	""	""	"0"	""	"2"	""	"1"	""	"0"	""	"1"	""	"1"	""	"422"	""	""	"0"	""	""	"422"	""	""	""	""	""	""	""
"28"	"16"	"6"	""	""	"18"	""	""	"150"	""	""	"4"	""	""	""	"15"	""	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	""	"1"	""	"199"	""	""	"0"	""	""	"199"	""	""	""	""	""	""	""
"29"	"17"	"99"	""	""	"6"	""	""	"103"	""	""	"4"	""	""	""	"6"	""	""	"1"	""	"1"	""	"0"	""	"3"	""	"2"	""	"2"	""	"227"	""	""	"0"	""	""	"227"	""	""	""	""	""	""	""
"30"	"18"	"2"	""	""	"4"	""	""	"792"	""	""	"3"	""	""	""	"7"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"810"	""	""	"0"	""	""	"810"	""	""	""	""	""	""	""
"31"	"19"	"3"	""	""	"1"	""	""	"6"	""	""	"1"	""	""	""	"510"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"522"	""	""	"0"	""	""	"522"	""	""	""	""	""	""	""
"32"	"20"	"8"	""	""	"1"	""	""	"302"	""	""	"14"	""	""	""	"4"	""	""	"2"	""	"0"	""	"2"	""	"4"	""	"1"	""	"8"	""	"346"	""	""	"0"	""	""	"346"	""	""	""	""	""	""	""
"33"	"21"	"180"	""	""	"142"	""	""	"144"	""	""	"14"	""	""	""	"42"	""	""	"2"	""	"2"	""	"3"	""	"7"	""	"1"	""	"3"	""	"540"	""	""	"0"	""	""	"540"	""	""	""	""	""	""	""
"34"	"22"	"115"	""	""	"136"	""	""	"65"	""	""	"5"	""	""	""	"541"	""	""	"6"	""	"3"	""	"3"	""	"7"	""	"2"	""	"19"	""	"902"	""	""	"0"	""	""	"902"	""	""	""	""	""	""	""
"35"	"23"	"4"	""	""	"147"	""	""	"108"	""	""	"4"	""	""	""	"221"	""	""	"9"	""	"7"	""	"3"	""	"2"	""	"5"	""	"17"	""	"527"	""	""	"0"	""	""	"527"	""	""	""	""	""	""	""
"36"	"24"	"27"	""	""	"102"	""	""	"20"	""	""	"6"	""	""	""	"182"	""	""	"3"	""	"2"	""	"1"	""	"1"	""	"0"	""	"3"	""	"347"	""	""	"0"	""	""	"347"	""	""	""	""	""	""	""
"37"	"25"	"16"	""	""	"10"	""	""	"85"	""	""	"9"	""	""	""	"65"	""	""	"4"	""	"0"	""	"3"	""	"5"	""	"2"	""	"21"	""	"220"	""	""	"0"	""	""	"220"	""	""	""	""	""	""	""
"38"	"26"	"26"	""	""	"23"	""	""	"124"	""	""	"3"	""	""	""	"116"	""	""	"3"	""	"3"	""	"2"	""	"0"	""	"1"	""	"8"	""	"309"	""	""	"0"	""	""	"309"	""	""	""	""	""	""	""
"39"	"27"	"81"	""	""	"22"	""	""	"72"	""	""	"7"	""	""	""	"180"	""	""	"7"	""	"5"	""	"4"	""	"2"	""	"0"	""	"10"	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""	""	""
"40"	"28"	"27"	""	""	"3"	""	""	"295"	""	""	"4"	""	""	""	"340"	""	""	"2"	""	"2"	""	"0"	""	"1"	""	"1"	""	"0"	""	"675"	""	""	"0"	""	""	"675"	""	""	""	""	""	""	""
"41"	"Total"	"786"	""	""	"616"	""	""	"2469"	""	""	"80"	""	""	""	"2248"	""	""	"41"	""	"31"	""	"22"	""	"32"	""	"18"	""	"93"	""	"6436"	""	""	"0"	""	""	"6436"	""	""	""	""	""	""	""
"42"	"Place         Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Date          27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Election to the Bihar Legislative Assembly from the 234-Gurua  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Total No. of Electors in Assembly Constituency                                                                                                                                       Round No. ……              3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"48"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"50"	"29"	"25"	""	""	"5"	""	""	"127"	""	""	"3"	""	""	"410"	""	""	"4"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"574"	""	""	"0"	""	""	"574"	""	""	""	""	""	""	""
"51"	"30"	"123"	""	""	"4"	""	""	"82"	""	""	"6"	""	""	"37"	""	""	"5"	""	""	"2"	""	"2"	""	"1"	""	"4"	""	"8"	""	"274"	""	""	"0"	""	""	"274"	""	""	""	""	""	""	""
"52"	"31"	"13"	""	""	"10"	""	""	"149"	""	""	"4"	""	""	"218"	""	""	"7"	""	""	"2"	""	"2"	""	"0"	""	"0"	""	"6"	""	"411"	""	""	"0"	""	""	"411"	""	""	""	""	""	""	""
"53"	"32"	"148"	""	""	"65"	""	""	"263"	""	""	"10"	""	""	"43"	""	""	"7"	""	""	"2"	""	"6"	""	"2"	""	"3"	""	"16"	""	"565"	""	""	"0"	""	""	"565"	""	""	""	""	""	""	""
"54"	"33"	"139"	""	""	"19"	""	""	"52"	""	""	"7"	""	""	"76"	""	""	"13"	""	""	"12"	""	"5"	""	"11"	""	"3"	""	"15"	""	"352"	""	""	"0"	""	""	"352"	""	""	""	""	""	""	""
"55"	"34"	"57"	""	""	"12"	""	""	"554"	""	""	"25"	""	""	"81"	""	""	"3"	""	""	"12"	""	"12"	""	"9"	""	"8"	""	"22"	""	"795"	""	""	"0"	""	""	"795"	""	""	""	""	""	""	""
"56"	"35"	"198"	""	""	"66"	""	""	"59"	""	""	"1"	""	""	"253"	""	""	"7"	""	""	"5"	""	"7"	""	"7"	""	"3"	""	"20"	""	"626"	""	""	"0"	""	""	"626"	""	""	""	""	""	""	""
"57"	"36"	"111"	""	""	"46"	""	""	"291"	""	""	"14"	""	""	"208"	""	""	"9"	""	""	"8"	""	"4"	""	"6"	""	"7"	""	"28"	""	"732"	""	""	"0"	""	""	"732"	""	""	""	""	""	""	""
"58"	"37"	"48"	""	""	"13"	""	""	"100"	""	""	"6"	""	""	"208"	""	""	"1"	""	""	"4"	""	"3"	""	"1"	""	"2"	""	"77"	""	"463"	""	""	"0"	""	""	"463"	""	""	""	""	""	""	""
"59"	"38"	"17"	""	""	"5"	""	""	"163"	""	""	"3"	""	""	"263"	""	""	"2"	""	""	"3"	""	"1"	""	"0"	""	"1"	""	"20"	""	"478"	""	""	"0"	""	""	"478"	""	""	""	""	""	""	""
"60"	"39"	"48"	""	""	"35"	""	""	"167"	""	""	"4"	""	""	"72"	""	""	"8"	""	""	"4"	""	"8"	""	"10"	""	"6"	""	"28"	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""	""	""
"61"	"40"	"38"	""	""	"1"	""	""	"65"	""	""	"1"	""	""	"30"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"135"	""	""	"0"	""	""	"135"	""	""	""	""	""	""	""
"62"	"41"	"34"	""	""	"5"	""	""	"31"	""	""	"2"	""	""	"203"	""	""	"1"	""	""	"0"	""	"2"	""	"2"	""	"0"	""	"4"	""	"284"	""	""	"0"	""	""	"284"	""	""	""	""	""	""	""
"63"	"42"	"243"	""	""	"55"	""	""	"93"	""	""	"3"	""	""	"45"	""	""	"4"	""	""	"1"	""	"4"	""	"1"	""	"5"	""	"8"	""	"462"	""	""	"0"	""	""	"462"	""	""	""	""	""	""	""
"64"	"Total"	"1242"	""	""	"341"	""	""	"2196"	""	""	"89"	""	""	"2147"	""	""	"71"	""	""	"55"	""	"56"	""	"50"	""	"42"	""	"252"	""	"6541"	""	""	"0"	""	""	"6541"	""	""	""	""	""	""	""
"65"	"Place         Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Date          27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"69"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"71"	"43"	"157"	""	""	"47"	""	""	"91"	""	""	"6"	""	""	"77"	""	""	"4"	""	""	"6"	""	"1"	""	"0"	""	"2"	""	"10"	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""	""	""
"72"	"44"	"89"	""	""	"10"	""	""	"135"	""	""	"2"	""	""	"50"	""	""	"4"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"3"	""	"294"	""	""	"0"	""	""	"294"	""	""	""	""	""	""	""
"73"	"44(Ka)"	"29"	""	""	"46"	""	""	"76"	""	""	"0"	""	""	"10"	""	""	"4"	""	""	"3"	""	"2"	""	"2"	""	"4"	""	"15"	""	"191"	""	""	"0"	""	""	"191"	""	""	""	""	""	""	""
"74"	"45"	"135"	""	""	"48"	""	""	"138"	""	""	"5"	""	""	"20"	""	""	"2"	""	""	"7"	""	"7"	""	"3"	""	"0"	""	"5"	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""
"75"	"46"	"6"	""	""	"0"	""	""	"109"	""	""	"7"	""	""	"36"	""	""	"3"	""	""	"1"	""	"3"	""	"7"	""	"0"	""	"3"	""	"175"	""	""	"0"	""	""	"175"	""	""	""	""	""	""	""
"76"	"47"	"18"	""	""	"6"	""	""	"475"	""	""	"0"	""	""	"9"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"510"	""	""	"0"	""	""	"510"	""	""	""	""	""	""	""
"77"	"48"	"164"	""	""	"3"	""	""	"148"	""	""	"3"	""	""	"65"	""	""	"1"	""	""	"4"	""	"2"	""	"2"	""	"0"	""	"8"	""	"400"	""	""	"0"	""	""	"400"	""	""	""	""	""	""	""
"78"	"49"	"46"	""	""	"7"	""	""	"279"	""	""	"7"	""	""	"435"	""	""	"2"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	"2"	""	"780"	""	""	"0"	""	""	"780"	""	""	""	""	""	""	""
"79"	"50"	"12"	""	""	"47"	""	""	"198"	""	""	"3"	""	""	"135"	""	""	"1"	""	""	"0"	""	"1"	""	"1"	""	"2"	""	"1"	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""	""	""
"80"	"51"	"11"	""	""	"12"	""	""	"34"	""	""	"1"	""	""	"722"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"782"	""	""	"0"	""	""	"782"	""	""	""	""	""	""	""
"81"	"52"	"3"	""	""	"2"	""	""	"10"	""	""	"2"	""	""	"130"	""	""	"8"	""	""	"6"	""	"2"	""	"1"	""	"0"	""	"4"	""	"168"	""	""	"0"	""	""	"168"	""	""	""	""	""	""	""
"82"	"53"	"30"	""	""	"5"	""	""	"270"	""	""	"19"	""	""	"29"	""	""	"4"	""	""	"3"	""	"4"	""	"0"	""	"2"	""	"4"	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""
"83"	"54"	"2"	""	""	"73"	""	""	"268"	""	""	"0"	""	""	"125"	""	""	"0"	""	""	"3"	""	"0"	""	"0"	""	"0"	""	"5"	""	"476"	""	""	"0"	""	""	"476"	""	""	""	""	""	""	""
"84"	"55"	"4"	""	""	"1"	""	""	"279"	""	""	"1"	""	""	"116"	""	""	"2"	""	""	"36"	""	"0"	""	"2"	""	"0"	""	"5"	""	"446"	""	""	"0"	""	""	"446"	""	""	""	""	""	""	""
"85"	"Total"	"706"	""	""	"307"	""	""	"2510"	""	""	"56"	""	""	"1959"	""	""	"37"	""	""	"72"	""	"23"	""	"18"	""	"10"	""	"66"	""	"5764"	""	""	"0"	""	""	"5764"	""	""	""	""	""	""	""
"86"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"87"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"89"	"56"	"8"	""	""	"2"	""	""	"107"	""	""	"2"	""	""	"421"	""	""	"3"	""	""	"0"	""	"1"	""	"2"	""	"1"	""	"6"	""	"553"	""	""	"0"	""	""	"553"	""	""	""	""	""	""	""
"90"	"57"	"13"	""	""	"9"	""	""	"82"	""	""	"14"	""	""	"71"	""	""	"2"	""	""	"4"	""	"0"	""	"6"	""	"1"	""	"7"	""	"209"	""	""	"0"	""	""	"209"	""	""	""	""	""	""	""
"91"	"58"	"87"	""	""	"16"	""	""	"158"	""	""	"9"	""	""	"164"	""	""	"6"	""	""	"3"	""	"3"	""	"3"	""	"2"	""	"11"	""	"462"	""	""	"0"	""	""	"462"	""	""	""	""	""	""	""
"92"	"59"	"14"	""	""	"3"	""	""	"327"	""	""	"2"	""	""	"112"	""	""	"1"	""	""	"4"	""	"0"	""	"0"	""	"3"	""	"4"	""	"470"	""	""	"0"	""	""	"470"	""	""	""	""	""	""	""
"93"	"60"	"29"	""	""	"204"	""	""	"51"	""	""	"2"	""	""	"81"	""	""	"2"	""	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	"375"	""	""	"0"	""	""	"375"	""	""	""	""	""	""	""
"94"	"61"	"18"	""	""	"2"	""	""	"549"	""	""	"1"	""	""	"137"	""	""	"5"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"4"	""	"717"	""	""	"0"	""	""	"717"	""	""	""	""	""	""	""
"95"	"62"	"7"	""	""	"5"	""	""	"143"	""	""	"2"	""	""	"311"	""	""	"2"	""	""	"2"	""	"0"	""	"1"	""	"1"	""	"8"	""	"482"	""	""	"0"	""	""	"482"	""	""	""	""	""	""	""
"96"	"63"	"46"	""	""	"2"	""	""	"300"	""	""	"4"	""	""	"127"	""	""	"0"	""	""	"8"	""	"0"	""	"0"	""	"1"	""	"0"	""	"488"	""	""	"0"	""	""	"488"	""	""	""	""	""	""	""
"97"	"64"	"454"	""	""	"10"	""	""	"78"	""	""	"1"	""	""	"18"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"562"	""	""	"0"	""	""	"562"	""	""	""	""	""	""	""
"98"	"65"	"3"	""	""	"0"	""	""	"740"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"745"	""	""	"0"	""	""	"745"	""	""	""	""	""	""	""
"99"	"66"	"27"	""	""	"82"	""	""	"112"	""	""	"2"	""	""	"183"	""	""	"8"	""	""	"9"	""	"5"	""	"3"	""	"4"	""	"7"	""	"442"	""	""	"0"	""	""	"442"	""	""	""	""	""	""	""
"100"	"67"	"9"	""	""	"20"	""	""	"119"	""	""	"5"	""	""	"205"	""	""	"7"	""	""	"2"	""	"2"	""	"1"	""	"0"	""	"8"	""	"378"	""	""	"0"	""	""	"378"	""	""	""	""	""	""	""
"101"	"68"	"39"	""	""	"12"	""	""	"87"	""	""	"15"	""	""	"160"	""	""	"18"	""	""	"9"	""	"3"	""	"3"	""	"5"	""	"17"	""	"368"	""	""	"0"	""	""	"368"	""	""	""	""	""	""	""
"102"	"69"	"53"	""	""	"3"	""	""	"419"	""	""	"4"	""	""	"5"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"485"	""	""	"0"	""	""	"485"	""	""	""	""	""	""	""
