"Sl.No..of.Polling.Station"	"No.of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"16"	"14"	"19"	"18"	"90"	"4"	"12"	"387"	"5"	"9"	"10"	"111"	"5"	"14"	"7"	"35"	"726"	"NIL"	"726"	"0"
"17"	"Total..."	"579"	"440"	"347"	"116"	"133"	"1674"	"210"	"154"	"1710"	"2025"	"210"	"154"	"1710"	"443"	"8251"	"NIL"	"8251"	"0"
"18"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"19"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"21"	"Total..."	"579"	"440"	"347"	"116"	"133"	"1674"	"210"	"154"	"1710"	"2025"	"210"	"154"	"1710"	"443"	"8251"	"NIL"	"8251"	"0"
"22"	"15"	"47"	"50"	"18"	"7"	"8"	"12"	"13"	"20"	"178"	"196"	"13"	"20"	"178"	"21"	"598"	"NIL"	"598"	"0"
"23"	"16"	"49"	"42"	"40"	"4"	"13"	"219"	"26"	"37"	"101"	"116"	"26"	"37"	"101"	"24"	"763"	"NIL"	"763"	"0"
"24"	"16"	"48"	"63"	"102"	"2"	"3"	"81"	"8"	"12"	"53"	"190"	"8"	"12"	"53"	"27"	"608"	"NIL"	"608"	"0"
"25"	"16"	"20"	"45"	"10"	"1"	"10"	"101"	"6"	"15"	"148"	"143"	"6"	"15"	"148"	"33"	"562"	"NIL"	"562"	"0"
"26"	"16"	"28"	"26"	"26"	"9"	"8"	"135"	"15"	"11"	"66"	"197"	"15"	"11"	"66"	"41"	"675"	"NIL"	"675"	"0"
"27"	"16"	"35"	"16"	"10"	"3"	"2"	"65"	"12"	"9"	"197"	"94"	"12"	"9"	"197"	"18"	"484"	"NIL"	"484"	"0"
"28"	"16"	"26"	"12"	"7"	"2"	"6"	"293"	"9"	"21"	"136"	"166"	"9"	"21"	"136"	"33"	"804"	"NIL"	"804"	"0"
"29"	"16"	"14"	"49"	"7"	"6"	"2"	"43"	"10"	"10"	"194"	"92"	"10"	"10"	"194"	"61"	"608"	"NIL"	"608"	"0"
"30"	"16"	"42"	"40"	"11"	"2"	"7"	"118"	"22"	"21"	"299"	"42"	"22"	"21"	"299"	"24"	"656"	"NIL"	"656"	"0"
"31"	"16"	"15"	"13"	"7"	"1"	"6"	"130"	"5"	"13"	"255"	"114"	"5"	"13"	"255"	"21"	"601"	"NIL"	"601"	"0"
"32"	"16"	"4"	"6"	"2"	"0"	"0"	"3"	"6"	"4"	"247"	"32"	"6"	"4"	"247"	"5"	"316"	"NIL"	"316"	"0"
"33"	"16"	"33"	"42"	"18"	"2"	"3"	"68"	"8"	"11"	"297"	"204"	"8"	"11"	"297"	"27"	"741"	"NIL"	"741"	"0"
"34"	"16"	"14"	"10"	"2"	"4"	"3"	"8"	"7"	"11"	"494"	"40"	"7"	"11"	"494"	"17"	"626"	"NIL"	"626"	"0"
"35"	"16"	"41"	"13"	"5"	"2"	"3"	"95"	"5"	"8"	"425"	"55"	"5"	"8"	"425"	"16"	"687"	"NIL"	"687"	"0"
"36"	"Total..."	"995"	"867"	"612"	"161"	"207"	"3045"	"362"	"357"	"4800"	"3706"	"362"	"357"	"4800"	"811"	"16980"	"NIL"	"16980"	"0"
"37"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"38"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"40"	"Total..."	"995"	"867"	"612"	"161"	"207"	"3045"	"362"	"357"	"4800"	"3706"	"362"	"357"	"4800"	"811"	"16980"	"NIL"	"16980"	"0"
"41"	"29"	"21"	"29"	"11"	"1"	"7"	"160"	"7"	"10"	"205"	"62"	"7"	"10"	"205"	"35"	"576"	"NIL"	"576"	"0"
"42"	"30"	"20"	"8"	"1"	"4"	"1"	"1"	"2"	"6"	"589"	"21"	"2"	"6"	"589"	"5"	"668"	"NIL"	"668"	"0"
"43"	"30"	"20"	"12"	"7"	"2"	"10"	"120"	"5"	"13"	"484"	"52"	"5"	"13"	"484"	"21"	"762"	"NIL"	"762"	"0"
"44"	"30"	"63"	"13"	"10"	"6"	"6"	"4"	"8"	"16"	"447"	"22"	"8"	"16"	"447"	"23"	"647"	"NIL"	"647"	"0"
"45"	"30"	"74"	"136"	"10"	"3"	"5"	"4"	"5"	"11"	"418"	"67"	"5"	"11"	"418"	"20"	"791"	"NIL"	"791"	"0"
"46"	"30"	"23"	"175"	"14"	"5"	"1"	"5"	"12"	"12"	"144"	"24"	"12"	"12"	"144"	"25"	"456"	"NIL"	"456"	"0"
"47"	"30"	"20"	"69"	"15"	"3"	"5"	"13"	"10"	"6"	"220"	"43"	"10"	"6"	"220"	"10"	"422"	"NIL"	"422"	"0"
"48"	"30"	"81"	"58"	"9"	"2"	"1"	"48"	"19"	"9"	"310"	"110"	"19"	"9"	"310"	"48"	"720"	"NIL"	"720"	"0"
"49"	"30"	"20"	"185"	"8"	"0"	"5"	"1"	"1"	"9"	"32"	"157"	"1"	"9"	"32"	"19"	"471"	"NIL"	"471"	"0"
"50"	"30"	"13"	"27"	"9"	"3"	"3"	"26"	"7"	"8"	"187"	"113"	"7"	"8"	"187"	"14"	"447"	"NIL"	"447"	"0"
"51"	"30"	"36"	"6"	"8"	"2"	"0"	"3"	"7"	"15"	"276"	"16"	"7"	"15"	"276"	"6"	"414"	"NIL"	"414"	"0"
"52"	"30"	"11"	"14"	"20"	"1"	"2"	"6"	"7"	"21"	"302"	"48"	"7"	"21"	"302"	"13"	"519"	"NIL"	"519"	"0"
"53"	"30"	"22"	"13"	"6"	"7"	"14"	"4"	"23"	"17"	"53"	"369"	"23"	"17"	"53"	"10"	"562"	"NIL"	"562"	"0"
"54"	"30"	"12"	"49"	"3"	"4"	"3"	"40"	"1"	"16"	"55"	"402"	"1"	"16"	"55"	"59"	"708"	"NIL"	"708"	"0"
"55"	"Total..."	"1431"	"1661"	"743"	"204"	"270"	"3480"	"476"	"526"	"8522"	"5212"	"476"	"526"	"8522"	"1119"	"25143"	"NIL"	"25143"	"0"
"56"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"57"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"59"	"Total..."	"1431"	"1661"	"743"	"204"	"270"	"3480"	"476"	"526"	"8522"	"5212"	"476"	"526"	"8522"	"1119"	"25143"	"NIL"	"25143"	"0"
"60"	"43"	"5"	"8"	"0"	"0"	"3"	"0"	"4"	"4"	"2"	"150"	"4"	"4"	"2"	"4"	"186"	"NIL"	"186"	"0"
"61"	"44"	"25"	"136"	"11"	"4"	"3"	"73"	"6"	"25"	"58"	"362"	"6"	"25"	"58"	"43"	"805"	"NIL"	"805"	"0"
"62"	"44"	"6"	"55"	"29"	"3"	"6"	"5"	"4"	"16"	"40"	"281"	"4"	"16"	"40"	"13"	"507"	"NIL"	"507"	"0"
"63"	"44"	"56"	"34"	"7"	"6"	"17"	"66"	"8"	"16"	"26"	"350"	"8"	"16"	"26"	"28"	"669"	"NIL"	"669"	"0"
"64"	"44"	"3"	"40"	"4"	"1"	"4"	"0"	"6"	"6"	"16"	"320"	"6"	"6"	"16"	"39"	"529"	"NIL"	"529"	"0"
"65"	"44"	"25"	"17"	"7"	"1"	"5"	"28"	"6"	"6"	"9"	"300"	"6"	"6"	"9"	"18"	"455"	"NIL"	"455"	"0"
"66"	"44"	"39"	"76"	"27"	"3"	"2"	"5"	"6"	"2"	"16"	"198"	"6"	"2"	"16"	"34"	"426"	"NIL"	"426"	"0"
"67"	"44"	"15"	"53"	"120"	"2"	"3"	"4"	"9"	"6"	"8"	"121"	"9"	"6"	"8"	"16"	"371"	"NIL"	"371"	"0"
"68"	"44"	"20"	"34"	"6"	"3"	"9"	"0"	"16"	"8"	"7"	"211"	"16"	"8"	"7"	"25"	"365"	"NIL"	"365"	"0"
"69"	"44"	"5"	"82"	"4"	"10"	"1"	"2"	"28"	"4"	"5"	"150"	"28"	"4"	"5"	"23"	"333"	"NIL"	"333"	"0"
"70"	"44"	"8"	"82"	"23"	"11"	"6"	"3"	"27"	"17"	"47"	"143"	"27"	"17"	"47"	"19"	"404"	"NIL"	"404"	"0"
"71"	"44"	"9"	"47"	"3"	"5"	"2"	"2"	"18"	"7"	"29"	"228"	"18"	"7"	"29"	"124"	"488"	"NIL"	"488"	"0"
"72"	"44"	"14"	"47"	"2"	"1"	"2"	"2"	"5"	"8"	"8"	"233"	"5"	"8"	"8"	"15"	"353"	"NIL"	"353"	"0"
"73"	"44"	"8"	"78"	"2"	"2"	"1"	"2"	"10"	"2"	"4"	"175"	"10"	"2"	"4"	"12"	"313"	"NIL"	"313"	"0"
"74"	"Total..."	"1669"	"2450"	"988"	"256"	"334"	"3672"	"629"	"653"	"8797"	"8434"	"629"	"653"	"8797"	"1532"	"31347"	"NIL"	"31347"	"0"
"75"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"76"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"77"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"78"	"Total..."	"1669"	"2450"	"988"	"256"	"334"	"3672"	"629"	"653"	"8797"	"8434"	"629"	"653"	"8797"	"1532"	"31347"	"NIL"	"31347"	"0"
"79"	"57"	"20"	"124"	"8"	"14"	"1"	"3"	"18"	"14"	"17"	"335"	"18"	"14"	"17"	"22"	"600"	"NIL"	"600"	"0"
"80"	"58"	"5"	"49"	"34"	"4"	"2"	"5"	"17"	"9"	"7"	"338"	"17"	"9"	"7"	"46"	"564"	"NIL"	"564"	"0"
"81"	"59"	"10"	"50"	"1"	"10"	"5"	"0"	"7"	"10"	"7"	"228"	"7"	"10"	"7"	"17"	"358"	"NIL"	"358"	"0"
"82"	"60"	"18"	"10"	"3"	"8"	"5"	"1"	"14"	"8"	"3"	"227"	"14"	"8"	"3"	"15"	"326"	"NIL"	"326"	"0"
"83"	"61"	"37"	"61"	"12"	"2"	"1"	"4"	"34"	"14"	"199"	"132"	"34"	"14"	"199"	"14"	"522"	"NIL"	"522"	"0"
"84"	"62"	"32"	"94"	"12"	"0"	"11"	"7"	"8"	"51"	"114"	"312"	"8"	"51"	"114"	"20"	"699"	"NIL"	"699"	"0"
"85"	"63"	"28"	"126"	"25"	"7"	"5"	"15"	"36"	"17"	"46"	"298"	"36"	"17"	"46"	"28"	"668"	"NIL"	"668"	"0"
"86"	"64"	"46"	"40"	"7"	"3"	"2"	"2"	"8"	"12"	"209"	"266"	"8"	"12"	"209"	"19"	"656"	"NIL"	"656"	"0"
"87"	"65"	"31"	"10"	"28"	"2"	"4"	"4"	"10"	"16"	"123"	"153"	"10"	"16"	"123"	"19"	"446"	"NIL"	"446"	"0"
"88"	"66"	"17"	"55"	"7"	"2"	"3"	"64"	"7"	"29"	"65"	"486"	"7"	"29"	"65"	"19"	"797"	"NIL"	"797"	"0"
"89"	"67"	"7"	"104"	"7"	"2"	"7"	"2"	"7"	"5"	"61"	"141"	"7"	"5"	"61"	"14"	"387"	"NIL"	"387"	"0"
"90"	"68"	"23"	"321"	"21"	"1"	"3"	"2"	"0"	"4"	"77"	"126"	"0"	"4"	"77"	"36"	"674"	"NIL"	"674"	"0"
"91"	"69"	"26"	"225"	"18"	"5"	"5"	"4"	"1"	"12"	"35"	"249"	"1"	"12"	"35"	"29"	"631"	"NIL"	"631"	"0"
"92"	"70"	"38"	"283"	"12"	"1"	"6"	"0"	"4"	"8"	"1"	"143"	"4"	"8"	"1"	"13"	"523"	"NIL"	"523"	"0"
"93"	"Total..."	"2007"	"4002"	"1183"	"317"	"394"	"3785"	"800"	"862"	"9761"	"11868"	"800"	"862"	"9761"	"1843"	"39198"	"NIL"	"39198"	"0"
"94"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"95"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"96"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"97"	"Total..."	"2007"	"4002"	"1183"	"317"	"394"	"3785"	"800"	"862"	"9761"	"11868"	"800"	"862"	"9761"	"1843"	"39198"	"NIL"	"39198"	"0"
"98"	"71"	"14"	"451"	"33"	"7"	"8"	"6"	"9"	"7"	"43"	"30"	"9"	"7"	"43"	"5"	"628"	"NIL"	"628"	"0"
"99"	"72"	"46"	"645"	"19"	"8"	"8"	"1"	"3"	"2"	"3"	"37"	"3"	"2"	"3"	"15"	"807"	"NIL"	"807"	"0"
"100"	"73"	"60"	"255"	"32"	"7"	"9"	"53"	"4"	"4"	"139"	"61"	"4"	"4"	"139"	"6"	"645"	"NIL"	"645"	"0"
"101"	"74"	"11"	"308"	"15"	"5"	"1"	"1"	"2"	"0"	"5"	"60"	"2"	"0"	"5"	"5"	"426"	"NIL"	"426"	"0"
"102"	"75"	"18"	"183"	"13"	"2"	"3"	"3"	"7"	"13"	"12"	"208"	"7"	"13"	"12"	"24"	"523"	"NIL"	"523"	"0"
"103"	"76"	"45"	"126"	"11"	"3"	"6"	"1"	"8"	"22"	"10"	"233"	"8"	"22"	"10"	"22"	"501"	"NIL"	"501"	"0"
"104"	"77"	"11"	"176"	"5"	"7"	"1"	"1"	"2"	"1"	"2"	"29"	"2"	"1"	"2"	"10"	"254"	"NIL"	"254"	"0"
"105"	"78"	"17"	"416"	"11"	"6"	"1"	"0"	"5"	"0"	"5"	"35"	"5"	"0"	"5"	"12"	"520"	"NIL"	"520"	"0"
"106"	"79"	"14"	"325"	"9"	"8"	"4"	"1"	"3"	"6"	"6"	"141"	"3"	"6"	"6"	"21"	"545"	"NIL"	"545"	"0"
"107"	"80"	"33"	"667"	"20"	"3"	"7"	"1"	"6"	"6"	"10"	"88"	"6"	"6"	"10"	"10"	"865"	"NIL"	"865"	"0"
"108"	"81"	"20"	"442"	"20"	"9"	"3"	"2"	"4"	"6"	"16"	"64"	"4"	"6"	"16"	"4"	"598"	"NIL"	"598"	"0"
"109"	"82"	"22"	"350"	"21"	"5"	"3"	"2"	"2"	"11"	"20"	"265"	"2"	"11"	"20"	"22"	"751"	"NIL"	"751"	"0"
"110"	"83"	"5"	"52"	"4"	"4"	"6"	"2"	"6"	"14"	"9"	"410"	"6"	"14"	"9"	"12"	"550"	"NIL"	"550"	"0"
"111"	"84"	"7"	"44"	"5"	"2"	"10"	"2"	"0"	"9"	"10"	"308"	"0"	"9"	"10"	"19"	"445"	"NIL"	"445"	"0"
"112"	"Total..."	"2330"	"8442"	"1401"	"393"	"464"	"3861"	"861"	"963"	"10051"	"13837"	"861"	"963"	"10051"	"2030"	"47256"	"NIL"	"47256"	"0"
"113"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"114"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"116"	"Total..."	"2330"	"8442"	"1401"	"393"	"464"	"3861"	"861"	"963"	"10051"	"13837"	"861"	"963"	"10051"	"2030"	"47256"	"NIL"	"47256"	"0"
"117"	"85"	"7"	"99"	"3"	"3"	"2"	"3"	"7"	"14"	"9"	"336"	"7"	"14"	"9"	"23"	"542"	"NIL"	"542"	"0"
"118"	"86"	"12"	"50"	"34"	"12"	"18"	"5"	"46"	"20"	"38"	"245"	"46"	"20"	"38"	"33"	"549"	"NIL"	"549"	"0"
"119"	"87"	"20"	"14"	"28"	"14"	"37"	"4"	"103"	"6"	"166"	"136"	"103"	"6"	"166"	"12"	"554"	"NIL"	"554"	"0"
"120"	"88"	"10"	"17"	"5"	"12"	"136"	"7"	"166"	"7"	"12"	"149"	"166"	"7"	"12"	"28"	"564"	"NIL"	"564"	"0"
"121"	"89"	"6"	"30"	"9"	"11"	"18"	"5"	"60"	"14"	"160"	"300"	"60"	"14"	"160"	"24"	"652"	"NIL"	"652"	"0"
"122"	"90"	"11"	"25"	"0"	"3"	"40"	"2"	"37"	"13"	"4"	"229"	"37"	"13"	"4"	"14"	"392"	"NIL"	"392"	"0"
"123"	"91"	"18"	"9"	"15"	"8"	"64"	"0"	"49"	"12"	"4"	"259"	"49"	"12"	"4"	"16"	"465"	"NIL"	"465"	"0"
"124"	"92"	"18"	"46"	"2"	"9"	"57"	"9"	"107"	"15"	"10"	"395"	"107"	"15"	"10"	"25"	"727"	"NIL"	"727"	"0"
"125"	"93"	"9"	"29"	"4"	"12"	"464"	"9"	"6"	"3"	"1"	"110"	"6"	"3"	"1"	"13"	"675"	"NIL"	"675"	"0"
"126"	"94"	"7"	"23"	"3"	"9"	"31"	"1"	"11"	"9"	"7"	"163"	"11"	"9"	"7"	"10"	"281"	"NIL"	"281"	"0"
"127"	"95"	"15"	"41"	"10"	"3"	"91"	"7"	"19"	"8"	"6"	"238"	"19"	"8"	"6"	"14"	"465"	"NIL"	"465"	"0"
"128"	"96"	"7"	"148"	"18"	"7"	"15"	"5"	"90"	"7"	"41"	"151"	"90"	"7"	"41"	"13"	"527"	"NIL"	"527"	"0"
"129"	"97"	"6"	"41"	"14"	"4"	"9"	"4"	"64"	"8"	"11"	"197"	"64"	"8"	"11"	"30"	"415"	"NIL"	"415"	"0"
"130"	"98"	"3"	"82"	"7"	"0"	"26"	"1"	"36"	"3"	"1"	"96"	"36"	"3"	"1"	"5"	"262"	"NIL"	"262"	"0"
"131"	"Total..."	"2479"	"9096"	"1553"	"500"	"1472"	"3923"	"1662"	"1102"	"10521"	"16841"	"1662"	"1102"	"10521"	"2290"	"54326"	"NIL"	"54326"	"0"
"132"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
"133"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"135"	"Total..."	"2479"	"9096"	"1553"	"500"	"1472"	"3923"	"1662"	"1102"	"10521"	"16841"	"1662"	"1102"	"10521"	"2290"	"54326"	"NIL"	"54326"	"0"
"136"	"99"	"18"	"107"	"5"	"12"	"46"	"4"	"71"	"10"	"4"	"92"	"71"	"10"	"4"	"7"	"383"	"NIL"	"383"	"0"
"137"	"100"	"#REF!"	"5"	"32"	"14"	"2"	"5"	"2"	"1"	"1"	"11"	"2"	"1"	"1"	"98"	"314"	"NIL"	"314"	"0"
"138"	"101"	"17"	"36"	"1"	"9"	"6"	"1"	"17"	"16"	"7"	"261"	"17"	"16"	"7"	"21"	"402"	"NIL"	"402"	"0"
"139"	"102"	"18"	"80"	"2"	"20"	"5"	"2"	"11"	"10"	"2"	"199"	"11"	"10"	"2"	"15"	"375"	"NIL"	"375"	"0"
"140"	"103"	"13"	"102"	"33"	"4"	"37"	"2"	"22"	"12"	"2"	"178"	"22"	"12"	"2"	"9"	"426"	"NIL"	"426"	"0"
"141"	"104"	"#REF!"	"#REF!"	"18"	"64"	"8"	"3"	"15"	"3"	"23"	"18"	"15"	"3"	"23"	"19"	"660"	"NIL"	"660"	"0"
"142"	"105"	"7"	"33"	"13"	"24"	"10"	"1"	"18"	"20"	"9"	"371"	"18"	"20"	"9"	"18"	"550"	"NIL"	"550"	"0"
"143"	"106"	"14"	"110"	"10"	"23"	"12"	"3"	"14"	"5"	"15"	"228"	"14"	"5"	"15"	"24"	"593"	"NIL"	"593"	"0"
"144"	"107"	"15"	"24"	"5"	"7"	"8"	"1"	"17"	"15"	"4"	"284"	"17"	"15"	"4"	"16"	"499"	"NIL"	"499"	"0"
"145"	"108"	"2"	"29"	"15"	"2"	"4"	"1"	"14"	"2"	"1"	"60"	"14"	"2"	"1"	"9"	"211"	"NIL"	"211"	"0"
"146"	"109"	"#REF!"	"13"	"28"	"10"	"3"	"4"	"2"	"1"	"8"	"14"	"2"	"1"	"8"	"175"	"507"	"NIL"	"507"	"0"
"147"	"110"	"7"	"13"	"13"	"4"	"4"	"3"	"17"	"7"	"49"	"24"	"17"	"7"	"49"	"30"	"550"	"NIL"	"550"	"0"
"148"	"111"	"30"	"21"	"18"	"4"	"7"	"2"	"47"	"21"	"37"	"211"	"47"	"21"	"37"	"28"	"702"	"NIL"	"702"	"0"
"149"	"112"	"7"	"19"	"6"	"2"	"3"	"0"	"12"	"5"	"10"	"231"	"12"	"5"	"10"	"14"	"376"	"NIL"	"376"	"0"
"150"	"Total..."	"2663"	"9794"	"1706"	"619"	"1638"	"3950"	"1947"	"1252"	"10692"	"19747"	"1947"	"1252"	"10692"	"2552"	"60874"	"NIL"	"60874"	"0"
"151"	"Sl No. of Polling Station"	"No of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"Number of rejected votes"	"TOTAL"	"No. of tendered votes"
