"Total.No..of.Electors.in.Assembly.Constituency...Segment...........237798"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"15"	"4"	"PRIMARY SCHOOL RAMCHANDRA SAMERIYA"	"4"	"473"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"479"	"0"	"479"	"0"
"16"	"5"	"MIDDLE SCHOOL LALOO KA DERA(EAST PART)"	"634"	"9"	"7"	"1"	"14"	"177"	"12"	"4"	"8"	"6"	"6"	"23"	"901"	"0"	"901"	"0"
"17"	"6"	"MIDDEL SCHOOL LALOO KA DERA (WEST PART)"	"630"	"7"	"11"	"4"	"29"	"217"	"16"	"5"	"32"	"6"	"11"	"24"	"992"	"0"	"992"	"0"
"18"	"7"	"PRIMARY SCHOOL MARCHIYA"	"622"	"108"	"2"	"0"	"2"	"115"	"4"	"0"	"8"	"2"	"1"	"1"	"865"	"0"	"865"	"0"
"19"	"8"	"PRIMARY SCHOOL MADHOPUR"	"32"	"296"	"1"	"0"	"2"	"27"	"0"	"0"	"11"	"2"	"4"	"6"	"381"	"0"	"381"	"0"
"20"	"9"	"PRIMARY SCHOOL KARIMAN KA DERA"	"17"	"426"	"0"	"1"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"21"	"10"	"PRIMARY SCHOOL SOHNBARSA"	"889"	"2"	"1"	"0"	"1"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"901"	"0"	"901"	"0"
"22"	"11"	"MIDDLE SCHOOL SONEBARSA(EAST PART)"	"590"	"1"	"0"	"0"	"7"	"16"	"0"	"0"	"0"	"3"	"4"	"0"	"621"	"0"	"621"	"0"
"23"	"12"	"MEDDIL SCHOOL SONEWEARSA WEST PART"	"455"	"0"	"1"	"0"	"11"	"17"	"0"	"0"	"0"	"14"	"3"	"0"	"501"	"0"	"501"	"0"
"24"	"13"	"PRIMARY SCHOOL PERSODA"	"560"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"1"	"3"	"67"	"2"	"639"	"0"	"639"	"0"
"25"	"14"	"SRINATH TAHKUR KI BRAMDA PER"	"39"	"140"	"2"	"3"	"58"	"29"	"4"	"2"	"1"	"2"	"0"	"2"	"282"	"0"	"282"	"0"
"26"	"15"	"PRIMARY  SCHOOL BIHAMPATIE"	"27"	"575"	"1"	"0"	"32"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"640"	"0"	"640"	"0"
"27"	"16"	"PRIMARY SCHOOL DHERMAGATPUR"	"354"	"103"	"23"	"6"	"30"	"10"	"6"	"4"	"3"	"1"	"3"	"8"	"551"	"0"	"551"	"0"
"28"	"17"	"PRIMARY SCHOOL BANSHIPUR"	"91"	"568"	"2"	"1"	"53"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"723"	"0"	"723"	"0"
"29"	"18"	"HIGH SCHOOL KARNAMAPUR(NORTH PART)"	"203"	"115"	"2"	"0"	"56"	"57"	"2"	"1"	"5"	"7"	"3"	"6"	"457"	"0"	"457"	"0"
"30"	"19"	"HIGH SCHOOL KARNAMEPUR MIDDLE PART"	"150"	"35"	"2"	"0"	"92"	"111"	"1"	"1"	"1"	"1"	"0"	"0"	"394"	"0"	"394"	"0"
"31"	"20"	"HIGH SCHOOL KARNAMEPUR SOUTH PEAT"	"114"	"45"	"2"	"3"	"42"	"97"	"9"	"2"	"4"	"2"	"3"	"5"	"328"	"0"	"328"	"0"
"32"	"21"	"GOUTAM HIGH SCHOOL KHUTHA(NORTH PART)"	"68"	"64"	"1"	"1"	"6"	"57"	"3"	"0"	"0"	"2"	"5"	"2"	"209"	"0"	"209"	"0"
"33"	"22"	"GOTAM HIGH SCHOOL KHUTHA(SOUTH PART)"	"33"	"83"	"5"	"2"	"5"	"39"	"2"	"1"	"3"	"1"	"3"	"2"	"179"	"0"	"179"	"0"
"34"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"35"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"37"	"23"	"PRIMARY SCHOOL DALAN CHEPRA"	"77"	"147"	"0"	"1"	"119"	"49"	"2"	"1"	"3"	"0"	"2"	"2"	"403"	"0"	"403"	"0"
"38"	"24"	"PRIMARY SCHOOL BHAHUDRI NORTH PART"	"122"	"66"	"2"	"1"	"89"	"22"	"7"	"2"	"0"	"4"	"6"	"8"	"329"	"0"	"329"	"0"
"39"	"25"	"PRIMARY SCHOOL BAHODRI(SOUTH PART)"	"62"	"135"	"69"	"6"	"98"	"33"	"15"	"5"	"6"	"3"	"13"	"11"	"456"	"0"	"456"	"0"
"40"	"26"	"PRIMARY SCHOOL BAHODRI (EAST PART)"	"93"	"72"	"95"	"7"	"59"	"7"	"11"	"0"	"5"	"2"	"4"	"0"	"355"	"0"	"355"	"0"
"41"	"27"	"SAMUDHAY BHAWAN MAHUAR"	"10"	"1"	"1"	"1"	"23"	"92"	"298"	"0"	"26"	"2"	"0"	"4"	"458"	"0"	"458"	"0"
"42"	"28"	"NAYA SAMUDAYIK BHAWAN MAHUAR"	"74"	"6"	"3"	"0"	"16"	"65"	"66"	"0"	"1"	"2"	"4"	"7"	"244"	"0"	"244"	"0"
"43"	"29"	"PRIMARY SCHOOL RAMDATIY NORTH PART"	"77"	"68"	"1"	"4"	"76"	"262"	"12"	"2"	"2"	"4"	"3"	"12"	"523"	"0"	"523"	"0"
"44"	"30"	"PRIMARY SCHOOL RAMDATI(SOUTH PART)"	"20"	"69"	"0"	"1"	"6"	"306"	"12"	"0"	"1"	"1"	"3"	"9"	"428"	"0"	"428"	"0"
"45"	"31"	"PANCHYT BHAWAN SARNA"	"198"	"32"	"1"	"1"	"209"	"34"	"6"	"1"	"19"	"3"	"2"	"8"	"514"	"0"	"514"	"0"
"46"	"32"	"MIDDLE SCHOOL SARNA (EAST PART)"	"107"	"15"	"0"	"0"	"166"	"17"	"5"	"0"	"3"	"2"	"0"	"2"	"317"	"0"	"317"	"0"
"47"	"33"	"MIDDLE SCHOOL SARNA (WEST PART)"	"264"	"44"	"30"	"6"	"99"	"45"	"6"	"3"	"19"	"8"	"7"	"2"	"533"	"0"	"533"	"0"
"48"	"34"	"PRIMARY SCHOOL TEKKATI"	"73"	"58"	"8"	"4"	"170"	"7"	"16"	"7"	"9"	"7"	"4"	"18"	"381"	"0"	"381"	"0"
"49"	"35"	"MIDDLE SCHOOL MAHRJA"	"13"	"7"	"1"	"1"	"775"	"3"	"2"	"0"	"3"	"2"	"3"	"2"	"812"	"0"	"812"	"0"
"50"	"36"	"HIGH SCHOOL BHAROULI(EAST PART)"	"270"	"93"	"5"	"4"	"26"	"53"	"3"	"5"	"14"	"8"	"8"	"16"	"505"	"0"	"505"	"0"
"51"	"37"	"HIGH SCHOOL BHAROULI WEST PART"	"231"	"71"	"30"	"10"	"45"	"58"	"4"	"2"	"3"	"0"	"8"	"5"	"467"	"0"	"467"	"0"
"52"	"38"	"MIDDLE SCHOOL BHAROULI"	"375"	"96"	"6"	"4"	"39"	"56"	"7"	"3"	"5"	"2"	"1"	"4"	"598"	"0"	"598"	"0"
"53"	"39"	"PRIMARY SCHOOL SHAJOOLI"	"120"	"98"	"69"	"6"	"73"	"2"	"22"	"3"	"10"	"11"	"23"	"10"	"447"	"0"	"447"	"0"
"54"	"40"	"PRIMARY SCHOOL LELARI"	"65"	"247"	"1"	"0"	"98"	"4"	"4"	"1"	"2"	"3"	"1"	"2"	"428"	"0"	"428"	"0"
"55"	"41"	"PRIMARY SCHOOL GOPALPUR (NORTH PART),RATANPU"	"36"	"48"	"2"	"0"	"259"	"19"	"6"	"0"	"5"	"2"	"0"	"3"	"380"	"0"	"380"	"0"
"56"	"42"	"HIGH SCHOOL SAJOOLI"	"147"	"489"	"1"	"1"	"18"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"661"	"0"	"661"	"0"
"57"	"43"	"MIDDLE SCHOOL SAJOOLI(SOUTH PART)"	"127"	"93"	"33"	"0"	"43"	"2"	"0"	"2"	"1"	"5"	"3"	"6"	"315"	"0"	"315"	"0"
"58"	"44"	"PRIMARY SCHOOL MISHRAWALIYA"	"86"	"101"	"1"	"2"	"59"	"3"	"0"	"1"	"4"	"3"	"14"	"4"	"278"	"0"	"278"	"0"
"59"	"45"	"PRIMARY GIRLS SCHOOL DUMARIYAN"	"150"	"37"	"5"	"0"	"187"	"13"	"5"	"3"	"14"	"0"	"3"	"4"	"421"	"0"	"421"	"0"
"60"	"46"	"PRIMARY SCHOOL HORIL CHHAPRA(NORTH PART)"	"203"	"3"	"3"	"3"	"90"	"6"	"1"	"1"	"4"	"2"	"0"	"3"	"319"	"0"	"319"	"0"
"61"	"47"	"PRIMARY SCHOOL HORIL CHHAPRA(SOUTH PART)"	"199"	"13"	"13"	"0"	"122"	"7"	"1"	"2"	"5"	"2"	"4"	"5"	"373"	"0"	"373"	"0"
"62"	"48"	"PANCHAYT BHAWAN SUHIAYA"	"70"	"51"	"19"	"1"	"421"	"4"	"4"	"3"	"3"	"0"	"7"	"1"	"584"	"0"	"584"	"0"
"63"	"49"	"PRIMARY SCHOOL SONKI"	"75"	"143"	"17"	"0"	"125"	"3"	"10"	"1"	"8"	"2"	"3"	"1"	"388"	"0"	"388"	"0"
"64"	"50"	"MIDDLE SCHOOL SUHIYA"	"552"	"32"	"0"	"1"	"37"	"7"	"0"	"1"	"34"	"2"	"1"	"2"	"669"	"0"	"669"	"0"
"65"	"51"	"PRIMARY SCHOOL SOHIYA"	"249"	"7"	"2"	"0"	"64"	"8"	"3"	"6"	"182"	"8"	"1"	"3"	"533"	"0"	"533"	"0"
"66"	"52"	"MIDDLE SCHOOL JAWINYA (EAST PART)"	"82"	"103"	"8"	"0"	"53"	"5"	"8"	"1"	"20"	"4"	"7"	"17"	"308"	"0"	"308"	"0"
"67"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"68"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"69"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"70"	"53"	"MIDDLE SCHOOL JAWINYA (WEST PART)"	"95"	"131"	"4"	"3"	"25"	"4"	"6"	"4"	"30"	"6"	"6"	"11"	"325"	"0"	"325"	"0"
"71"	"54"	"PRIMARY SCHOOL DAMODARPUR (NEW)"	"88"	"150"	"4"	"6"	"140"	"6"	"5"	"5"	"73"	"10"	"12"	"17"	"516"	"0"	"516"	"0"
"72"	"55"	"PRIMARY SCHOOL DAMODARPUR(NEW)"	"214"	"13"	"15"	"5"	"212"	"13"	"16"	"4"	"33"	"5"	"12"	"21"	"563"	"0"	"563"	"0"
"73"	"56"	"PANCHYAT BHAWAN DAMODARPUR"	"140"	"11"	"14"	"8"	"93"	"4"	"4"	"5"	"19"	"0"	"10"	"5"	"313"	"0"	"313"	"0"
"74"	"57"	"PRIMARY SCHOOL HIRKHI PIPRA"	"232"	"40"	"2"	"2"	"42"	"5"	"4"	"1"	"4"	"5"	"20"	"21"	"378"	"0"	"378"	"0"
"75"	"58"	"PANCHYAT BHAWAN KHAHARA"	"17"	"26"	"0"	"1"	"126"	"1"	"3"	"0"	"54"	"2"	"3"	"2"	"235"	"0"	"235"	"0"
"76"	"59"	"PRIMARY SCHOOL GOVINDPUR"	"95"	"44"	"3"	"4"	"93"	"5"	"12"	"13"	"72"	"4"	"18"	"30"	"393"	"0"	"393"	"0"
"77"	"60"	"PRIMARY SCHOOL CHAMERPUR"	"16"	"15"	"0"	"2"	"799"	"4"	"6"	"0"	"48"	"0"	"1"	"0"	"891"	"0"	"891"	"0"
"78"	"61"	"MIDDLE SCHOOL BHAORANPUR(EAST PART),DHAMWAL"	"46"	"370"	"2"	"5"	"94"	"1"	"8"	"3"	"75"	"4"	"5"	"2"	"615"	"0"	"615"	"0"
"79"	"62"	"MIDDLE SCHOOL BAHORANPUR(WEST PART)"	"128"	"143"	"1"	"1"	"15"	"0"	"1"	"1"	"49"	"0"	"1"	"0"	"340"	"0"	"340"	"0"
"80"	"63"	"MIDDLE SCHOOL SAMARIYPATE (NORTH PART)"	"174"	"417"	"33"	"4"	"16"	"4"	"2"	"1"	"13"	"1"	"7"	"8"	"680"	"0"	"680"	"0"
"81"	"64"	"MIDDLE SCHOOL SAMARIYAPATE NAENEARMT BHAWAN"	"142"	"246"	"5"	"7"	"42"	"3"	"6"	"3"	"6"	"6"	"7"	"8"	"481"	"0"	"481"	"0"
"82"	"65"	"MIDDLE SCHOOL SAMARYPATE(SOUTH PART)"	"209"	"411"	"6"	"3"	"95"	"6"	"9"	"5"	"10"	"2"	"4"	"2"	"762"	"0"	"762"	"0"
"83"	"66"	"PRIMARY SCHOOL GHOSAIPUR"	"146"	"171"	"9"	"1"	"60"	"5"	"7"	"2"	"2"	"1"	"15"	"7"	"426"	"0"	"426"	"0"
"84"	"67"	"PRIMARY SCHOOL BARISWAN(NORTH PART)"	"88"	"38"	"85"	"4"	"188"	"13"	"11"	"3"	"9"	"9"	"6"	"8"	"462"	"0"	"462"	"0"
"85"	"68"	"PRIMARY SCHOOL BARISWAN (SOUTHERN PART)"	"186"	"28"	"25"	"0"	"159"	"1"	"2"	"1"	"1"	"1"	"5"	"4"	"413"	"0"	"413"	"0"
"86"	"69"	"MIDDLE SCHOOL BARISWAN"	"76"	"39"	"35"	"1"	"138"	"1"	"25"	"3"	"98"	"3"	"1"	"2"	"422"	"0"	"422"	"0"
"87"	"70"	"HIGH SCHOOL BARISAWAN(EAST PART)"	"74"	"191"	"31"	"3"	"166"	"1"	"7"	"0"	"17"	"2"	"9"	"1"	"502"	"0"	"502"	"0"
"88"	"71"	"HIGH SCHOOL BARISAWAN (WEST PART)"	"92"	"119"	"31"	"2"	"156"	"16"	"13"	"1"	"25"	"1"	"3"	"1"	"460"	"0"	"460"	"0"
"89"	"72"	"PRIMARY SCHOOL BEMARI (NORTH PART)"	"118"	"57"	"1"	"2"	"97"	"10"	"6"	"20"	"1"	"7"	"3"	"12"	"334"	"0"	"334"	"0"
"90"	"73"	"PRIMARY SCHOOL BIMARE SOUTH PART"	"198"	"12"	"2"	"1"	"14"	"2"	"4"	"1"	"17"	"1"	"3"	"6"	"261"	"0"	"261"	"0"
"91"	"74"	"PRIMARY SCHOOL GARIYA"	"194"	"235"	"19"	"3"	"114"	"3"	"2"	"2"	"2"	"0"	"1"	"7"	"582"	"0"	"582"	"0"
"92"	"75"	"PRIMARY SCHOOL HAHRIHARPUR"	"416"	"23"	"0"	"0"	"80"	"6"	"2"	"1"	"9"	"1"	"2"	"8"	"548"	"0"	"548"	"0"
"93"	"76"	"PRIMARY SCHOOL CHANDA"	"97"	"7"	"20"	"1"	"340"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"473"	"0"	"473"	"0"
"94"	"77"	"SAMUDAYIK BHAWAN CHANDA"	"105"	"29"	"21"	"0"	"213"	"0"	"3"	"0"	"5"	"0"	"0"	"0"	"376"	"0"	"376"	"0"
"95"	"78"	"PRIMARY SCHOOL PRUSOTAMPUR"	"90"	"56"	"1"	"8"	"86"	"3"	"41"	"13"	"114"	"17"	"7"	"8"	"444"	"0"	"444"	"0"
"96"	"79"	"PRIMARY SCHOOL SHARANGPUR"	"676"	"0"	"8"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"691"	"0"	"691"	"0"
"97"	"80"	"PRIMARY SCHOOL LACHHU TOLA (NORTH PART)"	"71"	"0"	"2"	"0"	"3"	"1"	"3"	"2"	"448"	"2"	"0"	"0"	"532"	"0"	"532"	"0"
"98"	"81"	"PRIMARY SCHOOL LACHUTOLA(SOUTH PART)"	"50"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"175"	"2"	"1"	"0"	"230"	"0"	"230"	"0"
"99"	"82"	"MUNINATH ROY KA DERA NORTH PART"	"60"	"161"	"3"	"0"	"81"	"0"	"1"	"1"	"3"	"0"	"1"	"3"	"314"	"0"	"314"	"0"
"100"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"101"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"103"	"83"	"MUNINATH RAY KA DERA (SOUTH PART)"	"57"	"91"	"0"	"2"	"67"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"223"	"0"	"223"	"0"
"104"	"84"	"PRIMARY SCHOOL NARGADA"	"86"	"95"	"14"	"0"	"91"	"5"	"8"	"1"	"42"	"2"	"1"	"5"	"350"	"0"	"350"	"0"
"105"	"85"	"HIGH SCHOOL BILOTI (EAST PART)"	"154"	"368"	"5"	"0"	"40"	"0"	"1"	"1"	"2"	"2"	"10"	"2"	"585"	"0"	"585"	"0"
"106"	"86"	"HIHG SCHOOL BELOTI(WEST PART)"	"224"	"160"	"3"	"3"	"63"	"2"	"1"	"0"	"12"	"7"	"9"	"14"	"498"	"0"	"498"	"0"
"107"	"87"	"MIDDLE SCHOOL BILAUTI"	"300"	"243"	"27"	"4"	"155"	"9"	"4"	"3"	"13"	"1"	"4"	"4"	"767"	"0"	"767"	"0"
"108"	"88"	"PRIMARY SCHOOL RANDADIH"	"133"	"1"	"0"	"0"	"98"	"13"	"2"	"2"	"22"	"0"	"4"	"1"	"276"	"0"	"276"	"0"
"109"	"89"	"HIGH SCHOOL SHAPUR (EAST PART)"	"316"	"52"	"176"	"6"	"104"	"16"	"10"	"5"	"6"	"7"	"54"	"12"	"764"	"0"	"764"	"0"
"110"	"90"	"HIHG SCHOOL SHAPUR (WEST PART)"	"181"	"50"	"3"	"3"	"99"	"12"	"13"	"6"	"8"	"6"	"125"	"11"	"517"	"0"	"517"	"0"
"111"	"91"	"PRIMARY SCHOOL SHAPUR (NORTH PART)"	"132"	"104"	"3"	"1"	"37"	"5"	"5"	"1"	"2"	"8"	"164"	"12"	"474"	"0"	"474"	"0"
"112"	"92"	"MIDDLE SCHOOL SHAPUR (SOUTH PART)"	"86"	"135"	"5"	"0"	"180"	"6"	"3"	"2"	"3"	"1"	"65"	"5"	"491"	"0"	"491"	"0"
"113"	"93"	"SHAKARITA GODAM PARKHAND KARYALYA (EAST PART)"	"144"	"47"	"0"	"1"	"141"	"1"	"14"	"9"	"5"	"14"	"223"	"21"	"620"	"0"	"620"	"0"
"114"	"94"	"SHAKARITA GODAM PARKHAND KARYALA (WEST PART)"	"254"	"68"	"38"	"8"	"207"	"22"	"14"	"7"	"24"	"7"	"46"	"11"	"706"	"0"	"706"	"0"
"115"	"95"	"TRISAM TRAINING CENTRE SHAPUR PARKHAD KE  PRAG"	"164"	"66"	"5"	"3"	"150"	"21"	"18"	"12"	"9"	"10"	"71"	"21"	"550"	"0"	"550"	"0"
"116"	"96"	"PRIMARY SCHOOL GOPALPUR  RATANPUR (SOUTH PAR"	"268"	"154"	"8"	"0"	"50"	"7"	"1"	"0"	"1"	"1"	"3"	"3"	"496"	"0"	"496"	"0"
"117"	"97"	"PRIMARY SCHOOL SHAJOLI (EAST PART)"	"36"	"56"	"2"	"3"	"90"	"3"	"6"	"0"	"8"	"5"	"8"	"5"	"222"	"0"	"222"	"0"
"118"	"98"	"PRIMARY SCHOOL SHAJOLI (WEST PART)"	"152"	"11"	"4"	"1"	"54"	"85"	"6"	"1"	"34"	"2"	"6"	"7"	"363"	"0"	"363"	"0"
"119"	"99"	"PRIMARY SCHOOL GAUDARH"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"120"	"100"	"MIDDLE SCHOOL RUDRANAGAR (NORTH PART)"	"166"	"26"	"7"	"5"	"81"	"44"	"9"	"8"	"7"	"4"	"7"	"13"	"377"	"0"	"377"	"0"
"121"	"101"	"MIDDLE SCHOOL RUDRANAGAR (SOUTH PART)"	"104"	"14"	"42"	"4"	"252"	"30"	"10"	"4"	"7"	"7"	"16"	"20"	"510"	"0"	"510"	"0"
"122"	"102"	"PRIMARY SCHOOL BANAHI"	"155"	"114"	"7"	"24"	"97"	"14"	"16"	"6"	"4"	"11"	"17"	"17"	"482"	"0"	"482"	"0"
"123"	"103"	"PRIMARY SCHOOL BIRPUR (EAST PART)"	"65"	"32"	"19"	"1"	"182"	"8"	"11"	"7"	"2"	"2"	"9"	"18"	"356"	"0"	"356"	"0"
"124"	"104"	"PRIMARY SCHOOL BIRPUR (WEST PART)"	"97"	"29"	"2"	"1"	"51"	"2"	"7"	"4"	"6"	"4"	"6"	"19"	"228"	"0"	"228"	"0"
"125"	"105"	"PRIMARY SCHOOL ETWA"	"87"	"39"	"3"	"2"	"94"	"7"	"8"	"7"	"49"	"3"	"7"	"5"	"311"	"0"	"311"	"0"
"126"	"106"	"PRIMARY SCHOOL KANAILY"	"292"	"41"	"11"	"4"	"168"	"9"	"4"	"0"	"0"	"7"	"25"	"10"	"571"	"0"	"571"	"0"
"127"	"107"	"PRIMARY SCHOOL SHIVPUR"	"283"	"45"	"115"	"9"	"140"	"6"	"11"	"3"	"8"	"10"	"6"	"27"	"663"	"0"	"663"	"0"
"128"	"108"	"PRIMARY SCHOOL SHAHODIH"	"112"	"109"	"12"	"3"	"190"	"6"	"12"	"8"	"5"	"4"	"16"	"15"	"492"	"0"	"492"	"0"
"129"	"109"	"PRIMARY SCHOOL BHERIYA"	"47"	"4"	"0"	"3"	"295"	"20"	"0"	"4"	"32"	"2"	"4"	"4"	"415"	"0"	"415"	"0"
"130"	"110"	"MIDDLE  SCHOOL RANISAGAR (NORTH PART)"	"151"	"9"	"0"	"0"	"58"	"4"	"3"	"1"	"19"	"2"	"3"	"2"	"252"	"0"	"252"	"0"
"131"	"111"	"MIDDLE SCHOOL RANISAGAR (SOUTH PART)"	"57"	"49"	"2"	"0"	"192"	"6"	"12"	"4"	"3"	"3"	"8"	"13"	"349"	"0"	"349"	"0"
"132"	"112"	"MIDDLE SCHOOL RANISAGAR (NORTH EAST CHHOR KA"	"161"	"3"	"1"	"1"	"234"	"7"	"15"	"2"	"5"	"6"	"4"	"9"	"448"	"0"	"448"	"0"
"133"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"134"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"135"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"136"	"113"	"SAMUDAYIK BHAWAN RANISAGAR"	"73"	"14"	"2"	"4"	"350"	"12"	"21"	"7"	"4"	"3"	"11"	"6"	"507"	"0"	"507"	"0"
"137"	"114"	"MIDDLE SCHOOL KUNDESAR (SOUTH PART)"	"283"	"62"	"25"	"5"	"127"	"2"	"5"	"4"	"0"	"5"	"7"	"22"	"547"	"0"	"547"	"0"
"138"	"115"	"MIDDLE SCHOOL KUNDENCAR(NORTH PART)"	"88"	"67"	"1"	"1"	"214"	"3"	"1"	"0"	"0"	"2"	"8"	"1"	"386"	"0"	"386"	"0"
