"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"11"	"4"	"391"	""	""	"31"	""	""	"98"	""	""	""	"31"	""	""	""	""	"14"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"10"	""	""	""	""	""	"17"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"616"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"616"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	"290"	""	""	"16"	""	""	"43"	""	""	""	"27"	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	"163"	""	""	"38"	""	""	"84"	""	""	""	"3"	""	""	""	""	"64"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"389"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"7"	"219"	""	""	"27"	""	""	"74"	""	""	""	"10"	""	""	""	""	"141"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"63"	""	""	""	""	""	"17"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"8"	"166"	""	""	"48"	""	""	"93"	""	""	""	"53"	""	""	""	""	"25"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	""	"15"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"451"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"451"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"16"	"9"	"202"	""	""	"131"	""	""	"219"	""	""	""	"15"	""	""	""	""	"12"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"21"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"10"	"199"	""	""	"69"	""	""	"91"	""	""	""	"76"	""	""	""	""	"58"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"22"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	"586"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"586"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"11"	"139"	""	""	"15"	""	""	"52"	""	""	""	"10"	""	""	""	""	"23"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"12"	"107"	""	""	"25"	""	""	"35"	""	""	""	"33"	""	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"12(Ka)"	"80"	""	""	"6"	""	""	"34"	""	""	""	"18"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"157"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"157"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"13"	"128"	""	""	"11"	""	""	"38"	""	""	""	"96"	""	""	""	""	"30"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	""	""	"78"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	"2647"	""	""	"488"	""	""	"1104"	""	""	""	"574"	""	""	""	""	"780"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"96"	""	""	""	""	""	""	""	"30"	""	""	""	""	""	"139"	""	""	""	""	""	"162"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	"83"	""	""	""	""	""	""	""	"43"	""	""	""	""	""	""	"83"	""	""	""	""	""	""	""	""	"6508"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date     27-02-2005                                                                                                                                                                                                    Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"of"	"PREM KUMAR"	""	"DR. BHIM SINGH YADAV"	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"13(Ka)"	"142"	""	"19"	""	""	"26"	""	""	""	"15"	""	""	""	""	"9"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"14"	"180"	""	"10"	""	""	"24"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"14(Ka)"	"180"	""	"12"	""	""	"5"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"44"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"15"	"296"	""	"22"	""	""	"86"	""	""	""	"13"	""	""	""	""	"24"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"16"	"207"	""	"13"	""	""	"16"	""	""	""	"14"	""	""	""	""	"13"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"17"	"201"	""	"29"	""	""	"86"	""	""	""	"16"	""	""	""	""	"44"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"459"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"18"	"153"	""	"23"	""	""	"330"	""	""	""	"18"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"19"	"160"	""	"20"	""	""	"157"	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"460"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"460"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"20"	"209"	""	"13"	""	""	"34"	""	""	""	"12"	""	""	""	""	"46"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"61"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"21"	"125"	""	"34"	""	""	"129"	""	""	""	"73"	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"22"	"232"	""	"46"	""	""	"92"	""	""	""	"41"	""	""	""	""	"14"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"23"	"51"	""	"25"	""	""	"329"	""	""	""	"8"	""	""	""	""	"54"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"524"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
