"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"173"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	"162"	53	157	9	215	14	8	18	12	6	-492
"175"	"163"	20	124	8	197	8	4	10	5	9	-385
"176"	"164"	4	17	77	235	14	8	5	1	3	-364
"177"	"165"	114	102	25	183	11	17	25	19	20	-516
"178"	"166"	75	117	101	165	20	21	12	13	14	-538
"179"	"167"	59	102	62	201	15	15	14	12	18	-498
"180"	"POSTAL"	0	0	0	0	0	0	0	0	0	0
"181"	"TOTAL"	-10176	-28791	-10410	-36755	-1916	-1295	-1875	-1718	-2077	-95013
"182"	"ROUND"	357	2319	454	3841	163	126	193	194	217	7864
"183"	"ROUND"	752	1478	546	3568	180	96	152	109	145	7026
"184"	"ROUND"	710	2370	704	2000	138	105	137	180	170	6514
"185"	"ROUND"	1474	1894	840	1056	106	87	106	154	171	5888
"186"	"ROUND"	1735	1607	1338	698	66	50	69	94	102	5759
"187"	"ROUND"	1058	1578	655	1947	73	49	71	58	97	5586
"188"	"ROUND"	865	930	718	1762	92	55	92	84	123	4721
"189"	"ROUND"	605	1658	756	1682	104	52	92	127	131	5207
"190"	"ROUND"	231	1315	227	2810	120	85	113	89	115	5105
"191"	"ROUND"	194	2488	781	2470	117	89	138	116	124	6517
"192"	"ROUND"	252	1220	346	2931	124	61	112	79	85	5210
"193"	"ROUND"	159	740	275	3624	132	89	121	53	120	5313
"194"	"ROUND"	177	1776	818	2482	109	65	117	70	91	5705
"195"	"ROUND"	247	3093	281	1180	41	26	41	53	45	5007
"196"	"ROUND"	478	1984	378	1601	105	86	106	106	132	4976
"197"	"ROUND"	551	1690	493	1807	159	100	126	90	135	5151
"198"	"ROUND"	331	651	800	1296	87	74	89	62	74	3464
