"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"13"	"1"	"P.S.YOGIYA (NORTH )"	"28"	"119"	"24"	"200"	"27"	"1"	"4"	"10"	"4"	"1"	"21"	"1"	"10"	"3"	"1"	"5"	"459"	"0"	"459"	"0"
"14"	"2"	"P.S.YOGIYA (SOUTH)"	"5"	"116"	"133"	"27"	"61"	"4"	"4"	"6"	"4"	"0"	"59"	"2"	"4"	"2"	"0"	"4"	"431"	"0"	"431"	"0"
"15"	"3"	"P.S. GAHRATHA KHURD"	"0"	"117"	"56"	"222"	"36"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"434"	"0"	"434"	"0"
"16"	"4"	"P.S. OJHWALIYA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17"	"5"	"P.S. KANTT(NORTH)"	"10"	"61"	"371"	"73"	"50"	"7"	"5"	"5"	"5"	"7"	"2"	"5"	"8"	"18"	"9"	"9"	"645"	"0"	"645"	"0"
"18"	"6"	"P.S. KANTT(SOUTH)"	"56"	"58"	"182"	"119"	"85"	"7"	"14"	"7"	"4"	"2"	"1"	"1"	"6"	"4"	"4"	"7"	"557"	"0"	"557"	"0"
"19"	"7"	"NEW PANCHAYET BHAWAN KANTT"	"4"	"70"	"235"	"99"	"66"	"7"	"14"	"6"	"3"	"1"	"1"	"0"	"3"	"6"	"3"	"5"	"523"	"0"	"523"	"0"
"20"	"8"	"M.S. BHARKHAR"	"19"	"320"	"41"	"253"	"3"	"2"	"31"	"11"	"3"	"4"	"1"	"0"	"3"	"2"	"9"	"0"	"702"	"0"	"702"	"0"
"21"	"9"	"P.S. RAHTHUA (WEST)"	"16"	"53"	"125"	"179"	"34"	"3"	"51"	"2"	"0"	"5"	"2"	"2"	"8"	"4"	"0"	"7"	"491"	"0"	"491"	"0"
"22"	"10"	"P.S. RAHTHUA (EAST)"	"2"	"44"	"37"	"125"	"40"	"2"	"132"	"3"	"2"	"7"	"85"	"2"	"0"	"3"	"0"	"9"	"493"	"0"	"493"	"0"
"23"	"11"	"P.S. RAGHUNATHPUR (WEST)"	"4"	"20"	"47"	"123"	"25"	"4"	"18"	"2"	"4"	"5"	"277"	"3"	"12"	"9"	"2"	"12"	"567"	"0"	"567"	"0"
"24"	"12"	"P.S. RAGHUNATHPUR (MIDDLE)"	"4"	"37"	"59"	"170"	"110"	"0"	"2"	"4"	"5"	"4"	"56"	"7"	"9"	"12"	"5"	"16"	"500"	"0"	"500"	"0"
"25"	"13"	"P.S. RAGHUNATHPUR (EAST)"	"46"	"147"	"47"	"192"	"91"	"6"	"6"	"7"	"15"	"11"	"28"	"7"	"25"	"12"	"9"	"12"	"661"	"0"	"661"	"0"
"26"	"14"	"KANAYA P.S. RAGHUNATHPUR"	"2"	"183"	"75"	"198"	"77"	"8"	"9"	"15"	"2"	"3"	"77"	"2"	"6"	"3"	"4"	"0"	"664"	"0"	"664"	"0"
"27"	"15"	"M.S. RAGHUNATHPUR (EAST)"	"15"	"42"	"137"	"160"	"260"	"8"	"38"	"2"	"6"	"6"	"61"	"4"	"5"	"7"	"6"	"6"	"763"	"0"	"763"	"0"
"28"	"16"	"P.S. BASWAR"	"9"	"132"	"156"	"140"	"17"	"1"	"6"	"7"	"2"	"1"	"60"	"0"	"4"	"5"	"4"	"0"	"544"	"0"	"544"	"0"
"29"	"17"	"P.S. PIPARADH"	"14"	"10"	"36"	"8"	"114"	"4"	"2"	"2"	"0"	"2"	"169"	"4"	"0"	"0"	"0"	"1"	"366"	"0"	"366"	"0"
"30"	"18"	"P.S. RAJPUR"	"12"	"109"	"28"	"100"	"60"	"2"	"10"	"4"	"4"	"4"	"142"	"2"	"9"	"22"	"3"	"10"	"521"	"0"	"521"	"0"
"31"	"19"	"P.S. POKHARAHAN DEVI TOLA"	"10"	"58"	"154"	"2"	"225"	"5"	"44"	"4"	"2"	"0"	"9"	"5"	"1"	"5"	"1"	"6"	"531"	"0"	"531"	"0"
"32"	"20"	"P.S. POKHARAHAN"	"5"	"27"	"105"	"5"	"229"	"2"	"6"	"2"	"2"	"3"	"93"	"5"	"0"	"2"	"0"	"4"	"490"	"0"	"490"	"0"
"33"	"21"	"SAMUDAYIK BHAWAN PHOKHARAHAN"	"5"	"87"	"6"	"13"	"63"	"3"	"208"	"4"	"1"	"11"	"91"	"0"	"0"	"1"	"1"	"4"	"498"	"0"	"498"	"0"
"34"	"22"	"P.S. AKODHI"	"0"	"12"	"10"	"22"	"27"	"1"	"13"	"2"	"3"	"216"	"10"	"0"	"0"	"0"	"2"	"0"	"318"	"0"	"318"	"0"
"35"	"23"	"P.S. KAITHI (EAST)"	"7"	"225"	"66"	"101"	"74"	"5"	"4"	"9"	"4"	"1"	"41"	"6"	"7"	"5"	"5"	"3"	"563"	"0"	"563"	"0"
"36"	"24"	"P.S. KAITHI(WEST)"	"5"	"199"	"75"	"88"	"44"	"1"	"1"	"5"	"3"	"1"	"10"	"1"	"6"	"4"	"7"	"4"	"454"	"0"	"454"	"0"
"37"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"38"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"39"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"41"	"25"	"KANAYA P.S. KAITHI"	"30"	"86"	"165"	"38"	"43"	"3"	"6"	"6"	"5"	"4"	"5"	"4"	"1"	"6"	"4"	"4"	"410"	"0"	"410"	"0"
"42"	"26"	"P.S. KAITHI TOLA MATHIYA"	"1"	"17"	"308"	"12"	"196"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"546"	"0"	"546"	"0"
"43"	"27"	"P.S. DHAROULI (WEST)"	"3"	"516"	"73"	"9"	"13"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"615"	"0"	"615"	"0"
"44"	"28"	"P.S. DHAROULI(EAST)"	"4"	"403"	"149"	"7"	"13"	"3"	"18"	"6"	"2"	"2"	"0"	"0"	"1"	"4"	"3"	"6"	"621"	"0"	"621"	"0"
"45"	"29"	"AMIR M.S. BAGEN(EAST)"	"4"	"102"	"108"	"86"	"30"	"8"	"105"	"6"	"4"	"5"	"30"	"7"	"8"	"13"	"16"	"22"	"554"	"0"	"554"	"0"
"46"	"30"	"PANCHAYET BHAWAN BAGEN"	"11"	"43"	"61"	"70"	"77"	"7"	"249"	"7"	"5"	"9"	"20"	"1"	"3"	"6"	"1"	"6"	"576"	"0"	"576"	"0"
"47"	"31"	"AMIR M.S. BAGEN(WEST)"	"7"	"114"	"68"	"56"	"49"	"3"	"50"	"9"	"6"	"1"	"25"	"2"	"10"	"6"	"4"	"12"	"422"	"0"	"422"	"0"
"48"	"32"	"P.S. BARUHAN NAYA BHAWAN"	"1"	"0"	"0"	"0"	"28"	"0"	"5"	"0"	"0"	"2"	"633"	"2"	"0"	"0"	"1"	"1"	"673"	"0"	"673"	"0"
"49"	"33"	"P.S. BARUHAN"	"1"	"1"	"7"	"2"	"101"	"0"	"40"	"2"	"1"	"1"	"471"	"2"	"1"	"0"	"0"	"1"	"631"	"0"	"631"	"0"
"50"	"34"	"P.S. KURUTHIYAN"	"10"	"79"	"138"	"43"	"1"	"1"	"11"	"2"	"2"	"7"	"102"	"1"	"5"	"3"	"4"	"9"	"418"	"0"	"418"	"0"
"51"	"35"	"P.S. RAMDIHA"	"1"	"18"	"19"	"2"	"473"	"4"	"14"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"537"	"0"	"537"	"0"
"52"	"36"	"M.S. BHADWAR (SOUTH)"	"9"	"85"	"24"	"13"	"2"	"1"	"3"	"6"	"1"	"0"	"227"	"2"	"1"	"0"	"0"	"2"	"376"	"0"	"376"	"0"
"53"	"37"	"M.S. BHADWAR (NORTH)"	"2"	"143"	"5"	"141"	"5"	"1"	"3"	"4"	"5"	"8"	"155"	"1"	"4"	"4"	"1"	"4"	"486"	"0"	"486"	"0"
"54"	"38"	"PANCHAYET BHAWAN BHADWAR"	"1"	"176"	"8"	"170"	"19"	"3"	"5"	"3"	"2"	"3"	"9"	"1"	"4"	"4"	"2"	"8"	"418"	"0"	"418"	"0"
"55"	"39"	"SAMUDAYIK BHAWAN BHADWAR"	"19"	"51"	"5"	"135"	"4"	"5"	"320"	"3"	"2"	"2"	"25"	"0"	"1"	"0"	"0"	"0"	"572"	"0"	"572"	"0"
"56"	"40"	"P.S. GHANSHYAMPUR"	"2"	"113"	"30"	"123"	"26"	"2"	"9"	"7"	"3"	"6"	"221"	"0"	"5"	"2"	"2"	"4"	"555"	"0"	"555"	"0"
"57"	"41"	"P.S. KHOCHRAON"	"8"	"57"	"114"	"93"	"157"	"3"	"2"	"1"	"7"	"3"	"14"	"0"	"3"	"3"	"1"	"2"	"468"	"0"	"468"	"0"
"58"	"42"	"P.S. EKRASHI(EAST)"	"9"	"14"	"0"	"49"	"10"	"1"	"129"	"8"	"8"	"8"	"187"	"1"	"5"	"2"	"0"	"11"	"442"	"0"	"442"	"0"
"59"	"43"	"P.S. EKRASHI(WEST)"	"4"	"28"	"20"	"15"	"8"	"1"	"3"	"3"	"2"	"3"	"279"	"6"	"7"	"4"	"3"	"7"	"393"	"0"	"393"	"0"
"60"	"44"	"KANYA P.S. EKRASHI"	"5"	"64"	"93"	"8"	"104"	"6"	"8"	"7"	"1"	"3"	"168"	"3"	"2"	"9"	"3"	"6"	"490"	"0"	"490"	"0"
"61"	"45"	"P.S. MADSADHI"	"2"	"130"	"143"	"75"	"77"	"3"	"101"	"3"	"8"	"1"	"10"	"1"	"0"	"0"	"2"	"2"	"558"	"0"	"558"	"0"
"62"	"46"	"P.S. MANKI"	"0"	"13"	"55"	"5"	"130"	"4"	"6"	"0"	"1"	"11"	"269"	"2"	"5"	"0"	"3"	"1"	"505"	"0"	"505"	"0"
"63"	"47"	"M.S. BHADA"	"7"	"2"	"54"	"5"	"423"	"11"	"76"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"586"	"0"	"586"	"0"
"64"	"48"	"M.S. BARADHI(EAST)"	"0"	"198"	"26"	"68"	"35"	"4"	"183"	"9"	"5"	"3"	"37"	"3"	"5"	"4"	"4"	"2"	"586"	"0"	"586"	"0"
"65"	"49"	"M.S. BARADHI(MIDDLE)"	"2"	"28"	"141"	"37"	"223"	"9"	"16"	"2"	"1"	"4"	"0"	"4"	"2"	"3"	"3"	"5"	"480"	"0"	"480"	"0"
"66"	"50"	"M.S. BARADHI(WEST)"	"1"	"3"	"106"	"11"	"287"	"2"	"2"	"0"	"5"	"5"	"4"	"1"	"1"	"5"	"0"	"0"	"433"	"0"	"433"	"0"
"67"	"51"	"P.S. BHADA"	"13"	"91"	"25"	"122"	"39"	"3"	"176"	"6"	"5"	"3"	"81"	"0"	"7"	"1"	"0"	"2"	"574"	"0"	"574"	"0"
"68"	"52"	"MIDDLE SCHOOL , JAGDISHPUR , WARD NO.1"	"5"	"486"	"58"	"58"	"20"	"0"	"31"	"4"	"0"	"3"	"24"	"2"	"4"	"2"	"1"	"8"	"706"	"0"	"706"	"0"
"69"	"53"	"SAMUDAYAK BHWAN SHIVJI POKHRA (EAST PART)"	"24"	"149"	"52"	"49"	"139"	"14"	"8"	"11"	"5"	"4"	"3"	"3"	"10"	"10"	"4"	"11"	"496"	"0"	"496"	"0"
"70"	"54"	"SAMUDAYAK BAWAN SHIVJI POKHARA (WEST PARY)"	"3"	"151"	"22"	"37"	"74"	"0"	"3"	"6"	"0"	"5"	"17"	"3"	"3"	"2"	"1"	"0"	"327"	"0"	"327"	"0"
"71"	"55"	"PARKHAND KARYALYA ,JAGDISHPUR (EAST PART)"	"8"	"126"	"27"	"57"	"150"	"2"	"1"	"4"	"4"	"2"	"7"	"3"	"3"	"4"	"0"	"8"	"406"	"0"	"406"	"0"
"72"	"56"	"PRAKHAND KARYALYA ,JAGDISHPUR (WEST PART)"	"7"	"76"	"23"	"144"	"71"	"3"	"35"	"12"	"9"	"5"	"3"	"7"	"5"	"0"	"4"	"5"	"409"	"0"	"409"	"0"
"73"	"57"	"NAGAR PALIKA KARYALYA , JAGDISHPUR (NORTH PART)"	"1"	"200"	"17"	"147"	"35"	"1"	"15"	"1"	"2"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"425"	"0"	"425"	"0"
"74"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"75"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"76"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"77"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"78"	"58"	"NAGAR PALIKA KARYALYA GAJDISHPUR (SOUTH PART)"	"2"	"93"	"66"	"123"	"52"	"2"	"8"	"3"	"3"	"1"	"0"	"0"	"4"	"3"	"0"	"6"	"366"	"0"	"366"	"0"
"79"	"59"	"PRIMARY SCHOOL ,AKHORIY TOLA JAGDISHPUR (NORTH P"	"1"	"193"	"37"	"112"	"44"	"1"	"8"	"3"	"1"	"2"	"15"	"1"	"4"	"5"	"0"	"3"	"430"	"0"	"430"	"0"
"80"	"60"	"PRIMARY SCHOOL ,AKHORY TOLA JAGDISHPUR (SOUTH P"	"4"	"150"	"34"	"80"	"27"	"2"	"13"	"9"	"2"	"2"	"83"	"2"	"7"	"7"	"4"	"2"	"428"	"0"	"428"	"0"
"81"	"61"	"KUNWAR SINGH KE KOTHI SNGARAHALYA"	"14"	"192"	"28"	"48"	"29"	"2"	"120"	"17"	"3"	"10"	"174"	"4"	"5"	"3"	"1"	"0"	"650"	"0"	"650"	"0"
"82"	"62"	"PRIMARY SCHOOL ,MATHIYA , JAGDISHPUR"	"1"	"173"	"102"	"139"	"87"	"2"	"26"	"9"	"4"	"1"	"61"	"9"	"6"	"6"	"9"	"5"	"640"	"0"	"640"	"0"
"83"	"63"	"KUNWAR SINGH KE KOTHI ,JAGDISHPUR"	"3"	"188"	"67"	"182"	"108"	"4"	"13"	"4"	"4"	"2"	"2"	"1"	"3"	"10"	"0"	"1"	"592"	"0"	"592"	"0"
"84"	"64"	"SAWARATH SAHU HIGH SCHOOL , JAGDISHPUR (NORTH P"	"2"	"86"	"66"	"12"	"241"	"5"	"19"	"2"	"5"	"4"	"6"	"4"	"3"	"4"	"5"	"6"	"470"	"0"	"470"	"0"
"85"	"65"	"SAAWARATH SAHU HIGH SCHOOL JAGDISHPUR (SOUTH P"	"8"	"139"	"56"	"46"	"215"	"5"	"36"	"6"	"4"	"2"	"5"	"5"	"6"	"5"	"4"	"15"	"557"	"0"	"557"	"0"
"86"	"66"	"AWAR NIBANDHK KARYALYA , JAGDISHPUR (NORTH PART)"	"7"	"196"	"26"	"44"	"146"	"2"	"19"	"4"	"3"	"2"	"3"	"0"	"3"	"13"	"1"	"6"	"475"	"0"	"475"	"0"
"87"	"67"	"AWAR NIBANDHAK KARYALYA , JAGDISHPUR (SOUTH PART"	"5"	"139"	"46"	"76"	"116"	"3"	"4"	"1"	"0"	"0"	"6"	"3"	"5"	"15"	"0"	"2"	"421"	"0"	"421"	"0"
"88"	"68"	"MIDDLE SCHOOL NO.2,JAGDISHPUR"	"3"	"114"	"99"	"42"	"302"	"4"	"11"	"5"	"1"	"0"	"18"	"2"	"4"	"17"	"4"	"0"	"626"	"0"	"626"	"0"
"89"	"69"	"URDU PRIMARY SCHOOL , PATHAN TOLI"	"22"	"128"	"149"	"80"	"96"	"3"	"134"	"3"	"4"	"3"	"5"	"0"	"2"	"22"	"0"	"6"	"657"	"0"	"657"	"0"
"90"	"70"	"PRIMARY SCHOOL UTTARDAHA ( SOUTH PART)"	"6"	"166"	"22"	"30"	"68"	"2"	"264"	"9"	"4"	"2"	"3"	"0"	"1"	"0"	"2"	"2"	"581"	"0"	"581"	"0"
"91"	"71"	"PRIMARY SCHOOL UTTARDAHA ( NORTH PART)"	"0"	"163"	"24"	"4"	"44"	"1"	"140"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"382"	"0"	"382"	"0"
"92"	"72"	"MIDDLE SCHOOL ARAILA"	"7"	"252"	"58"	"83"	"40"	"1"	"44"	"2"	"4"	"3"	"7"	"2"	"4"	"4"	"9"	"4"	"524"	"0"	"524"	"0"
"93"	"73"	"HIGH SCHOOL ARAILA"	"0"	"185"	"189"	"200"	"37"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"618"	"0"	"618"	"0"
"94"	"74"	"PRIMARY SCHOOL , MANU DEHARI"	"0"	"19"	"155"	"2"	"3"	"0"	"115"	"0"	"0"	"1"	"194"	"0"	"0"	"0"	"0"	"0"	"489"	"0"	"489"	"0"
"95"	"75"	"PRIMARY SCHOOL GANGADHR DEHARI"	"3"	"4"	"87"	"10"	"72"	"3"	"1"	"0"	"1"	"2"	"3"	"1"	"2"	"2"	"0"	"2"	"193"	"0"	"193"	"0"
"96"	"76"	"PRIMARY SCHOOL KATYEBOGH (EAST PART)"	"3"	"40"	"34"	"74"	"10"	"0"	"4"	"0"	"1"	"2"	"0"	"1"	"3"	"0"	"0"	"1"	"173"	"0"	"173"	"0"
"97"	"77"	"PRIMARY SCHOOL KATYIBOGH ( WEST PART)"	"4"	"122"	"98"	"132"	"29"	"0"	"6"	"2"	"0"	"0"	"16"	"0"	"1"	"0"	"0"	"1"	"411"	"0"	"411"	"0"
"98"	"78"	"PRIMARY SCHOOL HATEMPUR"	"14"	"146"	"187"	"12"	"94"	"3"	"8"	"5"	"1"	"0"	"13"	"3"	"4"	"7"	"6"	"2"	"505"	"0"	"505"	"0"
"99"	"79"	"SAHAYOG SAMITE GODDAM HETAMPUR (EAST PART)"	"22"	"151"	"78"	"59"	"45"	"5"	"72"	"10"	"6"	"3"	"51"	"4"	"9"	"5"	"4"	"4"	"528"	"0"	"528"	"0"
"100"	"80"	"SAHYOG SAMITY GODAM HETAMPUR (EAST PART)"	"1"	"125"	"37"	"94"	"3"	"0"	"6"	"9"	"1"	"1"	"8"	"0"	"3"	"2"	"0"	"0"	"290"	"0"	"290"	"0"
"101"	"81"	"SAMUDAYAK BAHWAN HETAMPUR MUSHAR TOLI"	"3"	"69"	"70"	"96"	"4"	"2"	"1"	"1"	"3"	"0"	"16"	"1"	"3"	"2"	"1"	"1"	"273"	"0"	"273"	"0"
"102"	"82"	"PRIMARY SCHOOL RANGRUA"	"2"	"73"	"302"	"28"	"50"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"463"	"0"	"463"	"0"
"103"	"83"	"PRIMARY SCHOOL ANDHARI BAG"	"0"	"82"	"169"	"10"	"75"	"2"	"25"	"0"	"0"	"0"	"25"	"0"	"0"	"0"	"1"	"0"	"389"	"0"	"389"	"0"
"104"	"84"	"PRIMARY SCHOOL CHAKAIE"	"2"	"68"	"81"	"209"	"31"	"6"	"53"	"6"	"3"	"10"	"2"	"4"	"11"	"9"	"6"	"12"	"513"	"0"	"513"	"0"
"105"	"85"	"PRIMARY SCHOOL DIGHA TOLA"	"5"	"21"	"350"	"159"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"547"	"0"	"547"	"0"
"106"	"86"	"PRIMARY SCHOOL SURAJI TOLA"	"3"	"0"	"568"	"9"	"20"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"615"	"0"	"615"	"0"
"107"	"87"	"PANCHYAT BHAWAN JANGAL DAWA BAULIPUR"	"16"	"342"	"149"	"95"	"6"	"2"	"29"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"648"	"0"	"648"	"0"
"108"	"88"	"PRIMARY SCHOOL ,BOOLIPUR"	"7"	"335"	"11"	"13"	"4"	"1"	"121"	"6"	"0"	"3"	"0"	"0"	"2"	"3"	"0"	"0"	"506"	"0"	"506"	"0"
"109"	"89"	"MIDDLE SCHOOL ESHWEAR SINGH KA TOLA"	"36"	"107"	"114"	"173"	"20"	"1"	"120"	"10"	"8"	"4"	"0"	"3"	"4"	"12"	"6"	"2"	"620"	"0"	"620"	"0"
"110"	"90"	"MIDDLE SCHOOL DAWAN (WEST PART)"	"11"	"171"	"141"	"134"	"8"	"3"	"42"	"7"	"2"	"0"	"71"	"5"	"8"	"4"	"1"	"1"	"609"	"0"	"609"	"0"
"111"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"112"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"113"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"115"	"91"	"MIDDLE SCHOOL DAWAN (EAST PART)"	"6"	"410"	"82"	"48"	"1"	"1"	"9"	"5"	"1"	"0"	"65"	"1"	"4"	"1"	"2"	"0"	"636"	"0"	"636"	"0"
"116"	"92"	"PRIMARY SCHOOL DAWAN"	"73"	"133"	"38"	"85"	"8"	"10"	"146"	"16"	"7"	"9"	"30"	"6"	"15"	"7"	"8"	"11"	"602"	"0"	"602"	"0"
"117"	"93"	"CO-OPRATIVE GODAM DAWAN"	"6"	"180"	"213"	"31"	"10"	"1"	"61"	"4"	"2"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"513"	"0"	"513"	"0"
"118"	"94"	"PRIMARY SCHOOL ROOPBANDH"	"4"	"38"	"200"	"36"	"103"	"2"	"148"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"534"	"0"	"534"	"0"
"119"	"95"	"PRIMARY SCHOOL , MUNSHITOLA"	"7"	"322"	"183"	"15"	"4"	"0"	"10"	"4"	"2"	"1"	"0"	"3"	"7"	"7"	"5"	"6"	"576"	"0"	"576"	"0"
"120"	"96"	"PRIMARY SCHOOL , BHATTOLY"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"6"	"0"
