"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of"	"No.of.Rejecte"	"Total"	"No.of"
"102"	"80"	"84"	"60"	"50"	"7"	"3"	"205"	"8"	"6"	"8"	"4"	"21"	"456"	"0"	"456"	"0"
"103"	"81"	"33"	"5"	"100"	"9"	"8"	"195"	"10"	"3"	"32"	"6"	"9"	"410"	"0"	"410"	"0"
"104"	"82"	"65"	"23"	"165"	"2"	"11"	"134"	"10"	"8"	"41"	"1"	"11"	"471"	"0"	"471"	"0"
"105"	"83"	"35"	"7"	"492"	"15"	"51"	"5"	"3"	"4"	"0"	"1"	"5"	"618"	"0"	"618"	"0"
"106"	"84"	"59"	"2"	"145"	"4"	"16"	"222"	"11"	"3"	"10"	"3"	"7"	"482"	"0"	"482"	"0"
"107"	"Total"	"1222"	"170"	"1917"	"116"	"149"	"2588"	"128"	"83"	"185"	"41"	"164"	"6763"	"0"	"6763"	"0"
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"109"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"111"	"85"	"98"	"14"	"99"	"9"	"8"	"309"	"11"	"7"	"6"	"5"	"4"	"570"	"0"	"570"	"0"
"112"	"86"	"104"	"11"	"412"	"20"	"14"	"51"	"4"	"6"	"3"	"2"	"5"	"632"	"0"	"632"	"0"
"113"	"87"	"12"	"60"	"61"	"9"	"7"	"312"	"16"	"16"	"14"	"11"	"22"	"540"	"0"	"540"	"0"
"114"	"88"	"94"	"14"	"161"	"18"	"20"	"271"	"24"	"21"	"22"	"18"	"44"	"707"	"0"	"707"	"0"
"115"	"89"	"226"	"10"	"67"	"18"	"6"	"166"	"6"	"7"	"9"	"6"	"9"	"530"	"0"	"530"	"0"
"116"	"90"	"64"	"7"	"192"	"8"	"1"	"96"	"0"	"2"	"6"	"2"	"5"	"383"	"0"	"383"	"0"
"117"	"91"	"30"	"4"	"210"	"6"	"6"	"84"	"11"	"11"	"47"	"5"	"8"	"422"	"0"	"422"	"0"
"118"	"92"	"5"	"8"	"708"	"5"	"3"	"23"	"4"	"3"	"2"	"1"	"3"	"765"	"0"	"765"	"0"
"119"	"93"	"247"	"8"	"91"	"9"	"6"	"203"	"10"	"8"	"8"	"10"	"39"	"639"	"0"	"639"	"0"
"120"	"94"	"409"	"10"	"244"	"16"	"4"	"31"	"5"	"2"	"5"	"8"	"25"	"759"	"0"	"759"	"0"
"121"	"95"	"298"	"20"	"140"	"22"	"12"	"81"	"11"	"8"	"17"	"15"	"26"	"650"	"0"	"650"	"0"
"122"	"96"	"272"	"7"	"326"	"15"	"17"	"83"	"2"	"7"	"7"	"8"	"14"	"758"	"0"	"758"	"0"
"123"	"97"	"43"	"4"	"534"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"6"	"591"	"0"	"591"	"0"
"124"	"98"	"138"	"1"	"31"	"2"	"2"	"66"	"0"	"3"	"4"	"2"	"4"	"253"	"0"	"253"	"0"
"125"	"Total"	"2040"	"178"	"3276"	"158"	"107"	"1776"	"104"	"102"	"150"	"94"	"214"	"8199"	"0"	"8199"	"0"
"126"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"127"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"129"	"99"	"431"	"11"	"77"	"7"	"4"	"116"	"13"	"11"	"15"	"4"	"28"	"717"	"0"	"717"	"0"
"130"	"100"	"114"	"6"	"94"	"9"	"5"	"164"	"8"	"9"	"16"	"7"	"15"	"447"	"0"	"447"	"0"
"131"	"101"	"424"	"9"	"79"	"8"	"8"	"102"	"7"	"5"	"7"	"10"	"22"	"681"	"0"	"681"	"0"
"132"	"102"	"391"	"12"	"136"	"11"	"18"	"50"	"9"	"6"	"9"	"10"	"29"	"681"	"0"	"681"	"0"
"133"	"103"	"3"	"3"	"260"	"5"	"2"	"86"	"3"	"1"	"2"	"0"	"0"	"365"	"0"	"365"	"0"
"134"	"104"	"27"	"11"	"280"	"4"	"8"	"175"	"7"	"13"	"13"	"3"	"6"	"547"	"0"	"547"	"0"
"135"	"105"	"171"	"6"	"365"	"13"	"8"	"126"	"5"	"10"	"12"	"6"	"15"	"737"	"0"	"737"	"0"
"136"	"106"	"38"	"1"	"424"	"12"	"2"	"12"	"1"	"1"	"2"	"1"	"3"	"497"	"0"	"497"	"0"
"137"	"107"	"27"	"9"	"296"	"10"	"6"	"221"	"10"	"20"	"24"	"4"	"34"	"661"	"0"	"661"	"0"
"138"	"108"	"14"	"3"	"97"	"6"	"12"	"417"	"22"	"13"	"11"	"5"	"8"	"608"	"0"	"608"	"0"
"139"	"109"	"624"	"14"	"73"	"5"	"4"	"27"	"4"	"1"	"3"	"2"	"15"	"772"	"0"	"772"	"0"
"140"	"110"	"497"	"13"	"101"	"10"	"4"	"5"	"2"	"4"	"5"	"16"	"40"	"697"	"0"	"697"	"0"
"141"	"111"	"662"	"0"	"21"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"12"	"703"	"0"	"703"	"0"
"142"	"112"	"117"	"3"	"85"	"14"	"9"	"20"	"3"	"6"	"7"	"6"	"16"	"286"	"0"	"286"	"0"
"143"	"Total"	"3540"	"101"	"2388"	"115"	"90"	"1523"	"96"	"100"	"127"	"76"	"243"	"8399"	"0"	"8399"	"0"
"144"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"145"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"147"	"113"	"271"	"4"	"278"	"7"	"4"	"12"	"1"	"0"	"4"	"2"	"2"	"585"	"0"	"585"	"0"
"148"	"114"	"35"	"15"	"208"	"14"	"1"	"35"	"6"	"4"	"10"	"6"	"19"	"353"	"0"	"353"	"0"
"149"	"115"	"201"	"12"	"169"	"8"	"24"	"106"	"9"	"7"	"9"	"4"	"11"	"560"	"0"	"560"	"0"
"150"	"116"	"8"	"2"	"696"	"6"	"1"	"16"	"1"	"0"	"0"	"0"	"3"	"733"	"0"	"733"	"0"
"151"	"117"	"60"	"5"	"80"	"3"	"8"	"449"	"17"	"18"	"23"	"3"	"8"	"674"	"0"	"674"	"0"
"152"	"118"	"8"	"1"	"97"	"2"	"1"	"320"	"13"	"7"	"9"	"4"	"4"	"466"	"0"	"466"	"0"
"153"	"119"	"218"	"6"	"193"	"12"	"6"	"97"	"6"	"7"	"10"	"6"	"14"	"575"	"0"	"575"	"0"
"154"	"120"	"152"	"27"	"239"	"24"	"9"	"106"	"8"	"12"	"31"	"11"	"52"	"671"	"0"	"671"	"0"
"155"	"121"	"140"	"16"	"166"	"5"	"7"	"141"	"12"	"12"	"10"	"6"	"12"	"527"	"0"	"527"	"0"
"156"	"122"	"101"	"15"	"143"	"8"	"9"	"180"	"15"	"15"	"18"	"6"	"21"	"531"	"0"	"531"	"0"
"157"	"123"	"105"	"5"	"58"	"12"	"5"	"182"	"9"	"18"	"19"	"8"	"47"	"468"	"0"	"468"	"0"
"158"	"124"	"66"	"11"	"80"	"12"	"5"	"230"	"11"	"18"	"17"	"4"	"11"	"465"	"0"	"465"	"0"
"159"	"125"	"35"	"17"	"151"	"5"	"4"	"286"	"5"	"11"	"15"	"4"	"13"	"546"	"0"	"546"	"0"
"160"	"126"	"109"	"10"	"220"	"18"	"8"	"110"	"9"	"13"	"11"	"5"	"8"	"521"	"0"	"521"	"0"
"161"	"Total"	"1509"	"146"	"2778"	"136"	"92"	"2270"	"122"	"142"	"186"	"69"	"225"	"7675"	"0"	"7675"	"0"
"162"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"163"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"165"	"127"	"149"	"4"	"221"	"14"	"11"	"4"	"5"	"3"	"5"	"2"	"12"	"430"	"0"	"430"	"0"
"166"	"128"	"258"	"3"	"109"	"9"	"11"	"253"	"9"	"12"	"17"	"1"	"27"	"709"	"0"	"709"	"0"
"167"	"129"	"35"	"2"	"123"	"11"	"2"	"415"	"12"	"15"	"10"	"3"	"12"	"640"	"0"	"640"	"0"
"168"	"130"	"76"	"5"	"112"	"6"	"8"	"287"	"6"	"8"	"16"	"5"	"14"	"543"	"0"	"543"	"0"
"169"	"131"	"138"	"2"	"30"	"4"	"4"	"258"	"11"	"9"	"8"	"3"	"13"	"480"	"0"	"480"	"0"
"170"	"132"	"103"	"4"	"124"	"4"	"7"	"194"	"5"	"11"	"14"	"1"	"9"	"476"	"0"	"476"	"0"
"171"	"133"	"31"	"3"	"95"	"4"	"5"	"141"	"5"	"10"	"6"	"2"	"9"	"311"	"0"	"311"	"0"
"172"	"134"	"111"	"34"	"130"	"11"	"10"	"448"	"8"	"12"	"15"	"9"	"14"	"802"	"0"	"802"	"0"
"173"	"135"	"58"	"2"	"85"	"4"	"4"	"167"	"9"	"9"	"11"	"5"	"14"	"368"	"0"	"368"	"0"
"174"	"136"	"37"	"46"	"81"	"9"	"4"	"116"	"14"	"13"	"17"	"5"	"13"	"355"	"0"	"355"	"0"
"175"	"137"	"119"	"9"	"137"	"7"	"9"	"130"	"5"	"4"	"12"	"3"	"24"	"459"	"0"	"459"	"0"
"176"	"138"	"109"	"5"	"133"	"10"	"7"	"229"	"6"	"3"	"10"	"3"	"22"	"537"	"0"	"537"	"0"
"177"	"139"	"110"	"7"	"240"	"19"	"3"	"37"	"6"	"15"	"16"	"9"	"38"	"500"	"0"	"500"	"0"
"178"	"140"	"239"	"3"	"114"	"14"	"0"	"45"	"1"	"5"	"4"	"10"	"35"	"470"	"0"	"470"	"0"
"179"	"Total"	"1573"	"129"	"1734"	"126"	"85"	"2724"	"102"	"129"	"161"	"61"	"256"	"7080"	"0"	"7080"	"0"
"180"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"181"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"183"	"141"	"111"	"3"	"65"	"3"	"0"	"48"	"1"	"2"	"5"	"5"	"6"	"249"	"0"	"249"	"0"
