"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"25"	"19"	"51"	"275"	"14"	"41"	"64"	"9"	"8"	"462"	""	"462"	""
"26"	"20"	"78"	"85"	"10"	"82"	"58"	"8"	"9"	"330"	""	"330"	""
"27"	"21"	"354"	"89"	"0"	"42"	"20"	"2"	"6"	"513"	""	"513"	""
"28"	"22"	"47"	"17"	"4"	"6"	"591"	"3"	"7"	"675"	""	"675"	""
"29"	"23"	"99"	"36"	"9"	"205"	"18"	"9"	"8"	"384"	""	"384"	""
"30"	"24"	"201"	"43"	"10"	"42"	"123"	"10"	"15"	"444"	""	"444"	""
"31"	"25"	"264"	"73"	"17"	"41"	"18"	"4"	"103"	"520"	""	"520"	""
"32"	"26"	"301"	"4"	"36"	"10"	"7"	"4"	"10"	"372"	""	"372"	""
"33"	"27"	"93"	"244"	"59"	"135"	"23"	"18"	"63"	"635"	""	"635"	""
"34"	"28"	"136"	"253"	"39"	"200"	"32"	"11"	"34"	"705"	""	"705"	""
"35"	"Total Round 2"	"2214"	"1283"	"280"	"1022"	"981"	"92"	"300"	"6172"	"0"	"6172"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"39"	"29"	"56"	"208"	"12"	"64"	"57"	"4"	"23"	"424"	""	"424"	""
"40"	"30"	"294"	"66"	"11"	"20"	"48"	"4"	"33"	"476"	""	"476"	""
"41"	"31"	"136"	"264"	"19"	"129"	"64"	"7"	"27"	"646"	""	"646"	""
"42"	"32"	"216"	"59"	"6"	"29"	"25"	"2"	"9"	"346"	""	"346"	""
"43"	"33"	"339"	"3"	"4"	"5"	"9"	"5"	"4"	"369"	""	"369"	""
"44"	"34"	"114"	"70"	"21"	"74"	"103"	"6"	"30"	"418"	""	"418"	""
"45"	"35"	"391"	"91"	"15"	"94"	"13"	"0"	"11"	"615"	""	"615"	""
"46"	"36"	"21"	"120"	"7"	"68"	"88"	"4"	"19"	"327"	""	"327"	""
"47"	"37"	"15"	"94"	"7"	"90"	"182"	"5"	"11"	"404"	""	"404"	""
"48"	"38"	"242"	"59"	"10"	"33"	"27"	"7"	"7"	"385"	""	"385"	""
"49"	"39"	"237"	"126"	"8"	"51"	"60"	"10"	"32"	"524"	""	"524"	""
"50"	"40"	"180"	"159"	"18"	"54"	"19"	"10"	"25"	"465"	""	"465"	""
"51"	"41"	"180"	"259"	"13"	"29"	"72"	"6"	"28"	"587"	""	"587"	""
"52"	"42"	"155"	"125"	"19"	"254"	"13"	"8"	"33"	"607"	""	"607"	""
"53"	"Total Round 3"	"2576"	"1703"	"170"	"994"	"780"	"78"	"292"	"6593"	"0"	"6593"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"57"	"43"	"212"	"103"	"14"	"111"	"15"	"8"	"14"	"477"	""	"477"	""
"58"	"44"	"172"	"151"	"60"	"91"	"8"	"2"	"5"	"489"	""	"489"	""
"59"	"45"	"35"	"109"	"28"	"53"	"76"	"7"	"13"	"321"	""	"321"	""
"60"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"61"	"47"	"198"	"22"	"24"	"128"	"5"	"9"	"16"	"402"	""	"402"	""
"62"	"48"	"157"	"59"	"22"	"148"	"11"	"6"	"40"	"443"	""	"443"	""
"63"	"49"	"142"	"93"	"53"	"95"	"31"	"3"	"29"	"446"	""	"446"	""
"64"	"50"	"476"	"7"	"9"	"8"	"50"	"3"	"7"	"560"	""	"560"	""
"65"	"51"	"322"	"17"	"8"	"46"	"62"	"9"	"4"	"468"	""	"468"	""
"66"	"52"	"204"	"34"	"42"	"131"	"23"	"13"	"24"	"471"	""	"471"	""
"67"	"53"	"157"	"118"	"46"	"145"	"43"	"8"	"29"	"546"	""	"546"	""
"68"	"54"	"140"	"205"	"14"	"51"	"60"	"11"	"27"	"508"	""	"508"	""
"69"	"55"	"223"	"158"	"8"	"14"	"3"	"5"	"13"	"424"	""	"424"	""
"70"	"56"	"198"	"254"	"13"	"27"	"18"	"5"	"13"	"528"	""	"528"	""
"71"	"Total Round 4"	"2636"	"1330"	"341"	"1048"	"405"	"89"	"234"	"6083"	"0"	"6083"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"75"	"57"	"224"	"97"	"30"	"15"	"25"	"1"	"19"	"411"	""	"411"	""
"76"	"58"	"254"	"39"	"3"	"16"	"6"	"5"	"64"	"387"	""	"387"	""
"77"	"59"	"247"	"80"	"24"	"93"	"49"	"8"	"20"	"521"	""	"521"	""
"78"	"60"	"42"	"241"	"7"	"13"	"11"	"3"	"9"	"326"	""	"326"	""
"79"	"61"	"228"	"55"	"12"	"107"	"10"	"8"	"43"	"463"	""	"463"	""
"80"	"62"	"390"	"11"	"2"	"12"	"1"	"2"	"15"	"433"	""	"433"	""
"81"	"63"	"238"	"13"	"3"	"12"	"3"	"0"	"4"	"273"	""	"273"	""
"82"	"64"	"447"	"9"	"0"	"12"	"8"	"0"	"3"	"479"	""	"479"	""
"83"	"65"	"136"	"137"	"40"	"54"	"26"	"15"	"59"	"467"	""	"467"	""
"84"	"66"	"98"	"153"	"21"	"98"	"78"	"3"	"70"	"521"	""	"521"	""
"85"	"67"	"108"	"47"	"13"	"86"	"4"	"3"	"13"	"274"	""	"274"	""
"86"	"68"	"40"	"236"	"4"	"26"	"41"	"9"	"28"	"384"	""	"384"	""
"87"	"69"	"279"	"93"	"2"	"52"	"8"	"2"	"58"	"494"	""	"494"	""
"88"	"70"	"172"	"105"	"18"	"243"	"22"	"15"	"37"	"612"	""	"612"	""
"89"	"Total Round 5"	"2903"	"1316"	"179"	"839"	"292"	"74"	"442"	"6045"	"0"	"6045"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"93"	"71"	"333"	"39"	"13"	"114"	"13"	"5"	"14"	"531"	""	"531"	""
"94"	"72"	"87"	"166"	"14"	"91"	"43"	"7"	"13"	"421"	""	"421"	""
"95"	"73"	"49"	"115"	"26"	"261"	"10"	"3"	"8"	"472"	""	"472"	""
"96"	"74"	"341"	"40"	"5"	"73"	"8"	"5"	"29"	"501"	""	"501"	""
"97"	"75"	"84"	"211"	"25"	"111"	"19"	"6"	"21"	"477"	""	"477"	""
"98"	"76"	"205"	"60"	"13"	"210"	"8"	"3"	"13"	"512"	""	"512"	""
"99"	"77"	"308"	"60"	"2"	"60"	"2"	"1"	"6"	"439"	""	"439"	""
"100"	"78"	"267"	"0"	"1"	"1"	"3"	"1"	"1"	"274"	""	"274"	""
"101"	"79"	"58"	"159"	"5"	"65"	"5"	"6"	"9"	"307"	""	"307"	""
"102"	"80"	"2"	"562"	"3"	"16"	"18"	"0"	"0"	"601"	""	"601"	""
"103"	"81"	"171"	"35"	"17"	"167"	"12"	"1"	"34"	"437"	""	"437"	""
"104"	"82"	"183"	"175"	"9"	"82"	"39"	"4"	"11"	"503"	""	"503"	""
"105"	"83"	"91"	"120"	"21"	"309"	"10"	"11"	"57"	"619"	""	"619"	""
"106"	"84"	"339"	"4"	"3"	"109"	"6"	"0"	"18"	"479"	""	"479"	""
"107"	"Total Round 6"	"2518"	"1746"	"157"	"1669"	"196"	"53"	"234"	"6573"	"0"	"6573"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"111"	"85"	"86"	"46"	"17"	"250"	"14"	"10"	"36"	"459"	""	"459"	""
"112"	"86"	"67"	"136"	"10"	"178"	"17"	"4"	"15"	"427"	""	"427"	""
"113"	"87"	"107"	"140"	"11"	"278"	"6"	"9"	"17"	"568"	""	"568"	""
"114"	"88"	"244"	"19"	"15"	"261"	"2"	"3"	"11"	"555"	""	"555"	""
"115"	"89"	"88"	"163"	"19"	"139"	"11"	"4"	"17"	"441"	""	"441"	""
"116"	"90"	"78"	"111"	"25"	"110"	"5"	"3"	"7"	"339"	""	"339"	""
"117"	"91"	"187"	"14"	"18"	"42"	"61"	"9"	"24"	"355"	""	"355"	""
"118"	"92"	"42"	"236"	"15"	"54"	"8"	"3"	"30"	"388"	""	"388"	""
"119"	"93"	"42"	"299"	"13"	"97"	"16"	"5"	"31"	"503"	""	"503"	""
"120"	"94"	"43"	"318"	"1"	"14"	"45"	"3"	"24"	"448"	""	"448"	""
"121"	"95"	"110"	"284"	"17"	"50"	"12"	"5"	"38"	"516"	""	"516"	""
"122"	"96"	"199"	"172"	"10"	"43"	"12"	"5"	"25"	"466"	""	"466"	""
"123"	"97"	"80"	"326"	"11"	"26"	"10"	"4"	"10"	"467"	""	"467"	""
"124"	"98"	"86"	"117"	"22"	"270"	"11"	"14"	"32"	"552"	""	"552"	""
"125"	"Total Round 7"	"1459"	"2381"	"204"	"1812"	"230"	"81"	"317"	"6484"	"0"	"6484"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"129"	"99"	"52"	"152"	"16"	"156"	"12"	"3"	"40"	"431"	""	"431"	""
"130"	"100"	"115"	"187"	"5"	"47"	"15"	"14"	"47"	"430"	""	"430"	""
"131"	"101"	"252"	"13"	"1"	"5"	"2"	"3"	"98"	"374"	""	"374"	""
"132"	"102"	"357"	"13"	"7"	"49"	"5"	"12"	"73"	"516"	""	"516"	""
"133"	"103"	"22"	"70"	"6"	"157"	"7"	"1"	"68"	"331"	""	"331"	""
"134"	"104"	"159"	"46"	"9"	"95"	"2"	"4"	"68"	"383"	""	"383"	""
"135"	"105"	"351"	"19"	"6"	"68"	"2"	"1"	"53"	"500"	""	"500"	""
"136"	"106"	"532"	"1"	"0"	"6"	"0"	"0"	"25"	"564"	""	"564"	""
"137"	"107"	"39"	"79"	"9"	"150"	"10"	"6"	"38"	"331"	""	"331"	""
"138"	"108"	"440"	"8"	"5"	"31"	"0"	"3"	"27"	"514"	""	"514"	""
"139"	"109"	"208"	"143"	"10"	"32"	"2"	"4"	"33"	"432"	""	"432"	""
"140"	"110"	"48"	"404"	"10"	"63"	"4"	"5"	"47"	"581"	""	"581"	""
"141"	"111"	"141"	"53"	"7"	"104"	"15"	"5"	"31"	"356"	""	"356"	""
"142"	"112"	"55"	"27"	"17"	"369"	"19"	"6"	"35"	"528"	""	"528"	""
"143"	"Total Round 8"	"2771"	"1215"	"108"	"1332"	"95"	"67"	"683"	"6271"	"0"	"6271"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"147"	"113"	"132"	"131"	"10"	"156"	"7"	"2"	"84"	"522"	""	"522"	""
"148"	"114"	"92"	"5"	"1"	"2"	"2"	"1"	"90"	"193"	""	"193"	""
"149"	"115"	"301"	"8"	"0"	"28"	"3"	"6"	"69"	"415"	""	"415"	""
"150"	"116"	"118"	"23"	"7"	"71"	"4"	"6"	"73"	"302"	""	"302"	""
"151"	"117"	"222"	"35"	"5"	"24"	"4"	"2"	"46"	"338"	""	"338"	""
"152"	"118"	"354"	"15"	"1"	"6"	"1"	"5"	"56"	"438"	""	"438"	""
"153"	"119"	"154"	"69"	"17"	"50"	"8"	"7"	"51"	"356"	""	"356"	""
"154"	"120"	"163"	"40"	"79"	"28"	"7"	"6"	"182"	"505"	""	"505"	""
"155"	"121"	"29"	"98"	"3"	"21"	"7"	"4"	"101"	"263"	""	"263"	""
"156"	"122"	"110"	"15"	"18"	"296"	"13"	"8"	"50"	"510"	""	"510"	""
"157"	"123"	"191"	"22"	"6"	"62"	"4"	"2"	"43"	"330"	""	"330"	""
"158"	"124"	"272"	"65"	"6"	"58"	"5"	"4"	"116"	"526"	""	"526"	""
"159"	"125"	"217"	"43"	"21"	"28"	"8"	"3"	"7"	"327"	""	"327"	""
"160"	"126"	"123"	"80"	"27"	"38"	"9"	"5"	"6"	"288"	""	"288"	""
"161"	"Total Round 9"	"2478"	"649"	"201"	"868"	"82"	"61"	"974"	"5313"	"0"	"5313"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"165"	"127"	"314"	"57"	"12"	"52"	"9"	"3"	"50"	"497"	""	"497"	""
"166"	"128"	"269"	"18"	"18"	"123"	"11"	"2"	"34"	"475"	""	"475"	""
"167"	"129"	"93"	"101"	"13"	"14"	"7"	"13"	"116"	"357"	""	"357"	""
"168"	"130"	"160"	"63"	"7"	"42"	"3"	"7"	"189"	"471"	""	"471"	""
"169"	"131"	"235"	"169"	"22"	"32"	"26"	"14"	"130"	"628"	""	"628"	""
"170"	"132"	"68"	"351"	"44"	"120"	"8"	"14"	"99"	"704"	""	"704"	""
"171"	"133"	"62"	"206"	"0"	"7"	"10"	"0"	"5"	"290"	""	"290"	""
"172"	"134"	"2"	"114"	"1"	"7"	"619"	"1"	"7"	"751"	""	"751"	""
"173"	"135"	"219"	"12"	"3"	"14"	"9"	"2"	"2"	"261"	""	"261"	""
"174"	"136"	"110"	"152"	"13"	"108"	"95"	"4"	"22"	"504"	""	"504"	""
"175"	"137"	"215"	"92"	"18"	"56"	"32"	"16"	"62"	"491"	""	"491"	""
"176"	"138"	"90"	"85"	"10"	"37"	"72"	"11"	"61"	"366"	""	"366"	""
"177"	"139"	"137"	"199"	"9"	"37"	"14"	"3"	"17"	"416"	""	"416"	""
"178"	"140"	"133"	"124"	"17"	"82"	"10"	"9"	"20"	"395"	""	"395"	""
"179"	"Total Round 10"	"2107"	"1743"	"187"	"731"	"925"	"99"	"814"	"6606"	"0"	"6606"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"183"	"141"	"493"	"34"	"33"	"62"	"10"	"5"	"32"	"669"	""	"669"	""
"184"	"142"	"125"	"76"	"22"	"85"	"92"	"11"	"21"	"432"	""	"432"	""
"185"	"143"	"180"	"194"	"50"	"92"	"7"	"1"	"8"	"532"	""	"532"	""
"186"	"144"	"267"	"67"	"14"	"56"	"10"	"5"	"12"	"431"	""	"431"	""
"187"	"145"	"189"	"185"	"42"	"38"	"18"	"12"	"28"	"512"	""	"512"	""
"188"	"146"	"51"	"79"	"120"	"18"	"9"	"3"	"9"	"289"	""	"289"	""
"189"	"147"	"112"	"181"	"12"	"65"	"6"	"4"	"26"	"406"	""	"406"	""
"190"	"148"	"43"	"138"	"8"	"77"	"51"	"4"	"25"	"346"	""	"346"	""
"191"	"149"	"106"	"210"	"17"	"36"	"11"	"8"	"26"	"414"	""	"414"	""
"192"	"150"	"245"	"61"	"18"	"58"	"39"	"3"	"25"	"449"	""	"449"	""
"193"	"151"	"96"	"57"	"84"	"104"	"30"	"1"	"99"	"471"	""	"471"	""
"194"	"152"	"109"	"63"	"7"	"23"	"44"	"3"	"8"	"257"	""	"257"	""
"195"	"153"	"134"	"77"	"20"	"45"	"36"	"10"	"20"	"342"	""	"342"	""
"196"	"154"	"118"	"16"	"10"	"61"	"14"	"3"	"12"	"234"	""	"234"	""
"197"	"Total Round 11"	"2268"	"1438"	"457"	"820"	"377"	"73"	"351"	"5784"	"0"	"5784"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"201"	"155"	"304"	"105"	"9"	"50"	"35"	"8"	"15"	"526"	""	"526"	""
"202"	"156"	"141"	"140"	"16"	"46"	"56"	"13"	"21"	"433"	""	"433"	""
"203"	"157"	"300"	"14"	"1"	"21"	"56"	"2"	"17"	"411"	""	"411"	""
"204"	"158"	"481"	"13"	"2"	"4"	"1"	"0"	"3"	"504"	""	"504"	""
"205"	"159"	"285"	"29"	"1"	"37"	"41"	"0"	"8"	"401"	""	"401"	""
"206"	"160"	"194"	"67"	"28"	"224"	"39"	"7"	"33"	"592"	""	"592"	""
"207"	"161"	"96"	"114"	"14"	"85"	"54"	"16"	"29"	"408"	""	"408"	""
"208"	"162"	"283"	"202"	"11"	"85"	"67"	"10"	"11"	"669"	""	"669"	""
"209"	"163"	"403"	"43"	"20"	"81"	"13"	"2"	"24"	"586"	""	"586"	""
"210"	"164"	"124"	"127"	"14"	"95"	"16"	"9"	"17"	"402"	""	"402"	""
"211"	"165"	"114"	"238"	"15"	"31"	"7"	"4"	"8"	"417"	""	"417"	""
"212"	"166"	"23"	"126"	"121"	"31"	"50"	"4"	"5"	"360"	""	"360"	""
"213"	"167"	"121"	"193"	"18"	"54"	"11"	"7"	"30"	"434"	""	"434"	""
"214"	"168"	"180"	"122"	"25"	"8"	"3"	"7"	"11"	"356"	""	"356"	""
"215"	"Total Round 12"	"3049"	"1533"	"295"	"852"	"449"	"89"	"232"	"6499"	"0"	"6499"	"0"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"219"	"169"	"535"	"37"	"1"	"2"	"1"	"0"	"6"	"582"	""	"582"	""
"220"	"170"	"134"	"421"	"17"	"8"	"10"	"6"	"13"	"609"	""	"609"	""
"221"	"171"	"44"	"178"	"6"	"32"	"26"	"4"	"7"	"297"	""	"297"	""
"222"	"172"	"562"	"2"	"1"	"7"	"1"	"0"	"2"	"575"	""	"575"	""
"223"	"173"	"147"	"320"	"24"	"17"	"15"	"12"	"17"	"552"	""	"552"	""
"224"	"174"	"342"	"102"	"4"	"13"	"13"	"3"	"32"	"509"	""	"509"	""
"225"	"175"	"188"	"168"	"29"	"94"	"11"	"14"	"33"	"537"	""	"537"	""
"226"	"176"	"96"	"149"	"8"	"8"	"3"	"9"	"46"	"319"	""	"319"	""
"227"	"177"	"132"	"51"	"13"	"126"	"11"	"4"	"170"	"507"	""	"507"	""
"228"	"178"	"325"	"67"	"7"	"19"	"9"	"12"	"232"	"671"	""	"671"	""
"229"	"179"	"72"	"126"	"3"	"24"	"4"	"7"	"105"	"341"	""	"341"	""
"230"	"180"	"177"	"134"	"14"	"38"	"10"	"3"	"97"	"473"	""	"473"	""
"231"	"181"	"86"	"86"	"7"	"44"	"12"	"12"	"77"	"324"	""	"324"	""
"232"	"182"	"175"	"142"	"39"	"67"	"50"	"26"	"122"	"621"	""	"621"	""
"233"	"Total Round 13"	"3015"	"1983"	"173"	"499"	"176"	"112"	"959"	"6917"	"0"	"6917"	"0"
"234"	"Total No. of Electors in Assembly Constituency :-  213292"	""	""	""	""	""	""	""	""	""	""	""
"235"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79  PANDAUL"	""	""	""	""	""	""	""	""	""	""	""
"236"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""
"237"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"238"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""
"239"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"243"	"183"	"36"	"361"	"3"	"10"	"1"	"2"	"13"	"426"	""	"426"	""
"244"	"184"	"129"	"192"	"22"	"64"	"28"	"15"	"23"	"473"	""	"473"	""
"245"	"185"	"83"	"157"	"19"	"64"	"12"	"4"	"21"	"360"	""	"360"	""
"246"	"Total Round 14"	"248"	"710"	"44"	"138"	"41"	"21"	"57"	"1259"	"0"	"1259"	"0"
"247"	"Total No. of votes recorded at Polling stations"	"32629"	"21562"	"3291"	"13367"	"5230"	"1072"	"6209"	"83360"	"0"	"83360"	"0"
"248"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	"0"	""	"0"	""
"249"	"TOTAL VOTES POLLED"	"32629"	"21562"	"3291"	"13367"	"5230"	"1072"	"6209"	"83360"	"0"	"83360"	"0"
