"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"41"	"23"	"22"	"5"	"68"	"211"	"5"	"2"	"12"	"5"	"2"	"2"	"13"	"3"	"6"	"46"	"402"	""	"402"	""
"42"	"24"	"240"	"7"	"34"	"17"	"1"	"1"	"3"	"6"	"7"	"3"	"0"	"1"	"2"	"23"	"345"	""	"345"	""
"43"	"25"	"229"	"9"	"89"	"16"	"0"	"0"	"3"	"13"	"7"	"2"	"3"	"1"	"1"	"31"	"404"	""	"404"	""
"44"	"26"	"29"	"0"	"49"	"81"	"3"	"3"	"8"	"3"	"3"	"3"	"8"	"1"	"11"	"113"	"315"	""	"315"	""
"45"	"27"	"3"	"3"	"5"	"127"	"4"	"0"	"11"	"3"	"0"	"7"	"28"	"8"	"10"	"60"	"269"	""	"269"	""
"46"	"28"	"6"	"2"	"31"	"185"	"6"	"0"	"12"	"0"	"3"	"5"	"8"	"0"	"2"	"27"	"287"	""	"287"	""
"47"	"Current Round Total"	"1039"	"93"	"809"	"1710"	"93"	"23"	"173"	"87"	"53"	"65"	"131"	"37"	"65"	"667"	"5045"	"0"	"5045"	"0"
"48"	"Previous Round Total"	"3446"	"141"	"1306"	"412"	"93"	"30"	"84"	"288"	"140"	"51"	"77"	"37"	"74"	"802"	"6981"	"0"	"6981"	"0"
"49"	"TOTAL"	"4485"	"234"	"2115"	"2122"	"186"	"53"	"257"	"375"	"193"	"116"	"208"	"74"	"139"	"1469"	"12026"	"0"	"12026"	"0"
"50"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"127-RANIGANJ (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"(Statutory Rules and Order)                                                       ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"58"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"18"	"19"	"20"	"21"
"60"	"29"	"5"	"4"	"103"	"181"	"15"	"2"	"18"	"6"	"3"	"11"	"10"	"0"	"9"	"114"	"481"	""	"481"	""
"61"	"30"	"140"	"8"	"50"	"82"	"8"	"2"	"5"	"15"	"8"	"7"	"8"	"4"	"3"	"166"	"506"	""	"506"	""
"62"	"31"	"130"	"12"	"8"	"27"	"2"	"1"	"10"	"9"	"12"	"4"	"9"	"6"	"11"	"183"	"424"	""	"424"	""
"63"	"32"	"132"	"6"	"6"	"23"	"4"	"2"	"4"	"4"	"6"	"2"	"9"	"6"	"14"	"114"	"332"	""	"332"	""
"64"	"33"	"201"	"13"	"45"	"131"	"7"	"1"	"28"	"6"	"4"	"4"	"14"	"3"	"6"	"64"	"527"	""	"527"	""
"65"	"34"	"70"	"5"	"8"	"185"	"6"	"3"	"26"	"17"	"9"	"8"	"17"	"3"	"9"	"270"	"636"	""	"636"	""
"66"	"35"	"531"	"20"	"91"	"12"	"9"	"6"	"4"	"27"	"8"	"6"	"5"	"7"	"5"	"31"	"762"	""	"762"	""
"67"	"36"	"67"	"7"	"212"	"39"	"14"	"3"	"7"	"24"	"12"	"5"	"8"	"10"	"3"	"39"	"450"	""	"450"	""
"68"	"37"	"13"	"7"	"48"	"210"	"12"	"3"	"17"	"5"	"5"	"12"	"17"	"9"	"8"	"34"	"400"	""	"400"	""
"69"	"38"	"375"	"27"	"57"	"112"	"6"	"6"	"4"	"10"	"3"	"3"	"12"	"0"	"6"	"153"	"774"	""	"774"	""
"70"	"39"	"283"	"32"	"219"	"29"	"3"	"9"	"8"	"19"	"6"	"6"	"9"	"6"	"5"	"52"	"686"	""	"686"	""
"71"	"40"	"54"	"4"	"241"	"19"	"5"	"3"	"2"	"13"	"10"	"3"	"9"	"7"	"9"	"74"	"453"	""	"453"	""
"72"	"41"	"81"	"9"	"356"	"29"	"7"	"1"	"5"	"10"	"18"	"3"	"8"	"7"	"16"	"134"	"684"	""	"684"	""
"73"	"42"	"99"	"9"	"26"	"41"	"2"	"2"	"5"	"4"	"5"	"3"	"7"	"6"	"13"	"196"	"418"	""	"418"	""
"74"	"Current Round Total"	"2181"	"163"	"1470"	"1120"	"100"	"44"	"143"	"169"	"109"	"77"	"142"	"74"	"117"	"1624"	"7533"	"0"	"7533"	"0"
"75"	"Previous Round Total"	"4485"	"234"	"2115"	"2122"	"186"	"53"	"257"	"375"	"193"	"116"	"208"	"74"	"139"	"1469"	"12026"	"0"	"12026"	"0"
"76"	"TOTAL"	"6666"	"397"	"3585"	"3242"	"286"	"97"	"400"	"544"	"302"	"193"	"350"	"148"	"256"	"3093"	"19559"	"0"	"19559"	"0"
"77"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Conduct of Election Rules 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"127-RANIGANJ (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"(Statutory Rules and Order)                                                       ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"86"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"18"	"19"	"20"	"21"
"88"	"43"	"35"	"7"	"191"	"107"	"3"	"3"	"15"	"8"	"4"	"6"	"14"	"6"	"11"	"58"	"468"	""	"468"	""
"89"	"44"	"200"	"12"	"37"	"21"	"3"	"0"	"6"	"4"	"11"	"7"	"6"	"5"	"16"	"203"	"531"	""	"531"	""
"90"	"45"	"135"	"6"	"27"	"119"	"6"	"2"	"13"	"7"	"3"	"6"	"12"	"10"	"14"	"191"	"551"	""	"551"	""
"91"	"46"	"101"	"10"	"161"	"13"	"16"	"4"	"2"	"14"	"10"	"6"	"3"	"5"	"7"	"27"	"379"	""	"379"	""
"92"	"47"	"115"	"7"	"254"	"9"	"6"	"2"	"4"	"16"	"38"	"7"	"3"	"15"	"9"	"81"	"566"	""	"566"	""
"93"	"48"	"283"	"10"	"18"	"5"	"10"	"2"	"1"	"6"	"49"	"5"	"4"	"2"	"1"	"20"	"416"	""	"416"	""
"94"	"49"	"261"	"7"	"50"	"7"	"2"	"1"	"2"	"9"	"69"	"3"	"1"	"2"	"0"	"6"	"420"	""	"420"	""
"95"	"50"	"133"	"4"	"155"	"15"	"3"	"2"	"2"	"6"	"15"	"6"	"4"	"3"	"2"	"48"	"398"	""	"398"	""
"96"	"51"	"218"	"15"	"169"	"22"	"10"	"5"	"5"	"12"	"73"	"3"	"4"	"7"	"6"	"41"	"590"	""	"590"	""
"97"	"52"	"220"	"20"	"218"	"18"	"12"	"7"	"9"	"37"	"21"	"8"	"8"	"7"	"7"	"89"	"681"	""	"681"	""
"98"	"53"	"7"	"4"	"22"	"35"	"4"	"1"	"4"	"3"	"6"	"3"	"12"	"16"	"19"	"481"	"617"	""	"617"	""
"99"	"54"	"3"	"0"	"29"	"46"	"6"	"2"	"8"	"2"	"16"	"10"	"15"	"23"	"23"	"430"	"613"	""	"613"	""
"100"	"55"	"11"	"4"	"250"	"32"	"10"	"2"	"4"	"4"	"7"	"7"	"12"	"5"	"10"	"253"	"611"	""	"611"	""
"101"	"56"	"126"	"10"	"19"	"4"	"4"	"2"	"3"	"7"	"58"	"3"	"3"	"2"	"2"	"37"	"280"	""	"280"	""
"102"	"Current Round Total"	"1848"	"116"	"1600"	"453"	"95"	"35"	"78"	"135"	"380"	"80"	"101"	"108"	"127"	"1965"	"7121"	"0"	"7121"	"0"
"103"	"Previous Round Total"	"6666"	"397"	"3585"	"3242"	"286"	"97"	"400"	"544"	"302"	"193"	"350"	"148"	"256"	"3093"	"19559"	"0"	"19559"	"0"
"104"	"TOTAL"	"8514"	"513"	"5185"	"3695"	"381"	"132"	"478"	"679"	"682"	"273"	"451"	"256"	"383"	"5058"	"26680"	"0"	"26680"	"0"
"105"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"127-RANIGANJ (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"(Statutory Rules and Order)                                                       ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"113"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"115"	"57"	"195"	"7"	"191"	"11"	"7"	"6"	"5"	"5"	"12"	"6"	"8"	"4"	"7"	"102"	"566"	""	"566"	""
"116"	"58"	"276"	"10"	"11"	"16"	"32"	"7"	"7"	"19"	"79"	"1"	"7"	"5"	"6"	"53"	"529"	""	"529"	""
"117"	"59"	"100"	"16"	"22"	"14"	"109"	"4"	"6"	"13"	"12"	"3"	"5"	"3"	"5"	"135"	"447"	""	"447"	""
"118"	"60"	"169"	"13"	"26"	"7"	"6"	"6"	"4"	"11"	"83"	"3"	"0"	"3"	"5"	"51"	"387"	""	"387"	""
"119"	"61"	"290"	"9"	"106"	"13"	"2"	"2"	"7"	"15"	"21"	"2"	"4"	"1"	"1"	"10"	"483"	""	"483"	""
"120"	"62"	"314"	"7"	"49"	"16"	"6"	"6"	"2"	"17"	"64"	"4"	"7"	"4"	"3"	"22"	"521"	""	"521"	""
"121"	"63"	"211"	"10"	"6"	"1"	"10"	"3"	"4"	"19"	"153"	"3"	"5"	"2"	"1"	"10"	"438"	""	"438"	""
"122"	"64"	"225"	"12"	"92"	"131"	"11"	"5"	"21"	"9"	"16"	"8"	"21"	"11"	"8"	"46"	"616"	""	"616"	""
"123"	"65"	"153"	"8"	"274"	"20"	"6"	"2"	"4"	"8"	"7"	"3"	"9"	"7"	"8"	"61"	"570"	""	"570"	""
"124"	"66"	"487"	"14"	"119"	"44"	"2"	"2"	"9"	"16"	"10"	"9"	"11"	"5"	"8"	"103"	"839"	""	"839"	""
"125"	"67"	"318"	"8"	"94"	"25"	"32"	"1"	"5"	"11"	"14"	"4"	"7"	"5"	"1"	"155"	"680"	""	"680"	""
"126"	"68"	"239"	"12"	"110"	"21"	"34"	"1"	"10"	"15"	"7"	"4"	"4"	"6"	"5"	"84"	"552"	""	"552"	""
"127"	"69"	"473"	"21"	"25"	"29"	"65"	"3"	"13"	"18"	"10"	"8"	"6"	"8"	"5"	"31"	"715"	""	"715"	""
"128"	"70"	"308"	"21"	"89"	"25"	"76"	"5"	"6"	"10"	"2"	"4"	"2"	"1"	"3"	"20"	"572"	""	"572"	""
"129"	"Current Round Total"	"3758"	"168"	"1214"	"373"	"398"	"53"	"103"	"186"	"490"	"62"	"96"	"65"	"66"	"883"	"7915"	"0"	"7915"	"0"
"130"	"Previous Round Total"	"8514"	"513"	"5185"	"3695"	"381"	"132"	"478"	"679"	"682"	"273"	"451"	"256"	"383"	"5058"	"26680"	"0"	"26680"	"0"
"131"	"TOTAL"	"12272"	"681"	"6399"	"4068"	"779"	"185"	"581"	"865"	"1172"	"335"	"547"	"321"	"449"	"5941"	"34595"	"0"	"34595"	"0"
"132"	"(Statutory Rules and Order)                                                       ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"138"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"139"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"140"	"71"	"213"	"11"	"115"	"40"	"7"	"5"	"11"	"18"	"7"	"8"	"8"	"5"	"8"	"64"	"520"	""	"520"	""
"141"	"72"	"309"	"28"	"188"	"4"	"8"	"4"	"1"	"10"	"3"	"1"	"1"	"2"	"7"	"170"	"736"	""	"736"	""
"142"	"73"	"183"	"2"	"21"	"9"	"11"	"4"	"1"	"6"	"0"	"2"	"6"	"1"	"8"	"176"	"430"	""	"430"	""
"143"	"74"	"272"	"10"	"111"	"10"	"6"	"5"	"3"	"9"	"3"	"2"	"5"	"1"	"7"	"64"	"508"	""	"508"	""
"144"	"75"	"46"	"8"	"64"	"15"	"72"	"1"	"5"	"6"	"10"	"2"	"2"	"6"	"1"	"100"	"338"	""	"338"	""
"145"	"76"	"163"	"11"	"297"	"26"	"10"	"2"	"2"	"3"	"5"	"5"	"4"	"5"	"9"	"202"	"744"	""	"744"	""
"146"	"77"	"4"	"1"	"1"	"31"	"1"	"1"	"3"	"1"	"6"	"7"	"15"	"13"	"13"	"304"	"401"	""	"401"	""
"147"	"78"	"29"	"6"	"32"	"90"	"1"	"1"	"14"	"2"	"9"	"1"	"9"	"6"	"7"	"183"	"390"	""	"390"	""
"148"	"79"	"180"	"9"	"86"	"6"	"1"	"2"	"3"	"8"	"7"	"2"	"5"	"3"	"11"	"311"	"634"	""	"634"	""
"149"	"80"	"375"	"27"	"32"	"10"	"1"	"2"	"1"	"14"	"6"	"2"	"5"	"3"	"7"	"228"	"713"	""	"713"	""
"150"	"81"	"211"	"8"	"34"	"171"	"9"	"5"	"17"	"14"	"3"	"8"	"11"	"6"	"5"	"23"	"525"	""	"525"	""
"151"	"82"	"220"	"20"	"145"	"33"	"9"	"4"	"3"	"13"	"6"	"2"	"2"	"1"	"1"	"38"	"497"	""	"497"	""
"152"	"83"	"86"	"6"	"117"	"64"	"155"	"6"	"3"	"14"	"5"	"6"	"7"	"0"	"2"	"17"	"488"	""	"488"	""
"153"	"84"	"611"	"10"	"5"	"52"	"3"	"0"	"7"	"7"	"0"	"0"	"3"	"0"	"0"	"37"	"735"	""	"735"	""
"154"	"Current Round Total"	"2902"	"157"	"1248"	"561"	"294"	"42"	"74"	"125"	"70"	"48"	"83"	"52"	"86"	"1917"	"7659"	"0"	"7659"	"0"
"155"	"Previous Round Total"	"12272"	"681"	"6399"	"4068"	"779"	"185"	"581"	"865"	"1172"	"335"	"547"	"321"	"449"	"5941"	"34595"	"0"	"34595"	"0"
"156"	"TOTAL"	"15174"	"838"	"7647"	"4629"	"1073"	"227"	"655"	"990"	"1242"	"383"	"630"	"373"	"535"	"7858"	"42254"	"0"	"42254"	"0"
"157"	"(Statutory Rules and Order)                                                       ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"163"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"165"	"85"	"103"	"13"	"40"	"30"	"3"	"1"	"7"	"5"	"4"	"3"	"5"	"2"	"8"	"262"	"486"	""	"486"	""
"166"	"86"	"15"	"9"	"119"	"231"	"13"	"8"	"33"	"10"	"11"	"13"	"21"	"8"	"8"	"90"	"589"	""	"589"	""
"167"	"87"	"29"	"12"	"126"	"126"	"4"	"5"	"25"	"13"	"7"	"10"	"16"	"12"	"17"	"99"	"501"	""	"501"	""
"168"	"88"	"6"	"6"	"125"	"17"	"1"	"0"	"1"	"4"	"5"	"1"	"11"	"11"	"9"	"401"	"598"	""	"598"	""
"169"	"89"	"20"	"4"	"128"	"90"	"5"	"4"	"12"	"9"	"5"	"5"	"7"	"1"	"9"	"185"	"484"	""	"484"	""
"170"	"90"	"38"	"8"	"385"	"34"	"3"	"5"	"5"	"20"	"3"	"2"	"7"	"2"	"4"	"49"	"565"	""	"565"	""
