"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"14"	"13"	"24"	"26"	"346"	"62"	"3"	"0"	"4"	"6"	"3"	"5"	"5"	"484"	""	"484"	""
"15"	"14"	"12"	"1"	"291"	"193"	"2"	"1"	"1"	"4"	"3"	"1"	"3"	"512"	""	"512"	""
"16"	"Grand
Total"	"275"	"787"	"3586"	"2313"	"74"	"94"	"94"	"191"	"144"	"95"	"111"	"7764"	"0"	"7764"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"18"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"19"	"15"	"46"	"4"	"148"	"147"	"2"	"1"	"0"	"9"	"2"	"4"	"0"	"363"	""	"363"	""
"20"	"16"	"22"	"43"	"363"	"201"	"9"	"9"	"10"	"21"	"17"	"11"	"31"	"737"	""	"737"	""
"21"	"17"	"50"	"88"	"364"	"232"	"7"	"11"	"4"	"17"	"8"	"15"	"2"	"798"	""	"798"	""
"22"	"18"	"8"	"10"	"187"	"106"	"7"	"12"	"10"	"18"	"9"	"14"	"12"	"393"	""	"393"	""
"23"	"19"	"45"	"124"	"132"	"302"	"12"	"8"	"1"	"31"	"17"	"10"	"7"	"689"	""	"689"	""
"24"	"20"	"15"	"19"	"505"	"125"	"5"	"3"	"3"	"10"	"10"	"4"	"7"	"706"	""	"706"	""
"25"	"21"	"13"	"22"	"210"	"90"	"4"	"6"	"9"	"16"	"19"	"4"	"17"	"410"	""	"410"	""
"26"	"22"	"7"	"88"	"131"	"129"	"8"	"3"	"4"	"16"	"10"	"8"	"10"	"414"	""	"414"	""
"27"	"23"	"13"	"91"	"407"	"56"	"28"	"4"	"10"	"4"	"7"	"6"	"11"	"637"	""	"637"	""
"28"	"24"	"24"	"88"	"231"	"108"	"32"	"8"	"6"	"12"	"8"	"5"	"12"	"534"	""	"534"	""
"29"	"25"	"11"	"24"	"115"	"290"	"8"	"11"	"5"	"12"	"9"	"12"	"8"	"505"	""	"505"	""
"30"	"26"	"6"	"35"	"84"	"193"	"6"	"7"	"1"	"13"	"10"	"15"	"8"	"378"	""	"378"	""
"31"	"27"	"22"	"56"	"356"	"361"	"12"	"13"	"8"	"32"	"16"	"11"	"13"	"900"	""	"900"	""
"32"	"28"	"11"	"24"	"115"	"290"	"8"	"11"	"5"	"12"	"9"	"12"	"8"	"505"	""	"505"	""
"33"	"Grand
Total"	"293"	"716"	"3348"	"2630"	"148"	"107"	"76"	"223"	"151"	"131"	"146"	"7969"	"0"	"7969"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"36"	"29"	"15"	"50"	"196"	"301"	"18"	"11"	"15"	"22"	"7"	"10"	"9"	"654"	""	"654"	""
"37"	"30"	"21"	"184"	"174"	"212"	"29"	"14"	"11"	"28"	"22"	"18"	"21"	"734"	""	"734"	""
"38"	"31"	"22"	"196"	"252"	"106"	"13"	"15"	"13"	"10"	"14"	"16"	"36"	"693"	""	"693"	""
"39"	"32"	"33"	"165"	"267"	"179"	"11"	"12"	"11"	"21"	"16"	"11"	"19"	"745"	""	"745"	""
"40"	"33"	"5"	"60"	"111"	"109"	"4"	"2"	"4"	"3"	"4"	"7"	"6"	"315"	""	"315"	""
"41"	"34"	"6"	"51"	"145"	"262"	"6"	"11"	"1"	"12"	"6"	"4"	"3"	"507"	""	"507"	""
"42"	"35"	"17"	"160"	"304"	"301"	"15"	"14"	"16"	"51"	"19"	"25"	"25"	"947"	""	"947"	""
"43"	"36"	"12"	"114"	"153"	"197"	"10"	"12"	"15"	"42"	"19"	"26"	"40"	"640"	""	"640"	""
"44"	"37"	"36"	"54"	"316"	"288"	"9"	"12"	"4"	"20"	"13"	"8"	"9"	"769"	""	"769"	""
"45"	"38"	"10"	"40"	"216"	"214"	"8"	"14"	"3"	"16"	"16"	"17"	"4"	"558"	""	"558"	""
"46"	"39"	"9"	"86"	"367"	"128"	"5"	"6"	"3"	"3"	"9"	"5"	"3"	"624"	""	"624"	""
"47"	"40"	"1"	"35"	"378"	"180"	"6"	"5"	"6"	"10"	"15"	"4"	"11"	"651"	""	"651"	""
"48"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"49"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"50"	"Grand
Total"	"187"	"1195"	"2879"	"2477"	"134"	"128"	"102"	"238"	"160"	"151"	"186"	"7837"	"0"	"7837"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"53"	"43"	"17"	"224"	"156"	"106"	"11"	"8"	"14"	"6"	"12"	"10"	"9"	"573"	""	"573"	""
"54"	"44"	"13"	"60"	"94"	"158"	"6"	"10"	"16"	"31"	"19"	"18"	"28"	"453"	""	"453"	""
"55"	"45"	"10"	"104"	"114"	"96"	"5"	"3"	"11"	"9"	"6"	"5"	"12"	"375"	""	"375"	""
"56"	"46"	"6"	"129"	"54"	"90"	"3"	"1"	"4"	"10"	"10"	"6"	"7"	"320"	""	"320"	""
"57"	"47"	"4"	"84"	"122"	"78"	"3"	"4"	"4"	"2"	"4"	"3"	"10"	"318"	""	"318"	""
"58"	"48"	"8"	"43"	"223"	"290"	"16"	"13"	"14"	"30"	"16"	"19"	"37"	"709"	""	"709"	""
"59"	"49"	"4"	"37"	"233"	"210"	"19"	"8"	"6"	"19"	"8"	"7"	"10"	"561"	""	"561"	""
"60"	"50"	"21"	"76"	"299"	"254"	"7"	"16"	"8"	"25"	"10"	"7"	"12"	"735"	""	"735"	""
"61"	"51"	"10"	"147"	"103"	"134"	"4"	"4"	"3"	"4"	"7"	"5"	"4"	"425"	""	"425"	""
"62"	"52"	"22"	"29"	"394"	"97"	"6"	"10"	"9"	"7"	"11"	"9"	"8"	"602"	""	"602"	""
"63"	"53"	"32"	"19"	"250"	"117"	"5"	"6"	"5"	"10"	"3"	"2"	"5"	"454"	""	"454"	""
"64"	"54"	"50"	"17"	"294"	"127"	"4"	"8"	"4"	"11"	"4"	"1"	"9"	"529"	""	"529"	""
"65"	"55"	"16"	"10"	"600"	"57"	"2"	"5"	"1"	"6"	"3"	"1"	"4"	"705"	""	"705"	""
"66"	"56"	"37"	"21"	"265"	"167"	"7"	"4"	"2"	"13"	"12"	"11"	"8"	"547"	""	"547"	""
"67"	"Grand
Total"	"250"	"1000"	"3201"	"1981"	"98"	"100"	"101"	"183"	"125"	"104"	"163"	"7306"	"0"	"7306"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"70"	"57"	"64"	"39"	"226"	"31"	"3"	"1"	"1"	"4"	"4"	"1"	"3"	"377"	""	"377"	""
"71"	"58"	"7"	"0"	"258"	"7"	"1"	"0"	"0"	"1"	"0"	"6"	"3"	"283"	""	"283"	""
"72"	"59"	"12"	"90"	"156"	"261"	"2"	"9"	"9"	"10"	"12"	"10"	"9"	"580"	""	"580"	""
"73"	"60"	"24"	"8"	"332"	"53"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"420"	""	"420"	""
"74"	"61"	"12"	"11"	"178"	"150"	"11"	"9"	"8"	"18"	"17"	"17"	"16"	"447"	""	"447"	""
"75"	"62"	"4"	"7"	"118"	"263"	"4"	"2"	"0"	"5"	"9"	"1"	"6"	"419"	""	"419"	""
"76"	"63"	"16"	"10"	"399"	"75"	"2"	"8"	"3"	"11"	"14"	"5"	"24"	"567"	""	"567"	""
"77"	"64"	"10"	"2"	"76"	"323"	"11"	"4"	"3"	"12"	"2"	"3"	"3"	"449"	""	"449"	""
"78"	"65"	"31"	"36"	"201"	"91"	"4"	"4"	"3"	"10"	"9"	"6"	"22"	"417"	""	"417"	""
"79"	"66"	"11"	"73"	"234"	"50"	"5"	"3"	"8"	"14"	"13"	"8"	"16"	"435"	""	"435"	""
"80"	"67"	"13"	"7"	"160"	"5"	"2"	"0"	"7"	"2"	"8"	"4"	"17"	"225"	""	"225"	""
"81"	"68"	"65"	"50"	"265"	"93"	"2"	"10"	"11"	"7"	"9"	"5"	"1"	"518"	""	"518"	""
"82"	"69"	"12"	"5"	"161"	"165"	"3"	"7"	"2"	"4"	"5"	"4"	"0"	"368"	""	"368"	""
"83"	"70"	"32"	"25"	"129"	"272"	"15"	"7"	"1"	"2"	"1"	"7"	"3"	"494"	""	"494"	""
"84"	"Grand
Total"	"313"	"363"	"2893"	"1839"	"66"	"64"	"57"	"101"	"103"	"77"	"123"	"5999"	"0"	"5999"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"87"	"71"	"7"	"3"	"120"	"271"	"6"	"6"	"5"	"14"	"7"	"5"	"18"	"462"	""	"462"	""
"88"	"72"	"39"	"94"	"280"	"145"	"7"	"13"	"14"	"18"	"12"	"10"	"22"	"654"	""	"654"	""
"89"	"73"	"56"	"39"	"406"	"34"	"13"	"8"	"12"	"17"	"17"	"2"	"13"	"617"	""	"617"	""
"90"	"74"	"65"	"46"	"545"	"50"	"5"	"1"	"7"	"7"	"7"	"2"	"3"	"738"	""	"738"	""
"91"	"75"	"21"	"27"	"324"	"106"	"3"	"7"	"4"	"8"	"8"	"16"	"10"	"534"	""	"534"	""
"92"	"76"	"33"	"39"	"367"	"95"	"10"	"6"	"11"	"9"	"10"	"7"	"6"	"593"	""	"593"	""
"93"	"77"	"7"	"94"	"125"	"171"	"1"	"5"	"0"	"15"	"9"	"9"	"4"	"440"	""	"440"	""
"94"	"78"	"15"	"209"	"140"	"95"	"4"	"4"	"7"	"3"	"5"	"6"	"7"	"495"	""	"495"	""
"95"	"79"	"14"	"107"	"201"	"142"	"6"	"2"	"14"	"21"	"20"	"24"	"30"	"581"	""	"581"	""
"96"	"80"	"50"	"172"	"113"	"199"	"6"	"7"	"6"	"11"	"14"	"15"	"5"	"598"	""	"598"	""
"97"	"81"	"12"	"362"	"134"	"8"	"1"	"3"	"12"	"3"	"1"	"4"	"2"	"542"	""	"542"	""
"98"	"82"	"5"	"0"	"454"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"462"	""	"462"	""
"99"	"83"	"17"	"92"	"162"	"114"	"3"	"4"	"1"	"9"	"5"	"10"	"13"	"430"	""	"430"	""
"100"	"84"	"6"	"112"	"106"	"147"	"2"	"4"	"1"	"11"	"8"	"5"	"3"	"405"	""	"405"	""
"101"	"Grand
Total"	"347"	"1396"	"3477"	"1578"	"68"	"70"	"94"	"146"	"123"	"115"	"137"	"7551"	"0"	"7551"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"104"	"85"	"30"	"72"	"134"	"313"	"11"	"2"	"4"	"9"	"7"	"7"	"7"	"596"	""	"596"	""
"105"	"86"	"18"	"71"	"381"	"34"	"4"	"7"	"6"	"9"	"3"	"1"	"1"	"535"	""	"535"	""
"106"	"87"	"4"	"221"	"74"	"7"	"3"	"2"	"4"	"1"	"1"	"0"	"1"	"318"	""	"318"	""
"107"	"88"	"15"	"28"	"189"	"162"	"12"	"11"	"10"	"17"	"9"	"12"	"13"	"478"	""	"478"	""
"108"	"89"	"10"	"21"	"23"	"286"	"19"	"16"	"4"	"17"	"11"	"11"	"15"	"433"	""	"433"	""
"109"	"90"	"9"	"10"	"29"	"229"	"10"	"14"	"8"	"22"	"17"	"6"	"8"	"362"	""	"362"	""
"110"	"91"	"16"	"180"	"135"	"157"	"9"	"4"	"7"	"10"	"3"	"6"	"16"	"543"	""	"543"	""
"111"	"92"	"57"	"92"	"242"	"137"	"14"	"5"	"4"	"14"	"8"	"7"	"6"	"586"	""	"586"	""
"112"	"93"	"3"	"146"	"58"	"240"	"6"	"7"	"10"	"20"	"14"	"8"	"8"	"520"	""	"520"	""
"113"	"94"	"20"	"79"	"440"	"45"	"7"	"5"	"9"	"8"	"15"	"4"	"12"	"644"	""	"644"	""
"114"	"95"	"4"	"191"	"174"	"33"	"6"	"4"	"6"	"3"	"6"	"9"	"5"	"441"	""	"441"	""
"115"	"96"	"50"	"176"	"250"	"81"	"2"	"6"	"10"	"6"	"8"	"3"	"2"	"594"	""	"594"	""
"116"	"97"	"41"	"266"	"124"	"126"	"12"	"6"	"6"	"14"	"15"	"17"	"19"	"646"	""	"646"	""
"117"	"98"	"16"	"303"	"65"	"20"	"6"	"4"	"12"	"6"	"11"	"12"	"8"	"463"	""	"463"	""
"118"	"Grand
Total"	"293"	"1856"	"2318"	"1870"	"121"	"93"	"100"	"156"	"128"	"103"	"121"	"7159"	"0"	"7159"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"121"	"99"	"9"	"316"	"32"	"12"	"1"	"2"	"4"	"1"	"3"	"3"	"5"	"388"	""	"388"	""
"122"	"100"	"14"	"152"	"185"	"127"	"10"	"2"	"6"	"23"	"9"	"13"	"13"	"554"	""	"554"	""
"123"	"101"	"13"	"298"	"69"	"67"	"4"	"2"	"6"	"2"	"3"	"2"	"6"	"472"	""	"472"	""
"124"	"102"	"35"	"350"	"123"	"35"	"9"	"5"	"8"	"11"	"3"	"7"	"4"	"590"	""	"590"	""
"125"	"103"	"21"	"194"	"289"	"104"	"6"	"12"	"14"	"15"	"10"	"10"	"15"	"690"	""	"690"	""
"126"	"104"	"13"	"63"	"289"	"374"	"9"	"10"	"7"	"14"	"14"	"9"	"22"	"824"	""	"824"	""
"127"	"105"	"18"	"123"	"86"	"141"	"9"	"6"	"12"	"17"	"4"	"8"	"10"	"434"	""	"434"	""
"128"	"106"	"10"	"90"	"50"	"119"	"8"	"10"	"5"	"17"	"4"	"7"	"24"	"344"	""	"344"	""
"129"	"107"	"6"	"204"	"102"	"43"	"5"	"7"	"4"	"8"	"8"	"9"	"9"	"405"	""	"405"	""
"130"	"108"	"15"	"76"	"194"	"192"	"6"	"9"	"5"	"8"	"8"	"3"	"7"	"523"	""	"523"	""
"131"	"109"	"3"	"62"	"33"	"154"	"2"	"6"	"7"	"15"	"10"	"15"	"3"	"310"	""	"310"	""
"132"	"110"	"8"	"56"	"139"	"162"	"9"	"8"	"11"	"29"	"13"	"10"	"8"	"453"	""	"453"	""
"133"	"111"	"8"	"193"	"168"	"116"	"2"	"2"	"1"	"2"	"5"	"4"	"5"	"506"	""	"506"	""
"134"	"112"	"19"	"64"	"82"	"172"	"6"	"8"	"7"	"21"	"5"	"9"	"4"	"397"	""	"397"	""
"135"	"Grand
Total"	"192"	"2241"	"1841"	"1818"	"86"	"89"	"97"	"183"	"99"	"109"	"135"	"6890"	"0"	"6890"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"137"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"138"	"113"	"1"	"43"	"366"	"15"	"1"	"4"	"5"	"6"	"5"	"1"	"3"	"450"	""	"450"	""
"139"	"114"	"40"	"63"	"374"	"97"	"8"	"8"	"11"	"9"	"15"	"7"	"19"	"651"	""	"651"	""
"140"	"115"	"4"	"15"	"363"	"94"	"2"	"0"	"4"	"8"	"9"	"2"	"5"	"506"	""	"506"	""
"141"	"116"	"22"	"10"	"285"	"31"	"6"	"2"	"8"	"15"	"9"	"13"	"7"	"408"	""	"408"	""
"142"	"117"	"8"	"8"	"131"	"197"	"5"	"6"	"4"	"19"	"6"	"4"	"1"	"389"	""	"389"	""
"143"	"118"	"8"	"7"	"243"	"105"	"5"	"6"	"8"	"14"	"11"	"5"	"3"	"415"	""	"415"	""
"144"	"119"	"13"	"9"	"304"	"108"	"15"	"7"	"5"	"12"	"9"	"8"	"21"	"511"	""	"511"	""
"145"	"120"	"29"	"35"	"472"	"126"	"7"	"11"	"10"	"16"	"16"	"20"	"11"	"753"	""	"753"	""
"146"	"121"	"3"	"7"	"268"	"125"	"7"	"3"	"5"	"7"	"6"	"5"	"1"	"437"	""	"437"	""
"147"	"122"	"13"	"20"	"682"	"76"	"5"	"3"	"4"	"12"	"2"	"3"	"4"	"824"	""	"824"	""
"148"	"123"	"8"	"24"	"76"	"269"	"10"	"12"	"7"	"21"	"20"	"11"	"8"	"466"	""	"466"	""
"149"	"124"	"16"	"100"	"250"	"81"	"3"	"5"	"7"	"6"	"10"	"7"	"1"	"486"	""	"486"	""
"150"	"125"	"29"	"68"	"201"	"251"	"11"	"24"	"7"	"15"	"13"	"11"	"1"	"631"	""	"631"	""
"151"	"126"	"13"	"16"	"115"	"228"	"4"	"4"	"5"	"18"	"9"	"5"	"1"	"418"	""	"418"	""
"152"	"Grand
Total"	"207"	"425"	"4130"	"1803"	"89"	"95"	"90"	"178"	"140"	"102"	"86"	"7345"	"0"	"7345"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"155"	"127"	"3"	"57"	"68"	"106"	"5"	"1"	"7"	"13"	"7"	"12"	"6"	"285"	""	"285"	""
"156"	"128"	"19"	"149"	"155"	"269"	"4"	"5"	"4"	"21"	"10"	"10"	"2"	"648"	""	"648"	""
"157"	"129"	"6"	"59"	"285"	"179"	"9"	"7"	"3"	"17"	"10"	"5"	"2"	"582"	""	"582"	""
"158"	"130"	"11"	"67"	"255"	"139"	"8"	"10"	"6"	"16"	"3"	"9"	"17"	"541"	""	"541"	""
"159"	"131"	"32"	"30"	"453"	"79"	"9"	"13"	"8"	"17"	"12"	"12"	"28"	"693"	""	"693"	""
"160"	"132"	"5"	"46"	"482"	"69"	"5"	"3"	"8"	"8"	"9"	"3"	"4"	"642"	""	"642"	""
"161"	"133"	"2"	"6"	"204"	"79"	"4"	"5"	"0"	"2"	"17"	"1"	"8"	"328"	""	"328"	""
"162"	"134"	"14"	"4"	"81"	"222"	"8"	"5"	"5"	"11"	"4"	"5"	"10"	"369"	""	"369"	""
"163"	"135"	"1"	"3"	"88"	"256"	"4"	"2"	"1"	"3"	"3"	"4"	"0"	"365"	""	"365"	""
"164"	"136"	"22"	"67"	"84"	"193"	"11"	"10"	"8"	"8"	"7"	"6"	"5"	"421"	""	"421"	""
"165"	"137"	"13"	"25"	"29"	"282"	"4"	"7"	"3"	"20"	"11"	"9"	"7"	"410"	""	"410"	""
"166"	"138"	"9"	"34"	"51"	"237"	"0"	"9"	"0"	"10"	"7"	"6"	"1"	"364"	""	"364"	""
"167"	"139"	"14"	"81"	"149"	"97"	"7"	"5"	"5"	"14"	"8"	"10"	"9"	"399"	""	"399"	""
"168"	"140"	"4"	"56"	"173"	"64"	"0"	"3"	"4"	"4"	"3"	"3"	"1"	"315"	""	"315"	""
"169"	"Grand
Total"	"155"	"684"	"2557"	"2271"	"78"	"85"	"62"	"164"	"111"	"95"	"100"	"6362"	"0"	"6362"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"172"	"141"	"7"	"53"	"88"	"35"	"4"	"7"	"4"	"5"	"4"	"3"	"1"	"211"	""	"211"	""
"173"	"142"	"9"	"83"	"220"	"150"	"12"	"13"	"13"	"18"	"26"	"8"	"18"	"570"	""	"570"	""
"174"	"143"	"14"	"106"	"152"	"100"	"5"	"11"	"6"	"7"	"3"	"10"	"8"	"422"	""	"422"	""
"175"	"144"	"11"	"102"	"177"	"140"	"5"	"6"	"11"	"26"	"21"	"10"	"11"	"520"	""	"520"	""
"176"	"145"	"0"	"205"	"16"	"1"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"227"	""	"227"	""
"177"	"146"	"9"	"12"	"179"	"246"	"10"	"8"	"6"	"13"	"11"	"7"	"5"	"506"	""	"506"	""
"178"	"147"	"1"	"56"	"160"	"263"	"5"	"3"	"5"	"6"	"4"	"3"	"7"	"513"	""	"513"	""
"179"	"148"	"9"	"10"	"42"	"243"	"3"	"4"	"5"	"26"	"6"	"5"	"9"	"362"	""	"362"	""
"180"	"149"	"6"	"1"	"50"	"273"	"2"	"6"	"2"	"11"	"3"	"4"	"2"	"360"	""	"360"	""
"181"	"150"	"5"	"79"	"148"	"81"	"9"	"3"	"8"	"10"	"24"	"17"	"20"	"404"	""	"404"	""
"182"	"151"	"8"	"63"	"236"	"54"	"6"	"4"	"7"	"6"	"6"	"7"	"7"	"404"	""	"404"	""
"183"	"152"	"1"	"129"	"86"	"97"	"3"	"6"	"5"	"5"	"5"	"3"	"1"	"341"	""	"341"	""
"184"	"153"	"30"	"60"	"240"	"119"	"14"	"10"	"1"	"12"	"7"	"5"	"3"	"501"	""	"501"	""
"185"	"154"	"66"	"174"	"332"	"107"	"8"	"11"	"20"	"17"	"16"	"10"	"7"	"768"	""	"768"	""
"186"	"Grand
Total"	"176"	"1133"	"2126"	"1909"	"88"	"92"	"95"	"162"	"136"	"93"	"99"	"6109"	"0"	"6109"	"0"
