"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"62"	"52"	"22"	"7"	"178"	"18"	"10"	"8"	"83"	"5"	"6"	"136"	"13"	"486"	"0"	"486"	"0"
"63"	"53"	"7"	"5"	"45"	"4"	"57"	"43"	"73"	"7"	"8"	"40"	"12"	"301"	"0"	"301"	"0"
"64"	"54"	"20"	"11"	"82"	"11"	"32"	"15"	"51"	"3"	"5"	"24"	"8"	"262"	"0"	"262"	"0"
"65"	"55"	"13"	"4"	"7"	"1"	"39"	"270"	"101"	"11"	"20"	"128"	"15"	"609"	"0"	"609"	"0"
"66"	"56"	"16"	"2"	"35"	"5"	"18"	"137"	"32"	"5"	"2"	"15"	"14"	"281"	"0"	"281"	"0"
"67"	"Round
Total"	"188"	"78"	"1558"	"130"	"545"	"995"	"810"	"73"	"115"	"809"	"148"	"5449"	""	"5449"	"0"
"68"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"69"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"70"	"57"	"5"	"3"	"31"	"2"	"23"	"193"	"73"	"4"	"0"	"13"	"11"	"358"	"0"	"358"	"0"
"71"	"58"	"12"	"5"	"7"	"0"	"12"	"265"	"80"	"12"	"8"	"16"	"26"	"443"	"0"	"443"	"0"
"72"	"59"	"5"	"1"	"8"	"2"	"13"	"389"	"28"	"1"	"2"	"4"	"10"	"463"	"0"	"463"	"0"
"73"	"60"	"25"	"5"	"40"	"5"	"126"	"19"	"316"	"13"	"6"	"25"	"18"	"598"	"0"	"598"	"0"
"74"	"61"	"2"	"0"	"11"	"3"	"12"	"4"	"391"	"5"	"1"	"9"	"2"	"440"	"0"	"440"	"0"
"75"	"62"	"6"	"2"	"17"	"3"	"14"	"7"	"313"	"4"	"4"	"9"	"8"	"387"	"0"	"387"	"0"
"76"	"63"	"4"	"14"	"34"	"3"	"54"	"4"	"95"	"4"	"6"	"18"	"5"	"241"	"0"	"241"	"0"
"77"	"64"	"4"	"4"	"29"	"8"	"119"	"28"	"58"	"1"	"4"	"2"	"11"	"268"	"0"	"268"	"0"
"78"	"65"	"1"	"0"	"10"	"2"	"8"	"4"	"310"	"3"	"2"	"9"	"2"	"351"	"0"	"351"	"0"
"79"	"66"	"5"	"2"	"50"	"3"	"3"	"4"	"193"	"4"	"4"	"1"	"3"	"272"	"0"	"272"	"0"
"80"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"382"	"1"	"0"	"0"	"1"	"384"	"0"	"384"	"0"
"81"	"68"	"48"	"14"	"69"	"14"	"28"	"30"	"296"	"12"	"12"	"86"	"28"	"637"	"0"	"637"	"0"
"82"	"69"	"4"	"3"	"65"	"4"	"10"	"65"	"132"	"4"	"3"	"9"	"7"	"306"	"0"	"306"	"0"
"83"	"70"	"8"	"5"	"20"	"6"	"25"	"11"	"332"	"13"	"5"	"11"	"29"	"465"	"0"	"465"	"0"
"84"	"Round
Total"	"129"	"58"	"391"	"55"	"447"	"1023"	"2999"	"81"	"57"	"212"	"161"	"5613"	"0"	"5613"	"0"
"85"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"86"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"87"	"71"	"0"	"0"	"1"	"1"	"5"	"0"	"386"	"1"	"0"	"3"	"5"	"402"	"0"	"402"	"0"
"88"	"72"	"0"	"1"	"2"	"0"	"5"	"16"	"357"	"1"	"0"	"3"	"0"	"385"	"0"	"385"	"0"
"89"	"73"	"3"	"1"	"0"	"2"	"9"	"13"	"229"	"11"	"3"	"26"	"16"	"313"	"0"	"313"	"0"
"90"	"74"	"5"	"0"	"1"	"2"	"7"	"3"	"410"	"2"	"0"	"0"	"0"	"430"	"0"	"430"	"0"
"91"	"75"	"7"	"6"	"65"	"4"	"6"	"16"	"132"	"5"	"4"	"116"	"10"	"371"	"0"	"371"	"0"
"92"	"76"	"18"	"4"	"22"	"5"	"22"	"17"	"225"	"13"	"14"	"56"	"20"	"416"	"0"	"416"	"0"
"93"	"77"	"8"	"1"	"73"	"8"	"19"	"97"	"212"	"10"	"8"	"47"	"21"	"504"	"0"	"504"	"0"
"94"	"78"	"10"	"3"	"29"	"5"	"19"	"9"	"86"	"5"	"1"	"15"	"17"	"199"	"0"	"199"	"0"
"95"	"79"	"31"	"12"	"78"	"7"	"17"	"34"	"237"	"6"	"9"	"44"	"13"	"488"	"0"	"488"	"0"
"96"	"80"	"38"	"10"	"66"	"3"	"29"	"103"	"88"	"5"	"11"	"24"	"16"	"393"	"0"	"393"	"0"
"97"	"81"	"11"	"7"	"26"	"4"	"18"	"72"	"158"	"7"	"4"	"4"	"7"	"318"	"0"	"318"	"0"
"98"	"82"	"12"	"3"	"21"	"2"	"7"	"25"	"175"	"8"	"2"	"18"	"15"	"288"	"0"	"288"	"0"
"99"	"83"	"3"	"0"	"8"	"1"	"6"	"65"	"259"	"1"	"1"	"1"	"3"	"348"	"0"	"348"	"0"
"100"	"84"	"19"	"3"	"15"	"1"	"19"	"6"	"289"	"7"	"2"	"3"	"8"	"372"	"0"	"372"	"0"
"101"	"Round
Total"	"165"	"51"	"407"	"45"	"188"	"476"	"3243"	"82"	"59"	"360"	"151"	"5227"	"0"	"5227"	"0"
"102"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"103"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"104"	"85"	"28"	"1"	"42"	"9"	"15"	"186"	"284"	"18"	"9"	"16"	"48"	"656"	"0"	"656"	"0"
"105"	"86"	"9"	"4"	"56"	"3"	"5"	"192"	"183"	"8"	"4"	"8"	"3"	"475"	"0"	"475"	"0"
"106"	"87"	"28"	"23"	"79"	"2"	"28"	"150"	"142"	"2"	"7"	"9"	"11"	"481"	"0"	"481"	"0"
"107"	"88"	"13"	"4"	"113"	"6"	"14"	"56"	"182"	"2"	"5"	"23"	"7"	"425"	"0"	"425"	"0"
"108"	"89"	"24"	"15"	"94"	"4"	"12"	"28"	"239"	"4"	"2"	"96"	"2"	"520"	"0"	"520"	"0"
"109"	"90"	"26"	"10"	"161"	"5"	"7"	"13"	"107"	"3"	"5"	"25"	"5"	"367"	"0"	"367"	"0"
"110"	"91"	"11"	"2"	"15"	"2"	"11"	"47"	"173"	"5"	"3"	"75"	"7"	"351"	"0"	"351"	"0"
"111"	"92"	"13"	"2"	"20"	"10"	"23"	"95"	"296"	"9"	"10"	"30"	"9"	"517"	"0"	"517"	"0"
"112"	"93"	"9"	"22"	"39"	"2"	"7"	"157"	"123"	"2"	"6"	"53"	"16"	"436"	"0"	"436"	"0"
"113"	"94"	"1"	"8"	"30"	"3"	"2"	"112"	"53"	"2"	"1"	"21"	"2"	"235"	"0"	"235"	"0"
"114"	"95"	"16"	"106"	"19"	"3"	"12"	"45"	"274"	"1"	"5"	"16"	"3"	"500"	"0"	"500"	"0"
"115"	"96"	"1"	"0"	"0"	"0"	"3"	"2"	"206"	"1"	"0"	"5"	"2"	"220"	"0"	"220"	"0"
"116"	"97"	"9"	"16"	"30"	"5"	"63"	"18"	"61"	"4"	"3"	"67"	"18"	"294"	"0"	"294"	"0"
"117"	"98"	"14"	"16"	"12"	"6"	"59"	"12"	"110"	"6"	"5"	"39"	"8"	"287"	"0"	"287"	"0"
"118"	"Round
Total"	"202"	"229"	"710"	"60"	"261"	"1113"	"2433"	"67"	"65"	"483"	"141"	"5764"	"0"	"5764"	"0"
"119"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"120"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"121"	"99"	"6"	"1"	"38"	"7"	"19"	"31"	"463"	"8"	"5"	"34"	"13"	"625"	"0"	"625"	"0"
"122"	"100"	"16"	"6"	"226"	"11"	"85"	"27"	"295"	"5"	"9"	"13"	"13"	"706"	"0"	"706"	"0"
"123"	"101"	"52"	"25"	"133"	"20"	"20"	"40"	"58"	"17"	"9"	"8"	"15"	"397"	"0"	"397"	"0"
"124"	"102"	"6"	"2"	"127"	"4"	"10"	"19"	"273"	"1"	"5"	"35"	"12"	"494"	"0"	"494"	"0"
"125"	"103"	"9"	"2"	"39"	"0"	"9"	"19"	"196"	"0"	"6"	"16"	"5"	"301"	"0"	"301"	"0"
"126"	"104"	"33"	"23"	"101"	"16"	"21"	"49"	"149"	"10"	"7"	"151"	"14"	"574"	"0"	"574"	"0"
"127"	"105"	"19"	"10"	"99"	"21"	"27"	"131"	"87"	"11"	"8"	"81"	"38"	"532"	"0"	"532"	"0"
"128"	"106"	"29"	"57"	"84"	"10"	"10"	"32"	"48"	"2"	"9"	"21"	"8"	"310"	"0"	"310"	"0"
"129"	"107"	"31"	"9"	"110"	"8"	"31"	"172"	"50"	"0"	"8"	"6"	"4"	"429"	"0"	"429"	"0"
"130"	"108"	"39"	"0"	"108"	"9"	"23"	"55"	"163"	"13"	"12"	"7"	"17"	"446"	"0"	"446"	"0"
"131"	"109"	"21"	"13"	"164"	"12"	"18"	"31"	"134"	"11"	"4"	"32"	"12"	"452"	"0"	"452"	"0"
"132"	"110"	"18"	"5"	"150"	"11"	"18"	"113"	"80"	"4"	"6"	"12"	"22"	"439"	"0"	"439"	"0"
"133"	"111"	"28"	"9"	"45"	"7"	"21"	"154"	"244"	"4"	"1"	"33"	"6"	"552"	"0"	"552"	"0"
"134"	"112"	"12"	"6"	"155"	"4"	"18"	"66"	"112"	"6"	"5"	"12"	"16"	"412"	"0"	"412"	"0"
"135"	"Round
Total"	"319"	"168"	"1579"	"140"	"330"	"939"	"2352"	"92"	"94"	"461"	"195"	"6669"	"0"	"6669"	"0"
"136"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"137"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"138"	"113"	"1"	"5"	"28"	"4"	"7"	"17"	"95"	"0"	"2"	"6"	"4"	"169"	"0"	"169"	"0"
"139"	"114"	"16"	"12"	"135"	"8"	"24"	"32"	"110"	"6"	"15"	"23"	"16"	"397"	"0"	"397"	"0"
"140"	"115"	"17"	"13"	"234"	"10"	"13"	"51"	"68"	"3"	"3"	"36"	"8"	"456"	"0"	"456"	"0"
"141"	"116"	"39"	"12"	"209"	"17"	"32"	"39"	"139"	"6"	"12"	"26"	"12"	"543"	"0"	"543"	"0"
"142"	"117"	"32"	"2"	"142"	"6"	"18"	"96"	"121"	"6"	"6"	"49"	"16"	"494"	"0"	"494"	"0"
"143"	"118"	"16"	"5"	"80"	"3"	"20"	"18"	"125"	"8"	"5"	"17"	"7"	"304"	"0"	"304"	"0"
"144"	"119"	"25"	"10"	"117"	"5"	"8"	"10"	"69"	"4"	"7"	"67"	"13"	"335"	"0"	"335"	"0"
"145"	"120"	"12"	"0"	"10"	"2"	"11"	"56"	"152"	"7"	"1"	"19"	"6"	"276"	"0"	"276"	"0"
"146"	"121"	"29"	"9"	"173"	"9"	"14"	"101"	"81"	"7"	"7"	"24"	"20"	"474"	"0"	"474"	"0"
"147"	"122"	"29"	"6"	"183"	"12"	"21"	"95"	"145"	"6"	"4"	"19"	"15"	"535"	"0"	"535"	"0"
"148"	"123"	"45"	"22"	"330"	"18"	"21"	"60"	"40"	"4"	"7"	"26"	"17"	"590"	"0"	"590"	"0"
"149"	"124"	"15"	"4"	"78"	"7"	"15"	"58"	"144"	"6"	"3"	"40"	"10"	"380"	"0"	"380"	"0"
"150"	"125"	"16"	"9"	"93"	"11"	"14"	"43"	"188"	"3"	"2"	"17"	"15"	"411"	"0"	"411"	"0"
"151"	"126"	"10"	"7"	"73"	"11"	"19"	"118"	"110"	"2"	"3"	"19"	"15"	"387"	"0"	"387"	"0"
"152"	"Round
Total"	"302"	"116"	"1885"	"123"	"237"	"794"	"1587"	"68"	"77"	"388"	"174"	"5751"	"0"	"5751"	"0"
"153"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"154"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"155"	"127"	"19"	"6"	"69"	"5"	"22"	"274"	"50"	"9"	"6"	"28"	"25"	"513"	"0"	"513"	"0"
"156"	"128"	"5"	"7"	"202"	"9"	"12"	"79"	"74"	"7"	"11"	"36"	"12"	"454"	"0"	"454"	"0"
"157"	"129"	"12"	"8"	"83"	"3"	"14"	"109"	"168"	"5"	"12"	"117"	"14"	"545"	"0"	"545"	"0"
"158"	"130"	"32"	"8"	"24"	"9"	"13"	"108"	"212"	"8"	"4"	"4"	"10"	"432"	"0"	"432"	"0"
"159"	"131"	"43"	"16"	"27"	"5"	"27"	"261"	"70"	"2"	"3"	"7"	"13"	"474"	"0"	"474"	"0"
"160"	"132"	"16"	"1"	"18"	"5"	"8"	"184"	"17"	"4"	"2"	"9"	"11"	"275"	"0"	"275"	"0"
"161"	"133"	"6"	"1"	"10"	"3"	"7"	"306"	"5"	"2"	"1"	"2"	"6"	"349"	"0"	"349"	"0"
"162"	"134"	"3"	"1"	"53"	"7"	"7"	"134"	"16"	"3"	"2"	"4"	"3"	"233"	"0"	"233"	"0"
"163"	"135"	"7"	"0"	"18"	"3"	"5"	"190"	"10"	"0"	"0"	"1"	"2"	"236"	"0"	"236"	"0"
"164"	"136"	"14"	"4"	"69"	"3"	"30"	"408"	"53"	"6"	"6"	"7"	"16"	"616"	"0"	"616"	"0"
"165"	"137"	"12"	"2"	"42"	"3"	"20"	"247"	"39"	"5"	"10"	"7"	"42"	"429"	"0"	"429"	"0"
"166"	"138"	"2"	"1"	"19"	"4"	"8"	"222"	"101"	"3"	"3"	"15"	"8"	"386"	"0"	"386"	"0"
"167"	"139"	"7"	"0"	"37"	"1"	"19"	"221"	"67"	"7"	"2"	"12"	"14"	"387"	"0"	"387"	"0"
"168"	"140"	"5"	"72"	"94"	"7"	"35"	"75"	"28"	"5"	"13"	"68"	"18"	"420"	"0"	"420"	"0"
"169"	"Round
Total"	"183"	"127"	"765"	"67"	"227"	"2818"	"910"	"66"	"75"	"317"	"194"	"5749"	"0"	"5749"	"0"
"170"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"171"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"172"	"141"	"2"	"5"	"37"	"3"	"5"	"66"	"83"	"4"	"12"	"67"	"37"	"321"	"0"	"321"	"0"
"173"	"142"	"18"	"3"	"159"	"8"	"23"	"99"	"208"	"4"	"6"	"20"	"6"	"554"	"0"	"554"	"0"
"174"	"143"	"13"	"4"	"156"	"15"	"24"	"32"	"100"	"4"	"10"	"18"	"18"	"394"	"0"	"394"	"0"
"175"	"144"	"21"	"5"	"183"	"13"	"13"	"23"	"226"	"11"	"14"	"15"	"12"	"536"	"0"	"536"	"0"
"176"	"145"	"9"	"3"	"20"	"3"	"1"	"1"	"13"	"2"	"10"	"106"	"11"	"179"	"0"	"179"	"0"
"177"	"146"	"21"	"15"	"127"	"13"	"16"	"29"	"128"	"5"	"2"	"48"	"5"	"409"	"0"	"409"	"0"
"178"	"147"	"14"	"3"	"86"	"9"	"70"	"19"	"170"	"9"	"9"	"13"	"9"	"411"	"0"	"411"	"0"
"179"	"148"	"17"	"9"	"33"	"5"	"17"	"15"	"218"	"19"	"8"	"22"	"34"	"397"	"0"	"397"	"0"
"180"	"149"	"15"	"39"	"73"	"8"	"28"	"19"	"121"	"10"	"7"	"23"	"13"	"356"	"0"	"356"	"0"
"181"	"150"	"1"	"5"	"51"	"0"	"5"	"35"	"472"	"0"	"0"	"16"	"2"	"587"	"0"	"587"	"0"
