"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"74"	"53"	"14"	"216"	"6"	"14"	"159"	"16"	"3"	"16"	"8"	"452"	""	"452"	""
"75"	"54"	"8"	"316"	"14"	"14"	"61"	"11"	"2"	"5"	"10"	"441"	""	"441"	""
"76"	"55"	"26"	"289"	"15"	"9"	"169"	"11"	"6"	"11"	"16"	"552"	""	"552"	""
"77"	"56"	"24"	"144"	"9"	"28"	"239"	"18"	"5"	"10"	"29"	"506"	""	"506"	""
"78"	"Page Total"	"1879"	"10621"	"636"	"1304"	"14617"	"1100"	"433"	"584"	"1040"	"32214"	"0"	"32214"	"0"
"79"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"82"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"83"	"B.F."	"1879"	"10621"	"636"	"1304"	"14617"	"1100"	"433"	"584"	"1040"	"32214"	"0"	"32214"	"0"
"84"	"57"	"10"	"270"	"11"	"3"	"71"	"3"	"9"	"4"	"7"	"388"	""	"388"	""
"85"	"58"	"16"	"113"	"6"	"5"	"326"	"16"	"7"	"10"	"17"	"516"	""	"516"	""
"86"	"59"	"12"	"197"	"6"	"9"	"208"	"21"	"3"	"4"	"6"	"466"	""	"466"	""
"87"	"60"	"15"	"213"	"7"	"1"	"101"	"9"	"5"	"8"	"5"	"364"	""	"364"	""
"88"	"61"	"10"	"121"	"3"	"5"	"226"	"11"	"13"	"4"	"16"	"409"	""	"409"	""
"89"	"62"	"27"	"347"	"13"	"8"	"52"	"10"	"2"	"13"	"6"	"478"	""	"478"	""
"90"	"63"	"18"	"61"	"6"	"5"	"288"	"18"	"5"	"5"	"17"	"423"	""	"423"	""
"91"	"64"	"29"	"191"	"20"	"7"	"122"	"24"	"10"	"9"	"9"	"421"	""	"421"	""
"92"	"65"	"64"	"109"	"7"	"6"	"323"	"8"	"1"	"4"	"5"	"527"	""	"527"	""
"93"	"66"	"173"	"45"	"5"	"0"	"192"	"6"	"1"	"0"	"7"	"429"	""	"429"	""
"94"	"67"	"74"	"169"	"9"	"9"	"279"	"18"	"11"	"14"	"25"	"608"	""	"608"	""
"95"	"68"	"6"	"76"	"5"	"9"	"236"	"14"	"7"	"0"	"10"	"363"	""	"363"	""
"96"	"69"	"3"	"128"	"3"	"2"	"218"	"12"	"8"	"17"	"11"	"402"	""	"402"	""
"97"	"70"	"17"	"274"	"13"	"1"	"146"	"8"	"10"	"9"	"10"	"488"	""	"488"	""
"98"	"Page Total"	"2353"	"12935"	"750"	"1374"	"17405"	"1278"	"525"	"685"	"1191"	"38496"	"0"	"38496"	"0"
"99"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"102"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"103"	"B.F."	"2353"	"12935"	"750"	"1374"	"17405"	"1278"	"525"	"685"	"1191"	"38496"	"0"	"38496"	"0"
"104"	"71"	"20"	"160"	"3"	"2"	"129"	"5"	"10"	"4"	"4"	"337"	""	"337"	""
"105"	"72"	"19"	"72"	"6"	"3"	"106"	"10"	"4"	"4"	"6"	"230"	""	"230"	""
"106"	"73"	"16"	"243"	"6"	"8"	"187"	"19"	"10"	"9"	"17"	"515"	""	"515"	""
"107"	"74"	"8"	"139"	"10"	"6"	"204"	"24"	"6"	"8"	"21"	"426"	""	"426"	""
"108"	"75"	"15"	"141"	"10"	"7"	"203"	"20"	"6"	"20"	"15"	"437"	""	"437"	""
"109"	"76"	"14"	"147"	"12"	"5"	"257"	"11"	"7"	"8"	"11"	"472"	""	"472"	""
"110"	"77"	"15"	"65"	"4"	"5"	"170"	"10"	"3"	"6"	"14"	"292"	""	"292"	""
"111"	"78"	"35"	"300"	"18"	"10"	"380"	"35"	"18"	"32"	"37"	"865"	""	"865"	""
"112"	"79"	"15"	"101"	"4"	"2"	"247"	"23"	"8"	"7"	"7"	"414"	""	"414"	""
"113"	"80"	"23"	"80"	"9"	"2"	"341"	"31"	"18"	"9"	"32"	"545"	""	"545"	""
"114"	"81"	"19"	"96"	"6"	"6"	"363"	"19"	"11"	"7"	"20"	"547"	""	"547"	""
"115"	"82"	"15"	"123"	"2"	"4"	"144"	"10"	"4"	"1"	"0"	"303"	""	"303"	""
"116"	"83"	"55"	"113"	"8"	"2"	"332"	"8"	"1"	"1"	"4"	"524"	""	"524"	""
"117"	"84"	"11"	"95"	"2"	"4"	"209"	"10"	"2"	"3"	"5"	"341"	""	"341"	""
"118"	"Page Total"	"2633"	"14810"	"850"	"1440"	"20677"	"1513"	"633"	"804"	"1384"	"44744"	"0"	"44744"	"0"
"119"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"122"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"123"	"B.F."	"2633"	"14810"	"850"	"1440"	"20677"	"1513"	"633"	"804"	"1384"	"44744"	"0"	"44744"	"0"
"124"	"85"	"92"	"41"	"6"	"5"	"290"	"16"	"11"	"10"	"26"	"497"	""	"497"	""
"125"	"86"	"26"	"76"	"5"	"5"	"254"	"19"	"4"	"7"	"17"	"413"	""	"413"	""
"126"	"87"	"17"	"102"	"6"	"7"	"172"	"18"	"7"	"5"	"16"	"350"	""	"350"	""
"127"	"88"	"45"	"280"	"14"	"9"	"183"	"7"	"7"	"10"	"12"	"567"	""	"567"	""
"128"	"89"	"50"	"191"	"13"	"6"	"440"	"26"	"6"	"13"	"18"	"763"	""	"763"	""
"129"	"90"	"32"	"243"	"6"	"14"	"305"	"21"	"8"	"7"	"30"	"666"	""	"666"	""
"130"	"91"	"23"	"100"	"9"	"7"	"446"	"38"	"10"	"14"	"22"	"669"	""	"669"	""
"131"	"92"	"29"	"202"	"8"	"8"	"348"	"19"	"16"	"18"	"34"	"682"	""	"682"	""
"132"	"93"	"16"	"374"	"5"	"3"	"63"	"7"	"9"	"15"	"10"	"502"	""	"502"	""
"133"	"94"	"19"	"256"	"14"	"4"	"84"	"8"	"6"	"19"	"17"	"427"	""	"427"	""
"134"	"95"	"111"	"192"	"10"	"5"	"322"	"19"	"5"	"11"	"14"	"689"	""	"689"	""
"135"	"96"	"24"	"95"	"5"	"5"	"354"	"9"	"4"	"6"	"11"	"513"	""	"513"	""
"136"	"97"	"53"	"174"	"7"	"10"	"339"	"17"	"2"	"6"	"10"	"618"	""	"618"	""
"137"	"98"	"36"	"439"	"24"	"6"	"211"	"11"	"8"	"29"	"18"	"782"	""	"782"	""
"138"	"Page Total"	"3206"	"17575"	"982"	"1534"	"24488"	"1748"	"736"	"974"	"1639"	"52882"	"0"	"52882"	"0"
"139"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"142"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"143"	"B.F."	"3206"	"17575"	"982"	"1534"	"24488"	"1748"	"736"	"974"	"1639"	"52882"	"0"	"52882"	"0"
"144"	"99"	"30"	"109"	"4"	"5"	"306"	"15"	"5"	"5"	"14"	"493"	""	"493"	""
"145"	"100"	"34"	"321"	"11"	"4"	"278"	"17"	"6"	"14"	"11"	"696"	""	"696"	""
"146"	"101"	"22"	"393"	"11"	"2"	"159"	"5"	"3"	"7"	"15"	"617"	""	"617"	""
"147"	"102"	"12"	"100"	"6"	"9"	"518"	"18"	"7"	"8"	"15"	"693"	""	"693"	""
"148"	"103"	"28"	"254"	"15"	"5"	"250"	"11"	"9"	"5"	"6"	"583"	""	"583"	""
"149"	"104"	"17"	"48"	"7"	"4"	"355"	"27"	"3"	"6"	"19"	"486"	""	"486"	""
"150"	"105"	"20"	"300"	"11"	"5"	"87"	"6"	"2"	"16"	"7"	"454"	""	"454"	""
"151"	"106"	"22"	"236"	"8"	"1"	"82"	"4"	"2"	"10"	"10"	"375"	""	"375"	""
"152"	"107"	"197"	"60"	"5"	"4"	"243"	"16"	"8"	"13"	"16"	"562"	""	"562"	""
"153"	"108"	"18"	"225"	"8"	"3"	"96"	"8"	"5"	"10"	"13"	"386"	""	"386"	""
"154"	"109"	"28"	"174"	"14"	"8"	"135"	"10"	"17"	"25"	"49"	"460"	""	"460"	""
"155"	"110"	"22"	"328"	"13"	"8"	"238"	"11"	"4"	"20"	"18"	"662"	""	"662"	""
"156"	"111"	"7"	"269"	"15"	"3"	"184"	"14"	"10"	"13"	"13"	"528"	""	"528"	""
"157"	"112"	"16"	"254"	"8"	"8"	"438"	"24"	"16"	"13"	"16"	"793"	""	"793"	""
"158"	"Page Total"	"3679"	"20646"	"1118"	"1603"	"27857"	"1934"	"833"	"1139"	"1861"	"60670"	"0"	"60670"	"0"
"159"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"163"	"B.F."	"3679"	"20646"	"1118"	"1603"	"27857"	"1934"	"833"	"1139"	"1861"	"60670"	"0"	"60670"	"0"
"164"	"113"	"6"	"300"	"11"	"2"	"118"	"4"	"3"	"5"	"9"	"458"	""	"458"	""
"165"	"114"	"13"	"168"	"6"	"2"	"329"	"9"	"4"	"5"	"9"	"545"	""	"545"	""
"166"	"115"	"9"	"165"	"32"	"13"	"291"	"39"	"11"	"17"	"35"	"612"	""	"612"	""
"167"	"116"	"28"	"142"	"8"	"3"	"220"	"14"	"2"	"8"	"12"	"437"	""	"437"	""
"168"	"117"	"9"	"488"	"5"	"3"	"58"	"4"	"2"	"6"	"4"	"579"	""	"579"	""
"169"	"118"	"15"	"339"	"5"	"3"	"65"	"5"	"7"	"15"	"11"	"465"	""	"465"	""
"170"	"119"	"6"	"270"	"1"	"2"	"197"	"6"	"8"	"6"	"8"	"504"	""	"504"	""
"171"	"120"	"23"	"218"	"10"	"12"	"334"	"32"	"12"	"14"	"51"	"706"	""	"706"	""
"172"	"121"	"31"	"220"	"12"	"10"	"202"	"15"	"2"	"6"	"23"	"521"	""	"521"	""
"173"	"122"	"45"	"353"	"23"	"10"	"235"	"15"	"10"	"19"	"35"	"745"	""	"745"	""
"174"	"123"	"20"	"243"	"13"	"5"	"88"	"9"	"7"	"11"	"5"	"401"	""	"401"	""
"175"	"124"	"38"	"158"	"5"	"4"	"193"	"14"	"3"	"3"	"3"	"421"	""	"421"	""
"176"	"125"	"26"	"230"	"20"	"11"	"244"	"12"	"4"	"17"	"16"	"580"	""	"580"	""
"177"	"126"	"15"	"447"	"14"	"3"	"58"	"9"	"3"	"18"	"21"	"588"	""	"588"	""
"178"	"Page Total"	"3963"	"24387"	"1283"	"1686"	"30489"	"2121"	"911"	"1289"	"2103"	"68232"	"0"	"68232"	"0"
"179"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"182"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"183"	"B.F."	"3963"	"24387"	"1283"	"1686"	"30489"	"2121"	"911"	"1289"	"2103"	"68232"	"0"	"68232"	"0"
"184"	"127"	"24"	"269"	"8"	"8"	"108"	"10"	"11"	"15"	"21"	"474"	""	"474"	""
"185"	"128"	"7"	"386"	"10"	"2"	"124"	"3"	"1"	"3"	"6"	"542"	""	"542"	""
"186"	"129"	"20"	"554"	"15"	"7"	"108"	"7"	"5"	"13"	"15"	"744"	""	"744"	""
"187"	"130"	"32"	"466"	"10"	"10"	"189"	"14"	"15"	"12"	"20"	"768"	""	"768"	""
"188"	"131"	"23"	"665"	"16"	"1"	"124"	"3"	"5"	"8"	"7"	"852"	""	"852"	""
"189"	"132"	"33"	"358"	"10"	"7"	"253"	"21"	"7"	"11"	"7"	"707"	""	"707"	""
"190"	"133"	"13"	"439"	"25"	"16"	"178"	"16"	"9"	"30"	"30"	"756"	""	"756"	""
"191"	"134"	"4"	"364"	"2"	"3"	"78"	"0"	"0"	"2"	"2"	"455"	""	"455"	""
"192"	"135"	"99"	"107"	"4"	"3"	"228"	"20"	"3"	"5"	"19"	"488"	""	"488"	""
"193"	"136"	"19"	"122"	"15"	"6"	"152"	"15"	"5"	"6"	"18"	"358"	""	"358"	""
"194"	"137"	"33"	"67"	"10"	"8"	"165"	"15"	"9"	"9"	"23"	"339"	""	"339"	""
"195"	"138"	"9"	"263"	"10"	"15"	"438"	"32"	"13"	"18"	"46"	"844"	""	"844"	""
"196"	"139"	"25"	"229"	"8"	"6"	"193"	"16"	"5"	"5"	"14"	"501"	""	"501"	""
"197"	"140"	"18"	"395"	"18"	"7"	"256"	"16"	"9"	"24"	"10"	"753"	""	"753"	""
"198"	"Page Total"	"4322"	"29071"	"1444"	"1785"	"33083"	"2309"	"1008"	"1450"	"2341"	"76813"	"0"	"76813"	"0"
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"203"	"B.F."	"4322"	"29071"	"1444"	"1785"	"33083"	"2309"	"1008"	"1450"	"2341"	"76813"	"0"	"76813"	"0"
"204"	"141"	"22"	"542"	"9"	"4"	"105"	"9"	"4"	"7"	"11"	"713"	""	"713"	""
"205"	"142"	"36"	"277"	"13"	"10"	"210"	"25"	"6"	"29"	"38"	"644"	""	"644"	""
"206"	"143"	"35"	"76"	"4"	"7"	"219"	"12"	"2"	"12"	"19"	"386"	""	"386"	""
"207"	"144"	"13"	"176"	"8"	"4"	"273"	"21"	"9"	"27"	"35"	"566"	""	"566"	""
"208"	"145"	"34"	"106"	"8"	"8"	"411"	"27"	"7"	"5"	"4"	"610"	""	"610"	""
"209"	"146"	"21"	"105"	"4"	"2"	"477"	"6"	"2"	"7"	"7"	"631"	""	"631"	""
"210"	"147"	"45"	"60"	"1"	"2"	"198"	"5"	"3"	"8"	"10"	"332"	""	"332"	""
"211"	"148"	"21"	"189"	"10"	"4"	"116"	"16"	"11"	"6"	"9"	"382"	""	"382"	""
"212"	"149"	"14"	"133"	"4"	"6"	"328"	"13"	"11"	"6"	"15"	"530"	""	"530"	""
"213"	"150"	"60"	"190"	"10"	"4"	"253"	"15"	"10"	"15"	"16"	"573"	""	"573"	""
"214"	"151"	"16"	"166"	"7"	"4"	"75"	"11"	"6"	"13"	"9"	"307"	""	"307"	""
"215"	"152"	"19"	"62"	"7"	"6"	"380"	"19"	"10"	"6"	"29"	"538"	""	"538"	""
"216"	"153"	"32"	"281"	"21"	"5"	"255"	"15"	"9"	"21"	"18"	"657"	""	"657"	""
"217"	"154"	"28"	"112"	"9"	"1"	"321"	"19"	"6"	"9"	"18"	"523"	""	"523"	""
"218"	"Page Total"	"4718"	"31546"	"1559"	"1852"	"36704"	"2522"	"1104"	"1621"	"2579"	"84205"	"0"	"84205"	"0"
"219"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"222"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
