"Total.No..of.Electors.in.Assembly.Constituency....219368"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"42"	"31"	"31"	"25"	"149"	"5"	"314"	"11"	"6"	"10"	"11"	"5"	"5"	"572"	"0"	"572"	"0"
"43"	"32"	"32"	"51"	"159"	"9"	"201"	"10"	"2"	"18"	"25"	"9"	"14"	"530"	"0"	"530"	"0"
"44"	"33"	"33"	"132"	"213"	"27"	"32"	"3"	"3"	"19"	"9"	"16"	"23"	"510"	"0"	"510"	"0"
"45"	"34"	"34"	"90"	"83"	"12"	"10"	"2"	"7"	"31"	"2"	"15"	"18"	"304"	"0"	"304"	"0"
"46"	"35"	"35"	"56"	"160"	"9"	"15"	"2"	"9"	"42"	"6"	"34"	"14"	"382"	"0"	"382"	"0"
"47"	"36"	"36"	"26"	"108"	"13"	"70"	"3"	"5"	"57"	"14"	"19"	"12"	"363"	"0"	"363"	"0"
"48"	"37"	"37"	"37"	"50"	"8"	"110"	"14"	"7"	"44"	"16"	"12"	"24"	"359"	"0"	"359"	"0"
"49"	"38"	"38"	"17"	"51"	"7"	"61"	"9"	"6"	"93"	"9"	"89"	"13"	"393"	"0"	"393"	"0"
"50"	"39"	"39"	"65"	"99"	"17"	"38"	"9"	"10"	"136"	"19"	"27"	"24"	"483"	"0"	"483"	"0"
"51"	"40"	"40"	"62"	"328"	"8"	"18"	"0"	"2"	"3"	"1"	"6"	"2"	"470"	"0"	"470"	"0"
"52"	"41"	"41"	"43"	"227"	"8"	"16"	"2"	"8"	"18"	"7"	"19"	"44"	"433"	"0"	"433"	"0"
"53"	"42"	"42"	"39"	"100"	"1"	"41"	"6"	"10"	"20"	"9"	"222"	"13"	"503"	"0"	"503"	"0"
"54"	"43"	"43"	"17"	"261"	"10"	"91"	"2"	"4"	"5"	"7"	"29"	"8"	"477"	"0"	"477"	"0"
"55"	"44"	"44"	"8"	"18"	"1"	"221"	"10"	"5"	"12"	"1"	"39"	"5"	"364"	"0"	"364"	"0"
"56"	"45"	"45"	"37"	"135"	"13"	"68"	"5"	"7"	"27"	"10"	"125"	"19"	"491"	"0"	"491"	"0"
"57"	"46"	"46"	"49"	"106"	"4"	"15"	"8"	"5"	"13"	"8"	"122"	"17"	"393"	"0"	"393"	"0"
"58"	"47"	"47"	"45"	"87"	"7"	"24"	"12"	"3"	"10"	"4"	"202"	"15"	"456"	"0"	"456"	"0"
"59"	"48"	"48"	"64"	"25"	"10"	"135"	"14"	"4"	"19"	"10"	"147"	"28"	"504"	"0"	"504"	"0"
"60"	"49"	"49"	"109"	"31"	"3"	"7"	"6"	"1"	"2"	"1"	"7"	"10"	"226"	"0"	"226"	"0"
"61"	"50"	"50"	"118"	"100"	"6"	"16"	"3"	"3"	"10"	"4"	"42"	"5"	"357"	"0"	"357"	"0"
"62"	"51"	"51"	"96"	"160"	"7"	"20"	"6"	"4"	"10"	"5"	"23"	"14"	"396"	"0"	"396"	"0"
"63"	"52"	"52"	"64"	"19"	"6"	"213"	"5"	"5"	"31"	"7"	"68"	"12"	"482"	"0"	"482"	"0"
"64"	"53"	"53"	"11"	"167"	"12"	"134"	"8"	"4"	"19"	"4"	"60"	"5"	"477"	"0"	"477"	"0"
"65"	"54"	"54"	"75"	"222"	"22"	"25"	"9"	"22"	"95"	"16"	"36"	"21"	"597"	"0"	"597"	"0"
"66"	"55"	"55"	"28"	"126"	"7"	"70"	"11"	"6"	"15"	"8"	"7"	"8"	"341"	"0"	"341"	"0"
"67"	"56"	"56"	"17"	"43"	"2"	"27"	"5"	"6"	"6"	"5"	"29"	"12"	"208"	"0"	"208"	"0"
"68"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"69"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"71"	"57"	"57"	"39"	"263"	"20"	"53"	"14"	"8"	"35"	"7"	"14"	"10"	"520"	"0"	"520"	"0"
"72"	"58"	"58"	"11"	"54"	"7"	"299"	"17"	"10"	"41"	"7"	"25"	"36"	"565"	"0"	"565"	"0"
"73"	"59"	"59"	"26"	"7"	"3"	"388"	"2"	"0"	"96"	"3"	"3"	"2"	"589"	"0"	"589"	"0"
"74"	"60"	"60"	"59"	"108"	"18"	"118"	"15"	"16"	"105"	"14"	"52"	"11"	"576"	"0"	"576"	"0"
"75"	"61"	"61"	"21"	"215"	"38"	"142"	"15"	"11"	"26"	"4"	"8"	"13"	"554"	"0"	"554"	"0"
"76"	"62"	"62"	"38"	"157"	"11"	"193"	"11"	"4"	"24"	"18"	"17"	"22"	"557"	"0"	"557"	"0"
"77"	"63"	"63"	"13"	"195"	"24"	"209"	"7"	"3"	"17"	"7"	"13"	"19"	"570"	"0"	"570"	"0"
"78"	"64"	"64"	"80"	"253"	"11"	"37"	"2"	"6"	"26"	"8"	"7"	"17"	"511"	"0"	"511"	"0"
"79"	"65"	"65"	"32"	"172"	"9"	"2"	"2"	"5"	"21"	"8"	"3"	"2"	"321"	"0"	"321"	"0"
"80"	"66"	"66"	"25"	"184"	"10"	"2"	"2"	"2"	"4"	"8"	"4"	"9"	"316"	"0"	"316"	"0"
"81"	"67"	"67"	"35"	"173"	"11"	"36"	"8"	"1"	"28"	"8"	"11"	"26"	"404"	"0"	"404"	"0"
"82"	"68"	"68"	"6"	"4"	"4"	"360"	"4"	"2"	"4"	"1"	"52"	"2"	"507"	"0"	"507"	"0"
"83"	"69"	"69"	"15"	"42"	"7"	"296"	"1"	"5"	"11"	"1"	"81"	"9"	"537"	"0"	"537"	"0"
"84"	"70"	"70"	"16"	"80"	"3"	"139"	"8"	"2"	"5"	"7"	"90"	"5"	"425"	"0"	"425"	"0"
"85"	"71"	"71"	"19"	"122"	"3"	"46"	"8"	"2"	"1"	"1"	"0"	"4"	"277"	"0"	"277"	"0"
"86"	"72"	"72"	"9"	"74"	"0"	"82"	"6"	"2"	"10"	"1"	"42"	"13"	"311"	"0"	"311"	"0"
"87"	"73"	"73"	"22"	"34"	"6"	"64"	"4"	"5"	"12"	"8"	"221"	"8"	"457"	"0"	"457"	"0"
"88"	"74"	"74"	"13"	"142"	"5"	"6"	"3"	"4"	"1"	"1"	"8"	"6"	"263"	"0"	"263"	"0"
"89"	"75"	"75"	"9"	"22"	"4"	"212"	"7"	"3"	"9"	"2"	"115"	"5"	"463"	"0"	"463"	"0"
"90"	"76"	"76"	"18"	"138"	"17"	"100"	"9"	"8"	"87"	"13"	"29"	"8"	"503"	"0"	"503"	"0"
"91"	"77"	"77"	"10"	"115"	"12"	"145"	"8"	"4"	"67"	"4"	"11"	"14"	"467"	"0"	"467"	"0"
"92"	"78"	"78"	"90"	"86"	"9"	"165"	"16"	"5"	"78"	"10"	"27"	"34"	"598"	"0"	"598"	"0"
"93"	"79"	"79"	"33"	"263"	"18"	"32"	"14"	"3"	"7"	"13"	"13"	"4"	"479"	"0"	"479"	"0"
"94"	"80"	"80"	"8"	"28"	"2"	"99"	"2"	"4"	"36"	"25"	"38"	"6"	"328"	"0"	"328"	"0"
"95"	"81"	"81"	"12"	"403"	"10"	"175"	"4"	"4"	"38"	"2"	"17"	"11"	"757"	"0"	"757"	"0"
"96"	"82"	"82"	"16"	"302"	"15"	"184"	"6"	"6"	"26"	"7"	"12"	"27"	"683"	"0"	"683"	"0"
"97"	"83"	"83"	"13"	"103"	"3"	"296"	"4"	"2"	"16"	"3"	"7"	"2"	"532"	"0"	"532"	"0"
"98"	"84"	"84"	"20"	"239"	"10"	"192"	"9"	"1"	"39"	"6"	"8"	"18"	"626"	"0"	"626"	"0"
"99"	"85"	"85"	"21"	"89"	"11"	"80"	"14"	"11"	"205"	"10"	"11"	"20"	"557"	"0"	"557"	"0"
"100"	"86"	"86"	"32"	"358"	"14"	"20"	"2"	"2"	"5"	"3"	"6"	"9"	"537"	"0"	"537"	"0"
"101"	"87"	"87"	"28"	"158"	"6"	"71"	"9"	"2"	"55"	"8"	"61"	"25"	"510"	"0"	"510"	"0"
"102"	"88"	"88"	"16"	"162"	"11"	"9"	"3"	"4"	"4"	"8"	"34"	"9"	"348"	"0"	"348"	"0"
"103"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"104"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"106"	"89"	"89"	"20"	"202"	"10"	"16"	"5"	"2"	"9"	"10"	"78"	"5"	"446"	"0"	"446"	"0"
"107"	"90"	"90"	"34"	"72"	"10"	"287"	"9"	"14"	"12"	"4"	"3"	"10"	"545"	"0"	"545"	"0"
"108"	"91"	"91"	"16"	"236"	"108"	"42"	"1"	"2"	"16"	"9"	"42"	"34"	"597"	"0"	"597"	"0"
"109"	"92"	"92"	"21"	"92"	"28"	"110"	"12"	"6"	"117"	"11"	"36"	"19"	"544"	"0"	"544"	"0"
"110"	"93"	"93"	"61"	"149"	"48"	"142"	"11"	"8"	"62"	"8"	"26"	"40"	"648"	"0"	"648"	"0"
"111"	"94"	"94"	"78"	"149"	"98"	"135"	"16"	"4"	"27"	"6"	"20"	"15"	"642"	"0"	"642"	"0"
"112"	"95"	"95"	"77"	"98"	"26"	"267"	"11"	"3"	"8"	"3"	"17"	"5"	"610"	"0"	"610"	"0"
"113"	"96"	"96"	"74"	"177"	"8"	"126"	"6"	"7"	"13"	"4"	"9"	"14"	"534"	"0"	"534"	"0"
"114"	"97"	"97"	"211"	"205"	"12"	"61"	"6"	"3"	"4"	"6"	"6"	"4"	"615"	"0"	"615"	"0"
"115"	"98"	"98"	"58"	"20"	"9"	"233"	"11"	"5"	"53"	"5"	"17"	"16"	"525"	"0"	"525"	"0"
"116"	"99"	"99"	"31"	"18"	"6"	"343"	"6"	"1"	"6"	"2"	"6"	"3"	"521"	"0"	"521"	"0"
"117"	"100"	"100"	"30"	"246"	"7"	"36"	"4"	"7"	"8"	"5"	"34"	"13"	"490"	"0"	"490"	"0"
"118"	"101"	"101"	"68"	"194"	"7"	"38"	"1"	"6"	"5"	"15"	"26"	"2"	"463"	"0"	"463"	"0"
"119"	"102"	"102"	"57"	"419"	"14"	"14"	"3"	"9"	"8"	"21"	"40"	"41"	"728"	"0"	"728"	"0"
"120"	"103"	"103"	"95"	"96"	"6"	"55"	"9"	"8"	"51"	"7"	"16"	"13"	"459"	"0"	"459"	"0"
"121"	"104"	"104"	"25"	"163"	"8"	"69"	"12"	"6"	"46"	"4"	"46"	"8"	"491"	"0"	"491"	"0"
"122"	"105"	"105"	"18"	"24"	"6"	"277"	"8"	"2"	"6"	"11"	"14"	"4"	"475"	"0"	"475"	"0"
"123"	"106"	"106"	"59"	"94"	"7"	"189"	"4"	"4"	"23"	"6"	"23"	"19"	"534"	"0"	"534"	"0"
"124"	"107"	"107"	"64"	"145"	"13"	"109"	"13"	"16"	"107"	"26"	"97"	"49"	"746"	"0"	"746"	"0"
"125"	"108"	"108"	"28"	"221"	"25"	"72"	"4"	"10"	"7"	"6"	"130"	"9"	"620"	"0"	"620"	"0"
"126"	"109"	"109"	"58"	"308"	"30"	"10"	"3"	"7"	"13"	"12"	"84"	"14"	"648"	"0"	"648"	"0"
"127"	"110"	"110"	"14"	"223"	"11"	"3"	"3"	"1"	"6"	"8"	"53"	"4"	"436"	"0"	"436"	"0"
"128"	"111"	"111"	"53"	"110"	"8"	"48"	"5"	"1"	"60"	"9"	"61"	"20"	"486"	"0"	"486"	"0"
"129"	"112"	"112"	"19"	"26"	"7"	"309"	"7"	"1"	"110"	"10"	"19"	"15"	"635"	"0"	"635"	"0"
"130"	"113"	"113"	"47"	"15"	"6"	"230"	"12"	"5"	"58"	"6"	"38"	"15"	"545"	"0"	"545"	"0"
"131"	"114"	"114"	"229"	"73"	"10"	"34"	"10"	"8"	"48"	"5"	"24"	"13"	"568"	"0"	"568"	"0"
"132"	"115"	"115"	"213"	"37"	"4"	"10"	"4"	"5"	"24"	"7"	"29"	"19"	"467"	"0"	"467"	"0"
"133"	"116"	"116"	"156"	"72"	"9"	"7"	"6"	"7"	"35"	"3"	"45"	"4"	"460"	"0"	"460"	"0"
"134"	"117"	"117"	"34"	"256"	"40"	"84"	"20"	"9"	"67"	"9"	"45"	"12"	"693"	"0"	"693"	"0"
"135"	"118"	"118"	"45"	"289"	"14"	"8"	"2"	"3"	"27"	"3"	"14"	"3"	"526"	"0"	"526"	"0"
"136"	"119"	"119"	"22"	"156"	"6"	"50"	"1"	"1"	"15"	"4"	"17"	"11"	"402"	"0"	"402"	"0"
"137"	"120"	"120"	"30"	"113"	"15"	"331"	"6"	"7"	"21"	"3"	"16"	"8"	"670"	"0"	"670"	"0"
"138"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"139"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"141"	"121"	"121"	"19"	"101"	"14"	"174"	"5"	"7"	"27"	"2"	"3"	"12"	"485"	"0"	"485"	"0"
"142"	"122"	"122"	"30"	"154"	"16"	"133"	"4"	"3"	"10"	"3"	"13"	"8"	"496"	"0"	"496"	"0"
"143"	"123"	"123"	"16"	"138"	"8"	"115"	"11"	"5"	"15"	"11"	"195"	"27"	"664"	"0"	"664"	"0"
"144"	"124"	"124"	"7"	"98"	"1"	"99"	"5"	"4"	"14"	"9"	"43"	"14"	"418"	"0"	"418"	"0"
"145"	"125"	"125"	"22"	"82"	"5"	"214"	"8"	"3"	"60"	"9"	"36"	"13"	"577"	"0"	"577"	"0"
"146"	"126"	"126"	"12"	"92"	"5"	"9"	"7"	"9"	"59"	"5"	"28"	"10"	"362"	"0"	"362"	"0"
"147"	"127"	"127"	"15"	"68"	"3"	"206"	"3"	"5"	"11"	"7"	"91"	"12"	"548"	"0"	"548"	"0"
"148"	"128"	"128"	"3"	"50"	"4"	"64"	"1"	"1"	"8"	"1"	"30"	"1"	"291"	"0"	"291"	"0"
"149"	"129"	"129"	"38"	"239"	"15"	"98"	"9"	"6"	"13"	"9"	"16"	"22"	"594"	"0"	"594"	"0"
"150"	"130"	"130"	"90"	"376"	"21"	"60"	"11"	"12"	"12"	"10"	"26"	"14"	"762"	"0"	"762"	"0"
"151"	"131"	"131"	"23"	"101"	"3"	"22"	"2"	"1"	"3"	"2"	"1"	"2"	"291"	"0"	"291"	"0"
"152"	"132"	"132"	"134"	"40"	"1"	"1"	"5"	"2"	"3"	"0"	"1"	"7"	"326"	"0"	"326"	"0"
"153"	"133"	"133"	"94"	"170"	"9"	"46"	"4"	"7"	"14"	"4"	"25"	"12"	"518"	"0"	"518"	"0"
"154"	"134"	"134"	"64"	"72"	"4"	"5"	"2"	"1"	"71"	"6"	"7"	"9"	"375"	"0"	"375"	"0"
"155"	"135"	"135"	"46"	"117"	"4"	"11"	"4"	"3"	"2"	"0"	"9"	"2"	"333"	"0"	"333"	"0"
"156"	"136"	"136"	"41"	"236"	"9"	"49"	"13"	"11"	"50"	"10"	"38"	"17"	"610"	"0"	"610"	"0"
"157"	"137"	"137"	"11"	"25"	"2"	"171"	"1"	"1"	"6"	"1"	"48"	"2"	"405"	"0"	"405"	"0"
"158"	"138"	"138"	"31"	"168"	"3"	"2"	"0"	"2"	"4"	"1"	"2"	"4"	"355"	"0"	"355"	"0"
"159"	"139"	"139"	"98"	"569"	"6"	"44"	"3"	"4"	"6"	"5"	"34"	"1"	"909"	"0"	"909"	"0"
"160"	"140"	"140"	"111"	"241"	"9"	"9"	"2"	"3"	"5"	"3"	"10"	"14"	"547"	"0"	"547"	"0"
"161"	"141"	"141"	"16"	"8"	"2"	"256"	"4"	"4"	"11"	"3"	"26"	"11"	"482"	"0"	"482"	"0"
"162"	"142"	"142"	"21"	"20"	"3"	"323"	"10"	"3"	"9"	"3"	"83"	"9"	"626"	"0"	"626"	"0"
"163"	"143"	"143"	"13"	"3"	"2"	"356"	"8"	"3"	"10"	"6"	"78"	"21"	"643"	"0"	"643"	"0"
"164"	"144"	"144"	"37"	"65"	"3"	"12"	"1"	"7"	"98"	"6"	"13"	"168"	"554"	"0"	"554"	"0"
"165"	"145"	"145"	"84"	"202"	"6"	"0"	"3"	"2"	"3"	"6"	"5"	"7"	"463"	"0"	"463"	"0"
"166"	"146"	"146"	"47"	"146"	"6"	"11"	"3"	"3"	"9"	"1"	"83"	"10"	"465"	"0"	"465"	"0"
"167"	"147"	"147"	"8"	"6"	"5"	"266"	"13"	"3"	"42"	"4"	"31"	"18"	"543"	"0"	"543"	"0"
"168"	"148"	"148"	"8"	"360"	"13"	"21"	"1"	"2"	"2"	"0"	"6"	"4"	"565"	"0"	"565"	"0"
"169"	"149"	"149"	"67"	"135"	"9"	"61"	"14"	"6"	"8"	"8"	"23"	"10"	"490"	"0"	"490"	"0"
"170"	"150"	"150"	"20"	"66"	"3"	"140"	"8"	"3"	"5"	"3"	"6"	"6"	"410"	"0"	"410"	"0"
"171"	"151"	"151"	"137"	"19"	"6"	"44"	"1"	"1"	"8"	"10"	"119"	"15"	"511"	"0"	"511"	"0"
"172"	"152"	"152"	"240"	"99"	"10"	"8"	"5"	"8"	"45"	"8"	"108"	"9"	"692"	"0"	"692"	"0"
"173"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"174"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"176"	"153"	"153"	"98"	"124"	"10"	"158"	"8"	"6"	"20"	"8"	"50"	"20"	"655"	"0"	"655"	"0"
"177"	"154"	"154"	"196"	"93"	"10"	"10"	"5"	"6"	"7"	"23"	"41"	"16"	"561"	"0"	"561"	"0"
"178"	"155"	"155"	"49"	"157"	"16"	"11"	"7"	"10"	"32"	"15"	"112"	"27"	"591"	"0"	"591"	"0"
"179"	"156"	"156"	"21"	"226"	"8"	"75"	"3"	"8"	"14"	"2"	"20"	"8"	"541"	"0"	"541"	"0"
"180"	"157"	"157"	"162"	"58"	"4"	"23"	"2"	"3"	"7"	"11"	"9"	"10"	"446"	"0"	"446"	"0"
"181"	"158"	"158"	"28"	"95"	"8"	"45"	"8"	"5"	"32"	"9"	"90"	"9"	"487"	"0"	"487"	"0"
"182"	"159"	"159"	"36"	"111"	"10"	"186"	"11"	"6"	"17"	"5"	"25"	"3"	"569"	"0"	"569"	"0"
"183"	"160"	"160"	"68"	"65"	"16"	"210"	"14"	"5"	"48"	"2"	"19"	"3"	"610"	"0"	"610"	"0"
"184"	"161"	"161"	"29"	"6"	"1"	"158"	"7"	"4"	"10"	"7"	"110"	"9"	"502"	"0"	"502"	"0"
"185"	"162"	"162"	"29"	"34"	"6"	"148"	"10"	"3"	"41"	"3"	"1"	"4"	"441"	"0"	"441"	"0"
"186"	"163"	"163"	"106"	"128"	"7"	"14"	"3"	"2"	"4"	"3"	"3"	"4"	"437"	"0"	"437"	"0"
"187"	"164"	"164"	"44"	"187"	"5"	"50"	"3"	"3"	"7"	"4"	"17"	"13"	"497"	"0"	"497"	"0"
"188"	"165"	"165"	"36"	"151"	"10"	"56"	"10"	"10"	"21"	"7"	"42"	"11"	"519"	"0"	"519"	"0"
"189"	"166"	"166"	"37"	"119"	"16"	"31"	"6"	"5"	"28"	"8"	"58"	"13"	"487"	"0"	"487"	"0"
"190"	"167"	"167"	"40"	"109"	"10"	"43"	"10"	"12"	"91"	"14"	"76"	"36"	"608"	"0"	"608"	"0"
"191"	"168"	"168"	"139"	"156"	"7"	"9"	"5"	"5"	"7"	"28"	"31"	"20"	"575"	"0"	"575"	"0"
"192"	"169"	"169"	"65"	"111"	"8"	"472"	"9"	"7"	"17"	"6"	"13"	"29"	"906"	"0"	"906"	"0"
"193"	"170"	"170"	"214"	"96"	"4"	"56"	"2"	"4"	"7"	"4"	"137"	"9"	"703"	"0"	"703"	"0"
"194"	"171"	"171"	"236"	"196"	"15"	"41"	"7"	"9"	"17"	"15"	"71"	"21"	"799"	"0"	"799"	"0"
