"SEGID"	"BOOTH_NO"	"BOOTH_EXT"	"ARUN.KUMA.SINGH"	"ASHA.DEVI"	"BHAI.BRAHMESHWER"	"RAGHWENDRA.PRATAP.SINGH"	"VIMAL.KUMAR"	"MRITUNJAY.BHARDWAJ"	"RAJIV.RANJAN"	"SHYAM.SUNDER.PANDEY"	"SUKLAL.YADAV"	"CHTRANJAN.SINGH"	"NIRMAL.SINGH"	"VIJAY.SINGH"	"VIJAY.BAHADUR.SINGH"	"DR..SIYA.MATI.RAI"	"TOTAL"
"77"	"2"	70	""	4	240	"20"	221	3	"14"	2	3	"0"	1	5	"6"	13	16	548
"78"	"2"	71	""	2	220	"67"	183	3	"2"	1	0	"0"	1	2	"1"	1	8	491
"79"	"2"	72	""	12	439	"19"	74	1	"7"	45	2	"3"	1	5	"12"	10	16	646
"80"	"2"	73	""	8	134	"20"	165	2	"4"	4	0	"0"	2	2	"3"	4	4	352
"81"	"2"	74	""	2	133	"14"	208	2	"2"	2	1	"0"	2	6	"2"	6	4	384
"82"	"2"	75	""	1	196	"20"	209	4	"0"	0	0	"1"	1	1	"0"	3	1	437
"83"	"2"	76	""	2	219	"9"	253	1	"4"	1	0	"0"	8	2	"1"	2	4	506
"84"	"2"	77	""	14	248	"7"	183	5	"4"	3	1	"1"	3	1	"4"	7	12	493
"85"	"2"	78	""	2	95	"12"	174	3	"3"	1	1	"1"	2	3	"2"	2	8	309
"86"	"2"	79	""	8	238	"11"	118	21	"5"	21	14	"0"	3	3	"3"	7	8	460
"87"	"2"	80	""	23	160	"14"	382	11	"6"	5	6	"1"	3	5	"5"	7	5	633
"88"	"2"	81	""	8	283	"16"	139	1	"7"	87	3	"3"	1	3	"7"	6	10	574
"89"	"2"	82	""	25	417	"17"	104	7	"15"	13	3	"1"	2	3	"5"	3	8	623
"90"	"2"	83	""	8	254	"18"	139	2	"6"	2	1	"1"	2	4	"6"	2	9	454
"91"	"2"	84	""	16	239	"50"	219	9	"7"	6	2	"4"	6	14	"14"	12	19	617
"92"	"2"	85	""	13	270	"60"	146	4	"8"	2	2	"0"	2	6	"4"	2	7	526
"93"	"2"	86	""	5	225	"12"	350	6	"10"	10	0	"2"	5	2	"10"	10	16	663
"94"	"2"	87	""	9	135	"24"	291	7	"4"	2	1	"1"	3	5	"11"	2	6	501
"95"	"2"	88	""	5	78	"14"	156	2	"0"	0	1	"0"	0	0	"0"	0	0	256
"96"	"2"	89	""	4	97	"27"	99	3	"1"	32	2	"1"	1	4	"5"	2	3	281
"97"	"2"	90	""	2	61	"36"	142	4	"0"	2	0	"0"	0	1	"2"	0	3	253
"98"	"2"	91	""	3	106	"33"	101	2	"8"	33	5	"1"	0	0	"1"	2	1	296
"99"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"100"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"101"	"2"	92	""	0	645	"2"	2	1	"1"	0	0	"0"	0	0	"0"	1	2	654
"102"	"2"	93	""	13	241	"11"	182	4	"4"	0	2	"1"	0	3	"6"	5	2	474
"103"	"2"	94	""	17	238	"30"	140	12	"5"	7	2	"3"	1	0	"6"	3	6	470
"104"	"2"	95	""	2	176	"84"	102	2	"3"	1	1	"0"	0	2	"3"	1	1	378
"105"	"2"	96	""	9	92	"22"	236	3	"3"	10	1	"1"	1	4	"7"	3	3	395
"106"	"2"	97	""	4	231	"15"	221	3	"3"	10	0	"0"	0	0	"0"	2	0	489
"107"	"2"	98	""	2	250	"11"	52	0	"2"	70	1	"1"	0	1	"1"	2	2	395
"108"	"2"	99	""	12	193	"38"	166	8	"2"	16	2	"0"	1	7	"7"	5	14	471
"109"	"2"	100	""	6	121	"51"	214	7	"2"	1	3	"3"	2	2	"5"	11	8	436
"110"	"2"	101	""	2	35	"8"	305	9	"3"	1	0	"2"	2	5	"4"	4	2	382
"111"	"2"	102	""	5	94	"17"	124	2	"0"	15	2	"3"	0	1	"5"	2	3	273
"112"	"2"	103	""	14	339	"17"	125	2	"8"	36	3	"2"	1	4	"4"	13	9	577
"113"	"2"	104	""	16	392	"20"	117	3	"9"	22	2	"4"	4	5	"4"	17	10	625
"114"	"2"	105	""	5	192	"54"	180	6	"3"	60	6	"2"	4	2	"4"	9	8	535
"115"	"2"	106	""	13	227	"24"	238	4	"5"	2	1	"3"	3	3	"5"	7	8	543
"116"	"2"	107	""	2	293	"11"	138	2	"0"	5	0	"0"	0	2	"1"	3	4	461
"117"	"2"	108	""	5	232	"31"	270	7	"2"	63	3	"0"	1	6	"10"	10	14	654
"118"	"2"	109	""	3	170	"19"	159	3	"3"	33	2	"1"	2	2	"4"	3	8	412
"119"	"2"	110	""	11	168	"13"	128	5	"4"	24	2	"1"	1	5	"1"	2	5	370
"120"	"2"	111	""	15	273	"20"	207	3	"14"	80	1	"0"	1	5	"4"	7	13	643
"121"	"2"	112	""	16	547	"22"	191	6	"26"	57	4	"2"	4	10	"4"	10	14	913
"122"	"2"	113	""	10	302	"29"	429	9	"5"	4	4	"2"	3	10	"12"	6	4	829
"123"	"2"	114	""	7	495	"24"	189	4	"11"	9	1	"0"	1	4	"1"	5	11	762
"124"	"2"	115	""	11	144	"20"	174	9	"8"	1	0	"1"	1	3	"6"	3	2	383
"125"	"2"	116	""	4	164	"12"	179	16	"1"	10	0	"1"	0	4	"9"	0	1	401
"126"	"2"	117	""	10	138	"9"	122	3	"5"	3	0	"0"	0	2	"0"	1	1	294
"127"	"2"	118	""	0	169	"78"	126	0	"0"	4	0	"0"	0	2	"0"	1	1	381
"128"	"2"	119	""	6	330	"24"	72	3	"26"	4	1	"0"	0	0	"3"	10	7	486
"129"	"2"	120	""	12	184	"24"	220	42	"10"	6	0	"0"	1	8	"7"	10	4	528
"130"	"2"	121	""	7	53	"16"	305	8	"6"	3	2	"0"	1	12	"9"	8	14	444
"131"	"2"	122	""	10	250	"55"	115	3	"7"	3	0	"1"	4	6	"3"	16	7	480
"132"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"133"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"134"	"2"	123	""	4	169	"27"	146	3	"3"	3	1	"1"	3	5	"5"	3	6	379
"135"	"2"	124	""	6	134	"27"	263	4	"5"	28	6	"2"	2	2	"8"	7	7	501
"136"	"2"	125	""	8	155	"15"	381	7	"5"	3	0	"3"	6	9	"16"	10	14	632
"137"	"2"	126	""	8	196	"52"	358	20	"13"	5	2	"1"	3	8	"11"	8	15	700
"138"	"2"	127	""	29	170	"43"	323	9	"8"	19	4	"6"	4	16	"9"	9	16	665
"139"	"2"	128	""	3	209	"18"	544	9	"12"	4	0	"1"	1	1	"5"	2	5	814
"140"	"2"	129	""	3	133	"21"	206	1	"3"	1	1	"2"	0	2	"1"	0	1	375
"141"	"2"	130	""	11	278	"9"	151	1	"9"	5	3	"2"	3	7	"3"	11	21	514
"142"	"2"	131	""	3	237	"11"	154	4	"4"	2	0	"0"	1	1	"2"	3	5	427
"143"	"2"	132	""	2	209	"29"	159	1	"11"	8	3	"3"	0	4	"2"	7	5	443
"144"	"2"	133	""	16	214	"20"	371	3	"10"	7	1	"2"	1	7	"4"	3	8	667
"145"	"2"	134	""	7	226	"34"	215	2	"7"	18	0	"2"	1	4	"2"	7	5	530
"146"	"2"	135	""	0	103	"7"	50	0	"2"	0	0	"1"	0	0	"0"	1	0	164
"147"	"2"	136	""	2	211	"31"	101	5	"6"	3	1	"0"	1	2	"3"	9	11	386
"148"	"2"	137	""	1	210	"42"	107	1	"2"	4	0	"0"	0	0	"0"	0	3	370
"149"	"2"	138	""	9	407	"8"	93	2	"4"	23	4	"6"	1	0	"7"	10	21	595
"150"	"2"	139	""	8	239	"8"	279	8	"7"	3	0	"0"	0	5	"6"	5	7	575
"151"	"2"	140	""	1	94	"5"	139	9	"6"	11	20	"0"	1	0	"2"	0	1	289
"152"	"2"	141	""	8	42	"10"	200	2	"3"	11	3	"0"	1	2	"2"	0	4	288
"153"	"2"	142	""	5	198	"20"	127	3	"21"	12	0	"2"	1	6	"2"	1	5	403
"154"	"2"	143	""	9	280	"11"	76	1	"6"	1	0	"0"	2	3	"2"	5	4	400
"155"	"2"	144	""	12	253	"16"	131	13	"6"	6	1	"0"	0	9	"3"	8	7	465
"156"	"2"	145	""	12	242	"34"	212	4	"6"	12	0	"1"	1	7	"10"	6	10	557
"157"	"2"	145	"A"	0	48	"4"	152	0	"1"	1	1	"0"	0	3	"2"	1	2	215
"158"	"2"	146	""	5	180	"18"	160	5	"6"	49	0	"0"	2	0	"5"	3	2	435
"159"	"2"	147	""	1	284	"47"	100	3	"4"	2	0	"0"	0	0	"0"	5	4	450
"160"	"2"	148	""	8	164	"35"	99	2	"4"	9	0	"0"	0	3	"2"	4	6	336
"161"	"2"	149	""	5	341	"73"	103	1	"10"	10	9	"1"	1	5	"9"	18	11	597
"162"	"2"	150	""	20	305	"40"	172	6	"19"	10	4	"1"	2	5	"11"	20	16	631
"163"	"2"	151	""	4	110	"7"	291	2	"21"	1	0	"0"	3	1	"2"	0	1	443
"164"	"2"	151	"A"	4	95	"4"	174	6	"43"	1	0	"1"	1	3	"3"	1	2	338
"165"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"166"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"167"	"2"	152	""	1	92	"19"	101	3	"12"	13	2	"2"	6	1	"6"	2	9	269
"168"	"2"	153	""	4	212	"15"	48	1	"0"	1	0	"1"	0	2	"2"	4	3	293
"169"	"2"	154	""	20	310	"25"	69	10	"13"	9	8	"8"	5	15	"16"	17	14	539
"170"	"2"	155	""	7	286	"14"	215	2	"15"	8	2	"1"	2	3	"5"	2	2	564
"171"	"2"	156	""	13	375	"12"	189	2	"9"	8	0	"0"	1	1	"3"	1	3	617
"172"	"2"	157	""	18	234	"5"	100	1	"5"	6	0	"0"	0	3	"3"	8	10	393
"173"	"2"	158	""	2	380	"54"	164	6	"2"	3	0	"0"	0	0	"0"	0	1	612
"174"	"2"	159	""	3	143	"7"	157	2	"4"	64	2	"1"	0	1	"0"	4	3	391
"175"	"2"	160	""	4	177	"4"	218	2	"1"	2	1	"3"	0	5	"5"	3	6	431
"176"	"2"	161	""	12	148	"10"	122	8	"5"	67	10	"3"	1	4	"3"	5	10	408
"177"	"2"	162	""	5	141	"7"	495	3	"5"	13	0	"7"	0	1	"6"	5	5	693
"178"	"2"	163	""	12	203	"27"	261	4	"9"	30	3	"3"	11	14	"11"	16	14	618
"179"	"2"	164	""	5	128	"20"	142	2	"11"	37	5	"0"	0	4	"5"	1	7	367
"180"	"2"	165	""	3	94	"7"	139	1	"1"	60	3	"0"	0	1	"0"	2	0	311
"181"	"2"	166	""	4	52	"37"	137	2	"3"	15	1	"0"	2	2	"5"	3	6	269
"182"	"2"	167	""	2	64	"6"	455	1	"3"	12	2	"1"	0	2	"3"	1	4	556
"183"	"2"	168	""	6	40	"1"	503	7	"1"	1	1	"2"	2	1	"4"	1	3	573
"184"	"2"	169	""	2	123	"11"	374	3	"5"	30	3	"2"	1	6	"6"	3	3	572
"185"	"2"	170	""	1	46	"5"	170	10	"7"	242	14	"5"	7	2	"6"	1	10	526
"186"	"2"	171	""	1	129	"5"	220	3	"8"	14	3	"1"	0	2	"3"	2	1	392
"187"	"2"	172	""	0	194	"8"	285	9	"2"	1	0	"0"	1	1	"2"	0	1	504
"188"	"2"	173	""	1	148	"5"	53	2	"4"	34	0	"1"	0	1	"4"	6	6	265
"189"	"2"	174	""	1	122	"7"	288	3	"2"	7	0	"0"	0	6	"0"	0	1	437
"190"	"2"	175	""	10	129	"12"	223	5	"9"	87	8	"3"	1	5	"7"	6	6	511
"191"	"2"	176	""	5	106	"4"	204	4	"1"	4	0	"0"	1	4	"3"	0	6	342
"192"	"2"	177	""	0	91	"5"	389	7	"1"	69	4	"1"	1	5	"10"	1	2	586
"193"	"2"	178	""	1	73	"21"	282	1	"2"	5	0	"0"	0	2	"3"	1	4	395
"194"	"2"	179	""	7	191	"11"	122	1	"2"	53	5	"5"	3	2	"4"	6	9	421
"195"	"2"	180	""	6	135	"28"	240	3	"4"	19	0	"0"	1	5	"7"	6	3	457
"196"	"2"	181	""	21	281	"20"	287	5	"5"	121	4	"3"	3	2	"6"	3	2	763
"197"	"2"	182	""	3	167	"10"	121	1	"8"	17	1	"0"	0	1	"2"	4	2	337
"198"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"199"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"200"	"2"	183	""	2	194	"14"	209	0	"7"	30	0	"0"	0	3	"2"	6	0	467
"201"	"2"	184	""	5	81	"34"	325	9	"3"	2	1	"0"	3	8	"9"	4	3	487
"202"	"2"	185	""	8	201	"23"	228	5	"7"	8	2	"1"	5	9	"10"	13	19	539
"203"	"2"	186	""	1	157	"28"	160	2	"3"	10	0	"0"	0	1	"3"	2	3	370
"204"	"2"	187	""	1	35	"56"	91	0	"0"	1	0	"2"	0	1	"4"	1	3	195
"205"	"2"	188	""	9	38	"1"	310	3	"1"	7	0	"1"	0	4	"2"	1	2	379
"206"	"2"	189	""	3	209	"9"	195	1	"1"	13	1	"0"	0	1	"3"	1	4	441
"207"	"2"	190	""	5	142	"4"	85	1	"2"	84	1	"0"	1	2	"1"	3	1	332
"208"	"2"	191	""	4	79	"30"	130	3	"4"	1	0	"0"	0	2	"0"	0	2	255
"209"	"2"	192	""	4	269	"71"	240	6	"12"	24	2	"1"	1	0	"10"	6	4	650
"210"	"2"	193	""	0	30	"0"	245	1	"0"	5	0	"0"	0	0	"0"	0	1	282
"211"	"2"	194	""	1	162	"2"	160	0	"2"	72	3	"0"	0	0	"1"	4	3	410
"212"	"2"	195	""	0	213	"9"	60	2	"2"	37	2	"0"	0	2	"0"	5	2	334
"213"	"2"	196	""	4	194	"7"	130	3	"7"	6	0	"2"	1	1	"5"	5	7	372
"214"	"2"	197	""	14	206	"33"	294	6	"10"	3	13	"1"	2	13	"12"	10	17	634
"215"	"2"	198	""	13	354	"6"	215	3	"6"	5	0	"0"	4	8	"8"	8	12	642
"216"	"2"	199	""	11	297	"19"	91	3	"11"	3	0	"0"	2	3	"1"	7	15	463
"217"	"2"	200	""	5	358	"21"	330	5	"3"	10	0	"2"	4	3	"9"	9	15	774
"218"	"2"	201	""	13	535	"43"	140	7	"8"	37	0	"2"	5	4	"3"	11	18	826
"219"	"2"	202	""	11	134	"6"	260	2	"4"	38	1	"1"	4	2	"1"	2	5	471
"220"	"2"	203	""	4	122	"7"	300	0	"2"	3	1	"0"	0	3	"0"	2	10	454
"221"	"2"	204	""	8	421	"47"	204	6	"6"	23	3	"2"	1	1	"5"	3	6	736
"222"	"2"	205	""	8	38	"11"	94	0	"1"	0	0	"0"	2	1	"3"	1	3	162
"223"	"2"	206	""	10	264	"47"	303	10	"9"	36	1	"3"	1	6	"7"	8	4	709
"224"	"2"	207	""	10	347	"31"	351	9	"10"	45	6	"5"	3	11	"15"	7	27	877
"225"	"2"	208	""	8	177	"26"	196	0	"4"	11	1	"1"	0	0	"2"	2	2	430
"226"	"2"	209	""	15	131	"47"	162	6	"15"	37	4	"3"	2	4	"3"	6	7	442
"227"	"2"	209	"A"	9	171	"15"	108	3	"10"	64	4	"2"	7	6	"3"	8	22	432
"228"	"2"	210	""	3	181	"15"	236	4	"5"	10	3	"1"	3	3	"4"	4	9	481
"229"	"2"	211	""	16	148	"9"	131	20	"4"	26	1	"0"	0	2	"3"	2	4	366
"230"	"2"	212	""	10	398	"9"	241	2	"9"	105	5	"4"	4	3	"14"	11	21	836
"231"	"SEGID"	NA	"BOOTH_EXT"	NA	NA	"BHAI BRAHMESHWER"	NA	NA	"MRITUNJAY BHARDWAJ"	NA	NA	"SUKLAL YADAV"	NA	NA	"VIJAY SINGH"	NA	NA	NA
"232"	""	1	""	2	3	""	4	5	""	6	7	""	8	9	""	10	11	12
"233"	"2"	213	""	0	57	"3"	298	1	"1"	1	0	"0"	1	0	"0"	2	1	365
"234"	"2"	214	""	3	134	"23"	196	3	"3"	3	0	"0"	0	4	"4"	0	4	377
"235"	"2"	215	""	8	300	"20"	133	2	"1"	2	1	"1"	0	3	"1"	1	1	474
"236"	"2"	216	""	11	415	"9"	177	4	"7"	90	6	"2"	4	13	"15"	12	29	794
"237"	"2"	217	""	8	310	"52"	399	5	"2"	8	1	"0"	0	7	"8"	1	3	804
"238"	"2"	218	""	3	187	"9"	132	6	"7"	1	0	"0"	0	3	"1"	3	4	356
"239"	"2"	219	""	6	316	"21"	251	8	"16"	0	0	"1"	1	6	"5"	5	1	637
"240"	"2"	220	""	10	163	"17"	268	5	"8"	9	6	"2"	5	8	"6"	7	12	526
"241"	"2"	221	""	9	180	"31"	218	6	"5"	37	5	"2"	3	10	"9"	5	12	532
"242"	"2"	222	""	8	117	"25"	163	2	"13"	54	1	"2"	1	5	"2"	1	2	396
"243"	"2"	222	"A"	5	96	"36"	134	3	"4"	16	1	"0"	1	2	"3"	2	3	306
"244"	"2"	223	""	7	331	"15"	129	5	"9"	13	0	"1"	2	4	"6"	15	17	554
"245"	"2"	224	""	10	283	"18"	153	4	"18"	58	6	"2"	2	9	"11"	10	4	588
"246"	"2"	225	""	7	450	"40"	124	5	"9"	57	0	"1"	2	8	"7"	12	16	738
"247"	"2"	226	""	15	226	"14"	396	13	"12"	10	3	"2"	6	12	"12"	8	8	737
"248"	"2"	227	""	1	152	"5"	337	7	"5"	7	2	"0"	4	7	"6"	6	9	548
"249"	""	NA	""	1656	45017	"6084"	46101	1070	"1361"	3672	410	"303"	387	993	"1110"	1192	1690	111046
"250"	"99"	NA	""	0	2	"0"	1	0	"0"	0	0	"0"	0	0	"0"	0	0	3
"251"	""	NA	""	1656	45019	"6084"	46102	1070	"1361"	3672	410	"303"	387	993	"1110"	1192	1690	111049
"252"	"Place:"	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	NA
"253"	"Date:24/11/2010                                                                                                                                                                     Returning Officer"	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	NA
"254"	"Assembly Constituency:193---Barhara"	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	""	NA	NA	NA
