"Candidates.Name.......Booth.No"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"Total.Valid.Voters"	"Total.No..of.Rejected.Voters"	"Total.No..of.Tender.Voters"
"23"	"21"	"5"	"239"	"8"	"408"	"13"	"2"	"1"	"2"	"5"	"4"	"12"	"11"	"27"	"8"	"17"	"20"	"32"	"3"	"3"	"9"	"4"	"833"	""	""
"24"	"22"	"1"	"18"	"1"	"166"	"5"	"0"	"0"	"5"	"1"	"2"	"1"	"2"	"7"	"1"	"2"	"3"	"57"	"1"	"2"	"1"	"1"	"277"	""	""
"25"	"23"	"7"	"89"	"7"	"81"	"10"	"0"	"0"	"3"	"6"	"2"	"4"	"6"	"2"	"2"	"0"	"0"	"115"	"8"	"135"	"6"	"2"	"485"	""	""
"26"	"23A"	"16"	"86"	"11"	"85"	"6"	"3"	"1"	"3"	"8"	"5"	"11"	"10"	"26"	"12"	"11"	"9"	"21"	"1"	"186"	"5"	"9"	"525"	""	""
"27"	"24"	"7"	"149"	"13"	"308"	"14"	"4"	"3"	"1"	"12"	"4"	"5"	"7"	"20"	"12"	"5"	"25"	"12"	"8"	"184"	"7"	"13"	"813"	""	""
"28"	"25"	"1"	"25"	"3"	"515"	"6"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"4"	"2"	"3"	"2"	"4"	"0"	"0"	"1"	"0"	"572"	""	""
"29"	"26"	"7"	"322"	"26"	"58"	"161"	"2"	"0"	"3"	"2"	"8"	"4"	"6"	"7"	"9"	"11"	"24"	"17"	"10"	"5"	"7"	"4"	"693"	""	""
"30"	"27"	"0"	"85"	"26"	"109"	"31"	"3"	"1"	"2"	"6"	"7"	"8"	"3"	"12"	"8"	"8"	"15"	"3"	"2"	"76"	"3"	"4"	"412"	""	""
"31"	"28"	"13"	"220"	"23"	"109"	"16"	"0"	"2"	"2"	"3"	"7"	"10"	"6"	"18"	"10"	"16"	"24"	"24"	"8"	"13"	"16"	"8"	"548"	""	""
"32"	"29"	"2"	"191"	"7"	"109"	"79"	"1"	"1"	"4"	"0"	"5"	"3"	"6"	"6"	"2"	"8"	"12"	"7"	"4"	"2"	"5"	"3"	"457"	""	""
"33"	"30"	"11"	"198"	"9"	"289"	"127"	"1"	"0"	"5"	"7"	"8"	"3"	"11"	"9"	"8"	"3"	"15"	"25"	"14"	"2"	"9"	"3"	"757"	""	""
"34"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"35"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"37"	"31"	"22"	"273"	"12"	"105"	"10"	"0"	"0"	"2"	"2"	"1"	"1"	"5"	"10"	"5"	"14"	"14"	"4"	"4"	"8"	"2"	"13"	"507"	""	""
"38"	"32"	"15"	"42"	"14"	"557"	"21"	"5"	"1"	"5"	"5"	"2"	"5"	"0"	"5"	"2"	"1"	"9"	"21"	"7"	"13"	"4"	"6"	"740"	""	""
"39"	"33"	"9"	"91"	"5"	"239"	"20"	"4"	"3"	"2"	"8"	"3"	"6"	"17"	"24"	"13"	"4"	"28"	"21"	"23"	"238"	"18"	"14"	"790"	""	""
"40"	"34"	"15"	"174"	"11"	"133"	"5"	"1"	"5"	"5"	"14"	"3"	"6"	"1"	"20"	"4"	"8"	"26"	"58"	"5"	"141"	"8"	"4"	"647"	""	""
"41"	"35"	"13"	"96"	"12"	"228"	"19"	"5"	"7"	"7"	"8"	"2"	"6"	"3"	"11"	"4"	"3"	"13"	"10"	"3"	"80"	"5"	"4"	"539"	""	""
"42"	"36"	"5"	"44"	"8"	"176"	"4"	"2"	"1"	"3"	"13"	"2"	"4"	"5"	"4"	"7"	"0"	"11"	"4"	"0"	"206"	"6"	"4"	"509"	""	""
"43"	"37"	"4"	"57"	"6"	"222"	"2"	"2"	"4"	"2"	"1"	"2"	"2"	"5"	"7"	"3"	"1"	"5"	"2"	"0"	"14"	"0"	"0"	"341"	""	""
"44"	"38"	"1"	"17"	"4"	"71"	"4"	"1"	"1"	"2"	"8"	"0"	"1"	"3"	"7"	"3"	"1"	"17"	"9"	"2"	"161"	"2"	"3"	"318"	""	""
"45"	"39"	"4"	"21"	"6"	"313"	"15"	"4"	"1"	"6"	"12"	"3"	"5"	"3"	"10"	"7"	"2"	"11"	"3"	"3"	"102"	"4"	"5"	"540"	""	""
"46"	"40"	"7"	"184"	"12"	"268"	"21"	"3"	"10"	"2"	"11"	"5"	"10"	"12"	"37"	"21"	"11"	"22"	"2"	"16"	"77"	"26"	"10"	"767"	""	""
"47"	"41"	"14"	"223"	"24"	"118"	"216"	"3"	"2"	"3"	"3"	"4"	"5"	"3"	"4"	"0"	"3"	"6"	"29"	"1"	"20"	"0"	"1"	"682"	""	""
"48"	"42"	"15"	"214"	"19"	"226"	"49"	"0"	"9"	"2"	"7"	"2"	"3"	"2"	"3"	"5"	"5"	"13"	"47"	"17"	"38"	"1"	"8"	"685"	""	""
"49"	"43"	"16"	"92"	"8"	"517"	"27"	"4"	"2"	"8"	"2"	"1"	"1"	"3"	"14"	"2"	"0"	"7"	"4"	"13"	"1"	"12"	"5"	"739"	""	""
"50"	"44"	"6"	"113"	"9"	"250"	"6"	"1"	"1"	"1"	"9"	"0"	"4"	"10"	"6"	"1"	"6"	"5"	"3"	"3"	"44"	"4"	"0"	"482"	""	""
"51"	"45"	"3"	"15"	"12"	"212"	"13"	"2"	"4"	"5"	"9"	"4"	"2"	"6"	"9"	"5"	"4"	"8"	"3"	"10"	"304"	"8"	"5"	"643"	""	""
"52"	"46"	"3"	"30"	"9"	"93"	"3"	"2"	"2"	"7"	"10"	"2"	"3"	"1"	"0"	"1"	"0"	"3"	"1"	"3"	"327"	"3"	"3"	"506"	""	""
"53"	"47"	"2"	"8"	"1"	"74"	"4"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"453"	"2"	"0"	"556"	""	""
"54"	"48"	"2"	"1"	"3"	"121"	"2"	"0"	"3"	"1"	"2"	"40"	"0"	"1"	"4"	"1"	"1"	"4"	"6"	"11"	"448"	"4"	"1"	"656"	""	""
"55"	"49"	"8"	"191"	"14"	"96"	"22"	"0"	"6"	"4"	"6"	"7"	"8"	"46"	"13"	"6"	"8"	"7"	"11"	"7"	"28"	"4"	"1"	"493"	""	""
"56"	"50"	"5"	"83"	"8"	"208"	"13"	"1"	"1"	"1"	"6"	"31"	"1"	"9"	"1"	"1"	"1"	"6"	"4"	"10"	"61"	"3"	"8"	"462"	""	""
"57"	"51"	"3"	"180"	"13"	"97"	"11"	"0"	"5"	"2"	"7"	"3"	"3"	"7"	"8"	"8"	"7"	"11"	"13"	"8"	"3"	"5"	"13"	"407"	""	""
"58"	"52"	"6"	"286"	"21"	"193"	"10"	"1"	"2"	"4"	"6"	"9"	"6"	"6"	"4"	"4"	"6"	"12"	"12"	"25"	"8"	"10"	"12"	"643"	""	""
"59"	"53"	"1"	"121"	"7"	"9"	"26"	"4"	"1"	"0"	"2"	"3"	"5"	"264"	"19"	"4"	"4"	"10"	"12"	"4"	"2"	"2"	"3"	"503"	""	""
"60"	"54"	"8"	"32"	"2"	"10"	"9"	"3"	"2"	"0"	"3"	"3"	"3"	"331"	"7"	"2"	"3"	"8"	"3"	"1"	"1"	"2"	"1"	"434"	""	""
"61"	"55"	"5"	"232"	"7"	"32"	"188"	"0"	"0"	"1"	"2"	"4"	"2"	"45"	"4"	"4"	"1"	"3"	"5"	"3"	"8"	"0"	"5"	"551"	""	""
"62"	"56"	"2"	"21"	"2"	"45"	"10"	"2"	"3"	"2"	"0"	"2"	"7"	"130"	"10"	"1"	"8"	"15"	"14"	"2"	"11"	"4"	"6"	"297"	""	""
"63"	"57"	"8"	"45"	"2"	"32"	"48"	"2"	"4"	"4"	"1"	"2"	"6"	"247"	"19"	"4"	"5"	"19"	"2"	"1"	"4"	"1"	"1"	"457"	""	""
"64"	"58"	"9"	"179"	"18"	"99"	"195"	"6"	"3"	"6"	"5"	"0"	"5"	"15"	"4"	"0"	"8"	"9"	"12"	"5"	"18"	"1"	"2"	"599"	""	""
"65"	"59"	"5"	"217"	"18"	"169"	"107"	"2"	"4"	"6"	"9"	"6"	"9"	"5"	"11"	"7"	"4"	"16"	"5"	"0"	"18"	"0"	"2"	"620"	""	""
"66"	"60"	"17"	"140"	"16"	"228"	"87"	"3"	"5"	"8"	"11"	"7"	"10"	"16"	"24"	"6"	"12"	"32"	"11"	"7"	"25"	"3"	"13"	"681"	""	""
"67"	"61"	"0"	"81"	"7"	"163"	"25"	"1"	"1"	"2"	"48"	"5"	"5"	"7"	"16"	"2"	"12"	"11"	"10"	"2"	"14"	"2"	"6"	"420"	""	""
"68"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"69"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"70"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"71"	"62"	"3"	"120"	"10"	"157"	"50"	"2"	"1"	"6"	"88"	"4"	"4"	"10"	"12"	"6"	"3"	"10"	"33"	"5"	"42"	"3"	"9"	"578"	""	""
"72"	"63"	"6"	"230"	"113"	"312"	"34"	"3"	"3"	"4"	"12"	"6"	"13"	"8"	"28"	"13"	"14"	"20"	"8"	"4"	"21"	"3"	"10"	"865"	""	""
"73"	"64"	"9"	"157"	"17"	"255"	"52"	"2"	"3"	"6"	"13"	"13"	"4"	"7"	"6"	"5"	"7"	"15"	"11"	"28"	"25"	"13"	"8"	"656"	""	""
"74"	"65"	"4"	"288"	"43"	"65"	"28"	"0"	"2"	"2"	"7"	"4"	"7"	"3"	"9"	"5"	"10"	"11"	"54"	"11"	"6"	"7"	"11"	"577"	""	""
"75"	"66"	"2"	"24"	"7"	"372"	"23"	"4"	"3"	"1"	"9"	"3"	"6"	"13"	"22"	"15"	"2"	"21"	"32"	"14"	"168"	"23"	"14"	"778"	""	""
"76"	"67"	"7"	"173"	"11"	"147"	"8"	"1"	"1"	"2"	"18"	"3"	"6"	"2"	"5"	"4"	"0"	"5"	"68"	"4"	"9"	"0"	"8"	"482"	""	""
"77"	"68"	"7"	"143"	"9"	"208"	"12"	"5"	"4"	"4"	"8"	"5"	"10"	"9"	"8"	"5"	"5"	"21"	"103"	"8"	"24"	"7"	"4"	"609"	""	""
"78"	"69"	"7"	"216"	"87"	"103"	"15"	"3"	"24"	"2"	"3"	"6"	"6"	"7"	"10"	"11"	"12"	"17"	"25"	"11"	"8"	"6"	"5"	"584"	""	""
"79"	"70"	"4"	"116"	"121"	"111"	"7"	"2"	"49"	"4"	"17"	"3"	"4"	"9"	"17"	"14"	"11"	"23"	"14"	"8"	"31"	"10"	"7"	"582"	""	""
"80"	"71"	"8"	"311"	"45"	"214"	"22"	"0"	"13"	"5"	"4"	"3"	"17"	"6"	"12"	"13"	"9"	"12"	"17"	"8"	"25"	"7"	"6"	"757"	""	""
"81"	"72"	"5"	"81"	"42"	"276"	"8"	"3"	"3"	"7"	"4"	"4"	"65"	"3"	"9"	"4"	"8"	"7"	"47"	"12"	"90"	"24"	"4"	"706"	""	""
"82"	"73"	"14"	"353"	"27"	"264"	"5"	"5"	"4"	"7"	"31"	"5"	"16"	"6"	"38"	"14"	"18"	"19"	"73"	"15"	"8"	"3"	"4"	"929"	""	""
"83"	"74"	"2"	"203"	"8"	"14"	"70"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"3"	"2"	"0"	"2"	"0"	"1"	"313"	""	""
"84"	"75"	"8"	"129"	"44"	"338"	"19"	"5"	"5"	"12"	"6"	"4"	"7"	"12"	"44"	"19"	"14"	"29"	"8"	"11"	"60"	"6"	"6"	"786"	""	""
"85"	"76"	"2"	"144"	"11"	"123"	"28"	"0"	"10"	"11"	"3"	"7"	"5"	"1"	"3"	"3"	"3"	"14"	"106"	"16"	"8"	"4"	"7"	"509"	""	""
"86"	"77"	"7"	"38"	"7"	"102"	"9"	"5"	"1"	"5"	"7"	"2"	"4"	"8"	"11"	"9"	"8"	"12"	"3"	"3"	"29"	"50"	"7"	"327"	""	""
"87"	"78"	"13"	"196"	"11"	"58"	"13"	"0"	"25"	"0"	"2"	"6"	"7"	"10"	"15"	"5"	"7"	"6"	"108"	"0"	"6"	"2"	"1"	"491"	""	""
"88"	"79"	"5"	"102"	"28"	"269"	"10"	"4"	"2"	"4"	"8"	"5"	"10"	"13"	"21"	"11"	"4"	"14"	"6"	"8"	"168"	"5"	"3"	"700"	""	""
"89"	"80"	"16"	"7"	"11"	"13"	"6"	"3"	"3"	"12"	"3"	"5"	"0"	"2"	"113"	"9"	"10"	"4"	"4"	"8"	"343"	"7"	"6"	"585"	""	""
"90"	"81"	"3"	"298"	"13"	"161"	"56"	"1"	"2"	"1"	"2"	"0"	"4"	"2"	"0"	"3"	"4"	"1"	"176"	"4"	"5"	"12"	"2"	"750"	""	""
"91"	"82"	"3"	"39"	"1"	"593"	"5"	"1"	"1"	"2"	"2"	"2"	"0"	"2"	"13"	"2"	"1"	"6"	"25"	"2"	"27"	"6"	"1"	"734"	""	""
"92"	"83"	"6"	"105"	"9"	"327"	"22"	"1"	"3"	"4"	"5"	"4"	"1"	"1"	"12"	"6"	"1"	"8"	"33"	"11"	"68"	"18"	"7"	"652"	""	""
"93"	"84"	"5"	"226"	"12"	"95"	"51"	"3"	"0"	"3"	"3"	"4"	"3"	"6"	"10"	"8"	"6"	"6"	"76"	"7"	"4"	"5"	"7"	"540"	""	""
"94"	"85"	"4"	"154"	"9"	"219"	"14"	"4"	"2"	"5"	"6"	"3"	"5"	"5"	"11"	"9"	"10"	"12"	"90"	"7"	"3"	"9"	"3"	"584"	""	""
"95"	"86"	"11"	"488"	"15"	"125"	"11"	"1"	"2"	"0"	"2"	"2"	"9"	"3"	"9"	"6"	"6"	"5"	"22"	"6"	"1"	"1"	"2"	"727"	""	""
"96"	"87"	"13"	"445"	"8"	"121"	"48"	"3"	"3"	"4"	"2"	"1"	"0"	"0"	"1"	"3"	"3"	"4"	"35"	"3"	"0"	"1"	"5"	"703"	""	""
"97"	"88"	"13"	"600"	"14"	"84"	"22"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"3"	"0"	"1"	"1"	"25"	"10"	"6"	"4"	"3"	"795"	""	""
"98"	"89"	"15"	"11"	"3"	"354"	"8"	"3"	"2"	"8"	"9"	"3"	"3"	"5"	"7"	"3"	"1"	"6"	"19"	"5"	"2"	"8"	"5"	"480"	""	""
"99"	"90"	"3"	"58"	"70"	"97"	"15"	"2"	"0"	"1"	"3"	"0"	"7"	"8"	"6"	"12"	"6"	"5"	"2"	"0"	"1"	"1"	"1"	"298"	""	""
"100"	"91"	"5"	"113"	"5"	"270"	"54"	"1"	"1"	"8"	"7"	"5"	"3"	"6"	"12"	"4"	"4"	"16"	"34"	"1"	"0"	"6"	"4"	"559"	""	""
"101"	"92"	"9"	"175"	"11"	"324"	"24"	"1"	"4"	"10"	"9"	"2"	"6"	"6"	"18"	"12"	"4"	"17"	"37"	"14"	"2"	"10"	"3"	"698"	""	""
"102"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"103"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"104"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"105"	"93"	"11"	"215"	"10"	"398"	"62"	"3"	"1"	"7"	"5"	"3"	"9"	"13"	"24"	"9"	"6"	"19"	"47"	"4"	"3"	"16"	"2"	"867"	""	""
"106"	"94"	"12"	"107"	"8"	"263"	"64"	"1"	"6"	"3"	"3"	"2"	"3"	"4"	"7"	"0"	"2"	"10"	"13"	"10"	"1"	"10"	"2"	"531"	""	""
"107"	"95"	"4"	"310"	"10"	"130"	"15"	"3"	"1"	"4"	"1"	"4"	"3"	"5"	"4"	"6"	"12"	"7"	"17"	"8"	"14"	"24"	"1"	"583"	""	""
"108"	"95A"	"12"	"320"	"12"	"93"	"60"	"2"	"0"	"2"	"1"	"5"	"4"	"3"	"8"	"2"	"5"	"4"	"36"	"13"	"4"	"8"	"7"	"601"	""	""
"109"	"96"	"7"	"52"	"199"	"25"	"5"	"0"	"0"	"2"	"0"	"0"	"3"	"2"	"4"	"11"	"1"	"2"	"2"	"4"	"7"	"3"	"2"	"331"	""	""
"110"	"97"	"15"	"46"	"36"	"330"	"46"	"11"	"1"	"9"	"9"	"4"	"8"	"9"	"23"	"14"	"7"	"41"	"25"	"1"	"11"	"7"	"3"	"656"	""	""
"111"	"98"	"12"	"127"	"21"	"351"	"146"	"6"	"4"	"5"	"7"	"5"	"10"	"8"	"8"	"5"	"9"	"9"	"56"	"12"	"6"	"7"	"5"	"819"	""	""
"112"	"99"	"6"	"150"	"18"	"124"	"214"	"6"	"3"	"3"	"8"	"6"	"7"	"7"	"13"	"9"	"5"	"21"	"6"	"2"	"10"	"1"	"3"	"622"	""	""
"113"	"100"	"13"	"89"	"106"	"175"	"21"	"0"	"2"	"4"	"5"	"3"	"5"	"2"	"2"	"10"	"2"	"12"	"18"	"4"	"8"	"6"	"6"	"493"	""	""
"114"	"100A"	"8"	"91"	"108"	"34"	"75"	"1"	"6"	"2"	"3"	"5"	"7"	"4"	"4"	"9"	"4"	"7"	"18"	"11"	"36"	"1"	"11"	"445"	""	""
"115"	"101"	"14"	"354"	"8"	"188"	"24"	"2"	"1"	"5"	"1"	"4"	"4"	"5"	"8"	"5"	"2"	"6"	"162"	"11"	"4"	"4"	"6"	"818"	""	""
"116"	"102"	"8"	"48"	"7"	"51"	"200"	"0"	"2"	"1"	"2"	"0"	"5"	"5"	"4"	"5"	"2"	"14"	"109"	"5"	"7"	"1"	"6"	"482"	""	""
"117"	"103"	"3"	"178"	"15"	"165"	"94"	"4"	"5"	"1"	"10"	"4"	"3"	"5"	"10"	"8"	"8"	"11"	"37"	"4"	"34"	"8"	"4"	"611"	""	""
"118"	"104"	"2"	"45"	"3"	"178"	"36"	"0"	"3"	"4"	"6"	"2"	"2"	"8"	"9"	"3"	"3"	"5"	"17"	"0"	"24"	"1"	"5"	"356"	""	""
"119"	"105"	"9"	"103"	"10"	"157"	"75"	"6"	"1"	"4"	"2"	"6"	"7"	"9"	"4"	"1"	"2"	"8"	"7"	"6"	"3"	"1"	"4"	"425"	""	""
"120"	"106"	"56"	"153"	"14"	"381"	"77"	"4"	"2"	"5"	"7"	"5"	"8"	"11"	"26"	"6"	"8"	"25"	"22"	"3"	"4"	"13"	"17"	"847"	""	""
"121"	"107"	"14"	"331"	"12"	"57"	"71"	"5"	"13"	"2"	"4"	"1"	"11"	"11"	"5"	"7"	"16"	"28"	"11"	"14"	"4"	"4"	"12"	"633"	""	""
"122"	"108"	"16"	"195"	"14"	"90"	"112"	"5"	"4"	"4"	"6"	"1"	"7"	"45"	"13"	"7"	"12"	"9"	"28"	"18"	"44"	"9"	"8"	"647"	""	""
"123"	"109"	"18"	"138"	"10"	"110"	"173"	"14"	"10"	"14"	"22"	"7"	"12"	"19"	"21"	"17"	"22"	"34"	"14"	"5"	"55"	"4"	"3"	"722"	""	""
"124"	"110"	"7"	"92"	"9"	"297"	"47"	"1"	"3"	"4"	"4"	"4"	"4"	"4"	"8"	"6"	"7"	"16"	"8"	"4"	"3"	"2"	"2"	"532"	""	""
"125"	"111"	"14"	"106"	"11"	"242"	"127"	"2"	"8"	"3"	"8"	"5"	"8"	"10"	"5"	"9"	"3"	"9"	"25"	"6"	"48"	"1"	"8"	"658"	""	""
