"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"36"	"22"	"22"	"11"	"4"	"252"	"4"	"1"	"1"	"5"	"4"	"18"	"10"	"3"	"10"	"345"	""
"37"	"23"	"179"	"38"	"16"	"345"	"5"	"4"	"3"	"5"	"3"	"43"	"15"	"7"	"27"	"690"	""
"38"	"24"	"19"	"29"	"4"	"385"	"10"	"10"	"5"	"7"	"4"	"16"	"35"	"9"	"9"	"542"	""
"39"	"25"	"40"	"40"	"16"	"155"	"6"	"6"	"4"	"6"	"4"	"35"	"3"	"2"	"15"	"332"	""
"40"	"26"	"24"	"387"	"12"	"81"	"10"	"3"	"1"	"5"	"2"	"3"	"15"	"1"	"10"	"554"	""
"41"	"27"	"6"	"150"	"8"	"49"	"0"	"12"	"1"	"3"	"1"	"7"	"0"	"3"	"17"	"257"	""
"42"	"28"	"20"	"1"	"41"	"22"	"4"	"0"	"0"	"2"	"1"	"4"	"60"	"4"	"4"	"163"	""
"43"	"29"	"43"	"35"	"30"	"103"	"2"	"5"	"1"	"5"	"5"	"10"	"23"	"2"	"53"	"317"	""
"44"	"29A"	"46"	"27"	"8"	"104"	"1"	"1"	"0"	"7"	"1"	"12"	"10"	"2"	"47"	"266"	""
"45"	"30"	"45"	"99"	"58"	"218"	"5"	"2"	"1"	"6"	"2"	"15"	"42"	"8"	"71"	"572"	""
"46"	"31"	"49"	"25"	"5"	"305"	"15"	"16"	"9"	"9"	"5"	"26"	"49"	"3"	"22"	"538"	""
"47"	"32"	"27"	"285"	"25"	"59"	"42"	"1"	"3"	"5"	"5"	"5"	"4"	"12"	"27"	"500"	""
"48"	"33"	"41"	"14"	"3"	"392"	"8"	"7"	"3"	"3"	"2"	"26"	"3"	"0"	"2"	"504"	""
"49"	"34"	"42"	"403"	"4"	"9"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"4"	"23"	"492"	""
"50"	"35"	"31"	"315"	"3"	"30"	"2"	"0"	"1"	"1"	"1"	"3"	"33"	"5"	"14"	"439"	""
"51"	"36"	"44"	"223"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"67"	"341"	""
"52"	"37"	"2"	"452"	"2"	"35"	"20"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"38"	"552"	""
"53"	"38"	"20"	"167"	"0"	"66"	"3"	"0"	"1"	"0"	"1"	"4"	"0"	"0"	"8"	"270"	""
"54"	"39"	"55"	"34"	"10"	"155"	"6"	"11"	"5"	"9"	"5"	"24"	"320"	"9"	"26"	"669"	""
"55"	"40"	"22"	"61"	"0"	"289"	"2"	"3"	"1"	"3"	"0"	"36"	"30"	"3"	"3"	"453"	""
"56"	"Page 2 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"63"	"41"	"15"	"54"	"13"	"187"	"3"	"17"	"1"	"7"	"1"	"8"	"3"	"2"	"4"	"315"	""
"64"	"42"	"6"	"73"	"11"	"220"	"1"	"5"	"3"	"8"	"0"	"16"	"7"	"0"	"9"	"359"	""
"65"	"43"	"60"	"169"	"37"	"163"	"4"	"7"	"3"	"5"	"2"	"21"	"107"	"8"	"17"	"603"	""
"66"	"44"	"46"	"120"	"21"	"262"	"5"	"15"	"3"	"11"	"2"	"18"	"3"	"8"	"16"	"530"	""
"67"	"45"	"83"	"9"	"9"	"164"	"3"	"3"	"1"	"2"	"7"	"25"	"134"	"5"	"26"	"471"	""
"68"	"46"	"43"	"0"	"6"	"219"	"4"	"19"	"0"	"4"	"1"	"17"	"41"	"5"	"9"	"368"	""
"69"	"47"	"36"	"44"	"7"	"313"	"9"	"10"	"1"	"2"	"5"	"23"	"38"	"3"	"19"	"510"	""
"70"	"48"	"62"	"523"	"4"	"53"	"0"	"0"	"1"	"1"	"2"	"3"	"2"	"1"	"24"	"676"	""
"71"	"49"	"18"	"48"	"7"	"113"	"4"	"1"	"4"	"6"	"5"	"8"	"5"	"2"	"20"	"241"	""
"72"	"50"	"166"	"14"	"7"	"39"	"6"	"1"	"4"	"1"	"5"	"9"	"21"	"8"	"26"	"307"	""
"73"	"51"	"94"	"51"	"41"	"108"	"6"	"3"	"2"	"3"	"2"	"21"	"56"	"2"	"27"	"416"	""
"74"	"52"	"107"	"87"	"6"	"55"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"8"	"268"	""
"75"	"53"	"58"	"56"	"5"	"263"	"5"	"3"	"3"	"5"	"2"	"16"	"3"	"8"	"26"	"453"	""
"76"	"54"	"65"	"95"	"3"	"64"	"3"	"2"	"2"	"5"	"0"	"8"	"2"	"1"	"5"	"255"	""
"77"	"55"	"4"	"137"	"25"	"75"	"3"	"1"	"1"	"1"	"1"	"2"	"10"	"1"	"1"	"262"	""
"78"	"56"	"14"	"91"	"4"	"64"	"0"	"1"	"2"	"0"	"0"	"12"	"150"	"7"	"26"	"371"	""
"79"	"57"	"23"	"82"	"2"	"46"	"0"	"0"	"1"	"2"	"2"	"3"	"0"	"2"	"9"	"172"	""
"80"	"58"	"17"	"20"	"3"	"184"	"4"	"0"	"2"	"2"	"3"	"5"	"64"	"8"	"18"	"330"	""
"81"	"59"	"16"	"17"	"3"	"321"	"3"	"2"	"0"	"4"	"1"	"28"	"1"	"0"	"12"	"408"	""
"82"	"59A"	"16"	"16"	"8"	"270"	"4"	"6"	"0"	"8"	"1"	"17"	"4"	"0"	"11"	"361"	""
"83"	"60"	"31"	"0"	"3"	"227"	"4"	"1"	"0"	"4"	"0"	"12"	"0"	"1"	"13"	"296"	""
"84"	"60A"	"60"	"5"	"3"	"184"	"2"	"1"	"0"	"3"	"7"	"15"	"1"	"4"	"20"	"305"	""
"85"	"Page 3 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"92"	"61"	"64"	"70"	"6"	"243"	"9"	"1"	"3"	"6"	"0"	"16"	"9"	"6"	"21"	"454"	""
"93"	"62"	"88"	"41"	"7"	"148"	"11"	"3"	"6"	"5"	"5"	"18"	"28"	"6"	"18"	"384"	""
"94"	"63"	"86"	"47"	"5"	"57"	"0"	"1"	"3"	"1"	"3"	"6"	"49"	"5"	"15"	"278"	""
"95"	"64"	"25"	"8"	"6"	"192"	"6"	"3"	"0"	"4"	"2"	"15"	"45"	"4"	"15"	"325"	""
"96"	"65"	"432"	"207"	"2"	"14"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"5"	"5"	"668"	""
"97"	"66"	"209"	"101"	"4"	"85"	"0"	"3"	"1"	"2"	"1"	"1"	"2"	"3"	"10"	"422"	""
"98"	"67"	"141"	"36"	"12"	"150"	"5"	"3"	"4"	"2"	"8"	"20"	"108"	"6"	"27"	"522"	""
"99"	"68"	"84"	"308"	"1"	"20"	"2"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"423"	""
"100"	"69"	"68"	"358"	"2"	"12"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"9"	"453"	""
"101"	"70"	"11"	"30"	"4"	"106"	"1"	"0"	"0"	"2"	"2"	"4"	"0"	"0"	"1"	"161"	""
"102"	"71"	"6"	"304"	"0"	"10"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"2"	"1"	"330"	""
"103"	"72"	"3"	"424"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"431"	""
"104"	"73"	"2"	"506"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"518"	""
"105"	"73A"	"6"	"409"	"3"	"10"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"2"	"5"	"441"	""
"106"	"74"	"5"	"596"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"611"	""
"107"	"75"	"1"	"618"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"624"	""
"108"	"76"	"17"	"13"	"10"	"508"	"6"	"0"	"3"	"8"	"3"	"21"	"84"	"4"	"10"	"687"	""
"109"	"77"	"1"	"13"	"2"	"514"	"5"	"0"	"0"	"7"	"1"	"10"	"10"	"4"	"17"	"584"	""
"110"	"78"	"22"	"148"	"7"	"303"	"5"	"5"	"1"	"6"	"3"	"12"	"14"	"3"	"8"	"537"	""
"111"	"79"	"7"	"130"	"6"	"219"	"2"	"10"	"2"	"4"	"1"	"6"	"4"	"5"	"24"	"420"	""
"112"	"80"	"19"	"24"	"7"	"294"	"6"	"2"	"2"	"4"	"0"	"11"	"6"	"6"	"26"	"407"	""
"113"	"80A"	"65"	"29"	"7"	"115"	"3"	"7"	"3"	"5"	"0"	"19"	"60"	"7"	"19"	"339"	""
"114"	"Page 4 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"121"	"81"	"62"	"246"	"16"	"82"	"9"	"3"	"5"	"7"	"8"	"23"	"22"	"29"	"63"	"575"	""
"122"	"82"	"5"	"135"	"4"	"8"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"4"	"142"	"302"	""
"123"	"83"	"9"	"175"	"3"	"295"	"4"	"1"	"2"	"4"	"3"	"8"	"9"	"7"	"20"	"540"	""
"124"	"84"	"11"	"216"	"13"	"83"	"3"	"1"	"1"	"12"	"2"	"13"	"8"	"12"	"30"	"405"	""
"125"	"85"	"4"	"636"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"646"	""
"126"	"86"	"7"	"566"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"586"	""
"127"	"87"	"5"	"629"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"641"	""
"128"	"88"	"21"	"192"	"22"	"48"	"1"	"4"	"1"	"4"	"2"	"13"	"13"	"10"	"15"	"346"	""
"129"	"89"	"8"	"327"	"4"	"48"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"3"	"3"	"400"	""
"130"	"90"	"9"	"145"	"1"	"80"	"0"	"2"	"0"	"1"	"1"	"63"	"0"	"0"	"2"	"304"	""
"131"	"91"	"29"	"323"	"1"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"27"	"402"	""
"132"	"92"	"92"	"253"	"13"	"31"	"3"	"1"	"0"	"2"	"1"	"1"	"4"	"1"	"14"	"416"	""
"133"	"93"	"65"	"208"	"24"	"22"	"3"	"6"	"2"	"4"	"2"	"3"	"1"	"4"	"6"	"350"	""
"134"	"94"	"13"	"623"	"2"	"17"	"0"	"1"	"1"	"42"	"1"	"0"	"2"	"3"	"14"	"719"	""
"135"	"95"	"45"	"192"	"6"	"23"	"2"	"6"	"0"	"11"	"2"	"3"	"8"	"6"	"7"	"311"	""
"136"	"96"	"123"	"358"	"9"	"74"	"2"	"0"	"2"	"7"	"5"	"10"	"23"	"7"	"21"	"641"	""
"137"	"97"	"39"	"57"	"8"	"108"	"1"	"1"	"2"	"2"	"1"	"10"	"39"	"3"	"16"	"287"	""
"138"	"98"	"15"	"153"	"7"	"66"	"0"	"2"	"2"	"3"	"0"	"6"	"2"	"0"	"5"	"261"	""
"139"	"99"	"7"	"346"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"355"	""
"140"	"100"	"77"	"146"	"5"	"151"	"4"	"8"	"4"	"3"	"4"	"15"	"9"	"3"	"22"	"451"	""
"141"	"101"	"91"	"40"	"25"	"273"	"4"	"2"	"4"	"12"	"3"	"30"	"6"	"5"	"25"	"520"	""
"142"	"102"	"183"	"29"	"15"	"229"	"2"	"3"	"2"	"6"	"2"	"13"	"9"	"2"	"8"	"503"	""
"143"	"Page 5 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"150"	"103"	"26"	"246"	"14"	"64"	"5"	"2"	"0"	"2"	"1"	"5"	"5"	"3"	"38"	"411"	""
"151"	"104"	"85"	"20"	"1"	"64"	"1"	"3"	"0"	"1"	"1"	"3"	"18"	"3"	"11"	"211"	""
"152"	"105"	"15"	"182"	"7"	"65"	"3"	"11"	"2"	"3"	"0"	"9"	"1"	"4"	"11"	"313"	""
"153"	"106"	"4"	"22"	"2"	"164"	"1"	"6"	"0"	"2"	"1"	"11"	"20"	"0"	"8"	"241"	""
"154"	"106A"	"2"	"15"	"4"	"340"	"0"	"3"	"1"	"3"	"1"	"8"	"52"	"2"	"4"	"435"	""
"155"	"107"	"99"	"271"	"11"	"4"	"1"	"1"	"3"	"0"	"0"	"10"	"76"	"14"	"30"	"520"	""
"156"	"108"	"70"	"22"	"5"	"99"	"4"	"2"	"6"	"4"	"2"	"8"	"45"	"5"	"20"	"292"	""
"157"	"109"	"48"	"439"	"2"	"33"	"1"	"6"	"1"	"6"	"2"	"31"	"60"	"8"	"16"	"653"	""
"158"	"110"	"19"	"6"	"4"	"57"	"3"	"8"	"2"	"5"	"3"	"101"	"10"	"1"	"10"	"229"	""
"159"	"111"	"15"	"10"	"9"	"94"	"5"	"7"	"14"	"8"	"13"	"361"	"6"	"5"	"23"	"570"	""
"160"	"112"	"23"	"113"	"15"	"30"	"5"	"1"	"6"	"8"	"4"	"58"	"46"	"4"	"11"	"324"	""
"161"	"112A"	"6"	"210"	"10"	"12"	"1"	"3"	"0"	"1"	"0"	"76"	"17"	"3"	"1"	"340"	""
"162"	"113"	"85"	"39"	"67"	"25"	"3"	"7"	"4"	"5"	"9"	"109"	"132"	"11"	"19"	"515"	""
"163"	"114"	"160"	"179"	"4"	"115"	"2"	"4"	"4"	"11"	"5"	"17"	"9"	"12"	"31"	"553"	""
"164"	"115"	"33"	"130"	"5"	"229"	"4"	"1"	"1"	"5"	"5"	"16"	"6"	"3"	"4"	"442"	""
"165"	"116"	"23"	"153"	"3"	"173"	"3"	"0"	"3"	"6"	"2"	"15"	"9"	"6"	"12"	"408"	""
"166"	"117"	"28"	"149"	"4"	"201"	"2"	"3"	"2"	"5"	"3"	"16"	"6"	"4"	"17"	"440"	""
"167"	"118"	"32"	"126"	"4"	"193"	"6"	"4"	"2"	"5"	"4"	"23"	"6"	"4"	"7"	"416"	""
"168"	"119"	"36"	"303"	"4"	"39"	"0"	"8"	"0"	"1"	"1"	"3"	"2"	"2"	"1"	"400"	""
"169"	"120"	"58"	"279"	"4"	"96"	"1"	"7"	"1"	"6"	"3"	"16"	"58"	"6"	"9"	"544"	""
"170"	"121"	"76"	"252"	"24"	"196"	"3"	"5"	"1"	"3"	"5"	"19"	"3"	"5"	"13"	"605"	""
"171"	"122"	"45"	"135"	"21"	"373"	"3"	"5"	"1"	"2"	"5"	"25"	"6"	"7"	"14"	"642"	""
"172"	"Page 6 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"179"	"123"	"23"	"301"	"2"	"92"	"2"	"2"	"1"	"2"	"1"	"14"	"6"	"6"	"6"	"458"	""
"180"	"124"	"107"	"113"	"17"	"111"	"4"	"7"	"4"	"7"	"10"	"16"	"37"	"10"	"25"	"468"	""
"181"	"125"	"47"	"88"	"4"	"202"	"2"	"1"	"1"	"4"	"7"	"18"	"15"	"5"	"13"	"407"	""
"182"	"125A"	"50"	"21"	"1"	"155"	"4"	"4"	"0"	"6"	"2"	"11"	"16"	"4"	"19"	"293"	""
"183"	"126"	"25"	"58"	"5"	"279"	"2"	"2"	"0"	"1"	"0"	"11"	"2"	"1"	"3"	"389"	""
"184"	"127"	"23"	"88"	"10"	"288"	"3"	"3"	"3"	"2"	"4"	"26"	"2"	"4"	"6"	"462"	""
"185"	"128"	"69"	"70"	"10"	"435"	"1"	"5"	"3"	"4"	"2"	"18"	"17"	"2"	"10"	"646"	""
"186"	"129"	"12"	"22"	"99"	"373"	"8"	"4"	"3"	"7"	"2"	"29"	"4"	"5"	"7"	"575"	""
"187"	"130"	"43"	"207"	"13"	"140"	"4"	"2"	"3"	"5"	"5"	"11"	"61"	"4"	"23"	"521"	""
"188"	"131"	"57"	"130"	"23"	"326"	"12"	"2"	"5"	"7"	"2"	"28"	"88"	"12"	"44"	"736"	""
"189"	"132"	"60"	"68"	"6"	"201"	"9"	"3"	"2"	"3"	"4"	"28"	"55"	"4"	"15"	"458"	""
"190"	"132A"	"31"	"54"	"2"	"202"	"8"	"4"	"1"	"1"	"3"	"42"	"19"	"3"	"13"	"383"	""
"191"	"133"	"54"	"216"	"7"	"75"	"3"	"4"	"2"	"6"	"0"	"5"	"3"	"2"	"7"	"384"	""
"192"	"133A"	"78"	"150"	"5"	"116"	"5"	"10"	"3"	"5"	"5"	"13"	"6"	"5"	"21"	"422"	""
"193"	"134"	"63"	"93"	"8"	"267"	"8"	"19"	"4"	"13"	"2"	"21"	"4"	"3"	"18"	"523"	""
"194"	"135"	"224"	"30"	"4"	"125"	"7"	"27"	"2"	"6"	"4"	"8"	"37"	"8"	"43"	"525"	""
"195"	"136"	"59"	"61"	"12"	"53"	"2"	"4"	"1"	"1"	"0"	"8"	"47"	"3"	"14"	"265"	""
"196"	"136A"	"51"	"52"	"41"	"21"	"1"	"2"	"1"	"2"	"1"	"3"	"45"	"6"	"14"	"240"	""
"197"	"137"	"41"	"11"	"150"	"266"	"5"	"8"	"2"	"7"	"8"	"36"	"117"	"11"	"43"	"705"	""
"198"	"138"	"29"	"196"	"7"	"96"	"1"	"2"	"3"	"4"	"2"	"8"	"2"	"5"	"24"	"379"	""
"199"	"139"	"47"	"8"	"50"	"218"	"2"	"1"	"3"	"3"	"3"	"26"	"34"	"2"	"12"	"409"	""
"200"	"140"	"11"	"143"	"5"	"126"	"3"	"4"	"4"	"4"	"2"	"7"	"18"	"5"	"291"	"623"	""
"201"	"Page 7 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"208"	"141"	"110"	"59"	"27"	"122"	"5"	"4"	"5"	"8"	"2"	"8"	"131"	"5"	"66"	"552"	""
"209"	"142"	"11"	"87"	"8"	"286"	"3"	"3"	"1"	"5"	"1"	"18"	"15"	"4"	"15"	"457"	""
"210"	"143"	"10"	"7"	"9"	"185"	"3"	"3"	"1"	"1"	"1"	"18"	"33"	"1"	"3"	"275"	""
"211"	"144"	"11"	"43"	"4"	"107"	"3"	"2"	"5"	"0"	"6"	"13"	"141"	"10"	"30"	"375"	""
"212"	"145"	"11"	"7"	"10"	"122"	"1"	"2"	"2"	"7"	"1"	"3"	"44"	"2"	"10"	"222"	""
"213"	"146"	"37"	"10"	"1"	"248"	"5"	"1"	"3"	"7"	"4"	"23"	"32"	"3"	"20"	"394"	""
"214"	"147"	"59"	"775"	"8"	"25"	"0"	"1"	"1"	"3"	"0"	"1"	"8"	"5"	"16"	"902"	""
"215"	"148"	"24"	"51"	"3"	"303"	"3"	"9"	"1"	"9"	"4"	"12"	"19"	"4"	"9"	"451"	""
"216"	"149"	"38"	"22"	"7"	"74"	"6"	"1"	"1"	"7"	"5"	"16"	"89"	"8"	"40"	"314"	""
"217"	"150"	"17"	"31"	"8"	"352"	"8"	"2"	"4"	"5"	"3"	"23"	"64"	"5"	"33"	"555"	""
"218"	"151"	"19"	"63"	"7"	"147"	"1"	"2"	"1"	"1"	"1"	"3"	"67"	"1"	"5"	"318"	""
"219"	"151A"	"26"	"44"	"5"	"182"	"9"	"23"	"3"	"6"	"3"	"10"	"17"	"1"	"5"	"334"	""
