"Polling...Station.No."	"Amit.Rana"	"Narendr.a..Kumar.Niraj"	"Nageshw.ar.Sah"	"Binod.Yadav"	"Shital.Prasad.Singh"	"Suprabha.Bharti"	"Bindeshwari.Mandal"	"Madan.Sah"	"Ranjan.Kumar"	"Arvind.Yadav"	"Krishna.Kumar.Kedia"	"Dharmen.dra.Kumar"	"Niranjan.Singh"	"Rajendra.Yadav"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"42"	"35"	109	343	7	0	9	8	2	2	63	3	4	3	14	9	576	0	576	NA
"43"	"36"	57	337	1	2	17	11	0	1	66	5	2	3	9	6	517	0	517	NA
"44"	"37"	137	376	3	1	7	1	0	3	48	4	5	7	25	16	633	0	633	NA
"45"	"38"	474	28	1	0	2	2	2	0	3	0	2	1	0	10	525	0	525	NA
"46"	"39"	501	14	2	1	2	0	0	1	1	0	0	3	4	13	542	0	542	NA
"47"	"40"	265	91	2	0	0	1	3	0	12	0	0	2	10	18	404	0	404	NA
"48"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"50"	"41"	219	226	5	2	6	90	4	0	43	3	5	8	10	22	643	0	643	NA
"51"	"42"	43	371	4	0	6	40	2	1	36	2	1	5	24	3	538	0	538	NA
"52"	"43"	357	96	5	2	4	9	0	0	19	1	1	7	11	13	525	0	525	NA
"53"	"44"	219	171	5	1	5	2	2	4	32	0	3	0	12	8	464	0	464	NA
"54"	"45"	138	97	6	1	5	7	1	2	21	1	1	4	8	11	303	0	303	NA
"55"	"46"	146	320	8	2	5	6	4	4	63	3	4	7	69	19	660	0	660	NA
"56"	"47"	65	397	2	5	5	13	10	5	120	10	3	19	128	30	812	0	812	NA
"57"	"48"	116	268	3	1	10	6	0	0	52	22	3	3	13	6	503	0	503	NA
"58"	"49"	109	207	4	0	8	4	0	1	47	16	1	2	12	9	420	0	420	NA
"59"	"50"	97	66	6	0	5	2	0	0	8	0	0	0	3	3	190	0	190	NA
"60"	"51"	194	204	27	4	2	4	1	1	24	1	4	4	11	18	499	0	499	NA
"61"	"52"	31	243	2	0	21	13	1	0	33	1	2	7	5	1	360	0	360	NA
"62"	"53"	72	385	2	0	17	4	1	1	45	3	2	1	6	3	542	0	542	NA
"63"	"54"	58	295	2	1	11	3	0	1	41	3	3	2	5	10	435	0	435	NA
"64"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"66"	"55"	110	479	3	2	4	10	2	2	71	9	10	4	5	4	715	0	715	NA
"67"	"56"	124	195	3	0	9	4	1	1	40	2	0	2	8	7	396	0	396	NA
"68"	"57"	66	456	7	6	20	19	25	2	107	6	2	11	28	25	780	0	780	NA
"69"	"58"	84	521	2	1	16	30	7	1	74	1	3	7	16	2	765	0	765	NA
"70"	"59"	144	196	1	2	4	3	1	1	44	3	3	5	15	10	432	0	432	NA
"71"	"60"	257	95	2	2	3	2	0	2	17	1	1	1	13	10	406	0	406	NA
"72"	"61"	40	223	11	1	2	9	17	2	70	4	3	9	55	23	469	0	469	NA
"73"	"62"	115	219	2	4	15	4	4	2	39	5	0	2	64	16	491	0	491	NA
"74"	"63"	24	290	3	2	25	6	2	0	38	1	2	4	16	4	417	0	417	NA
"75"	"64"	144	225	3	4	69	9	7	1	43	4	1	3	9	10	532	0	532	NA
"76"	"65"	108	169	1	5	27	2	5	0	39	4	0	1	6	1	368	0	368	NA
"77"	"66"	55	89	2	5	73	3	3	0	30	2	0	3	8	7	280	0	280	NA
"78"	"67"	69	239	2	3	20	9	11	5	76	4	1	9	27	37	512	0	512	NA
"79"	"68"	289	262	4	5	26	13	67	9	68	5	5	7	22	33	815	0	815	NA
"80"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"82"	"69"	129	231	11	24	27	4	20	1	41	4	2	3	20	8	525	0	525	NA
"83"	"70"	13	181	0	0	1	4	3	0	51	6	4	4	140	15	422	0	422	NA
"84"	"71"	66	255	4	0	6	29	5	2	91	6	2	13	310	57	846	0	846	NA
"85"	"72"	142	101	6	3	45	2	3	0	10	65	2	10	11	57	457	0	457	NA
"86"	"73"	52	53	3	0	28	4	9	1	10	3	4	53	13	154	387	0	387	NA
"87"	"74"	39	56	5	7	2	2	0	1	14	3	7	116	26	269	547	0	547	NA
"88"	"75"	41	27	5	2	3	8	0	3	19	5	9	85	20	134	361	0	361	NA
"89"	"76"	180	40	97	4	4	2	0	3	15	1	6	76	16	264	708	0	708	NA
"90"	"77"	110	340	7	17	5	4	2	2	92	5	3	2	28	22	639	0	639	NA
"91"	"78"	358	28	9	182	8	13	1	2	7	1	9	10	19	44	691	0	691	NA
"92"	"79"	241	8	3	361	10	3	2	2	9	4	4	3	15	34	699	0	699	NA
"93"	"80"	146	176	3	43	7	13	3	4	46	1	4	5	18	19	488	0	488	NA
"94"	"81"	317	329	6	36	6	2	1	1	36	4	1	3	7	12	761	0	761	NA
"95"	"82"	158	181	2	1	13	3	0	2	26	0	3	1	4	5	399	0	399	NA
"96"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"98"	"83"	147	132	9	0	42	5	1	1	15	3	2	3	4	8	372	0	372	NA
"99"	"84"	197	303	14	12	7	4	1	1	40	1	3	4	17	11	615	0	615	NA
"100"	"85"	100	419	10	6	4	8	3	2	41	2	1	3	20	5	624	0	624	NA
"101"	"86"	21	414	5	2	35	25	3	0	40	4	2	8	8	8	575	0	575	NA
"102"	"87"	22	366	6	3	7	6	10	1	54	6	2	4	17	19	523	0	523	NA
"103"	"88"	128	186	7	1	45	10	2	2	32	32	5	5	17	19	491	0	491	NA
"104"	"89"	34	125	2	0	12	2	2	2	26	8	2	1	18	12	246	0	246	NA
"105"	"90"	12	42	0	0	3	0	0	0	5	6	0	0	1	0	69	0	69	NA
"106"	"91"	58	192	8	5	6	10	3	0	35	115	4	6	14	4	460	0	460	NA
"107"	"92"	104	98	3	5	4	6	5	2	35	104	7	1	10	6	390	0	390	NA
"108"	"93"	48	89	3	4	9	6	3	3	32	207	7	6	6	10	433	0	433	NA
"109"	"94"	151	136	6	2	9	18	1	4	33	130	9	5	9	28	541	0	541	NA
"110"	"95"	400	164	8	3	8	6	2	6	52	3	3	10	19	23	707	0	707	NA
"111"	"96"	181	30	3	2	2	0	1	0	11	99	4	1	6	8	348	0	348	NA
"112"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"114"	"97"	111	208	3	0	11	26	2	2	52	27	5	5	16	13	481	0	481	NA
"115"	"98"	53	159	4	9	11	85	5	2	75	6	5	4	21	12	451	0	451	NA
"116"	"99"	42	94	2	0	3	0	0	0	13	3	0	1	7	7	172	0	172	NA
"117"	"100"	227	249	7	6	19	17	1	2	35	4	0	3	10	9	589	0	589	NA
"118"	"101"	27	290	5	1	3	11	2	0	14	2	0	3	4	10	372	0	372	NA
"119"	"102"	43	107	4	2	2	7	1	0	49	6	1	3	10	4	239	0	239	NA
"120"	"103"	77	373	4	1	12	4	1	3	51	5	1	1	12	12	557	0	557	NA
"121"	"104"	550	41	2	1	2	5	0	0	11	5	0	0	1	3	621	0	621	NA
"122"	"105"	203	16	0	1	0	0	0	0	1	0	0	0	0	0	221	0	221	NA
"123"	"106"	52	464	7	1	13	12	2	0	47	2	1	4	14	15	634	0	634	NA
"124"	"107"	13	432	2	4	7	3	3	0	23	6	1	2	4	2	502	0	502	NA
"125"	"108"	25	189	2	2	3	5	1	2	50	9	0	2	11	2	303	0	303	NA
"126"	"109"	29	119	1	1	3	0	0	1	31	11	0	2	8	2	208	0	208	NA
"127"	"110"	78	141	3	4	30	9	2	4	37	9	1	4	6	11	339	0	339	NA
"128"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"130"	"111"	38	157	1	0	7	1	0	0	24	2	0	3	7	6	246	0	246	NA
"131"	"112"	52	329	3	2	13	3	2	2	59	1	0	2	4	3	475	0	475	NA
"132"	"113"	65	228	3	14	4	4	0	1	83	10	2	7	12	8	441	0	441	NA
"133"	"114"	22	27	0	1	1	0	1	0	8	0	0	0	2	2	64	0	64	NA
"134"	"115"	34	243	3	2	1	6	1	1	49	9	2	5	13	16	385	0	385	NA
"135"	"116"	49	374	6	0	8	4	0	5	19	40	3	9	38	19	574	0	574	NA
"136"	"117"	592	52	6	2	1	1	0	1	4	5	2	0	18	35	719	0	719	NA
"137"	"118"	174	257	7	5	8	4	6	3	64	7	4	2	26	18	585	0	585	NA
"138"	"119"	49	243	3	0	19	4	0	1	50	6	2	0	12	10	399	0	399	NA
"139"	"120"	176	281	4	3	14	4	3	4	59	5	4	11	27	23	618	0	618	NA
"140"	"121"	228	15	3	0	0	2	1	1	3	0	0	0	0	2	255	0	255	NA
"141"	"122"	535	93	4	4	7	1	4	1	14	2	1	2	6	33	707	0	707	NA
"142"	"123"	610	51	2	1	8	7	0	1	22	2	3	2	10	48	767	0	767	NA
"143"	"124"	62	268	2	5	3	9	5	2	83	52	3	2	10	9	515	0	515	NA
"144"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"146"	"125"	31	332	6	1	6	1	3	2	61	28	1	5	12	11	500	0	500	NA
"147"	"125-A"	25	253	7	1	4	3	1	1	48	5	2	3	9	11	373	0	373	NA
"148"	"126"	132	597	16	4	15	5	9	1	57	5	3	5	25	14	888	0	888	NA
"149"	"127"	99	165	3	2	10	6	0	0	34	1	0	4	14	3	341	0	341	NA
"150"	"128"	75	261	4	4	2	4	5	1	99	10	4	11	25	41	546	0	546	NA
"151"	"129"	122	89	5	1	20	1	1	0	9	2	0	0	3	2	255	0	255	NA
"152"	"130"	69	239	1	1	41	3	1	2	41	11	2	1	14	5	431	0	431	NA
"153"	"131"	57	211	6	1	12	2	5	3	63	16	2	2	14	20	414	0	414	NA
"154"	"132"	70	312	5	0	10	1	0	1	74	5	1	2	15	22	518	0	518	NA
"155"	"133"	20	131	2	13	13	3	2	1	20	2	2	2	4	5	220	0	220	NA
"156"	"134"	216	228	5	5	6	10	0	3	43	1	2	8	13	21	561	0	561	NA
"157"	"135"	37	374	8	0	5	9	7	3	46	2	1	1	12	8	513	0	513	NA
"158"	"136"	92	232	9	1	2	8	2	5	42	3	1	5	21	25	448	0	448	NA
"159"	"137"	153	471	7	6	5	6	6	3	98	4	3	12	15	30	819	0	819	NA
"160"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"162"	"138"	62	483	5	0	1	1	21	6	64	12	2	3	17	12	689	0	689	NA
"163"	"139"	11	187	3	2	2	2	61	4	20	5	1	2	5	8	313	0	313	NA
"164"	"140"	32	311	8	0	1	0	17	1	45	11	0	5	19	20	470	0	470	NA
"165"	"140-A"	29	362	2	1	2	3	29	3	42	3	1	1	5	5	488	0	488	NA
"166"	"141"	54	444	20	8	18	27	123	15	111	13	7	9	18	17	884	0	884	NA
"167"	"142"	290	305	6	4	15	2	3	0	81	3	4	6	53	37	809	0	809	NA
"168"	"143"	103	198	1	1	15	2	1	0	30	4	2	0	2	8	367	0	367	NA
"169"	"144"	141	88	3	1	8	2	1	0	19	2	0	1	3	11	280	0	280	NA
"170"	"145"	38	512	4	3	59	19	0	0	53	1	2	2	19	7	719	0	719	NA
"171"	"146"	103	364	0	3	246	35	1	4	57	4	2	5	12	11	847	0	847	NA
"172"	"147"	74	339	12	3	7	13	2	4	46	3	2	4	28	9	546	0	546	NA
"173"	"148"	100	190	5	1	9	5	3	1	31	1	0	1	11	0	358	0	358	NA
"174"	"149"	129	264	5	1	24	18	2	2	66	5	1	5	12	7	541	0	541	NA
"175"	"150"	194	252	6	1	7	11	0	1	53	3	2	2	10	10	552	0	552	NA
"176"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"178"	"151"	36	307	8	3	9	6	2	1	65	9	2	5	16	22	491	0	491	NA
"179"	"152"	281	139	7	3	7	30	1	2	31	4	1	1	2	9	518	0	518	NA
"180"	"153"	38	329	3	0	2	18	2	1	32	0	1	0	30	2	458	0	458	NA
"181"	"154"	80	203	0	1	11	46	3	1	38	1	1	3	62	10	460	0	460	NA
"182"	"155"	166	5	0	0	0	0	0	0	0	2	0	0	0	1	174	0	174	NA
"183"	"156"	511	22	11	0	6	16	0	0	10	2	0	0	1	2	581	0	581	NA
"184"	"157"	499	6	1	1	5	9	0	2	5	7	0	4	2	12	553	0	553	NA
"185"	"158"	158	435	7	0	7	3	2	0	24	0	1	2	35	4	678	0	678	NA
"186"	"159"	554	68	4	1	1	2	0	0	4	0	0	0	2	4	640	0	640	NA
"187"	"160"	22	688	7	1	7	4	0	2	27	4	1	4	13	11	791	0	791	NA
"188"	"161"	35	355	3	1	0	6	1	1	44	1	0	6	59	12	524	0	524	NA
"189"	"162"	84	153	3	3	2	1	1	0	22	2	3	1	14	5	294	0	294	NA
"190"	"163"	143	374	14	6	11	32	3	3	43	4	3	4	15	3	658	0	658	NA
"191"	"164"	52	361	9	4	8	14	2	1	74	6	2	7	21	10	571	0	571	NA
"192"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"194"	"165"	130	333	2	1	14	5	3	1	25	0	0	1	10	5	530	0	530	NA
"195"	"166"	15	117	88	5	3	64	8	0	32	4	0	3	165	18	522	0	522	NA
"196"	"167"	11	56	257	3	2	31	2	0	20	0	1	0	7	4	394	0	394	NA
"197"	"168"	29	229	124	5	18	77	4	2	56	9	3	5	88	16	665	0	665	NA
"198"	"169"	24	357	7	2	2	105	2	2	49	5	2	3	14	11	585	0	585	NA
"199"	"170"	190	141	1	0	3	3	1	0	4	0	0	1	2	2	348	0	348	NA
"200"	"171"	141	326	9	3	17	56	3	2	67	6	7	6	19	23	685	0	685	NA
"201"	"172"	204	197	6	1	12	9	1	3	43	6	2	2	16	23	525	0	525	NA
"202"	"173"	156	471	2	12	13	40	5	0	45	1	2	4	25	10	786	0	786	NA
"203"	"174"	20	209	0	0	7	7	0	1	21	2	0	3	4	6	280	0	280	NA
"204"	"175"	43	242	6	0	11	12	3	1	34	2	1	4	12	9	380	0	380	NA
"205"	"176"	123	201	2	2	18	38	0	0	36	2	1	7	11	9	450	0	450	NA
"206"	"177"	105	151	3	2	13	60	5	3	18	3	1	0	9	8	381	0	381	NA
"207"	"178"	65	107	1	2	15	31	0	0	9	0	0	0	1	1	232	0	232	NA
"208"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"210"	"179"	75	287	6	5	18	15	1	1	43	3	3	6	12	6	481	0	481	NA
"211"	"180"	14	357	4	4	21	8	2	1	26	1	0	0	22	6	466	0	466	NA
"212"	"181"	108	241	3	4	13	296	3	3	45	3	2	5	9	6	741	0	741	NA
"213"	"182"	24	348	12	1	8	1	4	0	63	3	3	5	12	14	498	0	498	NA
"214"	"183"	149	117	6	0	6	12	2	2	34	5	3	4	32	15	387	0	387	NA
"215"	"184"	203	227	6	3	6	76	3	2	57	2	2	4	7	6	604	0	604	NA
"216"	"185"	56	188	0	2	18	24	0	0	12	1	0	1	4	2	308	0	308	NA
"217"	"186"	60	187	3	0	16	42	1	4	68	3	2	4	4	14	408	0	408	NA
"218"	"187"	128	289	4	1	18	6	3	0	29	3	1	2	15	8	507	0	507	NA
"219"	"188"	72	254	2	0	7	9	4	1	53	2	0	3	6	5	418	0	418	NA
"220"	"189"	19	220	9	0	8	5	3	34	62	4	1	3	11	7	386	0	386	NA
"221"	"190"	119	264	9	3	3	8	0	2	44	1	2	5	20	19	499	0	499	NA
"222"	"191"	51	351	11	1	2	1	2	1	43	4	1	6	19	14	507	0	507	NA
"223"	"192"	661	41	9	13	13	6	2	2	12	1	3	5	5	34	807	0	807	NA
"224"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"226"	"193"	179	314	9	2	12	19	3	4	64	4	3	10	29	25	677	0	677	NA
"227"	"194"	50	257	2	2	3	15	0	2	58	8	2	5	7	15	426	0	426	NA
"228"	"195"	83	201	7	5	81	23	2	6	43	6	3	7	12	18	497	0	497	NA
"229"	"196"	154	77	2	2	69	25	3	4	47	5	1	4	4	11	408	0	408	NA
"230"	"197"	399	103	0	5	4	3	3	0	16	2	5	3	4	32	579	0	579	NA
"231"	"198"	156	45	2	0	2	0	0	0	2	0	0	0	1	5	213	0	213	NA
"232"	"199"	85	492	13	9	22	3	2	2	34	2	1	2	5	4	676	0	676	NA
"233"	"200"	30	253	3	4	72	4	2	0	38	4	0	2	7	11	430	0	430	NA
"234"	"201"	57	496	8	3	9	4	2	0	28	1	0	3	3	6	620	0	620	NA
"235"	"202"	89	227	2	2	8	4	1	0	22	3	1	4	7	9	379	0	379	NA
"236"	"203"	93	481	8	6	16	3	4	2	72	8	10	21	26	50	800	0	800	NA
"237"	"204"	11	336	3	0	7	9	2	0	17	0	1	0	0	0	386	0	386	NA
"238"	"205"	39	290	10	4	6	6	2	1	67	4	3	3	7	8	450	0	450	NA
"239"	"206"	52	617	11	3	9	14	15	5	70	3	7	12	24	25	867	0	867	NA
"240"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"242"	"207"	39	333	3	0	7	9	2	2	31	1	0	2	5	4	438	0	438	NA
"243"	"208"	42	332	6	1	8	3	4	0	26	1	1	5	10	12	451	0	451	NA
"244"	"209"	465	148	4	3	11	3	1	1	16	4	1	1	17	31	706	0	706	NA
"245"	"210"	128	380	9	5	3	35	0	5	32	4	2	4	10	16	633	0	633	NA
"246"	"211"	44	498	6	4	4	15	6	1	50	4	0	6	18	1	657	0	657	NA
"247"	"212"	398	14	1	3	2	1	0	0	3	3	0	0	0	20	445	0	445	NA
"248"	"213"	386	31	0	0	3	14	0	1	6	3	0	0	5	18	467	0	467	NA
"249"	"214"	94	282	15	3	8	39	3	2	30	1	1	2	5	7	492	0	492	NA
"250"	"215"	28	185	1	1	11	2	1	4	22	0	1	3	10	17	286	0	286	NA
"251"	"216"	15	485	6	2	11	3	3	2	55	7	5	7	19	28	648	0	648	NA
"252"	"217"	34	307	8	0	6	3	6	1	44	4	1	6	15	25	460	0	460	NA
"253"	"218"	279	10	2	0	0	1	3	2	1	3	2	0	1	23	327	0	327	NA
"254"	"219"	351	32	1	1	10	0	1	1	6	1	3	1	4	14	426	0	426	NA
"255"	"220"	151	289	2	8	14	5	5	4	76	4	2	2	13	14	589	0	589	NA
"256"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"258"	"221"	23	308	6	4	4	15	3	7	70	7	1	4	12	10	474	0	474	NA
"259"	"222"	12	320	9	0	9	6	3	1	38	4	1	0	11	2	416	0	416	NA
"260"	"223"	112	170	0	1	4	8	16	5	35	4	4	1	7	18	385	0	385	NA
"261"	"Total"	28691	53700	1665	1215	2686	3146	1349	445	9360	2001	504	1223	4409	3854	114248	0	114248	NA
"262"	"Postal Ballot"	125	176	2	1	31	18	2	1	0	8	0	0	4	0	368	2	370	NA
"263"	"G Total"	28816	53876	1667	1216	2717	3164	1351	446	9360	2009	504	1223	4413	3854	114616	2	114618	NA
"264"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	"Place                                                                                                                                                                                                                                    Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"266"	"153- Gopalpur Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
