"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"40"	"29"	"223"	"99"	"9"	"120"	"1"	"2"	"7"	"175"	"6"	"4"	"36"	"682"	"0"	"682"	"0"
"41"	"30"	"261"	"58"	"15"	"126"	"7"	"6"	"11"	"168"	"10"	"7"	"22"	"691"	"0"	"691"	"0"
"42"	"31"	"99"	"72"	"2"	"76"	"4"	"2"	"7"	"66"	"3"	"1"	"9"	"341"	"0"	"341"	"0"
"43"	"32"	"42"	"45"	"0"	"56"	"1"	"3"	"4"	"43"	"3"	"1"	"34"	"232"	"0"	"232"	"0"
"44"	"33"	"228"	"89"	"5"	"232"	"8"	"2"	"12"	"100"	"9"	"4"	"13"	"702"	"0"	"702"	"0"
"45"	"34"	"92"	"38"	"34"	"103"	"7"	"4"	"16"	"82"	"14"	"3"	"10"	"403"	"0"	"403"	"0"
"46"	"35"	"149"	"223"	"7"	"47"	"3"	"9"	"9"	"98"	"13"	"9"	"33"	"600"	"0"	"600"	"0"
"47"	"36"	"119"	"21"	"3"	"20"	"6"	"17"	"10"	"179"	"22"	"17"	"28"	"442"	"0"	"442"	"0"
"48"	"37"	"183"	"254"	"4"	"20"	"3"	"5"	"4"	"155"	"4"	"4"	"29"	"665"	"0"	"665"	"0"
"49"	"38"	"158"	"260"	"8"	"7"	"0"	"3"	"1"	"71"	"1"	"5"	"17"	"531"	"0"	"531"	"0"
"50"	"39"	"154"	"135"	"15"	"13"	"1"	"1"	"3"	"90"	"6"	"3"	"23"	"444"	"0"	"444"	"0"
"51"	"40"	"123"	"89"	"0"	"109"	"2"	"1"	"6"	"27"	"4"	"38"	"45"	"444"	"0"	"444"	"0"
"52"	"41"	"177"	"100"	"2"	"42"	"2"	"3"	"3"	"26"	"4"	"16"	"23"	"398"	"0"	"398"	"0"
"53"	"42"	"236"	"364"	"7"	"10"	"2"	"7"	"4"	"86"	"7"	"8"	"25"	"756"	"0"	"756"	"0"
"54"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"55"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"56"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"57"	"43"	"387"	"246"	"31"	"26"	"6"	"9"	"4"	"45"	"9"	"6"	"81"	"850"	"0"	"850"	"0"
"58"	"44"	"230"	"257"	"3"	"7"	"1"	"4"	"2"	"121"	"3"	"2"	"60"	"690"	"0"	"690"	"0"
"59"	"45"	"239"	"179"	"12"	"15"	"2"	"2"	"5"	"179"	"4"	"5"	"35"	"677"	"0"	"677"	"0"
"60"	"46"	"165"	"203"	"14"	"20"	"8"	"11"	"6"	"163"	"10"	"21"	"49"	"670"	"0"	"670"	"0"
"61"	"47"	"325"	"172"	"3"	"64"	"2"	"8"	"4"	"119"	"17"	"3"	"35"	"752"	"0"	"752"	"0"
"62"	"48"	"249"	"32"	"3"	"114"	"4"	"7"	"20"	"240"	"17"	"6"	"61"	"753"	"0"	"753"	"0"
"63"	"49"	"300"	"120"	"8"	"21"	"4"	"4"	"9"	"78"	"7"	"9"	"54"	"614"	"0"	"614"	"0"
"64"	"50"	"260"	"51"	"10"	"32"	"4"	"5"	"4"	"83"	"8"	"3"	"60"	"520"	"0"	"520"	"0"
"65"	"51"	"104"	"135"	"2"	"69"	"1"	"2"	"6"	"87"	"5"	"6"	"62"	"479"	"0"	"479"	"0"
"66"	"52"	"128"	"122"	"1"	"74"	"2"	"2"	"2"	"82"	"2"	"1"	"27"	"443"	"0"	"443"	"0"
"67"	"53"	"172"	"127"	"9"	"129"	"5"	"11"	"18"	"81"	"9"	"12"	"22"	"595"	"0"	"595"	"0"
"68"	"54"	"77"	"286"	"8"	"39"	"3"	"6"	"6"	"125"	"13"	"11"	"35"	"609"	"0"	"609"	"0"
"69"	"55"	"83"	"150"	"8"	"12"	"2"	"1"	"5"	"43"	"13"	"16"	"23"	"356"	"0"	"356"	"0"
"70"	"56"	"169"	"321"	"9"	"151"	"9"	"5"	"17"	"39"	"19"	"10"	"22"	"771"	"0"	"771"	"0"
"71"	"57"	"162"	"126"	"6"	"27"	"3"	"7"	"14"	"47"	"7"	"8"	"21"	"428"	"0"	"428"	"0"
"72"	"58"	"263"	"219"	"4"	"50"	"3"	"4"	"6"	"124"	"1"	"7"	"10"	"691"	"0"	"691"	"0"
"73"	"59"	"76"	"91"	"7"	"146"	"13"	"6"	"28"	"159"	"17"	"6"	"46"	"595"	"0"	"595"	"0"
"74"	"60"	"241"	"50"	"4"	"146"	"4"	"12"	"14"	"179"	"10"	"24"	"40"	"724"	"0"	"724"	"0"
"75"	"61"	"207"	"47"	"1"	"64"	"0"	"2"	"5"	"36"	"2"	"8"	"24"	"396"	"0"	"396"	"0"
"76"	"61A"	"288"	"12"	"3"	"23"	"1"	"1"	"0"	"35"	"4"	"4"	"10"	"381"	"0"	"381"	"0"
"77"	"62"	"115"	"65"	"2"	"24"	"2"	"0"	"3"	"72"	"5"	"5"	"7"	"300"	"0"	"300"	"0"
"78"	"63"	"99"	"66"	"38"	"146"	"6"	"3"	"8"	"110"	"14"	"3"	"36"	"529"	"0"	"529"	"0"
"79"	"64"	"122"	"120"	"5"	"22"	"3"	"6"	"5"	"48"	"3"	"0"	"21"	"355"	"0"	"355"	"0"
"80"	"65"	"97"	"16"	"1"	"96"	"1"	"3"	"9"	"69"	"8"	"0"	"10"	"310"	"0"	"310"	"0"
"81"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"83"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"84"	"66"	"116"	"119"	"1"	"10"	"2"	"1"	"1"	"46"	"0"	"2"	"16"	"314"	"0"	"314"	"0"
"85"	"67"	"71"	"60"	"5"	"33"	"2"	"6"	"5"	"42"	"4"	"10"	"75"	"313"	"0"	"313"	"0"
"86"	"68"	"220"	"93"	"12"	"138"	"12"	"10"	"6"	"47"	"5"	"3"	"28"	"574"	"0"	"574"	"0"
"87"	"69"	"68"	"67"	"4"	"78"	"2"	"3"	"5"	"60"	"2"	"6"	"24"	"319"	"0"	"319"	"0"
"88"	"70"	"31"	"403"	"8"	"33"	"5"	"3"	"15"	"28"	"12"	"33"	"38"	"609"	"0"	"609"	"0"
"89"	"71"	"66"	"219"	"5"	"157"	"11"	"4"	"7"	"23"	"2"	"3"	"24"	"521"	"0"	"521"	"0"
"90"	"72"	"161"	"181"	"10"	"58"	"9"	"8"	"8"	"70"	"10"	"5"	"39"	"559"	"0"	"559"	"0"
"91"	"73"	"149"	"28"	"3"	"189"	"2"	"4"	"12"	"73"	"9"	"3"	"12"	"484"	"0"	"484"	"0"
"92"	"74"	"68"	"81"	"4"	"25"	"2"	"1"	"1"	"17"	"3"	"0"	"9"	"211"	"0"	"211"	"0"
"93"	"75"	"459"	"90"	"9"	"82"	"4"	"3"	"4"	"50"	"11"	"8"	"36"	"756"	"0"	"756"	"0"
"94"	"76"	"248"	"139"	"2"	"206"	"5"	"5"	"7"	"122"	"5"	"8"	"34"	"781"	"0"	"781"	"0"
"95"	"77"	"163"	"184"	"10"	"101"	"8"	"11"	"16"	"103"	"10"	"6"	"22"	"634"	"0"	"634"	"0"
"96"	"78"	"176"	"197"	"11"	"35"	"3"	"9"	"4"	"62"	"10"	"12"	"33"	"552"	"0"	"552"	"0"
"97"	"79"	"41"	"623"	"10"	"49"	"7"	"6"	"11"	"46"	"4"	"11"	"20"	"828"	"0"	"828"	"0"
"98"	"80"	"110"	"253"	"8"	"32"	"5"	"14"	"12"	"44"	"15"	"4"	"7"	"504"	"0"	"504"	"0"
"99"	"81"	"39"	"12"	"4"	"272"	"4"	"26"	"9"	"137"	"7"	"1"	"15"	"526"	"0"	"526"	"0"
"100"	"82"	"105"	"191"	"2"	"45"	"1"	"7"	"12"	"51"	"7"	"7"	"11"	"439"	"0"	"439"	"0"
"101"	"83"	"104"	"171"	"9"	"33"	"10"	"16"	"15"	"60"	"10"	"11"	"21"	"460"	"0"	"460"	"0"
"102"	"84"	"35"	"114"	"4"	"117"	"4"	"4"	"11"	"95"	"16"	"14"	"23"	"437"	"0"	"437"	"0"
"103"	"85"	"26"	"206"	"5"	"6"	"1"	"5"	"4"	"49"	"6"	"6"	"8"	"322"	"0"	"322"	"0"
"104"	"86"	"107"	"79"	"1"	"11"	"0"	"1"	"0"	"45"	"3"	"3"	"11"	"261"	"0"	"261"	"0"
"105"	"87"	"47"	"190"	"4"	"4"	"1"	"2"	"1"	"17"	"2"	"3"	"8"	"279"	"0"	"279"	"0"
"106"	"88"	"66"	"128"	"16"	"111"	"4"	"10"	"10"	"67"	"12"	"12"	"31"	"467"	"0"	"467"	"0"
"107"	"89"	"18"	"240"	"7"	"24"	"3"	"7"	"7"	"43"	"20"	"24"	"25"	"418"	"0"	"418"	"0"
"108"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"109"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"110"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"111"	"90"	"46"	"224"	"8"	"32"	"2"	"5"	"14"	"20"	"10"	"12"	"36"	"409"	"0"	"409"	"0"
"112"	"91"	"67"	"76"	"1"	"47"	"4"	"3"	"3"	"15"	"1"	"0"	"5"	"222"	"0"	"222"	"0"
"113"	"92"	"26"	"207"	"2"	"10"	"1"	"1"	"5"	"16"	"5"	"5"	"15"	"293"	"0"	"293"	"0"
"114"	"93"	"136"	"111"	"3"	"74"	"0"	"7"	"10"	"116"	"23"	"7"	"31"	"518"	"0"	"518"	"0"
"115"	"94"	"42"	"43"	"2"	"19"	"1"	"2"	"12"	"70"	"5"	"7"	"15"	"218"	"0"	"218"	"0"
"116"	"95"	"80"	"102"	"5"	"204"	"8"	"2"	"14"	"139"	"19"	"12"	"20"	"605"	"0"	"605"	"0"
"117"	"96"	"66"	"277"	"4"	"40"	"5"	"2"	"4"	"22"	"3"	"5"	"12"	"440"	"0"	"440"	"0"
"118"	"97"	"194"	"97"	"3"	"121"	"7"	"5"	"22"	"81"	"16"	"7"	"27"	"580"	"0"	"580"	"0"
"119"	"98"	"112"	"35"	"0"	"41"	"6"	"5"	"12"	"240"	"15"	"4"	"19"	"489"	"0"	"489"	"0"
"120"	"99"	"50"	"4"	"3"	"9"	"5"	"3"	"6"	"90"	"6"	"3"	"6"	"185"	"0"	"185"	"0"
"121"	"100"	"73"	"50"	"5"	"130"	"12"	"7"	"7"	"146"	"15"	"6"	"13"	"464"	"0"	"464"	"0"
"122"	"101"	"57"	"56"	"4"	"201"	"7"	"10"	"25"	"80"	"14"	"10"	"33"	"497"	"0"	"497"	"0"
"123"	"102"	"32"	"30"	"3"	"21"	"2"	"0"	"1"	"62"	"3"	"7"	"41"	"202"	"0"	"202"	"0"
"124"	"103"	"39"	"24"	"1"	"10"	"1"	"1"	"2"	"9"	"3"	"4"	"49"	"143"	"0"	"143"	"0"
"125"	"104"	"129"	"37"	"4"	"10"	"1"	"5"	"5"	"76"	"5"	"16"	"40"	"328"	"0"	"328"	"0"
"126"	"105"	"136"	"121"	"7"	"77"	"2"	"5"	"20"	"78"	"20"	"16"	"59"	"541"	"0"	"541"	"0"
"127"	"106"	"55"	"55"	"5"	"179"	"8"	"7"	"15"	"183"	"12"	"4"	"25"	"548"	"0"	"548"	"0"
"128"	"107"	"42"	"234"	"5"	"139"	"10"	"8"	"19"	"97"	"14"	"22"	"43"	"633"	"0"	"633"	"0"
"129"	"108"	"98"	"294"	"24"	"70"	"3"	"3"	"9"	"11"	"10"	"11"	"20"	"553"	"0"	"553"	"0"
"130"	"109"	"69"	"141"	"12"	"85"	"6"	"1"	"3"	"30"	"0"	"8"	"14"	"369"	"0"	"369"	"0"
"131"	"110"	"96"	"192"	"12"	"102"	"6"	"8"	"15"	"118"	"20"	"11"	"14"	"594"	"0"	"594"	"0"
"132"	"111"	"91"	"284"	"3"	"55"	"2"	"7"	"10"	"61"	"14"	"13"	"62"	"602"	"0"	"602"	"0"
"133"	"112"	"70"	"162"	"6"	"11"	"1"	"10"	"11"	"72"	"6"	"9"	"40"	"398"	"0"	"398"	"0"
"134"	"113"	"38"	"218"	"4"	"58"	"4"	"2"	"2"	"15"	"2"	"6"	"24"	"373"	"0"	"373"	"0"
"135"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"136"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"137"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"138"	"114"	"20"	"180"	"6"	"8"	"0"	"2"	"4"	"82"	"2"	"10"	"11"	"325"	"0"	"325"	"0"
"139"	"115"	"74"	"161"	"5"	"110"	"5"	"6"	"6"	"73"	"5"	"0"	"5"	"450"	"0"	"450"	"0"
"140"	"116"	"41"	"150"	"3"	"288"	"4"	"10"	"21"	"31"	"6"	"4"	"15"	"573"	"0"	"573"	"0"
"141"	"117"	"21"	"162"	"6"	"52"	"2"	"2"	"11"	"25"	"2"	"1"	"7"	"291"	"0"	"291"	"0"
"142"	"118"	"10"	"57"	"3"	"80"	"1"	"2"	"5"	"25"	"4"	"2"	"5"	"194"	"0"	"194"	"0"
"143"	"119"	"64"	"40"	"0"	"223"	"5"	"2"	"4"	"122"	"8"	"7"	"20"	"495"	"0"	"495"	"0"
"144"	"120"	"110"	"87"	"6"	"135"	"8"	"5"	"15"	"184"	"14"	"8"	"18"	"590"	"0"	"590"	"0"
"145"	"121"	"153"	"150"	"5"	"146"	"5"	"5"	"15"	"103"	"5"	"10"	"47"	"644"	"0"	"644"	"0"
"146"	"122"	"92"	"139"	"7"	"52"	"4"	"6"	"10"	"114"	"15"	"10"	"25"	"474"	"0"	"474"	"0"
"147"	"123"	"53"	"240"	"5"	"111"	"2"	"1"	"3"	"43"	"5"	"13"	"42"	"518"	"0"	"518"	"0"
"148"	"124"	"72"	"16"	"0"	"3"	"0"	"0"	"0"	"52"	"0"	"1"	"1"	"145"	"0"	"145"	"0"
"149"	"125"	"59"	"45"	"3"	"20"	"0"	"2"	"1"	"55"	"0"	"3"	"12"	"200"	"0"	"200"	"0"
"150"	"126"	"40"	"135"	"8"	"89"	"5"	"1"	"15"	"41"	"16"	"8"	"30"	"388"	"0"	"388"	"0"
"151"	"127"	"19"	"72"	"4"	"74"	"4"	"4"	"7"	"52"	"4"	"4"	"4"	"248"	"0"	"248"	"0"
"152"	"128"	"68"	"189"	"7"	"138"	"6"	"6"	"13"	"46"	"20"	"6"	"41"	"540"	"0"	"540"	"0"
"153"	"129"	"78"	"45"	"2"	"397"	"9"	"3"	"14"	"95"	"13"	"3"	"32"	"691"	"0"	"691"	"0"
"154"	"130"	"20"	"286"	"3"	"44"	"3"	"9"	"9"	"143"	"12"	"11"	"26"	"566"	"0"	"566"	"0"
"155"	"131"	"80"	"314"	"7"	"69"	"5"	"6"	"9"	"65"	"10"	"17"	"34"	"616"	"0"	"616"	"0"
"156"	"132"	"125"	"242"	"4"	"15"	"1"	"3"	"3"	"24"	"1"	"3"	"3"	"424"	"0"	"424"	"0"
"157"	"132A"	"39"	"68"	"1"	"107"	"7"	"3"	"11"	"17"	"5"	"4"	"15"	"277"	"0"	"277"	"0"
"158"	"133"	"205"	"33"	"5"	"269"	"10"	"7"	"28"	"60"	"20"	"3"	"29"	"669"	"0"	"669"	"0"
"159"	"134"	"254"	"113"	"1"	"220"	"5"	"4"	"12"	"71"	"6"	"6"	"24"	"716"	"0"	"716"	"0"
"160"	"135"	"224"	"85"	"4"	"197"	"7"	"4"	"11"	"53"	"6"	"10"	"29"	"630"	"0"	"630"	"0"
"161"	"136"	"94"	"53"	"0"	"52"	"3"	"10"	"3"	"21"	"5"	"2"	"8"	"251"	"0"	"251"	"0"
"162"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"163"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"164"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"165"	"137"	"145"	"157"	"7"	"135"	"4"	"4"	"10"	"106"	"9"	"7"	"18"	"602"	"0"	"602"	"0"
"166"	"138"	"37"	"112"	"1"	"129"	"3"	"4"	"8"	"91"	"8"	"3"	"6"	"402"	"0"	"402"	"0"
"167"	"139"	"35"	"41"	"2"	"93"	"2"	"1"	"3"	"101"	"9"	"2"	"4"	"293"	"0"	"293"	"0"
"168"	"140"	"27"	"145"	"5"	"42"	"1"	"2"	"6"	"10"	"9"	"6"	"12"	"265"	"0"	"265"	"0"
"169"	"141"	"50"	"164"	"2"	"38"	"1"	"3"	"6"	"13"	"4"	"13"	"11"	"305"	"0"	"305"	"0"
"170"	"142"	"36"	"13"	"4"	"144"	"5"	"2"	"12"	"164"	"11"	"1"	"10"	"402"	"0"	"402"	"0"
"171"	"143"	"18"	"361"	"3"	"200"	"3"	"3"	"9"	"6"	"1"	"8"	"14"	"626"	"0"	"626"	"0"
"172"	"144"	"241"	"143"	"4"	"155"	"6"	"3"	"19"	"26"	"5"	"3"	"27"	"632"	"0"	"632"	"0"
"173"	"145"	"43"	"368"	"4"	"3"	"2"	"1"	"4"	"2"	"0"	"4"	"8"	"439"	"0"	"439"	"0"
"174"	"146"	"113"	"39"	"2"	"216"	"2"	"0"	"11"	"32"	"4"	"0"	"12"	"431"	"0"	"431"	"0"
"175"	"147"	"59"	"126"	"3"	"62"	"5"	"9"	"18"	"81"	"8"	"16"	"86"	"473"	"0"	"473"	"0"
"176"	"148"	"129"	"118"	"8"	"323"	"6"	"2"	"12"	"22"	"11"	"5"	"6"	"642"	"0"	"642"	"0"
"177"	"149"	"70"	"32"	"2"	"109"	"4"	"3"	"5"	"35"	"4"	"3"	"7"	"274"	"0"	"274"	"0"
"178"	"150"	"65"	"25"	"5"	"304"	"9"	"2"	"17"	"11"	"7"	"1"	"3"	"449"	"0"	"449"	"0"
"179"	"151"	"77"	"66"	"6"	"207"	"7"	"5"	"17"	"63"	"9"	"4"	"8"	"469"	"0"	"469"	"0"
"180"	"152"	"13"	"151"	"2"	"122"	"2"	"6"	"12"	"32"	"5"	"5"	"11"	"361"	"0"	"361"	"0"
"181"	"153"	"332"	"13"	"4"	"152"	"6"	"5"	"20"	"22"	"9"	"4"	"15"	"582"	"0"	"582"	"0"
"182"	"154"	"6"	"11"	"1"	"614"	"5"	"0"	"8"	"6"	"1"	"1"	"1"	"654"	"0"	"654"	"0"
"183"	"155"	"39"	"14"	"1"	"337"	"2"	"0"	"6"	"24"	"2"	"0"	"5"	"430"	"0"	"430"	"0"
"184"	"156"	"3"	"2"	"0"	"794"	"3"	"0"	"4"	"0"	"1"	"1"	"1"	"809"	"0"	"809"	"0"
"185"	"157"	"8"	"4"	"1"	"712"	"6"	"1"	"12"	"6"	"4"	"1"	"3"	"758"	"0"	"758"	"0"
"186"	"158"	"84"	"260"	"6"	"188"	"16"	"5"	"12"	"24"	"7"	"10"	"16"	"628"	"0"	"628"	"0"
"187"	"159"	"37"	"98"	"6"	"184"	"3"	"5"	"25"	"29"	"9"	"3"	"11"	"410"	"0"	"410"	"0"
