"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"15"	"14"	"73"	"12"	"13"	"168"	"11"	"12"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"2"	"298"	"0"	"298"	"0"
"16"	"15"	"290"	"9"	"5"	"284"	"17"	"54"	"8"	"4"	"0"	"4"	"4"	"2"	"7"	"14"	"702"	"0"	"702"	"0"
"17"	"16"	"67"	"5"	"10"	"261"	"7"	"6"	"0"	"1"	"0"	"5"	"3"	"3"	"6"	"5"	"379"	"0"	"379"	"0"
"18"	"17"	"39"	"5"	"0"	"285"	"6"	"13"	"0"	"1"	"0"	"2"	"6"	"1"	"2"	"4"	"364"	"0"	"364"	"0"
"19"	"18"	"326"	"9"	"6"	"129"	"7"	"3"	"4"	"2"	"0"	"1"	"1"	"4"	"9"	"15"	"516"	"0"	"516"	"0"
"20"	"19"	"376"	"20"	"3"	"121"	"4"	"10"	"0"	"2"	"0"	"3"	"0"	"1"	"5"	"2"	"547"	"0"	"547"	"0"
"21"	"20"	"194"	"20"	"7"	"368"	"13"	"53"	"4"	"4"	"3"	"7"	"8"	"3"	"7"	"16"	"707"	"0"	"707"	"0"
"22"	"21"	"211"	"22"	"6"	"284"	"12"	"11"	"6"	"1"	"4"	"5"	"2"	"5"	"3"	"12"	"584"	"0"	"584"	"0"
"23"	"22"	"229"	"8"	"0"	"55"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"298"	"0"	"298"	"0"
"24"	"23"	"322"	"6"	"3"	"154"	"2"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"2"	"14"	"511"	"0"	"511"	"0"
"25"	"24"	"578"	"8"	"0"	"35"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"3"	"13"	"644"	"0"	"644"	"0"
"26"	"25"	"338"	"10"	"17"	"180"	"6"	"5"	"0"	"2"	"0"	"3"	"1"	"3"	"6"	"13"	"584"	"0"	"584"	"0"
"27"	"26"	"188"	"26"	"8"	"444"	"4"	"4"	"2"	"3"	"1"	"1"	"2"	"3"	"1"	"11"	"698"	"0"	"698"	"0"
"28"	"27"	"269"	"16"	"2"	"261"	"4"	"6"	"2"	"2"	"3"	"11"	"4"	"2"	"5"	"33"	"620"	"0"	"620"	"0"
"29"	"28"	"264"	"17"	"6"	"279"	"5"	"2"	"0"	"2"	"2"	"7"	"1"	"3"	"0"	"3"	"591"	"0"	"591"	"0"
"30"	"29"	"444"	"21"	"16"	"278"	"9"	"8"	"5"	"2"	"2"	"4"	"1"	"3"	"3"	"7"	"803"	"0"	"803"	"0"
"31"	"30"	"30"	"7"	"1"	"269"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"3"	"3"	"319"	"0"	"319"	"0"
"32"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"33"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"34"	"31"	"189"	"11"	"9"	"263"	"8"	"22"	"5"	"1"	"2"	"2"	"4"	"5"	"6"	"21"	"548"	"0"	"548"	"0"
"35"	"32"	"256"	"15"	"5"	"225"	"5"	"22"	"3"	"2"	"0"	"1"	"6"	"2"	"2"	"11"	"555"	"0"	"555"	"0"
"36"	"33"	"299"	"22"	"4"	"189"	"5"	"4"	"1"	"2"	"1"	"6"	"4"	"0"	"1"	"23"	"561"	"0"	"561"	"0"
"37"	"34"	"38"	"2"	"1"	"348"	"7"	"5"	"1"	"2"	"0"	"5"	"2"	"1"	"4"	"7"	"423"	"0"	"423"	"0"
"38"	"35"	"139"	"22"	"5"	"288"	"3"	"5"	"4"	"1"	"0"	"3"	"4"	"3"	"6"	"10"	"493"	"0"	"493"	"0"
"39"	"36"	"106"	"9"	"7"	"244"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"7"	"10"	"392"	"0"	"392"	"0"
"40"	"37"	"284"	"13"	"10"	"180"	"0"	"3"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"19"	"522"	"0"	"522"	"0"
"41"	"38"	"419"	"24"	"2"	"225"	"3"	"0"	"1"	"4"	"2"	"1"	"2"	"0"	"3"	"8"	"694"	"0"	"694"	"0"
"42"	"39"	"257"	"15"	"3"	"355"	"12"	"10"	"1"	"2"	"4"	"4"	"2"	"6"	"23"	"15"	"709"	"0"	"709"	"0"
"43"	"40"	"216"	"17"	"1"	"111"	"11"	"27"	"1"	"1"	"1"	"1"	"5"	"0"	"2"	"8"	"402"	"0"	"402"	"0"
"44"	"41"	"128"	"14"	"0"	"219"	"5"	"10"	"1"	"0"	"1"	"2"	"1"	"1"	"3"	"6"	"391"	"0"	"391"	"0"
"45"	"42"	"304"	"11"	"4"	"251"	"6"	"12"	"4"	"0"	"2"	"2"	"2"	"1"	"5"	"5"	"609"	"0"	"609"	"0"
"46"	"43"	"211"	"10"	"3"	"179"	"9"	"8"	"0"	"2"	"3"	"5"	"4"	"3"	"1"	"10"	"448"	"0"	"448"	"0"
"47"	"44"	"85"	"9"	"9"	"164"	"2"	"6"	"2"	"3"	"2"	"7"	"3"	"2"	"0"	"10"	"304"	"0"	"304"	"0"
"48"	"45"	"101"	"7"	"3"	"321"	"9"	"3"	"3"	"1"	"2"	"2"	"4"	"1"	"4"	"8"	"469"	"0"	"469"	"0"
"49"	"46"	"259"	"10"	"6"	"295"	"2"	"9"	"1"	"0"	"2"	"2"	"3"	"2"	"2"	"14"	"607"	"0"	"607"	"0"
"50"	"47"	"48"	"18"	"7"	"229"	"10"	"68"	"5"	"0"	"1"	"2"	"5"	"3"	"1"	"6"	"403"	"0"	"403"	"0"
"51"	"48"	"198"	"11"	"3"	"345"	"6"	"5"	"1"	"3"	"0"	"5"	"13"	"3"	"6"	"27"	"626"	"0"	"626"	"0"
"52"	"49"	"55"	"22"	"4"	"230"	"7"	"45"	"7"	"3"	"1"	"6"	"1"	"1"	"0"	"4"	"386"	"0"	"386"	"0"
"53"	"50"	"354"	"15"	"1"	"78"	"2"	"30"	"3"	"0"	"1"	"2"	"4"	"1"	"10"	"6"	"507"	"0"	"507"	"0"
"54"	"51"	"203"	"14"	"2"	"125"	"5"	"113"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"3"	"472"	"0"	"472"	"0"
"55"	"52"	"151"	"8"	"9"	"233"	"7"	"2"	"0"	"0"	"1"	"3"	"4"	"2"	"3"	"6"	"429"	"0"	"429"	"0"
"56"	"53"	"156"	"10"	"1"	"214"	"5"	"6"	"1"	"3"	"1"	"2"	"4"	"3"	"7"	"10"	"423"	"0"	"423"	"0"
"57"	"54"	"135"	"10"	"2"	"170"	"1"	"3"	"1"	"0"	"3"	"2"	"5"	"0"	"1"	"10"	"343"	"0"	"343"	"0"
"58"	"55"	"126"	"8"	"0"	"235"	"10"	"27"	"3"	"1"	"3"	"3"	"3"	"0"	"4"	"14"	"437"	"0"	"437"	"0"
"59"	"56"	"155"	"13"	"5"	"371"	"21"	"208"	"8"	"2"	"4"	"7"	"6"	"4"	"5"	"16"	"825"	"0"	"825"	"0"
"60"	"57"	"274"	"14"	"11"	"169"	"12"	"28"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"6"	"518"	"0"	"518"	"0"
"61"	"58"	"222"	"8"	"1"	"46"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"286"	"0"	"286"	"0"
"62"	"59"	"180"	"3"	"3"	"38"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"232"	"0"	"232"	"0"
"63"	"60"	"26"	"1"	"0"	"186"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"218"	"0"	"218"	"0"
"64"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"65"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"66"	"61"	"140"	"11"	"4"	"186"	"1"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"10"	"362"	"0"	"362"	"0"
"67"	"62"	"137"	"9"	"7"	"261"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"7"	"427"	"0"	"427"	"0"
"68"	"63"	"206"	"16"	"3"	"527"	"10"	"19"	"2"	"2"	"1"	"0"	"9"	"1"	"3"	"5"	"804"	"0"	"804"	"0"
"69"	"64"	"229"	"9"	"0"	"506"	"6"	"1"	"0"	"1"	"4"	"4"	"4"	"3"	"1"	"7"	"775"	"0"	"775"	"0"
"70"	"65"	"68"	"13"	"5"	"561"	"6"	"6"	"1"	"1"	"0"	"4"	"8"	"0"	"0"	"10"	"683"	"0"	"683"	"0"
"71"	"66"	"54"	"10"	"3"	"516"	"5"	"9"	"1"	"2"	"1"	"4"	"7"	"2"	"4"	"8"	"626"	"0"	"626"	"0"
"72"	"67"	"169"	"4"	"1"	"164"	"4"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"6"	"3"	"358"	"0"	"358"	"0"
"73"	"68"	"200"	"8"	"4"	"125"	"1"	"3"	"1"	"0"	"1"	"2"	"3"	"2"	"5"	"20"	"375"	"0"	"375"	"0"
"74"	"69"	"143"	"7"	"1"	"232"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"388"	"0"	"388"	"0"
"75"	"70"	"58"	"4"	"1"	"298"	"4"	"2"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"8"	"381"	"0"	"381"	"0"
"76"	"71"	"247"	"11"	"1"	"182"	"0"	"0"	"2"	"0"	"1"	"4"	"0"	"1"	"0"	"4"	"453"	"0"	"453"	"0"
"77"	"72"	"160"	"29"	"0"	"301"	"2"	"1"	"1"	"0"	"0"	"4"	"0"	"1"	"1"	"2"	"502"	"0"	"502"	"0"
"78"	"73"	"189"	"12"	"1"	"260"	"8"	"7"	"2"	"2"	"2"	"10"	"1"	"0"	"1"	"14"	"509"	"0"	"509"	"0"
"79"	"74"	"182"	"21"	"5"	"286"	"4"	"8"	"0"	"2"	"2"	"5"	"2"	"0"	"1"	"4"	"522"	"0"	"522"	"0"
"80"	"75"	"136"	"8"	"1"	"189"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"346"	"0"	"346"	"0"
"81"	"76"	"178"	"17"	"2"	"293"	"7"	"7"	"0"	"0"	"1"	"3"	"2"	"0"	"1"	"7"	"518"	"0"	"518"	"0"
"82"	"77"	"163"	"14"	"1"	"175"	"3"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"8"	"371"	"0"	"371"	"0"
"83"	"78"	"224"	"5"	"3"	"148"	"5"	"0"	"2"	"0"	"0"	"2"	"4"	"2"	"6"	"6"	"407"	"0"	"407"	"0"
"84"	"79"	"148"	"4"	"1"	"91"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"4"	"253"	"0"	"253"	"0"
"85"	"80"	"391"	"13"	"1"	"237"	"6"	"5"	"1"	"1"	"4"	"8"	"2"	"2"	"2"	"5"	"678"	"0"	"678"	"0"
"86"	"81"	"337"	"11"	"0"	"153"	"2"	"5"	"1"	"0"	"1"	"6"	"4"	"0"	"4"	"12"	"536"	"0"	"536"	"0"
"87"	"82"	"335"	"12"	"1"	"240"	"5"	"6"	"2"	"4"	"1"	"8"	"2"	"2"	"2"	"13"	"633"	"0"	"633"	"0"
"88"	"83"	"323"	"23"	"0"	"204"	"3"	"2"	"2"	"0"	"1"	"6"	"2"	"1"	"1"	"3"	"571"	"0"	"571"	"0"
"89"	"84"	"211"	"9"	"2"	"213"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"443"	"0"	"443"	"0"
"90"	"85"	"117"	"18"	"2"	"313"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"462"	"0"	"462"	"0"
"91"	"86"	"73"	"4"	"6"	"501"	"6"	"8"	"0"	"2"	"1"	"3"	"0"	"0"	"8"	"6"	"618"	"0"	"618"	"0"
"92"	"87"	"73"	"8"	"2"	"395"	"4"	"3"	"0"	"2"	"1"	"4"	"1"	"0"	"1"	"6"	"500"	"0"	"500"	"0"
"93"	"88"	"77"	"6"	"3"	"295"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"394"	"0"	"394"	"0"
"94"	"89"	"155"	"7"	"0"	"101"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"268"	"0"	"268"	"0"
"95"	"90"	"45"	"7"	"2"	"243"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"302"	"0"	"302"	"0"
"96"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"97"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"98"	"91"	"181"	"31"	"1"	"215"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"442"	"0"	"442"	"0"
"99"	"92"	"153"	"17"	"2"	"97"	"0"	"6"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"279"	"0"	"279"	"0"
"100"	"93"	"232"	"27"	"6"	"270"	"7"	"20"	"0"	"1"	"2"	"1"	"2"	"3"	"2"	"5"	"578"	"0"	"578"	"0"
"101"	"94"	"105"	"26"	"14"	"471"	"6"	"7"	"2"	"3"	"1"	"1"	"2"	"2"	"4"	"2"	"646"	"0"	"646"	"0"
"102"	"95"	"115"	"10"	"8"	"328"	"9"	"60"	"3"	"2"	"1"	"5"	"7"	"1"	"9"	"13"	"571"	"0"	"571"	"0"
"103"	"96"	"73"	"11"	"1"	"261"	"1"	"23"	"2"	"1"	"0"	"2"	"2"	"0"	"1"	"3"	"381"	"0"	"381"	"0"
"104"	"97"	"65"	"10"	"4"	"322"	"0"	"4"	"1"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"413"	"0"	"413"	"0"
"105"	"98"	"130"	"62"	"4"	"578"	"8"	"11"	"3"	"1"	"1"	"8"	"7"	"4"	"9"	"19"	"845"	"0"	"845"	"0"
"106"	"99"	"129"	"13"	"6"	"254"	"4"	"7"	"0"	"1"	"2"	"5"	"0"	"2"	"4"	"16"	"443"	"0"	"443"	"0"
"107"	"100"	"209"	"20"	"0"	"229"	"5"	"1"	"1"	"1"	"3"	"3"	"1"	"3"	"2"	"6"	"484"	"0"	"484"	"0"
"108"	"101"	"83"	"8"	"0"	"150"	"6"	"8"	"1"	"1"	"1"	"6"	"4"	"3"	"5"	"9"	"285"	"0"	"285"	"0"
"109"	"102"	"400"	"14"	"1"	"390"	"5"	"4"	"7"	"2"	"3"	"8"	"10"	"1"	"5"	"15"	"865"	"0"	"865"	"0"
"110"	"103"	"216"	"21"	"9"	"312"	"5"	"4"	"1"	"1"	"2"	"11"	"3"	"2"	"8"	"14"	"609"	"0"	"609"	"0"
"111"	"104"	"196"	"5"	"3"	"217"	"0"	"4"	"2"	"0"	"2"	"9"	"4"	"1"	"7"	"6"	"456"	"0"	"456"	"0"
"112"	"105"	"241"	"16"	"1"	"134"	"1"	"4"	"1"	"0"	"3"	"3"	"2"	"0"	"2"	"8"	"416"	"0"	"416"	"0"
"113"	"106"	"263"	"6"	"0"	"129"	"0"	"5"	"0"	"1"	"0"	"3"	"0"	"0"	"3"	"2"	"412"	"0"	"412"	"0"
"114"	"107"	"299"	"20"	"4"	"345"	"7"	"9"	"5"	"4"	"3"	"3"	"4"	"7"	"5"	"21"	"736"	"0"	"736"	"0"
"115"	"108"	"14"	"8"	"0"	"141"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"166"	"0"	"166"	"0"
"116"	"109"	"209"	"17"	"5"	"532"	"10"	"7"	"7"	"5"	"2"	"5"	"6"	"6"	"7"	"12"	"830"	"0"	"830"	"0"
"117"	"110"	"76"	"22"	"2"	"508"	"12"	"11"	"2"	"2"	"0"	"6"	"2"	"1"	"2"	"6"	"652"	"0"	"652"	"0"
"118"	"111"	"251"	"26"	"13"	"350"	"8"	"16"	"6"	"4"	"0"	"3"	"3"	"4"	"9"	"24"	"717"	"0"	"717"	"0"
"119"	"112"	"104"	"24"	"2"	"400"	"7"	"3"	"0"	"1"	"2"	"0"	"2"	"1"	"4"	"3"	"553"	"0"	"553"	"0"
"120"	"113"	"72"	"30"	"1"	"359"	"10"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"3"	"480"	"0"	"480"	"0"
"121"	"114"	"368"	"23"	"12"	"297"	"10"	"6"	"4"	"2"	"1"	"2"	"4"	"2"	"2"	"23"	"756"	"0"	"756"	"0"
"122"	"115"	"227"	"29"	"12"	"242"	"11"	"5"	"4"	"1"	"2"	"8"	"2"	"5"	"5"	"22"	"575"	"0"	"575"	"0"
"123"	"116"	"50"	"10"	"1"	"241"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"311"	"0"	"311"	"0"
"124"	"117"	"261"	"6"	"5"	"129"	"2"	"5"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"4"	"417"	"0"	"417"	"0"
"125"	"118"	"127"	"11"	"1"	"140"	"2"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"9"	"295"	"0"	"295"	"0"
"126"	"119"	"46"	"12"	"8"	"592"	"11"	"6"	"2"	"2"	"5"	"5"	"9"	"2"	"4"	"12"	"716"	"0"	"716"	"0"
"127"	"120"	"40"	"5"	"5"	"377"	"9"	"9"	"3"	"1"	"2"	"3"	"4"	"0"	"3"	"2"	"463"	"0"	"463"	"0"
"128"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"129"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"130"	"121"	"117"	"11"	"1"	"171"	"4"	"3"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"5"	"318"	"0"	"318"	"0"
"131"	"122"	"368"	"16"	"7"	"161"	"8"	"11"	"2"	"2"	"1"	"5"	"2"	"2"	"4"	"15"	"604"	"0"	"604"	"0"
"132"	"123"	"100"	"18"	"6"	"279"	"6"	"36"	"2"	"3"	"4"	"4"	"4"	"0"	"6"	"6"	"474"	"0"	"474"	"0"
"133"	"124"	"116"	"15"	"6"	"259"	"10"	"62"	"2"	"3"	"3"	"4"	"1"	"0"	"4"	"7"	"492"	"0"	"492"	"0"
"134"	"125"	"84"	"2"	"1"	"117"	"6"	"21"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"4"	"242"	"0"	"242"	"0"
"135"	"126"	"55"	"9"	"0"	"372"	"7"	"8"	"1"	"2"	"1"	"3"	"3"	"0"	"2"	"9"	"472"	"0"	"472"	"0"
"136"	"127"	"49"	"8"	"1"	"184"	"3"	"4"	"1"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"256"	"0"	"256"	"0"
"137"	"128"	"61"	"11"	"0"	"276"	"6"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"363"	"0"	"363"	"0"
"138"	"129"	"58"	"6"	"3"	"552"	"10"	"11"	"3"	"1"	"1"	"1"	"8"	"3"	"1"	"9"	"667"	"0"	"667"	"0"
"139"	"130"	"146"	"7"	"1"	"160"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"325"	"0"	"325"	"0"
"140"	"131"	"105"	"9"	"2"	"358"	"6"	"9"	"1"	"2"	"0"	"2"	"1"	"3"	"2"	"14"	"514"	"0"	"514"	"0"
"141"	"132"	"50"	"11"	"0"	"387"	"4"	"8"	"1"	"1"	"3"	"0"	"4"	"1"	"1"	"4"	"475"	"0"	"475"	"0"
"142"	"133"	"384"	"5"	"1"	"116"	"2"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"522"	"0"	"522"	"0"
"143"	"134"	"392"	"15"	"1"	"156"	"4"	"8"	"8"	"5"	"4"	"2"	"5"	"2"	"5"	"12"	"619"	"0"	"619"	"0"
"144"	"135"	"78"	"9"	"3"	"453"	"10"	"6"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"5"	"570"	"0"	"570"	"0"
"145"	"136"	"158"	"9"	"2"	"382"	"6"	"9"	"1"	"5"	"3"	"3"	"1"	"1"	"2"	"5"	"587"	"0"	"587"	"0"
"146"	"137"	"48"	"11"	"5"	"542"	"9"	"12"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"3"	"638"	"0"	"638"	"0"
"147"	"138"	"129"	"5"	"29"	"340"	"3"	"5"	"0"	"1"	"1"	"2"	"5"	"5"	"6"	"9"	"540"	"0"	"540"	"0"
"148"	"139"	"185"	"6"	"4"	"270"	"6"	"4"	"1"	"0"	"1"	"0"	"4"	"1"	"0"	"8"	"490"	"0"	"490"	"0"
"149"	"140"	"95"	"29"	"4"	"413"	"13"	"5"	"1"	"2"	"1"	"3"	"3"	"7"	"9"	"15"	"600"	"0"	"600"	"0"
"150"	"141"	"73"	"15"	"46"	"272"	"5"	"3"	"2"	"3"	"2"	"1"	"1"	"0"	"0"	"6"	"429"	"0"	"429"	"0"
"151"	"142"	"137"	"11"	"2"	"503"	"6"	"8"	"5"	"1"	"3"	"4"	"9"	"0"	"5"	"13"	"707"	"0"	"707"	"0"
"152"	"143"	"118"	"6"	"4"	"565"	"5"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"1"	"6"	"714"	"0"	"714"	"0"
"153"	"144"	"475"	"14"	"2"	"190"	"2"	"5"	"3"	"0"	"1"	"2"	"0"	"0"	"1"	"11"	"706"	"0"	"706"	"0"
"154"	"145"	"145"	"15"	"5"	"188"	"5"	"2"	"3"	"0"	"0"	"3"	"5"	"2"	"3"	"18"	"394"	"0"	"394"	"0"
"155"	"146"	"53"	"5"	"2"	"195"	"4"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"269"	"0"	"269"	"0"
"156"	"147"	"356"	"18"	"3"	"102"	"5"	"4"	"5"	"1"	"0"	"3"	"3"	"2"	"4"	"19"	"525"	"0"	"525"	"0"
"157"	"148"	"121"	"6"	"1"	"206"	"3"	"7"	"3"	"2"	"1"	"1"	"3"	"0"	"2"	"13"	"369"	"0"	"369"	"0"
"158"	"149"	"120"	"17"	"4"	"318"	"4"	"2"	"2"	"1"	"2"	"1"	"2"	"0"	"2"	"6"	"481"	"0"	"481"	"0"
"159"	"150"	"156"	"28"	"4"	"353"	"9"	"5"	"2"	"0"	"2"	"2"	"4"	"2"	"2"	"8"	"577"	"0"	"577"	"0"
"160"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
