"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…80 - Benipur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226587"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"23"	"13"	"13"	"47"	"273"	"4"	"4"	""	"1"	"3"	"13"	"3"	"2"	"8"	"3"	""	"361"	"-"	"361"	""	""
"24"	"14"	"14"	"20"	"115"	"6"	"185"	""	"16"	"6"	"15"	"11"	"47"	"17"	"42"	""	"480"	"-"	"480"	""	""
"25"	"15"	"15"	"55"	"125"	"4"	"139"	""	"4"	"2"	"29"	"6"	"13"	"3"	"3"	""	"383"	"-"	"383"	""	""
"26"	"16"	"16"	"56"	"85"	"9"	"241"	""	"22"	"8"	"19"	"15"	"81"	"14"	"37"	""	"587"	"-"	"587"	""	""
"27"	"17"	"17"	"25"	"119"	"6"	"220"	""	"17"	"4"	"7"	"11"	"45"	"16"	"48"	""	"518"	"-"	"518"	""	""
"28"	"18"	"18"	"41"	"156"	"11"	"248"	""	"16"	"10"	"2"	"3"	"34"	"7"	"23"	""	"551"	"-"	"551"	""	""
"29"	"19"	"19"	"92"	"136"	"2"	"45"	""	"3"	"3"	"13"	"4"	"1"	"1"	"51"	""	"351"	"-"	"351"	""	""
"30"	"20"	"20"	"25"	"141"	"12"	"304"	""	"20"	"8"	"6"	"12"	"45"	"5"	"28"	""	"606"	"-"	"606"	""	""
"31"	"21"	"21"	"51"	"160"	"7"	"114"	""	"10"	"6"	"4"	"36"	"67"	"9"	"81"	""	"545"	"-"	"545"	""	""
"32"	"22"	"22"	"38"	"106"	"9"	"163"	""	"6"	"3"	"22"	"12"	"8"	"13"	"7"	""	"387"	"-"	"387"	""	""
"33"	"23"	"23"	"45"	"47"	"5"	"59"	""	"2"	"1"	"10"	"1"	"20"	"5"	"7"	""	"202"	"-"	"202"	""	""
"34"	"24"	"24"	"15"	"38"	"1"	"249"	""	"18"	"8"	"7"	"12"	"31"	"5"	"26"	""	"410"	"-"	"410"	""	""
"35"	"25"	"24A"	"33"	"72"	"10"	"172"	""	"12"	"2"	"2"	"12"	"18"	"8"	"16"	""	"357"	"-"	"357"	""	""
"36"	"26"	"25"	"25"	"46"	"6"	"280"	""	"31"	"8"	"5"	"51"	"72"	"9"	"49"	""	"582"	"-"	"582"	""	""
"37"	"27"	"26"	"34"	"142"	"11"	"164"	""	"112"	"17"	"42"	"11"	"27"	"18"	"53"	""	"631"	"-"	"631"	""	""
"38"	"28"	"27"	"34"	"271"	"10"	"79"	""	"61"	"5"	"8"	"16"	"17"	"5"	"22"	""	"528"	"-"	"528"	""	""
"39"	"29"	"28"	"29"	"14"	"9"	"237"	""	"29"	"7"	"8"	"6"	"1"	"4"	"6"	""	"350"	"-"	"350"	""	""
"40"	"30"	"29"	"14"	"24"	"7"	"141"	""	"23"	"1"	"3"	"12"	"8"	"6"	"9"	""	"248"	"-"	"248"	""	""
"41"	"31"	"30"	"8"	"1"	"8"	"9"	""	"9"	"21"	"12"	"42"	"418"	"10"	"6"	""	"544"	"-"	"544"	""	""
"42"	"32"	"31"	"1"	"0"	"3"	"16"	""	"6"	"6"	"6"	"57"	"202"	"10"	"5"	""	"312"	"-"	"312"	""	""
"43"	"33"	"32"	"3"	"27"	"3"	"5"	""	"6"	"9"	"6"	"11"	"91"	"6"	"9"	""	"176"	"-"	"176"	""	""
"44"	"34"	"33"	"279"	"71"	"9"	"76"	""	"5"	"3"	"7"	"5"	"7"	"6"	"24"	""	"492"	"-"	"492"	""	""
"45"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"46"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"48"	"35"	"34"	"476"	"63"	"5"	"30"	""	"2"	"3"	"16"	"13"	"18"	"2"	"5"	""	"633"	"-"	"633"	""	""
"49"	"36"	"35"	"250"	"149"	"3"	"13"	""	"1"	"1"	"4"	"0"	"4"	"12"	"20"	""	"457"	"-"	"457"	""	""
"50"	"37"	"36"	"134"	"102"	"10"	"94"	""	"10"	"6"	"16"	"41"	"45"	"24"	"61"	""	"543"	"-"	"543"	""	""
"51"	"38"	"37"	"217"	"115"	"12"	"82"	""	"5"	"4"	"7"	"5"	"50"	"5"	"13"	""	"515"	"-"	"515"	""	""
"52"	"39"	"38"	"189"	"80"	"5"	"64"	""	"10"	"1"	"3"	"6"	"1"	"0"	"13"	""	"372"	"-"	"372"	""	""
"53"	"40"	"39"	"69"	"143"	"10"	"103"	""	"20"	"6"	"10"	"5"	"14"	"3"	"5"	""	"388"	"-"	"388"	""	""
"54"	"41"	"40"	"63"	"167"	"5"	"10"	""	"5"	"1"	"13"	"2"	"2"	"6"	"12"	""	"286"	"-"	"286"	""	""
"55"	"42"	"41"	"42"	"235"	"2"	"6"	""	"2"	"2"	"8"	"1"	"8"	"5"	"7"	""	"318"	""	"318"	""	""
"56"	"43"	"42"	"10"	"10"	"0"	"249"	""	"10"	"1"	"3"	"10"	"59"	"4"	"5"	""	"361"	"-"	"361"	""	""
"57"	"44"	"43"	"8"	"155"	"5"	"113"	""	"20"	"0"	"1"	"1"	"28"	"8"	"5"	""	"344"	"-"	"344"	""	""
"58"	"45"	"44"	"21"	"30"	"7"	"348"	""	"14"	"3"	"4"	"8"	"13"	"3"	"8"	""	"459"	"-"	"459"	""	""
"59"	"46"	"45"	"43"	"58"	"6"	"255"	""	"15"	"8"	"9"	"13"	"96"	"8"	"14"	""	"525"	"-"	"525"	""	""
"60"	"47"	"46"	"6"	"290"	"10"	"67"	""	"11"	"2"	"2"	"4"	"15"	"6"	"38"	""	"451"	"-"	"451"	""	""
"61"	"48"	"47"	"19"	"93"	"8"	"182"	""	"28"	"5"	"20"	"12"	"36"	"5"	"16"	""	"424"	"-"	"424"	""	""
"62"	"49"	"48"	"49"	"195"	"0"	"21"	""	"0"	"3"	"5"	"0"	"3"	"2"	"3"	""	"281"	"-"	"281"	""	""
"63"	"50"	"49"	"46"	"114"	"11"	"90"	""	"4"	"0"	"3"	"4"	"14"	"5"	"8"	""	"299"	"-"	"299"	""	""
"64"	"51"	"50"	"84"	"143"	"5"	"27"	""	"0"	"0"	"3"	"2"	"7"	"4"	"5"	""	"280"	"-"	"280"	""	""
"65"	"52"	"51"	"31"	"132"	"9"	"84"	""	"16"	"6"	"1"	"6"	"80"	"12"	"10"	""	"387"	"-"	"387"	""	""
"66"	"53"	"52"	"37"	"159"	"2"	"47"	""	"4"	"5"	"8"	"5"	"20"	"3"	"4"	""	"294"	"-"	"294"	""	""
"67"	"54"	"53"	"7"	"115"	"7"	"42"	""	"3"	"5"	"4"	"3"	"9"	"7"	"2"	""	"204"	"-"	"204"	""	""
"68"	"55"	"54"	"46"	"296"	"11"	"47"	""	"4"	"6"	"9"	"8"	"20"	"13"	"18"	""	"478"	"-"	"478"	""	""
"69"	"56"	"55"	"50"	"124"	"5"	"129"	""	"3"	"3"	"6"	"6"	"22"	"4"	"6"	""	"358"	"-"	"358"	""	""
"70"	"57"	"56"	"103"	"249"	"5"	"71"	""	"8"	"4"	"6"	"1"	"41"	"3"	"6"	""	"497"	"-"	"497"	""	""
"71"	"58"	"57"	"68"	"122"	"2"	"19"	""	"1"	"0"	"8"	"0"	"6"	"4"	"6"	""	"236"	"-"	"236"	""	""
"72"	"59"	"58"	"25"	"131"	"2"	"123"	""	"5"	"2"	"7"	"0"	"5"	"5"	"1"	""	"306"	"-"	"306"	""	""
"73"	"60"	"59"	"62"	"344"	"12"	"58"	""	"2"	"2"	"11"	"1"	"6"	"13"	"10"	""	"521"	"-"	"521"	""	""
"74"	"61"	"60"	"14"	"47"	"7"	"242"	""	"10"	"3"	"11"	"7"	"106"	"3"	"7"	""	"457"	"-"	"457"	""	""
"75"	"62"	"61"	"35"	"167"	"6"	"56"	""	"5"	"10"	"19"	"9"	"81"	"7"	"12"	""	"407"	"-"	"407"	""	""
"76"	"63"	"62"	"71"	"129"	"1"	"22"	""	"2"	"2"	"10"	"4"	"14"	"5"	"10"	""	"270"	"-"	"270"	""	""
"77"	"64"	"63"	"9"	"133"	"5"	"105"	""	"8"	"2"	"3"	"5"	"8"	"3"	"16"	""	"297"	"-"	"297"	""	""
"78"	"65"	"64"	"21"	"179"	"14"	"260"	""	"9"	"3"	"12"	"14"	"24"	"10"	"20"	""	"566"	"-"	"566"	""	""
"79"	"66"	"65"	"18"	"193"	"16"	"50"	""	"7"	"9"	"5"	"15"	"138"	"18"	"36"	""	"505"	"-"	"505"	""	""
"80"	"67"	"66"	"33"	"201"	"5"	"155"	""	"11"	"4"	"15"	"8"	"16"	"7"	"6"	""	"461"	"-"	"461"	""	""
"81"	"68"	"67"	"122"	"177"	"5"	"96"	""	"6"	"3"	"5"	"12"	"13"	"9"	"13"	""	"461"	"-"	"461"	""	""
"82"	"69"	"68"	"132"	"233"	"8"	"47"	""	"4"	"5"	"27"	"4"	"31"	"8"	"14"	""	"513"	"-"	"513"	""	""
"83"	"70"	"69"	"84"	"182"	"2"	"15"	""	"1"	"2"	"1"	"0"	"13"	"7"	"6"	""	"313"	"-"	"313"	""	""
"84"	"71"	"70"	"55"	"110"	"11"	"248"	""	"14"	"8"	"26"	"8"	"37"	"2"	"5"	""	"524"	"-"	"524"	""	""
"85"	"72"	"71"	"53"	"68"	"4"	"239"	""	"7"	"3"	"5"	"7"	"25"	"4"	"6"	""	"421"	"-"	"421"	""	""
"86"	"73"	"72"	"89"	"158"	"8"	"35"	""	"3"	"2"	"5"	"5"	"3"	"6"	"20"	""	"334"	"-"	"334"	""	""
"87"	"74"	"73"	"94"	"149"	"5"	"17"	""	"3"	"2"	"5"	"0"	"2"	"7"	"5"	""	"289"	"-"	"289"	""	""
"88"	"75"	"74"	"49"	"38"	"6"	"367"	""	"16"	"4"	"8"	"10"	"17"	"5"	"16"	""	"536"	"-"	"536"	""	""
"89"	"76"	"75"	"43"	"11"	"3"	"281"	""	"4"	"4"	"14"	"12"	"143"	"4"	"17"	""	"536"	"-"	"536"	""	""
"90"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"91"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"93"	"77"	"76"	"12"	"68"	"7"	"282"	""	"4"	"5"	"11"	"7"	"72"	"2"	"4"	""	"474"	"-"	"474"	""	""
"94"	"78"	"77"	"95"	"64"	"6"	"117"	""	"5"	"1"	"7"	"6"	"33"	"10"	"20"	""	"364"	"-"	"364"	""	""
"95"	"79"	"78"	"133"	"213"	"5"	"65"	""	"5"	"3"	"13"	"3"	"14"	"1"	"9"	""	"464"	"-"	"464"	""	""
"96"	"80"	"79"	"90"	"264"	"6"	"56"	""	"1"	"4"	"14"	"1"	"4"	"2"	"1"	""	"443"	"-"	"443"	""	""
"97"	"81"	"80"	"82"	"198"	"6"	"21"	""	"4"	"5"	"7"	"9"	"41"	"13"	"17"	""	"403"	"-"	"403"	""	""
"98"	"82"	"81"	"34"	"324"	"15"	"15"	""	"1"	"13"	"17"	"8"	"45"	"10"	"9"	""	"491"	"-"	"491"	""	""
"99"	"83"	"82"	"14"	"191"	"6"	"19"	""	"4"	"2"	"26"	"13"	"110"	"11"	"10"	""	"406"	"-"	"406"	""	""
"100"	"84"	"83"	"24"	"167"	"13"	"84"	""	"10"	"8"	"8"	"39"	"151"	"8"	"3"	""	"515"	"-"	"515"	""	""
"101"	"85"	"84"	"20"	"296"	"13"	"72"	""	"10"	"9"	"19"	"9"	"103"	"11"	"13"	""	"575"	"-"	"575"	""	""
"102"	"86"	"85"	"20"	"207"	"6"	"31"	""	"1"	"2"	"5"	"0"	"22"	"3"	"4"	""	"301"	"-"	"301"	""	""
"103"	"87"	"86"	"9"	"66"	"5"	"69"	""	"11"	"4"	"24"	"32"	"269"	"9"	"16"	""	"514"	"-"	"514"	""	""
"104"	"88"	"87"	"10"	"90"	"7"	"47"	""	"5"	"7"	"91"	"18"	"186"	"10"	"11"	""	"482"	"-"	"482"	""	""
"105"	"89"	"88"	"25"	"122"	"5"	"112"	""	"13"	"8"	"55"	"9"	"206"	"9"	"7"	""	"571"	"-"	"571"	""	""
"106"	"90"	"89"	"15"	"162"	"4"	"0"	""	"4"	"3"	"292"	"12"	"3"	"9"	"5"	""	"509"	"-"	"509"	""	""
"107"	"91"	"90"	"7"	"113"	"3"	"12"	""	"2"	"8"	"186"	"10"	"28"	"7"	"19"	""	"395"	"-"	"395"	""	""
"108"	"92"	"91"	"60"	"137"	"25"	"159"	""	"10"	"7"	"7"	"5"	"19"	"3"	"7"	""	"439"	"-"	"439"	""	""
"109"	"93"	"92"	"134"	"127"	"5"	"34"	""	"4"	"2"	"7"	"6"	"3"	"7"	"22"	""	"351"	"-"	"351"	""	""
"110"	"94"	"93"	"99"	"104"	"2"	"5"	""	"1"	"2"	"7"	"4"	"3"	"5"	"9"	""	"241"	"-"	"241"	""	""
"111"	"95"	"94"	"146"	"66"	"4"	"133"	""	"10"	"2"	"30"	"5"	"8"	"8"	"14"	""	"426"	"-"	"426"	""	""
"112"	"96"	"95"	"35"	"130"	"13"	"172"	""	"20"	"5"	"22"	"20"	"88"	"20"	"48"	""	"573"	"-"	"573"	""	""
"113"	"97"	"96"	"32"	"253"	"17"	"74"	""	"8"	"7"	"30"	"9"	"27"	"5"	"12"	""	"474"	"-"	"474"	""	""
"114"	"98"	"97"	"25"	"284"	"9"	"15"	""	"3"	"5"	"23"	"4"	"20"	"8"	"10"	""	"406"	"-"	"406"	""	""
"115"	"99"	"98"	"81"	"308"	"17"	"92"	""	"14"	"3"	"17"	"7"	"23"	"18"	"31"	""	"611"	"-"	"611"	""	""
"116"	"100"	"99"	"12"	"29"	"7"	"449"	""	"14"	"4"	"4"	"9"	"6"	"7"	"16"	""	"557"	"-"	"557"	""	""
"117"	"101"	"100"	"8"	"42"	"6"	"580"	""	"24"	"3"	"5"	"9"	"10"	"3"	"10"	""	"700"	"-"	"700"	""	""
"118"	"102"	"101"	"6"	"265"	"11"	"153"	""	"8"	"4"	"23"	"7"	"41"	"14"	"22"	""	"554"	"-"	"554"	""	""
"119"	"103"	"102"	"13"	"16"	"8"	"221"	""	"19"	"6"	"7"	"14"	"81"	"18"	"22"	""	"425"	"-"	"425"	""	""
"120"	"104"	"103"	"48"	"54"	"14"	"108"	""	"18"	"11"	"38"	"21"	"139"	"13"	"5"	""	"469"	"-"	"469"	""	""
"121"	"105"	"104"	"9"	"17"	"2"	"225"	""	"13"	"2"	"22"	"27"	"74"	"6"	"45"	""	"442"	"-"	"442"	""	""
"122"	"106"	"105"	"28"	"159"	"21"	"295"	""	"20"	"13"	"17"	"17"	"50"	"8"	"14"	""	"642"	"-"	"642"	""	""
"123"	"107"	"106"	"78"	"266"	"11"	"66"	""	"4"	"2"	"46"	"4"	"5"	"5"	"11"	""	"498"	"-"	"498"	""	""
"124"	"108"	"107"	"11"	"212"	"10"	"62"	""	"1"	"9"	"42"	"15"	"130"	"12"	"15"	""	"519"	"-"	"519"	""	""
"125"	"109"	"108"	"47"	"254"	"22"	"287"	""	"14"	"8"	"49"	"9"	"29"	"3"	"10"	""	"732"	"-"	"732"	""	""
"126"	"110"	"109"	"5"	"39"	"5"	"314"	""	"13"	"4"	"5"	"3"	"4"	"3"	"6"	""	"401"	"-"	"401"	""	""
"127"	"111"	"110"	"31"	"137"	"12"	"178"	""	"12"	"9"	"8"	"6"	"21"	"8"	"7"	""	"429"	"-"	"429"	""	""
"128"	"112"	"111"	"33"	"166"	"27"	"133"	""	"16"	"17"	"16"	"20"	"28"	"16"	"14"	""	"486"	"-"	"486"	""	""
"129"	"113"	"112"	"12"	"27"	"10"	"433"	""	"10"	"3"	"9"	"12"	"62"	"5"	"10"	""	"593"	"-"	"593"	""	""
"130"	"114"	"113"	"69"	"156"	"13"	"333"	""	"15"	"5"	"4"	"6"	"26"	"0"	"4"	""	"631"	"-"	"631"	""	""
"131"	"115"	"114"	"19"	"173"	"13"	"318"	""	"11"	"6"	"3"	"5"	"43"	"3"	"9"	""	"603"	"-"	"603"	""	""
"132"	"116"	"115"	"59"	"191"	"12"	"319"	""	"11"	"5"	"8"	"14"	"31"	"3"	"5"	""	"658"	"-"	"658"	""	""
"133"	"117"	"116"	"21"	"154"	"6"	"295"	""	"17"	"4"	"12"	"8"	"82"	"6"	"9"	""	"614"	"-"	"614"	""	""
"134"	"118"	"117"	"83"	"60"	"4"	"73"	""	"7"	"2"	"9"	"1"	"6"	"3"	"7"	""	"255"	"-"	"255"	""	""
"135"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"136"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"138"	"119"	"118"	"4"	"43"	"2"	"108"	""	"4"	"2"	"8"	"8"	"36"	"5"	"6"	""	"226"	"-"	"226"	""	""
"139"	"120"	"119"	"54"	"287"	"2"	"68"	""	"6"	"3"	"4"	"2"	"14"	"5"	"1"	""	"446"	"-"	"446"	""	""
"140"	"121"	"120"	"60"	"181"	"6"	"29"	""	"8"	"5"	"38"	"9"	"15"	"8"	"10"	""	"369"	"-"	"369"	""	""
"141"	"122"	"121"	"46"	"191"	"7"	"14"	""	"6"	"6"	"49"	"9"	"81"	"10"	"5"	""	"424"	"-"	"424"	""	""
"142"	"123"	"122"	"63"	"235"	"10"	"82"	""	"12"	"6"	"7"	"4"	"4"	"1"	"7"	""	"431"	"-"	"431"	""	""
"143"	"124"	"123"	"19"	"283"	"11"	"101"	""	"7"	"2"	"6"	"6"	"6"	"7"	"14"	""	"462"	"-"	"462"	""	""
"144"	"125"	"124"	"9"	"356"	"4"	"64"	""	"1"	"1"	"1"	"1"	"0"	"4"	"0"	""	"441"	"-"	"441"	""	""
"145"	"126"	"125"	"16"	"38"	"1"	"253"	""	"8"	"6"	"1"	"22"	"81"	"1"	"11"	""	"438"	"-"	"438"	""	""
"146"	"127"	"126"	"9"	"164"	"9"	"175"	""	"12"	"2"	"11"	"13"	"46"	"8"	"16"	""	"465"	"-"	"465"	""	""
"147"	"128"	"127"	"27"	"236"	"7"	"24"	""	"5"	"3"	"25"	"4"	"3"	"6"	"11"	""	"351"	"-"	"351"	""	""
"148"	"129"	"128"	"17"	"151"	"10"	"175"	""	"12"	"4"	"22"	"6"	"118"	"6"	"20"	""	"541"	"-"	"541"	""	""
"149"	"130"	"129"	"17"	"90"	"8"	"154"	""	"12"	"1"	"1"	"5"	"3"	"1"	"4"	""	"296"	"-"	"296"	""	""
"150"	"131"	"130"	"20"	"141"	"4"	"111"	""	"5"	"1"	"5"	"5"	"2"	"11"	"11"	""	"316"	"-"	"316"	""	""
"151"	"132"	"131"	"59"	"350"	"19"	"11"	""	"1"	"1"	"10"	"11"	"32"	"65"	"20"	""	"579"	"-"	"579"	""	""
"152"	"133"	"132"	"22"	"289"	"7"	"9"	""	"1"	"0"	"2"	"0"	"1"	"16"	"8"	""	"355"	"-"	"355"	""	""
"153"	"134"	"133"	"11"	"191"	"6"	"63"	""	"4"	"6"	"6"	"5"	"39"	"6"	"8"	""	"345"	"-"	"345"	""	""
"154"	"135"	"134"	"12"	"60"	"7"	"111"	""	"3"	"1"	"3"	"2"	"1"	"0"	"0"	""	"200"	"-"	"200"	""	""
"155"	"136"	"135"	"20"	"132"	"12"	"151"	""	"13"	"5"	"4"	"11"	"22"	"6"	"14"	""	"390"	"-"	"390"	""	""
"156"	"137"	"136"	"70"	"299"	"9"	"3"	""	"0"	"0"	"9"	"3"	"2"	"13"	"13"	""	"421"	"-"	"421"	""	""
"157"	"138"	"137"	"43"	"292"	"6"	"9"	""	"1"	"1"	"4"	"1"	"6"	"3"	"6"	""	"372"	"-"	"372"	""	""
"158"	"139"	"138"	"64"	"195"	"18"	"97"	""	"13"	"6"	"9"	"13"	"17"	"7"	"9"	""	"448"	"-"	"448"	""	""
"159"	"140"	"139"	"43"	"235"	"13"	"39"	""	"13"	"9"	"31"	"13"	"190"	"20"	"10"	""	"616"	"-"	"616"	""	""
"160"	"141"	"140"	"39"	"171"	"12"	"195"	""	"8"	"8"	"12"	"6"	"11"	"10"	"8"	""	"480"	"-"	"480"	""	""
"161"	"142"	"141"	"18"	"97"	"7"	"135"	""	"11"	"8"	"7"	"20"	"7"	"1"	"8"	""	"319"	"-"	"319"	""	""
"162"	"143"	"142"	"24"	"328"	"11"	"103"	""	"8"	"1"	"3"	"7"	"23"	"8"	"21"	""	"537"	"-"	"537"	""	""
"163"	"144"	"143"	"31"	"186"	"16"	"158"	""	"15"	"7"	"6"	"7"	"40"	"6"	"12"	""	"484"	"-"	"484"	""	""
"164"	"145"	"144"	"7"	"19"	"2"	"167"	""	"7"	"4"	"1"	"2"	"4"	"4"	"11"	""	"228"	"-"	"228"	""	""
"165"	"146"	"145"	"41"	"184"	"12"	"279"	""	"16"	"11"	"7"	"13"	"32"	"11"	"8"	""	"614"	"-"	"614"	""	""
"166"	"147"	"146"	"8"	"39"	"8"	"516"	""	"7"	"4"	"4"	"2"	"5"	"0"	"5"	""	"598"	"-"	"598"	""	""
"167"	"148"	"147"	"27"	"53"	"11"	"369"	""	"13"	"9"	"3"	"14"	"19"	"4"	"9"	""	"531"	"-"	"531"	""	""
