"BOOTH.NO."	"PRAMOD.KUMAR.SINGH"	"BIJENDRA.PRASAD.YADAV"	"RAVINDRA.KUMAR.RAMAN"	"LAL.KRISHNA.ADWANI"	"DEO.NARAYAN.YADAV"	"BHOGI.MANDAL"	"RAGHUNATH.KAMAT"	"SITA.RAM.SHARMA"	"SURESH.KUMAR.AZAD"	"Total.Valid.Votes"
"87"	75	61	96	95	5	9	2	0	3	4	275
"88"	76	29	119	342	16	24	13	13	7	15	578
"89"	77	25	93	260	9	42	5	7	11	7	459
"90"	78	17	228	144	9	23	6	11	7	19	464
"91"	79	11	79	318	5	10	0	4	2	9	438
"92"	80	27	198	209	3	14	1	6	8	4	470
"93"	81	62	107	109	2	8	3	4	1	2	298
"94"	82	29	225	237	7	14	5	3	4	2	526
"95"	83	19	221	187	12	21	4	3	4	3	474
"96"	84	19	219	301	5	30	3	4	3	8	592
"97"	85	51	345	228	15	17	4	12	7	19	698
"98"	86	129	80	69	4	20	1	2	1	3	309
"99"	87	111	205	46	2	7	1	1	7	6	386
"100"	88	23	106	105	0	3	0	0	1	0	238
"101"	89	54	138	326	20	19	6	16	10	17	606
"102"	90	68	75	397	12	9	1	9	3	6	580
"103"	91	32	196	272	8	11	2	4	10	8	543
"104"	92	52	209	230	7	21	3	3	3	5	533
"105"	93	31	324	163	15	33	3	4	8	9	590
"106"	94	45	163	265	13	13	1	5	6	6	517
"107"	95	38	228	204	8	11	4	11	0	8	512
"108"	96	28	230	77	2	19	4	3	2	1	366
"109"	NA	35	213	106	4	13	1	1	4	2	379
"110"	97	86	282	59	5	12	2	2	1	3	452
"111"	NA	117	212	37	3	12	1	0	1	2	385
"112"	98	121	268	131	5	25	2	3	1	0	556
"113"	99	16	298	155	4	14	4	7	2	15	515
"114"	100	8	311	230	5	18	5	9	6	13	605
"115"	101	26	211	604	17	32	6	10	8	8	922
"116"	102	113	255	114	3	18	1	2	5	5	516
"117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	1	2	3	4	5	6	7	8	9	10	11
"119"	103	36	241	215	6	20	1	3	3	5	530
"120"	104	70	271	72	0	13	1	4	8	2	441
"121"	NA	63	274	48	4	18	1	0	0	1	409
"122"	105	122	414	106	3	34	2	6	5	6	698
"123"	106	74	326	84	4	45	4	10	4	6	557
"124"	107	142	206	57	2	34	1	7	7	12	468
"125"	108	135	436	133	6	41	5	10	10	10	786
"126"	109	55	333	203	19	30	8	18	8	18	692
"127"	110	119	200	138	8	20	0	3	3	14	505
"128"	111	43	204	473	4	17	5	8	4	13	771
"129"	112	153	398	229	16	30	5	3	5	10	849
"130"	113	47	229	258	9	10	5	3	6	5	572
"131"	114	73	420	100	7	55	7	7	10	15	694
"132"	115	41	221	317	1	14	4	3	6	7	614
"133"	116	108	300	142	5	39	4	8	3	5	614
"134"	117	16	118	109	8	17	3	4	1	8	284
"135"	118	202	298	54	3	30	5	4	1	6	603
"136"	119	94	369	196	4	27	2	4	12	10	718
"137"	120	41	343	81	3	28	1	4	6	5	512
"138"	NA	31	189	103	5	23	4	17	6	3	381
"139"	121	28	349	98	3	29	1	1	4	3	516
"140"	122	76	324	150	5	43	5	5	13	12	633
"141"	123	54	223	136	9	18	26	1	8	6	481
"142"	124	17	94	421	15	13	7	7	7	10	591
"143"	125	35	263	243	9	11	5	2	1	5	574
"144"	126	31	252	160	6	27	4	5	6	6	497
"145"	127	40	170	221	9	28	4	7	7	7	493
"146"	128	45	405	86	3	22	2	6	6	11	586
"147"	129	27	193	109	6	25	0	6	7	6	379
"148"	130	50	103	139	11	5	2	6	4	4	324
"149"	131	71	291	152	1	15	3	4	5	7	549
"150"	132	88	238	67	3	11	1	1	5	4	418
"151"	133	18	278	80	6	38	7	7	10	22	466
"152"	134	43	452	198	6	29	3	5	8	1	745
"153"	135	45	313	172	5	31	1	4	9	9	589
"154"	136	44	353	137	8	23	3	6	10	9	593
"155"	137	24	237	159	6	5	0	5	3	3	442
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	1	2	3	4	5	6	7	8	9	10	11
"158"	138	23	148	236	8	19	2	7	8	12	463
"159"	139	16	420	222	13	23	3	7	10	5	719
"160"	140	14	90	195	6	5	2	1	2	6	321
"161"	141	17	141	231	11	14	7	8	1	2	432
"162"	142	4	102	134	12	21	5	5	5	3	291
"163"	143	13	393	190	11	20	6	7	7	9	656
"164"	144	26	175	191	4	12	0	6	2	2	418
"165"	145	39	149	201	6	7	2	2	6	1	413
"166"	146	35	375	187	9	29	0	5	2	5	647
"167"	147	23	429	135	7	28	3	2	5	14	646
"168"	148	18	170	184	8	11	1	2	4	5	403
"169"	149	25	297	279	7	27	6	10	4	2	657
"170"	150	24	359	38	4	27	12	3	14	21	502
"171"	151	30	165	128	7	36	8	7	3	9	393
"172"	152	2	137	7	2	4	2	1	4	3	162
"173"	153	142	154	116	8	37	7	4	2	4	474
"174"	154	64	202	178	4	6	6	6	10	7	483
"175"	155	43	126	292	9	20	3	17	8	20	538
"176"	156	11	335	214	3	38	3	1	1	8	614
"177"	157	54	291	132	8	54	5	10	10	17	581
"178"	158	86	356	302	6	48	11	11	13	19	852
"179"	159	27	134	433	15	13	4	2	5	10	643
"180"	160	83	178	160	5	17	3	3	7	11	467
"181"	161	270	312	122	7	38	10	4	14	13	790
"182"	162	43	405	38	4	34	2	0	3	5	534
"183"	163	73	246	192	7	26	8	7	7	4	570
"184"	164	211	163	40	2	15	2	0	1	3	437
"185"	165	146	266	33	1	18	1	1	1	3	470
"186"	166	196	200	58	6	18	6	7	21	4	516
"187"	167	227	223	113	6	28	5	2	5	11	620
"188"	168	34	151	244	7	14	3	10	10	8	481
"189"	169	15	146	144	4	29	8	8	4	9	367
"190"	170	21	105	240	11	17	4	11	6	9	424
"191"	171	12	218	122	5	31	4	8	4	6	410
"192"	NA	16	187	113	4	25	1	3	6	2	357
"193"	172	42	321	102	3	34	2	1	10	11	526
"194"	173	6	75	82	2	7	3	6	3	6	190
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	1	2	3	4	5	6	7	8	9	10	11
"197"	174	16	127	193	14	16	1	11	1	5	384
"198"	175	67	279	285	7	43	2	5	16	4	708
"199"	176	186	383	60	8	52	4	3	2	5	703
"200"	177	210	179	54	2	20	2	5	15	3	490
"201"	178	95	201	181	11	11	1	1	21	17	539
"202"	179	26	423	85	7	27	4	9	7	5	593
"203"	180	40	122	333	10	25	7	17	4	12	570
"204"	181	60	236	28	0	29	5	4	3	4	369
"205"	NA	168	157	24	3	29	2	4	3	7	397
"206"	182	154	437	26	6	62	6	10	5	6	712
"207"	183	5	108	230	11	9	2	3	1	0	369
"208"	184	60	264	32	4	25	3	3	3	6	400
"209"	185	112	234	5	1	21	5	5	3	6	392
"210"	186	294	269	49	9	32	3	9	5	12	682
"211"	187	25	101	166	4	38	1	7	2	5	349
"212"	NA	54	158	257	4	10	5	3	6	4	501
"213"	188	174	118	114	4	27	5	7	8	12	469
"214"	189	205	215	60	5	26	0	3	3	11	528
"215"	190	193	286	14	1	35	4	3	10	3	549
"216"	191	54	303	127	6	17	0	5	2	10	524
"217"	192	50	356	65	6	22	1	2	5	7	514
"218"	193	89	360	81	5	43	4	3	2	3	590
"219"	194	34	102	104	6	11	2	3	1	1	264
"220"	195	277	234	29	1	39	7	8	4	8	607
"221"	196	235	162	47	3	23	5	1	0	6	482
"222"	197	34	262	289	10	24	4	8	5	16	652
"223"	198	256	133	75	6	48	7	11	6	13	555
"224"	199	363	175	86	6	49	6	4	9	5	703
"225"	200	178	180	15	2	42	4	1	0	6	428
"226"	201	149	390	88	3	33	24	7	9	28	731
"227"	202	41	237	222	13	20	3	13	11	20	580
"228"	203	100	91	126	8	8	2	1	5	1	342
"229"	204	130	204	265	12	22	4	3	10	11	661
"230"	205	4	55	59	0	0	0	0	1	0	119
"231"	206	208	317	55	10	26	9	5	14	32	676
"232"	207	282	221	73	14	41	7	9	8	29	684
"233"	208	161	218	108	8	32	10	16	18	12	583
"234"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	1	2	3	4	5	6	7	8	9	10	11
"236"	209	43	306	479	10	22	2	11	11	16	900
"237"	210	50	414	259	17	39	5	4	1	8	797
"238"	211	224	265	28	3	34	2	2	2	3	563
"239"	212	219	311	36	6	68	6	7	7	10	670
"240"	213	168	301	18	1	37	8	5	4	3	545
"241"	214	291	211	10	2	25	1	2	6	4	552
"242"	215	90	76	372	13	21	2	9	5	11	599
"243"	216	30	207	259	7	23	3	4	0	10	543
"244"	217	119	229	114	2	17	3	3	2	10	499
"245"	218	17	201	245	12	13	1	2	3	4	498
"246"	219	43	172	411	16	37	15	15	8	23	740
"247"	220	28	184	241	5	55	7	13	18	30	581
"248"	221	133	211	277	13	40	5	15	11	11	716
"249"	222	111	221	265	19	77	10	18	9	21	751
"250"	NA	14248	55171	39779	1567	5292	936	1272	1258	1808	121331
"251"	NA	3	8	0	0	1	0	0	0	0	12
"252"	NA	14251	55179	39779	1567	5293	936	1272	1258	1808	121343
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
