"Name.of.Candidate"	"AJIT.KUMAR"	"JAGDISH.PRASAD"	"YOGENNDRA.PRASAD.SINGH"	"RAHUL.KUMAR"	"SANJAY.KUMAR"	"MANIBHUSHANN.SHARMA"	"RAMBALI.SINGH"	"BDYANAND.KUMAR"	"AJAY.KUMAR"	"ABHAY.KUMAR.ANIL"	"Total.Valid.Votes"	"No..of.Rejected.votes"	"Total"	"No..of.tendered.votes"
"31"	"24"	6	205	14	70	40	5	82	7	9	10	448	NA	448	0
"32"	"25"	8	335	17	39	7	1	27	5	7	10	456	NA	456	0
"33"	"26"	5	94	13	319	11	2	38	5	7	7	501	NA	501	0
"34"	"27"	6	75	16	360	7	5	111	8	4	8	600	NA	600	0
"35"	"28"	10	225	8	130	13	7	236	9	17	14	669	NA	669	0
"36"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Total"	149	3337	148	2037	145	51	1066	76	162	150	7321	NA	7321	0
"38"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"40"	"Round 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"29"	2	88	6	258	11	3	65	9	24	17	483	NA	483	0
"42"	"30"	3	28	0	123	3	3	45	5	7	4	221	NA	221	0
"43"	"31"	17	32	13	325	8	7	219	16	7	32	676	NA	676	0
"44"	"32"	1	279	7	58	24	4	96	6	16	14	505	NA	505	0
"45"	"33"	13	189	15	193	6	4	12	2	28	8	470	NA	470	0
"46"	"34"	5	66	7	59	2	0	21	5	29	8	202	NA	202	0
"47"	"35"	6	279	2	1	0	0	0	0	4	5	297	NA	297	0
"48"	"36"	9	520	9	25	1	1	14	2	5	4	590	NA	590	0
"49"	"37"	12	106	11	495	22	3	25	10	7	28	719	NA	719	0
"50"	"38"	8	119	9	266	20	1	4	3	28	7	465	NA	465	0
"51"	"39"	7	75	9	251	118	1	58	7	15	14	555	NA	555	0
"52"	"40"	3	87	12	184	4	3	15	5	15	8	336	NA	336	0
"53"	"41"	4	83	10	114	4	1	3	2	40	6	267	NA	267	0
"54"	"42"	11	83	46	167	14	4	12	4	98	15	454	NA	454	0
"55"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Total"	101	2034	156	2519	237	35	589	76	323	170	6240	NA	6240	0
"57"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"59"	"Round 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"43"	3	459	2	8	0	0	3	0	4	0	479	NA	479	0
"61"	"44"	3	577	8	4	0	0	0	1	5	2	600	NA	600	0
"62"	"45"	12	182	5	83	5	4	43	6	30	16	386	NA	386	0
"63"	"46"	10	547	20	8	3	2	4	6	17	15	632	NA	632	0
"64"	"47"	7	509	22	66	36	3	6	5	34	22	710	NA	710	0
"65"	"48"	9	366	11	15	1	3	2	1	16	8	432	NA	432	0
"66"	"49"	13	18	7	134	16	6	241	6	15	10	466	NA	466	0
"67"	"50"	10	162	9	162	14	7	104	3	35	7	513	NA	513	0
"68"	"51"	3	89	2	74	3	3	90	4	10	6	284	NA	284	0
"69"	"52"	8	180	5	106	4	4	82	11	8	17	425	NA	425	0
"70"	"53"	13	69	14	254	10	10	187	12	57	27	653	NA	653	0
"71"	"54"	11	180	11	122	9	8	110	3	44	10	508	NA	508	0
"72"	"55"	6	113	7	138	5	5	70	9	7	8	368	NA	368	0
"73"	"56"	1	1	3	151	0	0	1	0	22	1	180	NA	180	0
"74"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	"Total"	109	3452	126	1325	106	55	943	67	304	149	6636	NA	6636	0
"76"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"78"	"Round 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"57"	4	124	7	112	12	3	155	8	15	13	453	NA	453	0
"80"	"58"	2	42	4	167	3	7	144	9	35	8	421	NA	421	0
"81"	"59"	5	116	5	143	8	5	132	4	13	6	437	NA	437	0
"82"	"60"	4	7	2	96	4	4	110	6	9	8	250	NA	250	0
"83"	"61"	1	48	3	90	4	3	60	9	17	9	244	NA	244	0
"84"	"62"	13	46	5	305	9	10	97	10	66	6	567	NA	567	0
"85"	"63"	16	80	5	155	6	6	73	7	15	15	378	NA	378	0
"86"	"64"	4	29	6	247	14	5	44	4	47	16	416	NA	416	0
"87"	"65"	2	9	5	152	6	6	65	7	33	5	290	NA	290	0
"88"	"66"	8	31	2	36	6	7	155	16	80	7	348	NA	348	0
"89"	"67"	1	3	2	177	1	0	4	1	70	5	264	NA	264	0
"90"	"68"	3	7	1	126	3	0	19	0	13	1	173	NA	173	0
"91"	"69"	12	243	11	394	3	6	47	1	20	11	748	NA	748	0
"92"	"70"	5	122	5	81	3	1	82	2	25	10	336	NA	336	0
"93"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	"Total"	80	907	63	2281	82	63	1187	84	458	120	5325	NA	5325	0
"95"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"97"	"Round 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	"71"	16	94	4	230	8	5	56	7	50	20	490	NA	490	0
"99"	"72"	1	178	7	109	3	1	32	3	60	7	401	NA	401	0
"100"	"73"	10	146	11	141	11	10	254	18	24	32	657	NA	657	0
"101"	"74"	6	486	8	26	5	1	2	1	10	4	549	NA	549	0
"102"	"75"	4	196	3	62	5	2	55	1	19	9	356	NA	356	0
"103"	"76"	13	199	4	96	2	2	5	3	10	8	342	NA	342	0
"104"	"77"	12	130	12	87	6	4	95	3	22	5	376	NA	376	0
"105"	"78"	15	269	3	17	1	0	7	2	20	2	336	NA	336	0
"106"	"79"	6	8	9	210	4	4	84	10	118	15	468	NA	468	0
"107"	"80"	5	5	4	241	2	1	7	1	21	5	292	NA	292	0
"108"	"81"	7	30	9	330	15	2	24	10	85	19	531	NA	531	0
"109"	"82"	0	5	1	206	0	0	1	0	46	1	260	NA	260	0
"110"	"83"	9	233	12	88	6	3	100	5	8	2	466	NA	466	0
"111"	"84"	6	243	6	81	5	2	47	5	11	5	411	NA	411	0
"112"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	"Total"	110	2222	93	1924	73	37	769	69	504	134	5935	NA	5935	0
"114"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"116"	"Round 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"85"	18	290	8	173	4	6	40	3	16	9	567	NA	567	0
"118"	"86"	3	63	8	321	5	2	9	3	24	6	444	NA	444	0
"119"	"87"	3	4	2	402	2	1	14	2	67	8	505	NA	505	0
"120"	"88"	3	421	8	5	1	0	1	0	7	1	447	NA	447	0
"121"	"89"	3	2	2	80	11	1	48	4	57	9	217	NA	217	0
"122"	"90"	0	4	1	714	1	0	0	1	21	0	742	NA	742	0
"123"	"91"	18	264	29	252	13	7	8	3	33	13	640	NA	640	0
"124"	"92"	1	0	2	232	4	0	1	0	49	1	290	NA	290	0
"125"	"93"	20	249	12	149	7	4	53	3	135	16	648	NA	648	0
"126"	"94"	10	36	3	190	2	3	8	1	49	8	310	NA	310	0
"127"	"95"	1	28	6	406	9	0	63	5	52	2	572	NA	572	0
"128"	"96"	0	1	0	195	0	0	0	1	18	1	216	NA	216	0
"129"	"97"	15	178	7	67	3	1	13	2	17	4	307	NA	307	0
"130"	"98"	4	45	2	38	2	1	22	3	7	8	132	NA	132	0
"131"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"132"	"Total"	99	1585	90	3224	64	26	280	31	552	86	6037	NA	6037	0
"133"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"134"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"135"	"Round 8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"99"	1	13	4	44	7	6	238	10	9	9	341	NA	341	0
"137"	"100"	4	146	3	37	1	1	30	4	20	6	252	NA	252	0
"138"	"101"	2	0	4	281	1	0	29	2	6	0	325	NA	325	0
"139"	"102"	132	89	9	39	6	1	35	7	22	18	358	NA	358	0
"140"	"103"	21	46	2	100	7	1	74	7	73	16	347	NA	347	0
"141"	"104"	12	58	4	164	23	5	6	2	22	8	304	NA	304	0
"142"	"105"	9	135	10	11	1	2	3	5	11	4	191	NA	191	0
"143"	"106"	2	55	2	208	3	3	5	1	40	5	324	NA	324	0
"144"	"107"	13	36	10	172	5	3	2	3	115	8	367	NA	367	0
"145"	"108"	4	152	9	316	5	4	10	0	39	1	540	NA	540	0
"146"	"109"	14	162	11	104	9	4	36	3	14	6	363	NA	363	0
"147"	"110"	12	259	8	132	2	1	1	2	20	8	445	NA	445	0
"148"	"111"	20	127	10	147	16	12	169	14	47	17	579	NA	579	0
"149"	"112"	18	43	4	252	5	1	41	2	54	7	427	NA	427	0
"150"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"151"	"Total"	264	1321	90	2007	91	44	679	62	492	113	5163	NA	5163	0
"152"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"153"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"154"	"Round 9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"155"	"113"	14	163	11	170	10	4	119	9	23	11	534	NA	534	0
"156"	"114"	3	62	7	52	6	3	68	13	30	1	245	NA	245	0
"157"	"115"	4	3	2	89	1	2	32	3	19	4	159	NA	159	0
"158"	"116"	13	116	12	78	5	3	3	5	9	3	247	NA	247	0
"159"	"117"	10	316	10	83	14	4	40	0	25	5	507	NA	507	0
"160"	"118"	8	62	2	27	11	9	305	10	35	13	482	NA	482	0
"161"	"119"	6	11	7	137	3	3	7	11	197	11	393	NA	393	0
"162"	"120"	1	13	8	273	6	5	5	5	106	17	439	NA	439	0
"163"	"121"	14	38	3	192	17	0	5	9	89	7	374	NA	374	0
"164"	"122"	6	7	4	267	10	3	3	2	124	10	436	NA	436	0
"165"	"123"	6	9	1	148	5	1	7	1	40	6	224	NA	224	0
"166"	"124"	2	0	2	340	5	0	1	0	20	2	372	NA	372	0
"167"	"125"	11	16	8	209	16	4	12	4	317	26	623	NA	623	0
"168"	"126"	11	17	2	39	314	12	75	1	8	16	495	NA	495	0
"169"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"Total"	109	833	79	2104	423	53	682	73	1042	132	5530	NA	5530	0
"171"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"173"	"Round 10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	"127"	7	303	10	20	11	0	28	3	16	10	408	NA	408	0
"175"	"128"	7	92	6	185	22	2	28	3	8	2	355	NA	355	0
"176"	"129"	14	194	13	149	13	4	37	4	68	7	503	NA	503	0
"177"	"130"	19	143	11	162	72	5	21	9	172	17	631	NA	631	0
"178"	"131"	6	7	7	497	10	2	8	2	147	9	695	NA	695	0
"179"	"132"	0	0	0	87	0	0	0	0	14	2	103	NA	103	0
"180"	"133"	16	312	11	120	5	6	31	5	13	6	525	NA	525	0
"181"	"134"	7	38	8	66	8	3	3	2	206	3	344	NA	344	0
"182"	"135"	8	58	9	50	4	3	5	3	98	14	252	NA	252	0
"183"	"136"	9	23	4	160	4	1	8	0	165	3	377	NA	377	0
"184"	"137"	22	118	10	59	22	4	7	9	244	20	515	NA	515	0
"185"	"138"	5	144	5	33	4	2	4	3	152	6	358	NA	358	0
"186"	"139"	9	24	3	215	6	7	118	9	193	8	592	NA	592	0
"187"	"140"	4	10	6	66	2	2	65	3	223	1	382	NA	382	0
"188"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"Total"	133	1466	103	1869	183	41	363	55	1719	108	6040	NA	6040	0
"190"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"192"	"Round 11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	"141"	15	116	5	186	9	1	14	5	205	15	571	NA	571	0
"194"	"142"	4	7	6	621	3	2	2	2	65	3	715	NA	715	0
"195"	"143"	1	12	4	100	44	4	57	3	35	3	263	NA	263	0
"196"	"144"	26	26	9	89	8	2	12	7	183	11	373	NA	373	0
"197"	"144 K"	15	34	2	109	8	0	14	9	182	8	381	NA	381	0
"198"	"145"	8	98	14	135	8	7	14	13	205	13	515	NA	515	0
"199"	"146"	47	246	12	68	1	0	14	3	42	10	443	NA	443	0
"200"	"147"	0	594	5	15	3	0	79	0	22	0	718	NA	718	0
"201"	"148"	9	75	7	62	5	14	96	12	119	26	425	NA	425	0
"202"	"149"	9	93	8	7	2	2	13	7	114	5	260	NA	260	0
"203"	"150"	14	65	4	42	2	5	70	5	115	16	338	NA	338	0
"204"	"151"	0	1	2	242	1	0	2	0	4	0	252	NA	252	0
"205"	"152"	0	1	0	228	0	0	4	1	12	3	249	NA	249	0
"206"	"153"	1	1	1	144	0	0	1	0	27	0	175	NA	175	0
"207"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	"Total"	149	1369	79	2048	94	37	392	67	1330	113	5678	NA	5678	0
"209"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"211"	"Round 12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	"154"	2	235	8	22	1	1	12	2	13	5	301	NA	301	0
"213"	"155"	2	93	1	15	6	1	74	3	205	5	405	NA	405	0
"214"	"156"	3	44	4	244	2	6	86	2	16	7	414	NA	414	0
"215"	"157"	1	126	6	47	2	2	152	8	23	6	373	NA	373	0
"216"	"158"	13	194	5	35	3	4	19	8	76	8	365	NA	365	0
"217"	"159"	17	113	7	158	14	4	187	4	49	6	559	NA	559	0
"218"	"160"	7	83	4	187	10	4	53	5	7	5	365	NA	365	0
"219"	"161"	6	52	3	180	4	2	7	3	25	18	300	NA	300	0
"220"	"162"	9	194	5	125	5	1	37	0	10	3	389	NA	389	0
"221"	"163"	0	9	0	316	0	0	141	2	12	0	480	NA	480	0
"222"	"164"	1	0	2	244	1	0	43	1	2	3	297	NA	297	0
"223"	"165"	0	7	0	186	1	0	31	3	33	1	262	NA	262	0
"224"	"166"	4	24	2	370	8	3	8	2	7	11	439	NA	439	0
"225"	"167"	9	174	11	130	7	6	74	5	23	8	447	NA	447	0
"226"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	"Total"	74	1348	58	2259	64	34	924	48	501	86	5396	NA	5396	0
"228"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"229"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"230"	"Round 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"231"	"168"	8	19	4	456	10	2	32	5	112	12	660	NA	660	0
"232"	"169"	29	89	14	246	26	1	17	7	72	13	514	NA	514	0
"233"	"170"	11	165	16	173	47	0	12	9	78	17	528	NA	528	0
"234"	"171"	0	0	0	199	1	1	1	0	0	0	202	NA	202	0
"235"	"172"	14	38	4	150	5	4	25	2	17	3	262	NA	262	0
"236"	"173"	3	68	6	117	11	4	93	5	25	16	348	NA	348	0
"237"	"174"	9	184	5	126	10	3	107	6	18	16	484	NA	484	0
"238"	"175"	1	7	1	126	14	0	62	6	104	5	326	NA	326	0
"239"	"176"	10	18	3	278	4	6	64	10	101	11	505	NA	505	0
"240"	"177"	2	42	5	171	23	0	22	4	31	10	310	NA	310	0
"241"	"178"	24	140	15	104	15	9	133	5	37	19	501	NA	501	0
"242"	"179"	6	10	3	170	5	0	79	5	41	4	323	NA	323	0
"243"	"180"	4	34	4	166	21	0	5	4	10	5	253	NA	253	0
"244"	"181"	5	216	14	147	1	3	48	5	44	22	505	NA	505	0
"245"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"246"	"Total"	126	1030	94	2629	193	33	700	73	690	153	5721	NA	5721	0
"247"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"249"	"Round 14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"250"	"182"	4	81	9	513	10	4	51	5	32	0	709	NA	709	0
"251"	"183"	19	80	4	80	4	5	93	5	29	9	328	NA	328	0
"252"	"184"	7	3	4	267	5	2	3	7	149	11	458	NA	458	0
"253"	"185"	3	2	3	376	10	0	0	0	21	0	415	NA	415	0
"254"	"186"	2	59	5	406	11	6	1	1	29	5	525	NA	525	0
"255"	"187"	0	0	1	379	0	1	1	0	26	3	411	NA	411	0
"256"	"188"	4	9	8	278	7	2	12	3	42	5	370	NA	370	0
"257"	"189"	7	31	4	150	5	2	11	5	112	17	344	NA	344	0
"258"	"190"	9	62	10	250	19	6	9	7	154	3	529	NA	529	0
"259"	"191"	10	114	10	247	6	4	8	5	32	8	444	NA	444	0
"260"	"192"	13	5	4	164	3	0	4	2	55	1	251	NA	251	0
"261"	"193"	2	3	2	175	1	1	3	1	27	0	215	NA	215	0
"262"	"194"	11	79	6	256	15	1	16	9	173	11	577	NA	577	0
"263"	"195"	4	95	8	167	1	3	10	9	26	3	326	NA	326	0
"264"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"265"	"Total"	95	623	78	3708	97	37	222	59	907	76	5902	NA	5902	0
"266"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"267"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"268"	"Round 15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"269"	"196"	15	105	11	272	7	9	67	14	65	17	582	NA	582	0
"270"	"197"	3	26	2	175	7	1	6	5	118	10	353	NA	353	0
"271"	"198"	4	219	17	47	4	4	131	8	20	15	469	NA	469	0
"272"	"199"	1	22	4	86	4	1	3	1	140	6	268	NA	268	0
"273"	"200"	10	38	17	150	11	9	159	17	146	34	591	NA	591	0
"274"	"201"	3	9	4	232	4	1	6	6	172	8	445	NA	445	0
"275"	"202"	8	38	3	255	20	4	29	5	176	5	543	NA	543	0
"276"	"203"	6	29	8	140	1	1	36	4	147	8	380	NA	380	0
"277"	"204"	9	46	6	78	6	4	143	18	74	21	405	NA	405	0
"278"	"205"	21	50	10	110	3	6	23	12	100	26	361	NA	361	0
"279"	"206"	4	3	5	270	4	9	26	3	86	9	419	NA	419	0
"280"	"207"	6	123	7	189	5	3	11	9	50	4	407	NA	407	0
"281"	"208"	4	4	4	219	6	4	31	3	106	13	394	NA	394	0
"282"	"209"	4	23	5	170	4	20	29	2	82	5	344	NA	344	0
"283"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"284"	"Total"	98	735	103	2393	86	76	700	107	1482	181	5961	NA	5961	0
"285"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"286"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"287"	"Round 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	"210"	17	11	2	209	8	8	83	6	155	17	516	NA	516	0
"289"	"211"	4	27	9	146	5	6	7	7	269	21	501	NA	501	0
"290"	"212"	14	26	5	201	10	7	210	25	287	35	820	NA	820	0
"291"	"213"	42	25	5	40	9	3	15	3	130	7	279	NA	279	0
"292"	"214"	1	4	0	142	3	0	2	1	52	4	209	NA	209	0
"293"	"215"	11	11	4	96	2	0	5	5	71	7	212	NA	212	0
"294"	"216"	15	47	9	136	8	8	30	9	198	14	474	NA	474	0
"295"	"217"	9	41	11	261	11	2	75	6	178	11	605	NA	605	0
"296"	"218"	7	2	4	300	9	8	80	11	33	11	465	NA	465	0
"297"	"219"	0	0	0	203	4	2	8	3	18	3	241	NA	241	0
"298"	"220"	36	122	8	163	8	3	11	4	180	14	549	NA	549	0
"299"	"221"	15	35	6	209	6	9	246	11	33	11	581	NA	581	0
"300"	"222"	9	7	3	190	6	5	122	8	84	10	444	NA	444	0
"301"	"223"	1	5	0	380	3	0	4	0	47	2	442	NA	442	0
"302"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	"Total"	181	363	66	2676	92	61	898	99	1735	167	6338	NA	6338	0
"304"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"306"	"Round 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"307"	"224"	12	20	11	120	9	3	140	6	24	11	356	NA	356	0
"308"	"225"	7	147	6	149	2	1	38	2	51	10	413	NA	413	0
"309"	"226"	8	7	8	400	13	2	6	4	98	6	552	NA	552	0
"310"	"227"	5	11	8	54	2	0	2	3	59	2	146	NA	146	0
"311"	"228"	13	82	8	130	3	4	5	7	109	9	370	NA	370	0
"312"	"229"	6	18	7	146	5	11	4	9	218	18	442	NA	442	0
"313"	"230"	7	14	2	148	8	3	6	5	120	7	320	NA	320	0
"314"	"231"	17	75	7	178	7	10	12	9	301	15	631	NA	631	0
"315"	"232"	3	4	5	38	0	3	2	4	343	9	411	NA	411	0
"316"	"233"	9	92	4	108	7	7	7	6	201	10	451	NA	451	0
"317"	"234"	5	9	4	166	7	2	119	8	99	11	430	NA	430	0
"318"	"235"	10	88	4	146	5	3	41	4	80	10	391	NA	391	0
"319"	"236"	7	65	5	300	5	4	18	11	41	7	463	NA	463	0
"320"	"237"	9	32	3	279	17	5	46	9	157	18	575	NA	575	0
"321"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	"Total"	118	664	82	2362	90	58	446	87	1901	143	5951	0	5951	0
"323"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"324"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"325"	"Round 18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"326"	"238"	26	140	13	204	6	6	67	21	91	21	595	NA	595	0
"327"	"239"	10	26	5	204	10	2	24	15	251	24	571	NA	571	0
"328"	"240"	10	36	4	222	5	1	19	3	51	7	358	NA	358	0
"329"	"241"	15	72	6	105	29	6	42	4	58	15	352	NA	352	0
"330"	"242"	1	120	3	179	9	0	7	3	61	8	391	NA	391	0
"331"	"243"	1	16	1	111	10	1	9	2	69	3	223	NA	223	0
"332"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"333"	"Total"	63	410	32	1025	69	16	168	48	581	78	2490	0	2490	0
"334"	"Total"	2180	26085	1667	40363	2267	826	12203	1271	14928	2328	104118	0	104118	0
"335"	"Postal Ballot"	0	3	0	1	0	0	0	0	1	0	5	3	8	NA
"336"	"Grand
Total"	2180	26088	1667	40364	2267	826	12203	1271	14929	2328	104123	3	104126	NA
